None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
44179,PEGA,MRY,1998-12-31,1998-12-31,1998-12-31,2021-07-28,-475000.0,139260000.0,140965250.0,70238000.0,69022000.0,0.438,1.782,-7376000.0,24806000.0,24806000.0,30099000.0,-11618000.0,1.932,0.366,325000.0,123000.0,202000.0,325000.0,21424000.0,5595000.0,0.0,0.0,0.0,-18029000.0,-12434000.0,-0.201,-12434000.0,-18029000.0,-18029000.0,-0.205,-0.205,-0.205,101919000.0,109878500.0,101919000.0,75107952.0,-4.0,-6.041,-26858000.0,-0.469,1.0,31670000.0,0.513,9978000.0,0.0,68446000.0,63708500.0,0.0,0.0,0.0,0.0,37341000.0,36355000.0,986000.0,119005952.0,-27199000.0,0.0,431000.0,0.0,0.0,431000.0,-8027000.0,0.0,-19482000.0,-121000.0,-11618000.0,-11618000.0,-11618000.0,0.0,0.0,-0.188,54467000.0,-22797000.0,14808000.0,0.0,1.168,-10.243,-10.146,10044000.0,0.0,2.08,1.927,1.926,43478000.0,11489000.0,61769000.0,61769000.0,23809000.0,-0.082,-0.106,-0.283,-0.292,0.0,30658000.0,1.0,57214400.0,57208000.0,57208000.0,1.08,129282000.0,0.0,-6411000.0,750000.0,2.26,33883000.0
44180,PEGA,MRT,1998-12-31,1998-12-31,1998-12-31,2021-07-28,-475000.0,139260000.0,140965250.0,70238000.0,69022000.0,0.438,1.782,-7376000.0,24806000.0,24806000.0,30099000.0,-11618000.0,1.932,0.366,325000.0,123000.0,202000.0,325000.0,21424000.0,5595000.0,0.0,0.0,0.0,-18029000.0,-12434000.0,-0.201,-12434000.0,-18029000.0,-18029000.0,-0.205,-0.205,-0.205,101919000.0,109878500.0,101919000.0,75107952.0,-4.0,-6.041,-26858000.0,-0.469,1.0,31670000.0,0.513,9978000.0,0.0,68446000.0,63708500.0,0.0,0.0,0.0,0.0,37341000.0,36355000.0,986000.0,119005952.0,-27199000.0,0.0,431000.0,0.0,0.0,431000.0,-8027000.0,0.0,-19482000.0,-121000.0,-11618000.0,-11618000.0,-11618000.0,0.0,0.0,-0.188,54467000.0,-22797000.0,14808000.0,0.0,1.168,-10.243,-10.146,10044000.0,0.0,2.08,1.927,1.926,43478000.0,11489000.0,61769000.0,61769000.0,23809000.0,-0.082,-0.106,-0.283,-0.292,0.0,30658000.0,1.0,57214400.0,57208000.0,57208000.0,1.08,129282000.0,0.0,-6411000.0,750000.0,2.26,33883000.0
44181,PEGA,MRT,1998-09-30,1998-09-30,1998-09-30,2021-07-28,-423000.0,147955000.0,138030250.0,70733000.0,77222000.0,0.525,1.957,-7207000.0,33231000.0,33231000.0,23355000.0,3478000.0,2.192,0.321,0.0,0.0,0.0,0.0,18521000.0,5070000.0,0.0,0.0,0.0,5608000.0,10678000.0,0.147,10678000.0,5608000.0,5608000.0,0.065,0.065,0.065,112022000.0,112579000.0,112022000.0,396080736.0,71.0,37.093,-21662000.0,-0.378,1.0,49130000.0,0.678,9932000.0,0.0,72528000.0,59768000.0,0.0,0.0,0.0,0.0,35933000.0,32264000.0,3669000.0,439978736.0,-21324000.0,0.0,439000.0,0.0,0.0,439000.0,-7207000.0,0.0,-14455000.0,-101000.0,3478000.0,3478000.0,3478000.0,0.0,0.0,0.048,48520000.0,610000.0,10259000.0,0.0,3.928,126.503,118.308,9187000.0,0.0,7.69,6.07,6.074,35314000.0,22042000.0,72485000.0,72485000.0,20273000.0,0.025,0.031,0.094,0.077,0.0,28247000.0,1.0,57214400.0,57256000.0,57256000.0,1.266,138023000.0,0.0,2130000.0,7153000.0,2.411,38469000.0
44182,PEGA,MRT,1998-06-30,1998-06-30,1998-06-30,2021-07-28,-377000.0,141584000.0,130668250.0,76044000.0,65540000.0,0.486,1.98,-5687000.0,43898000.0,43898000.0,19689000.0,3073000.0,3.071,0.251,0.0,0.0,0.0,0.0,11265000.0,5001000.0,0.0,0.0,0.0,4955000.0,9956000.0,0.157,9956000.0,4955000.0,4955000.0,0.055,0.055,0.055,113151000.0,110611000.0,113151000.0,721091908.0,146.0,72.428,-18861000.0,-0.33,1.0,43833000.0,0.69,10524000.0,0.0,62398000.0,53160000.0,0.0,0.0,0.0,0.0,28433000.0,24764000.0,3669000.0,774604908.0,-28613000.0,0.0,510000.0,0.0,0.0,510000.0,-15687000.0,0.0,-13174000.0,-262000.0,3073000.0,3073000.0,3073000.0,0.0,0.0,0.048,43852000.0,-19000.0,9259000.0,0.0,6.846,252.068,246.636,6883000.0,0.0,13.565,12.194,12.203,30025000.0,23257000.0,63522000.0,63522000.0,18199000.0,0.024,0.028,0.093,0.078,0.0,25653000.0,1.0,57103200.0,57146000.0,61562000.0,1.112,131060000.0,0.0,1882000.0,7909000.0,2.293,51280000.0
44183,PEGA,MRT,1998-03-31,1998-03-31,1998-03-31,2021-07-28,-323000.0,135062000.0,128298750.0,76965000.0,58097000.0,0.395,1.969,-4956000.0,53513000.0,53513000.0,15905000.0,91000.0,4.057,0.201,0.0,0.0,0.0,0.0,8251000.0,4200000.0,0.0,0.0,0.0,146000.0,4346000.0,0.086,4346000.0,146000.0,146000.0,0.0,0.0,0.0,112422000.0,108766750.0,112422000.0,,,,-11829000.0,-0.207,1.0,34732000.0,0.686,11116000.0,0.0,51462000.0,44840750.0,0.0,0.0,0.0,0.0,22640000.0,18971000.0,3669000.0,520948075.0,-21508000.0,0.0,566000.0,0.0,0.0,566000.0,-14956000.0,0.0,-6873000.0,-245000.0,91000.0,91000.0,91000.0,0.0,0.0,0.002,39777000.0,-5045000.0,6956000.0,,4.634,5724.704,,5897000.0,0.0,9.125,10.288,10.289,21419000.0,22757000.0,50637000.0,50637000.0,16142000.0,0.001,0.001,0.003,0.003,0.0,23635000.0,1.0,57090200.0,57094000.0,57094000.0,0.887,123946000.0,0.0,55000.0,7433000.0,2.171,57994000.0
44184,PEGA,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-07-28,-475000.0,139260000.0,,70238000.0,69022000.0,,1.776,-1380000.0,24806000.0,24806000.0,13107000.0,-10553000.0,1.932,0.366,325000.0,123000.0,202000.0,325000.0,21424000.0,1426000.0,0.0,0.0,0.0,-16311000.0,-14885000.0,-1.267,-14885000.0,-16311000.0,-16311000.0,-0.185,-0.185,-0.185,101919000.0,,101919000.0,75107952.0,-4.0,-6.041,-7732000.0,-0.135,1.0,-1361000.0,-0.116,9978000.0,0.0,68446000.0,,0.0,0.0,0.0,0.0,37341000.0,36355000.0,986000.0,119005952.0,-8425000.0,0.0,10000.0,0.0,0.0,10000.0,-2031000.0,0.0,-6352000.0,-52000.0,-10553000.0,-10553000.0,-10553000.0,0.0,0.0,-0.898,15916000.0,-17277000.0,14808000.0,0.0,1.168,-10.243,-10.146,10044000.0,0.0,2.08,1.927,1.926,43478000.0,11489000.0,11746000.0,11746000.0,6953000.0,,,,,0.0,8963000.0,1.0,57214400.0,57376000.0,57376000.0,0.205,129282000.0,0.0,-5758000.0,750000.0,2.253,33883000.0
44185,PEGA,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-07-28,-423000.0,147955000.0,,70733000.0,77222000.0,,1.957,-3232000.0,33231000.0,33231000.0,6581000.0,-1215000.0,2.192,0.321,0.0,0.0,0.0,0.0,18521000.0,1523000.0,0.0,0.0,0.0,-1960000.0,-437000.0,-0.025,-437000.0,-1960000.0,-1960000.0,-0.02,-0.02,-0.02,112022000.0,,112022000.0,396080736.0,71.0,37.093,-10749000.0,-0.188,1.0,11050000.0,0.627,9932000.0,0.0,72528000.0,,0.0,0.0,0.0,0.0,35933000.0,32264000.0,3669000.0,439978736.0,-10667000.0,0.0,128000.0,0.0,0.0,128000.0,-3232000.0,0.0,-7517000.0,-46000.0,-1215000.0,-1215000.0,-1215000.0,0.0,0.0,-0.069,14432000.0,-3382000.0,10259000.0,0.0,3.928,126.503,118.308,9187000.0,0.0,7.69,6.07,6.074,35314000.0,22042000.0,17631000.0,17631000.0,6335000.0,,,,,0.0,8097000.0,1.0,57214400.0,57256000.0,57256000.0,0.308,138023000.0,0.0,-745000.0,7153000.0,2.411,38469000.0
44186,PEGA,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-07-28,-377000.0,141584000.0,,76044000.0,65540000.0,,1.98,-1633000.0,43898000.0,43898000.0,6180000.0,500000.0,3.071,0.251,0.0,0.0,0.0,0.0,11265000.0,1244000.0,0.0,0.0,0.0,807000.0,2051000.0,0.113,2051000.0,807000.0,807000.0,0.01,0.01,0.01,113151000.0,,113151000.0,721091908.0,146.0,72.428,-9838000.0,-0.172,1.0,11977000.0,0.66,10524000.0,0.0,62398000.0,,0.0,0.0,0.0,0.0,28433000.0,24764000.0,3669000.0,774604908.0,-9615000.0,0.0,277000.0,0.0,0.0,277000.0,-1633000.0,0.0,-8205000.0,-54000.0,500000.0,500000.0,500000.0,0.0,0.0,0.028,12372000.0,-395000.0,9259000.0,0.0,6.846,252.068,246.636,6883000.0,0.0,13.565,12.194,12.203,30025000.0,23257000.0,18157000.0,18157000.0,5310000.0,,,,,0.0,7062000.0,1.0,57103200.0,57146000.0,61562000.0,0.318,131060000.0,0.0,307000.0,7909000.0,2.293,51280000.0
44187,PEGA,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-07-28,-323000.0,135062000.0,,76965000.0,58097000.0,,1.969,-1131000.0,53513000.0,53513000.0,4230000.0,-350000.0,4.057,0.201,0.0,0.0,0.0,0.0,8251000.0,1402000.0,0.0,0.0,0.0,-565000.0,837000.0,0.059,837000.0,-565000.0,-565000.0,-0.005,-0.005,-0.005,112422000.0,,112422000.0,,,,1461000.0,0.026,1.0,10004000.0,0.703,11116000.0,0.0,51462000.0,,0.0,0.0,0.0,0.0,22640000.0,18971000.0,3669000.0,520948075.0,1508000.0,0.0,16000.0,0.0,0.0,16000.0,-1131000.0,0.0,2592000.0,31000.0,-350000.0,-350000.0,-350000.0,0.0,0.0,-0.025,11747000.0,-1743000.0,6956000.0,0.0,4.634,5724.704,,5897000.0,0.0,9.125,10.288,10.289,21419000.0,22757000.0,14234000.0,14234000.0,5211000.0,,,,,0.0,6536000.0,1.0,57090200.0,57094000.0,57094000.0,0.249,123946000.0,0.0,-215000.0,7433000.0,2.171,57994000.0
44188,PEGA,ARY,1998-12-31,1999-04-16,1998-12-31,2021-07-28,-475000.0,138098000.0,141085750.0,69549000.0,68549000.0,0.428,1.756,-7520000.0,24806000.0,24806000.0,25047000.0,-13070000.0,1.896,0.375,325000.0,123000.0,202000.0,325000.0,21714000.0,5595000.0,0.0,0.0,0.0,-19481000.0,-13886000.0,-0.23,-13886000.0,-19481000.0,-19481000.0,-0.23,-0.23,-0.23,100467000.0,111534500.0,100467000.0,99365501.0,-5.0,-7.156,-27509000.0,-0.481,1.0,35359000.0,0.585,9505000.0,0.0,67433000.0,65474250.0,0.0,0.0,0.0,0.0,37631000.0,36679000.0,952000.0,123846501.0,-27199000.0,0.0,431000.0,0.0,0.0,431000.0,-7520000.0,0.0,-19989000.0,-121000.0,-13070000.0,-13070000.0,-13070000.0,0.0,0.0,-0.216,59608000.0,-24249000.0,14842000.0,0.0,1.233,-9.476,-9.376,10044000.0,0.0,2.156,2.05,2.042,42316000.0,10037000.0,60406000.0,60406000.0,23380000.0,-0.093,-0.117,-0.298,-0.323,0.0,36228000.0,1.0,57429400.0,57208000.0,57208000.0,1.056,128593000.0,0.0,-6411000.0,750000.0,2.248,32870000.0
