None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
44007,PER1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-04-24,699000.0,382146000.0,351281000.0,308392000.0,73754000.0,2.828,1.855,-17572000.0,144907000.0,144907000.0,787877000.0,40465000.0,1.303,1.68,0.0,0.0,0.0,0.0,9397000.0,37514000.0,0.0,,0.0,76206000.0,113720000.0,0.114,113720000.0,76206000.0,76206000.0,0.53,0.42,0.53,142583000.0,122381750.0,142583000.0,,,,96309000.0,1.253,1.0,205712000.0,0.207,0.0,0.0,586000.0,31383750.0,0.0,16324000.0,0.0,16324000.0,239563000.0,236653000.0,2910000.0,,109609000.0,0.0,5677000.0,-1380000.0,0.0,4183000.0,-11145000.0,5162000.0,113881000.0,2690000.0,40465000.0,40465000.0,40465000.0,0.0,0.0,0.041,141665000.0,64047000.0,41824000.0,0.0,,,,39508000.0,0.0,,,,115441000.0,,993589000.0,993589000.0,0.0,0.115,0.331,2.428,0.077,0.0,140262000.0,1.0,38979537.0,76882000.0,97142000.0,12.924,382146000.0,32081000.0,35741000.0,0.0,4.971,71739000.0
44008,PER1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-04-24,699000.0,382146000.0,351281000.0,308392000.0,73754000.0,2.828,1.855,-17572000.0,144907000.0,144907000.0,787877000.0,40465000.0,1.303,1.68,0.0,0.0,0.0,0.0,9397000.0,37514000.0,0.0,,0.0,76206000.0,113720000.0,0.114,113720000.0,76206000.0,76206000.0,0.53,0.42,0.53,142583000.0,122381750.0,142583000.0,,,,96309000.0,1.253,1.0,205712000.0,0.207,0.0,0.0,586000.0,31383750.0,0.0,16324000.0,0.0,16324000.0,239563000.0,236653000.0,2910000.0,,109609000.0,0.0,5677000.0,-1380000.0,0.0,4183000.0,-11145000.0,5162000.0,113881000.0,2690000.0,40465000.0,40465000.0,40465000.0,0.0,0.0,0.041,141665000.0,64047000.0,41824000.0,0.0,,,,39508000.0,0.0,,,,115441000.0,,993589000.0,993589000.0,0.0,0.115,0.331,2.428,0.077,0.0,140262000.0,1.0,38979537.0,76882000.0,97142000.0,12.924,382146000.0,32081000.0,35741000.0,0.0,4.971,71739000.0
44009,PER1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-04-24,1141000.0,390535000.0,322520250.0,317154000.0,73381000.0,2.942,1.675,-20928000.0,102153000.0,102153000.0,773691000.0,25803000.0,1.228,2.023,2215000.0,1122000.0,1093000.0,2215000.0,13732000.0,40024000.0,0.0,,0.0,48239000.0,88263000.0,0.093,88263000.0,48239000.0,47726000.0,0.34,0.27,0.34,129180000.0,110065000.0,129180000.0,,,,99348000.0,1.288,1.0,175248000.0,0.185,7240000.0,513000.0,25012000.0,43224000.0,0.0,0.0,0.0,0.0,261355000.0,258345000.0,3010000.0,,89119000.0,1653000.0,6293000.0,-26244000.0,0.0,-20699000.0,-14113000.0,5162000.0,120276000.0,3655000.0,25803000.0,25803000.0,25803000.0,0.0,0.0,0.027,134317000.0,40931000.0,55620000.0,0.0,,,,39974000.0,0.0,,,,161682000.0,,948939000.0,948939000.0,0.0,0.08,0.234,1.116,0.051,0.0,132935000.0,1.0,38416170.0,77128000.0,98397000.0,12.303,383295000.0,47884000.0,21923000.0,26541000.0,4.97,58809000.0
44010,PER1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-04-24,-829000.0,331622000.0,291662250.0,254462000.0,77160000.0,3.018,1.508,-31286000.0,68256000.0,68256000.0,717536000.0,22263000.0,1.195,1.87,2391000.0,1241000.0,1150000.0,2391000.0,0.0,37027000.0,0.0,,0.0,39623000.0,76650000.0,0.087,76650000.0,39623000.0,38715000.0,0.19,0.16,0.19,115541000.0,101099000.0,115541000.0,,,,66382000.0,0.867,1.0,162715000.0,0.185,0.0,908000.0,52748000.0,48957750.0,0.0,0.0,0.0,0.0,216081000.0,213009000.0,3072000.0,,51273000.0,-436000.0,2366000.0,-21467000.0,0.0,-19732000.0,-26560000.0,5162000.0,97668000.0,-103000.0,22263000.0,22263000.0,22263000.0,0.0,0.0,0.025,128186000.0,34529000.0,56313000.0,0.0,,,,40663000.0,0.0,,,,140527000.0,,880251000.0,880251000.0,0.0,0.076,0.22,0.809,0.045,0.0,128124000.0,1.0,38210018.0,76603000.0,96635000.0,11.491,331622000.0,28958000.0,16452000.0,0.0,4.329,41453000.0
44011,PER1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-04-24,0.0,300821000.0,,224437000.0,76384000.0,,1.34,-44000000.0,61584000.0,61584000.0,676499000.0,13578000.0,1.152,1.943,2703000.0,1066000.0,1637000.0,2703000.0,28006000.0,37716000.0,0.0,,0.0,25502000.0,63218000.0,0.076,63218000.0,25502000.0,24366000.0,0.1,0.09,0.1,102223000.0,,102223000.0,,,,40425000.0,0.53,1.0,150138000.0,0.182,0.0,1136000.0,47189000.0,,0.0,0.0,0.0,0.0,198598000.0,194751000.0,3847000.0,,29484000.0,-12080000.0,9056000.0,-13069000.0,0.0,-3716000.0,-50918000.0,5162000.0,84425000.0,-307000.0,13578000.0,13578000.0,13578000.0,0.0,0.0,0.016,127961000.0,22177000.0,51044000.0,0.0,,,,41213000.0,0.0,,,,125237000.0,,826637000.0,826637000.0,0.0,,,,0.031,0.0,127669000.0,1.0,38074639.0,76289000.0,91620000.0,10.836,300821000.0,24906000.0,10788000.0,14499000.0,3.943,29686000.0
44012,PER1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-04-24,699000.0,382146000.0,,308392000.0,73754000.0,,1.84,-6255000.0,144907000.0,144907000.0,212794000.0,12270000.0,1.303,1.68,0.0,0.0,0.0,0.0,9397000.0,8074000.0,0.0,,0.0,24137000.0,32211000.0,0.12,32211000.0,24137000.0,24321000.0,0.16,0.13,0.16,142583000.0,,142583000.0,,,,42535000.0,0.549,1.0,56610000.0,0.21,0.0,-184000.0,586000.0,,0.0,16324000.0,0.0,16324000.0,239563000.0,236653000.0,2910000.0,,42754000.0,-1339000.0,-294000.0,-679000.0,0.0,-321000.0,-6329000.0,0.0,48790000.0,614000.0,12270000.0,12270000.0,12270000.0,0.0,0.0,0.046,37448000.0,19162000.0,41824000.0,0.0,,,,39508000.0,0.0,,,,115441000.0,,269404000.0,269404000.0,0.0,,,,,0.0,37148000.0,1.0,38979537.0,77506000.0,97841000.0,3.476,382146000.0,32081000.0,12051000.0,0.0,4.931,71739000.0
44013,PER1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-04-24,1141000.0,390535000.0,,317154000.0,73381000.0,,1.675,-6234000.0,102153000.0,102153000.0,215193000.0,9051000.0,1.228,2.023,2215000.0,1122000.0,1093000.0,2215000.0,13732000.0,12614000.0,0.0,,0.0,18654000.0,31268000.0,0.115,31268000.0,18654000.0,18596000.0,0.12,0.09,0.12,129180000.0,,129180000.0,,,,26428000.0,0.343,1.0,56280000.0,0.207,7240000.0,58000.0,25012000.0,,0.0,0.0,0.0,0.0,261355000.0,258345000.0,3010000.0,,33897000.0,1697000.0,3724000.0,-188000.0,0.0,3496000.0,-4537000.0,0.0,32662000.0,2276000.0,9051000.0,9051000.0,9051000.0,0.0,0.0,0.033,40719000.0,15561000.0,55620000.0,0.0,,,,39974000.0,0.0,,,,161682000.0,,271473000.0,271473000.0,0.0,,,,,0.0,37063000.0,1.0,38416170.0,77128000.0,98397000.0,3.52,383295000.0,47884000.0,9545000.0,26541000.0,4.97,58809000.0
44014,PER1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-04-24,-829000.0,331622000.0,,254462000.0,77160000.0,,1.508,-285000.0,68256000.0,68256000.0,189973000.0,10100000.0,1.195,1.87,2391000.0,1241000.0,1150000.0,2391000.0,0.0,7927000.0,0.0,,0.0,17605000.0,25532000.0,0.107,25532000.0,17605000.0,17560000.0,0.13,0.1,0.13,115541000.0,,115541000.0,,,,5946000.0,0.078,1.0,48652000.0,0.204,0.0,45000.0,52748000.0,,0.0,0.0,0.0,0.0,216081000.0,213009000.0,3072000.0,,6672000.0,-307000.0,2051000.0,-319000.0,0.0,909000.0,-592000.0,0.0,6231000.0,124000.0,10100000.0,10100000.0,10100000.0,0.0,0.0,0.042,33369000.0,15283000.0,56313000.0,0.0,,,,40663000.0,0.0,,,,140527000.0,,238625000.0,238625000.0,0.0,,,,,0.0,33269000.0,1.0,38210018.0,76603000.0,96635000.0,3.115,331622000.0,28958000.0,7460000.0,0.0,4.329,41453000.0
44015,PER1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-04-24,0.0,300821000.0,,224437000.0,76384000.0,,1.34,-4798000.0,61584000.0,61584000.0,169917000.0,9044000.0,1.152,1.943,2703000.0,1066000.0,1637000.0,2703000.0,28006000.0,8899000.0,0.0,,0.0,15810000.0,24709000.0,0.115,24709000.0,15810000.0,15729000.0,0.12,0.1,0.12,102223000.0,,102223000.0,,,,21400000.0,0.281,1.0,44170000.0,0.206,0.0,81000.0,47189000.0,,0.0,0.0,0.0,0.0,198598000.0,194751000.0,3847000.0,,26286000.0,-51000.0,196000.0,-194000.0,0.0,99000.0,313000.0,5162000.0,26198000.0,-324000.0,9044000.0,9044000.0,9044000.0,0.0,0.0,0.042,30129000.0,14041000.0,51044000.0,0.0,,,,41213000.0,0.0,,,,125237000.0,,214087000.0,214087000.0,0.0,,,,,0.0,32782000.0,1.0,38074639.0,76289000.0,91620000.0,2.806,300821000.0,24906000.0,6685000.0,14499000.0,3.943,29686000.0
44016,PER1,ARY,1998-12-31,1999-03-23,1998-12-31,2019-04-24,699000.0,382146000.0,351094000.0,308392000.0,73754000.0,2.83,1.855,-17572000.0,144907000.0,144907000.0,787877000.0,40465000.0,1.303,1.68,1544000.0,883000.0,661000.0,1544000.0,9397000.0,37514000.0,0.0,0.0,0.0,76451000.0,113965000.0,0.115,113965000.0,76451000.0,76206000.0,0.53,0.42,0.53,142583000.0,122381750.0,142583000.0,2335205418.0,31.0,20.491,96309000.0,1.253,1.0,205712000.0,0.207,5587000.0,245000.0,-3457000.0,30373000.0,0.0,16324000.0,0.0,16324000.0,239563000.0,236653000.0,2910000.0,2478568418.0,109609000.0,1637000.0,5677000.0,-1380000.0,0.0,4183000.0,-11145000.0,5162000.0,113881000.0,2690000.0,40465000.0,40465000.0,40465000.0,0.0,0.0,0.041,141665000.0,64047000.0,41824000.0,0.0,17.383,61.252,54.009,39508000.0,0.0,28.625,2.495,2.215,115441000.0,,993589000.0,993589000.0,0.0,0.115,0.331,2.517,0.077,0.0,140262000.0,1.0,86587543.0,76882000.0,97142000.0,12.924,376559000.0,32081000.0,35741000.0,16420000.0,4.898,71739000.0
