None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
43518,PFIS,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.269,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.264,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3270654.0,3270654.0,,2.874,247202377.0,0.0,903804.0,0.0,75.582,
43519,PFIS,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.269,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.264,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3270654.0,3270654.0,,2.874,247202377.0,0.0,903804.0,0.0,75.582,
43520,PFIS,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.149,-455813.0,4132000.0,4132000.0,0.0,3309259.0,,7.951,6331000.0,,,6331000.0,0.0,749526.0,204702000.0,,0.0,4181878.0,4931404.0,0.534,4931404.0,4181878.0,4181878.0,1.013,1.013,1.013,26693000.0,,26693000.0,,,,3930942.0,1.2,1.0,9238538.0,1.0,0.0,0.0,241128000.0,,0.0,225134000.0,,,212236000.0,,,,-1192871.0,0.0,-157040.0,-1402084.0,-944292.0,3676248.0,-9255874.0,1787719.0,4386755.0,0.0,3309259.0,3309259.0,3309259.0,0.0,0.0,0.358,5046660.0,4191878.0,0.0,0.0,,,,3558000.0,0.0,,,,0.0,17623000.0,9238538.0,9238538.0,0.0,,,,0.453,0.0,3601355.0,1.0,3275494.0,3275494.0,,2.821,238929000.0,0.0,872619.0,0.0,72.944,
43521,PFIS,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-06,506000.0,230591000.0,,,,,7.904,-452813.0,6233000.0,6233000.0,0.0,3170259.0,,7.906,4925000.0,,,4925000.0,0.0,730526.0,198582000.0,,0.0,4049878.0,4780404.0,0.52,4780404.0,4049878.0,4049878.0,0.973,0.973,0.973,25891000.0,,25891000.0,,,,3650942.0,1.115,1.0,9186538.0,1.0,0.0,0.0,229283000.0,,0.0,214579000.0,,,204700000.0,,,,-1551871.0,0.0,-96040.0,169916.0,-865292.0,3564248.0,-9219874.0,-8786281.0,4103755.0,0.0,3170259.0,3170259.0,3170259.0,0.0,0.0,0.345,5126660.0,4059878.0,0.0,0.0,,,,3600000.0,0.0,,,,0.0,17067000.0,9186538.0,9186538.0,0.0,,,,0.441,0.0,3678355.0,1.0,3275494.0,3275494.0,,2.805,230591000.0,0.0,879619.0,0.0,70.399,
43522,PFIS,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-06,,,,,,,,,,,0.0,3118259.0,,,,,,,,,,,0.0,3955878.0,,,,3955878.0,3955878.0,0.951,,0.951,,,,,,,,,1.0,9143538.0,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,3118259.0,3118259.0,3118259.0,0.0,0.0,0.341,5187660.0,3955878.0,,0.0,,,,,0.0,,,,,,9143538.0,9143538.0,0.0,,,,0.433,,3660355.0,1.0,3275494.0,3275494.0,,2.791,,,837619.0,,,
43523,PFIS,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-06,561470.0,247202377.0,,,,,8.269,-84334.0,4808693.0,4808693.0,0.0,960373.0,,8.14,9031975.0,,,9031975.0,0.0,182422.0,209881052.0,,0.0,1229177.0,1411599.0,0.556,1411599.0,1229177.0,1229177.0,0.293,0.293,0.293,27045694.0,,27045694.0,,,,1146434.0,0.351,1.0,2540767.0,1.0,0.0,0.0,251425659.0,,0.0,232710708.0,,,220156683.0,,,,676990.0,0.0,-74096.0,2702141.0,-261407.0,7545673.0,-8099451.0,-18650117.0,1230768.0,0.0,960373.0,960373.0,960373.0,0.0,0.0,0.378,1311590.0,1229177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,2540767.0,2540767.0,0.0,,,,,0.0,933890.0,1.0,3270654.0,3270654.0,,0.777,247202377.0,0.0,268804.0,0.0,75.582,
43524,PFIS,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.149,-69000.0,4132000.0,4132000.0,0.0,810000.0,,7.951,6331000.0,,,6331000.0,0.0,177000.0,204702000.0,,0.0,1012000.0,1189000.0,0.516,1189000.0,1012000.0,1012000.0,0.247,0.247,0.247,26693000.0,,26693000.0,,,,1131000.0,0.345,1.0,2306000.0,1.0,0.0,0.0,241128000.0,,0.0,225134000.0,,,212236000.0,,,,-2101000.0,0.0,-82000.0,1405000.0,-254000.0,7189000.0,-10490000.0,186000.0,1200000.0,0.0,810000.0,810000.0,810000.0,0.0,0.0,0.351,1294000.0,1012000.0,0.0,0.0,,,,3558000.0,0.0,,,,0.0,17623000.0,2306000.0,2306000.0,0.0,,,,,0.0,910000.0,1.0,3275494.0,3275494.0,,0.704,238929000.0,0.0,202000.0,0.0,72.944,
43525,PFIS,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-06,506000.0,230591000.0,,,,,7.904,-28000.0,6233000.0,6233000.0,0.0,832000.0,,7.906,4925000.0,,,4925000.0,0.0,176000.0,198582000.0,,0.0,1060000.0,1236000.0,0.545,1236000.0,1060000.0,1060000.0,0.26,0.26,0.26,25891000.0,,25891000.0,,,,931000.0,0.284,1.0,2268000.0,1.0,0.0,0.0,229283000.0,,0.0,214579000.0,,,204700000.0,,,,-611000.0,0.0,-12000.0,1524000.0,-253000.0,2654000.0,-4224000.0,-4226000.0,959000.0,0.0,832000.0,832000.0,832000.0,0.0,0.0,0.367,1198000.0,1070000.0,0.0,0.0,,,,3600000.0,0.0,,,,0.0,17067000.0,2268000.0,2268000.0,0.0,,,,,0.0,854000.0,1.0,3275494.0,3275494.0,,0.692,230591000.0,0.0,228000.0,0.0,70.399,
43526,PFIS,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-06,,,,,,,,-39000.0,,,0.0,793000.0,,,,,,,,174000.0,,,0.0,998000.0,1172000.0,0.513,1172000.0,998000.0,998000.0,0.24,0.24,0.24,,,,,,,927000.0,0.283,1.0,2284000.0,1.0,,0.0,,,,,,,,,,,1295000.0,0.0,-31000.0,-5874000.0,-227000.0,-2537000.0,2866000.0,2905000.0,966000.0,0.0,793000.0,793000.0,793000.0,0.0,0.0,0.347,1286000.0,998000.0,,0.0,,,,,0.0,,,,,,2284000.0,2284000.0,0.0,,,,,0.0,911000.0,1.0,3275494.0,3275494.0,,0.697,,,205000.0,,,
43527,PFIS,ARY,1998-12-31,1999-04-28,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.28,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.266,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3266364.0,3266364.0,,2.877,247202377.0,0.0,903804.0,0.0,75.681,
43528,PFIS,ARY,1998-12-31,1999-03-29,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.28,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.266,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3266364.0,3266364.0,,2.877,247202377.0,0.0,903804.0,0.0,75.681,
43529,PFIS,ART,1998-12-31,1999-04-28,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.28,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.266,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3266364.0,3266364.0,,2.877,247202377.0,0.0,903804.0,0.0,75.681,
43530,PFIS,ART,1998-12-31,1999-03-29,1998-12-31,2021-08-06,561470.0,247202377.0,237961146.0,,,0.039,8.28,-220334.0,4808693.0,4808693.0,0.0,3405373.0,,8.14,9031975.0,,,9031975.0,0.0,709422.0,209881052.0,,0.0,4309177.0,5018599.0,0.534,5018599.0,4309177.0,4309177.0,1.04,1.04,1.04,27045694.0,25844808.0,27045694.0,,,,4135434.0,1.266,1.0,9398767.0,1.0,0.0,0.0,251425659.0,241935852.0,0.0,232710708.0,,,220156683.0,,,,-740010.0,0.0,-199096.0,-242859.0,-995407.0,14851673.0,-19947451.0,-19785117.0,4355768.0,0.0,3405373.0,3405373.0,3405373.0,0.0,0.0,0.362,5089590.0,4309177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,9398767.0,9398767.0,0.0,0.014,0.132,0.018,0.458,0.0,3608890.0,1.0,3266364.0,3266364.0,,2.877,247202377.0,0.0,903804.0,0.0,75.681,
43531,PFIS,ART,1998-09-30,1998-12-02,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.161,,4132000.0,4132000.0,,,,7.951,6331000.0,,,6331000.0,0.0,,204702000.0,,0.0,,,,,,,,,,26693000.0,,26693000.0,,,,,,1.0,,,0.0,,241128000.0,,0.0,225134000.0,,,212236000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,3558000.0,,,,,0.0,17623000.0,,,,,,,,,,1.0,3270654.0,3270654.0,,,238929000.0,0.0,,0.0,73.052,
43532,PFIS,ART,1998-09-30,1998-11-16,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.161,,4132000.0,4132000.0,,,,7.951,6331000.0,,,6331000.0,0.0,,204702000.0,,0.0,,,,,,,,,,26693000.0,,26693000.0,,,,,,1.0,,,0.0,,241128000.0,,0.0,225134000.0,,,212236000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,3558000.0,,,,,0.0,17623000.0,,,,,,,,,,1.0,3270654.0,3270654.0,,,238929000.0,0.0,,0.0,73.052,
43533,PFIS,ART,1998-06-30,1998-08-14,1998-06-30,2021-08-06,506000.0,230591000.0,,,,,7.904,,6233000.0,6233000.0,,,,7.906,4925000.0,,,4925000.0,0.0,,198582000.0,,0.0,,,,,,,,,,25891000.0,,25891000.0,,,,,,1.0,,,0.0,,229283000.0,,0.0,214579000.0,,,204700000.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,3600000.0,,,,,0.0,17067000.0,,,,,,,,,,1.0,3275494.0,3275494.0,,,230591000.0,0.0,,0.0,70.399,
43534,PFIS,ARQ,1998-12-31,1999-04-28,1998-12-31,2021-08-06,561470.0,247202377.0,,,,,8.28,-84334.0,4808693.0,4808693.0,0.0,960373.0,,8.14,9031975.0,,,9031975.0,0.0,182422.0,209881052.0,,0.0,1229177.0,1411599.0,0.556,1411599.0,1229177.0,1229177.0,0.293,0.293,0.293,27045694.0,,27045694.0,,,,1146434.0,0.351,1.0,2540767.0,1.0,0.0,0.0,251425659.0,,0.0,232710708.0,,,220156683.0,,,,676990.0,0.0,-74096.0,2702141.0,-261407.0,7545673.0,-8099451.0,-8043117.0,1230768.0,0.0,960373.0,960373.0,960373.0,0.0,0.0,0.378,1311590.0,1229177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,2540767.0,2540767.0,0.0,,,,,0.0,933890.0,1.0,3266364.0,3266364.0,,0.778,247202377.0,0.0,268804.0,0.0,75.681,
43535,PFIS,ARQ,1998-12-31,1999-03-29,1998-12-31,2021-08-06,561470.0,247202377.0,,,,,8.28,-84334.0,4808693.0,4808693.0,0.0,960373.0,,8.14,9031975.0,,,9031975.0,0.0,182422.0,209881052.0,,0.0,1229177.0,1411599.0,0.556,1411599.0,1229177.0,1229177.0,0.293,0.293,0.293,27045694.0,,27045694.0,,,,1146434.0,0.351,1.0,2540767.0,1.0,0.0,0.0,251425659.0,,0.0,232710708.0,,,220156683.0,,,,676990.0,0.0,-74096.0,2702141.0,-261407.0,7545673.0,-8099451.0,-8043117.0,1230768.0,0.0,960373.0,960373.0,960373.0,0.0,0.0,0.378,1311590.0,1229177.0,0.0,0.0,,,,3523053.0,0.0,,,,0.0,18322095.0,2540767.0,2540767.0,0.0,,,,,0.0,933890.0,1.0,3266364.0,3266364.0,,0.778,247202377.0,0.0,268804.0,0.0,75.681,
43536,PFIS,ARQ,1998-09-30,1998-12-02,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.161,-69000.0,4132000.0,4132000.0,0.0,810000.0,,7.951,6331000.0,,,6331000.0,0.0,177000.0,204702000.0,,0.0,1012000.0,1189000.0,0.515,1189000.0,1012000.0,1012000.0,0.247,0.247,0.247,26693000.0,,26693000.0,,,,1131000.0,0.346,1.0,2307000.0,1.0,0.0,0.0,241128000.0,,0.0,225134000.0,,,212236000.0,,,,-2101000.0,0.0,-82000.0,1405000.0,-254000.0,7189000.0,-10490000.0,-10421000.0,1200000.0,0.0,810000.0,810000.0,810000.0,0.0,0.0,0.351,1295000.0,1012000.0,0.0,0.0,,,,3558000.0,0.0,,,,0.0,17623000.0,2307000.0,2307000.0,0.0,,,,,0.0,911000.0,1.0,3270654.0,3270654.0,,0.705,238929000.0,0.0,202000.0,0.0,73.052,
43537,PFIS,ARQ,1998-09-30,1998-11-16,1998-09-30,2021-08-06,834000.0,238929000.0,,,,,8.161,-69000.0,4132000.0,4132000.0,0.0,810000.0,,7.951,6331000.0,,,6331000.0,0.0,177000.0,204702000.0,,0.0,1012000.0,1189000.0,0.516,1189000.0,1012000.0,1012000.0,0.245,,0.245,26693000.0,,26693000.0,,,,1131000.0,0.346,1.0,2306000.0,1.0,0.0,0.0,241128000.0,,0.0,225134000.0,,,212236000.0,,,,-2101000.0,0.0,-82000.0,1405000.0,-254000.0,7189000.0,-10490000.0,-10421000.0,1200000.0,0.0,810000.0,810000.0,810000.0,0.0,0.0,0.351,1294000.0,1012000.0,0.0,0.0,,,,3558000.0,0.0,,,,0.0,17623000.0,2306000.0,2306000.0,0.0,,,,,0.0,910000.0,1.0,3270654.0,3270654.0,,0.705,238929000.0,0.0,202000.0,0.0,73.052,
43538,PFIS,ARQ,1998-06-30,1998-08-14,1998-06-30,2021-08-06,506000.0,230591000.0,,,,,7.904,,6233000.0,6233000.0,0.0,832000.0,,7.906,4925000.0,,,4925000.0,0.0,,198582000.0,,0.0,1060000.0,,,,1060000.0,1060000.0,0.256,,0.256,25891000.0,,25891000.0,,,,,,1.0,2268000.0,1.0,0.0,0.0,229283000.0,,0.0,214579000.0,,,204700000.0,,,,,,,,,,,,,,832000.0,832000.0,832000.0,0.0,0.0,0.367,1208000.0,1060000.0,0.0,0.0,,,,3600000.0,0.0,,,,0.0,17067000.0,2268000.0,2268000.0,0.0,,,,,,854000.0,1.0,3275494.0,3275494.0,,0.692,230591000.0,0.0,228000.0,0.0,70.399,
