None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
38363,PTII,MRY,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,38386965.0,39336502.0,29755281.0,8631684.0,1.539,11.717,-3330033.0,837618.0,837618.0,43283112.0,2492229.0,1.531,1.025,15217550.0,15217550.0,0.0,15217550.0,0.0,2171264.0,0.0,0.0,0.0,5366204.0,7537468.0,0.125,7537468.0,5366204.0,4350701.0,1.53,1.47,1.53,18952054.0,18341625.0,18952054.0,35070727.0,7.0,4.653,-11071515.0,-6.845,1.0,17238899.0,0.285,5346858.0,1015503.0,27985128.0,27050514.0,15811781.0,0.0,0.0,0.0,19434911.0,19434911.0,0.0,17948649.0,155458.0,-1307859.0,140001.0,13149289.0,0.0,13289290.0,-5392350.0,-754458.0,-7741482.0,0.0,2492229.0,2492229.0,2492229.0,0.0,0.0,0.041,11872695.0,5366204.0,4217361.0,0.0,0.947,7.202,7.108,3066426.0,0.0,10.875,0.297,0.291,11169056.0,2677595.0,60522011.0,60522011.0,0.0,0.063,0.136,0.198,0.089,0.0,11872695.0,1.0,1650451.0,1617463.0,1695795.0,37.418,33040107.0,484400.0,1858472.0,0.0,20.427,10320370.0
38364,PTII,MRT,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,38386965.0,39336502.0,29755281.0,8631684.0,1.539,11.717,-3330033.0,837618.0,837618.0,43283112.0,2492229.0,1.531,1.025,15217550.0,15217550.0,0.0,15217550.0,0.0,2171264.0,0.0,0.0,0.0,5366204.0,7537468.0,0.125,7537468.0,5366204.0,4350701.0,1.53,1.47,1.53,18952054.0,18341625.0,18952054.0,35070727.0,7.0,4.653,-11071515.0,-6.845,1.0,17238899.0,0.285,5346858.0,1015503.0,27985128.0,27050514.0,15811781.0,0.0,0.0,0.0,19434911.0,19434911.0,0.0,17948649.0,155458.0,-1307859.0,140001.0,13149289.0,0.0,13289290.0,-5392350.0,-754458.0,-7741482.0,0.0,2492229.0,2492229.0,2492229.0,0.0,0.0,0.041,11872695.0,5366204.0,4217361.0,0.0,0.947,7.202,7.108,3066426.0,0.0,10.875,0.297,0.291,11169056.0,2677595.0,60522011.0,60522011.0,0.0,0.063,0.136,0.198,0.089,0.0,11872695.0,1.0,1650451.0,1617463.0,1695795.0,37.418,33040107.0,484400.0,1858472.0,0.0,20.427,10320370.0
38365,PTII,MRT,1998-09-30,1998-09-30,1998-09-30,2019-04-02,0.0,46331398.0,35021503.0,37490164.0,8841234.0,1.541,11.595,-3675871.0,794260.0,794260.0,37920174.0,2835785.0,1.361,1.465,17916338.0,17916338.0,0.0,17916338.0,0.0,1846230.0,0.0,0.0,0.0,5505402.0,7351632.0,0.136,7351632.0,5505402.0,4730577.0,1.8,1.71,1.8,18794023.0,17683567.0,18794023.0,45821754.0,8.0,6.233,-12305182.0,-7.592,1.0,16031061.0,0.297,5321013.0,774825.0,30595088.0,23412458.0,21173618.0,0.0,0.0,0.0,27537375.0,27537375.0,0.0,30277941.0,64155.0,-1703809.0,373574.0,14588638.0,0.0,14938629.0,-6245163.0,-865483.0,-8629311.0,0.0,2835785.0,2835785.0,2835785.0,0.0,0.0,0.053,10525659.0,5505402.0,8810150.0,0.0,1.611,10.677,10.521,3312531.0,0.0,18.938,0.561,0.569,12005194.0,2534564.0,53951235.0,53951235.0,0.0,0.081,0.16,0.235,0.102,-207693.0,9920092.0,1.0,1598835.0,1620833.0,1706126.0,33.286,41010385.0,492030.0,1894792.0,0.0,25.302,9952789.0
38366,PTII,MRT,1998-06-30,1998-06-30,1998-06-30,2019-04-02,0.0,40661690.0,,31915065.0,8746625.0,,11.614,-3385495.0,286173.0,286173.0,34172199.0,3359759.0,1.445,1.19,15829986.0,15829986.0,0.0,15829986.0,0.0,1492260.0,0.0,0.0,0.0,6009196.0,7501456.0,0.151,7501456.0,6009196.0,5602409.0,2.13,2.04,2.13,18568333.0,,18568333.0,39834303.0,7.0,5.31,-11057351.0,-6.916,1.0,15364232.0,0.31,5379004.0,406787.0,28733142.0,,14380906.0,0.0,0.0,0.0,22093357.0,22093357.0,0.0,31776849.0,-665063.0,-4271067.0,3285060.0,11702213.0,0.0,14985522.0,-7978729.0,-322167.0,-7671856.0,0.0,3359759.0,3359759.0,3359759.0,0.0,0.0,0.068,9355036.0,6009196.0,5673026.0,0.0,1.711,9.458,9.331,3174841.0,0.0,19.875,0.641,0.641,15561027.0,2433875.0,49536431.0,49536431.0,0.0,,,,0.121,-207693.0,9355036.0,1.0,1598835.0,1598835.0,1702146.0,30.983,35282686.0,344400.0,2242650.0,0.0,22.068,9821708.0
38367,PTII,MRT,1998-03-31,1998-03-31,1998-03-31,2019-04-02,0.0,31965953.0,,24867197.0,7098756.0,,10.665,-2928857.0,380034.0,380034.0,27868459.0,-967991.0,1.667,0.875,8437488.0,8437488.0,0.0,8437488.0,0.0,1298288.0,0.0,0.0,0.0,1086720.0,2385008.0,0.06,2385008.0,1086720.0,836344.0,-1.17,-1.2,-1.17,17052089.0,,17052089.0,,,,-5913668.0,-3.699,1.0,12214147.0,0.305,4220847.0,250376.0,20888696.0,,10870850.0,0.0,0.0,0.0,14913864.0,14913864.0,0.0,38072263.0,468212.0,-1855289.0,3304859.0,5617235.0,0.0,8864984.0,-5411961.0,-627815.0,-2984811.0,0.0,-967991.0,-967991.0,-967991.0,0.0,0.0,-0.024,11127427.0,1086720.0,5889578.0,0.0,2.233,-39.331,-20.353,2695629.0,0.0,23.813,0.95,0.95,11489538.0,917631.0,40082606.0,40082606.0,0.0,,,,0.027,3636838.0,11127427.0,1.0,1598835.0,1598835.0,1759832.0,25.07,27745106.0,354060.0,1804335.0,586798.0,17.353,9953333.0
38368,PTII,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,38386965.0,,29755281.0,8631684.0,,11.478,-872357.0,837618.0,837618.0,12381716.0,143031.0,1.531,1.025,15217550.0,15217550.0,0.0,15217550.0,0.0,982237.0,0.0,0.0,0.0,609099.0,1591336.0,0.097,1591336.0,609099.0,291945.0,0.06,0.09,0.06,18952054.0,,18952054.0,35070727.0,7.0,4.653,2162606.0,1.31,1.0,4079551.0,0.248,5346858.0,317154.0,27985128.0,,15811781.0,0.0,0.0,0.0,19434911.0,19434911.0,0.0,17948649.0,43358.0,395950.0,15000.0,-2698788.0,0.0,-2683788.0,-307817.0,168590.0,3034963.0,0.0,143031.0,143031.0,143031.0,0.0,0.0,0.009,3470452.0,609099.0,4217361.0,0.0,0.947,7.202,7.108,3066426.0,0.0,10.875,0.297,0.291,11169056.0,2677595.0,16461267.0,16461267.0,0.0,,,,,0.0,4979870.0,1.0,1650451.0,1651107.0,1642827.0,9.97,33040107.0,484400.0,148914.0,0.0,20.011,10320370.0
38369,PTII,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-04-02,0.0,46331398.0,,37490164.0,8841234.0,,11.595,-541503.0,794260.0,794260.0,9535984.0,100689.0,1.361,1.465,17916338.0,17916338.0,0.0,17916338.0,0.0,461805.0,0.0,0.0,0.0,596909.0,1058714.0,0.082,1058714.0,596909.0,173600.0,0.06,0.06,0.06,18794023.0,,18794023.0,45821754.0,8.0,6.233,-1553587.0,-0.959,1.0,3381549.0,0.262,5321013.0,423309.0,30595088.0,,21173618.0,0.0,0.0,0.0,27537375.0,27537375.0,0.0,30277941.0,508087.0,0.0,125001.0,2086352.0,0.0,2211353.0,-691182.0,-149679.0,-1012084.0,0.0,100689.0,100689.0,100689.0,0.0,0.0,0.008,2784640.0,596909.0,8810150.0,0.0,1.611,10.677,10.521,3312531.0,0.0,18.938,0.561,0.569,12005194.0,2534564.0,12917533.0,12917533.0,0.0,,,,,0.0,2179073.0,1.0,1598835.0,1620833.0,1706126.0,7.97,41010385.0,492030.0,72911.0,0.0,25.302,9952789.0
38370,PTII,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-04-02,0.0,40661690.0,,31915065.0,8746625.0,,11.614,-657864.0,286173.0,286173.0,13310903.0,1516244.0,1.445,1.19,15829986.0,15829986.0,0.0,15829986.0,0.0,438733.0,0.0,0.0,0.0,2850344.0,3289077.0,0.17,3289077.0,2850344.0,2622630.0,0.96,0.9,0.96,18568333.0,,18568333.0,39834303.0,7.0,5.31,-5928440.0,-3.708,1.0,6086331.0,0.314,5379004.0,227714.0,28733142.0,,14380906.0,0.0,0.0,0.0,22093357.0,22093357.0,0.0,31776849.0,-93861.0,-1703809.0,0.0,7392498.0,0.0,7449497.0,-2272782.0,88891.0,-5270576.0,0.0,1516244.0,1516244.0,1516244.0,0.0,0.0,0.078,3235987.0,2850344.0,5673026.0,0.0,1.711,9.458,9.331,3174841.0,0.0,19.875,0.641,0.641,15561027.0,2433875.0,19397234.0,19397234.0,0.0,,,,,0.0,3235987.0,1.0,1598835.0,1598835.0,1702146.0,12.132,35282686.0,344400.0,1106386.0,0.0,22.068,9821708.0
38371,PTII,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-04-02,0.0,31965953.0,,24867197.0,7098756.0,,10.665,-1258309.0,380034.0,380034.0,8054509.0,732265.0,1.667,0.875,8437488.0,8437488.0,0.0,8437488.0,0.0,288489.0,0.0,0.0,0.0,1309852.0,1598341.0,0.136,1598341.0,1309852.0,1262526.0,0.45,0.42,0.45,17052089.0,,17052089.0,,,,-5752094.0,-3.598,1.0,3691468.0,0.314,4220847.0,47326.0,20888696.0,,10870850.0,0.0,0.0,0.0,14913864.0,14913864.0,0.0,38072263.0,-302126.0,0.0,0.0,6369227.0,0.0,6312228.0,-2120569.0,-862260.0,-4493785.0,0.0,732265.0,732265.0,732265.0,0.0,0.0,0.062,2381616.0,1309852.0,5889578.0,0.0,2.233,-39.331,-20.353,2695629.0,0.0,23.813,0.95,0.95,11489538.0,917631.0,11745977.0,11745977.0,0.0,,,,,0.0,2381616.0,1.0,1598835.0,1598835.0,1759832.0,7.347,27745106.0,354060.0,530261.0,586798.0,17.353,9953333.0
38372,PTII,ARY,1998-12-31,1999-04-01,1998-12-31,2019-04-02,0.0,38386965.0,39336502.0,29755281.0,8631684.0,1.539,11.717,-2798039.0,837618.0,837618.0,43283112.0,2492229.0,1.531,1.025,15217550.0,15217550.0,0.0,15217550.0,0.0,1639270.0,0.0,0.0,0.0,5366204.0,7005474.0,0.116,7005474.0,5366204.0,4350701.0,1.53,1.47,1.53,18952054.0,18341625.0,18952054.0,28629443.0,5.0,4.087,-11071515.0,-6.845,1.0,17238899.0,0.285,5346858.0,1015503.0,27985128.0,27050514.0,15811781.0,0.0,0.0,0.0,19434911.0,19434911.0,0.0,14249511.0,155458.0,-1307859.0,140001.0,13149289.0,0.0,13289290.0,-4860356.0,-754458.0,-8273476.0,0.0,2492229.0,2492229.0,2492229.0,0.0,0.0,0.041,11872695.0,5366204.0,4217361.0,0.0,0.752,5.718,5.637,3066426.0,0.0,8.625,0.235,0.231,11169056.0,2677595.0,60522011.0,60522011.0,0.0,0.063,0.136,0.198,0.089,0.0,11872695.0,1.0,1652117.0,1617463.0,1695795.0,37.418,33040107.0,484400.0,1858472.0,0.0,20.427,10320370.0
