None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
37932,PURE,MRY,1998-12-31,1998-07-31,1998-07-31,2021-06-15,0.0,2970471.0,3302886.0,1010139.0,1960332.0,0.507,4.365,-232347.0,254480.0,254480.0,1001999.0,-1902742.0,1.206,0.393,294986.0,294986.0,0.0,294986.0,0.0,125935.0,0.0,0.0,0.0,-1901942.0,-1776007.0,-1.06,-1776007.0,-1901942.0,-1901942.0,-3.922,-2.118,-3.922,2133138.0,2804712.0,2133138.0,2512335.0,-1.0,-1.415,-2226418.0,-4.556,1.0,673132.0,0.402,57806.0,0.0,2115838.0,1783946.0,360566.0,120993.0,106918.0,14075.0,837333.0,837333.0,0.0,2635008.0,-1934410.0,0.0,0.0,292008.0,0.0,292008.0,-232347.0,0.0,-1994071.0,0.0,-1902742.0,-1902742.0,-1902742.0,0.0,0.0,-1.136,2614676.0,-1941544.0,495287.0,0.0,1.235,-1.385,-1.375,791599.0,0.0,5.392,1.573,1.573,276619.0,-4101330.0,1675131.0,1675131.0,177384.0,-0.576,-0.678,-1.066,-1.135,0.0,2437292.0,1.0,488689.0,488689.0,,3.428,2912665.0,0.0,800.0,0.0,5.96,172806.0
37933,PURE,MRT,1998-12-31,1999-01-31,1999-01-31,2021-06-15,0.0,3554232.0,3111118.0,1655291.0,1898941.0,0.765,4.909,-153987.0,222466.0,222466.0,1039752.0,-813898.0,1.501,0.45,552204.0,552204.0,0.0,552204.0,0.0,138441.0,0.0,0.0,0.0,-813098.0,-674657.0,-0.284,-674657.0,-813098.0,-813098.0,-2.98,-0.706,-2.98,2451293.0,2223904.0,2451293.0,8461907.0,-10.0,-12.543,-1241746.0,-2.487,1.0,1339829.0,0.563,1026399.0,0.0,1754632.0,1809277.0,564282.0,143604.0,125079.0,18525.0,1102939.0,1102939.0,0.0,8199576.0,-666918.0,0.0,24015.0,550813.0,0.0,574828.0,-153987.0,0.0,-1087759.0,0.0,-813898.0,-813898.0,-813898.0,0.0,0.0,-0.342,2168306.0,-828477.0,545286.0,0.0,3.345,-10.074,-5.51,808587.0,0.0,16.421,3.446,3.446,719363.0,-3807187.0,2379581.0,2379581.0,169737.0,-0.262,-0.366,-0.449,-0.342,-450000.0,1998569.0,1.0,499335.0,499335.0,,4.766,2527833.0,0.0,800.0,0.0,5.062,552352.0
37934,PURE,MRT,1998-09-30,1998-10-31,1998-10-31,2021-06-15,0.0,3441603.0,3068032.0,1542620.0,1898983.0,0.663,4.548,-216398.0,246289.0,246289.0,1035871.0,-1378424.0,1.318,0.516,508620.0,508620.0,0.0,508620.0,0.0,134179.0,0.0,0.0,0.0,-1377624.0,-1243445.0,-0.611,-1243445.0,-1377624.0,-1377624.0,-4.078,-1.412,-4.078,2270879.0,2393976.0,2270879.0,4079125.0,-3.0,-3.281,-1120839.0,-2.245,1.0,999521.0,0.491,1026399.0,0.0,1506811.0,1994718.0,525341.0,140503.0,123428.0,17075.0,1170724.0,1170724.0,0.0,4038619.0,-1235726.0,0.0,0.0,506434.0,0.0,506434.0,-216398.0,0.0,-904441.0,0.0,-1378424.0,-1378424.0,-1378424.0,0.0,0.0,-0.677,2397730.0,-1398209.0,656458.0,0.0,1.778,-2.93,-1.983,810079.0,0.0,8.088,1.984,1.984,637037.0,-3963589.0,2035392.0,2035392.0,162156.0,-0.449,-0.576,-0.691,-0.677,0.0,2235574.0,1.0,499335.0,499335.0,,4.076,2415204.0,0.0,800.0,0.0,4.837,371896.0
37935,PURE,MRT,1998-06-30,1998-07-31,1998-07-31,2021-06-15,0.0,2970471.0,3302886.0,1010139.0,1960332.0,0.507,4.365,-232347.0,254480.0,254480.0,1001999.0,-1902742.0,1.206,0.393,294986.0,294986.0,0.0,294986.0,0.0,125935.0,0.0,0.0,0.0,-1901942.0,-1776007.0,-1.06,-1776007.0,-1901942.0,-1901942.0,-3.922,-2.118,-3.922,2133138.0,2804712.0,2133138.0,2512335.0,-1.0,-1.415,-2226418.0,-4.556,1.0,673132.0,0.402,57806.0,0.0,2115838.0,1783946.0,360566.0,120993.0,106918.0,14075.0,837333.0,837333.0,0.0,2635008.0,-1934410.0,0.0,0.0,292008.0,0.0,292008.0,-232347.0,0.0,-1994071.0,0.0,-1902742.0,-1902742.0,-1902742.0,0.0,0.0,-1.136,2614676.0,-1941544.0,495287.0,0.0,1.235,-1.385,-1.375,791599.0,0.0,5.392,1.573,1.573,276619.0,-4101330.0,1675131.0,1675131.0,177384.0,-0.576,-0.678,-1.066,-1.135,0.0,2437292.0,1.0,488689.0,488689.0,,3.428,2912665.0,0.0,800.0,0.0,5.96,172806.0
37936,PURE,MRT,1998-03-31,1998-04-30,1998-04-30,2021-06-15,0.0,2478164.0,,1114592.0,1363572.0,,4.175,-300119.0,302922.0,302922.0,926762.0,-2383579.0,2.546,0.215,180249.0,180249.0,0.0,180249.0,0.0,108039.0,0.0,0.0,0.0,-2382979.0,-2274940.0,-1.551,-2274940.0,-2382979.0,-2382979.0,-5.961,,-5.961,2040305.0,,2040305.0,3721807.0,-2.0,-1.636,-1560342.0,-3.193,1.0,540256.0,0.368,57806.0,0.0,1859826.0,,125049.0,516776.0,498746.0,18030.0,437859.0,437859.0,0.0,4312187.0,-2349638.0,0.0,-741695.0,-2171.0,0.0,-743866.0,-345549.0,0.0,-1260223.0,0.0,-2383579.0,-2383579.0,-2383579.0,0.0,0.0,-1.625,2991419.0,-2451163.0,203993.0,0.0,2.114,-1.809,-1.48,774181.0,0.0,8.824,2.939,2.939,182874.0,-4084569.0,1467018.0,1467018.0,259295.0,,,,-1.624,1225500.0,2732124.0,1.0,488689.0,488689.0,,3.002,2420358.0,0.0,600.0,0.0,4.953,676733.0
37937,PURE,MRQ,1998-12-31,1999-01-31,1999-01-31,2021-06-15,0.0,3554232.0,,1655291.0,1898941.0,,4.909,-33273.0,222466.0,222466.0,271631.0,156401.0,1.501,0.45,552204.0,552204.0,0.0,552204.0,0.0,34764.0,0.0,0.0,0.0,156601.0,191365.0,0.249,191365.0,156601.0,156601.0,0.314,0.157,0.314,2451293.0,,2451293.0,8461907.0,-10.0,-12.543,-711607.0,-1.425,1.0,496348.0,0.646,1026399.0,0.0,1754632.0,,564282.0,143604.0,125079.0,18525.0,1102939.0,1102939.0,0.0,8199576.0,-22689.0,0.0,24015.0,43582.0,0.0,67597.0,-33273.0,0.0,-678334.0,0.0,156401.0,156401.0,156401.0,0.0,0.0,0.204,342435.0,153913.0,545286.0,0.0,3.345,-10.074,-5.51,808587.0,0.0,16.421,3.446,3.446,719363.0,-3807187.0,767979.0,767979.0,46902.0,,,,,0.0,295533.0,1.0,499335.0,499335.0,,1.538,2527833.0,0.0,200.0,0.0,5.062,552352.0
37938,PURE,MRQ,1998-09-30,1998-10-31,1998-10-31,2021-06-15,0.0,3441603.0,,1542620.0,1898983.0,,4.548,-54266.0,246289.0,246289.0,282289.0,137741.0,1.318,0.516,508620.0,508620.0,0.0,508620.0,0.0,35786.0,0.0,0.0,0.0,137941.0,173727.0,0.218,173727.0,137941.0,137941.0,0.314,0.157,0.314,2270879.0,,2270879.0,4079125.0,-3.0,-3.281,401003.0,0.803,1.0,513230.0,0.645,1026399.0,0.0,1506811.0,,525341.0,140503.0,123428.0,17075.0,1170724.0,1170724.0,0.0,4038619.0,-6684.0,0.0,0.0,213634.0,0.0,213634.0,-54266.0,0.0,455269.0,0.0,137741.0,137741.0,137741.0,0.0,0.0,0.173,377981.0,135249.0,656458.0,0.0,1.778,-2.93,-1.983,810079.0,0.0,8.088,1.984,1.984,637037.0,-3963589.0,795519.0,795519.0,38037.0,,,,,0.0,339944.0,1.0,499335.0,499335.0,,1.593,2415204.0,0.0,200.0,0.0,4.837,371896.0
37939,PURE,MRQ,1998-06-30,1998-07-31,1998-07-31,2021-06-15,0.0,2970471.0,,1010139.0,1960332.0,,4.365,-53266.0,254480.0,254480.0,317054.0,-16761.0,1.206,0.393,294986.0,294986.0,0.0,294986.0,0.0,35848.0,0.0,0.0,0.0,-16561.0,19287.0,0.037,19287.0,-16561.0,-16561.0,-1.412,0.392,-1.412,2133138.0,,2133138.0,2512335.0,-1.0,-1.415,-549058.0,-1.124,1.0,207681.0,0.396,57806.0,0.0,2115838.0,,360566.0,120993.0,106918.0,14075.0,837333.0,837333.0,0.0,2635008.0,-254672.0,0.0,0.0,294386.0,0.0,294386.0,-53266.0,0.0,-495792.0,0.0,-16761.0,-16761.0,-16761.0,0.0,0.0,-0.032,227030.0,-19349.0,495287.0,0.0,1.235,-1.385,-1.375,791599.0,0.0,5.392,1.573,1.573,276619.0,-4101330.0,524735.0,524735.0,-17807.0,,,,,-450000.0,244837.0,1.0,488689.0,488689.0,,1.074,2912665.0,0.0,200.0,0.0,5.96,172806.0
37940,PURE,MRQ,1998-03-31,1998-04-30,1998-04-30,2021-06-15,0.0,2478164.0,,1114592.0,1363572.0,,4.175,-13182.0,302922.0,302922.0,168778.0,-1091279.0,2.546,0.215,180249.0,180249.0,0.0,180249.0,0.0,32043.0,0.0,0.0,0.0,-1091079.0,-1059036.0,-3.635,-1059036.0,-1091079.0,-1091079.0,-2.196,-1.412,-2.196,2040305.0,,2040305.0,3721807.0,-2.0,-1.636,-382084.0,-0.782,1.0,122570.0,0.421,57806.0,0.0,1859826.0,,125049.0,516776.0,498746.0,18030.0,437859.0,437859.0,0.0,4312187.0,-382873.0,0.0,0.0,-789.0,0.0,-789.0,-13182.0,0.0,-368902.0,0.0,-1091279.0,-1091279.0,-1091279.0,0.0,0.0,-3.746,1220860.0,-1098290.0,203993.0,0.0,2.114,-1.809,-1.48,774181.0,0.0,8.824,2.939,2.939,182874.0,-4084569.0,291348.0,291348.0,102605.0,,,,,0.0,1118255.0,1.0,488689.0,488689.0,,0.596,2420358.0,0.0,200.0,0.0,4.953,676733.0
37941,PURE,ARY,1998-12-31,1998-12-14,1998-07-31,2021-06-15,0.0,2970471.0,,1010139.0,1960332.0,,4.272,-232347.0,254480.0,254480.0,1001999.0,-1902742.0,1.206,0.393,294986.0,294986.0,0.0,294986.0,0.0,125935.0,0.0,0.0,0.0,-1901942.0,-1776007.0,-1.06,-1776007.0,-1901942.0,-1901942.0,-3.922,,-3.922,2133138.0,,2133138.0,10565484.0,-6.0,-5.949,-1734591.0,-3.474,1.0,673132.0,0.402,57806.0,0.0,2115838.0,,360566.0,120993.0,106918.0,14075.0,837333.0,837333.0,0.0,10524978.0,-1934410.0,0.0,0.0,292008.0,0.0,292008.0,-724174.0,0.0,-1502244.0,0.0,-1902742.0,-1902742.0,-1902742.0,0.0,0.0,-1.136,2614676.0,-1941544.0,495287.0,0.0,4.934,-5.531,-5.374,791599.0,0.0,21.078,6.283,6.283,276619.0,-4101330.0,1675131.0,1675131.0,177384.0,,,,-1.135,559595.0,2437292.0,1.0,499335.0,499335.0,,3.355,2912665.0,0.0,800.0,0.0,5.833,172806.0
