None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
37430,PXD,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-05,2903000.0,3481314000.0,3869442500.0,201988000.0,3279326000.0,0.186,7.886,-538883000.0,59221000.0,59221000.0,223551000.0,-746426000.0,0.383,3.412,2175265000.0,306521000.0,1868744000.0,2175265000.0,0.0,337308000.0,0.0,0.011,0.1,-566541000.0,-229233000.0,-0.318,-229233000.0,-566541000.0,-730826000.0,-7.46,-7.46,-7.46,789077000.0,1297247750.0,789077000.0,2947572564.0,-5.0,-12.858,-224807000.0,-2.247,1.0,497948000.0,0.69,0.0,164285000.0,5070526000.0,5648572250.0,15221000.0,0.0,0.0,0.0,2692237000.0,526832000.0,2165405000.0,876906564.0,-11998000.0,0.0,-10367000.0,235656000.0,-10076000.0,190933000.0,-517007000.0,0.0,314076000.0,-494000.0,-746426000.0,-746426000.0,-746426000.0,0.0,0.0,-1.035,1064489000.0,-566541000.0,99429000.0,-0.013,1.111,-1.175,-1.173,3089118000.0,0.0,8.75,1.215,1.213,110520000.0,-1552442000.0,721499000.0,721499000.0,121858000.0,-0.193,-0.575,-0.1,-0.785,0.0,73000000.0,1.0,100217893.0,100055000.0,100055000.0,7.211,3481314000.0,103900000.0,15600000.0,64200000.0,34.794,-324844000.0
37431,PXD,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-05,2903000.0,3481314000.0,3869442500.0,201988000.0,3279326000.0,0.186,7.886,-538883000.0,59221000.0,59221000.0,223551000.0,-746426000.0,0.383,3.412,2175265000.0,306521000.0,1868744000.0,2175265000.0,0.0,337308000.0,0.0,0.011,0.1,-566541000.0,-229233000.0,-0.318,-229233000.0,-566541000.0,-730826000.0,-7.46,-7.46,-7.46,789077000.0,1297247750.0,789077000.0,2947572564.0,-5.0,-12.858,-224807000.0,-2.247,1.0,497948000.0,0.69,0.0,164285000.0,5070526000.0,5648572250.0,15221000.0,0.0,0.0,0.0,2692237000.0,526832000.0,2165405000.0,876906564.0,-11998000.0,0.0,-10367000.0,235656000.0,-10076000.0,190933000.0,-517007000.0,0.0,314076000.0,-494000.0,-746426000.0,-746426000.0,-746426000.0,0.0,0.0,-1.035,1064489000.0,-566541000.0,99429000.0,-0.013,1.111,-1.175,-1.173,3089118000.0,0.0,8.75,1.215,1.213,110520000.0,-1552442000.0,721499000.0,721499000.0,121858000.0,-0.193,-0.575,-0.1,-0.785,0.0,73000000.0,1.0,100217893.0,100055000.0,100055000.0,7.211,3481314000.0,103900000.0,15600000.0,64200000.0,34.794,-324844000.0
37432,PXD,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-05,2022000.0,3992626000.0,4037361500.0,238494000.0,3754132000.0,0.187,14.253,-636294000.0,95305000.0,95305000.0,222004000.0,-1007686000.0,1.049,1.803,2165971000.0,1712000.0,2164259000.0,2165971000.0,0.0,332746000.0,0.0,0.007,0.1,-1416283000.0,-1083537000.0,-1.439,-1083537000.0,-1416283000.0,-1571886000.0,-18.49,-18.49,-18.49,1424439000.0,1487189750.0,1424439000.0,3508770718.0,-2.0,-3.238,-320645000.0,-3.208,1.0,531184000.0,0.705,0.0,155603000.0,5835959000.0,5823249250.0,17460000.0,0.0,0.0,0.0,2568187000.0,227333000.0,2340854000.0,1411955718.0,29759000.0,-15400000.0,-21169000.0,314731000.0,-10079000.0,243225000.0,-529115000.0,0.0,315649000.0,-105000.0,-1007686000.0,-1007686000.0,-1007686000.0,0.0,0.0,-1.338,1935577000.0,-1404393000.0,113120000.0,-0.005,0.991,-1.401,-0.76,3567651000.0,0.0,14.06,1.875,1.866,99391000.0,-909574000.0,753188000.0,753188000.0,128999000.0,-0.25,-0.678,-0.243,-1.88,0.0,73642000.0,1.0,100423593.0,99939000.0,99939000.0,7.536,3992626000.0,118300000.0,-564200000.0,0.0,39.951,11161000.0
37433,PXD,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-05,-2762000.0,3998421000.0,,252971000.0,3745450000.0,,14.714,-618645000.0,46041000.0,46041000.0,206254000.0,-976350000.0,1.202,1.719,2142856000.0,3772000.0,2139084000.0,2142856000.0,0.0,312984000.0,0.0,0.004,0.1,-1384359000.0,-1071375000.0,-1.477,-1071375000.0,-1384359000.0,-1522250000.0,-18.26,-18.26,-18.26,1470497000.0,,1470497000.0,4432054062.0,-3.0,-4.137,-354609000.0,-3.548,1.0,519343000.0,0.716,0.0,137891000.0,5884794000.0,,20752000.0,0.0,0.0,0.0,2527924000.0,210442000.0,2317482000.0,2398194062.0,35904000.0,-15919000.0,-7962000.0,339175000.0,-8778000.0,286853000.0,-514985000.0,0.0,264036000.0,-54000.0,-976350000.0,-976350000.0,-976350000.0,0.0,0.0,-1.346,1890294000.0,-1370951000.0,118252000.0,-0.005,1.631,-2.456,-1.308,3590238000.0,0.0,23.88,3.305,3.289,157790000.0,-860649000.0,725597000.0,725597000.0,108885000.0,,,,-1.908,0.0,71185000.0,1.0,100426887.0,99939000.0,99939000.0,7.26,3998421000.0,88800000.0,-545900000.0,0.0,40.009,42529000.0
37434,PXD,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-05,940000.0,4005409000.0,,306244000.0,3699165000.0,,14.968,-567020000.0,75347000.0,75347000.0,174599000.0,-936128000.0,1.296,1.661,2109207000.0,10052000.0,2099155000.0,2109207000.0,0.0,260055000.0,0.0,0.004,0.1,-1352795000.0,-1092740000.0,-1.713,-1092740000.0,-1352795000.0,-1459928000.0,-17.72,-17.72,-17.72,1504978000.0,,1504978000.0,4386486034.0,-3.0,-4.014,-343223000.0,-3.414,1.0,463280000.0,0.726,0.0,107133000.0,5803010000.0,,20102000.0,0.0,0.0,0.0,2500431000.0,236259000.0,2264172000.0,2510385034.0,64727000.0,-15919000.0,-6358000.0,340976000.0,-8778000.0,300956000.0,-460026000.0,0.0,223797000.0,0.0,-936128000.0,-936128000.0,-936128000.0,0.0,0.0,-1.468,1802667000.0,-1339387000.0,142413000.0,-0.006,1.668,-2.682,-1.404,3563764000.0,0.0,24.88,3.936,3.922,185381000.0,-827840000.0,637879000.0,637879000.0,93112000.0,,,,-2.121,0.0,62068000.0,1.0,100899720.0,100545000.0,100545000.0,6.344,4005409000.0,62400000.0,-523800000.0,0.0,39.837,69985000.0
37435,PXD,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-05,2903000.0,3481314000.0,,201988000.0,3279326000.0,,7.869,-87131000.0,59221000.0,59221000.0,54043000.0,-642871000.0,0.383,3.412,2175265000.0,306521000.0,1868744000.0,2175265000.0,0.0,90100000.0,0.0,0.011,0.0,-529903000.0,-439803000.0,-2.767,-439803000.0,-529903000.0,-571871000.0,-6.42,-6.42,-6.42,789077000.0,,789077000.0,2947572564.0,-5.0,-12.858,-39563000.0,-0.395,1.0,104923000.0,0.66,0.0,41968000.0,5070526000.0,,15221000.0,0.0,0.0,0.0,2692237000.0,526832000.0,2165405000.0,876906564.0,-10675000.0,0.0,-477000.0,7248000.0,3000.0,26694000.0,-84937000.0,0.0,47568000.0,-389000.0,-642871000.0,-642871000.0,-642871000.0,0.0,0.0,-4.044,634826000.0,-529903000.0,99429000.0,0.0,1.111,-1.175,-1.173,3089118000.0,0.0,8.75,1.215,1.213,110520000.0,-1552442000.0,158966000.0,158966000.0,35709000.0,,,,,0.0,16352000.0,1.0,100217893.0,100274000.0,100274000.0,1.585,3481314000.0,103900000.0,71000000.0,64200000.0,34.718,-324844000.0
37436,PXD,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-05,2022000.0,3992626000.0,,238494000.0,3754132000.0,,14.253,-103851000.0,95305000.0,95305000.0,57753000.0,-43902000.0,1.049,1.803,2165971000.0,1712000.0,2164259000.0,2165971000.0,0.0,87150000.0,0.0,0.007,0.05,-26380000.0,60770000.0,0.34,60770000.0,-26380000.0,-68202000.0,-0.44,-0.44,-0.44,1424439000.0,,1424439000.0,3508770718.0,-2.0,-3.238,2237000.0,0.022,1.0,121116000.0,0.677,0.0,41822000.0,5835959000.0,,17460000.0,0.0,0.0,0.0,2568187000.0,227333000.0,2340854000.0,1411955718.0,24643000.0,0.0,-3112000.0,33432000.0,-5023000.0,18846000.0,-100291000.0,0.0,106088000.0,-51000.0,-43902000.0,-43902000.0,-43902000.0,0.0,0.0,-0.245,147496000.0,-26380000.0,113120000.0,-0.114,0.991,-1.401,-0.76,3567651000.0,0.0,14.06,1.875,1.866,99391000.0,-909574000.0,178869000.0,178869000.0,35627000.0,,,,,0.0,19236000.0,1.0,100423593.0,99939000.0,99939000.0,1.79,3992626000.0,118300000.0,-24300000.0,0.0,39.951,11161000.0
37437,PXD,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-05,-2762000.0,3998421000.0,,252971000.0,3745450000.0,,14.714,-148293000.0,46041000.0,46041000.0,56613000.0,-32809000.0,1.202,1.719,2142856000.0,3772000.0,2139084000.0,2142856000.0,0.0,83808000.0,0.0,0.004,0.0,-9492000.0,74316000.0,0.401,74316000.0,-9492000.0,-50509000.0,-0.33,-0.33,-0.33,1470497000.0,,1470497000.0,4432054062.0,-3.0,-4.137,-56924000.0,-0.57,1.0,128494000.0,0.694,0.0,41017000.0,5884794000.0,,20752000.0,0.0,0.0,0.0,2527924000.0,210442000.0,2317482000.0,2398194062.0,-28405000.0,0.0,-1206000.0,37512000.0,0.0,25281000.0,-145055000.0,0.0,91369000.0,-54000.0,-32809000.0,-32809000.0,-32809000.0,0.0,0.0,-0.177,137986000.0,-9492000.0,118252000.0,0.0,1.631,-2.456,-1.308,3590238000.0,0.0,23.88,3.305,3.289,157790000.0,-860649000.0,185107000.0,185107000.0,26573000.0,,,,,0.0,17387000.0,1.0,100426887.0,99939000.0,99939000.0,1.852,3998421000.0,88800000.0,-17700000.0,0.0,40.009,42529000.0
37438,PXD,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-05,940000.0,4005409000.0,,306244000.0,3699165000.0,,14.968,-199179000.0,75347000.0,75347000.0,55142000.0,-26844000.0,1.296,1.661,2109207000.0,10052000.0,2099155000.0,2109207000.0,0.0,76250000.0,0.0,0.004,0.05,-766000.0,75484000.0,0.38,75484000.0,-766000.0,-40244000.0,-0.27,-0.27,-0.27,1504978000.0,,1504978000.0,4386486034.0,-3.0,-4.014,-130128000.0,-1.294,1.0,143415000.0,0.722,0.0,39478000.0,5803010000.0,,20102000.0,0.0,0.0,0.0,2500431000.0,236259000.0,2264172000.0,2510385034.0,2439000.0,-429000.0,-5572000.0,157464000.0,-5056000.0,120112000.0,-186724000.0,0.0,69051000.0,0.0,-26844000.0,-26844000.0,-26844000.0,0.0,0.0,-0.135,144181000.0,-766000.0,142413000.0,-0.185,1.668,-2.682,-1.404,3563764000.0,0.0,24.88,3.936,3.922,185381000.0,-827840000.0,198557000.0,198557000.0,23949000.0,,,,,0.0,20025000.0,1.0,100899720.0,100545000.0,100545000.0,1.975,4005409000.0,62400000.0,-13400000.0,0.0,39.837,69985000.0
37439,PXD,ARY,1998-12-31,1999-03-23,1998-12-31,2021-08-05,2903000.0,3481314000.0,3869442500.0,201988000.0,3279326000.0,0.186,7.886,-538883000.0,59221000.0,59221000.0,223551000.0,-746426000.0,0.383,3.412,2175265000.0,306521000.0,1868744000.0,2175265000.0,0.0,337308000.0,0.0,0.007,0.05,-566541000.0,-229233000.0,-0.318,-229233000.0,-566541000.0,-730826000.0,-7.46,-7.46,-7.46,789077000.0,1297247750.0,789077000.0,2880831675.0,-5.0,-12.567,-224807000.0,-2.247,1.0,497948000.0,0.69,0.0,164285000.0,5070526000.0,5648572250.0,15221000.0,0.0,0.0,0.0,2692237000.0,526832000.0,2165405000.0,764787675.0,-11998000.0,0.0,-10367000.0,235656000.0,-10076000.0,190933000.0,-517007000.0,0.0,314076000.0,-494000.0,-746426000.0,-746426000.0,-746426000.0,0.0,0.0,-1.035,1064489000.0,-566541000.0,99429000.0,-0.007,0.969,-1.025,-1.022,3089118000.0,0.0,7.625,1.06,1.057,110520000.0,-1552442000.0,721499000.0,721499000.0,121858000.0,-0.193,-0.575,-0.1,-0.785,0.0,73000000.0,1.0,100300023.0,100055000.0,100055000.0,7.211,3481314000.0,103900000.0,15600000.0,64200000.0,34.794,-324844000.0
