None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
37095,QCRH,MRY,1998-12-31,1998-06-30,1998-06-30,2021-08-06,12492.0,250150989.0,209264870.0,,,0.057,5.798,-2833936.0,34600813.0,34600813.0,0.0,2393272.0,,12.095,28167174.0,,,28167174.0,0.0,422357.0,197383964.0,0.0,0.0,4071172.0,4493529.0,0.375,4493529.0,4071172.0,4071172.0,0.667,0.62,0.667,19102218.0,16857722.0,19102218.0,41397921.0,10.0,9.213,-7213089.0,-2.189,1.0,11980987.0,1.0,0.0,0.0,243717350.0,204115175.0,0.0,203609975.0,,,231048771.0,,,46810368.0,4687350.0,0.0,523043.0,15889462.0,0.0,79336274.0,-70269771.0,-70335835.0,-4379153.0,0.0,2393272.0,2393272.0,2393272.0,0.0,0.0,0.2,7909815.0,4071172.0,0.0,0.0,2.451,19.559,21.323,7660268.0,0.0,14.222,3.907,3.911,0.0,2564443.0,11980987.0,11980987.0,0.0,0.011,0.142,0.02,0.34,0.0,6809551.0,1.0,3291354.0,3294446.0,3530898.0,3.637,250150989.0,0.0,1677900.0,0.0,75.931,
37096,QCRH,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-06,272015.0,285783080.0,257679664.0,,,0.054,6.001,-1531072.0,37884017.0,37884017.0,0.0,2742952.0,,12.919,29371547.0,,,29371547.0,0.0,516509.0,231409348.0,0.0,0.0,4647342.0,5163851.0,0.371,5163851.0,4647342.0,4647342.0,0.758,0.709,0.758,20531523.0,19187495.0,20531523.0,47331068.0,10.0,9.166,-4386599.0,-1.282,1.0,13922430.0,1.0,0.0,0.0,277270610.0,251023614.0,0.0,235661522.0,,,265251557.0,,,53596709.0,1524868.0,0.0,634548.0,7058085.0,0.0,75728698.0,-71348303.0,-72717231.0,-2855527.0,0.0,2742952.0,2742952.0,2742952.0,0.0,0.0,0.197,9275088.0,4647342.0,0.0,0.0,2.61,19.54,20.668,7497135.0,0.0,15.667,3.85,3.85,0.0,3621830.0,13922430.0,13922430.0,0.0,0.011,0.143,0.019,0.334,0.0,8185218.0,1.0,3421066.0,3421191.0,3607452.0,4.069,285783080.0,0.0,1904390.0,0.0,83.533,
37097,QCRH,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-06,265234.0,264775022.0,238078468.0,,,0.054,5.825,-2692153.0,34847861.0,34847861.0,0.0,2491151.0,,12.302,28582220.0,,,28582220.0,0.0,472086.0,211155348.0,0.0,0.0,4241302.0,4713388.0,0.367,4713388.0,4241302.0,4241302.0,0.691,0.642,0.691,19905394.0,18281564.0,19905394.0,39180581.0,9.0,8.313,-1434081.0,-0.42,1.0,12846113.0,1.0,0.0,0.0,258509381.0,234076614.0,0.0,218888014.0,,,244869628.0,,,45614220.0,-1087571.0,0.0,634656.0,7848761.0,0.0,74851586.0,-77197229.0,-77405076.0,1258072.0,0.0,2491151.0,2491151.0,2491151.0,0.0,0.0,0.194,8604811.0,4241302.0,0.0,0.0,2.292,18.31,19.296,7614372.0,0.0,13.333,3.551,3.547,0.0,3003264.0,12846113.0,12846113.0,0.0,0.01,0.136,0.018,0.33,0.0,7472809.0,1.0,3421066.0,3417471.0,3627104.0,3.759,264775022.0,0.0,1750151.0,0.0,77.477,
37098,QCRH,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-06,12492.0,250150989.0,209264870.0,,,0.057,5.798,-2833936.0,34600813.0,34600813.0,0.0,2393272.0,,12.095,28167174.0,,,28167174.0,0.0,422357.0,197383964.0,0.0,0.0,4071172.0,4493529.0,0.375,4493529.0,4071172.0,4071172.0,0.667,0.62,0.667,19102218.0,16857722.0,19102218.0,41397921.0,10.0,9.213,-7213089.0,-2.189,1.0,11980987.0,1.0,0.0,0.0,243717350.0,204115175.0,0.0,203609975.0,,,231048771.0,,,46810368.0,4687350.0,0.0,523043.0,15889462.0,0.0,79336274.0,-70269771.0,-70335835.0,-4379153.0,0.0,2393272.0,2393272.0,2393272.0,0.0,0.0,0.2,7909815.0,4071172.0,0.0,0.0,2.451,19.559,21.323,7660268.0,0.0,14.222,3.907,3.911,0.0,2564443.0,11980987.0,11980987.0,0.0,0.011,0.142,0.02,0.34,0.0,6809551.0,1.0,3291354.0,3294446.0,3530898.0,3.637,250150989.0,0.0,1677900.0,0.0,75.931,
37099,QCRH,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-06,28471.0,230009563.0,,,,,5.229,-2733099.0,30153379.0,30153379.0,,,,12.364,24740932.0,,,24740932.0,0.0,418687.0,185279263.0,0.0,0.0,,,,,,,,,,17210846.0,,17210846.0,48183269.0,,,-10789571.0,-3.278,1.0,,,0.0,,224597116.0,,0.0,188419156.0,,,212798717.0,,,46078956.0,12113379.0,0.0,300000.0,13929380.0,0.0,79608953.0,-59439102.0,-56706003.0,-8056472.0,0.0,,,,,,,,,0.0,,2.677,,,7536493.0,,14.0,,,0.0,1180135.0,,,,,,,,0.0,,1.0,3291354.0,3291354.0,,,230009563.0,0.0,,0.0,69.883,
37100,QCRH,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-06,272015.0,285783080.0,,,,,6.001,-30850.0,37884017.0,37884017.0,0.0,619456.0,,12.919,29371547.0,,,29371547.0,0.0,148087.0,231409348.0,0.0,0.0,1010770.0,1158857.0,0.342,1158857.0,1010770.0,1010770.0,0.18,0.173,0.18,20531523.0,,20531523.0,47331068.0,10.0,9.166,-2339575.0,-0.684,1.0,3387146.0,1.0,0.0,0.0,277270610.0,,0.0,235661522.0,,,265251557.0,,,53596709.0,2711156.0,0.0,-108.0,789327.0,0.0,21043219.0,-16023338.0,-15992488.0,-2308725.0,0.0,619456.0,619456.0,619456.0,0.0,0.0,0.183,2376376.0,1010770.0,0.0,0.0,2.61,19.54,20.668,7497135.0,0.0,15.667,3.85,3.85,0.0,3621830.0,3387146.0,3387146.0,0.0,,,,,0.0,2184697.0,1.0,3421066.0,3421191.0,3607452.0,0.99,285783080.0,0.0,391314.0,0.0,83.533,
37101,QCRH,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-06,265234.0,264775022.0,,,,,5.825,-101330.0,34847861.0,34847861.0,0.0,438821.0,,12.302,28582220.0,,,28582220.0,0.0,147226.0,211155348.0,0.0,0.0,729272.0,876498.0,0.289,876498.0,729272.0,729272.0,0.127,0.12,0.127,19905394.0,,19905394.0,39180581.0,9.0,8.313,1633416.0,0.478,1.0,3031101.0,1.0,0.0,0.0,258509381.0,,0.0,218888014.0,,,244869628.0,,,45614220.0,-3942952.0,0.0,111613.0,415046.0,0.0,14298043.0,-19975741.0,-19874411.0,1734746.0,0.0,438821.0,438821.0,438821.0,0.0,0.0,0.145,2301829.0,729272.0,0.0,0.0,2.292,18.31,19.296,7614372.0,0.0,13.333,3.551,3.547,0.0,3003264.0,3031101.0,3031101.0,0.0,,,,,0.0,2088138.0,1.0,3421066.0,3417471.0,3627104.0,0.887,264775022.0,0.0,290451.0,0.0,77.477,
37102,QCRH,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-06,12492.0,250150989.0,,,,,5.798,-215611.0,34600813.0,34600813.0,0.0,1384308.0,,12.095,28167174.0,,,28167174.0,0.0,91836.0,197383964.0,0.0,0.0,2415508.0,2507344.0,0.505,2507344.0,2415508.0,2415508.0,0.358,0.329,0.358,19102218.0,,19102218.0,41397921.0,10.0,9.213,3462163.0,1.051,1.0,4963874.0,1.0,0.0,0.0,243717350.0,,0.0,203609975.0,,,231048771.0,,,46810368.0,-5727566.0,0.0,523043.0,3426242.0,0.0,16053986.0,-25459326.0,-28143715.0,3677774.0,0.0,1384308.0,1384308.0,1384308.0,0.0,0.0,0.279,2548366.0,2415508.0,0.0,0.0,2.451,19.559,21.323,7660268.0,0.0,14.222,3.907,3.911,0.0,2564443.0,4963874.0,4963874.0,0.0,,,,,0.0,2080958.0,1.0,3291354.0,3294446.0,3530898.0,1.507,250150989.0,0.0,1031200.0,0.0,75.931,
37103,QCRH,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-06,28471.0,230009563.0,,,,,5.229,-1183281.0,30153379.0,30153379.0,0.0,300367.0,,12.364,24740932.0,,,24740932.0,0.0,129360.0,185279263.0,0.0,0.0,491792.0,621152.0,0.245,621152.0,491792.0,491792.0,0.093,0.087,0.093,17210846.0,,17210846.0,48183269.0,,,-7142603.0,-2.17,1.0,2540309.0,1.0,0.0,0.0,224597116.0,,0.0,188419156.0,,,212798717.0,,,46078956.0,8484230.0,0.0,0.0,2427470.0,0.0,24333450.0,-9889898.0,-8706617.0,-5959322.0,0.0,300367.0,300367.0,300367.0,0.0,0.0,0.118,2048517.0,491792.0,0.0,0.0,2.677,,,7536493.0,0.0,14.0,,,0.0,1180135.0,2540309.0,2540309.0,0.0,,,,,0.0,1831425.0,1.0,3291354.0,3291354.0,3567406.0,0.772,230009563.0,0.0,191425.0,0.0,69.883,
37104,QCRH,ARY,1998-12-31,1998-09-28,1998-06-30,2021-08-06,12492.0,250150989.0,,,,,5.798,-2833936.0,34600813.0,34600813.0,0.0,2393272.0,,12.095,28167174.0,,,28167174.0,0.0,422357.0,197383964.0,0.0,0.0,4071172.0,4493529.0,0.375,4493529.0,4071172.0,4071172.0,0.724,0.68,0.724,19102218.0,,19102218.0,39180581.0,10.0,8.719,-7213089.0,-2.189,1.0,11980987.0,1.0,0.0,0.0,243717350.0,,0.0,203609975.0,,,231048771.0,,,45614220.0,4687350.0,0.0,523043.0,15889462.0,0.0,79336274.0,-70269771.0,-70335835.0,-4379153.0,0.0,2393272.0,2393272.0,2393272.0,0.0,0.0,0.2,7909815.0,4071172.0,0.0,0.0,2.388,19.059,18.416,7660268.0,0.0,13.333,3.807,3.666,0.0,2564443.0,11980987.0,11980987.0,0.0,,,,0.34,0.0,6809551.0,1.0,3421066.0,3294446.0,3530898.0,3.637,250150989.0,0.0,1677900.0,0.0,75.931,
