None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
36553,RA1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-06-10,0.0,1854816000.0,1657418500.0,,,0.161,17.887,-570063000.0,2349000.0,2349000.0,84280000.0,50386000.0,,1.36,889313000.0,,,889313000.0,0.0,52957000.0,0.0,0.06,1.325,98181000.0,151138000.0,0.567,151138000.0,98181000.0,50386000.0,1.0,0.95,1.0,706064000.0,649987750.0,706064000.0,1717962445.0,17.0,11.367,-449954000.0,-11.399,1.0,182093000.0,0.684,0.0,47795000.0,2741780000.0,2438680750.0,0.0,167701000.0,,,959936000.0,,,888252445.0,-19479000.0,-7758000.0,51934000.0,282323000.0,-39157000.0,475614000.0,-615202000.0,-37418000.0,120109000.0,0.0,50386000.0,37895000.0,37895000.0,0.0,0.0,0.142,69817000.0,112276000.0,0.0,1.325,1.258,23.44,22.188,1584174000.0,12491000.0,22.188,3.335,3.288,27685000.0,,266373000.0,266373000.0,0.0,0.023,0.058,0.04,0.369,0.0,16860000.0,1.0,40033913.0,39473000.0,40010000.0,6.748,1854816000.0,0.0,0.0,0.0,46.989,
36554,RA1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-10,0.0,1854816000.0,1657418500.0,,,0.161,17.887,-570063000.0,2349000.0,2349000.0,84280000.0,50386000.0,,1.36,889313000.0,,,889313000.0,0.0,52957000.0,0.0,0.06,1.325,98181000.0,151138000.0,0.567,151138000.0,98181000.0,50386000.0,1.0,0.95,1.0,706064000.0,649987750.0,706064000.0,1717962445.0,17.0,11.367,-449954000.0,-11.399,1.0,182093000.0,0.684,0.0,47795000.0,2741780000.0,2438680750.0,0.0,167701000.0,,,959936000.0,,,888252445.0,-19479000.0,-7758000.0,51934000.0,282323000.0,-39157000.0,475614000.0,-615202000.0,-37418000.0,120109000.0,0.0,50386000.0,37895000.0,37895000.0,0.0,0.0,0.142,69817000.0,112276000.0,0.0,1.325,1.258,23.44,22.188,1584174000.0,12491000.0,22.188,3.335,3.288,27685000.0,,266373000.0,266373000.0,0.0,0.023,0.058,0.04,0.369,0.0,16860000.0,1.0,40033913.0,39473000.0,40010000.0,6.748,1854816000.0,0.0,0.0,0.0,46.989,
36555,RA1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-10,0.0,1772817000.0,1472028750.0,,,0.162,17.699,-805721000.0,3529000.0,3529000.0,75747000.0,42660000.0,,1.257,833239000.0,,,833239000.0,0.0,46344000.0,0.0,0.054,1.275,84311000.0,130655000.0,0.549,130655000.0,84311000.0,42660000.0,1.02,1.02,1.02,708158000.0,585638000.0,708158000.0,1621840944.0,19.0,12.413,-685451000.0,-17.131,1.0,162401000.0,0.682,0.0,41651000.0,2602527000.0,2161161250.0,0.0,156750000.0,,,890431000.0,,,940260944.0,-6682000.0,-11366000.0,178436000.0,425808000.0,-48229000.0,708140000.0,-835092000.0,-7763000.0,120270000.0,0.0,42660000.0,38927000.0,38927000.0,0.0,0.0,0.163,60761000.0,101640000.0,1214000.0,1.25,1.328,24.154,23.039,1554632000.0,3733000.0,23.5,3.948,3.948,26648000.0,,238148000.0,238148000.0,0.0,0.026,0.066,0.039,0.354,0.0,14417000.0,1.0,40011104.0,40011627.0,40533540.0,5.952,1772817000.0,0.0,0.0,0.0,44.308,
36556,RA1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-10,0.0,1624967000.0,,,,,17.991,-740885000.0,3446000.0,3446000.0,67176000.0,43236000.0,,1.043,685026000.0,,,685026000.0,0.0,38544000.0,0.0,0.053,1.25,77734000.0,116278000.0,0.562,116278000.0,77734000.0,43236000.0,1.07,1.07,1.07,713124000.0,,713124000.0,1671078194.0,21.0,14.371,-649368000.0,-16.383,1.0,139714000.0,0.675,0.0,34498000.0,2306547000.0,,0.0,152473000.0,,,743993000.0,,,944283194.0,-16978000.0,-2579000.0,181389000.0,350291000.0,-45497000.0,646747000.0,-755242000.0,-4484000.0,91517000.0,0.0,43236000.0,39503000.0,39503000.0,0.0,0.0,0.191,50900000.0,88814000.0,1877000.0,1.168,1.324,23.904,22.079,1407796000.0,3733000.0,23.625,4.564,4.526,23160000.0,,206890000.0,206890000.0,0.0,,,,0.376,0.0,12357000.0,1.0,39969659.0,39636815.0,40178083.0,5.22,1624967000.0,0.0,0.0,0.0,40.996,
36557,RA1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-10,0.0,1377074000.0,,,,,12.378,-704202000.0,2191000.0,2191000.0,57820000.0,37426000.0,,1.634,728986000.0,,,728986000.0,0.0,32403000.0,0.0,0.036,0.938,64802000.0,97205000.0,0.55,97205000.0,64802000.0,37426000.0,1.05,1.04,1.05,472605000.0,,472605000.0,1537905584.0,24.0,15.821,-605196000.0,-15.85,1.0,118945000.0,0.673,0.0,27376000.0,2103869000.0,,0.0,124012000.0,,,772238000.0,,,1019460584.0,-109631000.0,-7078000.0,125622000.0,497046000.0,-52805000.0,536851000.0,-745488000.0,-27770000.0,99006000.0,0.0,37426000.0,37426000.0,37426000.0,0.0,0.0,0.212,42787000.0,76158000.0,1115000.0,0.893,2.157,27.239,25.119,1192729000.0,0.0,26.375,5.767,5.697,20428000.0,,176765000.0,176765000.0,0.0,,,,0.367,0.0,10384000.0,1.0,38652534.0,38182577.0,38767454.0,4.629,1377074000.0,0.0,0.0,0.0,36.066,
36558,RA1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-10,0.0,1854816000.0,,,,,17.634,3700000.0,2349000.0,2349000.0,22506000.0,22335000.0,,1.36,889313000.0,,,889313000.0,0.0,14859000.0,0.0,0.06,0.675,35593000.0,50452000.0,0.687,50452000.0,35593000.0,22335000.0,0.29,0.25,0.29,706064000.0,,706064000.0,1717962445.0,17.0,11.367,37226000.0,0.93,1.0,50884000.0,0.693,0.0,13258000.0,2741780000.0,,0.0,167701000.0,,,959936000.0,,,888252445.0,-1180000.0,-807000.0,-41696000.0,53329000.0,-13511000.0,5540000.0,-40246000.0,-49675000.0,33526000.0,0.0,22335000.0,9844000.0,9844000.0,0.0,0.0,0.134,19912000.0,30972000.0,0.0,2.328,1.258,23.44,22.188,1584174000.0,12491000.0,22.188,3.335,3.288,27685000.0,,73390000.0,73390000.0,0.0,,,,,0.0,5053000.0,1.0,40033913.0,40040882.0,40540823.0,1.833,1854816000.0,0.0,0.0,0.0,46.323,
36559,RA1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-10,0.0,1772817000.0,,,,,17.699,-136537000.0,3529000.0,3529000.0,22202000.0,8565000.0,,1.257,833239000.0,,,833239000.0,0.0,14834000.0,0.0,0.054,0.338,21605000.0,36439000.0,0.509,36439000.0,21605000.0,8565000.0,0.21,0.21,0.21,708158000.0,,708158000.0,1621840944.0,19.0,12.413,-93818000.0,-2.345,1.0,49398000.0,0.69,0.0,13040000.0,2602527000.0,,0.0,156750000.0,,,890431000.0,,,940260944.0,83000.0,-8977000.0,115000.0,145116000.0,-13500000.0,113449000.0,-156085000.0,-7840000.0,42719000.0,0.0,8565000.0,8565000.0,8565000.0,0.0,0.0,0.12,19215000.0,30183000.0,1214000.0,1.61,1.328,24.154,23.039,1554632000.0,0.0,23.5,3.948,3.948,26648000.0,,71600000.0,71600000.0,0.0,,,,,0.0,4380000.0,1.0,40011104.0,40011627.0,40533540.0,1.789,1772817000.0,0.0,0.0,0.0,44.308,
36560,RA1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-10,0.0,1624967000.0,,,,,17.991,-180127000.0,3446000.0,3446000.0,21537000.0,13644000.0,,1.043,685026000.0,,,685026000.0,0.0,12458000.0,0.0,0.053,0.313,24614000.0,37072000.0,0.559,37072000.0,24614000.0,13644000.0,0.25,0.25,0.25,713124000.0,,713124000.0,1671078194.0,21.0,14.371,-169787000.0,-4.284,1.0,44782000.0,0.675,0.0,10970000.0,2306547000.0,,0.0,152473000.0,,,743993000.0,,,944283194.0,1255000.0,8443000.0,56043000.0,-89080000.0,1000.0,154063000.0,-163148000.0,11356000.0,10340000.0,0.0,13644000.0,9911000.0,9911000.0,0.0,0.0,0.149,16288000.0,28494000.0,1877000.0,1.252,1.324,23.904,22.079,1407796000.0,3733000.0,23.625,4.564,4.526,23160000.0,,66319000.0,66319000.0,0.0,,,,,0.0,3831000.0,1.0,39969659.0,39636815.0,40178083.0,1.673,1624967000.0,0.0,0.0,0.0,40.996,
36561,RA1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-10,0.0,1377074000.0,,,,,12.378,-257099000.0,2191000.0,2191000.0,18036000.0,9573000.0,,1.634,728986000.0,,,728986000.0,0.0,10806000.0,0.0,0.036,0.0,20100000.0,30906000.0,0.561,30906000.0,20100000.0,9573000.0,0.25,0.25,0.25,472605000.0,,472605000.0,1537905584.0,24.0,15.821,-223575000.0,-5.855,1.0,37027000.0,0.672,0.0,10527000.0,2103869000.0,,0.0,124012000.0,,,772238000.0,,,1019460584.0,-19637000.0,-6417000.0,37472000.0,172958000.0,-12147000.0,202562000.0,-255723000.0,8741000.0,33524000.0,0.0,9573000.0,9573000.0,9573000.0,0.0,0.0,0.174,14403000.0,22624000.0,1115000.0,0.0,2.157,27.239,25.119,1192729000.0,0.0,26.375,5.767,5.697,20428000.0,,55063000.0,55063000.0,0.0,,,,,0.0,3597000.0,1.0,38652534.0,38182577.0,38767454.0,1.442,1377074000.0,0.0,0.0,0.0,36.066,
36562,RA1,ARY,1998-12-31,1999-03-16,1998-12-31,2019-06-10,0.0,1854816000.0,1657418500.0,,,0.161,17.887,-570063000.0,2349000.0,2349000.0,85221000.0,37895000.0,,1.36,889313000.0,,,889313000.0,0.0,52957000.0,0.0,0.063,1.325,85690000.0,138647000.0,0.52,138647000.0,85690000.0,37895000.0,0.96,0.95,0.96,706064000.0,649987750.0,706064000.0,1728403697.0,20.0,12.466,-451856000.0,-11.447,1.0,181152000.0,0.68,0.0,47795000.0,2741780000.0,2438680750.0,0.0,167701000.0,,,959936000.0,,,841439697.0,-19479000.0,-6949000.0,51934000.0,277585000.0,-39157000.0,475614000.0,-613300000.0,-35625000.0,118207000.0,0.0,37895000.0,37895000.0,37895000.0,0.0,0.0,0.142,68876000.0,112276000.0,2395000.0,1.38,1.192,22.205,21.875,1584174000.0,0.0,21.0,3.159,3.112,27685000.0,,266373000.0,266373000.0,0.0,0.023,0.058,0.035,0.322,0.0,15919000.0,1.0,40068557.0,39473000.0,40010000.0,6.748,1854816000.0,0.0,0.0,0.0,46.989,
