None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
34983,REMX1,MRY,1998-12-31,1998-09-27,1998-09-27,2019-06-15,0.0,89785000.0,81254500.0,69746000.0,20039000.0,5.555,6.964,-10591000.0,450000.0,450000.0,374227000.0,13906000.0,2.55,0.438,0.0,0.0,0.0,0.0,0.0,2723000.0,0.0,0.0,0.0,23177000.0,25900000.0,0.057,25900000.0,23177000.0,23177000.0,1.55,1.5,1.55,62437000.0,56326750.0,62437000.0,192802620.0,8.0,7.444,-4408000.0,-0.492,1.0,77117000.0,0.171,1787000.0,0.0,60200000.0,53326250.0,0.0,0.0,0.0,0.0,27348000.0,27348000.0,0.0,198081620.0,-4678000.0,-1014000.0,1170000.0,-426000.0,0.0,744000.0,-11605000.0,0.0,6183000.0,0.0,13906000.0,13906000.0,13906000.0,0.0,0.0,0.031,55300000.0,21817000.0,3033000.0,0.0,3.173,14.244,14.194,15184000.0,0.0,22.0,0.439,0.437,63660000.0,27615000.0,451344000.0,451344000.0,0.0,0.171,0.247,0.435,0.051,0.0,52577000.0,1.0,9003710.0,8966000.0,9297000.0,50.34,87998000.0,2736000.0,9271000.0,809000.0,9.815,42398000.0
34984,REMX1,MRT,1998-12-31,1998-12-27,1998-12-27,2019-06-15,0.0,96046000.0,86718000.0,74447000.0,21599000.0,5.305,7.12,-11510000.0,2382000.0,2382000.0,381938000.0,14076000.0,2.313,0.504,220000.0,209000.0,11000.0,220000.0,0.0,2858000.0,0.0,0.0,0.0,23310000.0,26168000.0,0.057,26168000.0,23310000.0,23310000.0,1.56,1.53,1.56,63850000.0,59581000.0,63850000.0,132878945.0,6.0,5.078,5018000.0,0.56,1.0,78087000.0,0.17,1749000.0,0.0,59950000.0,55249000.0,0.0,0.0,0.0,0.0,32196000.0,32185000.0,11000.0,133020945.0,2241000.0,-1014000.0,-1359000.0,-404000.0,0.0,-1763000.0,-12524000.0,0.0,16528000.0,0.0,14076000.0,14076000.0,14076000.0,0.0,0.0,0.031,55976000.0,22111000.0,9058000.0,0.0,2.083,9.45,9.615,16923000.0,0.0,15.0,0.289,0.292,66457000.0,31300000.0,460025000.0,460025000.0,0.0,0.162,0.236,0.422,0.051,0.0,53118000.0,1.0,8868063.0,8968000.0,9053000.0,51.296,94297000.0,3486000.0,9234000.0,3695000.0,10.515,42262000.0
34985,REMX1,MRT,1998-09-30,1998-09-27,1998-09-27,2019-06-15,0.0,89785000.0,81254500.0,69746000.0,20039000.0,5.555,6.964,-10591000.0,450000.0,450000.0,374227000.0,13906000.0,2.55,0.438,0.0,0.0,0.0,0.0,0.0,2723000.0,0.0,0.0,0.0,23177000.0,25900000.0,0.057,25900000.0,23177000.0,23177000.0,1.55,1.5,1.55,62437000.0,56326750.0,62437000.0,192802620.0,8.0,7.444,-4408000.0,-0.492,1.0,77117000.0,0.171,1787000.0,0.0,60200000.0,53326250.0,0.0,0.0,0.0,0.0,27348000.0,27348000.0,0.0,198081620.0,-4678000.0,-1014000.0,1170000.0,-426000.0,0.0,744000.0,-11605000.0,0.0,6183000.0,0.0,13906000.0,13906000.0,13906000.0,0.0,0.0,0.031,55300000.0,21817000.0,3033000.0,0.0,3.173,14.244,14.194,15184000.0,0.0,22.0,0.439,0.437,63660000.0,27615000.0,451344000.0,451344000.0,0.0,0.171,0.247,0.435,0.051,0.0,52577000.0,1.0,9003710.0,8966000.0,9297000.0,50.34,87998000.0,2736000.0,9271000.0,809000.0,9.815,42398000.0
34986,REMX1,MRT,1998-06-30,1998-06-28,1998-06-28,2019-06-15,0.0,81805000.0,77259750.0,64786000.0,17019000.0,5.618,6.463,-9108000.0,5707000.0,5707000.0,359846000.0,13066000.0,2.757,0.409,428000.0,314000.0,114000.0,428000.0,0.0,2652000.0,0.0,0.0,0.0,22336000.0,24988000.0,0.058,24988000.0,22336000.0,22336000.0,1.45,1.42,1.45,58061000.0,52482750.0,58061000.0,232403550.0,10.0,9.301,911000.0,0.101,1.0,74203000.0,0.171,1825000.0,0.0,51200000.0,49381750.0,0.0,0.0,0.0,0.0,23744000.0,23501000.0,243000.0,235925550.0,247000.0,-1939000.0,1388000.0,-413000.0,0.0,1275000.0,-11047000.0,0.0,10019000.0,0.0,13066000.0,13066000.0,13066000.0,0.0,0.0,0.03,53396000.0,20807000.0,2543000.0,0.0,4.063,18.056,18.103,12716000.0,0.0,26.25,0.544,0.543,56286000.0,23750000.0,434049000.0,434049000.0,0.0,0.169,0.249,0.452,0.051,0.0,50744000.0,1.0,8987640.0,8984000.0,9412000.0,48.314,79980000.0,349000.0,9270000.0,129000.0,8.902,41285000.0
34987,REMX1,MRT,1998-03-31,1998-03-29,1998-03-29,2019-06-15,0.0,79236000.0,,64929000.0,14307000.0,,6.032,-6456000.0,4067000.0,4067000.0,342340000.0,12097000.0,2.682,0.468,545000.0,369000.0,176000.0,545000.0,0.0,2612000.0,0.0,0.0,0.0,20679000.0,23291000.0,0.056,23291000.0,20679000.0,20679000.0,1.35,1.33,1.35,53976000.0,,53976000.0,292381028.0,14.0,12.553,-3361000.0,-0.376,1.0,70608000.0,0.171,1863000.0,0.0,49646000.0,,0.0,0.0,0.0,0.0,25260000.0,24205000.0,1055000.0,291898028.0,-5770000.0,-1939000.0,1006000.0,-401000.0,0.0,-470000.0,-8395000.0,0.0,3095000.0,0.0,12097000.0,12097000.0,12097000.0,0.0,0.0,0.029,51549000.0,19059000.0,4349000.0,0.0,5.408,24.13,24.167,9728000.0,0.0,32.625,0.707,0.707,57681000.0,20210000.0,412948000.0,412948000.0,0.0,,,,0.05,0.0,48937000.0,1.0,8947066.0,8949000.0,9275000.0,46.145,77373000.0,832000.0,8582000.0,879000.0,8.646,40724000.0
34988,REMX1,MRQ,1998-12-31,1998-12-27,1998-12-27,2019-06-15,0.0,96046000.0,,74447000.0,21599000.0,,7.12,-2496000.0,2382000.0,2382000.0,99947000.0,3685000.0,2.313,0.504,220000.0,209000.0,11000.0,220000.0,0.0,795000.0,0.0,0.0,0.0,6142000.0,6937000.0,0.058,6937000.0,6142000.0,6142000.0,0.41,0.41,0.41,63850000.0,,63850000.0,132878945.0,6.0,5.078,4292000.0,0.479,1.0,19879000.0,0.166,1749000.0,0.0,59950000.0,,0.0,0.0,0.0,0.0,32196000.0,32185000.0,11000.0,133020945.0,1932000.0,0.0,-2272000.0,-88000.0,0.0,-2360000.0,-2496000.0,0.0,6788000.0,0.0,3685000.0,3685000.0,3685000.0,0.0,0.0,0.031,13970000.0,5909000.0,9058000.0,0.0,2.083,9.45,9.615,16923000.0,0.0,15.0,0.289,0.292,66457000.0,31300000.0,119826000.0,119826000.0,0.0,,,,,0.0,13175000.0,1.0,8868063.0,8968000.0,9053000.0,13.362,94297000.0,3486000.0,2457000.0,3695000.0,10.515,42262000.0
34989,REMX1,MRQ,1998-09-30,1998-09-27,1998-09-27,2019-06-15,0.0,89785000.0,,69746000.0,20039000.0,,6.936,-3137000.0,450000.0,450000.0,97296000.0,3865000.0,2.55,0.438,0.0,0.0,0.0,0.0,0.0,707000.0,0.0,0.0,0.0,6013000.0,6720000.0,0.057,6720000.0,6013000.0,6013000.0,0.43,0.42,0.43,62437000.0,,62437000.0,192802620.0,8.0,7.444,-5348000.0,-0.594,1.0,19908000.0,0.17,1787000.0,0.0,60200000.0,,0.0,0.0,0.0,0.0,27348000.0,27348000.0,0.0,198081620.0,-5257000.0,0.0,211000.0,-120000.0,0.0,91000.0,-3137000.0,0.0,-2211000.0,0.0,3865000.0,3865000.0,3865000.0,0.0,0.0,0.033,14166000.0,5742000.0,3033000.0,0.0,3.173,14.244,14.194,15184000.0,0.0,22.0,0.439,0.437,63660000.0,27615000.0,117204000.0,117204000.0,0.0,,,,,0.0,13459000.0,1.0,9003710.0,9002000.0,9297000.0,13.02,87998000.0,2736000.0,2148000.0,809000.0,9.775,42398000.0
34990,REMX1,MRQ,1998-06-30,1998-06-28,1998-06-28,2019-06-15,0.0,81805000.0,,64786000.0,17019000.0,,6.463,-3633000.0,5707000.0,5707000.0,93717000.0,3540000.0,2.757,0.409,428000.0,314000.0,114000.0,428000.0,0.0,683000.0,0.0,0.0,0.0,6051000.0,6734000.0,0.059,6734000.0,6051000.0,6051000.0,0.39,0.38,0.39,58061000.0,,58061000.0,232403550.0,10.0,9.301,1212000.0,0.135,1.0,19671000.0,0.173,1825000.0,0.0,51200000.0,,0.0,0.0,0.0,0.0,23744000.0,23501000.0,243000.0,235925550.0,1640000.0,0.0,545000.0,-117000.0,0.0,428000.0,-3633000.0,0.0,4845000.0,0.0,3540000.0,3540000.0,3540000.0,0.0,0.0,0.031,13934000.0,5737000.0,2543000.0,0.0,4.063,18.056,18.103,12716000.0,0.0,26.25,0.544,0.543,56286000.0,23750000.0,113388000.0,113388000.0,0.0,,,,,0.0,13251000.0,1.0,8987640.0,8984000.0,9412000.0,12.621,79980000.0,349000.0,2511000.0,129000.0,8.902,41285000.0
34991,REMX1,MRQ,1998-03-31,1998-03-29,1998-03-29,2019-06-15,0.0,79236000.0,,64929000.0,14307000.0,,6.032,-2244000.0,4067000.0,4067000.0,90978000.0,2986000.0,2.682,0.468,545000.0,369000.0,176000.0,545000.0,0.0,673000.0,0.0,0.0,0.0,5104000.0,5777000.0,0.053,5777000.0,5104000.0,5104000.0,0.33,0.32,0.33,53976000.0,,53976000.0,292381028.0,14.0,12.553,4862000.0,0.543,1.0,18629000.0,0.17,1863000.0,0.0,49646000.0,,0.0,0.0,0.0,0.0,25260000.0,24205000.0,1055000.0,291898028.0,3926000.0,-1014000.0,157000.0,-79000.0,0.0,78000.0,-3258000.0,0.0,7106000.0,0.0,2986000.0,2986000.0,2986000.0,0.0,0.0,0.027,13906000.0,4723000.0,4349000.0,0.0,5.408,24.13,24.167,9728000.0,0.0,32.625,0.707,0.707,57681000.0,20210000.0,109607000.0,109607000.0,0.0,,,,,0.0,13233000.0,1.0,8947066.0,8949000.0,9275000.0,12.248,77373000.0,832000.0,2118000.0,879000.0,8.646,40724000.0
34992,REMX1,ARY,1998-12-31,1998-12-23,1998-09-27,2019-06-15,0.0,89785000.0,81254500.0,69746000.0,20039000.0,5.555,6.964,-10591000.0,450000.0,450000.0,374227000.0,13906000.0,2.556,0.438,308000.0,245000.0,63000.0,308000.0,0.0,2723000.0,0.0,0.0,0.0,23177000.0,25900000.0,0.057,25900000.0,23177000.0,23177000.0,1.55,1.5,1.55,62437000.0,56326750.0,62437000.0,133987453.0,6.0,5.173,-4408000.0,-0.492,1.0,77117000.0,0.171,1787000.0,0.0,60571000.0,53419000.0,0.0,0.0,0.0,0.0,27348000.0,27285000.0,63000.0,134129453.0,-4678000.0,-1014000.0,1170000.0,-426000.0,0.0,744000.0,-11605000.0,0.0,6183000.0,0.0,13906000.0,13906000.0,13906000.0,0.0,0.0,0.031,55300000.0,21817000.0,3033000.0,0.0,2.148,9.645,9.758,15184000.0,0.0,15.125,0.297,0.3,63660000.0,27615000.0,451344000.0,451344000.0,0.0,0.171,0.247,0.434,0.051,0.0,52577000.0,1.0,8868063.0,8966000.0,9297000.0,50.34,87998000.0,2736000.0,9271000.0,809000.0,9.815,42461000.0
34993,REMX1,ART,1998-12-31,1999-02-10,1998-12-27,2019-06-15,0.0,96046000.0,86718000.0,74447000.0,21599000.0,5.305,7.12,-11510000.0,2382000.0,2382000.0,381938000.0,14076000.0,2.313,0.504,220000.0,209000.0,11000.0,220000.0,0.0,2858000.0,0.0,0.0,0.0,23310000.0,26168000.0,0.057,26168000.0,23310000.0,23310000.0,1.56,1.53,1.56,63850000.0,59581000.0,63850000.0,155967161.0,7.0,5.96,5018000.0,0.56,1.0,78087000.0,0.17,1749000.0,0.0,59950000.0,55341750.0,0.0,0.0,0.0,0.0,32196000.0,32185000.0,11000.0,158129161.0,2241000.0,-1014000.0,-1359000.0,-404000.0,0.0,-1763000.0,-12524000.0,0.0,16528000.0,0.0,14076000.0,14076000.0,14076000.0,0.0,0.0,0.031,55976000.0,22111000.0,9058000.0,0.0,2.477,11.234,11.498,16923000.0,0.0,17.938,0.344,0.35,66457000.0,31300000.0,460025000.0,460025000.0,0.0,0.162,0.236,0.421,0.051,0.0,53118000.0,1.0,8815563.0,8968000.0,9053000.0,51.296,94297000.0,3486000.0,9234000.0,3695000.0,10.515,42262000.0
34994,REMX1,ART,1998-09-30,1998-12-23,1998-09-27,2019-06-15,0.0,89785000.0,81254500.0,69746000.0,20039000.0,5.555,6.964,-10591000.0,450000.0,450000.0,374227000.0,13906000.0,2.556,0.438,308000.0,245000.0,63000.0,308000.0,0.0,2723000.0,0.0,0.0,0.0,23177000.0,25900000.0,0.057,25900000.0,23177000.0,23177000.0,1.55,1.5,1.55,62437000.0,56326750.0,62437000.0,133987453.0,6.0,5.173,-4408000.0,-0.492,1.0,77117000.0,0.171,1787000.0,0.0,60571000.0,53419000.0,0.0,0.0,0.0,0.0,27348000.0,27285000.0,63000.0,134129453.0,-4678000.0,-1014000.0,1170000.0,-426000.0,0.0,744000.0,-11605000.0,0.0,6183000.0,0.0,13906000.0,13906000.0,13906000.0,0.0,0.0,0.031,55300000.0,21817000.0,3033000.0,0.0,2.148,9.645,9.758,15184000.0,0.0,15.125,0.297,0.3,63660000.0,27615000.0,451344000.0,451344000.0,0.0,0.171,0.247,0.434,0.051,0.0,52577000.0,1.0,8868063.0,8966000.0,9297000.0,50.34,87998000.0,2736000.0,9271000.0,809000.0,9.815,42461000.0
34995,REMX1,ART,1998-06-30,1998-08-13,1998-06-28,2019-06-15,0.0,81805000.0,,64786000.0,17019000.0,,6.463,,5707000.0,5707000.0,,,2.757,0.409,428000.0,314000.0,114000.0,428000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,58061000.0,,58061000.0,154536853.0,,,,,1.0,,,1825000.0,,51200000.0,,0.0,0.0,0.0,0.0,23744000.0,23501000.0,243000.0,159815853.0,,,,,,,,,,,,,,,,,,,2543000.0,,2.753,,,12716000.0,,17.75,,,56286000.0,23750000.0,,,,,,,,,,1.0,9003710.0,8984000.0,,,79980000.0,349000.0,,129000.0,8.902,41285000.0
34996,REMX1,ART,1998-03-31,1998-05-12,1998-03-29,2019-06-15,0.0,79236000.0,,64929000.0,14307000.0,,6.032,,4067000.0,4067000.0,,,2.682,0.468,545000.0,369000.0,176000.0,545000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,53976000.0,,53976000.0,268354110.0,,,,,1.0,,,1863000.0,,49646000.0,,0.0,0.0,0.0,0.0,25260000.0,24205000.0,1055000.0,271876110.0,,,,,,,,,,,,,,,,,,,4349000.0,,5.037,,,9728000.0,,30.25,,,57681000.0,20210000.0,,,,,,,,,,1.0,8987640.0,8949000.0,,,77373000.0,832000.0,,879000.0,8.646,40724000.0
