None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
34587,RGCIQ,MRY,1998-12-31,1998-12-31,1998-12-31,2019-08-22,0.0,67617870.0,53728028.0,11618745.0,55999125.0,0.275,72.206,-818000.0,478545.0,478545.0,11052000.0,-4460000.0,0.892,2.902,43097500.0,8480000.0,34617500.0,43097500.0,0.0,2281000.0,0.0,,0.0,-1577000.0,704000.0,0.048,704000.0,-1577000.0,-4460000.0,-47.55,-47.55,-47.55,17329485.0,-1848676.0,17329485.0,,,,-1203000.0,-5.013,1.0,3720000.0,0.252,45023940.0,2883000.0,52185579.0,46377500.0,0.0,0.0,0.0,0.0,50288385.0,13027306.0,37261079.0,,-56000.0,-31441000.0,0.0,13959000.0,0.0,32588000.0,-32259000.0,0.0,-385000.0,0.0,-4460000.0,-11413000.0,-11413000.0,0.0,0.0,-0.773,4153000.0,-433000.0,1005327.0,0.0,,,,9303975.0,6953000.0,,,,3439372.0,913440.0,14772000.0,14772000.0,0.0,-0.212,6.174,-0.034,-0.107,530000.0,1872000.0,1.0,240000.0,240000.0,240000.0,61.55,22593930.0,0.0,0.0,0.0,94.141,-1408561.0
34588,RGCIQ,MRT,1998-12-31,1998-12-31,1998-12-31,2019-08-22,0.0,67617870.0,53728028.0,11618745.0,55999125.0,0.275,72.206,-818000.0,478545.0,478545.0,11052000.0,-4460000.0,0.892,2.902,43097500.0,8480000.0,34617500.0,43097500.0,0.0,2281000.0,0.0,,0.0,-1577000.0,704000.0,0.048,704000.0,-1577000.0,-4460000.0,-47.55,-47.55,-47.55,17329485.0,-1848676.0,17329485.0,,,,-1203000.0,-5.013,1.0,3720000.0,0.252,45023940.0,2883000.0,52185579.0,46377500.0,0.0,0.0,0.0,0.0,50288385.0,13027306.0,37261079.0,,-56000.0,-31441000.0,0.0,13959000.0,0.0,32588000.0,-32259000.0,0.0,-385000.0,0.0,-4460000.0,-11413000.0,-11413000.0,0.0,0.0,-0.773,4153000.0,-433000.0,1005327.0,0.0,,,,9303975.0,6953000.0,,,,3439372.0,913440.0,14772000.0,14772000.0,0.0,-0.212,6.174,-0.034,-0.107,530000.0,1872000.0,1.0,240000.0,240000.0,240000.0,61.55,22593930.0,0.0,0.0,0.0,94.141,-1408561.0
34589,RGCIQ,MRT,1998-09-30,1998-09-30,1998-09-30,2019-08-22,0.0,66577504.0,39864097.0,12143375.0,54434129.0,0.187,-31.947,-502632.0,393743.0,393743.0,3998576.0,312783.0,0.997,-6.506,42613750.0,7565000.0,35048750.0,42613750.0,0.0,438380.0,0.0,,0.0,1580757.0,2019137.0,0.271,2019137.0,1580757.0,346783.0,-37.92,-37.92,-37.92,-7667205.0,-6147656.0,-7667205.0,,,,-1399144.0,-5.83,1.0,3451027.0,0.463,43757075.0,1233974.0,52855311.0,37245753.0,0.0,0.0,0.0,0.0,49885956.0,12185125.0,37700831.0,,-880335.0,-28778620.0,0.0,13712033.0,0.0,29297429.0,-29281252.0,0.0,-896512.0,0.0,312783.0,591576.0,591576.0,0.0,0.0,0.079,1977792.0,1473235.0,996272.0,0.0,,,,8985342.0,-278793.0,,,,3579723.0,-16123592.0,7449603.0,7449603.0,0.0,0.015,-0.096,0.042,0.212,0.0,937137.0,1.0,240000.0,240000.0,240000.0,31.04,22820429.0,0.0,34000.0,0.0,95.085,-41750.0
34590,RGCIQ,MRT,1998-06-30,1998-06-30,1998-06-30,2019-08-22,0.0,66831177.0,,12372659.0,54458518.0,,-26.39,-177059.0,769706.0,769706.0,5077560.0,-2708527.0,1.069,-7.783,42630000.0,7565000.0,35065000.0,42630000.0,0.0,438380.0,0.0,,0.0,-591518.0,-153138.0,-0.019,-153138.0,-591518.0,-2658527.0,-31.36,-31.36,-31.36,-6333566.0,,-6333566.0,,,,-1163079.0,-4.846,1.0,2820675.0,0.357,43643968.0,2067009.0,53477299.0,,0.0,0.0,0.0,0.0,49295787.0,11570204.0,37725583.0,,-470634.0,-28544943.0,0.0,12785871.0,0.0,29237388.0,-28722002.0,0.0,-986020.0,0.0,-2708527.0,-7523373.0,-7523373.0,0.0,0.0,-0.953,2285460.0,535215.0,1363223.0,0.0,,,,8835016.0,4814846.0,,,,3361806.0,-15279750.0,7898235.0,7898235.0,0.0,,,,-0.075,0.0,1029108.0,1.0,240000.0,240000.0,240000.0,32.909,23187209.0,0.0,50000.0,0.0,96.613,802455.0
34591,RGCIQ,MRT,1998-03-31,1998-03-31,1998-03-31,2019-08-22,0.0,13885559.0,,1669435.0,12216124.0,,-44.681,-175733.0,524181.0,524181.0,4228927.0,-5029724.0,1.503,-2.295,23346664.0,460012.0,22886652.0,23346664.0,59485.0,650303.0,0.0,,0.0,-3300778.0,-2650475.0,-0.404,-2650475.0,-3300778.0,-4962182.0,-20.97,-16.44,-20.97,-10723416.0,,-10723416.0,,,,-110231.0,-0.459,1.0,2325261.0,0.355,8605826.0,1661404.0,26991812.0,,0.0,0.0,0.0,0.0,24608975.0,1110404.0,23498571.0,,-350236.0,-7990898.0,0.0,8713275.0,0.0,7750893.0,-8166631.0,0.0,65502.0,0.0,-5029724.0,-5029724.0,-5029724.0,0.0,0.0,-0.767,1327834.0,997427.0,102386.0,0.0,,,,2299151.0,0.0,,,,1086206.0,-13403011.0,6554188.0,6554188.0,0.0,,,,-0.504,0.0,389246.0,1.0,,240000.0,240000.0,27.309,5279733.0,0.0,67542.0,88623.0,21.999,559031.0
34592,RGCIQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-08-22,0.0,67617870.0,,11618745.0,55999125.0,,72.206,-384627.0,478545.0,478545.0,8279028.0,-4939012.0,0.892,2.902,43097500.0,8480000.0,34617500.0,43097500.0,0.0,2281000.0,0.0,,0.0,-2795714.0,-514714.0,-0.056,-514714.0,-2795714.0,-4939012.0,-9.17,-9.17,-9.17,17329485.0,,17329485.0,,,,-216694.0,-0.903,1.0,973054.0,0.105,45023940.0,2143298.0,52185579.0,,0.0,0.0,0.0,0.0,50288385.0,13027306.0,37261079.0,,85569.0,-2017332.0,0.0,-807840.0,0.0,2319595.0,-2401959.0,0.0,167933.0,0.0,-4939012.0,-11892012.0,-11892012.0,0.0,0.0,-1.285,2525175.0,-1552121.0,1005327.0,0.0,,,,9303975.0,6953000.0,,,,3439372.0,913440.0,9252082.0,9252082.0,0.0,,,,,530000.0,1016949.0,1.0,240000.0,240000.0,240000.0,38.55,22593930.0,0.0,0.0,0.0,94.141,-1408561.0
34593,RGCIQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-08-22,0.0,66577504.0,,12143375.0,54434129.0,,-31.947,-371253.0,393743.0,393743.0,74323.0,2897379.0,0.997,-6.506,42613750.0,7565000.0,35048750.0,42613750.0,0.0,0.0,0.0,,0.0,2550473.0,2550473.0,1.751,2550473.0,2550473.0,2897379.0,-7.08,-7.08,-7.08,-7667205.0,,-7667205.0,,,,-25786.0,-0.107,1.0,1382392.0,0.949,43757075.0,-346906.0,52855311.0,,0.0,0.0,0.0,0.0,49885956.0,12185125.0,37700831.0,,-375963.0,-333677.0,0.0,-16500.0,0.0,-16500.0,-704930.0,0.0,345467.0,0.0,2897379.0,7991018.0,7991018.0,0.0,0.0,5.486,80819.0,1301573.0,996272.0,0.0,,,,8985342.0,-5093639.0,,,,3579723.0,-16123592.0,1456715.0,1456715.0,0.0,,,,,0.0,-5019.0,1.0,240000.0,240000.0,240000.0,6.07,22820429.0,0.0,0.0,0.0,95.085,-41750.0
34594,RGCIQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-08-22,0.0,66831177.0,,12372659.0,54458518.0,,-26.39,-15222.0,769706.0,769706.0,1599738.0,-1876838.0,1.069,-7.783,42630000.0,7565000.0,35065000.0,42630000.0,0.0,-290548.0,0.0,,0.0,-1294000.0,-1584548.0,-0.61,-1584548.0,-1294000.0,-1876838.0,-27.88,-27.88,-27.88,-6333566.0,,-6333566.0,,,,-1314168.0,-5.476,1.0,998388.0,0.384,43643968.0,582838.0,53477299.0,,0.0,0.0,0.0,0.0,49295787.0,11570204.0,37725583.0,,245525.0,-27804045.0,0.0,13778342.0,0.0,29363738.0,-27819267.0,0.0,-1298946.0,0.0,-1876838.0,-6691684.0,-6691684.0,0.0,0.0,-2.576,1130930.0,-132542.0,1363223.0,0.0,,,,8835016.0,4814846.0,,,,3361806.0,-15279750.0,2598126.0,2598126.0,0.0,,,,,0.0,734542.0,1.0,240000.0,240000.0,240000.0,10.826,23187209.0,0.0,0.0,0.0,96.613,802455.0
34595,RGCIQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-08-22,0.0,13885559.0,,1669435.0,12216124.0,,-44.681,-54288.0,524181.0,524181.0,1098911.0,-541628.0,1.503,-2.295,23346664.0,460012.0,22886652.0,23346664.0,59485.0,2364.0,0.0,,0.0,-25858.0,-23494.0,-0.016,-23494.0,-25858.0,-529628.0,-2.26,-2.26,-2.26,-10723416.0,,-10723416.0,,,,-229961.0,-0.958,1.0,366166.0,0.25,8605826.0,503770.0,26991812.0,,0.0,0.0,0.0,0.0,24608975.0,1110404.0,23498571.0,,-789679.0,-559718.0,0.0,0.0,0.0,0.0,-614006.0,0.0,-175673.0,0.0,-541628.0,-541628.0,-541628.0,0.0,0.0,-0.37,404176.0,-38010.0,102386.0,0.0,,,,2299151.0,0.0,,,,1086206.0,-13403011.0,1465077.0,1465077.0,0.0,,,,,0.0,113528.0,1.0,,240000.0,240000.0,6.104,5279733.0,0.0,12000.0,88623.0,21.999,559031.0
34596,RGCIQ,ARY,1998-12-31,1999-03-31,1998-12-31,2019-08-22,0.0,67617870.0,53728028.0,11618745.0,55999125.0,0.275,-39.777,-818919.0,478545.0,478545.0,11051165.0,-4460004.0,0.892,-5.268,43097500.0,8480000.0,34617500.0,43097500.0,0.0,2281497.0,0.0,,0.0,-1576753.0,704744.0,0.048,704744.0,-1576753.0,-4460004.0,-47.55,-47.55,-47.55,-9546573.0,-6292863.0,-9546573.0,,,,-1203858.0,-5.016,1.0,3720358.0,0.252,45023940.0,2883251.0,52185579.0,46377500.0,0.0,0.0,0.0,0.0,50288385.0,13027306.0,37261079.0,,-56767.0,-31440795.0,0.0,15250590.0,0.0,32587886.0,-32259714.0,0.0,-384939.0,0.0,-4460004.0,-11412786.0,-11412786.0,0.0,0.0,-0.773,4153679.0,-433321.0,1005327.0,0.0,,,,9303975.0,6952782.0,,,,3439372.0,-17321387.0,14771523.0,14771523.0,0.0,-0.212,1.814,-0.034,-0.107,530264.0,1872182.0,1.0,240000.0,240000.0,240000.0,61.548,22593930.0,0.0,0.0,0.0,94.141,-1408561.0
