None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
34287,RHCS,MRY,1998-12-31,1998-12-27,1998-12-27,2018-09-04,-123195.0,3361635.0,4811183.0,68693.0,3292942.0,0.0,0.904,0.0,42293.0,42293.0,0.0,-2642097.0,0.319,0.088,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,-2566211.0,-2564687.0,,-2564687.0,-2566211.0,-2642097.0,-0.81,-0.81,-0.81,3091069.0,3412920.0,3091069.0,1603808.0,-1.0,-0.625,-641144.0,-0.187,1.0,0.0,,0.0,75886.0,3104276.0,4082662.0,0.0,3257096.0,0.0,3257096.0,270566.0,215066.0,55500.0,1710391.0,-96962.0,0.0,0.0,544182.0,0.0,544182.0,0.0,0.0,-641144.0,0.0,-2642097.0,-2758097.0,-2758097.0,0.0,0.0,,452926.0,-452926.0,270566.0,0.0,0.553,-0.62,-0.617,4697.0,116000.0,0.5,,,26400.0,-8213359.0,0.0,0.0,0.0,-0.573,-0.808,-0.629,,0.0,451402.0,1.0,3420782.0,3420725.0,3420725.0,0.0,3361635.0,0.0,0.0,0.0,0.983,-146373.0
34288,RHCS,MRT,1998-12-31,1998-12-27,1998-12-27,2018-09-04,-123195.0,3361635.0,4811183.0,68693.0,3292942.0,0.0,0.904,0.0,42293.0,42293.0,0.0,-2642097.0,0.319,0.088,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,-2566211.0,-2564687.0,,-2564687.0,-2566211.0,-2642097.0,-0.81,-0.81,-0.81,3091069.0,3412920.0,3091069.0,1603808.0,-1.0,-0.625,-641144.0,-0.187,1.0,0.0,,0.0,75886.0,3104276.0,4082662.0,0.0,3257096.0,0.0,3257096.0,270566.0,215066.0,55500.0,1710391.0,-96962.0,0.0,0.0,544182.0,0.0,544182.0,0.0,0.0,-641144.0,0.0,-2642097.0,-2758097.0,-2758097.0,0.0,0.0,,452926.0,-452926.0,270566.0,0.0,0.553,-0.62,-0.617,4697.0,116000.0,0.5,,,26400.0,-8213359.0,0.0,0.0,0.0,-0.573,-0.808,-0.629,,0.0,451402.0,1.0,3420782.0,3420725.0,3420725.0,0.0,3361635.0,0.0,0.0,0.0,0.983,-146373.0
34289,RHCS,MRT,1998-09-30,1998-09-27,1998-09-27,2018-09-04,-123194.0,4894073.0,5416178.0,155392.0,4738681.0,2.051,0.927,213727.0,106583.0,106583.0,9562580.0,2121893.0,0.313,0.543,0.0,0.0,0.0,0.0,0.0,777833.0,0.0,0.0,0.0,2735122.0,3512955.0,0.316,3512955.0,2735122.0,2121893.0,0.58,0.58,0.58,3171315.0,3698444.0,3171315.0,6919192.0,3.0,1.97,-1057742.0,-0.309,1.0,1548694.0,0.139,0.0,613229.0,4290858.0,4480286.0,0.0,4701310.0,0.0,4701310.0,1722757.0,496632.0,1226125.0,7269162.0,-168997.0,-82636.0,0.0,-1160543.0,0.0,1079755.0,131091.0,0.0,-1271469.0,-108374.0,2121893.0,2063893.0,2063893.0,0.0,0.0,0.186,3744553.0,-2195859.0,1722757.0,0.0,2.292,3.522,3.664,6222.0,58000.0,2.125,0.654,0.654,11596.0,-6633114.0,11111274.0,11111274.0,0.0,0.381,0.558,0.61,0.246,0.0,2966720.0,1.0,3420782.0,3420782.0,3420782.0,3.248,4894073.0,0.0,0.0,0.0,1.431,-341240.0
34290,RHCS,MRT,1998-06-30,1998-06-28,1998-06-28,2018-09-04,-123194.0,5370019.0,,398779.0,4971240.0,,1.026,344629.0,349970.0,349970.0,9562580.0,2139618.0,0.574,0.53,0.0,0.0,0.0,0.0,0.0,777833.0,0.0,0.0,0.0,2807258.0,3585091.0,0.323,3585091.0,2807258.0,2139618.0,-0.22,-0.22,-0.22,3509491.0,,3509491.0,5222252.0,2.0,1.457,-462450.0,-0.135,1.0,1548694.0,0.139,0.0,667640.0,4325874.0,,0.0,4933870.0,0.0,4933870.0,1860528.0,694175.0,1166353.0,5558771.0,144567.0,0.0,0.0,-1096870.0,0.0,698556.0,344629.0,0.0,-807079.0,-91539.0,2139618.0,2081618.0,2081618.0,0.0,0.0,0.187,3904929.0,-2356235.0,1860528.0,0.0,1.584,2.67,-7.386,6221.0,58000.0,1.625,0.5,0.5,11596.0,-6294937.0,11111274.0,11111274.0,0.0,,,,0.253,0.0,3127096.0,1.0,3420782.0,3420782.0,3420782.0,3.248,5370019.0,0.0,0.0,0.0,1.57,-295396.0
34291,RHCS,MRT,1998-03-31,1998-03-29,1998-03-29,2018-09-04,-123194.0,5619006.0,,385328.0,5233678.0,,1.134,344629.0,336519.0,336519.0,9562580.0,2194058.0,0.573,0.448,0.0,0.0,0.0,0.0,0.0,777833.0,0.0,0.0,0.0,2942439.0,3720272.0,0.335,3720272.0,2942439.0,2194058.0,-0.2,-0.2,-0.2,3879805.0,,3879805.0,,,,-1556742.0,-0.455,1.0,1548694.0,0.139,0.0,748381.0,4609639.0,,0.0,5196308.0,0.0,5196308.0,1739201.0,672848.0,1066353.0,8551955.0,-482100.0,0.0,0.0,-246816.0,0.0,1548610.0,344629.0,0.0,-1901371.0,-108374.0,2194058.0,2136058.0,2136058.0,0.0,0.0,0.192,4134256.0,-2585562.0,1739201.0,0.0,2.204,4.004,-12.5,6221.0,58000.0,2.5,0.77,0.77,11596.0,-5924624.0,11111274.0,11111274.0,0.0,,,,0.265,0.0,3356423.0,1.0,3420782.0,3420782.0,3420782.0,3.248,5619006.0,0.0,0.0,0.0,1.643,-287520.0
34292,RHCS,MRQ,1998-12-31,1998-12-27,1998-12-27,2018-09-04,-123195.0,3361635.0,,68693.0,3292942.0,,0.904,0.0,42293.0,42293.0,0.0,-353361.0,0.319,0.088,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,-334891.0,-333367.0,,-333367.0,-334891.0,-353361.0,-0.1,-0.1,-0.1,3091069.0,,3091069.0,1603808.0,-1.0,-0.625,-93600.0,-0.027,1.0,0.0,,0.0,18470.0,3104276.0,,0.0,3257096.0,0.0,3257096.0,270566.0,215066.0,55500.0,1710391.0,5710.0,0.0,0.0,544182.0,0.0,99310.0,0.0,0.0,-93600.0,0.0,-353361.0,-353361.0,-353361.0,0.0,0.0,,155409.0,-155409.0,270566.0,0.0,0.553,-0.62,-0.617,4697.0,0.0,0.5,,,26400.0,-8213359.0,0.0,0.0,0.0,,,,,0.0,155409.0,1.0,3420782.0,3420782.0,3420782.0,0.0,3361635.0,0.0,0.0,0.0,0.983,-146373.0
34293,RHCS,MRQ,1998-09-30,1998-09-27,1998-09-27,2018-09-04,-123194.0,4894073.0,,155392.0,4738681.0,,0.927,0.0,106583.0,106583.0,0.0,-338176.0,0.313,0.543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-314251.0,-314251.0,,-314251.0,-314251.0,-338176.0,-0.1,-0.1,-0.1,3171315.0,,3171315.0,6919192.0,3.0,1.97,-192769.0,-0.056,1.0,0.0,,0.0,23925.0,4290858.0,,0.0,4701310.0,0.0,4701310.0,1722757.0,496632.0,1226125.0,7269162.0,-132997.0,0.0,0.0,-385100.0,0.0,59772.0,0.0,0.0,-192769.0,0.0,-338176.0,-338176.0,-338176.0,0.0,0.0,,81739.0,-81739.0,1722757.0,0.0,2.292,3.522,3.664,6222.0,0.0,2.125,0.654,0.654,11596.0,-6633114.0,0.0,0.0,0.0,,,,,0.0,81739.0,1.0,3420782.0,3420782.0,3420782.0,0.0,4894073.0,0.0,0.0,0.0,1.431,-341240.0
34294,RHCS,MRQ,1998-06-30,1998-06-28,1998-06-28,2018-09-04,-123194.0,5370019.0,,398779.0,4971240.0,,1.026,0.0,349970.0,349970.0,0.0,-370314.0,0.574,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-348977.0,-348977.0,,-348977.0,-348977.0,-370314.0,-0.11,-0.11,-0.11,3509491.0,,3509491.0,5222252.0,2.0,1.457,-86549.0,-0.025,1.0,0.0,,0.0,21337.0,4325874.0,,0.0,4933870.0,0.0,4933870.0,1860528.0,694175.0,1166353.0,5558771.0,13451.0,0.0,0.0,100000.0,0.0,100000.0,0.0,0.0,-86549.0,0.0,-370314.0,-370314.0,-370314.0,0.0,0.0,,86549.0,-86549.0,1860528.0,0.0,1.584,2.67,-7.386,6221.0,0.0,1.625,0.5,0.5,11596.0,-6294937.0,0.0,0.0,0.0,,,,,0.0,86549.0,1.0,3420782.0,3420782.0,3420782.0,0.0,5370019.0,0.0,0.0,0.0,1.57,-295396.0
34295,RHCS,MRQ,1998-03-31,1998-03-29,1998-03-29,2018-09-04,-123194.0,5619006.0,,385328.0,5233678.0,,1.134,0.0,336519.0,336519.0,0.0,-353361.0,0.573,0.448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-334891.0,-334891.0,,-334891.0,-334891.0,-353361.0,-0.1,-0.1,-0.1,3879805.0,,3879805.0,,,,-268226.0,-0.078,1.0,0.0,,0.0,18470.0,4609639.0,,0.0,5196308.0,0.0,5196308.0,1739201.0,672848.0,1066353.0,8551955.0,16874.0,0.0,0.0,285100.0,0.0,285100.0,0.0,0.0,-268226.0,0.0,-353361.0,-353361.0,-353361.0,0.0,0.0,,155409.0,-155409.0,1739201.0,0.0,2.204,4.004,-12.5,6221.0,0.0,2.5,0.77,0.77,11596.0,-5924624.0,0.0,0.0,0.0,,,,,0.0,155409.0,1.0,3420782.0,3420782.0,3420782.0,0.0,5619006.0,0.0,0.0,0.0,1.643,-287520.0
34296,RHCS,ARY,1998-12-31,1999-04-22,1998-12-27,2018-09-04,-123195.0,3361635.0,4811183.0,68693.0,3292942.0,0.0,0.904,0.0,42293.0,42293.0,0.0,-2642097.0,0.319,0.088,0.0,0.0,0.0,0.0,0.0,1524.0,0.0,0.0,0.0,-2566211.0,-2564687.0,,-2564687.0,-2566211.0,-2642097.0,-0.81,-0.81,-0.81,3091069.0,3412920.0,3091069.0,1774967.0,-1.0,-0.692,-641144.0,-0.187,1.0,0.0,,0.0,75886.0,3104276.0,4082662.0,0.0,3257096.0,0.0,3257096.0,270566.0,215066.0,55500.0,1817260.0,-96962.0,0.0,0.0,544182.0,0.0,544182.0,0.0,0.0,-641144.0,0.0,-2642097.0,-2758097.0,-2758097.0,0.0,0.0,,452926.0,-452926.0,270566.0,0.0,0.588,-0.659,-0.656,4697.0,116000.0,0.531,,,26400.0,-8213359.0,0.0,0.0,0.0,-0.573,-0.808,-0.629,,0.0,451402.0,1.0,3420725.0,3420725.0,3420725.0,0.0,3361635.0,0.0,0.0,0.0,0.983,-146373.0
