None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
33974,RIVL,MRY,1998-12-31,1998-06-30,1998-06-30,2018-08-30,-309000.0,292114000.0,295359500.0,180884000.0,111230000.0,1.276,12.377,-7199000.0,309000.0,309000.0,281043000.0,9207000.0,1.982,1.505,142200000.0,64200000.0,78000000.0,142200000.0,0.0,10788000.0,0.0,0.0,0.0,25856000.0,36644000.0,0.097,36644000.0,25856000.0,15757000.0,0.98,0.96,0.98,116615000.0,113502500.0,116615000.0,253411065.0,10.0,6.915,13649000.0,1.449,1.0,95876000.0,0.254,60418000.0,10099000.0,282310000.0,286099000.0,101714000.0,0.0,0.0,0.0,175499000.0,91277000.0,84222000.0,126849065.0,115000.0,0.0,-1170000.0,-10875000.0,-2450000.0,-13493000.0,-7563000.0,0.0,20848000.0,323000.0,9207000.0,9207000.0,9207000.0,0.0,0.0,0.024,66145000.0,29731000.0,24754000.0,0.0,1.088,13.777,13.776,46045000.0,0.0,13.5,0.337,0.337,75106000.0,76463000.0,376919000.0,376919000.0,0.0,0.031,0.081,0.09,0.069,0.0,63251000.0,1.0,9396227.0,9422000.0,9582000.0,40.004,231696000.0,2379000.0,6550000.0,6625000.0,24.591,89607000.0
33975,RIVL,MRT,1998-09-30,1998-09-30,1998-09-30,2018-08-30,-305000.0,299928000.0,299771750.0,192459000.0,107469000.0,1.202,11.852,,1209000.0,1209000.0,272334000.0,1647000.0,1.815,1.707,150335000.0,72335000.0,78000000.0,150335000.0,0.0,,0.0,0.0,0.0,13931000.0,,,,13931000.0,3935000.0,0.18,0.16,0.18,110791000.0,116799250.0,110791000.0,217060816.0,16.0,,,,1.0,87940000.0,0.244,59859000.0,9996000.0,283143000.0,285013750.0,113008000.0,0.0,0.0,0.0,189137000.0,106052000.0,83085000.0,75169816.0,,,,,,,,,,,1647000.0,1647000.0,1647000.0,0.0,0.0,0.005,69792000.0,18148000.0,33717000.0,0.0,0.678,45.64,44.444,37606000.0,0.0,8.0,0.209,0.208,73837000.0,71978000.0,360274000.0,360274000.0,0.0,0.005,0.014,0.049,0.039,,62105000.0,1.0,9396227.0,9348000.0,9348000.0,38.54,240069000.0,2361000.0,2288000.0,5085000.0,25.681,86407000.0
33976,RIVL,MRT,1998-06-30,1998-06-30,1998-06-30,2018-08-30,-309000.0,292114000.0,295359500.0,180884000.0,111230000.0,1.276,12.377,-7199000.0,309000.0,309000.0,281043000.0,9207000.0,1.982,1.505,142200000.0,64200000.0,78000000.0,142200000.0,0.0,10788000.0,0.0,0.0,0.0,25856000.0,36644000.0,0.097,36644000.0,25856000.0,15757000.0,0.98,0.96,0.98,116615000.0,113502500.0,116615000.0,253411065.0,10.0,6.915,13649000.0,1.449,1.0,95876000.0,0.254,60418000.0,10099000.0,282310000.0,286099000.0,101714000.0,0.0,0.0,0.0,175499000.0,91277000.0,84222000.0,126849065.0,115000.0,0.0,-1170000.0,-10875000.0,-2450000.0,-13493000.0,-7563000.0,0.0,20848000.0,323000.0,9207000.0,9207000.0,9207000.0,0.0,0.0,0.024,66145000.0,29731000.0,24754000.0,0.0,1.088,13.777,13.776,46045000.0,0.0,13.5,0.337,0.337,75106000.0,76463000.0,376919000.0,376919000.0,0.0,0.031,0.081,0.09,0.069,0.0,63251000.0,1.0,9396227.0,9422000.0,9582000.0,40.004,231696000.0,2379000.0,6550000.0,6625000.0,24.591,89607000.0
33977,RIVL,MRT,1998-03-31,1998-03-31,1998-03-31,2018-08-30,-221000.0,284829000.0,,173103000.0,111726000.0,,12.722,,1438000.0,1438000.0,,,2.123,1.383,128000000.0,50000000.0,78000000.0,128000000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,119521000.0,,119521000.0,319154726.0,,,,,1.0,,,60978000.0,,268871000.0,,99319000.0,0.0,0.0,0.0,165308000.0,81542000.0,83766000.0,161980726.0,,,,,,,,,,,,,,,,,,,27687000.0,,1.355,,,45840000.0,,17.25,,,68877000.0,79344000.0,,,,,,,,,,1.0,9390187.0,9395000.0,,,223851000.0,1872000.0,,9621000.0,23.827,91561000.0
33978,RIVL,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-08-30,-305000.0,299928000.0,,192459000.0,107469000.0,,11.852,-1813000.0,1209000.0,1209000.0,62410000.0,-3834000.0,1.815,1.707,150335000.0,72335000.0,78000000.0,150335000.0,0.0,2934000.0,0.0,0.0,0.0,-3383000.0,-449000.0,-0.006,-449000.0,-3383000.0,-5867000.0,-0.41,-0.41,-0.41,110791000.0,,110791000.0,217060816.0,16.0,,-4862000.0,-0.52,1.0,17642000.0,0.22,59859000.0,2484000.0,283143000.0,,113008000.0,0.0,0.0,0.0,189137000.0,106052000.0,83085000.0,75169816.0,900000.0,0.0,-1344000.0,8135000.0,-651000.0,6113000.0,-2164000.0,0.0,-3049000.0,0.0,-3834000.0,-3834000.0,-3834000.0,0.0,0.0,-0.048,20680000.0,-3038000.0,33717000.0,0.0,0.678,45.64,44.444,37606000.0,0.0,8.0,0.209,0.208,73837000.0,71978000.0,80052000.0,80052000.0,0.0,,,,,0.0,15108000.0,1.0,9396227.0,9348000.0,9348000.0,8.564,240069000.0,2361000.0,-2033000.0,5085000.0,25.681,86407000.0
33979,RIVL,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-08-30,-309000.0,292114000.0,,180884000.0,111230000.0,,12.408,-2001000.0,309000.0,309000.0,63045000.0,-2223000.0,1.982,1.505,142200000.0,64200000.0,78000000.0,142200000.0,0.0,2931000.0,0.0,0.0,0.0,-426000.0,2505000.0,0.031,2505000.0,-426000.0,-2674000.0,-0.23,-0.23,-0.23,116615000.0,,116615000.0,253411065.0,10.0,6.915,-14126000.0,-1.503,1.0,18474000.0,0.227,60418000.0,2248000.0,282310000.0,,101714000.0,0.0,0.0,0.0,175499000.0,91277000.0,84222000.0,126849065.0,-1129000.0,0.0,-252000.0,14200000.0,-658000.0,13542000.0,-2869000.0,0.0,-12125000.0,323000.0,-2223000.0,-2223000.0,-2223000.0,0.0,0.0,-0.027,15084000.0,3390000.0,24754000.0,0.0,1.088,13.777,13.776,46045000.0,0.0,13.5,0.337,0.337,75106000.0,76463000.0,81519000.0,81519000.0,0.0,,,,,0.0,14379000.0,1.0,9396227.0,9398000.0,9540000.0,8.674,231696000.0,2379000.0,-451000.0,6625000.0,24.654,89607000.0
33980,RIVL,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-08-30,-221000.0,284829000.0,,173103000.0,111726000.0,,12.722,-2013000.0,1438000.0,1438000.0,53199000.0,267000.0,2.123,1.383,128000000.0,50000000.0,78000000.0,128000000.0,0.0,2236000.0,0.0,0.0,0.0,2859000.0,5095000.0,0.072,5095000.0,2859000.0,467000.0,0.03,0.03,0.03,119521000.0,,119521000.0,319154726.0,,,31149000.0,3.315,1.0,17652000.0,0.249,60978000.0,2392000.0,268871000.0,,99319000.0,0.0,0.0,0.0,165308000.0,81542000.0,83766000.0,161980726.0,1379000.0,0.0,-404000.0,-29233000.0,-658000.0,-30295000.0,-1488000.0,0.0,33162000.0,0.0,267000.0,267000.0,267000.0,0.0,0.0,0.004,14642000.0,3010000.0,27687000.0,0.0,1.355,,,45840000.0,0.0,17.25,,,68877000.0,79344000.0,70851000.0,70851000.0,0.0,,,,,0.0,13938000.0,1.0,9390187.0,9395000.0,9529000.0,7.541,223851000.0,1872000.0,200000.0,9621000.0,23.827,91561000.0
33981,RIVL,ARY,1998-12-31,1998-09-04,1998-06-30,2018-08-30,-309000.0,292114000.0,,180884000.0,111230000.0,,12.377,-7199000.0,309000.0,309000.0,281043000.0,9207000.0,1.982,1.505,142200000.0,64200000.0,78000000.0,142200000.0,0.0,10788000.0,0.0,0.0,0.0,25856000.0,36644000.0,0.097,36644000.0,25856000.0,15757000.0,0.98,0.96,0.98,116615000.0,,116615000.0,239376855.0,9.0,6.532,13649000.0,1.449,1.0,95876000.0,0.254,60418000.0,10099000.0,282310000.0,,101714000.0,0.0,0.0,0.0,175499000.0,91277000.0,84222000.0,97485855.0,115000.0,0.0,-1170000.0,-10875000.0,-2450000.0,-13493000.0,-7563000.0,0.0,20848000.0,323000.0,9207000.0,9207000.0,9207000.0,0.0,0.0,0.024,66145000.0,29731000.0,24754000.0,0.0,0.836,10.588,10.587,46045000.0,0.0,10.375,0.259,0.259,75106000.0,76463000.0,376919000.0,376919000.0,0.0,,,,0.069,0.0,63251000.0,1.0,9396227.0,9422000.0,9582000.0,40.004,231696000.0,2379000.0,6550000.0,6625000.0,24.591,89607000.0
33982,RIVL,ART,1998-09-30,1998-11-02,1998-09-30,2018-08-30,-305000.0,299928000.0,299771750.0,192459000.0,107469000.0,1.202,11.852,,1209000.0,1209000.0,272334000.0,1647000.0,1.815,1.707,150335000.0,72335000.0,78000000.0,150335000.0,0.0,,0.0,0.0,0.0,13931000.0,,,,13931000.0,3935000.0,0.18,0.16,0.18,110791000.0,116799250.0,110791000.0,216503708.0,16.0,,,,1.0,87940000.0,0.244,59859000.0,9996000.0,283143000.0,285013750.0,113008000.0,0.0,0.0,0.0,189137000.0,106052000.0,83085000.0,67377708.0,,,,,,,,,,,1647000.0,1647000.0,1647000.0,0.0,0.0,0.005,69792000.0,18148000.0,33717000.0,0.0,0.608,40.909,40.278,37606000.0,0.0,7.25,0.187,0.188,73837000.0,71978000.0,360274000.0,360274000.0,0.0,0.005,0.014,0.049,0.039,,62105000.0,1.0,9293477.0,9348000.0,9348000.0,38.54,240069000.0,2361000.0,2288000.0,5085000.0,25.681,86407000.0
33983,RIVL,ART,1998-06-30,1998-09-04,1998-06-30,2018-08-30,-309000.0,292114000.0,,180884000.0,111230000.0,,12.377,-7199000.0,309000.0,309000.0,281043000.0,9207000.0,1.982,1.505,142200000.0,64200000.0,78000000.0,142200000.0,0.0,10788000.0,0.0,0.0,0.0,25856000.0,36644000.0,0.097,36644000.0,25856000.0,15757000.0,0.98,0.96,0.98,116615000.0,,116615000.0,239376855.0,9.0,6.532,13649000.0,1.449,1.0,95876000.0,0.254,60418000.0,10099000.0,282310000.0,,101714000.0,0.0,0.0,0.0,175499000.0,91277000.0,84222000.0,97485855.0,115000.0,0.0,-1170000.0,-10875000.0,-2450000.0,-13493000.0,-7563000.0,0.0,20848000.0,323000.0,9207000.0,9207000.0,9207000.0,0.0,0.0,0.024,66145000.0,29731000.0,24754000.0,0.0,0.836,10.588,10.587,46045000.0,0.0,10.375,0.259,0.259,75106000.0,76463000.0,376919000.0,376919000.0,0.0,,,,0.069,0.0,63251000.0,1.0,9396227.0,9422000.0,9582000.0,40.004,231696000.0,2379000.0,6550000.0,6625000.0,24.591,89607000.0
