None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
33006,ROSE2,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-18,3108000.0,4183362000.0,4036978250.0,,,,15.101,,15519000.0,15519000.0,,,,14.715,1682521000.0,,,1682521000.0,0.0,,2172289000.0,0.027,0.71,,,,,,,,,,266200000.0,252424750.0,266200000.0,2109109488.0,,,,,1.0,,,0.0,,5850364000.0,5570752500.0,0.0,4119176000.0,,,3917162000.0,,,469353488.0,,,,,,,,,,,,,,,,,,,22998000.0,,1.763,,,12426000.0,,26.625,,,0.0,205728000.0,,,,,,,,,,1.0,17628300.0,17628300.0,,,4183362000.0,3504000.0,,17595000.0,237.309,
33007,ROSE2,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-18,4743000.0,4115800000.0,,,,,14.619,,22656000.0,22656000.0,,,,15.063,1662412000.0,,,1662412000.0,0.0,,2140111000.0,0.016,0.66,,,,,,,,,,256233000.0,,256233000.0,2254046203.0,,,,,1.0,,,0.0,,5755556000.0,,0.0,4042927000.0,,,3859567000.0,,,733967203.0,,,,,,,,,,,,,,,,,,,19138000.0,,2.864,,,12899000.0,,41.875,,,0.0,197686000.0,,,,,,,,,,1.0,17527575.0,17527575.0,,,4115800000.0,2271000.0,,11142000.0,234.819,
33008,ROSE2,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-18,5090000.0,4005695000.0,,,,,14.05,,21229000.0,21229000.0,,,,15.264,1541308000.0,,,1541308000.0,0.0,,2165605000.0,0.018,0.61,,,,,,,,,,246295000.0,,246295000.0,1917425033.0,,,,,1.0,,,0.0,,5525774000.0,,0.0,3937135000.0,,,3759400000.0,,,609165033.0,,,,,,,,,,,,,,,,,,,19140000.0,,2.473,,,13218000.0,,34.75,,,0.0,189901000.0,,,,,,,,,,1.0,17529929.0,17529929.0,,,4005695000.0,2009000.0,,4395000.0,228.506,
33009,ROSE2,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-18,3108000.0,4183362000.0,,,,,15.101,-35000.0,15519000.0,15519000.0,0.0,11559000.0,,14.715,1682521000.0,,,1682521000.0,0.0,508000.0,2172289000.0,0.027,0.2,19018000.0,19526000.0,0.658,19526000.0,19018000.0,19018000.0,0.69,0.66,0.69,266200000.0,,266200000.0,2109109488.0,,,17963000.0,1.019,1.0,29681000.0,1.0,0.0,0.0,5850364000.0,,0.0,4119176000.0,,,3917162000.0,,,469353488.0,-7137000.0,0.0,498000.0,23300000.0,-3321000.0,52611000.0,-77746000.0,-78704000.0,17998000.0,0.0,11559000.0,11559000.0,11559000.0,0.0,0.0,0.389,10663000.0,19018000.0,22998000.0,0.29,1.763,,,12426000.0,0.0,26.625,,,0.0,205728000.0,29681000.0,29681000.0,0.0,,,,,2866000.0,9084000.0,1.0,17628300.0,17628300.0,,1.684,4183362000.0,3504000.0,7459000.0,17595000.0,237.309,
33010,ROSE2,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-18,4743000.0,4115800000.0,,,,,14.619,-200000.0,22656000.0,22656000.0,0.0,10764000.0,,15.063,1662412000.0,,,1662412000.0,0.0,519000.0,2140111000.0,0.016,0.18,18001000.0,18520000.0,0.619,18520000.0,18001000.0,18001000.0,0.65,0.62,0.65,256233000.0,,256233000.0,2254046203.0,,,16782000.0,0.957,1.0,29925000.0,1.0,0.0,0.0,5755556000.0,,0.0,4042927000.0,,,3859567000.0,,,733967203.0,1427000.0,0.0,-304000.0,119500000.0,-2971000.0,90731000.0,-106286000.0,-106141000.0,16982000.0,0.0,10764000.0,10764000.0,10764000.0,0.0,0.0,0.36,11924000.0,18001000.0,19138000.0,0.277,2.864,,,12899000.0,0.0,41.875,,,0.0,197686000.0,29925000.0,29925000.0,0.0,,,,,2796000.0,10227000.0,1.0,17527575.0,17527575.0,,1.707,4115800000.0,2271000.0,7237000.0,11142000.0,234.819,
33011,ROSE2,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-18,5090000.0,4005695000.0,,,,,14.05,-97000.0,21229000.0,21229000.0,0.0,9733000.0,,15.264,1541308000.0,,,1541308000.0,0.0,521000.0,2165605000.0,0.018,0.17,16217000.0,16738000.0,0.59,16738000.0,16217000.0,16217000.0,0.59,0.56,0.59,246295000.0,,246295000.0,1917425033.0,,,2448000.0,0.14,1.0,28391000.0,1.0,0.0,0.0,5525774000.0,,0.0,3937135000.0,,,3759400000.0,,,609165033.0,2922000.0,0.0,-4347000.0,227000000.0,-2808000.0,161313000.0,-160936000.0,-160918000.0,2545000.0,0.0,9733000.0,9733000.0,9733000.0,0.0,0.0,0.343,12174000.0,16217000.0,19140000.0,0.288,2.473,,,13218000.0,0.0,34.75,,,0.0,189901000.0,28391000.0,28391000.0,0.0,,,,,2713000.0,9923000.0,1.0,17529929.0,17529929.0,,1.62,4005695000.0,2009000.0,6484000.0,4395000.0,228.506,
33012,ROSE2,ART,1998-09-30,1998-11-16,1998-09-30,2019-10-18,3108000.0,4183362000.0,4036978250.0,,,,15.099,,15519000.0,15519000.0,,,,14.715,1682521000.0,,,1682521000.0,0.0,,2172289000.0,0.023,0.71,,,,,,,,,,266200000.0,252424750.0,266200000.0,2213538572.0,,,,,1.0,,,0.0,,5850364000.0,5570752500.0,0.0,4119176000.0,,,3917162000.0,,,546536572.0,,,,,,,,,,,,,,,,,,,22998000.0,,2.053,,,12426000.0,,31.0,,,0.0,205728000.0,,,,,,,,,,1.0,17630212.0,17630212.0,,,4183362000.0,3504000.0,,17595000.0,237.284,
33013,ROSE2,ART,1998-06-30,1998-08-13,1998-06-30,2019-10-18,4743000.0,4115800000.0,,,,,14.535,,22656000.0,22656000.0,,,,15.063,1662412000.0,,,1662412000.0,0.0,,2140111000.0,0.018,0.66,,,,,,,,,,256233000.0,,256233000.0,2274374800.0,,,,,1.0,,,0.0,,5755556000.0,,0.0,4042927000.0,,,3859567000.0,,,634618800.0,,,,,,,,,,,,,,,,,,,19138000.0,,2.477,,,12899000.0,,36.0,,,0.0,197686000.0,,,,,,,,,,1.0,17628300.0,17628300.0,,,4115800000.0,2271000.0,,11142000.0,233.477,
33014,ROSE2,ART,1998-03-31,1998-05-14,1998-03-31,2019-10-18,5090000.0,4005695000.0,,,,,14.052,,21229000.0,21229000.0,,,,15.264,1541308000.0,,,1541308000.0,0.0,,2165605000.0,0.017,0.61,,,,,,,,,,246295000.0,,246295000.0,2148880753.0,,,,,1.0,,,0.0,,5525774000.0,,0.0,3937135000.0,,,3759400000.0,,,628801753.0,,,,,,,,,,,,,,,,,,,19140000.0,,2.553,,,13218000.0,,35.875,,,0.0,189901000.0,,,,,,,,,,1.0,17527575.0,17527575.0,,,4005695000.0,2009000.0,,4395000.0,228.537,
33015,ROSE2,ARQ,1998-09-30,1998-11-16,1998-09-30,2019-10-18,3108000.0,4183362000.0,,,,,15.099,-35000.0,15519000.0,15519000.0,0.0,11559000.0,,14.715,1682521000.0,,,1682521000.0,0.0,508000.0,2172289000.0,0.023,0.2,19018000.0,19526000.0,0.658,19526000.0,19018000.0,19018000.0,0.69,0.66,0.69,266200000.0,,266200000.0,2213538572.0,,,17963000.0,1.019,1.0,29681000.0,1.0,0.0,0.0,5850364000.0,,0.0,4119176000.0,,,3917162000.0,,,546536572.0,-7137000.0,0.0,498000.0,23300000.0,-3321000.0,52611000.0,-77746000.0,-78704000.0,17998000.0,0.0,11559000.0,11559000.0,11559000.0,0.0,0.0,0.389,10663000.0,19018000.0,22998000.0,0.29,2.053,,,12426000.0,0.0,31.0,,,0.0,205728000.0,29681000.0,29681000.0,0.0,,,,,2866000.0,9084000.0,1.0,17630212.0,17630212.0,,1.684,4183362000.0,3504000.0,7459000.0,17595000.0,237.284,
