None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
32603,RSAS,MRY,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-973000.0,280855000.0,254351500.0,216499000.0,64356000.0,0.674,3.955,-18850000.0,33178000.0,33178000.0,40781000.0,29415000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,6845000.0,0.0,0.0,0.0,52986000.0,59831000.0,0.349,59831000.0,52986000.0,52986000.0,0.48,0.46,0.48,242720000.0,221594250.0,242720000.0,899824893.0,17.0,15.039,-23226000.0,-0.379,1.0,130553000.0,0.762,0.0,0.0,212063000.0,187347000.0,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,940364893.0,-63417000.0,0.0,-8771000.0,0.0,0.0,-9218000.0,-49516000.0,-30666000.0,-4376000.0,-307000.0,29415000.0,29415000.0,29415000.0,0.0,0.0,0.172,122248000.0,8305000.0,8169000.0,0.0,3.874,31.969,31.944,29568000.0,0.0,15.333,5.488,5.492,36712000.0,64302000.0,171334000.0,171334000.0,31981000.0,0.116,0.133,0.283,0.309,6465000.0,85795000.0,1.0,61328159.0,61363000.0,61363000.0,2.792,280855000.0,23215000.0,23571000.0,2120000.0,4.577,180885000.0
32604,RSAS,MRT,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-973000.0,280855000.0,254351500.0,216499000.0,64356000.0,0.674,3.955,-18850000.0,33178000.0,33178000.0,40781000.0,29415000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,6845000.0,0.0,0.0,0.0,52986000.0,59831000.0,0.349,59831000.0,52986000.0,52986000.0,0.48,0.46,0.48,242720000.0,221594250.0,242720000.0,899824893.0,17.0,15.039,-23226000.0,-0.379,1.0,130553000.0,0.762,0.0,0.0,212063000.0,187347000.0,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,940364893.0,-63417000.0,0.0,-8771000.0,0.0,0.0,-9218000.0,-49516000.0,-30666000.0,-4376000.0,-307000.0,29415000.0,29415000.0,29415000.0,0.0,0.0,0.172,122248000.0,8305000.0,8169000.0,0.0,3.874,31.969,31.944,29568000.0,0.0,15.333,5.488,5.492,36712000.0,64302000.0,171334000.0,171334000.0,31981000.0,0.116,0.133,0.283,0.309,6465000.0,85795000.0,1.0,61328159.0,61363000.0,61363000.0,2.792,280855000.0,23215000.0,23571000.0,2120000.0,4.577,180885000.0
32605,RSAS,MRT,1998-09-30,1998-09-30,1998-09-30,2019-06-19,-1730000.0,255990000.0,242631500.0,203309000.0,52681000.0,0.682,3.595,-16324000.0,40540000.0,40540000.0,37442000.0,20840000.0,6.487,0.153,0.0,0.0,0.0,0.0,8736000.0,6600000.0,0.0,0.0,0.0,38175000.0,44775000.0,0.27,44775000.0,38175000.0,38175000.0,0.34,0.333,0.34,222083000.0,211077500.0,222083000.0,459529934.0,12.0,10.263,-18202000.0,-0.295,1.0,128105000.0,0.774,27000.0,0.0,184080000.0,161120500.0,8214000.0,134419000.0,113164000.0,21255000.0,33907000.0,31343000.0,2564000.0,488532934.0,2031000.0,1984000.0,67258000.0,0.0,0.0,69335000.0,-62416000.0,-46047000.0,-1878000.0,-3010000.0,20840000.0,20840000.0,20840000.0,0.0,0.0,0.126,110172000.0,17933000.0,6271000.0,0.0,2.2,23.442,23.407,25705000.0,0.0,7.958,2.951,2.97,30635000.0,51713000.0,165547000.0,165547000.0,35140000.0,0.086,0.099,0.237,0.231,806000.0,75035000.0,1.0,61386363.0,61779000.0,61779000.0,2.68,255963000.0,4724000.0,17335000.0,6443000.0,4.143,171966000.0
32606,RSAS,MRT,1998-06-30,1998-06-30,1998-06-30,2019-06-19,-1200000.0,248002000.0,,203639000.0,44363000.0,,3.524,-15285000.0,29003000.0,29003000.0,35971000.0,19940000.0,7.226,0.147,0.0,0.0,0.0,0.0,8269000.0,5733000.0,0.0,0.0,0.0,36909000.0,42642000.0,0.265,42642000.0,36909000.0,36909000.0,0.327,0.32,0.327,216230000.0,,216230000.0,710628410.0,19.0,16.665,-10129000.0,-0.165,1.0,124703000.0,0.776,41000.0,0.0,190777000.0,,7981000.0,149477000.0,129319000.0,20158000.0,31772000.0,28181000.0,3591000.0,756295410.0,3375000.0,0.0,69044000.0,0.0,0.0,63830000.0,-63804000.0,-47109000.0,5156000.0,-1807000.0,19940000.0,19940000.0,19940000.0,0.0,0.0,0.124,111014000.0,13689000.0,8299000.0,0.0,3.498,37.929,37.717,23114000.0,0.0,12.333,4.707,4.71,0.0,48525000.0,160674000.0,160674000.0,33082000.0,,,,0.23,770000.0,69632000.0,1.0,61321266.0,61360500.0,61360500.0,2.619,247961000.0,1062000.0,16969000.0,2815000.0,4.041,175458000.0
32607,RSAS,MRT,1998-03-31,1998-03-31,1998-03-31,2019-06-19,-946000.0,232559000.0,,202693000.0,29866000.0,,3.366,-12642000.0,45667000.0,45667000.0,30865000.0,15143000.0,8.319,0.133,0.0,0.0,0.0,0.0,7529000.0,5315000.0,0.0,0.0,0.0,28806000.0,34121000.0,0.225,34121000.0,28806000.0,28806000.0,0.253,0.253,0.253,205344000.0,,205344000.0,1584519455.0,55.0,46.438,-4130000.0,-0.068,1.0,120692000.0,0.796,60000.0,0.0,162468000.0,,4914000.0,125631000.0,119476000.0,6155000.0,27215000.0,24364000.0,2851000.0,1680266455.0,28263000.0,0.0,66373000.0,0.0,0.0,63760000.0,-43451000.0,-29399000.0,8512000.0,-558000.0,15143000.0,15143000.0,15143000.0,0.0,0.0,0.1,103692000.0,17000000.0,7355000.0,0.0,8.183,110.96,108.366,19295000.0,0.0,27.417,11.087,11.034,0.0,37851000.0,151557000.0,151557000.0,30555000.0,,,,0.19,1072000.0,64837000.0,1.0,61286307.0,60997500.0,60997500.0,2.485,232499000.0,4609000.0,13663000.0,672000.0,3.812,178329000.0
32608,RSAS,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-06-19,-973000.0,280855000.0,,216499000.0,64356000.0,,3.97,-6038000.0,33178000.0,33178000.0,11907000.0,12589000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,2179000.0,0.0,0.0,0.0,24470000.0,26649000.0,0.568,26649000.0,24470000.0,24470000.0,0.207,0.193,0.207,242720000.0,,242720000.0,899824893.0,17.0,15.039,-14067000.0,-0.23,1.0,35008000.0,0.746,0.0,0.0,212063000.0,,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,940364893.0,-7362000.0,-1984000.0,-12101000.0,0.0,0.0,-12548000.0,12074000.0,19859000.0,-8029000.0,1141000.0,12589000.0,12589000.0,12589000.0,0.0,0.0,0.268,36773000.0,-1765000.0,8169000.0,0.0,3.874,31.969,31.944,29568000.0,0.0,15.333,5.488,5.492,36712000.0,64302000.0,46915000.0,46915000.0,9323000.0,,,,,5564000.0,27450000.0,1.0,61328159.0,61141000.0,61141000.0,0.767,280855000.0,23215000.0,11881000.0,2120000.0,4.594,180885000.0
32609,RSAS,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-06-19,-1730000.0,255990000.0,,203309000.0,52681000.0,,3.595,-4423000.0,40540000.0,40540000.0,8366000.0,3188000.0,6.487,0.153,0.0,0.0,0.0,0.0,8736000.0,1825000.0,0.0,0.0,0.0,5015000.0,6840000.0,0.168,6840000.0,5015000.0,5015000.0,0.053,0.053,0.053,222083000.0,,222083000.0,459529934.0,12.0,10.263,-7117000.0,-0.115,1.0,32435000.0,0.795,27000.0,0.0,184080000.0,,8214000.0,134419000.0,113164000.0,21255000.0,33907000.0,31343000.0,2564000.0,488532934.0,11537000.0,1984000.0,1032000.0,0.0,0.0,1032000.0,14112000.0,16788000.0,-2694000.0,-913000.0,3188000.0,3188000.0,3188000.0,0.0,0.0,0.078,30113000.0,2322000.0,6271000.0,0.0,2.2,23.442,23.407,25705000.0,0.0,7.958,2.951,2.97,30635000.0,51713000.0,40801000.0,40801000.0,7811000.0,,,,,304000.0,20430000.0,1.0,61386363.0,61779000.0,61779000.0,0.66,255963000.0,4724000.0,1827000.0,6443000.0,4.143,171966000.0
32610,RSAS,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-06-19,-1200000.0,248002000.0,,203639000.0,44363000.0,,3.524,-5043000.0,29003000.0,29003000.0,11893000.0,10673000.0,7.226,0.147,0.0,0.0,0.0,0.0,8269000.0,1247000.0,0.0,0.0,0.0,17334000.0,18581000.0,0.428,18581000.0,17334000.0,17334000.0,0.173,0.167,0.173,216230000.0,,216230000.0,710628410.0,19.0,16.665,-1530000.0,-0.025,1.0,31479000.0,0.726,41000.0,0.0,190777000.0,,7981000.0,149477000.0,129319000.0,20158000.0,31772000.0,28181000.0,3591000.0,756295410.0,-16664000.0,0.0,194000.0,0.0,0.0,194000.0,-19922000.0,-14879000.0,3513000.0,-449000.0,10673000.0,10673000.0,10673000.0,0.0,0.0,0.246,27240000.0,4239000.0,8299000.0,0.0,3.498,37.929,37.717,23114000.0,0.0,12.333,4.707,4.71,0.0,48525000.0,43372000.0,43372000.0,7525000.0,,,,,302000.0,19715000.0,1.0,61321266.0,61360500.0,61360500.0,0.707,247961000.0,1062000.0,6661000.0,2815000.0,4.041,175458000.0
32611,RSAS,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-06-19,-946000.0,232559000.0,,202693000.0,29866000.0,,3.366,-3346000.0,45667000.0,45667000.0,8616000.0,2964000.0,8.319,0.133,0.0,0.0,0.0,0.0,7529000.0,1594000.0,0.0,0.0,0.0,6166000.0,7760000.0,0.193,7760000.0,6166000.0,6166000.0,0.047,0.047,0.047,205344000.0,,205344000.0,1584519455.0,55.0,46.438,-512000.0,-0.008,1.0,31630000.0,0.786,60000.0,0.0,162468000.0,,4914000.0,125631000.0,119476000.0,6155000.0,27215000.0,24364000.0,2851000.0,1680266455.0,-50928000.0,0.0,2104000.0,0.0,0.0,2104000.0,-55780000.0,-52434000.0,2834000.0,-86000.0,2964000.0,2964000.0,2964000.0,0.0,0.0,0.074,28122000.0,3508000.0,7355000.0,0.0,8.183,110.96,108.366,19295000.0,0.0,27.417,11.087,11.034,0.0,37851000.0,40246000.0,40246000.0,7323000.0,,,,,295000.0,18199000.0,1.0,61286307.0,60997500.0,60997500.0,0.66,232499000.0,4609000.0,3202000.0,672000.0,3.812,178329000.0
32612,RSAS,ARY,1998-12-31,1999-03-31,1998-12-31,2019-06-19,-973000.0,280855000.0,254351500.0,216499000.0,64356000.0,0.674,3.955,-18850000.0,33178000.0,33178000.0,40781000.0,29415000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,6845000.0,0.0,0.0,0.0,52986000.0,59831000.0,0.349,59831000.0,52986000.0,52986000.0,0.48,0.46,0.48,242720000.0,221594250.0,242720000.0,696588753.0,13.0,11.643,-27708000.0,-0.452,1.0,130553000.0,0.762,0.0,0.0,212063000.0,187347000.0,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,729766753.0,-63417000.0,0.0,-8771000.0,0.0,0.0,-4736000.0,-49516000.0,-30666000.0,-8858000.0,-307000.0,29415000.0,29415000.0,29415000.0,0.0,0.0,0.172,122248000.0,8305000.0,8169000.0,0.0,3.007,24.809,25.868,29568000.0,0.0,12.417,4.259,4.447,36712000.0,64302000.0,171334000.0,171334000.0,31981000.0,0.116,0.133,0.283,0.309,1983000.0,85795000.0,1.0,58773146.0,61363500.0,61363500.0,2.792,280855000.0,23215000.0,23571000.0,2120000.0,4.577,180885000.0
32613,RSAS,ART,1998-12-31,1999-03-31,1998-12-31,2019-06-19,-973000.0,280855000.0,254351500.0,216499000.0,64356000.0,0.674,3.955,-18850000.0,33178000.0,33178000.0,40781000.0,29415000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,6845000.0,0.0,0.0,0.0,52986000.0,59831000.0,0.349,59831000.0,52986000.0,52986000.0,0.48,0.46,0.48,242720000.0,221594250.0,242720000.0,696588753.0,13.0,11.643,-27708000.0,-0.452,1.0,130553000.0,0.762,0.0,0.0,212063000.0,187347000.0,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,729766753.0,-63417000.0,0.0,-8771000.0,0.0,0.0,-4736000.0,-49516000.0,-30666000.0,-8858000.0,-307000.0,29415000.0,29415000.0,29415000.0,0.0,0.0,0.172,122248000.0,8305000.0,8169000.0,0.0,3.007,24.809,25.868,29568000.0,0.0,12.417,4.259,4.447,36712000.0,64302000.0,171334000.0,171334000.0,31981000.0,0.116,0.133,0.283,0.309,1983000.0,85795000.0,1.0,58773146.0,61363500.0,61363500.0,2.792,280855000.0,23215000.0,23571000.0,2120000.0,4.577,180885000.0
32614,RSAS,ART,1998-09-30,1998-11-16,1998-09-30,2019-06-19,-1730000.0,255990000.0,242055750.0,203309000.0,52681000.0,,3.595,,40540000.0,40540000.0,,,6.487,0.153,0.0,0.0,0.0,0.0,8736000.0,,0.0,0.0,0.0,,,,,,,,,,222083000.0,210732500.0,222083000.0,401533605.0,,,,,1.0,,,27000.0,,184080000.0,160966000.0,8214000.0,134419000.0,113164000.0,21255000.0,33907000.0,31343000.0,2564000.0,442073605.0,,,,,,,,,,,,,,,,,,,6271000.0,,1.991,,,25705000.0,,7.208,,,30635000.0,51713000.0,,,,,,,,,,1.0,61328159.0,61779000.0,,,255963000.0,4724000.0,,6443000.0,4.143,171966000.0
32615,RSAS,ART,1998-06-30,1998-08-14,1998-06-30,2019-06-19,-1200000.0,248002000.0,,203639000.0,44363000.0,,3.524,,29003000.0,29003000.0,,,7.226,0.147,0.0,0.0,0.0,0.0,8269000.0,,0.0,0.0,0.0,,,,,,,,,,216230000.0,,216230000.0,497896411.0,,,,,1.0,,,41000.0,,190777000.0,,7981000.0,149477000.0,129319000.0,20158000.0,31772000.0,28181000.0,3591000.0,526899411.0,,,,,,,,,,,,,,,,,,,8299000.0,,2.437,,,23114000.0,,8.583,,,0.0,48525000.0,,,,,,,,,,1.0,61386363.0,61360500.0,,,247961000.0,1062000.0,,2815000.0,4.041,175458000.0
32616,RSAS,ART,1998-03-31,1998-05-15,1998-03-31,2019-06-19,-946000.0,232559000.0,,202693000.0,29866000.0,,3.366,,45667000.0,45667000.0,,,8.319,0.133,0.0,0.0,0.0,0.0,7529000.0,,0.0,0.0,0.0,,,,,,,,,,205344000.0,,205344000.0,971243790.0,,,,,1.0,,,60000.0,,162468000.0,,4914000.0,125631000.0,119476000.0,6155000.0,27215000.0,24364000.0,2851000.0,1016910790.0,,,,,,,,,,,,,,,,,,,7355000.0,,4.952,,,19295000.0,,16.583,,,0.0,37851000.0,,,,,,,,,,1.0,61321266.0,60997500.0,,,232499000.0,4609000.0,,672000.0,3.812,178329000.0
32617,RSAS,ARQ,1998-12-31,1999-03-31,1998-12-31,2019-06-19,-973000.0,280855000.0,,216499000.0,64356000.0,,3.97,-6038000.0,33178000.0,33178000.0,11907000.0,12589000.0,6.079,0.157,0.0,0.0,0.0,0.0,10971000.0,2179000.0,0.0,0.0,0.0,24470000.0,26649000.0,0.568,26649000.0,24470000.0,24470000.0,0.207,0.193,0.207,242720000.0,,242720000.0,696588753.0,13.0,11.643,-18549000.0,-0.303,1.0,35008000.0,0.746,0.0,0.0,212063000.0,,7025000.0,139306000.0,125058000.0,14248000.0,38135000.0,35614000.0,2521000.0,729766753.0,-7362000.0,0.0,-12101000.0,0.0,0.0,-8066000.0,12074000.0,17875000.0,-12511000.0,1141000.0,12589000.0,12589000.0,12589000.0,0.0,0.0,0.268,36773000.0,-1765000.0,8169000.0,0.0,3.007,24.809,25.868,29568000.0,0.0,12.417,4.259,4.447,36712000.0,64302000.0,46915000.0,46915000.0,9533000.0,,,,,1082000.0,27450000.0,1.0,58773146.0,61143000.0,61143000.0,0.767,280855000.0,23215000.0,11881000.0,2120000.0,4.593,180885000.0
32618,RSAS,ARQ,1998-09-30,1998-11-16,1998-09-30,2019-06-19,-1730000.0,255990000.0,,203309000.0,52681000.0,,3.595,-4423000.0,40540000.0,40540000.0,8366000.0,3188000.0,6.487,0.153,0.0,0.0,0.0,0.0,8736000.0,1825000.0,0.0,0.0,0.0,5015000.0,6840000.0,0.168,6840000.0,5015000.0,5015000.0,0.053,0.053,0.053,222083000.0,,222083000.0,401533605.0,,,-7117000.0,-0.115,1.0,32435000.0,0.795,27000.0,0.0,184080000.0,,8214000.0,134419000.0,113164000.0,21255000.0,33907000.0,31343000.0,2564000.0,442073605.0,11537000.0,0.0,1032000.0,0.0,0.0,1032000.0,14112000.0,18772000.0,-2694000.0,-913000.0,3188000.0,3188000.0,3188000.0,0.0,0.0,0.078,30113000.0,2322000.0,6271000.0,0.0,1.991,,,25705000.0,0.0,7.208,,,30635000.0,51713000.0,40801000.0,40801000.0,7811000.0,,,,,304000.0,20430000.0,1.0,61328159.0,61779000.0,61779000.0,0.66,255963000.0,4724000.0,1827000.0,6443000.0,4.143,171966000.0
32619,RSAS,ARQ,1998-06-30,1998-08-14,1998-06-30,2019-06-19,-1200000.0,248002000.0,,203639000.0,44363000.0,,3.524,-5043000.0,29003000.0,29003000.0,11893000.0,10673000.0,7.226,0.147,0.0,0.0,0.0,0.0,8269000.0,1247000.0,0.0,0.0,0.0,17334000.0,18581000.0,0.428,18581000.0,17334000.0,17334000.0,0.173,0.167,0.173,216230000.0,,216230000.0,497896411.0,,,-1530000.0,-0.025,1.0,31479000.0,0.726,41000.0,0.0,190777000.0,,7981000.0,149477000.0,129319000.0,20158000.0,31772000.0,28181000.0,3591000.0,526899411.0,-16664000.0,0.0,194000.0,0.0,0.0,194000.0,-19922000.0,-14879000.0,3513000.0,-449000.0,10673000.0,10673000.0,10673000.0,0.0,0.0,0.246,27240000.0,4239000.0,8299000.0,0.0,2.437,,,23114000.0,0.0,8.583,,,0.0,48525000.0,43372000.0,43372000.0,7525000.0,,,,,302000.0,19715000.0,1.0,61386363.0,61360500.0,61360500.0,0.707,247961000.0,1062000.0,6661000.0,2815000.0,4.041,175458000.0
32620,RSAS,ARQ,1998-03-31,1998-05-15,1998-03-31,2019-06-19,-946000.0,232559000.0,,202693000.0,29866000.0,,3.366,-3346000.0,45667000.0,45667000.0,8616000.0,2964000.0,8.319,0.133,0.0,0.0,0.0,0.0,7529000.0,1594000.0,0.0,0.0,0.0,6166000.0,7760000.0,0.193,7760000.0,6166000.0,6166000.0,0.047,0.047,0.047,205344000.0,,205344000.0,971243790.0,,,-512000.0,-0.008,1.0,31630000.0,0.786,60000.0,0.0,162468000.0,,4914000.0,125631000.0,119476000.0,6155000.0,27215000.0,24364000.0,2851000.0,1016910790.0,-50928000.0,0.0,2104000.0,0.0,0.0,2104000.0,-55780000.0,-52434000.0,2834000.0,-86000.0,2964000.0,2964000.0,2964000.0,0.0,0.0,0.074,28122000.0,3508000.0,7355000.0,0.0,4.952,,,19295000.0,0.0,16.583,,,0.0,37851000.0,40246000.0,40246000.0,7113000.0,,,,,295000.0,18199000.0,1.0,61321266.0,60997500.0,60997500.0,0.66,232499000.0,4609000.0,3202000.0,672000.0,3.812,178329000.0
