None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
31015,SBAS,MRY,1998-12-31,1998-03-31,1998-03-31,2019-07-11,0.0,5682000.0,4779000.0,4846000.0,836000.0,0.448,3.136,-407000.0,4167000.0,4167000.0,162000.0,-7033000.0,3.992,0.283,48000.0,10000.0,38000.0,48000.0,263000.0,238000.0,0.0,0.0,0.0,-7032000.0,-6794000.0,-3.176,-6794000.0,-7032000.0,-7032000.0,-7.0,-7.0,-7.0,4430000.0,3710500.0,4430000.0,57550950.0,-8.0,-8.471,-6069000.0,-4.296,1.0,1977000.0,0.924,0.0,0.0,349000.0,309000.0,57000.0,76000.0,0.0,76000.0,1252000.0,1214000.0,38000.0,57159950.0,1445000.0,0.0,0.0,3094000.0,0.0,7514000.0,-407000.0,0.0,-5662000.0,0.0,-7033000.0,-9865000.0,-9865000.0,0.0,0.0,-4.612,8132000.0,-6155000.0,941000.0,0.0,12.903,-5.794,-4.598,747000.0,2832000.0,32.188,26.723,21.257,509000.0,-42081000.0,2139000.0,2139000.0,2762000.0,-2.064,-2.659,-22.757,-3.288,0.0,5370000.0,1.0,1775843.0,1412600.0,1412600.0,1.514,5682000.0,0.0,1000.0,0.0,4.022,3632000.0
31016,SBAS,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-11,0.0,3735000.0,4516250.0,2351000.0,1384000.0,1.206,0.735,-762000.0,180000.0,180000.0,541000.0,-8713000.0,1.132,1.472,258000.0,111000.0,147000.0,258000.0,540000.0,332000.0,0.0,0.0,0.0,-9690000.0,-9358000.0,-1.718,-9358000.0,-9690000.0,-8711000.0,-5.8,-5.8,-5.8,1511000.0,2701000.0,1511000.0,13461975.0,-1.0,-1.439,-9423000.0,-4.584,1.0,4907000.0,0.901,0.0,-979000.0,1736000.0,1096750.0,24000.0,93000.0,0.0,93000.0,2224000.0,2077000.0,147000.0,14597975.0,-1007000.0,0.0,140000.0,-55000.0,0.0,8534000.0,-880000.0,0.0,-8661000.0,0.0,-8713000.0,-10302000.0,-10302000.0,0.0,0.0,-1.891,13685000.0,-8778000.0,1426000.0,0.0,9.661,-1.417,-1.185,1106000.0,1589000.0,6.875,2.68,2.594,1942000.0,-49404000.0,5448000.0,5448000.0,4001000.0,-2.281,-3.814,-8.835,-1.779,140000.0,9684000.0,1.0,2123342.0,2055500.0,2055500.0,2.65,3735000.0,0.0,2000.0,0.0,1.817,274000.0
31017,SBAS,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-11,0.0,4695000.0,4255500.0,3435000.0,1260000.0,0.994,1.464,-890000.0,1405000.0,1405000.0,443000.0,-8841000.0,1.866,0.745,269000.0,106000.0,163000.0,269000.0,405000.0,297000.0,0.0,0.0,0.0,-9240000.0,-8943000.0,-2.113,-8943000.0,-9240000.0,-8839000.0,-6.3,-6.3,-6.3,2691000.0,2371750.0,2691000.0,13455660.0,-1.0,-1.505,-9255000.0,-5.036,1.0,3789000.0,0.895,0.0,-401000.0,1718000.0,1171750.0,73000.0,92000.0,0.0,92000.0,2004000.0,1841000.0,163000.0,15077660.0,-1637000.0,0.0,80000.0,-26000.0,0.0,7736000.0,-1008000.0,0.0,-8365000.0,0.0,-8841000.0,-10347000.0,-10347000.0,0.0,0.0,-2.445,12122000.0,-8333000.0,1330000.0,0.0,5.603,-1.457,-1.24,1125000.0,1506000.0,7.813,3.563,3.393,1564000.0,-47324000.0,4232000.0,4232000.0,3795000.0,-2.431,-4.363,-7.886,-2.183,130000.0,8327000.0,1.0,1929941.0,1837800.0,1837800.0,2.303,4695000.0,0.0,2000.0,0.0,2.555,1594000.0
31018,SBAS,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-11,0.0,3953000.0,,3008000.0,945000.0,,1.243,-586000.0,1665000.0,1665000.0,369000.0,-7982000.0,1.722,0.82,43000.0,9000.0,34000.0,43000.0,306000.0,275000.0,0.0,0.0,0.0,-8022000.0,-7747000.0,-2.623,-7747000.0,-8022000.0,-7981000.0,-6.1,-6.1,-6.1,2172000.0,,2172000.0,34797960.0,-4.0,-4.492,-7178000.0,-4.107,1.0,2585000.0,0.875,0.0,-41000.0,584000.0,,83000.0,76000.0,0.0,76000.0,1781000.0,1747000.0,34000.0,34406960.0,369000.0,0.0,23000.0,3090000.0,0.0,7547000.0,-586000.0,0.0,-6592000.0,0.0,-7982000.0,-9310000.0,-9310000.0,0.0,0.0,-3.152,9705000.0,-7120000.0,1432000.0,0.0,15.841,-3.696,-3.176,844000.0,1328000.0,19.375,11.648,11.462,1117000.0,-44515000.0,2954000.0,2954000.0,3271000.0,,,,-2.716,0.0,6434000.0,1.0,1775843.0,1747600.0,1747600.0,1.69,3953000.0,0.0,1000.0,0.0,2.262,1261000.0
31019,SBAS,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-11,0.0,5682000.0,4779000.0,4846000.0,836000.0,0.448,3.136,-407000.0,4167000.0,4167000.0,162000.0,-7033000.0,3.992,0.283,48000.0,10000.0,38000.0,48000.0,263000.0,238000.0,0.0,0.0,0.0,-7032000.0,-6794000.0,-3.176,-6794000.0,-7032000.0,-7032000.0,-7.0,-7.0,-7.0,4430000.0,3710500.0,4430000.0,57550950.0,-8.0,-8.471,-6069000.0,-4.296,1.0,1977000.0,0.924,0.0,0.0,349000.0,309000.0,57000.0,76000.0,0.0,76000.0,1252000.0,1214000.0,38000.0,57159950.0,1445000.0,0.0,0.0,3094000.0,0.0,7514000.0,-407000.0,0.0,-5662000.0,0.0,-7033000.0,-9865000.0,-9865000.0,0.0,0.0,-4.612,8132000.0,-6155000.0,941000.0,0.0,12.903,-5.794,-4.598,747000.0,2832000.0,32.188,26.723,21.257,509000.0,-42081000.0,2139000.0,2139000.0,2762000.0,-2.064,-2.659,-22.757,-3.288,0.0,5370000.0,1.0,1775843.0,1412600.0,1412600.0,1.514,5682000.0,0.0,1000.0,0.0,4.022,3632000.0
31020,SBAS,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-11,0.0,3735000.0,,2351000.0,1384000.0,,0.735,-64000.0,180000.0,180000.0,112000.0,-1996000.0,1.132,1.472,258000.0,111000.0,147000.0,258000.0,540000.0,96000.0,0.0,0.0,0.0,-1996000.0,-1900000.0,-1.014,-1900000.0,-1996000.0,-1996000.0,-1.0,-1.0,-1.0,1511000.0,,1511000.0,13461975.0,-1.0,-1.439,-1976000.0,-0.961,1.0,1761000.0,0.94,0.0,0.0,1736000.0,,24000.0,93000.0,0.0,93000.0,2224000.0,2077000.0,147000.0,14597975.0,-1225000.0,0.0,60000.0,-31000.0,0.0,751000.0,-64000.0,0.0,-1912000.0,0.0,-1996000.0,-2079000.0,-2079000.0,0.0,0.0,-1.11,3752000.0,-1991000.0,1426000.0,0.0,9.661,-1.417,-1.185,1106000.0,83000.0,6.875,2.68,2.594,1942000.0,-49404000.0,1873000.0,1873000.0,1023000.0,,,,,10000.0,2729000.0,1.0,2123342.0,2055500.0,2055500.0,0.911,3735000.0,0.0,0.0,0.0,1.817,274000.0
31021,SBAS,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-11,0.0,4695000.0,,3435000.0,1260000.0,,1.464,-360000.0,1405000.0,1405000.0,97000.0,-2631000.0,1.866,0.745,269000.0,106000.0,163000.0,269000.0,405000.0,76000.0,0.0,0.0,0.0,-2629000.0,-2553000.0,-1.553,-2553000.0,-2629000.0,-2629000.0,-1.5,-1.5,-1.5,2691000.0,,2691000.0,13455660.0,-1.0,-1.505,-3287000.0,-1.789,1.0,1547000.0,0.941,0.0,0.0,1718000.0,,73000.0,92000.0,0.0,92000.0,2004000.0,1841000.0,163000.0,15077660.0,-378000.0,0.0,69000.0,-18000.0,0.0,3027000.0,-478000.0,0.0,-2927000.0,0.0,-2631000.0,-2809000.0,-2809000.0,0.0,0.0,-1.709,4181000.0,-2634000.0,1330000.0,0.0,5.603,-1.457,-1.24,1125000.0,178000.0,7.813,3.563,3.393,1564000.0,-47324000.0,1644000.0,1644000.0,1085000.0,,,,,130000.0,3096000.0,1.0,1929941.0,1837800.0,1837800.0,0.895,4695000.0,0.0,2000.0,0.0,2.555,1594000.0
31022,SBAS,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-11,0.0,3953000.0,,3008000.0,945000.0,,1.243,-187000.0,1665000.0,1665000.0,239000.0,-2281000.0,1.722,0.82,43000.0,9000.0,34000.0,43000.0,306000.0,90000.0,0.0,0.0,0.0,-2321000.0,-2231000.0,-1.935,-2231000.0,-2321000.0,-2281000.0,-1.4,-1.4,-1.4,2172000.0,,2172000.0,34797960.0,-4.0,-4.492,-2520000.0,-1.442,1.0,914000.0,0.793,0.0,-40000.0,584000.0,,83000.0,76000.0,0.0,76000.0,1781000.0,1747000.0,34000.0,34406960.0,-2502000.0,0.0,23000.0,-5000.0,0.0,18000.0,-187000.0,0.0,-2333000.0,0.0,-2281000.0,-2437000.0,-2437000.0,0.0,0.0,-2.114,3235000.0,-2321000.0,1432000.0,0.0,15.841,-3.696,-3.176,844000.0,156000.0,19.375,11.648,11.462,1117000.0,-44515000.0,1153000.0,1153000.0,1053000.0,,,,,0.0,2182000.0,1.0,1775843.0,1747600.0,1747600.0,0.66,3953000.0,0.0,0.0,0.0,2.262,1261000.0
31023,SBAS,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-11,0.0,5682000.0,,4846000.0,836000.0,,2.7,-151000.0,4167000.0,4167000.0,93000.0,-1805000.0,3.992,0.283,48000.0,10000.0,38000.0,48000.0,263000.0,70000.0,0.0,0.0,0.0,-2744000.0,-2674000.0,-3.437,-2674000.0,-2744000.0,-1805000.0,-1.9,-1.9,-1.9,4430000.0,,4430000.0,57550950.0,-8.0,-8.471,-1640000.0,-0.999,1.0,685000.0,0.88,0.0,-939000.0,349000.0,,57000.0,76000.0,0.0,76000.0,1252000.0,1214000.0,38000.0,57159950.0,3098000.0,0.0,-12000.0,-1000.0,0.0,4738000.0,-151000.0,0.0,-1489000.0,0.0,-1805000.0,-2977000.0,-2977000.0,0.0,0.0,-3.826,2517000.0,-1832000.0,941000.0,0.0,12.903,-5.794,-4.598,747000.0,1172000.0,32.188,26.723,21.257,509000.0,-42081000.0,778000.0,778000.0,840000.0,,,,,0.0,1677000.0,1.0,1775843.0,1640900.0,1640900.0,0.474,5682000.0,0.0,0.0,0.0,3.463,3632000.0
31024,SBAS,ARY,1998-12-31,1998-07-02,1998-03-31,2019-07-11,0.0,5682000.0,,4846000.0,836000.0,,3.136,-407000.0,4167000.0,4167000.0,162000.0,-7033000.0,3.992,0.283,48000.0,10000.0,38000.0,48000.0,263000.0,238000.0,0.0,0.0,0.0,-6099000.0,-5861000.0,-2.74,-5861000.0,-6099000.0,-7032000.0,-7.0,-7.0,-7.0,4430000.0,,4430000.0,33755131.0,-6.0,-5.759,-6069000.0,-4.296,1.0,1977000.0,0.924,0.0,933000.0,349000.0,,57000.0,76000.0,0.0,76000.0,1252000.0,1214000.0,38000.0,37874131.0,1445000.0,0.0,0.0,3094000.0,0.0,7514000.0,-407000.0,0.0,-5662000.0,0.0,-7033000.0,-9865000.0,-9865000.0,0.0,0.0,-4.612,8132000.0,-6155000.0,941000.0,0.0,8.549,-3.839,-2.902,747000.0,2832000.0,20.313,17.706,13.414,509000.0,-42081000.0,2139000.0,2139000.0,2762000.0,,,,-2.851,0.0,5370000.0,1.0,1864573.0,1412600.0,1412600.0,1.514,5682000.0,0.0,1000.0,0.0,4.022,3632000.0
