None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
28668,SFPI1,MRY,1998-12-31,1998-06-27,1998-06-27,2020-07-27,0.0,141397000.0,121869799.0,127937000.0,13460000.0,2.508,2.945,-4565000.0,661000.0,661000.0,179376000.0,19981000.0,1.538,1.45,39627000.0,50475000.0,-10848000.0,39627000.0,0.0,4301000.0,0.0,0.0,0.0,37519000.0,41820000.0,0.137,41820000.0,37519000.0,32186000.0,1.02,0.99,1.02,57711000.0,48166402.0,57711000.0,236220991.0,6.0,5.649,-29667000.0,-1.514,1.0,126223000.0,0.413,5145000.0,5333000.0,92049000.0,83293943.0,76506000.0,0.0,0.0,0.0,83686000.0,83169000.0,517000.0,174839991.0,-1952000.0,0.0,445000.0,7065000.0,0.0,8643000.0,14507000.0,19072000.0,-25102000.0,0.0,19981000.0,19981000.0,19981000.0,0.0,0.0,0.065,96543000.0,29680000.0,18960000.0,0.0,3.03,8.75,8.742,8315000.0,0.0,8.917,0.572,0.572,43225000.0,14947000.0,305599000.0,305599000.0,0.0,0.164,0.415,0.45,0.123,0.0,96543000.0,1.0,19608216.0,19594000.0,20259000.0,15.597,136252000.0,4605000.0,12205000.0,7016000.0,6.954,44768000.0
28669,SFPI1,MRT,1998-12-31,1998-12-26,1998-12-26,2020-07-27,0.0,204135000.0,169153250.0,184069000.0,20066000.0,3.238,3.357,,11856000.0,11856000.0,317280000.0,58936000.0,5.716,4.473,134169000.0,0.0,134169000.0,134169000.0,0.0,,0.0,0.0,0.0,111759000.0,,,,111759000.0,96515000.0,4.597,3.497,4.597,37298000.0,43914250.0,37298000.0,264866978.0,2.0,,,,1.0,230354000.0,0.421,12626000.0,15244000.0,281621000.0,179259750.0,81254000.0,0.0,0.0,0.0,166837000.0,32201000.0,134636000.0,146976978.0,,,,,,,,,,,58936000.0,58936000.0,58936000.0,0.0,0.0,0.108,126434000.0,103920000.0,18316000.0,0.0,3.941,2.494,3.245,7440000.0,0.0,14.917,0.268,0.303,82813000.0,37449000.0,547634000.0,547634000.0,0.0,0.348,1.342,0.623,0.204,,126434000.0,1.0,9853203.0,11109058.0,14736630.0,49.296,191509000.0,4713000.0,37579000.0,6470000.0,17.239,151868000.0
28670,SFPI1,MRT,1998-09-30,1998-09-26,1998-09-26,2020-07-27,0.0,183528000.0,,166757000.0,16771000.0,,1.939,,1017000.0,1017000.0,,,2.627,6.176,118907000.0,25000000.0,93907000.0,118907000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,25577000.0,,25577000.0,136030309.0,,,,,1.0,,,8797000.0,,229144000.0,,93151000.0,0.0,0.0,0.0,157951000.0,63477000.0,94474000.0,86216445.0,,,,,,,,,,,,,,,,,,,21787000.0,,3.371,,,7974000.0,,8.75,,,65708000.0,25766000.0,,,,,,,,,,1.0,9853308.0,13191000.0,,,174731000.0,4213000.0,,9927000.0,13.246,103280000.0
28671,SFPI1,MRT,1998-06-30,1998-06-27,1998-06-27,2020-07-27,0.0,141397000.0,121869799.0,127937000.0,13460000.0,2.508,2.945,-4565000.0,661000.0,661000.0,179376000.0,19981000.0,1.538,1.45,39627000.0,50475000.0,-10848000.0,39627000.0,0.0,4301000.0,0.0,0.0,0.0,37519000.0,41820000.0,0.137,41820000.0,37519000.0,32186000.0,1.02,0.99,1.02,57711000.0,48166402.0,57711000.0,236220991.0,6.0,5.649,-29667000.0,-1.514,1.0,126223000.0,0.413,5145000.0,5333000.0,92049000.0,83293943.0,76506000.0,0.0,0.0,0.0,83686000.0,83169000.0,517000.0,174839991.0,-1952000.0,0.0,445000.0,7065000.0,0.0,8643000.0,14507000.0,19072000.0,-25102000.0,0.0,19981000.0,19981000.0,19981000.0,0.0,0.0,0.065,96543000.0,29680000.0,18960000.0,0.0,3.03,8.75,8.742,8315000.0,0.0,8.917,0.572,0.572,43225000.0,14947000.0,305599000.0,305599000.0,0.0,0.164,0.415,0.45,0.123,0.0,96543000.0,1.0,19608216.0,19594000.0,20259000.0,15.597,136252000.0,4605000.0,12205000.0,7016000.0,6.954,44768000.0
28672,SFPI1,MRT,1998-03-31,1998-03-28,1998-03-28,2020-07-27,5294000.0,147553000.0,,115164000.0,32389000.0,,5.562,,774000.0,774000.0,,,1.281,1.679,62155000.0,62155000.0,0.0,62155000.0,0.0,,0.0,0.0,0.0,,,,,,,,,,55071000.0,,55071000.0,,,,,,1.0,,,4831000.0,,114225000.0,,63139000.0,18259000.0,0.0,18259000.0,92482000.0,89878000.0,2604000.0,,,,,,,,,,,,,,,,,,,,18657000.0,,,,,9299000.0,,7.417,,,46846000.0,7316000.0,,,,,,,,,,1.0,,9900452.0,,,142722000.0,1122000.0,,2604000.0,14.416,25286000.0
28673,SFPI1,MRQ,1998-12-31,1998-12-26,1998-12-26,2020-07-27,0.0,204135000.0,,184069000.0,20066000.0,,3.357,-381000.0,11856000.0,11856000.0,222242000.0,50637000.0,5.716,4.473,134169000.0,0.0,134169000.0,134169000.0,0.0,1065000.0,0.0,0.0,0.0,95661000.0,96726000.0,0.251,96726000.0,95661000.0,83339000.0,4.71,3.32,4.71,37298000.0,,37298000.0,264866978.0,2.0,,-221000.0,-0.02,1.0,162477000.0,0.422,12626000.0,12322000.0,281621000.0,,81254000.0,0.0,0.0,0.0,166837000.0,32201000.0,134636000.0,146976978.0,10839000.0,0.0,38000.0,15000000.0,0.0,11060000.0,-381000.0,0.0,160000.0,0.0,50637000.0,50637000.0,50637000.0,0.0,0.0,0.132,66816000.0,95661000.0,18316000.0,0.0,3.941,2.494,3.245,7440000.0,0.0,14.917,0.268,0.303,82813000.0,37449000.0,384719000.0,384719000.0,0.0,,,,,0.0,66816000.0,1.0,9853203.0,11109058.0,14736630.0,34.631,191509000.0,4713000.0,32702000.0,6470000.0,17.239,151868000.0
28674,SFPI1,MRQ,1998-09-30,1998-09-26,1998-09-26,2020-07-27,0.0,183528000.0,,166757000.0,16771000.0,,1.939,-589000.0,1017000.0,1017000.0,55004000.0,10819000.0,2.627,6.176,118907000.0,25000000.0,93907000.0,118907000.0,0.0,1244000.0,0.0,0.0,0.0,17995000.0,19239000.0,0.184,19239000.0,17995000.0,15596000.0,0.82,0.68,0.82,25577000.0,,25577000.0,136030309.0,,,-21408000.0,-1.623,1.0,49384000.0,0.473,8797000.0,2399000.0,229144000.0,,93151000.0,0.0,0.0,0.0,157951000.0,63477000.0,94474000.0,86216445.0,356000.0,0.0,-70797000.0,59525000.0,0.0,21764000.0,-589000.0,0.0,-20819000.0,0.0,10819000.0,10819000.0,10819000.0,0.0,0.0,0.104,31389000.0,17995000.0,21787000.0,0.0,3.371,,,7974000.0,0.0,8.75,,,65708000.0,25766000.0,104388000.0,104388000.0,0.0,,,,,0.0,31389000.0,1.0,9853308.0,13191000.0,16020000.0,7.914,174731000.0,4213000.0,4777000.0,9927000.0,13.246,103280000.0
28675,SFPI1,MRQ,1998-06-30,1998-06-27,1998-06-27,2020-07-27,0.0,141397000.0,,127937000.0,13460000.0,,2.945,-742000.0,661000.0,661000.0,-34998000.0,-7674000.0,1.538,1.45,39627000.0,50475000.0,-10848000.0,39627000.0,0.0,1411000.0,0.0,0.0,0.0,-14166000.0,-12755000.0,0.194,-12755000.0,-14166000.0,-9600000.0,-1.5,-0.87,-1.5,57711000.0,,57711000.0,236220991.0,6.0,5.649,-7553000.0,-0.385,1.0,-30815000.0,0.468,5145000.0,-4566000.0,92049000.0,,76506000.0,0.0,0.0,0.0,83686000.0,83169000.0,517000.0,174839991.0,-112000.0,0.0,303000.0,-11680000.0,0.0,-10244000.0,16942000.0,17684000.0,-6811000.0,0.0,-7674000.0,-7674000.0,-7674000.0,0.0,0.0,0.117,-8810000.0,-22005000.0,18960000.0,0.0,3.03,8.75,8.742,8315000.0,0.0,8.917,0.572,0.572,43225000.0,14947000.0,-65813000.0,-65813000.0,0.0,,,,,0.0,-8810000.0,1.0,19608216.0,19594000.0,20259000.0,-3.359,136252000.0,4605000.0,-1926000.0,7016000.0,6.954,44768000.0
28676,SFPI1,MRQ,1998-03-31,1998-03-28,1998-03-28,2020-07-27,5294000.0,147553000.0,,115164000.0,32389000.0,,5.562,,774000.0,774000.0,75032000.0,5154000.0,1.281,1.679,62155000.0,62155000.0,0.0,62155000.0,0.0,,0.0,0.0,0.0,12269000.0,,,,12269000.0,7180000.0,0.567,0.367,0.567,55071000.0,,55071000.0,,,,,,1.0,49308000.0,0.397,4831000.0,5089000.0,114225000.0,,63139000.0,18259000.0,0.0,18259000.0,92482000.0,89878000.0,2604000.0,,,,,,,,,,,,5154000.0,5154000.0,5154000.0,0.0,0.0,0.041,37039000.0,12269000.0,18657000.0,0.0,,,,9299000.0,0.0,7.417,,,46846000.0,7316000.0,124340000.0,124340000.0,0.0,,,,,,37039000.0,1.0,,9900452.0,14476593.0,12.559,142722000.0,1122000.0,2026000.0,2604000.0,14.416,25286000.0
28677,SFPI1,ARY,1998-12-31,1998-09-25,1998-06-27,2020-07-27,0.0,141397300.0,,127937000.0,13460300.0,,2.945,-4564910.0,661214.0,661214.0,179375466.0,19981411.0,1.538,1.45,50475078.0,50475078.0,0.0,50475078.0,0.0,4300647.0,0.0,0.0,0.0,37519298.0,41819945.0,0.137,41819945.0,37519298.0,32186189.0,1.02,0.987,1.02,57711366.0,,57711366.0,136030309.0,4.0,3.253,-29666991.0,-1.514,1.0,126223284.0,0.413,5145000.0,5333109.0,102897230.0,,76505088.0,0.0,0.0,0.0,83685934.0,83168934.0,517000.0,86216445.0,-1951657.0,0.0,445402.0,7065118.0,0.0,8643334.0,14507090.0,19072000.0,-25102081.0,0.0,19981411.0,19981411.0,19981411.0,0.0,0.0,0.065,96543660.0,29679624.0,18960008.0,0.0,1.494,4.315,8.578,8315300.0,0.0,8.75,0.282,0.561,43224852.0,14947312.0,305598750.0,305598750.0,0.0,,,,0.123,0.0,96543660.0,1.0,9853308.0,19593698.0,20259395.0,15.597,136252300.0,4605222.0,12204778.0,7016342.0,6.954,44768066.0
