None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
27961,SHEN,MRY,1998-12-31,1998-12-31,1998-12-31,2021-07-29,639000.0,93741000.0,94822916.0,14225000.0,79516000.0,0.375,1.099,-13664000.0,4891000.0,4891000.0,11087000.0,5604000.0,2.677,0.892,29262000.0,864000.0,28398000.0,29262000.0,713000.0,5430000.0,114000.0,,0.0,10704000.0,16134000.0,0.453,16134000.0,10704000.0,9203000.0,0.124,0.124,0.124,49547000.0,49430926.0,49547000.0,,,,-2640000.0,-0.059,1.0,24507000.0,0.689,6363000.0,1501000.0,106436000.0,105743431.0,3488000.0,9099000.0,500000.0,8599000.0,44194000.0,5313000.0,38881000.0,,-312000.0,0.0,-100000.0,1902000.0,-1915000.0,-113000.0,-11223000.0,2443000.0,11024000.0,0.0,5604000.0,5604000.0,5604000.0,0.0,0.0,0.157,14003000.0,10504000.0,1149000.0,0.0,,,,65034000.0,0.0,,,,4272000.0,44174000.0,35594000.0,35594000.0,0.0,0.059,0.113,0.101,0.301,0.0,3635000.0,1.0,45069120.0,45072000.0,45072000.0,0.79,87378000.0,296000.0,3599000.0,6741000.0,1.939,8912000.0
27962,SHEN,MRT,1998-12-31,1998-12-31,1998-12-31,2021-07-29,639000.0,93741000.0,94822916.0,14225000.0,79516000.0,0.375,1.099,-13664000.0,4891000.0,4891000.0,11087000.0,5604000.0,2.677,0.892,29262000.0,864000.0,28398000.0,29262000.0,713000.0,5430000.0,114000.0,,0.0,10704000.0,16134000.0,0.453,16134000.0,10704000.0,9203000.0,0.124,0.124,0.124,49547000.0,49430926.0,49547000.0,,,,-2640000.0,-0.059,1.0,24507000.0,0.689,6363000.0,1501000.0,106436000.0,105743431.0,3488000.0,9099000.0,500000.0,8599000.0,44194000.0,5313000.0,38881000.0,,-312000.0,0.0,-100000.0,1902000.0,-1915000.0,-113000.0,-11223000.0,2443000.0,11024000.0,0.0,5604000.0,5604000.0,5604000.0,0.0,0.0,0.157,14003000.0,10504000.0,1149000.0,0.0,,,,65034000.0,0.0,,,,4272000.0,44174000.0,35594000.0,35594000.0,0.0,0.059,0.113,0.101,0.301,0.0,3635000.0,1.0,45069120.0,45072000.0,45072000.0,0.79,87378000.0,296000.0,3599000.0,6741000.0,1.939,8912000.0
27963,SHEN,MRT,1998-09-30,1998-09-30,1998-09-30,2021-07-29,362384.0,96442425.0,93739642.0,18433972.0,78008453.0,0.369,1.118,-14347755.0,5675696.0,5675696.0,4738279.0,8986440.0,2.327,0.914,29347778.0,522615.0,28825163.0,29347778.0,349327.0,5212508.0,110125.0,,0.0,13905121.0,19117629.0,0.552,19117629.0,13905121.0,12340075.0,0.127,,0.127,50390006.0,48671797.0,50390006.0,,,,-3993781.0,-0.089,1.0,29873267.0,0.863,5647965.0,1565046.0,106546144.0,103608944.0,3071400.0,8547016.0,499581.0,8047435.0,46052419.0,7920398.0,38132021.0,,-351618.0,0.0,-100000.0,3321815.0,-1617127.0,1604688.0,-12310280.0,2609248.0,10353974.0,0.0,8986440.0,8986440.0,8986440.0,0.0,0.0,0.26,13399014.0,16474253.0,3699585.0,0.0,,,,63971876.0,0.0,,,,8739295.0,45293245.0,34611546.0,34611546.0,0.0,0.096,0.185,0.134,0.402,0.0,2722566.0,1.0,45069120.0,45069120.0,,0.768,90794460.0,0.0,3353635.0,7043002.0,2.015,10513574.0
27964,SHEN,MRT,1998-06-30,1998-06-30,1998-06-30,2021-07-29,1619543.0,95978213.0,,17935790.0,78042423.0,,1.105,-13488561.0,6486983.0,6486983.0,4403709.0,5106005.0,2.355,0.928,29398059.0,502345.0,28895714.0,29398059.0,427080.0,5016372.0,110897.0,,0.0,9649417.0,14665789.0,0.439,14665789.0,9649417.0,8105968.0,0.113,,0.113,49792851.0,,49792851.0,,,,-3797954.0,-0.084,1.0,28984787.0,0.868,5646906.0,1543449.0,105626886.0,,3846286.0,10898424.0,523435.0,10374989.0,46185362.0,7615497.0,38569865.0,,1407880.0,0.0,-100000.0,3835191.0,-1617127.0,2118064.0,-10400791.0,2706143.0,9690607.0,0.0,5106005.0,5106005.0,5106005.0,0.0,0.0,0.153,13034820.0,15949967.0,3654312.0,0.0,,,,61493818.0,0.0,,,,6747303.0,43438931.0,33388496.0,33388496.0,0.0,,,,0.289,0.0,2764921.0,1.0,45069120.0,45069120.0,,0.741,90331307.0,0.0,2999963.0,7320294.0,2.004,10320293.0
27965,SHEN,MRT,1998-03-31,1998-03-31,1998-03-31,2021-07-29,1585718.0,93130026.0,,18221376.0,74908650.0,,1.064,-11187997.0,5382345.0,5382345.0,5653220.0,4653391.0,2.596,0.94,29389869.0,544954.0,28844915.0,29389869.0,547176.0,4851400.0,106278.0,,0.0,8866889.0,13718289.0,0.428,13718289.0,8866889.0,7354143.0,0.103,,0.103,47993848.0,,47993848.0,,,,-4569537.0,-0.101,1.0,26433744.0,0.824,5753010.0,1512746.0,104364693.0,,4796498.0,11121167.0,1123917.0,9997250.0,45136178.0,7019847.0,38116331.0,,190143.0,0.0,-100000.0,4187413.0,-1617127.0,2470286.0,-8898603.0,2882154.0,6618460.0,0.0,4653391.0,4653391.0,4653391.0,0.0,0.0,0.145,12581280.0,13852464.0,3017381.0,0.0,,,,58714842.0,0.0,,,,6417208.0,41673753.0,32086964.0,32086964.0,0.0,,,,0.276,0.0,2735399.0,1.0,45069120.0,45099792.0,,0.711,87377016.0,0.0,2700752.0,7332609.0,1.937,11201529.0
27966,SHEN,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-07-29,639000.0,93741000.0,,14225000.0,79516000.0,,1.1,-2918478.0,4891000.0,4891000.0,3451485.0,796145.0,2.677,0.892,29262000.0,864000.0,28398000.0,29262000.0,713000.0,1449534.0,114000.0,,0.0,1934266.0,3383800.0,0.37,3383800.0,1934266.0,1595961.0,0.018,0.018,0.018,49547000.0,,49547000.0,,,,719277.0,0.016,1.0,5703364.0,0.623,6363000.0,338305.0,106436000.0,,3488000.0,9099000.0,500000.0,8599000.0,44194000.0,5313000.0,38881000.0,,-684175.0,0.0,0.0,-85118.0,-1915000.0,-2000118.0,-2321812.0,598666.0,3637755.0,0.0,796145.0,796145.0,796145.0,0.0,0.0,0.087,3333646.0,2369718.0,1149000.0,0.0,,,,65034000.0,0.0,,,,4272000.0,44174000.0,9154849.0,9154849.0,0.0,,,,,0.0,1675368.0,1.0,45069120.0,45050328.0,45050328.0,0.203,87378000.0,296000.0,799816.0,6741000.0,1.94,8912000.0
27967,SHEN,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-07-29,362384.0,96442425.0,,18433972.0,78008453.0,,1.118,-3848107.0,5675696.0,5675696.0,2727052.0,5208104.0,2.327,0.914,29347778.0,522615.0,28825163.0,29347778.0,349327.0,1384137.0,110125.0,,0.0,6758671.0,8142808.0,0.879,8142808.0,6758671.0,6327242.0,0.043,0.043,0.043,50390006.0,,50390006.0,,,,-1690446.0,-0.038,1.0,6534538.0,0.706,5647965.0,431429.0,106546144.0,,3071400.0,8547016.0,499581.0,8047435.0,46052419.0,7920398.0,38132021.0,,-811287.0,0.0,0.0,-50281.0,0.0,-50281.0,-2918667.0,929440.0,2157661.0,0.0,5208104.0,5208104.0,5208104.0,0.0,0.0,0.562,3627198.0,2907340.0,3699585.0,0.0,,,,63971876.0,0.0,,,,8739295.0,45293245.0,9261590.0,9261590.0,0.0,,,,,0.0,620100.0,1.0,45069120.0,45069120.0,45069120.0,0.205,90794460.0,0.0,1119138.0,7043002.0,2.015,10513574.0
27968,SHEN,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-07-29,1619543.0,95978213.0,,17935790.0,78042423.0,,1.105,-4066430.0,6486983.0,6486983.0,1059581.0,1668028.0,2.355,0.928,29398059.0,502345.0,28895714.0,29398059.0,427080.0,1314798.0,110897.0,,0.0,3083554.0,4398352.0,0.488,4398352.0,3083554.0,2665132.0,0.037,0.037,0.037,49792851.0,,49792851.0,,,,780403.0,0.017,1.0,7959097.0,0.883,5646906.0,418422.0,105626886.0,,3846286.0,10898424.0,523435.0,10374989.0,46185362.0,7615497.0,38569865.0,,1104638.0,0.0,0.0,8190.0,0.0,8190.0,-3750385.0,312256.0,4846833.0,0.0,1668028.0,1668028.0,1668028.0,0.0,0.0,0.185,3519433.0,4439664.0,3654312.0,0.0,,,,61493818.0,0.0,,,,6747303.0,43438931.0,9018678.0,9018678.0,0.0,,,,,0.0,649256.0,1.0,45069120.0,45069120.0,45069120.0,0.2,90331307.0,0.0,997104.0,7320294.0,2.004,10320293.0
27969,SHEN,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-07-29,1585718.0,93130026.0,,18221376.0,74908650.0,,1.064,-2830985.0,5382345.0,5382345.0,2405624.0,1188363.0,2.596,0.94,29389869.0,544954.0,28844915.0,29389869.0,547176.0,1281531.0,106278.0,,0.0,2184149.0,3465680.0,0.425,3465680.0,2184149.0,1871305.0,0.027,0.027,0.027,47993848.0,,47993848.0,,,,-2449234.0,-0.054,1.0,5753258.0,0.705,5753010.0,312844.0,104364693.0,,4796498.0,11121167.0,1123917.0,9997250.0,45136178.0,7019847.0,38116331.0,,78824.0,0.0,-100000.0,2029209.0,0.0,1929209.0,-2232136.0,602638.0,381751.0,0.0,1188363.0,1188363.0,1188363.0,0.0,0.0,0.146,3522887.0,2230371.0,3017381.0,0.0,,,,58714842.0,0.0,,,,6417208.0,41673753.0,8158882.0,8158882.0,0.0,,,,,0.0,735277.0,1.0,45069120.0,45099792.0,45099792.0,0.181,87377016.0,0.0,682942.0,7332609.0,1.937,11201529.0
27970,SHEN,ARY,1998-12-31,1999-04-01,1998-12-31,2021-07-29,638619.0,93445744.0,94749102.0,13928696.0,79517048.0,0.376,1.099,-13664692.0,4891109.0,4891109.0,4704848.0,5603775.0,2.776,0.886,29262346.0,863972.0,28398374.0,29262346.0,712581.0,5429815.0,113586.0,,0.0,10704146.0,16133961.0,0.453,16133961.0,10704146.0,9202417.0,0.124,0.124,0.124,49546726.0,49430858.0,49546726.0,,,,-2640254.0,-0.059,1.0,30889177.0,0.868,5529360.0,1501729.0,107270898.0,105952155.0,3488137.0,9098576.0,499581.0,8598995.0,43899018.0,5016723.0,38882295.0,,-312412.0,0.0,-100000.0,1901686.0,-1915435.0,-113749.0,-11223101.0,2443102.0,11024438.0,0.0,5603775.0,5603775.0,5603775.0,0.0,0.0,0.157,14016077.0,16873100.0,1149286.0,0.0,,,,65034477.0,0.0,,,,4272016.0,44173730.0,35594025.0,35594025.0,0.0,0.059,0.113,0.101,0.301,0.0,2702029.0,1.0,45069120.0,45076656.0,45076656.0,0.79,87916384.0,0.0,3598642.0,7101463.0,1.95,8911973.0
