None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
27176,SIRNQ,MRY,1998-12-31,1998-06-30,1998-06-30,2021-06-16,0.0,22030000.0,19359084.0,14403000.0,7627000.0,2.637,3.509,-1294648.0,244000.0,244000.0,32962688.0,2231957.0,2.756,0.336,1715000.0,1403000.0,312000.0,1715000.0,0.0,611409.0,0.0,0.0,0.0,3077173.0,3688582.0,0.072,3688582.0,3077173.0,2321957.0,0.47,0.46,0.47,16492000.0,14638228.0,16492000.0,35074314.0,11.0,9.509,-2206328.0,-0.469,1.0,18079017.0,0.354,5271000.0,755216.0,13004000.0,11329351.0,7016000.0,0.0,0.0,0.0,5538000.0,5226000.0,312000.0,32349314.0,-107052.0,-274777.0,1475840.0,908815.0,0.0,2384655.0,-1580027.0,-7955.0,-911680.0,0.0,2231957.0,2231957.0,2231957.0,0.0,0.0,0.044,15001844.0,3077173.0,1968000.0,0.0,1.962,14.494,14.362,2207000.0,0.0,6.75,0.634,0.622,6884000.0,-17455000.0,51041705.0,51041705.0,0.0,0.115,0.152,0.272,0.06,0.0,14626810.0,1.0,4792491.0,4700514.0,4806924.0,10.859,16759000.0,0.0,90000.0,0.0,3.565,9177000.0
27177,SIRNQ,MRT,1998-12-31,1998-12-31,1998-12-31,2021-06-16,0.0,33573000.0,25922750.0,25924000.0,7649000.0,2.081,3.003,-1483648.0,562000.0,562000.0,33575688.0,2354957.0,1.421,1.218,2672000.0,2482000.0,190000.0,2672000.0,0.0,737409.0,0.0,0.0,0.0,3368173.0,4105582.0,0.076,4105582.0,3368173.0,2448957.0,0.53,0.5,0.53,15140000.0,15211000.0,15140000.0,39739432.0,12.0,9.679,-2279328.0,-0.452,1.0,20362017.0,0.378,5117000.0,919216.0,12323000.0,12509500.0,19554000.0,0.0,0.0,0.0,18433000.0,18243000.0,190000.0,37645432.0,-179052.0,-274777.0,1642840.0,742815.0,0.0,2386655.0,-1769027.0,-7955.0,-795680.0,0.0,2354957.0,2354957.0,2354957.0,0.0,0.0,0.044,16993844.0,3368173.0,15255000.0,0.0,2.486,15.986,14.151,2291000.0,0.0,7.5,0.698,0.701,4999000.0,-18975000.0,53937705.0,53937705.0,0.0,0.091,0.155,0.269,0.062,0.0,16350810.0,1.0,5019391.0,5041791.0,5201712.0,10.698,28456000.0,0.0,94000.0,0.0,5.644,7681000.0
27178,SIRNQ,MRT,1998-09-30,1998-09-30,1998-09-30,2021-06-16,0.0,22992000.0,22973250.0,15540000.0,7452000.0,2.255,2.843,-1243648.0,339000.0,339000.0,33138688.0,2242957.0,1.827,0.611,2433000.0,2214000.0,219000.0,2433000.0,0.0,692409.0,0.0,0.0,0.0,3142173.0,3834582.0,0.074,3834582.0,3142173.0,2332957.0,0.52,0.49,0.52,14268000.0,14211250.0,14268000.0,26253908.0,8.0,6.847,-2215328.0,-0.441,1.0,18666017.0,0.36,5184000.0,809216.0,11397000.0,11668250.0,11746000.0,0.0,0.0,0.0,8724000.0,8505000.0,219000.0,24783243.0,-27052.0,-274777.0,1475840.0,997815.0,0.0,2473655.0,-1529027.0,-7955.0,-971680.0,0.0,2242957.0,2242957.0,2242957.0,0.0,0.0,0.043,15523844.0,3142173.0,5625000.0,0.0,1.737,11.049,9.495,2088000.0,0.0,4.938,0.478,0.478,2915000.0,-19679000.0,51804705.0,51804705.0,0.0,0.098,0.158,0.269,0.061,0.0,14920810.0,1.0,5019391.0,5019391.0,5019391.0,10.321,17808000.0,0.0,90000.0,0.0,3.548,7035000.0
27179,SIRNQ,MRT,1998-06-30,1998-06-30,1998-06-30,2021-06-16,0.0,22030000.0,19359084.0,14403000.0,7627000.0,2.637,3.509,-1294648.0,244000.0,244000.0,32962688.0,2231957.0,2.756,0.336,1715000.0,1403000.0,312000.0,1715000.0,0.0,611409.0,0.0,0.0,0.0,3077173.0,3688582.0,0.072,3688582.0,3077173.0,2321957.0,0.47,0.46,0.47,16492000.0,14638228.0,16492000.0,35074314.0,11.0,9.509,-2206328.0,-0.469,1.0,18079017.0,0.354,5271000.0,755216.0,13004000.0,11329351.0,7016000.0,0.0,0.0,0.0,5538000.0,5226000.0,312000.0,32349314.0,-107052.0,-274777.0,1475840.0,908815.0,0.0,2384655.0,-1580027.0,-7955.0,-911680.0,0.0,2231957.0,2231957.0,2231957.0,0.0,0.0,0.044,15001844.0,3077173.0,1968000.0,0.0,1.962,14.494,14.362,2207000.0,0.0,6.75,0.634,0.622,6884000.0,-17455000.0,51041705.0,51041705.0,0.0,0.115,0.152,0.272,0.06,0.0,14626810.0,1.0,4792491.0,4700514.0,4806924.0,10.859,16759000.0,0.0,90000.0,0.0,3.565,9177000.0
27180,SIRNQ,MRT,1998-03-31,1998-03-31,1998-03-31,2021-06-16,0.0,25096000.0,,18774000.0,6322000.0,,3.214,-541934.0,275000.0,275000.0,34678031.0,-59317.0,1.937,0.679,3000000.0,2539000.0,461000.0,3000000.0,0.0,556312.0,0.0,0.0,0.0,788866.0,1345178.0,0.026,1345178.0,788866.0,41683.0,-0.01,-0.03,-0.01,14944000.0,,14944000.0,26023611.0,33.0,19.346,-134107.0,-0.029,1.0,16298934.0,0.32,4816000.0,747183.0,13314000.0,,12562000.0,0.0,0.0,0.0,10152000.0,9691000.0,461000.0,24989611.0,77329.0,-307000.0,9000.0,549215.0,0.0,558215.0,-888713.0,-14605.0,407827.0,0.0,-59317.0,-59317.0,-59317.0,0.0,0.0,-0.001,15510068.0,788866.0,5267000.0,0.0,1.672,-421.289,-537.5,1365000.0,0.0,5.375,0.49,0.49,5792000.0,-17536000.0,50976965.0,50976965.0,0.0,,,,0.015,0.0,15065862.0,1.0,4649230.0,4649340.0,4736060.0,10.964,20280000.0,0.0,101000.0,0.0,4.362,9083000.0
27181,SIRNQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-06-16,0.0,33573000.0,,25924000.0,7649000.0,,3.003,-317000.0,562000.0,562000.0,5966000.0,704000.0,1.421,1.218,2672000.0,2482000.0,190000.0,2672000.0,0.0,182000.0,0.0,0.0,0.0,976000.0,1158000.0,0.098,1158000.0,976000.0,733000.0,0.14,0.14,0.14,15140000.0,,15140000.0,39739432.0,12.0,9.679,-244000.0,-0.048,1.0,5794000.0,0.493,5117000.0,243000.0,12323000.0,,19554000.0,0.0,0.0,0.0,18433000.0,18243000.0,190000.0,37645432.0,162000.0,0.0,167000.0,239000.0,0.0,407000.0,-317000.0,0.0,73000.0,0.0,704000.0,704000.0,704000.0,0.0,0.0,0.06,4818000.0,976000.0,15255000.0,0.0,2.486,15.986,14.151,2291000.0,0.0,7.5,0.698,0.701,4999000.0,-18975000.0,11760000.0,11760000.0,0.0,,,,,0.0,4696000.0,1.0,5019391.0,5041791.0,5201712.0,2.333,28456000.0,0.0,29000.0,0.0,5.644,7681000.0
27182,SIRNQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-06-16,0.0,22992000.0,,15540000.0,7452000.0,,2.843,-11000.0,339000.0,339000.0,1702000.0,-2224000.0,1.827,0.611,2433000.0,2214000.0,219000.0,2433000.0,0.0,217000.0,0.0,0.0,0.0,-2135000.0,-1918000.0,-0.835,-1918000.0,-2135000.0,-2224000.0,-0.44,-0.44,-0.44,14268000.0,,14268000.0,26253908.0,8.0,6.847,-654000.0,-0.13,1.0,594000.0,0.259,5184000.0,89000.0,11397000.0,,11746000.0,0.0,0.0,0.0,8724000.0,8505000.0,219000.0,24783243.0,64000.0,0.0,0.0,718000.0,0.0,718000.0,-11000.0,0.0,-643000.0,0.0,-2224000.0,-2224000.0,-2224000.0,0.0,0.0,-0.969,2729000.0,-2135000.0,5625000.0,0.0,1.737,11.049,9.495,2088000.0,0.0,4.938,0.478,0.478,2915000.0,-19679000.0,2296000.0,2296000.0,0.0,,,,,0.0,2583000.0,1.0,5019391.0,5019391.0,5019391.0,0.457,17808000.0,0.0,0.0,0.0,3.548,7035000.0
27183,SIRNQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-06-16,0.0,22030000.0,,14403000.0,7627000.0,,3.398,-952648.0,244000.0,244000.0,11749688.0,80957.0,2.756,0.336,1715000.0,1403000.0,312000.0,1715000.0,0.0,178409.0,0.0,0.0,0.0,335173.0,513582.0,0.031,513582.0,335173.0,80957.0,0.01,0.0,0.01,16492000.0,,16492000.0,35074314.0,11.0,9.509,-349328.0,-0.072,1.0,4612017.0,0.282,5271000.0,254216.0,13004000.0,,7016000.0,0.0,0.0,0.0,5538000.0,5226000.0,312000.0,32349314.0,-39052.0,32223.0,1466840.0,-1182185.0,0.0,284655.0,-927027.0,-7955.0,603320.0,0.0,80957.0,80957.0,80957.0,0.0,0.0,0.005,4276844.0,335173.0,1968000.0,0.0,1.962,14.494,14.362,2207000.0,0.0,6.75,0.634,0.622,6884000.0,-17455000.0,16361705.0,16361705.0,0.0,,,,,0.0,3901810.0,1.0,4792491.0,4854036.0,5138037.0,3.371,16759000.0,0.0,0.0,0.0,3.453,9177000.0
27184,SIRNQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-06-16,0.0,25096000.0,,18774000.0,6322000.0,,3.214,-203000.0,275000.0,275000.0,14158000.0,3794000.0,1.937,0.679,3000000.0,2539000.0,461000.0,3000000.0,0.0,160000.0,0.0,0.0,0.0,4192000.0,4352000.0,0.185,4352000.0,4192000.0,3859000.0,0.82,0.8,0.82,14944000.0,,14944000.0,26023611.0,33.0,19.346,-1032000.0,-0.222,1.0,9362000.0,0.398,4816000.0,333000.0,13314000.0,,12562000.0,0.0,0.0,0.0,10152000.0,9691000.0,461000.0,24989611.0,-366000.0,-307000.0,9000.0,968000.0,0.0,977000.0,-514000.0,0.0,-829000.0,0.0,3794000.0,3794000.0,3794000.0,0.0,0.0,0.161,5170000.0,4192000.0,5267000.0,0.0,1.672,-421.289,-537.5,1365000.0,0.0,5.375,0.49,0.49,5792000.0,-17536000.0,23520000.0,23520000.0,0.0,,,,,0.0,5170000.0,1.0,4649230.0,4649340.0,4736060.0,5.059,20280000.0,0.0,65000.0,0.0,4.362,9083000.0
27185,SIRNQ,ARY,1998-12-31,1998-09-28,1998-06-30,2021-06-16,0.0,22029616.0,,14402747.0,7626869.0,,3.509,-1294648.0,244279.0,244279.0,32962688.0,2231957.0,2.756,0.336,1714944.0,1403178.0,311766.0,1714944.0,0.0,611409.0,0.0,0.0,0.0,3077173.0,3688582.0,0.072,3688582.0,3077173.0,2321957.0,0.47,0.46,0.47,16492254.0,,16492254.0,25312772.0,8.0,6.862,-2206328.0,-0.469,1.0,18079017.0,0.354,5271098.0,755216.0,13003587.0,,7016287.0,0.0,0.0,0.0,5537362.0,5225596.0,311766.0,23842107.0,-107052.0,-274777.0,1475840.0,908815.0,0.0,2384655.0,-1580027.0,-7955.0,-911680.0,0.0,2231957.0,2231957.0,2231957.0,0.0,0.0,0.044,15001844.0,3077173.0,1967851.0,0.0,1.446,10.682,10.106,2206733.0,0.0,4.75,0.467,0.437,6883380.0,-17454705.0,51041705.0,51041705.0,0.0,,,,0.06,0.0,14626810.0,1.0,5019391.0,4700514.0,4806924.0,10.859,16758518.0,0.0,90000.0,0.0,3.565,9177151.0
