None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
26225,SLR,MRY,1998-12-31,1998-08-31,1998-08-31,2019-02-25,-7000000.0,2410500000.0,2160340500.0,1887500000.0,523000000.0,2.825,2.316,-422700000.0,308800000.0,308800000.0,5435600000.0,251300000.0,2.245,1.041,385500000.0,0.0,385500000.0,385500000.0,0.0,134600000.0,0.0,0.0,0.0,400900000.0,535500000.0,0.088,535500000.0,400900000.0,375500000.0,0.49,0.47,0.49,1181300000.0,1069278250.0,1181300000.0,4871353080.0,12.0,9.097,-210400000.0,-0.412,1.0,666600000.0,0.109,0.0,25400000.0,1646400000.0,1471722750.0,788500000.0,0.0,0.0,0.0,1229200000.0,840800000.0,388400000.0,4836944080.0,-31000000.0,0.0,60800000.0,21900000.0,-400000.0,80100000.0,-325100000.0,113200000.0,212300000.0,1700000.0,251300000.0,251300000.0,251300000.0,0.0,0.0,0.041,298000000.0,368600000.0,666500000.0,0.0,4.095,19.248,21.078,448000000.0,0.0,10.328,0.793,0.863,670200000.0,677400000.0,6102200000.0,6102200000.0,29900000.0,0.116,0.235,0.272,0.066,11500000.0,268100000.0,1.0,468327188.0,510100000.0,556600000.0,11.963,2410500000.0,0.0,124200000.0,0.0,4.726,1046700000.0
26226,SLR,MRT,1998-12-31,1998-11-30,1998-11-30,2019-02-25,-4800000.0,2712700000.0,2336009500.0,2106400000.0,606300000.0,2.958,2.688,-472600000.0,194800000.0,194800000.0,6192200000.0,270300000.0,2.011,1.131,399000000.0,11200000.0,387800000.0,399000000.0,0.0,142600000.0,0.0,0.0,0.0,428500000.0,571100000.0,0.083,571100000.0,428500000.0,404100000.0,0.525,0.505,0.525,1273000000.0,1142678500.0,1273000000.0,7940544003.0,19.0,13.904,-286800000.0,-0.606,1.0,718700000.0,0.104,0.0,24400000.0,1869500000.0,1603201000.0,901100000.0,0.0,0.0,0.0,1439700000.0,1047400000.0,392300000.0,7863829003.0,13000000.0,0.0,75500000.0,34000000.0,-400000.0,110800000.0,-286100000.0,201000000.0,185800000.0,2500000.0,270300000.0,270300000.0,270300000.0,0.0,0.0,0.039,320300000.0,398400000.0,844200000.0,0.0,6.177,29.093,31.577,531600000.0,0.0,16.578,1.138,1.136,872200000.0,741300000.0,6910900000.0,6910900000.0,33400000.0,0.116,0.237,0.267,0.062,11500000.0,286900000.0,1.0,474349580.0,473600000.0,515000000.0,14.592,2712700000.0,0.0,133800000.0,0.0,5.728,1059000000.0
26227,SLR,MRT,1998-09-30,1998-08-31,1998-08-31,2019-02-25,-7000000.0,2410500000.0,2160340500.0,1887500000.0,523000000.0,2.825,2.316,-422700000.0,308800000.0,308800000.0,5435600000.0,251300000.0,2.245,1.041,385500000.0,0.0,385500000.0,385500000.0,0.0,134600000.0,0.0,0.0,0.0,400900000.0,535500000.0,0.088,535500000.0,400900000.0,375500000.0,0.49,0.47,0.49,1181300000.0,1069278250.0,1181300000.0,4871353080.0,12.0,9.097,-210400000.0,-0.412,1.0,666600000.0,0.109,0.0,25400000.0,1646400000.0,1471722750.0,788500000.0,0.0,0.0,0.0,1229200000.0,840800000.0,388400000.0,4836944080.0,-31000000.0,0.0,60800000.0,21900000.0,-400000.0,80100000.0,-325100000.0,113200000.0,212300000.0,1700000.0,251300000.0,251300000.0,251300000.0,0.0,0.0,0.041,298000000.0,368600000.0,666500000.0,0.0,4.095,19.248,21.078,448000000.0,0.0,10.328,0.793,0.863,670200000.0,677400000.0,6102200000.0,6102200000.0,29900000.0,0.116,0.235,0.272,0.066,11500000.0,268100000.0,1.0,468327188.0,510100000.0,556600000.0,11.963,2410500000.0,0.0,124200000.0,0.0,4.726,1046700000.0
26228,SLR,MRT,1998-06-30,1998-05-31,1998-05-31,2019-02-25,-8960000.0,2204183000.0,2026820250.0,1747067000.0,457116000.0,2.292,2.34,-307573000.0,352133000.0,352133000.0,4139478000.0,190423000.0,2.422,1.03,386542000.0,0.0,386542000.0,386542000.0,0.0,115573000.0,0.0,0.0,0.0,310181000.0,425754000.0,0.092,425754000.0,310181000.0,285762000.0,0.412,0.398,0.412,1085999000.0,1003720500.0,1085999000.0,4754457900.0,15.0,11.167,-225281000.0,-0.485,1.0,506977000.0,0.109,0.0,24419000.0,1517145000.0,1362979000.0,734715000.0,0.0,0.0,0.0,1118184000.0,721447000.0,396737000.0,4794235900.0,-71324000.0,0.0,30681000.0,-2357000.0,0.0,29951000.0,-183346000.0,118171000.0,82292000.0,-221000.0,190423000.0,190423000.0,190423000.0,0.0,0.0,0.041,224045000.0,282932000.0,581341000.0,0.0,4.415,25.177,25.106,406272000.0,0.0,10.344,1.032,1.033,563993000.0,621520000.0,4646455000.0,4646455000.0,19675000.0,0.094,0.19,0.228,0.067,8235000.0,204370000.0,1.0,463491084.0,464200000.0,507400000.0,10.01,2204183000.0,0.0,95339000.0,0.0,4.748,1025620000.0
26229,SLR,MRT,1998-03-31,1998-02-28,1998-02-28,2019-02-25,-9726000.0,2016655000.0,,1575922000.0,440733000.0,,2.232,-248885000.0,426121000.0,426121000.0,3861823000.0,182760000.0,2.639,0.957,386343000.0,0.0,386343000.0,386343000.0,0.0,114058000.0,0.0,0.0,0.0,301002000.0,415060000.0,0.095,415060000.0,301002000.0,274696000.0,0.4,0.387,0.4,1030415000.0,,1030415000.0,5547776020.0,18.0,13.366,-127759000.0,-0.277,1.0,489754000.0,0.113,0.0,26306000.0,1379759000.0,,582728000.0,0.0,0.0,0.0,986240000.0,597118000.0,389122000.0,5573883020.0,-89993000.0,0.0,36188000.0,-4994000.0,0.0,34523000.0,-244043000.0,-4702000.0,121126000.0,-1599000.0,182760000.0,182760000.0,182760000.0,0.0,0.0,0.042,216603000.0,273151000.0,475641000.0,0.0,5.409,30.498,30.234,388024000.0,0.0,12.094,1.281,1.283,480318000.0,572343000.0,4351577000.0,4351577000.0,18987000.0,,,,0.069,5835000.0,197616000.0,1.0,460889552.0,461600000.0,504600000.0,9.427,2016655000.0,0.0,91936000.0,0.0,4.369,978804000.0
26230,SLR,MRQ,1998-12-31,1998-11-30,1998-11-30,2019-02-25,-4800000.0,2712700000.0,,2106400000.0,606300000.0,,2.688,-138400000.0,194800000.0,194800000.0,1769700000.0,63900000.0,2.011,1.131,399000000.0,11200000.0,387800000.0,399000000.0,0.0,40600000.0,0.0,0.0,0.0,101600000.0,142200000.0,0.073,142200000.0,101600000.0,96100000.0,0.135,0.13,0.135,1273000000.0,,1273000000.0,7940544003.0,19.0,13.904,-157100000.0,-0.332,1.0,175900000.0,0.09,0.0,5500000.0,1869500000.0,,901100000.0,0.0,0.0,0.0,1439700000.0,1047400000.0,392300000.0,7863829003.0,-67200000.0,0.0,25600000.0,11200000.0,0.0,40700000.0,-91400000.0,46700000.0,-18700000.0,2200000.0,63900000.0,63900000.0,63900000.0,0.0,0.0,0.033,78700000.0,97200000.0,844200000.0,0.0,6.177,29.093,31.577,531600000.0,0.0,16.578,1.138,1.136,872200000.0,741300000.0,1945600000.0,1945600000.0,7900000.0,,,,,0.0,70800000.0,1.0,474349580.0,473600000.0,515000000.0,4.108,2712700000.0,0.0,32200000.0,0.0,5.728,1059000000.0
26231,SLR,MRQ,1998-09-30,1998-08-31,1998-08-31,2019-02-25,-7000000.0,2410500000.0,,1887500000.0,523000000.0,,2.316,-181900000.0,308800000.0,308800000.0,2216800000.0,108400000.0,2.245,1.041,385500000.0,0.0,385500000.0,385500000.0,0.0,44000000.0,0.0,0.0,0.0,168300000.0,212300000.0,0.085,212300000.0,168300000.0,160600000.0,0.18,0.175,0.18,1181300000.0,,1181300000.0,4871353080.0,12.0,9.097,-60200000.0,-0.118,1.0,283600000.0,0.113,0.0,7700000.0,1646400000.0,,788500000.0,0.0,0.0,0.0,1229200000.0,840800000.0,388400000.0,4836944080.0,8400000.0,0.0,38600000.0,23500000.0,-400000.0,59600000.0,-173600000.0,21800000.0,121700000.0,700000.0,108400000.0,108400000.0,108400000.0,0.0,0.0,0.043,128000000.0,155600000.0,666500000.0,0.0,4.095,19.248,21.078,448000000.0,0.0,10.328,0.793,0.863,670200000.0,677400000.0,2500400000.0,2500400000.0,15200000.0,,,,,8800000.0,112800000.0,1.0,468327188.0,510100000.0,556600000.0,4.902,2410500000.0,0.0,52200000.0,0.0,4.726,1046700000.0
26232,SLR,MRQ,1998-06-30,1998-05-31,1998-05-31,2019-02-25,-8960000.0,2204183000.0,,1747067000.0,457116000.0,,2.34,-115600000.0,352133000.0,352133000.0,1145000000.0,49200000.0,2.422,1.03,386542000.0,0.0,386542000.0,386542000.0,0.0,29400000.0,0.0,0.0,0.0,78900000.0,108300000.0,0.085,108300000.0,78900000.0,74000000.0,0.105,0.1,0.105,1085999000.0,,1085999000.0,4754457900.0,15.0,11.167,-79800000.0,-0.172,1.0,133100000.0,0.104,0.0,4900000.0,1517145000.0,,734715000.0,0.0,0.0,0.0,1118184000.0,721447000.0,396737000.0,4794235900.0,42300000.0,0.0,5600000.0,400000.0,0.0,6000000.0,100000.0,116300000.0,35800000.0,400000.0,49200000.0,49200000.0,49200000.0,0.0,0.0,0.038,60700000.0,72400000.0,581341000.0,0.0,4.415,25.177,25.106,406272000.0,0.0,10.344,1.032,1.033,563993000.0,621520000.0,1278100000.0,1278100000.0,5400000.0,,,,,2400000.0,55300000.0,1.0,463491084.0,464200000.0,507400000.0,2.753,2204183000.0,0.0,24800000.0,0.0,4.748,1025620000.0
26233,SLR,MRQ,1998-03-31,1998-02-28,1998-02-28,2019-02-25,-9726000.0,2016655000.0,,1575922000.0,440733000.0,,2.232,-36700000.0,426121000.0,426121000.0,1060700000.0,48800000.0,2.639,0.957,386343000.0,0.0,386343000.0,386343000.0,0.0,28600000.0,0.0,0.0,0.0,79700000.0,108300000.0,0.091,108300000.0,79700000.0,73400000.0,0.105,0.1,0.105,1030415000.0,,1030415000.0,5547776020.0,18.0,13.366,10300000.0,0.022,1.0,126100000.0,0.106,0.0,6300000.0,1379759000.0,,582728000.0,0.0,0.0,0.0,986240000.0,597118000.0,389122000.0,5573883020.0,29500000.0,0.0,5700000.0,-1100000.0,0.0,4500000.0,-21200000.0,16200000.0,47000000.0,-800000.0,48800000.0,48800000.0,48800000.0,0.0,0.0,0.041,52900000.0,73200000.0,475641000.0,0.0,5.409,30.498,30.234,388024000.0,0.0,12.094,1.281,1.283,480318000.0,572343000.0,1186800000.0,1186800000.0,4900000.0,,,,,300000.0,48000000.0,1.0,460889552.0,461600000.0,504600000.0,2.571,2016655000.0,0.0,24600000.0,0.0,4.369,978804000.0
26234,SLR,ARY,1998-12-31,1998-11-13,1998-08-31,2019-02-25,-6984000.0,2410568000.0,2160357500.0,1887558000.0,523010000.0,2.448,2.55,-384568000.0,308804000.0,308804000.0,4749988000.0,198824000.0,2.245,1.041,385519000.0,0.0,385519000.0,385519000.0,0.0,124200000.0,0.0,0.0,0.0,323742000.0,447942000.0,0.085,447942000.0,323742000.0,298983000.0,0.43,0.412,0.43,1181326000.0,1069284750.0,1181326000.0,7555134969.0,23.0,16.866,-234783000.0,-0.507,1.0,538306000.0,0.102,0.0,24759000.0,1646449000.0,1471735000.0,788519000.0,0.0,0.0,0.0,1229242000.0,840834000.0,388408000.0,7478419969.0,155000.0,0.0,50328000.0,-1205000.0,0.0,46939000.0,-199180000.0,174254000.0,149785000.0,2611000.0,198824000.0,198824000.0,198824000.0,0.0,0.0,0.038,239317000.0,298989000.0,666557000.0,0.0,6.331,37.613,36.664,448039000.0,0.0,15.766,1.414,1.381,670194000.0,677436000.0,5288294000.0,5288294000.0,20940000.0,0.092,0.186,0.22,0.061,9338000.0,218377000.0,1.0,474349580.0,463332000.0,506268000.0,11.414,2410568000.0,0.0,100159000.0,0.0,5.203,1046724000.0
