None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
23507,SRCL,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,97755000.0,72368250.0,21810000.0,75945000.0,0.921,1.26,-3937000.0,1283000.0,1283000.0,45328000.0,5713000.0,1.056,0.822,28959000.0,5499000.0,23460000.0,28959000.0,2178000.0,4064000.0,0.0,0.0,0.0,7138000.0,11202000.0,0.168,11202000.0,7138000.0,6361000.0,0.135,0.128,0.135,53651000.0,49429000.0,53651000.0,184017709.0,26.0,16.427,925000.0,0.022,1.0,21353000.0,0.32,49112000.0,777000.0,55675000.0,32112500.0,1291000.0,536000.0,536000.0,0.0,44104000.0,20644000.0,23460000.0,175265709.0,-4091000.0,-19775000.0,344000.0,14456000.0,0.0,14800000.0,-23753000.0,-41000.0,4862000.0,0.0,5713000.0,5713000.0,5713000.0,0.0,0.0,0.086,14929000.0,6424000.0,6502000.0,0.0,3.267,30.678,29.87,23100000.0,0.0,4.032,2.628,2.576,16582000.0,-32352000.0,66681000.0,66681000.0,0.0,0.079,0.116,0.222,0.107,0.0,14929000.0,1.0,43463288.0,42588344.0,45054112.0,1.566,48643000.0,0.0,648000.0,0.0,1.142,1166000.0
23508,SRCL,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,97755000.0,72368250.0,21810000.0,75945000.0,0.921,1.26,-3937000.0,1283000.0,1283000.0,45328000.0,5713000.0,1.056,0.822,28959000.0,5499000.0,23460000.0,28959000.0,2178000.0,4064000.0,0.0,0.0,0.0,7138000.0,11202000.0,0.168,11202000.0,7138000.0,6361000.0,0.135,0.128,0.135,53651000.0,49429000.0,53651000.0,184017709.0,26.0,16.427,925000.0,0.022,1.0,21353000.0,0.32,49112000.0,777000.0,55675000.0,32112500.0,1291000.0,536000.0,536000.0,0.0,44104000.0,20644000.0,23460000.0,175265709.0,-4091000.0,-19775000.0,344000.0,14456000.0,0.0,14800000.0,-23753000.0,-41000.0,4862000.0,0.0,5713000.0,5713000.0,5713000.0,0.0,0.0,0.086,14929000.0,6424000.0,6502000.0,0.0,3.267,30.678,29.87,23100000.0,0.0,4.032,2.628,2.576,16582000.0,-32352000.0,66681000.0,66681000.0,0.0,0.079,0.116,0.222,0.107,0.0,14929000.0,1.0,43463288.0,42588344.0,45054112.0,1.566,48643000.0,0.0,648000.0,0.0,1.142,1166000.0
23509,SRCL,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-06,0.0,68183000.0,63246000.0,17664000.0,50519000.0,0.908,1.182,-1936000.0,775000.0,775000.0,39488000.0,4040000.0,1.23,0.349,9527000.0,6281000.0,3246000.0,9527000.0,663000.0,3283000.0,0.0,0.0,0.0,5283000.0,8566000.0,0.149,8566000.0,5283000.0,4949000.0,0.095,0.09,0.095,50550000.0,47272750.0,50550000.0,214204734.0,41.0,25.006,-1226000.0,-0.029,1.0,17962000.0,0.313,36796000.0,334000.0,25773000.0,23365750.0,1037000.0,2335000.0,2335000.0,0.0,17633000.0,14366000.0,3267000.0,211685734.0,-7206000.0,-6978000.0,315000.0,687000.0,0.0,998000.0,-8914000.0,0.0,710000.0,0.0,4040000.0,4040000.0,4040000.0,0.0,0.0,0.07,13097000.0,4865000.0,1986000.0,0.0,4.188,52.397,51.974,12043000.0,0.0,4.938,3.685,3.677,10902000.0,-34640000.0,57450000.0,57450000.0,0.0,0.064,0.085,0.226,0.092,0.0,13097000.0,1.0,42873060.0,42778732.0,45458096.0,1.343,31387000.0,0.0,909000.0,0.0,0.734,3298000.0
23510,SRCL,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-06,0.0,62538000.0,,19000000.0,43538000.0,,1.131,-1517000.0,3358000.0,3358000.0,37632000.0,3016000.0,1.721,0.312,5877000.0,2476000.0,3401000.0,5877000.0,250000.0,3385000.0,0.0,0.0,0.0,3770000.0,7155000.0,0.134,7155000.0,3770000.0,3433000.0,0.07,0.068,0.07,47673000.0,,47673000.0,155857746.0,41.0,21.783,-344000.0,-0.008,1.0,15736000.0,0.295,30574000.0,337000.0,23446000.0,,802000.0,2335000.0,2335000.0,0.0,14865000.0,11037000.0,3828000.0,152523746.0,-5427000.0,-2132000.0,120000.0,-3067000.0,0.0,-2951000.0,-3649000.0,0.0,1173000.0,0.0,3016000.0,3016000.0,3016000.0,0.0,0.0,0.057,12426000.0,3310000.0,2125000.0,0.0,3.199,50.572,51.786,11221000.0,0.0,3.625,2.858,2.864,11513000.0,-36193000.0,53368000.0,53368000.0,0.0,,,,0.071,0.0,12426000.0,1.0,42075516.0,42159224.0,44707108.0,1.266,31964000.0,0.0,417000.0,0.0,0.758,7963000.0
23511,SRCL,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-06,0.0,60997000.0,,18453000.0,42544000.0,,1.094,-1569000.0,2914000.0,2914000.0,35496000.0,2108000.0,1.659,0.331,6248000.0,2657000.0,3591000.0,6248000.0,618000.0,3251000.0,0.0,0.0,0.0,2702000.0,5953000.0,0.12,5953000.0,2702000.0,2335000.0,0.05,0.048,0.05,45842000.0,,45842000.0,157124922.0,58.0,26.394,-2343000.0,-0.056,1.0,14046000.0,0.284,29650000.0,367000.0,23556000.0,,668000.0,2335000.0,2335000.0,0.0,15155000.0,11125000.0,4030000.0,155971922.0,-13216000.0,-6222000.0,90000.0,-3402000.0,0.0,-3316000.0,-9126000.0,-1335000.0,-774000.0,0.0,2108000.0,2108000.0,2108000.0,0.0,0.0,0.043,11794000.0,2252000.0,1536000.0,0.0,3.402,73.99,74.4,11188000.0,0.0,3.72,3.148,3.148,11545000.0,-37286000.0,49542000.0,49542000.0,0.0,,,,0.055,0.0,11794000.0,1.0,41927936.0,41921596.0,44638560.0,1.182,31347000.0,0.0,227000.0,0.0,0.748,7328000.0
23512,SRCL,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-06,0.0,97755000.0,,21810000.0,75945000.0,,1.236,-2112000.0,1283000.0,1283000.0,14836000.0,2292000.0,1.056,0.822,28959000.0,5499000.0,23460000.0,28959000.0,2178000.0,1370000.0,0.0,0.0,0.0,2694000.0,4064000.0,0.185,4064000.0,2694000.0,2159000.0,0.055,0.053,0.055,53651000.0,,53651000.0,184017709.0,26.0,16.427,1404000.0,0.032,1.0,7086000.0,0.323,49112000.0,535000.0,55675000.0,,1291000.0,536000.0,536000.0,0.0,44104000.0,20644000.0,23460000.0,175265709.0,508000.0,-12645000.0,49000.0,11741000.0,0.0,11790000.0,-14798000.0,-41000.0,3516000.0,0.0,2292000.0,2292000.0,2292000.0,0.0,0.0,0.105,4778000.0,2308000.0,6502000.0,0.0,3.267,30.678,29.87,23100000.0,0.0,4.032,2.628,2.576,16582000.0,-32352000.0,21922000.0,21922000.0,0.0,,,,,0.0,4778000.0,1.0,43463288.0,43394744.0,45410704.0,0.505,48643000.0,0.0,-133000.0,0.0,1.121,1166000.0
23513,SRCL,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-06,0.0,68183000.0,,17664000.0,50519000.0,,1.182,-841000.0,775000.0,775000.0,10863000.0,1553000.0,1.23,0.349,9527000.0,6281000.0,3246000.0,9527000.0,663000.0,961000.0,0.0,0.0,0.0,2174000.0,3135000.0,0.187,3135000.0,2174000.0,2056000.0,0.037,0.035,0.037,50550000.0,,50550000.0,214204734.0,41.0,25.006,-388000.0,-0.009,1.0,5878000.0,0.351,36796000.0,118000.0,25773000.0,,1037000.0,2335000.0,2335000.0,0.0,17633000.0,14366000.0,3267000.0,211685734.0,-2583000.0,-5967000.0,212000.0,3560000.0,0.0,3772000.0,-6808000.0,0.0,453000.0,0.0,1553000.0,1553000.0,1553000.0,0.0,0.0,0.093,3793000.0,2085000.0,1986000.0,0.0,4.188,52.397,51.974,12043000.0,0.0,4.938,3.685,3.677,10902000.0,-34640000.0,16741000.0,16741000.0,0.0,,,,,0.0,3793000.0,1.0,42873060.0,42778732.0,45458096.0,0.391,31387000.0,0.0,503000.0,0.0,0.734,3298000.0
23514,SRCL,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-06,0.0,62538000.0,,19000000.0,43538000.0,,1.131,-487000.0,3358000.0,3358000.0,10331000.0,1088000.0,1.721,0.312,5877000.0,2476000.0,3401000.0,5877000.0,250000.0,870000.0,0.0,0.0,0.0,1345000.0,2215000.0,0.15,2215000.0,1345000.0,1283000.0,0.025,0.025,0.025,47673000.0,,47673000.0,155857746.0,41.0,21.783,1327000.0,0.031,1.0,4432000.0,0.3,30574000.0,62000.0,23446000.0,,802000.0,2335000.0,2335000.0,0.0,14865000.0,11037000.0,3828000.0,152523746.0,444000.0,-493000.0,46000.0,-436000.0,0.0,-390000.0,-980000.0,0.0,1814000.0,0.0,1088000.0,1088000.0,1088000.0,0.0,0.0,0.074,3268000.0,1164000.0,2125000.0,0.0,3.199,50.572,51.786,11221000.0,0.0,3.625,2.858,2.864,11513000.0,-36193000.0,14763000.0,14763000.0,0.0,,,,,0.0,3268000.0,1.0,42075516.0,42159224.0,44707108.0,0.35,31964000.0,0.0,195000.0,0.0,0.758,7963000.0
23515,SRCL,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-06,0.0,60997000.0,,18453000.0,42544000.0,,1.094,-497000.0,2914000.0,2914000.0,9298000.0,780000.0,1.659,0.331,6248000.0,2657000.0,3591000.0,6248000.0,618000.0,863000.0,0.0,0.0,0.0,925000.0,1788000.0,0.135,1788000.0,925000.0,863000.0,0.018,0.018,0.018,45842000.0,,45842000.0,157124922.0,58.0,26.394,-1418000.0,-0.034,1.0,3957000.0,0.299,29650000.0,62000.0,23556000.0,,668000.0,2335000.0,2335000.0,0.0,15155000.0,11125000.0,4030000.0,155971922.0,-2460000.0,-670000.0,37000.0,-409000.0,0.0,-372000.0,-1167000.0,0.0,-921000.0,0.0,780000.0,780000.0,780000.0,0.0,0.0,0.059,3090000.0,867000.0,1536000.0,0.0,3.402,73.99,74.4,11188000.0,0.0,3.72,3.148,3.148,11545000.0,-37286000.0,13255000.0,13255000.0,0.0,,,,,0.0,3090000.0,1.0,41927936.0,41921596.0,44638560.0,0.316,31347000.0,0.0,83000.0,0.0,0.748,7328000.0
23516,SRCL,ARY,1998-12-31,1999-03-31,1998-12-31,2021-08-06,0.0,97755000.0,72368250.0,21810000.0,75945000.0,0.921,1.026,-3937000.0,1283000.0,1283000.0,45328000.0,5713000.0,1.056,0.822,28959000.0,5499000.0,23460000.0,28959000.0,2178000.0,4064000.0,0.0,0.0,0.0,7138000.0,11202000.0,0.168,11202000.0,7138000.0,6361000.0,0.135,0.128,0.135,53651000.0,49429000.0,53651000.0,222557357.0,31.0,19.868,925000.0,0.018,1.0,21353000.0,0.32,49112000.0,777000.0,55675000.0,32112500.0,1291000.0,536000.0,536000.0,0.0,44104000.0,20644000.0,23460000.0,194881357.0,-4091000.0,-19775000.0,344000.0,14456000.0,0.0,14800000.0,-23753000.0,-41000.0,4862000.0,0.0,5713000.0,5713000.0,5713000.0,0.0,0.0,0.086,14929000.0,6424000.0,6502000.0,0.0,3.632,34.112,24.889,23100000.0,0.0,3.36,2.923,2.634,16582000.0,-32352000.0,66681000.0,66681000.0,0.0,0.079,0.116,0.222,0.107,0.0,14929000.0,1.0,58000404.0,52275724.0,,1.276,48643000.0,0.0,648000.0,0.0,0.931,1166000.0
