None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
21906,STNV,MRY,1998-12-31,1998-12-31,1998-12-31,2019-09-20,0.0,245610000.0,246044500.0,29896000.0,215714000.0,0.556,10.965,-10592000.0,14061000.0,14061000.0,105888000.0,-1503000.0,1.096,1.947,135000000.0,0.0,135000000.0,135000000.0,0.0,12383000.0,0.0,,0.0,15668000.0,28051000.0,0.205,28051000.0,15668000.0,-1183000.0,-0.45,-0.45,-0.45,83331000.0,66976000.0,83331000.0,,,,7598000.0,1.0,1.0,30874000.0,0.226,0.0,16851000.0,339270000.0,346889000.0,4528000.0,0.0,0.0,0.0,162279000.0,27279000.0,135000000.0,,7948000.0,6500000.0,0.0,0.0,0.0,-6150000.0,-4092000.0,0.0,18190000.0,0.0,-1503000.0,-1503000.0,-1503000.0,1652000.0,0.0,-0.011,10300000.0,20574000.0,9306000.0,0.0,,,,209970000.0,0.0,,,,7562000.0,-10386000.0,136762000.0,136762000.0,0.0,-0.006,-0.022,0.045,0.115,0.0,9500000.0,1.0,7600000.0,7600000.0,,17.995,245610000.0,0.0,320000.0,0.0,32.317,2617000.0
21907,STNV,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-20,0.0,245610000.0,246044500.0,29896000.0,215714000.0,0.556,10.965,-10592000.0,14061000.0,14061000.0,105888000.0,-1503000.0,1.096,1.947,135000000.0,0.0,135000000.0,135000000.0,0.0,12383000.0,0.0,,0.0,15668000.0,28051000.0,0.205,28051000.0,15668000.0,-1183000.0,-0.45,-0.45,-0.45,83331000.0,66976000.0,83331000.0,,,,7598000.0,1.0,1.0,30874000.0,0.226,0.0,16851000.0,339270000.0,346889000.0,4528000.0,0.0,0.0,0.0,162279000.0,27279000.0,135000000.0,,7948000.0,6500000.0,0.0,0.0,0.0,-6150000.0,-4092000.0,0.0,18190000.0,0.0,-1503000.0,-1503000.0,-1503000.0,1652000.0,0.0,-0.011,10300000.0,20574000.0,9306000.0,0.0,,,,209970000.0,0.0,,,,7562000.0,-10386000.0,136762000.0,136762000.0,0.0,-0.006,-0.022,0.045,0.115,0.0,9500000.0,1.0,7600000.0,7600000.0,,17.995,245610000.0,0.0,320000.0,0.0,32.317,2617000.0
21908,STNV,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-20,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21909,STNV,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-20,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21910,STNV,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-20,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
21911,STNV,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-20,0.0,245610000.0,,29896000.0,215714000.0,,10.965,-3103000.0,14061000.0,14061000.0,27236000.0,3820000.0,1.096,1.947,135000000.0,0.0,135000000.0,135000000.0,0.0,3197000.0,0.0,,0.0,8072000.0,11269000.0,0.303,11269000.0,8072000.0,3872000.0,,,,83331000.0,,83331000.0,,,,-3334000.0,-0.439,1.0,9991000.0,0.268,0.0,4200000.0,339270000.0,,4528000.0,0.0,0.0,0.0,162279000.0,27279000.0,135000000.0,,-3334000.0,0.0,0.0,0.0,0.0,0.0,-3103000.0,0.0,-231000.0,0.0,3820000.0,3820000.0,3820000.0,-2348000.0,0.0,0.103,3282000.0,6709000.0,9306000.0,,,,,209970000.0,0.0,,,,7562000.0,-10386000.0,37227000.0,37227000.0,0.0,,,,,0.0,2482000.0,1.0,7600000.0,7600000.0,,4.898,245610000.0,0.0,52000.0,0.0,32.317,2617000.0
21912,STNV,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-20,,,,,,,,-2320000.0,,,24720000.0,685000.0,,,,,,,,2984000.0,,,0.0,4940000.0,7924000.0,0.242,7924000.0,4940000.0,734000.0,,,,,,,,,,8407000.0,,1.0,7979000.0,0.244,,4206000.0,,,,,,,,,,,8757000.0,6500000.0,0.0,0.0,0.0,0.0,4180000.0,0.0,10727000.0,0.0,685000.0,685000.0,685000.0,0.0,0.0,0.021,2344000.0,5635000.0,,,,,,,0.0,,,,,,32699000.0,32699000.0,0.0,,,,,0.0,2344000.0,1.0,,,,,,,49000.0,,,
21913,STNV,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-20,,,,,,,,-2720000.0,,,28812000.0,-3776000.0,,,,,,,,3296000.0,,,0.0,456000.0,3752000.0,0.103,3752000.0,456000.0,-3762000.0,,,,,,,,,,-1653000.0,,1.0,7660000.0,0.21,,4218000.0,,,,,,,,,,,-1653000.0,0.0,0.0,0.0,0.0,0.0,-2720000.0,0.0,1067000.0,0.0,-3776000.0,-3776000.0,-3776000.0,4000000.0,0.0,-0.104,2429000.0,5231000.0,,,,,,,0.0,,,,,,36472000.0,36472000.0,0.0,,,,,0.0,2429000.0,1.0,,,,,,,14000.0,,,
21914,STNV,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-20,,,,,,,,-2449000.0,,,25120000.0,-1308000.0,,,,,,,,2906000.0,,,0.0,3124000.0,6030000.0,0.199,6030000.0,3124000.0,-1103000.0,,,,,,,,,,4178000.0,,1.0,5244000.0,0.173,,4227000.0,,,,,,,,,,,4178000.0,0.0,0.0,0.0,0.0,0.0,-2449000.0,0.0,6627000.0,0.0,-1308000.0,-2233000.0,-2233000.0,0.0,0.0,-0.074,2245000.0,2999000.0,,,,,,,925000.0,,,,,,30364000.0,30364000.0,0.0,,,,,0.0,2245000.0,1.0,,,,,,,205000.0,,,
21915,STNV,ARY,1998-12-31,1999-04-20,1998-12-31,2019-09-20,0.0,245610000.0,,29896000.0,215714000.0,,5.701,-10592000.0,14061000.0,14061000.0,106688000.0,2435000.0,1.096,3.745,135000000.0,0.0,135000000.0,135000000.0,0.0,12383000.0,0.0,,0.0,19606000.0,31989000.0,0.234,31989000.0,19606000.0,2755000.0,,,,43331000.0,,43331000.0,,,,7598000.0,1.0,1.0,30074000.0,0.22,0.0,16851000.0,339270000.0,,4528000.0,0.0,0.0,0.0,162279000.0,27279000.0,135000000.0,,7948000.0,6500000.0,0.0,0.0,0.0,-6150000.0,-4092000.0,0.0,18190000.0,0.0,2435000.0,-1503000.0,-1503000.0,1652000.0,0.0,-0.011,9500000.0,20574000.0,9306000.0,,,,,209970000.0,3938000.0,,,,7562000.0,-10386000.0,136762000.0,136762000.0,0.0,,,,0.143,0.0,9500000.0,1.0,7600000.0,7600000.0,,17.995,245610000.0,0.0,320000.0,0.0,32.317,2617000.0
