None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
21773,STRM,MRY,1998-12-31,1999-01-31,1999-01-31,2021-09-14,0.0,17485050.0,19210805.0,12496752.0,4988298.0,0.625,0.664,-1137571.0,5445498.0,5445498.0,10169960.0,-10925970.0,2.4,1.99,6000000.0,0.0,6000000.0,6000000.0,1083837.0,2016596.0,0.0,0.0,0.0,-10075095.0,-8058499.0,-0.671,-8058499.0,-10075095.0,-10925970.0,-1.24,-1.24,-1.24,5847046.0,9716680.0,5847046.0,28603541.0,-3.0,-3.549,-11536281.0,-1.309,1.0,1840051.0,0.153,749701.0,850875.0,12083014.0,15789685.0,0.0,0.0,0.0,0.0,11638004.0,5206837.0,6431167.0,23975494.0,3302617.0,0.0,32138.0,6000000.0,0.0,6032138.0,7669189.0,8833963.0,-10398710.0,0.0,-10925970.0,-10925970.0,-10925970.0,0.0,0.0,-0.91,12300246.0,-10460195.0,474189.0,0.0,4.1,-2.194,-2.194,4139964.0,0.0,2.72,1.996,1.995,6026294.0,-28954686.0,12010011.0,12010011.0,3740215.0,-0.569,-1.124,-0.638,-0.839,0.0,7860031.0,1.0,8814520.0,8811019.0,8811019.0,1.363,16735349.0,0.0,0.0,0.0,1.899,7289915.0
21774,STRM,MRT,1998-12-31,1999-01-31,1999-01-31,2021-09-14,0.0,17485050.0,19210805.0,12496752.0,4988298.0,0.625,0.664,-1137571.0,5445498.0,5445498.0,10169960.0,-10925970.0,2.4,1.99,6000000.0,0.0,6000000.0,6000000.0,1083837.0,2016596.0,0.0,0.0,0.0,-10075095.0,-8058499.0,-0.671,-8058499.0,-10075095.0,-10925970.0,-1.24,-1.24,-1.24,5847046.0,9716680.0,5847046.0,28603541.0,-3.0,-3.549,-11536281.0,-1.309,1.0,1840051.0,0.153,749701.0,850875.0,12083014.0,15789685.0,0.0,0.0,0.0,0.0,11638004.0,5206837.0,6431167.0,23975494.0,3302617.0,0.0,32138.0,6000000.0,0.0,6032138.0,7669189.0,8833963.0,-10398710.0,0.0,-10925970.0,-10925970.0,-10925970.0,0.0,0.0,-0.91,12300246.0,-10460195.0,474189.0,0.0,4.1,-2.194,-2.194,4139964.0,0.0,2.72,1.996,1.995,6026294.0,-28954686.0,12010011.0,12010011.0,3740215.0,-0.569,-1.124,-0.638,-0.839,0.0,7860031.0,1.0,8814520.0,8811019.0,8811019.0,1.363,16735349.0,0.0,0.0,0.0,1.899,7289915.0
21775,STRM,MRT,1998-09-30,1998-10-31,1998-10-31,2021-09-14,25152.0,19107079.0,20389573.0,13735844.0,5371235.0,0.594,0.98,-3173686.0,1371953.0,1371953.0,10222343.0,-11786791.0,3.243,1.211,6000000.0,0.0,6000000.0,6000000.0,1053187.0,1802624.0,0.0,0.0,0.0,-11329291.0,-9526667.0,-0.786,-9526667.0,-11329291.0,-11786791.0,-1.35,-1.35,-1.35,8640188.0,12458939.0,8640188.0,15770234.0,-1.0,-1.655,-15247943.0,-1.73,1.0,1892292.0,0.156,692368.0,457500.0,18807700.0,16284223.0,0.0,5014435.0,5014435.0,0.0,10466891.0,4235058.0,6231833.0,11018150.0,691354.0,0.0,0.0,0.0,0.0,0.0,6733473.0,10019640.0,-12074257.0,0.0,-11786791.0,-11786791.0,-11786791.0,0.0,0.0,-0.973,13760612.0,-11868320.0,319172.0,0.0,1.275,-0.935,-0.926,4591821.0,0.0,1.25,0.909,0.909,6072853.0,-26186696.0,12114635.0,12114635.0,5140620.0,-0.578,-0.946,-0.696,-0.935,0.0,8319992.0,1.0,8814520.0,8814520.0,8814520.0,1.374,18414711.0,0.0,0.0,0.0,2.089,9500786.0
21776,STRM,MRT,1998-06-30,1998-07-31,1998-07-31,2021-09-14,14887.0,21619168.0,21826563.0,15885339.0,5733829.0,0.532,1.219,-3775800.0,1247916.0,1247916.0,9580403.0,-12339610.0,3.278,1.013,6000000.0,0.0,6000000.0,6000000.0,1060037.0,1571709.0,0.0,0.0,0.0,-12272110.0,-10700401.0,-0.922,-10700401.0,-12272110.0,-12339610.0,-1.41,-1.41,-1.41,10740816.0,15419062.0,10740816.0,24818021.0,-2.0,-2.319,-16435250.0,-1.866,1.0,2026618.0,0.175,635034.0,67500.0,20890366.0,16419476.0,0.0,7021980.0,7021980.0,0.0,10878352.0,4845852.0,6032500.0,26418000.0,1247916.0,0.0,0.0,0.0,0.0,0.0,7875228.0,11764030.0,-12659450.0,0.0,-12339610.0,-12339610.0,-12339610.0,0.0,0.0,-1.063,15031129.0,-13004511.0,570532.0,0.0,2.46,-2.141,-2.128,5012725.0,0.0,3.0,2.276,2.277,6135429.0,-24075803.0,11607021.0,11607021.0,5722541.0,-0.565,-0.8,-0.747,-1.057,0.0,9008588.0,1.0,8806000.0,8808871.0,8808871.0,1.318,20984134.0,0.0,0.0,0.0,2.382,11039487.0
21777,STRM,MRT,1998-03-31,1998-04-30,1998-04-30,2021-09-14,33878.0,18631923.0,23149086.0,8134145.0,10497778.0,0.439,1.549,-4351302.0,1599979.0,1599979.0,8774043.0,-12959830.0,1.629,0.366,0.0,0.0,0.0,0.0,1076224.0,1258163.0,0.0,0.0,0.0,-12959830.0,-11701667.0,-1.151,-11701667.0,-12959830.0,-12959830.0,-1.48,-1.48,-1.48,13638672.0,18523589.0,13638672.0,37484119.0,-3.0,-3.203,-16381544.0,-1.86,1.0,1393542.0,0.137,661034.0,0.0,11377659.0,16891024.0,0.0,4759221.0,313729.0,4445492.0,4993251.0,4993251.0,0.0,39627000.0,605196.0,0.0,-259563.0,0.0,0.0,-259563.0,12895001.0,17359630.0,-12030242.0,0.0,-12959830.0,-12959830.0,-12959830.0,0.0,0.0,-1.275,15274663.0,-13881121.0,1159541.0,0.0,2.905,-3.058,-3.041,5306358.0,0.0,4.5,3.897,3.897,5115348.0,-21164800.0,10167585.0,10167585.0,6021954.0,-0.56,-0.7,-0.767,-1.275,0.0,9252709.0,1.0,8806000.0,8806000.0,8806000.0,1.155,17970889.0,0.0,0.0,0.0,2.041,3140894.0
21778,STRM,MRQ,1998-12-31,1999-01-31,1999-01-31,2021-09-14,0.0,17485050.0,,12496752.0,4988298.0,,0.663,-100420.0,5445498.0,5445498.0,2241943.0,-2767990.0,2.4,1.99,6000000.0,0.0,6000000.0,6000000.0,1083837.0,494943.0,0.0,0.0,0.0,-2374615.0,-1879672.0,-0.734,-1879672.0,-2374615.0,-2767990.0,-0.31,-0.31,-0.31,5847046.0,,5847046.0,28603541.0,-3.0,-3.549,-904151.0,-0.103,1.0,318487.0,0.124,749701.0,393375.0,12083014.0,,0.0,0.0,0.0,0.0,11638004.0,5206837.0,6431167.0,23975494.0,4073545.0,0.0,0.0,0.0,0.0,0.0,4877276.0,4989283.0,-803731.0,0.0,-2767990.0,-2767990.0,-2767990.0,0.0,0.0,-1.081,2786461.0,-2467974.0,474189.0,0.0,4.1,-2.194,-2.194,4139964.0,0.0,2.72,1.996,1.995,6026294.0,-28954686.0,2560430.0,2560430.0,619159.0,,,,,0.0,1767302.0,1.0,8814520.0,8814508.0,8814508.0,0.29,16735349.0,0.0,0.0,0.0,1.899,7289915.0
21779,STRM,MRQ,1998-09-30,1998-10-31,1998-10-31,2021-09-14,25152.0,19107079.0,,13735844.0,5371235.0,,0.98,-118327.0,1371953.0,1371953.0,2411968.0,-2110892.0,3.243,1.211,6000000.0,0.0,6000000.0,6000000.0,1053187.0,481898.0,0.0,0.0,0.0,-1720892.0,-1238994.0,-0.437,-1238994.0,-1720892.0,-2110892.0,-0.24,-0.24,-0.24,8640188.0,,8640188.0,15770234.0,-1.0,-1.655,-1892796.0,-0.215,1.0,424361.0,0.15,692368.0,390000.0,18807700.0,,0.0,5014435.0,5014435.0,0.0,10466891.0,4235058.0,6231833.0,11018150.0,124037.0,0.0,0.0,0.0,0.0,0.0,1898506.0,2017810.0,-1774469.0,0.0,-2110892.0,-2110892.0,-2110892.0,0.0,0.0,-0.744,2239365.0,-1815004.0,319172.0,0.0,1.275,-0.935,-0.926,4591821.0,0.0,1.25,0.909,0.909,6072853.0,-26186696.0,2836329.0,2836329.0,722443.0,,,,,0.0,1516922.0,1.0,8814520.0,8814520.0,8814520.0,0.322,18414711.0,0.0,0.0,0.0,2.089,9500786.0
21780,STRM,MRQ,1998-06-30,1998-07-31,1998-07-31,2021-09-14,14887.0,21619168.0,,15885339.0,5733829.0,,1.219,-242500.0,1247916.0,1247916.0,2588383.0,-2911003.0,3.278,1.013,6000000.0,0.0,6000000.0,6000000.0,1060037.0,562132.0,0.0,0.0,0.0,-2843503.0,-2281371.0,-0.758,-2281371.0,-2843503.0,-2911003.0,-0.33,-0.33,-0.33,10740816.0,,10740816.0,24818021.0,-2.0,-2.319,-4101276.0,-0.466,1.0,419839.0,0.14,635034.0,67500.0,20890366.0,,0.0,7021980.0,7021980.0,0.0,10878352.0,4845852.0,6032500.0,26418000.0,-352063.0,0.0,0.0,0.0,0.0,0.0,-2525425.0,-2281750.0,-3858776.0,0.0,-2911003.0,-2911003.0,-2911003.0,0.0,0.0,-0.968,3357708.0,-2937869.0,570532.0,0.0,2.46,-2.141,-2.128,5012725.0,0.0,3.0,2.276,2.277,6135429.0,-24075803.0,3008222.0,3008222.0,948122.0,,,,,0.0,2109586.0,1.0,8806000.0,8808871.0,8808871.0,0.341,20984134.0,0.0,0.0,0.0,2.382,11039487.0
21781,STRM,MRQ,1998-03-31,1998-04-30,1998-04-30,2021-09-14,33878.0,18631923.0,,8134145.0,10497778.0,,1.549,-676324.0,1599979.0,1599979.0,2927666.0,-3136085.0,1.629,0.366,0.0,0.0,0.0,0.0,1076224.0,477623.0,0.0,0.0,0.0,-3136085.0,-2658462.0,-0.737,-2658462.0,-3136085.0,-3136085.0,-0.36,-0.36,-0.36,13638672.0,,13638672.0,37484119.0,-3.0,-3.203,-4638058.0,-0.527,1.0,677364.0,0.188,661034.0,0.0,11377659.0,,0.0,4759221.0,313729.0,4445492.0,4993251.0,4993251.0,0.0,39627000.0,-542902.0,0.0,0.0,0.0,0.0,0.0,3418832.0,4108620.0,-3961734.0,0.0,-3136085.0,-3136085.0,-3136085.0,0.0,0.0,-0.87,3916712.0,-3239348.0,1159541.0,0.0,2.905,-3.058,-3.041,5306358.0,0.0,4.5,3.897,3.897,5115348.0,-21164800.0,3605030.0,3605030.0,1450491.0,,,,,0.0,2466221.0,1.0,8806000.0,8806000.0,8806000.0,0.409,17970889.0,0.0,0.0,0.0,2.041,3140894.0
21782,STRM,ARY,1998-12-31,1999-04-30,1999-01-31,2021-09-14,0.0,17485050.0,19210805.0,12496752.0,4988298.0,0.625,0.664,-1137571.0,5445498.0,5445498.0,10169960.0,-10925970.0,2.4,1.99,6000000.0,0.0,6000000.0,6000000.0,1083837.0,2016596.0,0.0,0.0,0.0,-10075095.0,-8058499.0,-0.671,-8058499.0,-10075095.0,-10925970.0,-1.24,-1.24,-1.24,5847046.0,9716680.0,5847046.0,15979912.0,-2.0,-1.983,-11536281.0,-1.309,1.0,1840051.0,0.153,749701.0,850875.0,12083014.0,15789685.0,0.0,0.0,0.0,0.0,11638004.0,5206837.0,6431167.0,15425410.0,3302617.0,0.0,32138.0,6000000.0,0.0,6032138.0,7669189.0,8833963.0,-10398710.0,0.0,-10925970.0,-10925970.0,-10925970.0,0.0,0.0,-0.91,12300246.0,-10460195.0,474189.0,0.0,2.638,-1.412,-1.411,4139964.0,0.0,1.75,1.284,1.284,6026294.0,-28954686.0,12010011.0,12010011.0,3740215.0,-0.569,-1.124,-0.638,-0.839,0.0,7860031.0,1.0,8814520.0,8811019.0,8811019.0,1.363,16735349.0,0.0,0.0,0.0,1.899,7289915.0
