None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
21710,STRT,MRY,1998-12-31,1998-06-28,1998-06-28,2021-09-02,-1863000.0,107998000.0,101833500.0,68058000.0,39940000.0,1.834,12.333,-7380000.0,14754000.0,14754000.0,146865000.0,13489000.0,2.711,0.534,0.0,0.0,0.0,0.0,0.0,6776000.0,0.0,0.0,0.0,21439000.0,28215000.0,0.151,28215000.0,21439000.0,21420000.0,2.36,2.3,2.36,70398000.0,63245500.0,70398000.0,169433330.0,8.0,6.005,18571000.0,3.253,1.0,39940000.0,0.214,0.0,19000.0,68139000.0,72432500.0,14962000.0,0.0,0.0,0.0,37600000.0,25105000.0,12495000.0,173927330.0,14350000.0,0.0,816000.0,-5037000.0,0.0,-4221000.0,-7380000.0,0.0,25951000.0,0.0,13489000.0,13489000.0,13489000.0,0.0,0.0,0.072,18925000.0,21015000.0,12457000.0,0.0,2.471,12.894,12.911,39940000.0,0.0,30.47,0.931,0.931,25301000.0,32436000.0,186805000.0,186805000.0,0.0,0.132,0.213,0.296,0.115,0.0,18925000.0,1.0,5708150.0,5708150.0,,32.726,107998000.0,2218000.0,7931000.0,664000.0,18.92,42953000.0
21711,STRT,MRT,1998-12-31,1998-12-27,1998-12-27,2021-09-02,-1863000.0,116742000.0,108808500.0,76566000.0,40176000.0,1.738,13.384,-7156000.0,17537000.0,17537000.0,146588000.0,15133000.0,2.699,0.555,0.0,0.0,0.0,0.0,0.0,6990000.0,0.0,0.0,0.0,24142000.0,31132000.0,0.165,31132000.0,24142000.0,24142000.0,2.66,2.59,2.66,75081000.0,70436000.0,75081000.0,159063003.0,7.0,5.109,18821000.0,3.355,1.0,42518000.0,0.225,0.0,0.0,70835000.0,71209500.0,15711000.0,0.0,0.0,0.0,41661000.0,28370000.0,13291000.0,169692003.0,14807000.0,0.0,-3014000.0,-1000000.0,0.0,-4014000.0,-7156000.0,0.0,25977000.0,0.0,15133000.0,15133000.0,15133000.0,0.0,0.0,0.08,19253000.0,23265000.0,15688000.0,0.0,2.26,11.213,11.372,40176000.0,0.0,30.25,0.897,0.897,29850000.0,39911000.0,189106000.0,189106000.0,0.0,0.139,0.215,0.339,0.128,0.0,19253000.0,1.0,5609653.0,5609653.0,,33.711,116742000.0,0.0,9009000.0,357000.0,20.811,48196000.0
21712,STRT,MRT,1998-09-30,1998-09-27,1998-09-27,2021-09-02,-1863000.0,107583000.0,104725000.0,68377000.0,39206000.0,1.76,12.244,-6460000.0,10629000.0,10629000.0,144012000.0,13904000.0,2.775,0.536,0.0,0.0,0.0,0.0,0.0,6763000.0,0.0,0.0,0.0,22082000.0,28845000.0,0.157,28845000.0,22082000.0,22075000.0,2.43,2.37,2.43,70059000.0,67406250.0,70059000.0,136188614.0,6.0,4.721,15730000.0,2.749,1.0,40287000.0,0.219,0.0,7000.0,72314000.0,71942500.0,15008000.0,0.0,0.0,0.0,37524000.0,24640000.0,12884000.0,150942614.0,10451000.0,0.0,-2904000.0,-2375000.0,0.0,-5279000.0,-6460000.0,0.0,22190000.0,0.0,13904000.0,13904000.0,13904000.0,0.0,0.0,0.075,18964000.0,21323000.0,13313000.0,0.0,2.155,10.856,10.856,39206000.0,0.0,26.38,0.819,0.819,29113000.0,35249000.0,184299000.0,184299000.0,0.0,0.133,0.206,0.307,0.12,0.0,18964000.0,1.0,5721858.0,5721858.0,,32.21,107583000.0,0.0,8171000.0,357000.0,18.802,43737000.0
21713,STRT,MRT,1998-06-30,1998-06-28,1998-06-28,2021-09-02,-1863000.0,107998000.0,101833500.0,68058000.0,39940000.0,1.834,12.333,-7380000.0,14754000.0,14754000.0,146865000.0,13489000.0,2.711,0.534,0.0,0.0,0.0,0.0,0.0,6776000.0,0.0,0.0,0.0,21439000.0,28215000.0,0.151,28215000.0,21439000.0,21420000.0,2.36,2.3,2.36,70398000.0,63245500.0,70398000.0,169433330.0,8.0,6.005,18571000.0,3.253,1.0,39940000.0,0.214,0.0,19000.0,68139000.0,72432500.0,14962000.0,0.0,0.0,0.0,37600000.0,25105000.0,12495000.0,173927330.0,14350000.0,0.0,816000.0,-5037000.0,0.0,-4221000.0,-7380000.0,0.0,25951000.0,0.0,13489000.0,13489000.0,13489000.0,0.0,0.0,0.072,18925000.0,21015000.0,12457000.0,0.0,2.471,12.894,12.911,39940000.0,0.0,30.47,0.931,0.931,25301000.0,32436000.0,186805000.0,186805000.0,0.0,0.132,0.213,0.296,0.115,0.0,18925000.0,1.0,5708150.0,5708150.0,,32.726,107998000.0,2218000.0,7931000.0,664000.0,18.92,42953000.0
21714,STRT,MRT,1998-03-31,1998-03-29,1998-03-29,2021-09-02,-1863000.0,102911000.0,,62756000.0,40155000.0,,11.556,-7346000.0,4494000.0,4494000.0,144333000.0,12785000.0,2.524,0.554,0.0,0.0,0.0,0.0,0.0,6669000.0,0.0,0.0,0.0,20223000.0,26892000.0,0.147,26892000.0,20223000.0,20157000.0,2.24,2.19,2.24,66206000.0,,66206000.0,145795612.0,7.0,5.422,3851000.0,0.672,1.0,38755000.0,0.212,0.0,66000.0,73550000.0,,14212000.0,0.0,0.0,0.0,36705000.0,24867000.0,11838000.0,147525612.0,4061000.0,0.0,347000.0,-135000.0,0.0,212000.0,-7346000.0,0.0,11197000.0,-2000.0,12785000.0,12785000.0,12785000.0,0.0,0.0,0.07,18814000.0,19941000.0,12591000.0,0.0,2.228,11.539,11.496,39969000.0,0.0,25.75,0.806,0.806,31423000.0,28613000.0,183088000.0,183088000.0,0.0,,,,0.11,0.0,18814000.0,1.0,5729150.0,5729150.0,,31.957,102911000.0,186000.0,7372000.0,0.0,17.963,37889000.0
21715,STRT,MRQ,1998-12-31,1998-12-27,1998-12-27,2021-09-02,-1863000.0,116742000.0,,76566000.0,40176000.0,,13.384,-2801000.0,17537000.0,17537000.0,42156000.0,4662000.0,2.699,0.555,0.0,0.0,0.0,0.0,0.0,1753000.0,0.0,0.0,0.0,7520000.0,9273000.0,0.17,9273000.0,7520000.0,7520000.0,0.83,0.81,0.83,75081000.0,,75081000.0,159063003.0,7.0,5.109,6548000.0,1.167,1.0,12373000.0,0.227,0.0,0.0,70835000.0,,15711000.0,0.0,0.0,0.0,41661000.0,28370000.0,13291000.0,169692003.0,6908000.0,0.0,360000.0,0.0,0.0,360000.0,-2801000.0,0.0,9349000.0,0.0,4662000.0,4662000.0,4662000.0,0.0,0.0,0.085,5030000.0,7343000.0,15688000.0,0.0,2.26,11.213,11.372,40176000.0,0.0,30.25,0.897,0.897,29850000.0,39911000.0,54529000.0,54529000.0,0.0,,,,,0.0,5030000.0,1.0,5609653.0,5609653.0,,9.721,116742000.0,0.0,2858000.0,357000.0,20.811,48196000.0
21716,STRT,MRQ,1998-09-30,1998-09-27,1998-09-27,2021-09-02,-1863000.0,107583000.0,,68377000.0,39206000.0,,12.244,-1000000.0,10629000.0,10629000.0,31527000.0,2813000.0,2.775,0.536,0.0,0.0,0.0,0.0,0.0,1728000.0,0.0,0.0,0.0,4465000.0,6193000.0,0.153,6193000.0,4465000.0,4465000.0,0.49,0.48,0.49,70059000.0,,70059000.0,136188614.0,6.0,4.721,-973000.0,-0.17,1.0,8835000.0,0.219,0.0,0.0,72314000.0,,15008000.0,0.0,0.0,0.0,37524000.0,24640000.0,12884000.0,150942614.0,-4125000.0,0.0,-3152000.0,0.0,0.0,-3152000.0,-1000000.0,0.0,27000.0,0.0,2813000.0,2813000.0,2813000.0,0.0,0.0,0.07,4686000.0,4149000.0,13313000.0,0.0,2.155,10.856,10.856,39206000.0,0.0,26.38,0.819,0.819,29113000.0,35249000.0,40362000.0,40362000.0,0.0,,,,,0.0,4686000.0,1.0,5721858.0,5721858.0,,7.054,107583000.0,0.0,1652000.0,357000.0,18.802,43737000.0
21717,STRT,MRQ,1998-06-30,1998-06-28,1998-06-28,2021-09-02,-1863000.0,107998000.0,,68058000.0,39940000.0,,12.333,-1674000.0,14754000.0,14754000.0,36108000.0,3823000.0,2.711,0.534,0.0,0.0,0.0,0.0,0.0,1707000.0,0.0,0.0,0.0,6067000.0,7774000.0,0.166,7774000.0,6067000.0,6067000.0,0.67,0.65,0.67,70398000.0,,70398000.0,169433330.0,8.0,6.005,9891000.0,1.733,1.0,10687000.0,0.228,0.0,0.0,68139000.0,,14962000.0,0.0,0.0,0.0,37600000.0,25105000.0,12495000.0,173927330.0,10260000.0,0.0,369000.0,0.0,0.0,369000.0,-1674000.0,0.0,11565000.0,0.0,3823000.0,3823000.0,3823000.0,0.0,0.0,0.082,4865000.0,5822000.0,12457000.0,0.0,2.471,12.894,12.911,39940000.0,0.0,30.47,0.931,0.931,25301000.0,32436000.0,46795000.0,46795000.0,0.0,,,,,0.0,4865000.0,1.0,5708150.0,5708150.0,,8.198,107998000.0,2218000.0,2244000.0,664000.0,18.92,42953000.0
21718,STRT,MRQ,1998-03-31,1998-03-29,1998-03-29,2021-09-02,-1863000.0,102911000.0,,62756000.0,40155000.0,,11.556,-1681000.0,4494000.0,4494000.0,36797000.0,3835000.0,2.524,0.554,0.0,0.0,0.0,0.0,0.0,1802000.0,0.0,0.0,0.0,6090000.0,7892000.0,0.166,7892000.0,6090000.0,6090000.0,0.67,0.65,0.67,66206000.0,,66206000.0,145795612.0,7.0,5.422,3355000.0,0.586,1.0,10623000.0,0.224,0.0,0.0,73550000.0,,14212000.0,0.0,0.0,0.0,36705000.0,24867000.0,11838000.0,147525612.0,1764000.0,0.0,-591000.0,-1000000.0,0.0,-1591000.0,-1681000.0,0.0,5036000.0,0.0,3835000.0,3835000.0,3835000.0,0.0,0.0,0.081,4672000.0,5951000.0,12591000.0,0.0,2.228,11.539,11.496,39969000.0,0.0,25.75,0.806,0.806,31423000.0,28613000.0,47420000.0,47420000.0,0.0,,,,,0.0,4672000.0,1.0,5729150.0,5729150.0,,8.277,102911000.0,186000.0,2255000.0,0.0,17.963,37889000.0
21719,STRT,ARY,1998-12-31,1998-09-09,1998-06-28,2021-09-02,-1863000.0,107998000.0,,68058000.0,39940000.0,,12.303,-7380000.0,14754000.0,14754000.0,146865000.0,13489000.0,2.711,0.534,0.0,0.0,0.0,0.0,0.0,6776000.0,0.0,0.0,0.0,21439000.0,28215000.0,0.151,28215000.0,21439000.0,21420000.0,2.36,2.3,2.36,70398000.0,,70398000.0,140079477.0,7.0,4.965,18571000.0,3.246,1.0,39940000.0,0.214,0.0,19000.0,68139000.0,,14962000.0,0.0,0.0,0.0,37600000.0,25105000.0,12495000.0,154833477.0,14350000.0,0.0,816000.0,-5037000.0,0.0,-4221000.0,-7380000.0,0.0,25951000.0,0.0,13489000.0,13489000.0,13489000.0,0.0,0.0,0.072,18925000.0,21015000.0,12457000.0,0.0,2.199,11.478,11.466,39940000.0,0.0,27.06,0.829,0.829,25301000.0,32436000.0,186805000.0,186805000.0,0.0,,,,0.115,0.0,18925000.0,1.0,5721858.0,5721858.0,,32.648,107998000.0,2218000.0,7931000.0,664000.0,18.875,42953000.0
