None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
20553,SWFT1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-22,0.0,636283000.0,565911000.0,159919000.0,476364000.0,1.543,5.154,-174769000.0,6530000.0,6530000.0,308032000.0,55511000.0,2.028,0.944,143918000.0,710000.0,143208000.0,143918000.0,0.0,42568000.0,0.0,0.0,0.0,99583000.0,142151000.0,0.163,142151000.0,99583000.0,93306000.0,0.87,0.85,0.87,327353000.0,304171500.0,327353000.0,1278113764.0,13.0,8.991,-59900000.0,-0.943,1.0,565401000.0,0.647,7817000.0,6277000.0,686983000.0,580425250.0,4866000.0,0.0,0.0,0.0,308930000.0,78871000.0,230059000.0,1186996764.0,804000.0,0.0,-5916000.0,63213000.0,0.0,57297000.0,-171362000.0,0.0,114869000.0,0.0,55511000.0,55511000.0,55511000.0,0.0,0.0,0.064,466709000.0,98692000.0,27100000.0,0.0,3.626,21.383,21.48,466777000.0,0.0,18.688,1.359,1.359,123817000.0,216918000.0,873433000.0,873433000.0,0.0,0.098,0.182,0.172,0.114,3349000.0,371872000.0,1.0,63518222.0,63518222.0,,13.751,628466000.0,4010000.0,37795000.0,58760000.0,9.894,81048000.0
20554,SWFT1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-22,0.0,636283000.0,565911000.0,159919000.0,476364000.0,1.543,5.154,-174769000.0,6530000.0,6530000.0,308032000.0,55511000.0,2.028,0.944,143918000.0,710000.0,143208000.0,143918000.0,0.0,42568000.0,0.0,0.0,0.0,99583000.0,142151000.0,0.163,142151000.0,99583000.0,93306000.0,0.87,0.85,0.87,327353000.0,304171500.0,327353000.0,1278113764.0,13.0,8.991,-59900000.0,-0.943,1.0,565401000.0,0.647,7817000.0,6277000.0,686983000.0,580425250.0,4866000.0,0.0,0.0,0.0,308930000.0,78871000.0,230059000.0,1186996764.0,804000.0,0.0,-5916000.0,63213000.0,0.0,57297000.0,-171362000.0,0.0,114869000.0,0.0,55511000.0,55511000.0,55511000.0,0.0,0.0,0.064,466709000.0,98692000.0,27100000.0,0.0,3.626,21.383,21.48,466777000.0,0.0,18.688,1.359,1.359,123817000.0,216918000.0,873433000.0,873433000.0,0.0,0.098,0.182,0.172,0.114,3349000.0,371872000.0,1.0,63518222.0,63518222.0,,13.751,628466000.0,4010000.0,37795000.0,58760000.0,9.894,81048000.0
20555,SWFT1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-22,0.0,568961000.0,524623750.0,142211000.0,426750000.0,1.569,4.758,-127696000.0,4308000.0,4308000.0,293278000.0,51091000.0,1.587,0.861,95425000.0,1198000.0,94227000.0,95425000.0,0.0,39685000.0,0.0,0.0,0.0,91352000.0,131037000.0,0.159,131037000.0,91352000.0,85856000.0,0.803,0.77,0.803,305731000.0,290877000.0,305731000.0,833461264.0,9.0,6.361,-10823000.0,-0.168,1.0,529985000.0,0.644,8111000.0,5496000.0,562385000.0,528485000.0,2975000.0,0.0,0.0,0.0,263230000.0,89582000.0,173648000.0,744270264.0,-5779000.0,-3749000.0,3194000.0,11898000.0,0.0,15092000.0,-137744000.0,-9582000.0,116873000.0,0.0,51091000.0,51091000.0,51091000.0,0.0,0.0,0.062,439521000.0,90464000.0,31490000.0,0.0,2.434,14.568,14.425,416742000.0,0.0,11.583,0.904,0.904,112306000.0,200499000.0,823263000.0,823263000.0,0.0,0.097,0.176,0.173,0.111,2765000.0,345147000.0,1.0,64253567.0,64253567.0,,12.813,560850000.0,7472000.0,34765000.0,53273000.0,8.729,52629000.0
20556,SWFT1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-22,0.0,543411000.0,,145015000.0,398396000.0,,4.677,-98113000.0,9009000.0,9009000.0,280923000.0,48329000.0,1.878,0.814,98200000.0,4485000.0,93715000.0,98200000.0,0.0,38658000.0,0.0,0.0,0.0,86729000.0,125387000.0,0.16,125387000.0,86729000.0,81209000.0,0.763,0.73,0.763,299587000.0,,299587000.0,935129233.0,11.0,7.458,-3502000.0,-0.055,1.0,503227000.0,0.642,8300000.0,5520000.0,547102000.0,,2637000.0,0.0,0.0,0.0,243824000.0,77200000.0,166624000.0,846131233.0,8155000.0,-3749000.0,3238000.0,8897000.0,0.0,12135000.0,-98591000.0,0.0,94611000.0,0.0,48329000.0,48329000.0,48329000.0,0.0,0.0,0.062,417243000.0,85984000.0,23797000.0,0.0,2.824,17.508,17.311,387850000.0,0.0,13.208,1.079,1.079,111907000.0,184855000.0,784150000.0,784150000.0,0.0,,,,0.111,2765000.0,326134000.0,1.0,64060425.0,64060425.0,,12.241,535111000.0,6175000.0,32880000.0,48034000.0,8.353,67815000.0
20557,SWFT1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-22,0.0,514989000.0,,139070000.0,375919000.0,,4.454,-121447000.0,9165000.0,9165000.0,263498000.0,44849000.0,1.979,0.813,98163000.0,5988000.0,92175000.0,98163000.0,0.0,38716000.0,0.0,0.0,0.0,80525000.0,119241000.0,0.159,119241000.0,80525000.0,75354000.0,0.71,0.68,0.71,284015000.0,,284015000.0,1094705240.0,14.0,9.181,-31095000.0,-0.488,1.0,485675000.0,0.648,8490000.0,5171000.0,525231000.0,,4478000.0,0.0,0.0,0.0,230974000.0,70266000.0,160708000.0,1020162240.0,4123000.0,-3749000.0,2802000.0,32882000.0,0.0,35684000.0,-121913000.0,0.0,90352000.0,0.0,44849000.0,44849000.0,44849000.0,0.0,0.0,0.06,405798000.0,79877000.0,17535000.0,0.0,3.592,22.747,22.535,365390000.0,0.0,16.0,1.362,1.362,101096000.0,170819000.0,749173000.0,749173000.0,0.0,,,,0.107,2765000.0,316185000.0,1.0,63760140.0,63760140.0,,11.75,506499000.0,5639000.0,30505000.0,45870000.0,7.944,68804000.0
20558,SWFT1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-22,0.0,636283000.0,,159919000.0,476364000.0,,5.154,-64330000.0,6530000.0,6530000.0,82125000.0,16419000.0,2.028,0.944,143918000.0,710000.0,143208000.0,143918000.0,0.0,12172000.0,0.0,0.0,0.0,29556000.0,41728000.0,0.175,41728000.0,29556000.0,27599000.0,0.26,0.25,0.26,327353000.0,,327353000.0,1278113764.0,13.0,8.991,-48166000.0,-0.758,1.0,156684000.0,0.656,7817000.0,1957000.0,686983000.0,,4866000.0,0.0,0.0,0.0,308930000.0,78871000.0,230059000.0,1186996764.0,2222000.0,0.0,-7810000.0,48493000.0,0.0,40683000.0,-54625000.0,9582000.0,16164000.0,0.0,16419000.0,16419000.0,16419000.0,0.0,0.0,0.069,127323000.0,29361000.0,27100000.0,0.0,3.626,21.383,21.48,466777000.0,0.0,18.688,1.359,1.359,123817000.0,216918000.0,238809000.0,238809000.0,0.0,,,,,3349000.0,103364000.0,1.0,63518222.0,63518222.0,,3.76,628466000.0,4010000.0,11180000.0,58760000.0,9.894,81048000.0
20559,SWFT1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-22,0.0,568961000.0,,142211000.0,426750000.0,,4.758,-38861000.0,4308000.0,4308000.0,77763000.0,15644000.0,1.587,0.861,95425000.0,1198000.0,94227000.0,95425000.0,0.0,10882000.0,0.0,0.0,0.0,27605000.0,38487000.0,0.169,38487000.0,27605000.0,26299000.0,0.24,0.24,0.24,305731000.0,,305731000.0,833461264.0,9.0,6.361,7622000.0,0.119,1.0,149421000.0,0.658,8111000.0,1306000.0,562385000.0,,2975000.0,0.0,0.0,0.0,263230000.0,89582000.0,173648000.0,744270264.0,-4701000.0,0.0,34000.0,-2775000.0,0.0,-2741000.0,-48443000.0,-9582000.0,46483000.0,0.0,15644000.0,15644000.0,15644000.0,0.0,0.0,0.069,122112000.0,27309000.0,31490000.0,0.0,2.434,14.568,14.425,416742000.0,0.0,11.583,0.904,0.904,112306000.0,200499000.0,227184000.0,227184000.0,0.0,,,,,0.0,98347000.0,1.0,64253567.0,64253567.0,,3.536,560850000.0,7472000.0,10655000.0,53273000.0,8.729,52629000.0
20560,SWFT1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-22,0.0,543411000.0,,145015000.0,398396000.0,,4.677,-30694000.0,9009000.0,9009000.0,78623000.0,14036000.0,1.878,0.814,98200000.0,4485000.0,93715000.0,98200000.0,0.0,9395000.0,0.0,0.0,0.0,25266000.0,34661000.0,0.161,34661000.0,25266000.0,23591000.0,0.22,0.21,0.22,299587000.0,,299587000.0,935129233.0,11.0,7.458,-1914000.0,-0.03,1.0,137209000.0,0.636,8300000.0,1675000.0,547102000.0,,2637000.0,0.0,0.0,0.0,243824000.0,77200000.0,166624000.0,846131233.0,-156000.0,0.0,1721000.0,37000.0,0.0,1758000.0,-30694000.0,0.0,28780000.0,0.0,14036000.0,14036000.0,14036000.0,0.0,0.0,0.065,112123000.0,25086000.0,23797000.0,0.0,2.824,17.508,17.311,387850000.0,0.0,13.208,1.079,1.079,111907000.0,184855000.0,215832000.0,215832000.0,0.0,,,,,0.0,88222000.0,1.0,64060425.0,64060425.0,,3.369,535111000.0,6175000.0,9555000.0,48034000.0,8.353,67815000.0
20561,SWFT1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-22,0.0,514989000.0,,139070000.0,375919000.0,,4.454,-40884000.0,9165000.0,9165000.0,69521000.0,9412000.0,1.979,0.813,98163000.0,5988000.0,92175000.0,98163000.0,0.0,10119000.0,0.0,0.0,0.0,17155000.0,27274000.0,0.142,27274000.0,17155000.0,15817000.0,0.15,0.14,0.15,284015000.0,,284015000.0,1094705240.0,14.0,9.181,-17442000.0,-0.274,1.0,122087000.0,0.637,8490000.0,1338000.0,525231000.0,,4478000.0,0.0,0.0,0.0,230974000.0,70266000.0,160708000.0,1020162240.0,3439000.0,0.0,139000.0,17458000.0,0.0,17597000.0,-37600000.0,0.0,23442000.0,0.0,9412000.0,9412000.0,9412000.0,0.0,0.0,0.049,105151000.0,16936000.0,17535000.0,0.0,3.592,22.747,22.535,365390000.0,0.0,16.0,1.362,1.362,101096000.0,170819000.0,191608000.0,191608000.0,0.0,,,,,0.0,81938000.0,1.0,63760140.0,63760140.0,,3.005,506499000.0,5639000.0,6405000.0,45870000.0,7.944,68804000.0
20562,SWFT1,ARY,1998-12-31,1999-03-19,1998-12-31,2019-07-22,0.0,636283000.0,565911000.0,159919000.0,476364000.0,1.543,5.134,-174769000.0,6530000.0,6530000.0,308032000.0,55511000.0,2.028,0.944,143918000.0,710000.0,143208000.0,143918000.0,0.0,42568000.0,0.0,0.0,0.0,99583000.0,142151000.0,0.163,142151000.0,99583000.0,93306000.0,0.58,0.567,0.58,327353000.0,304171500.0,327353000.0,1295837869.0,13.0,9.116,-59900000.0,-0.939,1.0,565401000.0,0.647,7817000.0,6277000.0,686983000.0,580425250.0,4866000.0,0.0,0.0,0.0,308930000.0,78871000.0,230059000.0,1158449869.0,804000.0,0.0,-5916000.0,63213000.0,0.0,57297000.0,-171362000.0,0.0,114869000.0,0.0,55511000.0,55511000.0,55511000.0,0.0,0.0,0.064,466709000.0,98692000.0,27100000.0,0.0,3.539,20.869,31.322,466777000.0,0.0,18.167,1.326,1.326,123817000.0,216918000.0,873433000.0,873433000.0,0.0,0.098,0.182,0.172,0.114,3349000.0,371872000.0,1.0,63767871.0,63767871.0,,13.697,628466000.0,4010000.0,37795000.0,58760000.0,9.856,81048000.0
