None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
20186,SXT,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-03,37127000.0,995865000.0,966229500.0,364248000.0,631617000.0,0.745,8.063,-55831000.0,408000.0,408000.0,475330000.0,74248000.0,1.744,1.414,347661000.0,56357000.0,291304000.0,347661000.0,0.0,37039000.0,0.0,0.019,0.53,122692000.0,159731000.0,0.222,159731000.0,122692000.0,100715000.0,1.45,1.43,1.45,412591000.0,403368500.0,412591000.0,1820190743.0,15.0,11.395,49236000.0,0.962,1.0,244478000.0,0.34,217126000.0,21977000.0,917150000.0,895417750.0,204942000.0,60834000.0,0.0,60834000.0,583274000.0,208842000.0,374432000.0,1480521743.0,-1335000.0,-68670000.0,-6264000.0,57556000.0,-27155000.0,24137000.0,-129911000.0,0.0,105067000.0,-628000.0,74248000.0,74248000.0,74248000.0,-14847000.0,0.0,0.103,136633000.0,107845000.0,112490000.0,0.366,3.588,19.94,18.924,353657000.0,0.0,27.44,2.057,1.951,119117000.0,427055000.0,719808000.0,719808000.0,0.0,0.077,0.184,0.137,0.17,0.0,136633000.0,1.0,53954874.0,51168000.0,51883000.0,14.068,778739000.0,0.0,26467000.0,51167000.0,15.219,155406000.0
20187,SXT,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-03,37127000.0,995865000.0,966229500.0,364248000.0,631617000.0,0.745,8.063,-55831000.0,408000.0,408000.0,475330000.0,74248000.0,1.744,1.414,347661000.0,56357000.0,291304000.0,347661000.0,0.0,37039000.0,0.0,0.019,0.53,122692000.0,159731000.0,0.222,159731000.0,122692000.0,100715000.0,1.45,1.43,1.45,412591000.0,403368500.0,412591000.0,1820190743.0,15.0,11.395,49236000.0,0.962,1.0,244478000.0,0.34,217126000.0,21977000.0,917150000.0,895417750.0,204942000.0,60834000.0,0.0,60834000.0,583274000.0,208842000.0,374432000.0,1480521743.0,-1335000.0,-68670000.0,-6264000.0,57556000.0,-27155000.0,24137000.0,-129911000.0,0.0,105067000.0,-628000.0,74248000.0,74248000.0,74248000.0,-14847000.0,0.0,0.103,136633000.0,107845000.0,112490000.0,0.366,3.588,19.94,18.924,353657000.0,0.0,27.44,2.057,1.951,119117000.0,427055000.0,719808000.0,719808000.0,0.0,0.077,0.184,0.137,0.17,0.0,136633000.0,1.0,53954874.0,51168000.0,51883000.0,14.068,778739000.0,0.0,26467000.0,51167000.0,15.219,155406000.0
20188,SXT,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-03,37845000.0,991226000.0,939645750.0,357755000.0,633471000.0,0.912,7.929,-59407000.0,1632000.0,1632000.0,556048000.0,72644000.0,1.705,1.444,341301000.0,49713000.0,291588000.0,341301000.0,0.0,44232000.0,0.0,0.026,0.535,128862000.0,173094000.0,0.202,173094000.0,128862000.0,107677000.0,1.42,1.4,1.42,405645000.0,394851250.0,405645000.0,1395948859.0,11.0,8.065,36016000.0,0.704,1.0,300724000.0,0.351,217007000.0,21185000.0,904068000.0,877339750.0,197089000.0,32400000.0,0.0,32400000.0,585581000.0,209820000.0,375761000.0,1069691859.0,374000.0,-68670000.0,-8217000.0,74970000.0,-27139000.0,39614000.0,-133937000.0,-5860000.0,95423000.0,-726000.0,72644000.0,72644000.0,72644000.0,0.0,0.0,0.085,171862000.0,128862000.0,122297000.0,0.377,2.637,14.725,14.704,355579000.0,0.0,20.88,1.249,1.247,121833000.0,416949000.0,856772000.0,856772000.0,0.0,0.077,0.184,0.147,0.15,0.0,171862000.0,1.0,51230453.0,51161000.0,51771000.0,16.747,774219000.0,15765000.0,35033000.0,47555000.0,15.133,147935000.0
20189,SXT,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-03,0.0,954051000.0,913771500.0,354753000.0,599298000.0,0.926,7.804,-64446000.0,4702000.0,4702000.0,553977000.0,70236000.0,1.807,1.382,330959000.0,48480000.0,282479000.0,330959000.0,0.0,37326000.0,0.0,0.024,0.535,119276000.0,156602000.0,0.185,156602000.0,119276000.0,98842000.0,1.37,1.36,1.37,400525000.0,388552750.0,400525000.0,1454565867.0,12.0,9.288,36046000.0,0.702,1.0,292112000.0,0.345,198693000.0,20434000.0,885274000.0,849332000.0,184264000.0,59898000.0,0.0,59898000.0,553526000.0,196341000.0,357185000.0,1140259867.0,4624000.0,-53281000.0,-14745000.0,60465000.0,-27021000.0,30916000.0,-124194000.0,-5719000.0,100492000.0,-2590000.0,70236000.0,70236000.0,70236000.0,0.0,0.0,0.083,172836000.0,119276000.0,115970000.0,0.391,2.847,16.235,16.197,340707000.0,0.0,22.19,1.348,1.346,121739000.0,402894000.0,846089000.0,846089000.0,0.0,0.077,0.181,0.14,0.141,0.0,172836000.0,1.0,51386204.0,51320000.0,52131000.0,16.487,755358000.0,0.0,28606000.0,37480000.0,14.719,158412000.0
20190,SXT,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-03,0.0,923776000.0,,347895000.0,575881000.0,,7.716,-73011000.0,1720000.0,1720000.0,554780000.0,67810000.0,2.036,1.34,316026000.0,33582000.0,282444000.0,316026000.0,0.0,37326000.0,0.0,0.022,0.53,114316000.0,151642000.0,0.18,151642000.0,114316000.0,94826000.0,1.33,1.32,1.33,394713000.0,,394713000.0,1539422310.0,13.0,10.152,16404000.0,0.321,1.0,286528000.0,0.341,192042000.0,19490000.0,875179000.0,,185318000.0,58214000.0,0.0,58214000.0,529063000.0,170861000.0,358202000.0,1251910310.0,-4120000.0,-30800000.0,-5252000.0,45073000.0,-26830000.0,19136000.0,-110451000.0,-5719000.0,89415000.0,-2220000.0,67810000.0,67810000.0,67810000.0,0.0,0.0,0.081,172212000.0,114316000.0,110339000.0,0.398,3.172,18.462,18.421,325625000.0,0.0,24.5,1.488,1.49,119793000.0,390539000.0,841308000.0,841308000.0,0.0,,,,0.136,0.0,172212000.0,1.0,51098380.0,51158000.0,51902000.0,16.445,731734000.0,0.0,27016000.0,32476000.0,14.303,177034000.0
20191,SXT,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-03,37127000.0,995865000.0,,364248000.0,631617000.0,,8.063,-11243000.0,408000.0,408000.0,56289000.0,16875000.0,1.744,1.414,347661000.0,56357000.0,291304000.0,347661000.0,0.0,-7193000.0,0.0,0.019,0.13,22110000.0,14917000.0,0.207,14917000.0,22110000.0,16352000.0,0.33,0.33,0.33,412591000.0,,412591000.0,1820190743.0,15.0,11.395,3186000.0,0.062,1.0,15636000.0,0.217,217126000.0,5758000.0,917150000.0,,204942000.0,60834000.0,0.0,60834000.0,583274000.0,208842000.0,374432000.0,1480521743.0,-1224000.0,0.0,-4879000.0,6439000.0,-6769000.0,-4505000.0,-11071000.0,5860000.0,14429000.0,-77000.0,16875000.0,16875000.0,16875000.0,-14847000.0,0.0,0.235,8373000.0,7263000.0,112490000.0,0.394,3.588,19.94,18.924,353657000.0,0.0,27.44,2.057,1.951,119117000.0,427055000.0,71925000.0,71925000.0,0.0,,,,,0.0,8373000.0,1.0,53954874.0,51168000.0,51883000.0,1.406,778739000.0,0.0,-523000.0,51167000.0,15.219,155406000.0
20192,SXT,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-03,37845000.0,991226000.0,,357755000.0,633471000.0,,7.929,-16677000.0,1632000.0,1632000.0,146955000.0,20845000.0,1.705,1.444,341301000.0,49713000.0,291588000.0,341301000.0,0.0,44232000.0,0.0,0.026,0.13,34309000.0,78541000.0,0.344,78541000.0,34309000.0,29193000.0,0.41,0.4,0.41,405645000.0,,405645000.0,1395948859.0,11.0,8.065,22276000.0,0.435,1.0,81407000.0,0.356,217007000.0,5116000.0,904068000.0,,197089000.0,32400000.0,0.0,32400000.0,585581000.0,209820000.0,375761000.0,1069691859.0,-3070000.0,-21389000.0,5873000.0,9097000.0,-6789000.0,-4036000.0,-37669000.0,-5860000.0,38953000.0,-318000.0,20845000.0,20845000.0,20845000.0,0.0,0.0,0.091,47098000.0,34309000.0,122297000.0,0.317,2.637,14.725,14.704,355579000.0,0.0,20.88,1.249,1.247,121833000.0,416949000.0,228362000.0,228362000.0,0.0,,,,,0.0,47098000.0,1.0,51230453.0,51161000.0,51771000.0,4.464,774219000.0,15765000.0,8348000.0,47555000.0,15.133,147935000.0
20193,SXT,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-03,0.0,954051000.0,,354753000.0,599298000.0,,7.804,-13570000.0,4702000.0,4702000.0,139512000.0,19174000.0,1.807,1.382,330959000.0,48480000.0,282479000.0,330959000.0,0.0,0.0,0.0,0.024,0.135,34647000.0,34647000.0,0.162,34647000.0,34647000.0,29052000.0,0.37,0.37,0.37,400525000.0,,400525000.0,1454565867.0,12.0,9.288,22126000.0,0.431,1.0,74994000.0,0.35,198693000.0,5595000.0,885274000.0,,184264000.0,59898000.0,0.0,59898000.0,553526000.0,196341000.0,357185000.0,1140259867.0,2982000.0,-22481000.0,-6534000.0,15026000.0,-6820000.0,6290000.0,-38634000.0,0.0,35696000.0,-370000.0,19174000.0,19174000.0,19174000.0,0.0,0.0,0.089,40347000.0,34647000.0,115970000.0,0.365,2.847,16.235,16.197,340707000.0,0.0,22.19,1.348,1.346,121739000.0,402894000.0,214506000.0,214506000.0,0.0,,,,,0.0,40347000.0,1.0,51386204.0,51320000.0,52131000.0,4.18,755358000.0,0.0,9878000.0,37480000.0,14.719,158412000.0
20194,SXT,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-03,0.0,923776000.0,,347895000.0,575881000.0,,7.716,-14341000.0,1720000.0,1720000.0,132574000.0,17354000.0,2.036,1.34,316026000.0,33582000.0,282444000.0,316026000.0,0.0,0.0,0.0,0.022,0.135,31626000.0,31626000.0,0.154,31626000.0,31626000.0,26118000.0,0.34,0.33,0.34,394713000.0,,394713000.0,1539422310.0,13.0,10.152,1648000.0,0.032,1.0,72441000.0,0.353,192042000.0,5508000.0,875179000.0,,185318000.0,58214000.0,0.0,58214000.0,529063000.0,170861000.0,358202000.0,1251910310.0,-23000.0,-24800000.0,-724000.0,26994000.0,-6777000.0,26388000.0,-42537000.0,0.0,15989000.0,137000.0,17354000.0,17354000.0,17354000.0,0.0,0.0,0.085,40815000.0,31626000.0,110339000.0,0.397,3.172,18.462,18.421,325625000.0,0.0,24.5,1.488,1.49,119793000.0,390539000.0,205015000.0,205015000.0,0.0,,,,,0.0,40815000.0,1.0,51098380.0,51158000.0,51902000.0,4.007,731734000.0,0.0,8764000.0,32476000.0,14.303,177034000.0
20195,SXT,ARY,1998-12-31,1998-12-28,1998-09-30,2021-08-03,39384000.0,991226000.0,939645750.0,357755000.0,633471000.0,0.912,7.93,-66063000.0,1632000.0,1632000.0,556048000.0,72644000.0,1.705,1.444,341301000.0,49713000.0,291588000.0,341301000.0,0.0,44232000.0,0.0,0.02,0.53,128862000.0,173094000.0,0.202,173094000.0,128862000.0,107677000.0,1.42,1.4,1.42,405645000.0,394851250.0,405645000.0,1775947746.0,14.0,10.26,27990000.0,0.547,1.0,300724000.0,0.351,217007000.0,21185000.0,904068000.0,877339750.0,197089000.0,32400000.0,0.0,32400000.0,585581000.0,209820000.0,375761000.0,1436278746.0,374000.0,-62014000.0,-8217000.0,74970000.0,-27139000.0,39614000.0,-133937000.0,-5860000.0,94053000.0,644000.0,72644000.0,72644000.0,72644000.0,0.0,0.0,0.085,171862000.0,128862000.0,122297000.0,0.373,3.541,19.771,18.746,355579000.0,0.0,26.62,1.676,1.589,121833000.0,416949000.0,856772000.0,856772000.0,0.0,0.077,0.184,0.147,0.15,0.0,171862000.0,1.0,53954874.0,51155000.0,51837000.0,16.749,774219000.0,15765000.0,35033000.0,47555000.0,15.135,147935000.0
