None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
20016,SYLN,MRY,1998-12-31,1999-01-03,1999-01-03,2019-07-05,-5525000.0,102550000.0,98264000.0,32767000.0,69783000.0,0.914,7.693,-8195000.0,6497000.0,6497000.0,52989000.0,6337000.0,2.364,1.04,35411000.0,825000.0,34586000.0,35411000.0,0.0,6107000.0,0.0,0.0,0.0,10786000.0,16893000.0,0.188,16893000.0,10786000.0,8616000.0,0.98,0.97,0.98,50264000.0,48040750.0,50264000.0,123962486.0,11.0,7.338,2027000.0,0.31,1.0,36806000.0,0.41,12218000.0,2170000.0,105385000.0,101165500.0,9820000.0,0.0,0.0,0.0,52286000.0,13861000.0,38425000.0,95087486.0,930000.0,-1619000.0,-979000.0,1077000.0,0.0,98000.0,-9814000.0,0.0,10222000.0,424000.0,6337000.0,6337000.0,6337000.0,0.0,0.0,0.071,25695000.0,11111000.0,5341000.0,0.0,1.892,15.005,15.179,53439000.0,0.0,14.875,1.059,1.082,12630000.0,41657000.0,89795000.0,89795000.0,1717000.0,0.064,0.132,0.107,0.12,0.0,18710000.0,1.0,6392436.0,6533740.0,6440287.0,13.743,90332000.0,856000.0,2279000.0,3041000.0,13.825,18906000.0
20017,SYLN,MRT,1998-12-31,1999-01-03,1999-01-03,2019-07-05,-5525000.0,102550000.0,98264000.0,32767000.0,69783000.0,0.914,7.693,-8195000.0,6497000.0,6497000.0,52989000.0,6337000.0,2.364,1.04,35411000.0,825000.0,34586000.0,35411000.0,0.0,6107000.0,0.0,0.0,0.0,10786000.0,16893000.0,0.188,16893000.0,10786000.0,8616000.0,0.98,0.97,0.98,50264000.0,48040750.0,50264000.0,123962486.0,11.0,7.338,2027000.0,0.31,1.0,36806000.0,0.41,12218000.0,2170000.0,105385000.0,101165500.0,9820000.0,0.0,0.0,0.0,52286000.0,13861000.0,38425000.0,95087486.0,930000.0,-1619000.0,-979000.0,1077000.0,0.0,98000.0,-9814000.0,0.0,10222000.0,424000.0,6337000.0,6337000.0,6337000.0,0.0,0.0,0.071,25695000.0,11111000.0,5341000.0,0.0,1.892,15.005,15.179,53439000.0,0.0,14.875,1.059,1.082,12630000.0,41657000.0,89795000.0,89795000.0,1717000.0,0.064,0.132,0.107,0.12,0.0,18710000.0,1.0,6392436.0,6533740.0,6440287.0,13.743,90332000.0,856000.0,2279000.0,3041000.0,13.825,18906000.0
20018,SYLN,MRT,1998-09-30,1998-09-27,1998-09-27,2019-07-05,-4821000.0,101048000.0,96046500.0,32058000.0,68990000.0,0.904,7.612,-5990000.0,5213000.0,5213000.0,50412000.0,6691000.0,2.318,1.033,34088000.0,809000.0,33279000.0,34088000.0,0.0,5829000.0,0.0,0.0,0.0,11698000.0,17527000.0,0.202,17527000.0,11698000.0,9557000.0,1.03,1.03,1.03,49694000.0,46472500.0,49694000.0,119712745.0,10.0,6.83,2484000.0,0.38,1.0,36405000.0,0.419,12431000.0,2141000.0,103659000.0,98949500.0,10416000.0,0.0,0.0,0.0,51354000.0,13833000.0,37521000.0,91945745.0,-250000.0,-5542000.0,-221000.0,2637000.0,0.0,2416000.0,-11532000.0,0.0,8474000.0,392000.0,6691000.0,6691000.0,6691000.0,0.0,0.0,0.077,24421000.0,11984000.0,4865000.0,0.0,1.85,13.742,13.835,52388000.0,0.0,14.25,1.059,1.072,12402000.0,40040000.0,86817000.0,86817000.0,1506000.0,0.07,0.144,0.118,0.135,0.0,17849000.0,1.0,6452333.0,6528630.0,6448245.0,13.298,88617000.0,856000.0,2866000.0,0.0,13.574,18225000.0
20019,SYLN,MRT,1998-06-30,1998-06-28,1998-06-28,2019-07-05,-6742000.0,95874000.0,,29839000.0,66035000.0,,7.126,-5828000.0,4863000.0,4863000.0,49071000.0,7024000.0,2.25,1.046,32630000.0,789000.0,31841000.0,32630000.0,0.0,5508000.0,0.0,0.0,0.0,12119000.0,17627000.0,0.207,17627000.0,12119000.0,10010000.0,1.09,1.09,1.09,46860000.0,,46860000.0,132240465.0,11.0,7.502,4762000.0,0.724,1.0,35970000.0,0.423,11955000.0,2109000.0,98426000.0,,10066000.0,0.0,0.0,0.0,49014000.0,13260000.0,35754000.0,105037465.0,1247000.0,-5542000.0,897000.0,1078000.0,0.0,1975000.0,-11370000.0,0.0,10590000.0,52000.0,7024000.0,7024000.0,7024000.0,0.0,0.0,0.083,23624000.0,12346000.0,4855000.0,0.0,2.242,14.954,14.908,50247000.0,0.0,16.25,1.235,1.257,10923000.0,38733000.0,85041000.0,85041000.0,1506000.0,,,,0.143,0.0,17256000.0,1.0,6463844.0,6575834.0,6460989.0,12.932,83919000.0,856000.0,2986000.0,0.0,12.762,16579000.0
20020,SYLN,MRT,1998-03-31,1998-03-29,1998-03-29,2019-07-05,-6800000.0,93584000.0,,31285000.0,62299000.0,,6.934,-7052000.0,5471000.0,5471000.0,48216000.0,6882000.0,2.511,1.064,32674000.0,467000.0,32207000.0,32674000.0,0.0,5368000.0,0.0,0.0,0.0,11981000.0,17349000.0,0.207,17349000.0,11981000.0,9895000.0,1.07,1.07,1.07,45345000.0,,45345000.0,119543977.0,10.0,6.891,3243000.0,0.496,1.0,35419000.0,0.423,11135000.0,2086000.0,97192000.0,,9621000.0,0.0,0.0,0.0,48239000.0,12460000.0,35779000.0,91972977.0,911000.0,-3923000.0,611000.0,1674000.0,0.0,2285000.0,-10975000.0,0.0,10295000.0,-694000.0,6882000.0,6882000.0,6882000.0,0.0,0.0,0.082,23211000.0,12208000.0,5239000.0,0.0,2.028,13.364,13.318,47336000.0,0.0,14.25,1.1,1.114,13189000.0,37253000.0,83635000.0,83635000.0,1506000.0,,,,0.143,0.0,16974000.0,1.0,6454244.0,6539391.0,6450771.0,12.789,82449000.0,686000.0,3013000.0,0.0,12.608,18825000.0
20021,SYLN,MRQ,1998-12-31,1999-01-03,1999-01-03,2019-07-05,-5525000.0,102550000.0,,32767000.0,69783000.0,,7.693,-3191000.0,6497000.0,6497000.0,14944000.0,1617000.0,2.364,1.04,35411000.0,825000.0,34586000.0,35411000.0,0.0,1638000.0,0.0,0.0,0.0,2432000.0,4070000.0,0.166,4070000.0,2432000.0,1881000.0,0.25,0.24,0.25,50264000.0,,50264000.0,123962486.0,11.0,7.338,527000.0,0.081,1.0,9576000.0,0.391,12218000.0,551000.0,105385000.0,,9820000.0,0.0,0.0,0.0,52286000.0,13861000.0,38425000.0,95087486.0,1284000.0,0.0,-556000.0,1280000.0,0.0,724000.0,-3191000.0,0.0,3718000.0,33000.0,1617000.0,1617000.0,1617000.0,0.0,0.0,0.066,7094000.0,2482000.0,5341000.0,0.0,1.892,15.005,15.179,53439000.0,0.0,14.875,1.059,1.082,12630000.0,41657000.0,24520000.0,24520000.0,1717000.0,,,,,0.0,3957000.0,1.0,6392436.0,6533740.0,6440287.0,3.753,90332000.0,856000.0,264000.0,3041000.0,13.825,18906000.0
20022,SYLN,MRQ,1998-09-30,1998-09-27,1998-09-27,2019-07-05,-4821000.0,101048000.0,,32058000.0,68990000.0,,7.612,-2196000.0,5213000.0,5213000.0,13380000.0,1307000.0,2.318,1.033,34088000.0,809000.0,33279000.0,34088000.0,0.0,1638000.0,0.0,0.0,0.0,2444000.0,4082000.0,0.183,4082000.0,2444000.0,1887000.0,0.2,0.2,0.2,49694000.0,,49694000.0,119712745.0,10.0,6.83,-916000.0,-0.14,1.0,8936000.0,0.4,12431000.0,557000.0,103659000.0,,10416000.0,0.0,0.0,0.0,51354000.0,13833000.0,37521000.0,91945745.0,350000.0,0.0,-439000.0,1065000.0,0.0,626000.0,-2196000.0,0.0,1280000.0,640000.0,1307000.0,1307000.0,1307000.0,0.0,0.0,0.059,6357000.0,2579000.0,4865000.0,0.0,1.85,13.742,13.835,52388000.0,0.0,14.25,1.059,1.072,12402000.0,40040000.0,22316000.0,22316000.0,0.0,,,,,0.0,4999000.0,1.0,6452333.0,6528630.0,6448245.0,3.418,88617000.0,856000.0,580000.0,0.0,13.574,18225000.0
20023,SYLN,MRQ,1998-06-30,1998-06-28,1998-06-28,2019-07-05,-6742000.0,95874000.0,,29839000.0,66035000.0,,7.126,-1515000.0,4863000.0,4863000.0,12206000.0,1480000.0,2.25,1.046,32630000.0,789000.0,31841000.0,32630000.0,0.0,1445000.0,0.0,0.0,0.0,2549000.0,3994000.0,0.19,3994000.0,2549000.0,2015000.0,0.23,0.23,0.23,46860000.0,,46860000.0,132240465.0,11.0,7.502,1828000.0,0.278,1.0,8765000.0,0.418,11955000.0,534000.0,98426000.0,,10066000.0,0.0,0.0,0.0,49014000.0,13260000.0,35754000.0,105037465.0,-608000.0,-1619000.0,-24000.0,-935000.0,0.0,-959000.0,-3134000.0,0.0,3343000.0,142000.0,1480000.0,1480000.0,1480000.0,0.0,0.0,0.071,6101000.0,2664000.0,4855000.0,0.0,2.242,14.954,14.908,50247000.0,0.0,16.25,1.235,1.257,10923000.0,38733000.0,20971000.0,20971000.0,0.0,,,,,0.0,4839000.0,1.0,6463844.0,6575834.0,6460989.0,3.189,83919000.0,856000.0,535000.0,0.0,12.762,16579000.0
20024,SYLN,MRQ,1998-03-31,1998-03-29,1998-03-29,2019-07-05,-6800000.0,93584000.0,,31285000.0,62299000.0,,6.934,-1293000.0,5471000.0,5471000.0,12459000.0,1933000.0,2.511,1.064,32674000.0,467000.0,32207000.0,32674000.0,0.0,1386000.0,0.0,0.0,0.0,3361000.0,4747000.0,0.216,4747000.0,3361000.0,2833000.0,0.3,0.3,0.3,45345000.0,,45345000.0,119543977.0,10.0,6.891,588000.0,0.09,1.0,9529000.0,0.433,11135000.0,528000.0,97192000.0,,9621000.0,0.0,0.0,0.0,48239000.0,12460000.0,35779000.0,91972977.0,-96000.0,0.0,40000.0,-333000.0,0.0,-293000.0,-1293000.0,0.0,1881000.0,-391000.0,1933000.0,1933000.0,1933000.0,0.0,0.0,0.088,6143000.0,3386000.0,5239000.0,0.0,2.028,13.364,13.318,47336000.0,0.0,14.25,1.1,1.114,13189000.0,37253000.0,21988000.0,21988000.0,0.0,,,,,0.0,4915000.0,1.0,6454244.0,6539391.0,6450771.0,3.362,82449000.0,686000.0,900000.0,0.0,12.608,18825000.0
20025,SYLN,ARY,1998-12-31,1999-03-30,1999-01-03,2019-07-05,-5525000.0,102550000.0,98264000.0,32767000.0,69783000.0,0.911,7.693,-8195000.0,6497000.0,6497000.0,52749000.0,6337000.0,2.364,1.04,35411000.0,825000.0,34586000.0,35411000.0,0.0,6107000.0,0.0,0.0,0.0,10786000.0,16893000.0,0.189,16893000.0,10786000.0,8616000.0,0.98,0.97,0.98,50264000.0,48040750.0,50264000.0,94194569.0,9.0,5.576,2027000.0,0.31,1.0,36806000.0,0.411,12218000.0,2170000.0,105385000.0,101165500.0,9820000.0,0.0,0.0,0.0,52286000.0,13861000.0,38425000.0,65280569.0,930000.0,-1619000.0,-979000.0,1077000.0,0.0,98000.0,-9814000.0,0.0,10222000.0,424000.0,6337000.0,6337000.0,6337000.0,0.0,0.0,0.071,25695000.0,11111000.0,5341000.0,0.0,1.299,10.301,10.459,53439000.0,0.0,10.25,0.729,0.748,12630000.0,41657000.0,89555000.0,89555000.0,1717000.0,0.064,0.132,0.107,0.12,0.0,18710000.0,1.0,6368836.0,6533740.0,6440287.0,13.707,90332000.0,856000.0,2279000.0,3041000.0,13.825,18906000.0
