None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
17869,TFX,MRY,1998-12-31,1998-12-27,1998-12-27,2021-07-29,-14634000.0,1215917000.0,1152375250.0,616942000.0,598975000.0,1.247,14.285,-69063000.0,66689000.0,66689000.0,1029658000.0,82550000.0,1.981,1.275,367232000.0,91651000.0,275581000.0,367232000.0,0.0,60105000.0,0.0,0.011,0.46,141814000.0,201919000.0,0.14,201919000.0,141814000.0,124760000.0,2.21,2.15,2.21,534450000.0,508384500.0,534450000.0,1845099887.0,13.0,9.138,62564000.0,1.672,1.0,407920000.0,0.284,116287000.0,17054000.0,1088694000.0,1024488500.0,235869000.0,50932000.0,0.0,50932000.0,681467000.0,311479000.0,369988000.0,1552646887.0,35987000.0,-1849000.0,5918000.0,-15831000.0,-16628000.0,-26541000.0,-69099000.0,0.0,131627000.0,0.0,82550000.0,82550000.0,82550000.0,0.0,0.0,0.057,266106000.0,141814000.0,99207000.0,0.208,2.905,18.809,18.778,431756000.0,0.0,41.5,1.08,1.08,295369000.0,439389000.0,1437578000.0,1437578000.0,0.0,0.072,0.162,0.138,0.099,0.0,266106000.0,1.0,37413178.0,37413178.0,,38.424,1099630000.0,0.0,42210000.0,119710000.0,29.392,305463000.0
17870,TFX,MRT,1998-12-31,1998-12-27,1998-12-27,2021-07-29,-14634000.0,1215917000.0,1152375250.0,616942000.0,598975000.0,1.247,14.285,-69063000.0,66689000.0,66689000.0,1029658000.0,82550000.0,1.981,1.275,367232000.0,91651000.0,275581000.0,367232000.0,0.0,60105000.0,0.0,0.011,0.46,141814000.0,201919000.0,0.14,201919000.0,141814000.0,124760000.0,2.21,2.15,2.21,534450000.0,508384500.0,534450000.0,1845099887.0,13.0,9.138,62564000.0,1.672,1.0,407920000.0,0.284,116287000.0,17054000.0,1088694000.0,1024488500.0,235869000.0,50932000.0,0.0,50932000.0,681467000.0,311479000.0,369988000.0,1552646887.0,35987000.0,-1849000.0,5918000.0,-15831000.0,-16628000.0,-26541000.0,-69099000.0,0.0,131627000.0,0.0,82550000.0,82550000.0,82550000.0,0.0,0.0,0.057,266106000.0,141814000.0,99207000.0,0.208,2.905,18.809,18.778,431756000.0,0.0,41.5,1.08,1.08,295369000.0,439389000.0,1437578000.0,1437578000.0,0.0,0.072,0.162,0.138,0.099,0.0,266106000.0,1.0,37413178.0,37413178.0,,38.424,1099630000.0,0.0,42210000.0,119710000.0,29.392,305463000.0
17871,TFX,MRT,1998-09-30,1998-09-27,1998-09-27,2021-07-29,0.0,1177091000.0,1118187250.0,628968000.0,548123000.0,1.222,13.694,-73987000.0,76048000.0,76048000.0,969998000.0,78497000.0,1.95,1.299,368501000.0,112218000.0,256283000.0,368501000.0,0.0,57288000.0,0.0,0.013,0.44,136156000.0,193444000.0,0.142,193444000.0,136156000.0,119300000.0,2.1,2.05,2.1,512021000.0,490710250.0,512021000.0,1528988338.0,11.0,7.904,63939000.0,1.71,1.0,396144000.0,0.29,113911000.0,16856000.0,1033149000.0,1001235500.0,233757000.0,32227000.0,0.0,32227000.0,665070000.0,322484000.0,342586000.0,1252177338.0,43111000.0,-68144000.0,4355000.0,56409000.0,-16011000.0,44753000.0,-139568000.0,0.0,137926000.0,0.0,78497000.0,78497000.0,78497000.0,0.0,0.0,0.057,259988000.0,136156000.0,181083000.0,0.21,2.446,15.952,15.952,401985000.0,0.0,33.5,0.917,0.917,303096000.0,,1366142000.0,1366142000.0,0.0,0.07,0.16,0.136,0.1,0.0,259988000.0,1.0,37378428.0,37391000.0,,36.537,1063180000.0,0.0,40803000.0,115486000.0,28.434,306484000.0
17872,TFX,MRT,1998-06-30,1998-06-28,1998-06-28,2021-07-29,0.0,1126635000.0,,598870000.0,527765000.0,,13.424,-74665000.0,65885000.0,65885000.0,920268000.0,76148000.0,2.035,1.246,342696000.0,94710000.0,247986000.0,342696000.0,0.0,54406000.0,0.0,0.011,0.42,132201000.0,186607000.0,0.143,186607000.0,132201000.0,115854000.0,2.05,1.99,2.05,501588000.0,,501588000.0,1737497278.0,13.0,9.311,30595000.0,0.819,1.0,384669000.0,0.295,113672000.0,16347000.0,995536000.0,,220152000.0,32705000.0,0.0,32705000.0,625047000.0,294238000.0,330809000.0,1455745278.0,5235000.0,-73934000.0,4947000.0,56306000.0,-15408000.0,45845000.0,-145870000.0,0.0,105260000.0,0.0,76148000.0,76148000.0,76148000.0,0.0,0.0,0.058,252468000.0,132201000.0,175256000.0,0.205,2.902,19.117,19.024,381388000.0,0.0,39.0,1.116,1.117,294312000.0,,1304937000.0,1304937000.0,0.0,,,,0.101,0.0,252468000.0,1.0,37326802.0,37365000.0,,34.924,1012963000.0,0.0,39706000.0,107095000.0,27.11,304632000.0
17873,TFX,MRT,1998-03-31,1998-03-29,1998-03-29,2021-07-29,0.0,1089858000.0,,569378000.0,520480000.0,,13.049,-78753000.0,47226000.0,47226000.0,854376000.0,73253000.0,2.042,1.245,328978000.0,85983000.0,242995000.0,328978000.0,0.0,50507000.0,0.0,0.01,0.4,126942000.0,177449000.0,0.145,177449000.0,126942000.0,111378000.0,1.98,1.93,1.98,485479000.0,,485479000.0,1877580668.0,15.0,10.581,11235000.0,0.302,1.0,367813000.0,0.301,112146000.0,15564000.0,980575000.0,,215301000.0,37946000.0,0.0,37946000.0,604379000.0,278889000.0,325490000.0,1554991668.0,-20659000.0,-70003000.0,4981000.0,49318000.0,-14749000.0,39550000.0,-150197000.0,0.0,89988000.0,0.0,73253000.0,73253000.0,73253000.0,0.0,0.0,0.06,240871000.0,126942000.0,161640000.0,0.202,3.203,21.228,21.152,370388000.0,0.0,41.88,1.272,1.275,286803000.0,,1222189000.0,1222189000.0,0.0,,,,0.104,0.0,240871000.0,1.0,37129696.0,37204000.0,,32.851,977712000.0,0.0,38125000.0,113761000.0,26.28,290489000.0
17874,TFX,MRQ,1998-12-31,1998-12-27,1998-12-27,2021-07-29,-14634000.0,1215917000.0,,616942000.0,598975000.0,,14.285,-17354000.0,66689000.0,66689000.0,277294000.0,25271000.0,1.981,1.275,367232000.0,91651000.0,275581000.0,367232000.0,0.0,15218000.0,0.0,0.011,0.12,41170000.0,56388000.0,0.146,56388000.0,41170000.0,37054000.0,0.68,0.66,0.68,534450000.0,,534450000.0,1845099887.0,13.0,9.138,11741000.0,0.314,1.0,108551000.0,0.281,116287000.0,4116000.0,1088694000.0,,235869000.0,50932000.0,0.0,50932000.0,681467000.0,311479000.0,369988000.0,1552646887.0,-9359000.0,-22988000.0,2872000.0,4376000.0,-4321000.0,2927000.0,-41381000.0,0.0,29095000.0,0.0,25271000.0,25271000.0,25271000.0,0.0,0.0,0.065,67381000.0,41170000.0,99207000.0,0.176,2.905,18.809,18.778,431756000.0,0.0,41.5,1.08,1.08,295369000.0,439389000.0,385845000.0,385845000.0,0.0,,,,,0.0,67381000.0,1.0,37413178.0,37413178.0,,10.313,1099630000.0,0.0,11783000.0,119710000.0,29.392,305463000.0
17875,TFX,MRQ,1998-09-30,1998-09-27,1998-09-27,2021-07-29,0.0,1177091000.0,,628968000.0,548123000.0,,13.694,-16691000.0,76048000.0,76048000.0,246795000.0,16177000.0,1.95,1.299,368501000.0,112218000.0,256283000.0,368501000.0,0.0,15075000.0,0.0,0.013,0.12,28814000.0,43889000.0,0.128,43889000.0,28814000.0,24622000.0,0.43,0.42,0.43,512021000.0,,512021000.0,1528988338.0,11.0,7.904,20866000.0,0.558,1.0,96167000.0,0.28,113911000.0,4192000.0,1033149000.0,,233757000.0,32227000.0,0.0,32227000.0,665070000.0,322484000.0,342586000.0,1252177338.0,10163000.0,-8631000.0,372000.0,1444000.0,-4299000.0,-2483000.0,-24911000.0,0.0,37557000.0,0.0,16177000.0,16177000.0,16177000.0,0.0,0.0,0.047,67353000.0,28814000.0,181083000.0,0.279,2.446,15.952,15.952,401985000.0,0.0,33.5,0.917,0.917,303096000.0,,342962000.0,342962000.0,0.0,,,,,0.0,67353000.0,1.0,37378428.0,37391000.0,38440000.0,9.172,1063180000.0,0.0,8445000.0,115486000.0,28.434,306484000.0
17876,TFX,MRQ,1998-06-30,1998-06-28,1998-06-28,2021-07-29,0.0,1126635000.0,,598870000.0,527765000.0,,13.424,-16093000.0,65885000.0,65885000.0,259834000.0,21244000.0,2.035,1.246,342696000.0,94710000.0,247986000.0,342696000.0,0.0,15908000.0,0.0,0.011,0.12,36794000.0,52702000.0,0.145,52702000.0,36794000.0,32533000.0,0.57,0.55,0.57,501588000.0,,501588000.0,1737497278.0,13.0,9.311,20936000.0,0.56,1.0,103177000.0,0.284,113672000.0,4261000.0,995536000.0,,220152000.0,32705000.0,0.0,32705000.0,625047000.0,294238000.0,330809000.0,1455745278.0,18659000.0,-4496000.0,1045000.0,5131000.0,-4295000.0,1881000.0,-20251000.0,0.0,37029000.0,0.0,21244000.0,21244000.0,21244000.0,0.0,0.0,0.059,66383000.0,36794000.0,175256000.0,0.211,2.902,19.117,19.024,381388000.0,0.0,39.0,1.116,1.117,294312000.0,,363011000.0,363011000.0,0.0,,,,,0.0,66383000.0,1.0,37326802.0,37365000.0,38459000.0,9.715,1012963000.0,0.0,11289000.0,107095000.0,27.11,304632000.0
17877,TFX,MRQ,1998-03-31,1998-03-29,1998-03-29,2021-07-29,0.0,1089858000.0,,569378000.0,520480000.0,,13.049,-18925000.0,47226000.0,47226000.0,245735000.0,19858000.0,2.042,1.245,328978000.0,85983000.0,242995000.0,328978000.0,0.0,13904000.0,0.0,0.01,0.1,35036000.0,48940000.0,0.142,48940000.0,35036000.0,30551000.0,0.53,0.52,0.53,485479000.0,,485479000.0,1877580668.0,15.0,10.581,9021000.0,0.242,1.0,100025000.0,0.289,112146000.0,4485000.0,980575000.0,,215301000.0,37946000.0,0.0,37946000.0,604379000.0,278889000.0,325490000.0,1554991668.0,16524000.0,34266000.0,1629000.0,-26782000.0,-3713000.0,-28866000.0,17444000.0,0.0,27946000.0,0.0,19858000.0,19858000.0,19858000.0,0.0,0.0,0.057,64989000.0,35036000.0,161640000.0,0.189,3.203,21.228,21.152,370388000.0,0.0,41.88,1.272,1.275,286803000.0,,345760000.0,345760000.0,0.0,,,,,0.0,64989000.0,1.0,37129696.0,37204000.0,38320000.0,9.294,977712000.0,0.0,10693000.0,113761000.0,26.28,290489000.0
17878,TFX,ARY,1998-12-31,1999-03-29,1998-12-27,2021-07-29,-14634000.0,1215917000.0,1152375250.0,616942000.0,598975000.0,1.247,14.205,-69063000.0,66689000.0,66689000.0,1029658000.0,82550000.0,1.981,1.275,367232000.0,91651000.0,275581000.0,367232000.0,0.0,60105000.0,0.0,0.013,0.48,141814000.0,201919000.0,0.14,201919000.0,141814000.0,124760000.0,2.21,2.15,2.21,534450000.0,508384500.0,534450000.0,1647836524.0,12.0,8.161,62564000.0,1.663,1.0,407920000.0,0.284,116287000.0,17054000.0,1088694000.0,1024488500.0,235869000.0,50932000.0,0.0,50932000.0,681467000.0,311479000.0,369988000.0,1347293524.0,35987000.0,-1849000.0,5918000.0,-15831000.0,-16628000.0,-26541000.0,-69099000.0,0.0,131627000.0,0.0,82550000.0,82550000.0,82550000.0,0.0,0.0,0.057,266106000.0,141814000.0,99207000.0,0.217,2.521,16.321,16.204,431756000.0,0.0,35.81,0.937,0.937,295369000.0,439389000.0,1437578000.0,1437578000.0,0.0,0.072,0.162,0.138,0.099,0.0,266106000.0,1.0,37623388.0,37623388.0,,38.21,1099630000.0,0.0,42210000.0,119710000.0,29.227,305463000.0
