None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
16124,TMCI1,MRY,1998-12-31,1998-09-30,1998-09-30,2019-09-04,0.0,2580903.0,2860625.0,1613210.0,967693.0,1.925,0.576,-44436.0,348957.0,348957.0,2208172.0,-778052.0,2.769,0.805,128619.0,122212.0,6407.0,128619.0,108694.0,620590.0,194801.0,,0.0,-505829.0,114761.0,0.021,114761.0,-505829.0,-521792.0,-0.31,-0.31,-0.31,1429903.0,1991883.0,1429903.0,,,,232793.0,0.094,1.0,3298037.0,0.599,320626.0,15963.0,1457289.0,2115370.0,470763.0,0.0,0.0,0.0,1151000.0,582650.0,568350.0,,54624.0,0.0,0.0,-178169.0,0.0,-178169.0,-44436.0,0.0,277229.0,0.0,-778052.0,-778052.0,-778052.0,0.0,0.0,-0.141,3557348.0,-259311.0,100050.0,0.0,,,,628807.0,0.0,,,,763653.0,416153.0,5506209.0,5506209.0,0.0,-0.272,-0.391,-0.239,-0.092,0.0,3204112.0,1.0,2483193.0,2483193.0,2483193.0,2.217,2260277.0,0.0,256260.0,0.0,0.91,1030560.0
16125,TMCI1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-09-04,0.0,2339098.0,2702369.0,1556195.0,782903.0,1.846,0.522,-71083.0,286401.0,286401.0,2178919.0,-840925.0,3.246,0.806,82156.0,82156.0,0.0,82156.0,138109.0,610934.0,197561.0,,0.0,-571811.0,39123.0,0.008,39123.0,-571811.0,-584665.0,-0.33,,-0.33,1295022.0,1781652.0,1295022.0,,,,315056.0,0.127,1.0,2810324.0,0.563,0.0,12854.0,1655480.0,1894357.0,722361.0,0.0,0.0,0.0,1044076.0,479373.0,564703.0,,133778.0,0.0,0.0,-181278.0,0.0,-181278.0,-71083.0,0.0,386139.0,0.0,-840925.0,-840925.0,-840925.0,0.0,0.0,-0.169,3135489.0,-325165.0,65784.0,0.0,,,,599572.0,0.0,,,,671095.0,281272.0,4989243.0,4989243.0,0.0,-0.311,-0.472,-0.302,-0.115,0.0,2779253.0,1.0,2483193.0,2483193.0,,2.009,2339098.0,0.0,256260.0,0.0,0.942,1076822.0
16126,TMCI1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-09-04,0.0,2580903.0,2860625.0,1613210.0,967693.0,1.925,0.576,-44436.0,348957.0,348957.0,2208172.0,-778052.0,2.769,0.805,128619.0,122212.0,6407.0,128619.0,108694.0,620590.0,194801.0,,0.0,-505829.0,114761.0,0.021,114761.0,-505829.0,-521792.0,-0.31,-0.31,-0.31,1429903.0,1991883.0,1429903.0,,,,232793.0,0.094,1.0,3298037.0,0.599,320626.0,15963.0,1457289.0,2115370.0,470763.0,0.0,0.0,0.0,1151000.0,582650.0,568350.0,,54624.0,0.0,0.0,-178169.0,0.0,-178169.0,-44436.0,0.0,277229.0,0.0,-778052.0,-778052.0,-778052.0,0.0,0.0,-0.141,3557348.0,-259311.0,100050.0,0.0,,,,628807.0,0.0,,,,763653.0,416153.0,5506209.0,5506209.0,0.0,-0.272,-0.391,-0.239,-0.092,0.0,3204112.0,1.0,2483193.0,2483193.0,2483193.0,2.217,2260277.0,0.0,256260.0,0.0,0.91,1030560.0
16127,TMCI1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-09-04,0.0,2968023.0,2981663.0,2075558.0,892465.0,1.904,0.893,-96674.0,443619.0,443619.0,2234795.0,-149772.0,3.764,0.339,174283.0,161574.0,12709.0,174283.0,93801.0,662039.0,194085.0,,0.0,-142893.0,519146.0,0.091,519146.0,-142893.0,-149772.0,-0.06,,-0.06,2216666.0,2186396.0,2216666.0,,,,254974.0,0.103,1.0,3441234.0,0.606,0.0,6879.0,2147266.0,2386544.0,862745.0,0.0,0.0,0.0,751357.0,551421.0,199936.0,,78446.0,0.0,-40911.0,-173656.0,0.0,-214567.0,-58635.0,40911.0,351648.0,0.0,-149772.0,-149772.0,-149772.0,0.0,0.0,-0.026,3582808.0,-141574.0,60135.0,0.0,,,,711756.0,0.0,,,,757570.0,1202916.0,5676029.0,5676029.0,0.0,-0.05,-0.069,-0.06,-0.025,0.0,3196814.0,1.0,2483193.0,2483193.0,,2.286,2968023.0,139130.0,0.0,11000.0,1.195,1524137.0
16128,TMCI1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-09-04,0.0,2921452.0,,1964626.0,956826.0,,0.88,,324982.0,324982.0,,,3.943,0.337,219163.0,171570.0,47593.0,219163.0,71545.0,,189960.0,,0.0,,,,,,,,,,2185015.0,,2185015.0,,,,,,1.0,,,0.0,,2317391.0,,896601.0,0.0,0.0,0.0,736437.0,498242.0,238195.0,,,,,,,,,,,,,,,,,,,,58705.0,,,,,3299131.0,,,,,725760.0,1171265.0,,,,,,,,,,1.0,2483193.0,2483193.0,,,2921452.0,146630.0,,18500.0,1.176,1466384.0
16129,TMCI1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-09-04,0.0,2339098.0,,1556195.0,782903.0,,0.522,-51765.0,286401.0,286401.0,518261.0,-134881.0,3.246,0.806,82156.0,82156.0,0.0,82156.0,138109.0,145444.0,197561.0,,0.0,-132830.0,12614.0,0.01,12614.0,-132830.0,-134881.0,-0.05,-0.05,-0.05,1295022.0,,1295022.0,,,,-16093.0,-0.006,1.0,684486.0,0.569,0.0,2051.0,1655480.0,,722361.0,0.0,0.0,0.0,1044076.0,479373.0,564703.0,,-62556.0,0.0,0.0,-46463.0,0.0,-46463.0,-51765.0,0.0,35672.0,0.0,-134881.0,-134881.0,-134881.0,0.0,0.0,-0.112,818867.0,-134381.0,65784.0,0.0,,,,599572.0,0.0,,,,671095.0,281272.0,1202747.0,1202747.0,0.0,,,,,0.0,731867.0,1.0,2483193.0,2483193.0,2483193.0,0.484,2339098.0,0.0,0.0,0.0,0.942,1076822.0
16130,TMCI1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-09-04,0.0,2580903.0,,1613210.0,967693.0,,0.576,227.0,348957.0,348957.0,546464.0,-786763.0,2.769,0.805,128619.0,122212.0,6407.0,128619.0,108694.0,157542.0,194801.0,,0.0,-514540.0,-356998.0,-0.276,-356998.0,-514540.0,-530503.0,-0.31,-0.31,-0.31,1429903.0,,1429903.0,,,,-48998.0,-0.02,1.0,746556.0,0.577,320626.0,15963.0,1457289.0,,470763.0,0.0,0.0,0.0,1151000.0,582650.0,568350.0,,-94662.0,0.0,0.0,-45664.0,0.0,-45664.0,227.0,0.0,-49225.0,0.0,-786763.0,-786763.0,-786763.0,0.0,0.0,-0.608,1020690.0,-274134.0,100050.0,0.0,,,,628807.0,0.0,,,,763653.0,416153.0,1293020.0,1293020.0,0.0,,,,,0.0,915702.0,1.0,2483193.0,2483193.0,2483193.0,0.521,2260277.0,0.0,256260.0,0.0,0.91,1030560.0
16131,TMCI1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-09-04,0.0,2968023.0,,2075558.0,892465.0,,0.893,-747.0,443619.0,443619.0,549146.0,31651.0,3.764,0.339,174283.0,161574.0,12709.0,174283.0,93801.0,152248.0,194085.0,,0.0,31651.0,183899.0,0.134,183899.0,31651.0,31651.0,0.01,0.01,0.01,2216666.0,,2216666.0,,,,163517.0,0.066,1.0,821455.0,0.599,0.0,0.0,2147266.0,,862745.0,0.0,0.0,0.0,751357.0,551421.0,199936.0,,118637.0,0.0,0.0,-44880.0,0.0,-44880.0,-747.0,0.0,164264.0,0.0,31651.0,31651.0,31651.0,0.0,0.0,0.023,788116.0,33339.0,60135.0,0.0,,,,711756.0,0.0,,,,757570.0,1202916.0,1370601.0,1370601.0,0.0,,,,,0.0,707868.0,1.0,2483193.0,2483193.0,2483193.0,0.552,2968023.0,139130.0,0.0,11000.0,1.195,1524137.0
16132,TMCI1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-09-04,0.0,2921452.0,,1964626.0,956826.0,,0.88,-18798.0,324982.0,324982.0,565048.0,49068.0,3.943,0.337,219163.0,171570.0,47593.0,219163.0,71545.0,155700.0,189960.0,,0.0,43908.0,199608.0,0.178,199608.0,43908.0,49068.0,0.02,,0.02,2185015.0,,2185015.0,,,,216630.0,0.087,1.0,557827.0,0.497,0.0,-5160.0,2317391.0,,896601.0,0.0,0.0,0.0,736437.0,498242.0,238195.0,,172359.0,0.0,0.0,-44271.0,0.0,-44271.0,-18798.0,0.0,235428.0,0.0,49068.0,49068.0,49068.0,0.0,0.0,0.044,507816.0,50011.0,58705.0,0.0,,,,3299131.0,0.0,,,,725760.0,1171265.0,1122875.0,1122875.0,0.0,,,,,0.0,423816.0,1.0,2483193.0,2483193.0,,0.452,2921452.0,146630.0,0.0,18500.0,1.176,1466384.0
16133,TMCI1,ARY,1998-12-31,1998-12-21,1998-09-30,2019-09-04,0.0,2580903.0,2860625.0,1755439.0,825464.0,1.925,0.576,-44436.0,348957.0,348957.0,2208172.0,-778052.0,3.013,0.805,128619.0,122212.0,6407.0,128619.0,108694.0,620590.0,194801.0,,0.0,-633959.0,-13369.0,-0.002,-13369.0,-633959.0,-649922.0,-0.31,-0.31,-0.31,1429903.0,1991883.0,1429903.0,,,,232793.0,0.094,1.0,3298037.0,0.599,0.0,15963.0,1777915.0,2195527.0,791389.0,0.0,0.0,0.0,1151000.0,582650.0,568350.0,,54624.0,0.0,0.0,-178169.0,0.0,-178169.0,-44436.0,0.0,277229.0,0.0,-778052.0,-778052.0,-778052.0,0.0,0.0,-0.141,3557348.0,-259311.0,100050.0,0.0,,,,628807.0,0.0,,,,763653.0,416153.0,5506209.0,5506209.0,0.0,-0.272,-0.391,-0.289,-0.115,0.0,3204112.0,1.0,2483193.0,2483193.0,2483193.0,2.217,2580903.0,0.0,128130.0,0.0,1.039,1172789.0
