None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
14121,TRUE1,MRY,1998-12-31,1998-12-31,1998-12-31,2019-07-17,329445.0,411778658.0,377593947.0,,,0.037,14.516,-2665242.0,47040638.0,47040638.0,0.0,2289166.0,,9.378,24432482.0,,,24432482.0,0.0,1064712.0,346802846.0,0.005,0.06,3440213.0,4504925.0,0.325,4504925.0,3440213.0,3440213.0,0.83,0.78,0.83,39676609.0,38748988.0,39676609.0,8819641.0,3.0,1.958,-1150516.0,-0.421,1.0,13871760.0,1.0,5587678.0,0.0,383582824.0,362663154.0,0.0,344476098.0,,,372102049.0,,,35192216.0,2419738.0,13660412.0,-182141.0,-491828.0,-660558.0,13496116.0,-12591104.0,-1535772.0,1514726.0,0.0,2289166.0,2289166.0,2289166.0,0.0,0.0,0.165,10431547.0,3440213.0,0.0,0.072,0.887,15.373,15.512,10612295.0,0.0,12.875,2.537,2.537,0.0,31183528.0,13871760.0,13871760.0,0.0,0.006,0.059,0.009,0.248,0.0,9481966.0,1.0,2733376.0,2733376.0,,5.075,406190980.0,0.0,1151047.0,0.0,148.604,
14122,TRUE1,MRT,1998-12-31,1998-12-31,1998-12-31,2019-07-17,329445.0,411778658.0,377593947.0,,,0.037,14.516,-2665242.0,47040638.0,47040638.0,0.0,2289166.0,,9.378,24432482.0,,,24432482.0,0.0,1064712.0,346802846.0,0.005,0.06,3440213.0,4504925.0,0.325,4504925.0,3440213.0,3440213.0,0.83,0.78,0.83,39676609.0,38748988.0,39676609.0,8819641.0,3.0,1.958,-1150516.0,-0.421,1.0,13871760.0,1.0,5587678.0,0.0,383582824.0,362663154.0,0.0,344476098.0,,,372102049.0,,,35192216.0,2419738.0,13660412.0,-182141.0,-491828.0,-660558.0,13496116.0,-12591104.0,-1535772.0,1514726.0,0.0,2289166.0,2289166.0,2289166.0,0.0,0.0,0.165,10431547.0,3440213.0,0.0,0.072,0.887,15.373,15.512,10612295.0,0.0,12.875,2.537,2.537,0.0,31183528.0,13871760.0,13871760.0,0.0,0.006,0.059,0.009,0.248,0.0,9481966.0,1.0,2733376.0,2733376.0,,5.075,406190980.0,0.0,1151047.0,0.0,148.604,
14123,TRUE1,MRT,1998-09-30,1998-09-30,1998-09-30,2019-07-17,632955.0,405162934.0,,,,,14.449,-2235337.0,49731992.0,49731992.0,0.0,2682510.0,,9.16,23359417.0,,,23359417.0,0.0,952235.0,340776677.0,0.0,0.0,3857310.0,4809545.0,0.353,4809545.0,3857310.0,3857310.0,0.97,0.91,0.97,39879254.0,,39879254.0,17809753.0,5.0,3.703,34561.0,0.013,1.0,13612885.0,1.0,5687656.0,0.0,373102703.0,,0.0,335429989.0,,,365283680.0,,,36742181.0,15576497.0,21745008.0,-1797036.0,-630344.0,-661152.0,9531383.0,3775216.0,14459628.0,2269898.0,0.0,2682510.0,2682510.0,2682510.0,0.0,0.0,0.197,9755575.0,3857310.0,1573022.0,0.0,0.921,13.697,13.724,9885866.0,0.0,13.313,2.699,2.699,0.0,30993476.0,13612885.0,13612885.0,0.0,,,,0.283,0.0,8895604.0,1.0,2759976.0,2759976.0,,4.932,399475278.0,0.0,1174800.0,0.0,144.739,
14124,TRUE1,MRT,1998-06-30,1998-06-30,1998-06-30,2019-07-17,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,26607176.0,,,,,1.0,,,,,,,,,,,,,,45539604.0,,,,,,,,,,,,,,,,,,,,,,,,,,16.5,,,,,,,,,,,,,,1.0,2759976.0,2759976.0,,,,,,,,
14125,TRUE1,MRT,1998-03-31,1998-03-31,1998-03-31,2019-07-17,42285.0,399477082.0,,,,,13.981,,44824833.0,44824833.0,,,,9.367,25892405.0,,,25892405.0,0.0,,333199867.0,0.0,0.0,,,,,,,,,,38532540.0,,38532540.0,51826041.0,,,,,1.0,,,6474477.0,,374070177.0,,0.0,336602759.0,,,360944542.0,,,51330053.0,,,,,,,,,,,,,,,,,,,1469826.0,,1.332,,,8050855.0,,18.625,,,0.0,30182238.0,,,,,,,,,,1.0,2755976.0,2755976.0,,,393002605.0,0.0,,0.0,142.6,
14126,TRUE1,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-07-17,329445.0,411778658.0,,,,,14.516,-516112.0,47040638.0,47040638.0,0.0,354054.0,,9.378,24432482.0,,,24432482.0,0.0,305598.0,346802846.0,0.005,0.06,529891.0,835489.0,0.25,835489.0,529891.0,529891.0,0.13,0.12,0.13,39676609.0,,39676609.0,8819641.0,3.0,1.958,-678775.0,-0.248,1.0,3339397.0,1.0,5587678.0,0.0,383582824.0,,0.0,344476098.0,,,372102049.0,,,35192216.0,-2691354.0,-8084596.0,-164792.0,1208253.0,-164002.0,6907325.0,-9436016.0,-8616312.0,-162663.0,0.0,354054.0,354054.0,354054.0,0.0,0.0,0.106,2809506.0,529891.0,0.0,0.462,0.887,15.373,15.512,10612295.0,0.0,12.875,2.537,2.537,0.0,31183528.0,3339397.0,3339397.0,0.0,,,,,0.0,2555660.0,1.0,2733376.0,2733376.0,,1.222,406190980.0,0.0,175837.0,0.0,148.604,
14127,TRUE1,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-07-17,632955.0,405162934.0,,,,,14.449,-427442.0,49731992.0,49731992.0,0.0,540154.0,,9.16,23359417.0,,,23359417.0,0.0,281472.0,340776677.0,0.0,0.0,811184.0,1092656.0,0.319,1092656.0,811184.0,811184.0,0.195,0.185,0.195,39879254.0,,39879254.0,17809753.0,5.0,3.703,2723401.0,0.987,1.0,3422857.0,1.0,5687656.0,0.0,373102703.0,,0.0,335429989.0,,,365283680.0,,,36742181.0,3583508.0,0.0,-168400.0,-1231265.0,-165599.0,1619140.0,-1186475.0,-966327.0,3150843.0,0.0,540154.0,540154.0,540154.0,0.0,0.0,0.158,2611673.0,811184.0,1573022.0,0.0,0.921,13.697,13.724,9885866.0,0.0,13.313,2.699,2.699,0.0,30993476.0,3422857.0,3422857.0,0.0,,,,,0.0,2373247.0,1.0,2759976.0,2759976.0,,1.24,399475278.0,0.0,271030.0,0.0,144.739,
14128,TRUE1,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-07-17,,,,,,,,-1031930.0,,,0.0,602282.0,,,,,,,,250799.0,,0.0,0.0,905334.0,1156133.0,0.319,1156133.0,905334.0,905334.0,0.215,0.205,0.215,,,,26607176.0,,,-2899953.0,-1.051,1.0,3626324.0,1.0,,0.0,,,,,,,,,,45539604.0,1612497.0,0.0,37600.0,-1424580.0,-165599.0,2723820.0,756700.0,1728313.0,-1868023.0,0.0,602282.0,602282.0,602282.0,0.0,0.0,0.166,2720990.0,905334.0,,0.0,,,,,0.0,16.5,,,,,3626324.0,3626324.0,0.0,,,,,0.0,2484818.0,1.0,2759976.0,2759976.0,,1.314,,,303052.0,,,
14129,TRUE1,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-07-17,42285.0,399477082.0,,,,,13.981,-689758.0,44824833.0,44824833.0,0.0,792676.0,,9.367,25892405.0,,,25892405.0,0.0,226843.0,333199867.0,0.0,0.0,1193804.0,1420647.0,0.408,1420647.0,1193804.0,1193804.0,0.29,0.27,0.29,38532540.0,,38532540.0,51826041.0,,,-295189.0,-0.107,1.0,3483182.0,1.0,6474477.0,0.0,374070177.0,,0.0,336602759.0,,,360944542.0,,,51330053.0,-84913.0,21745008.0,113451.0,955764.0,-165358.0,2245831.0,-2725313.0,6318554.0,394569.0,0.0,792676.0,792676.0,792676.0,0.0,0.0,0.228,2289378.0,1193804.0,1469826.0,0.0,1.332,,,8050855.0,0.0,18.625,,,0.0,30182238.0,3483182.0,3483182.0,0.0,,,,,0.0,2068241.0,1.0,2755976.0,2755976.0,,1.264,393002605.0,0.0,401128.0,0.0,142.6,
14130,TRUE1,ARY,1998-12-31,1999-03-19,1998-12-31,2019-07-17,329445.0,411778658.0,377593947.0,,,0.037,14.614,-2665242.0,47040638.0,47040638.0,0.0,2289166.0,,9.378,24432482.0,,,24432482.0,0.0,1064712.0,346802846.0,0.005,0.06,3440213.0,4504925.0,0.325,4504925.0,3440213.0,3440213.0,0.83,0.78,0.83,39676609.0,38748988.0,39676609.0,11159856.0,3.0,2.477,-1150516.0,-0.424,1.0,13871760.0,1.0,5587678.0,0.0,383582824.0,362663154.0,0.0,344476098.0,,,372102049.0,,,33768012.0,2419738.0,17513405.0,-182141.0,-66921828.0,-660558.0,13496116.0,-12591104.0,-14472449.0,1514726.0,0.0,2289166.0,2289166.0,2289166.0,0.0,0.0,0.165,10431547.0,3440213.0,0.0,0.072,0.851,14.751,14.985,10612295.0,0.0,12.438,2.434,2.434,0.0,31183528.0,13871760.0,13871760.0,0.0,0.006,0.059,0.009,0.248,0.0,9481966.0,1.0,2715016.0,2715016.0,,5.109,406190980.0,0.0,1151047.0,0.0,149.609,
