None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
13933,TSAR,MRY,1998-12-31,1998-08-29,1998-08-29,2019-07-26,-376000.0,38708000.0,42801750.0,29581000.0,9127000.0,1.581,0.439,-1599000.0,66000.0,66000.0,51040000.0,-1491000.0,1.106,4.267,13523000.0,8912000.0,4611000.0,13523000.0,0.0,1775000.0,0.0,0.0,0.0,357000.0,2132000.0,0.031,2132000.0,357000.0,-1429000.0,-0.12,-0.12,-0.12,7349000.0,8696250.0,7349000.0,169894470.0,476.0,79.688,1617000.0,0.097,1.0,16643000.0,0.246,0.0,1786000.0,25417000.0,30617750.0,11375000.0,0.0,0.0,0.0,31359000.0,26748000.0,4611000.0,154967470.0,-426000.0,0.0,47000.0,-1290000.0,0.0,-2023000.0,-1619000.0,0.0,3216000.0,0.0,-1491000.0,-1944000.0,-1944000.0,0.0,0.0,-0.029,15816000.0,827000.0,14474000.0,0.0,21.087,-79.716,-77.083,8199000.0,453000.0,9.25,2.29,2.29,17813000.0,-14103000.0,67683000.0,67683000.0,0.0,-0.045,-0.224,0.012,0.005,217000.0,15816000.0,1.0,16753240.0,16753240.0,,4.04,38708000.0,0.0,62000.0,0.0,2.31,2833000.0
13934,TSAR,MRT,1998-12-31,1998-11-28,1998-11-28,2019-07-26,-376000.0,42102000.0,41886500.0,33212000.0,8890000.0,1.478,0.707,-1338000.0,41000.0,41000.0,46719000.0,-2622000.0,1.298,2.555,12774000.0,8094000.0,4680000.0,12774000.0,0.0,1764000.0,0.0,0.0,0.0,-967000.0,797000.0,0.013,797000.0,-967000.0,-2610000.0,-0.24,-0.24,-0.24,11844000.0,9404500.0,11844000.0,125917215.0,-130.0,157.989,353000.0,0.021,1.0,15174000.0,0.245,0.0,1643000.0,29257000.0,28993500.0,13215000.0,0.0,0.0,0.0,30258000.0,25578000.0,4680000.0,110990215.0,-428000.0,0.0,-94000.0,-4270000.0,0.0,-873000.0,-1246000.0,0.0,1691000.0,0.0,-2622000.0,-3810000.0,-3810000.0,0.0,0.0,-0.062,15740000.0,-566000.0,13973000.0,0.0,9.371,-29.131,-27.604,8031000.0,1188000.0,6.625,1.793,1.793,19582000.0,-14614000.0,61893000.0,61893000.0,0.0,-0.091,-0.405,-0.033,-0.016,0.0,15740000.0,1.0,16753240.0,16753240.0,,3.694,42102000.0,0.0,12000.0,0.0,2.513,7634000.0
13935,TSAR,MRT,1998-09-30,1998-08-29,1998-08-29,2019-07-26,-376000.0,38708000.0,42801750.0,29581000.0,9127000.0,1.581,0.439,-1599000.0,66000.0,66000.0,51040000.0,-1491000.0,1.106,4.267,13523000.0,8912000.0,4611000.0,13523000.0,0.0,1775000.0,0.0,0.0,0.0,357000.0,2132000.0,0.031,2132000.0,357000.0,-1429000.0,-0.12,-0.12,-0.12,7349000.0,8696250.0,7349000.0,169894470.0,476.0,79.688,1617000.0,0.097,1.0,16643000.0,0.246,0.0,1786000.0,25417000.0,30617750.0,11375000.0,0.0,0.0,0.0,31359000.0,26748000.0,4611000.0,154967470.0,-426000.0,0.0,47000.0,-1290000.0,0.0,-2023000.0,-1619000.0,0.0,3216000.0,0.0,-1491000.0,-1944000.0,-1944000.0,0.0,0.0,-0.029,15816000.0,827000.0,14474000.0,0.0,21.087,-79.716,-77.083,8199000.0,453000.0,9.25,2.29,2.29,17813000.0,-14103000.0,67683000.0,67683000.0,0.0,-0.045,-0.224,0.012,0.005,217000.0,15816000.0,1.0,16753240.0,16753240.0,,4.04,38708000.0,0.0,62000.0,0.0,2.31,2833000.0
13936,TSAR,MRT,1998-06-30,1998-05-30,1998-05-30,2019-07-26,0.0,41803000.0,43395750.0,32804000.0,8999000.0,1.628,0.571,-1288000.0,311000.0,311000.0,50303000.0,859000.0,1.187,3.37,15238000.0,10633000.0,4605000.0,15238000.0,0.0,1713000.0,0.0,0.0,0.0,2669000.0,4382000.0,0.062,4382000.0,2669000.0,922000.0,0.01,0.01,0.01,9566000.0,8683750.0,9566000.0,192081447.0,72.0,43.834,921000.0,0.055,1.0,20366000.0,0.288,0.0,1747000.0,29098000.0,32157750.0,13551000.0,0.0,0.0,0.0,32237000.0,27632000.0,4605000.0,174848447.0,-623000.0,0.0,0.0,-102000.0,0.0,-1011000.0,-1169000.0,0.0,2209000.0,0.0,859000.0,407000.0,407000.0,0.0,0.0,0.006,17399000.0,2967000.0,14094000.0,0.0,18.278,429.603,1043.75,8006000.0,452000.0,10.438,2.474,2.474,18295000.0,-12106000.0,70669000.0,70669000.0,0.0,0.009,0.047,0.083,0.038,217000.0,17399000.0,1.0,16751947.0,16751947.0,,4.219,41803000.0,0.0,63000.0,0.0,2.495,5172000.0
13937,TSAR,MRT,1998-03-31,1998-02-28,1998-02-28,2019-07-26,0.0,44933000.0,,35356000.0,9577000.0,,0.529,-1828000.0,358000.0,358000.0,49842000.0,1959000.0,1.18,4.072,17591000.0,11481000.0,6110000.0,17591000.0,0.0,1722000.0,0.0,0.0,0.0,3842000.0,5564000.0,0.078,5564000.0,3842000.0,2042000.0,0.08,0.08,0.08,8859000.0,,8859000.0,190992450.0,50.0,34.326,1413000.0,0.084,1.0,21759000.0,0.304,0.0,1800000.0,32202000.0,,16168000.0,0.0,0.0,0.0,36074000.0,29964000.0,6110000.0,171694450.0,-623000.0,0.0,0.0,-729000.0,0.0,-1590000.0,-1622000.0,0.0,3241000.0,0.0,1959000.0,1506000.0,1506000.0,0.0,0.0,0.021,17529000.0,4230000.0,15310000.0,0.0,19.381,114.007,128.125,8339000.0,453000.0,10.25,2.398,2.398,18135000.0,-11294000.0,71601000.0,71601000.0,0.0,,,,0.054,217000.0,17529000.0,1.0,16750678.0,16750678.0,,4.275,44933000.0,0.0,83000.0,0.0,2.682,5392000.0
13938,TSAR,MRQ,1998-12-31,1998-11-28,1998-11-28,2019-07-26,-376000.0,42102000.0,,33212000.0,8890000.0,,0.707,-266000.0,41000.0,41000.0,10606000.0,224000.0,1.298,2.555,12774000.0,8094000.0,4680000.0,12774000.0,0.0,434000.0,0.0,0.0,0.0,555000.0,989000.0,0.066,989000.0,555000.0,224000.0,-0.04,-0.04,-0.04,11844000.0,,11844000.0,125917215.0,-130.0,157.989,-3547000.0,-0.212,1.0,4469000.0,0.296,0.0,331000.0,29257000.0,,13215000.0,0.0,0.0,0.0,30258000.0,25578000.0,4680000.0,110990215.0,-25000.0,0.0,0.0,-749000.0,0.0,3522000.0,-266000.0,0.0,-3281000.0,0.0,224000.0,-624000.0,-624000.0,0.0,0.0,-0.041,3891000.0,578000.0,13973000.0,0.0,9.371,-29.131,-27.604,8031000.0,848000.0,6.625,1.793,1.793,19582000.0,-14614000.0,15075000.0,15075000.0,0.0,,,,,0.0,3891000.0,1.0,16753240.0,16753240.0,,0.9,42102000.0,0.0,0.0,0.0,2.513,7634000.0
13939,TSAR,MRQ,1998-09-30,1998-08-29,1998-08-29,2019-07-26,-376000.0,38708000.0,,29581000.0,9127000.0,,0.439,-531000.0,66000.0,66000.0,12898000.0,-1997000.0,1.106,4.267,13523000.0,8912000.0,4611000.0,13523000.0,0.0,415000.0,0.0,0.0,0.0,-1600000.0,-1185000.0,-0.08,-1185000.0,-1600000.0,-1990000.0,-0.13,-0.13,-0.13,7349000.0,,7349000.0,169894470.0,476.0,79.688,1509000.0,0.09,1.0,1892000.0,0.128,0.0,390000.0,25417000.0,,11375000.0,0.0,0.0,0.0,31359000.0,26748000.0,4611000.0,154967470.0,-245000.0,0.0,47000.0,-1792000.0,0.0,-1745000.0,-540000.0,0.0,2040000.0,0.0,-1997000.0,-2111000.0,-2111000.0,0.0,0.0,-0.143,3323000.0,-1431000.0,14474000.0,0.0,21.087,-79.716,-77.083,8199000.0,114000.0,9.25,2.29,2.29,17813000.0,-14103000.0,14790000.0,14790000.0,0.0,,,,,0.0,3323000.0,1.0,16753240.0,16753240.0,,0.883,38708000.0,0.0,7000.0,0.0,2.31,2833000.0
13940,TSAR,MRQ,1998-06-30,1998-05-30,1998-05-30,2019-07-26,0.0,41803000.0,,32804000.0,8999000.0,,0.571,-169000.0,311000.0,311000.0,13250000.0,-812000.0,1.187,3.37,15238000.0,10633000.0,4605000.0,15238000.0,0.0,456000.0,0.0,0.0,0.0,-386000.0,70000.0,0.004,70000.0,-386000.0,-812000.0,-0.06,-0.06,-0.06,9566000.0,,9566000.0,192081447.0,72.0,43.834,-448000.0,-0.027,1.0,3935000.0,0.229,0.0,426000.0,29098000.0,,13551000.0,0.0,0.0,0.0,32237000.0,27632000.0,4605000.0,174848447.0,-47000.0,0.0,0.0,447000.0,0.0,399000.0,-167000.0,0.0,-279000.0,0.0,-812000.0,-925000.0,-925000.0,0.0,0.0,-0.054,4216000.0,-281000.0,14094000.0,0.0,18.278,429.603,1043.75,8006000.0,113000.0,10.438,2.474,2.474,18295000.0,-12106000.0,17185000.0,17185000.0,0.0,,,,,0.0,4216000.0,1.0,16751947.0,16751947.0,,1.026,41803000.0,0.0,0.0,0.0,2.495,5172000.0
13941,TSAR,MRQ,1998-03-31,1998-02-28,1998-02-28,2019-07-26,0.0,44933000.0,,35356000.0,9577000.0,,0.529,-372000.0,358000.0,358000.0,9965000.0,-37000.0,1.18,4.072,17591000.0,11481000.0,6110000.0,17591000.0,0.0,459000.0,0.0,0.0,0.0,464000.0,923000.0,0.062,923000.0,464000.0,-32000.0,-0.01,-0.01,-0.01,8859000.0,,8859000.0,190992450.0,50.0,34.326,2839000.0,0.169,1.0,4878000.0,0.329,0.0,496000.0,32202000.0,,16168000.0,0.0,0.0,0.0,36074000.0,29964000.0,6110000.0,171694450.0,-111000.0,0.0,-141000.0,-2176000.0,0.0,-3049000.0,-273000.0,0.0,3211000.0,0.0,-37000.0,-150000.0,-150000.0,0.0,0.0,-0.01,4310000.0,568000.0,15310000.0,0.0,19.381,114.007,128.125,8339000.0,113000.0,10.25,2.398,2.398,18135000.0,-11294000.0,14843000.0,14843000.0,0.0,,,,,0.0,4310000.0,1.0,16750678.0,16750678.0,,0.886,44933000.0,0.0,5000.0,0.0,2.682,5392000.0
13942,TSAR,ARY,1998-12-31,1998-12-07,1998-08-29,2019-07-26,-376000.0,38708000.0,42801750.0,29581000.0,9127000.0,1.581,0.438,-1599000.0,66000.0,66000.0,50432000.0,-1491000.0,1.106,4.267,13523000.0,8912000.0,4611000.0,13523000.0,0.0,1775000.0,0.0,0.0,0.0,357000.0,2132000.0,0.031,2132000.0,357000.0,-1429000.0,-0.12,-0.12,-0.12,7349000.0,8696250.0,7349000.0,120311518.0,337.0,56.431,1617000.0,0.096,1.0,17251000.0,0.255,0.0,1786000.0,25417000.0,30617750.0,11375000.0,0.0,0.0,0.0,31359000.0,26748000.0,4611000.0,106854518.0,259000.0,0.0,180000.0,-1290000.0,0.0,413000.0,-1619000.0,0.0,3216000.0,0.0,-1491000.0,-1944000.0,-1944000.0,0.0,0.0,-0.029,16424000.0,827000.0,14474000.0,0.0,14.54,-54.966,-53.125,8199000.0,453000.0,6.375,1.579,1.579,17813000.0,-14103000.0,67683000.0,67683000.0,0.0,-0.045,-0.224,0.012,0.005,217000.0,16424000.0,1.0,16761493.0,16761493.0,,4.038,38708000.0,0.0,62000.0,0.0,2.309,2833000.0
