None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
13514,TSSTQ,MRY,1998-12-31,1998-06-30,1998-06-30,2021-06-07,0.0,49263000.0,39160000.0,10490000.0,38773000.0,0.391,3.82,-11822000.0,5543000.0,5543000.0,14885000.0,-3437000.0,1.453,0.504,9048000.0,470000.0,8578000.0,9048000.0,0.0,1264000.0,0.0,0.0,0.0,-3312000.0,-2048000.0,-0.134,-2048000.0,-3312000.0,-3437000.0,-0.4,-0.4,-0.4,32749000.0,28814500.0,32749000.0,41992540.0,-13.0,-20.504,-17511000.0,-2.042,1.0,409000.0,0.027,18984000.0,125000.0,26563000.0,14098500.0,0.0,0.0,0.0,0.0,16514000.0,7221000.0,9293000.0,47724540.0,-17703000.0,-7106000.0,590000.0,6324000.0,0.0,6914000.0,-18928000.0,0.0,-5689000.0,0.0,-3437000.0,-3437000.0,-3437000.0,0.0,0.0,-0.225,5115000.0,-4706000.0,984000.0,0.0,1.457,-13.886,-12.5,19479000.0,0.0,5.0,3.12,2.803,3020000.0,-25020000.0,15294000.0,15294000.0,0.0,-0.088,-0.119,-0.235,-0.217,0.0,4469000.0,1.0,9544908.0,8574000.0,8574000.0,1.784,30279000.0,0.0,0.0,0.0,3.531,3269000.0
13515,TSSTQ,MRT,1998-12-31,1998-12-31,1998-12-31,2021-06-07,0.0,59122000.0,51174250.0,10513000.0,48609000.0,0.559,2.96,-19694000.0,4821000.0,4821000.0,31179000.0,-6160000.0,1.074,1.085,20261000.0,0.0,20261000.0,20261000.0,0.0,2346000.0,0.0,0.0,0.0,-6147000.0,-3801000.0,-0.133,-3801000.0,-6147000.0,-6160000.0,-0.65,-0.65,-0.65,28350000.0,31031500.0,28350000.0,33968153.0,-6.0,-8.937,-25383000.0,-2.65,1.0,-2564000.0,-0.09,16735000.0,13000.0,48036000.0,30171250.0,0.0,0.0,0.0,0.0,30772000.0,9791000.0,20981000.0,25145153.0,-13381000.0,-5302000.0,597000.0,18018000.0,0.0,18615000.0,-24996000.0,0.0,-5689000.0,0.0,-6160000.0,-6160000.0,-6160000.0,255000.0,0.0,-0.215,4237000.0,-6801000.0,1218000.0,0.0,0.887,-4.082,-4.038,30959000.0,0.0,2.625,0.879,0.879,3065000.0,-29448000.0,28615000.0,28615000.0,0.0,-0.12,-0.199,-0.204,-0.215,0.0,2395000.0,1.0,9579106.0,9579000.0,9579000.0,2.987,42387000.0,0.0,0.0,0.0,4.425,722000.0
13516,TSSTQ,MRT,1998-09-30,1998-09-30,1998-09-30,2021-06-07,0.0,54003000.0,48554500.0,9854000.0,44149000.0,0.441,3.115,-15731000.0,4940000.0,4940000.0,22989000.0,-5319000.0,1.017,0.81,13763000.0,0.0,13763000.0,13763000.0,0.0,1802000.0,0.0,0.0,0.0,-5194000.0,-3392000.0,-0.158,-3392000.0,-5194000.0,-5319000.0,-0.57,-0.57,-0.57,29837000.0,32421500.0,29837000.0,35235789.0,-7.0,-10.388,-22015000.0,-2.299,1.0,-1567000.0,-0.073,17539000.0,125000.0,35598000.0,18623250.0,0.0,0.0,0.0,0.0,24166000.0,9689000.0,14477000.0,31730789.0,-16355000.0,-5969000.0,601000.0,11028000.0,0.0,11629000.0,-21700000.0,0.0,-6284000.0,0.0,-5319000.0,-5319000.0,-5319000.0,0.0,0.0,-0.248,4790000.0,-6357000.0,1109000.0,0.0,1.063,-5.966,-5.811,26254000.0,0.0,3.312,1.481,1.481,2224000.0,-27961000.0,21422000.0,21422000.0,0.0,-0.11,-0.164,-0.279,-0.242,0.0,3525000.0,1.0,9579106.0,9577000.0,9577000.0,2.237,36464000.0,0.0,0.0,0.0,3.807,165000.0
13517,TSSTQ,MRT,1998-06-30,1998-06-30,1998-06-30,2021-06-07,0.0,49263000.0,39160000.0,10490000.0,38773000.0,0.391,3.82,-11822000.0,5543000.0,5543000.0,14885000.0,-3437000.0,1.453,0.504,9048000.0,470000.0,8578000.0,9048000.0,0.0,1264000.0,0.0,0.0,0.0,-3312000.0,-2048000.0,-0.134,-2048000.0,-3312000.0,-3437000.0,-0.4,-0.4,-0.4,32749000.0,28814500.0,32749000.0,41992540.0,-13.0,-20.504,-17511000.0,-2.042,1.0,409000.0,0.027,18984000.0,125000.0,26563000.0,14098500.0,0.0,0.0,0.0,0.0,16514000.0,7221000.0,9293000.0,47724540.0,-17703000.0,-7106000.0,590000.0,6324000.0,0.0,6914000.0,-18928000.0,0.0,-5689000.0,0.0,-3437000.0,-3437000.0,-3437000.0,0.0,0.0,-0.225,5115000.0,-4706000.0,984000.0,0.0,1.457,-13.886,-12.5,19479000.0,0.0,5.0,3.12,2.803,3020000.0,-25020000.0,15294000.0,15294000.0,0.0,-0.088,-0.119,-0.235,-0.217,0.0,4469000.0,1.0,9544908.0,8574000.0,8574000.0,1.784,30279000.0,0.0,0.0,0.0,3.531,3269000.0
13518,TSSTQ,MRT,1998-03-31,1998-03-31,1998-03-31,2021-06-07,0.0,42309000.0,,9631000.0,32678000.0,,3.507,-7188000.0,6949000.0,6949000.0,,,1.274,0.275,1217000.0,432000.0,785000.0,1217000.0,0.0,555000.0,0.0,0.0,0.0,,,,,,,,,,33190000.0,,33190000.0,40920194.0,,,-9951000.0,-1.051,1.0,,,18532000.0,,10488000.0,,0.0,0.0,0.0,0.0,9119000.0,7557000.0,1562000.0,57840194.0,-17653000.0,-7991000.0,417000.0,-123000.0,0.0,294000.0,-15184000.0,-5000.0,-2763000.0,0.0,,,,,,,,,859000.0,,1.743,,,13050000.0,,6.125,,,1740000.0,-24403000.0,,,,,,,,0.0,,1.0,9443297.0,9465000.0,,,23777000.0,0.0,,0.0,2.512,2074000.0
13519,TSSTQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-06-07,0.0,59122000.0,,10513000.0,48609000.0,,2.96,-5144000.0,4821000.0,4821000.0,9727000.0,-1487000.0,1.074,1.085,20261000.0,0.0,20261000.0,20261000.0,0.0,652000.0,0.0,0.0,0.0,-1599000.0,-947000.0,-0.106,-947000.0,-1599000.0,-1487000.0,-0.16,-0.16,-0.16,28350000.0,,28350000.0,33968153.0,-6.0,-8.937,-7109000.0,-0.742,1.0,-766000.0,-0.085,16735000.0,-112000.0,48036000.0,,0.0,0.0,0.0,0.0,30772000.0,9791000.0,20981000.0,25145153.0,-119000.0,0.0,0.0,6990000.0,0.0,6990000.0,-5144000.0,0.0,-1965000.0,0.0,-1487000.0,-1487000.0,-1487000.0,255000.0,0.0,-0.166,577000.0,-1343000.0,1218000.0,0.0,0.887,-4.082,-4.038,30959000.0,0.0,2.625,0.879,0.879,3065000.0,-29448000.0,8961000.0,8961000.0,0.0,,,,,0.0,0.0,1.0,9579106.0,9579000.0,9579000.0,0.935,42387000.0,0.0,0.0,0.0,4.425,722000.0
13520,TSSTQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-06-07,0.0,54003000.0,,9854000.0,44149000.0,,3.115,-6896000.0,4940000.0,4940000.0,9326000.0,-2941000.0,1.017,0.81,13763000.0,0.0,13763000.0,13763000.0,0.0,619000.0,0.0,0.0,0.0,-2941000.0,-2322000.0,-0.336,-2322000.0,-2941000.0,-2941000.0,-0.31,-0.31,-0.31,29837000.0,,29837000.0,35235789.0,-7.0,-10.388,-6474000.0,-0.676,1.0,-2421000.0,-0.351,17539000.0,0.0,35598000.0,,0.0,0.0,0.0,0.0,24166000.0,9689000.0,14477000.0,31730789.0,-603000.0,1137000.0,30000.0,4704000.0,0.0,4734000.0,-5759000.0,0.0,422000.0,0.0,-2941000.0,-2941000.0,-2941000.0,0.0,0.0,-0.426,619000.0,-3040000.0,1109000.0,0.0,1.063,-5.966,-5.811,26254000.0,0.0,3.312,1.481,1.481,2224000.0,-27961000.0,6905000.0,6905000.0,0.0,,,,,0.0,0.0,1.0,9579106.0,9577000.0,9577000.0,0.721,36464000.0,0.0,0.0,0.0,3.807,165000.0
13521,TSSTQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-06-07,0.0,49263000.0,,10490000.0,38773000.0,,3.82,-5481000.0,5543000.0,5543000.0,6151000.0,-617000.0,1.453,0.504,9048000.0,470000.0,8578000.0,9048000.0,0.0,787000.0,0.0,0.0,0.0,-527000.0,260000.0,0.04,260000.0,-527000.0,-617000.0,-0.06,-0.06,-0.06,32749000.0,,32749000.0,41992540.0,-13.0,-20.504,-8911000.0,-1.039,1.0,392000.0,0.06,18984000.0,90000.0,26563000.0,,0.0,0.0,0.0,0.0,16514000.0,7221000.0,9293000.0,47724540.0,-1406000.0,885000.0,173000.0,6447000.0,0.0,6620000.0,-4596000.0,0.0,-3430000.0,0.0,-617000.0,-617000.0,-617000.0,0.0,0.0,-0.094,1611000.0,-1219000.0,984000.0,0.0,1.457,-13.886,-12.5,19479000.0,0.0,5.0,3.12,2.803,3020000.0,-25020000.0,6543000.0,6543000.0,0.0,,,,,0.0,965000.0,1.0,9544908.0,8574000.0,8574000.0,0.763,30279000.0,0.0,0.0,0.0,3.531,3269000.0
13522,TSSTQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-06-07,0.0,42309000.0,,9631000.0,32678000.0,,3.507,-2173000.0,6949000.0,6949000.0,5975000.0,-1115000.0,1.274,0.275,1217000.0,432000.0,785000.0,1217000.0,0.0,288000.0,0.0,0.0,0.0,-1080000.0,-792000.0,-0.128,-792000.0,-1080000.0,-1115000.0,-0.12,-0.12,-0.12,33190000.0,,33190000.0,40920194.0,,,-2889000.0,-0.305,1.0,231000.0,0.037,18532000.0,35000.0,10488000.0,,0.0,0.0,0.0,0.0,9119000.0,7557000.0,1562000.0,57840194.0,-11253000.0,-7324000.0,394000.0,-123000.0,0.0,271000.0,-9497000.0,0.0,-716000.0,0.0,-1115000.0,-1115000.0,-1115000.0,0.0,0.0,-0.18,1430000.0,-1199000.0,859000.0,0.0,1.743,,,13050000.0,0.0,6.125,,,1740000.0,-24403000.0,6206000.0,6206000.0,0.0,,,,,0.0,1430000.0,1.0,9443297.0,9465000.0,9465000.0,0.656,23777000.0,0.0,0.0,0.0,2.512,2074000.0
13523,TSSTQ,ARY,1998-12-31,1998-09-28,1998-06-30,2021-06-07,0.0,49263000.0,,10490000.0,38773000.0,,3.82,-11822000.0,5543000.0,5543000.0,11410000.0,-3437000.0,1.453,0.504,9048000.0,470000.0,8578000.0,9048000.0,0.0,1264000.0,0.0,0.0,0.0,-3312000.0,-2048000.0,,-2048000.0,-3312000.0,-3437000.0,-0.4,-0.4,-0.4,32749000.0,,32749000.0,34637094.0,-10.0,-16.913,-17511000.0,-2.042,1.0,-11410000.0,,18984000.0,125000.0,26563000.0,,0.0,0.0,0.0,0.0,16514000.0,7221000.0,9293000.0,31132094.0,-17703000.0,-7106000.0,0.0,6324000.0,0.0,6914000.0,-18928000.0,0.0,-5689000.0,0.0,-3437000.0,-3437000.0,-3437000.0,0.0,0.0,,8590000.0,-20000000.0,984000.0,0.0,0.951,-9.058,-8.125,19479000.0,0.0,3.25,,,3020000.0,-25020000.0,0.0,0.0,0.0,,,,,0.0,3931000.0,1.0,9579106.0,8574000.0,8574000.0,0.0,30279000.0,0.0,0.0,0.0,3.531,3269000.0
