None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
12517,TWRAQ,MRY,1998-12-31,1998-12-31,1998-12-31,2019-05-17,428000.0,1936167000.0,1905104500.0,436094000.0,1500073000.0,0.964,13.123,-185138000.0,6111000.0,6111000.0,1562167000.0,88040000.0,1.325,2.191,560540000.0,18191000.0,542349000.0,560540000.0,0.0,87372000.0,0.0,0.0,0.0,184689000.0,272061000.0,0.148,272061000.0,184689000.0,142183000.0,1.91,1.68,1.91,606796000.0,570222250.0,606796000.0,1735431985.0,9.0,6.379,35960000.0,0.778,1.0,274312000.0,0.149,421700000.0,42506000.0,1739738000.0,1755953750.0,76913000.0,209625000.0,0.0,209625000.0,1329371000.0,329158000.0,1000213000.0,1153095985.0,3434000.0,-87488000.0,2883000.0,-203265000.0,0.0,49737000.0,-267401000.0,0.0,221098000.0,0.0,88040000.0,88040000.0,88040000.0,0.0,0.0,0.048,98641000.0,175671000.0,214194000.0,0.0,1.9,13.097,13.056,821873000.0,0.0,24.938,0.628,0.628,239888000.0,177434000.0,1836479000.0,1836479000.0,0.0,0.046,0.154,0.105,0.101,0.0,85169000.0,1.0,46239438.0,46239438.0,,39.717,1514467000.0,0.0,54143000.0,20376000.0,32.753,106936000.0
12518,TWRAQ,MRT,1998-12-31,1998-12-31,1998-12-31,2019-05-17,428000.0,1936167000.0,1905104500.0,436094000.0,1500073000.0,0.964,13.123,-185138000.0,6111000.0,6111000.0,1562167000.0,88040000.0,1.325,2.191,560540000.0,18191000.0,542349000.0,560540000.0,0.0,87372000.0,0.0,0.0,0.0,184689000.0,272061000.0,0.148,272061000.0,184689000.0,142183000.0,1.91,1.68,1.91,606796000.0,570222250.0,606796000.0,1735431985.0,9.0,6.379,35960000.0,0.778,1.0,274312000.0,0.149,421700000.0,42506000.0,1739738000.0,1755953750.0,76913000.0,209625000.0,0.0,209625000.0,1329371000.0,329158000.0,1000213000.0,1153095985.0,3434000.0,-87488000.0,2883000.0,-203265000.0,0.0,49737000.0,-267401000.0,0.0,221098000.0,0.0,88040000.0,88040000.0,88040000.0,0.0,0.0,0.048,98641000.0,175671000.0,214194000.0,0.0,1.9,13.097,13.056,821873000.0,0.0,24.938,0.628,0.628,239888000.0,177434000.0,1836479000.0,1836479000.0,0.0,0.046,0.154,0.105,0.101,0.0,85169000.0,1.0,46239438.0,46239438.0,,39.717,1514467000.0,0.0,54143000.0,20376000.0,32.753,106936000.0
12519,TWRAQ,MRT,1998-09-30,1998-09-30,1998-09-30,2019-05-17,0.0,1949296000.0,1841084750.0,477103000.0,1472193000.0,0.979,12.52,-157945000.0,2811000.0,2811000.0,1535976000.0,77783000.0,1.341,2.369,585147000.0,7209000.0,577938000.0,585147000.0,0.0,82847000.0,0.0,0.0,0.0,179684000.0,262531000.0,0.146,262531000.0,179684000.0,125655000.0,1.71,1.54,1.71,578668000.0,547343000.0,578668000.0,1461852002.0,8.0,5.568,9781000.0,0.212,1.0,265811000.0,0.148,473468000.0,54029000.0,1702312000.0,1766615750.0,84119000.0,205772000.0,0.0,205772000.0,1370628000.0,355852000.0,1014776000.0,912848002.0,-10613000.0,-191250000.0,1755000.0,-87932000.0,0.0,165708000.0,-344047000.0,0.0,167726000.0,0.0,77783000.0,77783000.0,77783000.0,0.0,0.0,0.043,99797000.0,166014000.0,216018000.0,0.0,1.577,11.736,11.55,778052000.0,0.0,19.75,0.507,0.507,287206000.0,150226000.0,1801787000.0,1801787000.0,0.0,0.042,0.142,0.102,0.1,0.0,85473000.0,1.0,46220152.0,46220152.0,,38.983,1475828000.0,12253000.0,47872000.0,0.0,31.93,121251000.0
12520,TWRAQ,MRT,1998-06-30,1998-06-30,1998-06-30,2019-05-17,0.0,1906641000.0,,475252000.0,1431389000.0,,12.139,-141640000.0,52155000.0,52155000.0,1460432000.0,71345000.0,1.525,2.405,601159000.0,5113000.0,596046000.0,601159000.0,0.0,73848000.0,0.0,0.0,0.0,167852000.0,241700000.0,0.142,241700000.0,167852000.0,114544000.0,1.57,1.45,1.57,559967000.0,,559967000.0,1805705730.0,11.0,7.471,3878000.0,0.084,1.0,246011000.0,0.144,477562000.0,53308000.0,1666541000.0,,77406000.0,203290000.0,0.0,203290000.0,1346674000.0,311542000.0,1035132000.0,988872730.0,14938000.0,-199850000.0,1269000.0,-50988000.0,0.0,202398000.0,-332978000.0,0.0,145518000.0,0.0,71345000.0,71345000.0,71345000.0,0.0,0.0,0.042,92106000.0,153905000.0,188560000.0,0.0,1.766,13.86,13.654,733811000.0,0.0,21.438,0.579,0.579,254581000.0,131960000.0,1706443000.0,1706443000.0,0.0,,,,0.098,0.0,78660000.0,1.0,46128174.0,46128174.0,,36.994,1429079000.0,14108000.0,43199000.0,0.0,30.981,163710000.0
12521,TWRAQ,MRT,1998-03-31,1998-03-31,1998-03-31,2019-05-17,0.0,1828314000.0,,450000000.0,1378314000.0,,11.62,-141453000.0,8270000.0,8270000.0,1346555000.0,58346000.0,1.563,2.414,825103000.0,5004000.0,820099000.0,825103000.0,0.0,64611000.0,0.0,0.0,0.0,144128000.0,208739000.0,0.133,208739000.0,144128000.0,96910000.0,1.315,1.235,1.315,535458000.0,,535458000.0,1778919915.0,12.0,8.522,-36647000.0,-0.795,1.0,221286000.0,0.141,441924000.0,47218000.0,1915224000.0,,79151000.0,198813000.0,0.0,198813000.0,1292856000.0,287999000.0,1004857000.0,1037883915.0,-33030000.0,-941992000.0,285547000.0,656919000.0,0.0,942755000.0,-1080591000.0,0.0,104806000.0,0.0,58346000.0,58346000.0,58346000.0,0.0,0.0,0.037,85338000.0,135948000.0,193063000.0,0.0,1.938,17.788,17.11,715476000.0,0.0,22.5,0.662,0.661,285397000.0,108214000.0,1567841000.0,1567841000.0,0.0,,,,0.092,0.0,73197000.0,1.0,46128174.0,46082000.0,,34.023,1386390000.0,14108000.0,38564000.0,0.0,30.085,162001000.0
12522,TWRAQ,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-05-17,428000.0,1936167000.0,,436094000.0,1500073000.0,,13.123,-62830000.0,6111000.0,6111000.0,395345000.0,27208000.0,1.325,2.191,560540000.0,18191000.0,542349000.0,560540000.0,0.0,22447000.0,0.0,0.0,0.0,53905000.0,76352000.0,0.163,76352000.0,53905000.0,44629000.0,0.59,0.5,0.59,606796000.0,,606796000.0,1735431985.0,9.0,6.379,34864000.0,0.754,1.0,73280000.0,0.156,421700000.0,9276000.0,1739738000.0,,76913000.0,209625000.0,0.0,209625000.0,1329371000.0,329158000.0,1000213000.0,1153095985.0,3271000.0,-6292000.0,789000.0,-24298000.0,0.0,-25272000.0,-69151000.0,0.0,97694000.0,0.0,27208000.0,27208000.0,27208000.0,0.0,0.0,0.058,22639000.0,50641000.0,214194000.0,0.0,1.9,13.097,13.056,821873000.0,0.0,24.938,0.628,0.628,239888000.0,177434000.0,468625000.0,468625000.0,0.0,,,,,0.0,19201000.0,1.0,46239438.0,46239438.0,,10.135,1514467000.0,0.0,17421000.0,20376000.0,32.753,106936000.0
12523,TWRAQ,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-05-17,0.0,1949296000.0,,477103000.0,1472193000.0,,12.52,-51612000.0,2811000.0,2811000.0,377862000.0,18266000.0,1.341,2.369,585147000.0,7209000.0,577938000.0,585147000.0,0.0,22956000.0,0.0,0.0,0.0,39248000.0,62204000.0,0.14,62204000.0,39248000.0,30628000.0,0.4,0.35,0.4,578668000.0,,578668000.0,1461852002.0,8.0,5.568,-19695000.0,-0.426,1.0,66989000.0,0.151,473468000.0,8620000.0,1702312000.0,,84119000.0,205772000.0,0.0,205772000.0,1370628000.0,355852000.0,1014776000.0,912848002.0,-49374000.0,1035000.0,486000.0,-31188000.0,0.0,-30684000.0,-50607000.0,0.0,31917000.0,0.0,18266000.0,18266000.0,18266000.0,0.0,0.0,0.041,27464000.0,39525000.0,216018000.0,0.0,1.577,11.736,11.55,778052000.0,0.0,19.75,0.507,0.507,287206000.0,150226000.0,444851000.0,444851000.0,0.0,,,,,0.0,24003000.0,1.0,46220152.0,46220152.0,,9.625,1475828000.0,12253000.0,12362000.0,0.0,31.93,121251000.0
12524,TWRAQ,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-05-17,0.0,1906641000.0,,475252000.0,1431389000.0,,12.139,-36100000.0,52155000.0,52155000.0,395020000.0,23746000.0,1.525,2.405,601159000.0,5113000.0,596046000.0,601159000.0,0.0,21074000.0,0.0,0.0,0.0,50053000.0,71127000.0,0.153,71127000.0,50053000.0,37358000.0,0.51,0.46,0.51,559967000.0,,559967000.0,1805705730.0,11.0,7.471,48411000.0,1.049,1.0,70854000.0,0.152,477562000.0,12695000.0,1666541000.0,,77406000.0,203290000.0,0.0,203290000.0,1346674000.0,311542000.0,1035132000.0,988872730.0,49260000.0,-32740000.0,445000.0,-223944000.0,0.0,28214000.0,-63465000.0,0.0,84511000.0,0.0,23746000.0,23746000.0,23746000.0,0.0,0.0,0.051,24134000.0,46720000.0,188560000.0,0.0,1.766,13.86,13.654,733811000.0,0.0,21.438,0.579,0.579,254581000.0,131960000.0,465874000.0,465874000.0,0.0,,,,,0.0,20825000.0,1.0,46128174.0,46128174.0,,10.1,1429079000.0,14108000.0,13612000.0,0.0,30.981,163710000.0
12525,TWRAQ,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-05-17,0.0,1828314000.0,,450000000.0,1378314000.0,,11.62,-34596000.0,8270000.0,8270000.0,393940000.0,18820000.0,1.563,2.414,825103000.0,5004000.0,820099000.0,825103000.0,0.0,20895000.0,0.0,0.0,0.0,41483000.0,62378000.0,0.136,62378000.0,41483000.0,29568000.0,0.41,0.37,0.41,535458000.0,,535458000.0,1778919915.0,12.0,8.522,-27620000.0,-0.599,1.0,63189000.0,0.138,441924000.0,11915000.0,1915224000.0,,79151000.0,198813000.0,0.0,198813000.0,1292856000.0,287999000.0,1004857000.0,1037883915.0,277000.0,-49491000.0,1163000.0,76165000.0,0.0,77479000.0,-84178000.0,0.0,6976000.0,0.0,18820000.0,18820000.0,18820000.0,0.0,0.0,0.041,24404000.0,38785000.0,193063000.0,0.0,1.938,17.788,17.11,715476000.0,0.0,22.5,0.662,0.661,285397000.0,108214000.0,457129000.0,457129000.0,0.0,,,,,0.0,21140000.0,1.0,46128174.0,46082000.0,54858000.0,9.92,1386390000.0,14108000.0,10748000.0,0.0,30.085,162001000.0
12526,TWRAQ,ARY,1998-12-31,1999-03-31,1998-12-31,2019-05-17,428000.0,1936167000.0,1905104500.0,436094000.0,1500073000.0,0.964,13.009,-185138000.0,6111000.0,6111000.0,1562167000.0,88040000.0,1.325,2.191,560540000.0,18191000.0,542349000.0,560540000.0,0.0,87372000.0,0.0,0.0,0.0,184689000.0,272061000.0,0.148,272061000.0,184689000.0,142183000.0,1.91,1.68,1.91,606796000.0,570222250.0,606796000.0,1423210080.0,8.0,5.231,35960000.0,0.771,1.0,274312000.0,0.149,421700000.0,42506000.0,1739738000.0,1755953750.0,76913000.0,209625000.0,0.0,209625000.0,1329371000.0,329158000.0,1000213000.0,868781080.0,3434000.0,-87488000.0,3071000.0,-203453000.0,0.0,49737000.0,-267401000.0,0.0,221098000.0,0.0,88040000.0,88040000.0,88040000.0,0.0,0.0,0.048,98641000.0,175671000.0,214194000.0,0.0,1.432,9.868,9.751,821873000.0,0.0,18.625,0.473,0.473,239888000.0,177434000.0,1836479000.0,1836479000.0,0.0,0.046,0.154,0.105,0.101,0.0,85169000.0,1.0,46645964.0,46645964.0,,39.371,1514467000.0,0.0,54143000.0,20376000.0,32.467,106936000.0
