None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
11117,UHCI,MRY,1998-12-31,1998-12-31,1998-12-31,2018-09-06,0.0,9525000.0,29047250.0,2153000.0,7372000.0,0.0,-2.769,-1813000.0,556000.0,556000.0,21970000.0,-31175000.0,0.077,-1.217,1817000.0,1139000.0,678000.0,1817000.0,0.0,971000.0,0.0,0.0,0.0,-30926000.0,-29955000.0,,-29955000.0,-30926000.0,-31175000.0,-4.57,-4.57,-4.57,-23649000.0,-1578250.0,-23649000.0,17428625.0,-1.0,-0.582,-5945000.0,-0.696,1.0,-21970000.0,,3561000.0,249000.0,-20872000.0,15736750.0,0.0,0.0,0.0,0.0,28775000.0,28097000.0,678000.0,5337625.0,-696000.0,7000000.0,5500000.0,-7201000.0,0.0,-1701000.0,5137000.0,0.0,-4132000.0,0.0,-31175000.0,-31175000.0,-31175000.0,0.0,0.0,,4811000.0,-26781000.0,631000.0,0.0,-0.226,-0.171,-0.137,2660000.0,0.0,0.625,,,824000.0,-58025000.0,0.0,0.0,0.0,-1.073,19.753,-1.965,,0.0,3840000.0,1.0,8540200.0,8540200.0,,0.0,5964000.0,0.0,0.0,0.0,0.698,-25944000.0
11118,UHCI,MRT,1998-12-31,1998-12-31,1998-12-31,2018-09-06,0.0,9525000.0,29047250.0,2153000.0,7372000.0,0.0,-2.769,-1813000.0,556000.0,556000.0,21970000.0,-31175000.0,0.077,-1.217,1817000.0,1139000.0,678000.0,1817000.0,0.0,971000.0,0.0,0.0,0.0,-30926000.0,-29955000.0,,-29955000.0,-30926000.0,-31175000.0,-4.57,-4.57,-4.57,-23649000.0,-1578250.0,-23649000.0,17428625.0,-1.0,-0.582,-5945000.0,-0.696,1.0,-21970000.0,,3561000.0,249000.0,-20872000.0,15736750.0,0.0,0.0,0.0,0.0,28775000.0,28097000.0,678000.0,5337625.0,-696000.0,7000000.0,5500000.0,-7201000.0,0.0,-1701000.0,5137000.0,0.0,-4132000.0,0.0,-31175000.0,-31175000.0,-31175000.0,0.0,0.0,,4811000.0,-26781000.0,631000.0,0.0,-0.226,-0.171,-0.137,2660000.0,0.0,0.625,,,824000.0,-58025000.0,0.0,0.0,0.0,-1.073,19.753,-1.965,,0.0,3840000.0,1.0,8540200.0,8540200.0,,0.0,5964000.0,0.0,0.0,0.0,0.698,-25944000.0
11119,UHCI,MRT,1998-09-30,1998-09-30,1998-09-30,2018-09-06,0.0,22725000.0,36709750.0,6826000.0,15899000.0,0.404,0.509,-2565000.0,1809000.0,1809000.0,23366000.0,-26925000.0,1.172,4.225,13900000.0,1346000.0,12554000.0,13900000.0,0.0,807000.0,0.0,0.0,0.0,-26366000.0,-25559000.0,-1.724,-25559000.0,-26366000.0,-26925000.0,-3.87,-3.87,-3.87,4349000.0,5881000.0,4349000.0,30966358.0,-1.0,-1.212,-1293000.0,-0.151,1.0,-8541000.0,-0.576,7389000.0,559000.0,21605000.0,27824250.0,0.0,0.0,0.0,0.0,18376000.0,5822000.0,12554000.0,7511358.0,442000.0,0.0,5633000.0,-2369000.0,0.0,3257000.0,-3059000.0,0.0,1272000.0,0.0,-26925000.0,-26925000.0,-26925000.0,3777000.0,0.0,-1.816,10697000.0,-19238000.0,646000.0,0.0,1.727,-0.279,-0.275,7079000.0,0.0,1.063,0.507,0.612,614000.0,-34148000.0,14825000.0,14825000.0,0.0,-0.733,-4.578,-0.948,-1.778,0.0,7315000.0,1.0,7069513.0,8540000.0,,1.736,15336000.0,0.0,0.0,0.0,1.796,1004000.0
11120,UHCI,MRT,1998-06-30,1998-06-30,1998-06-30,2018-09-06,0.0,42615000.0,,14163000.0,28452000.0,,0.985,-1759000.0,584000.0,584000.0,21979000.0,-20394000.0,0.894,5.09,24039000.0,4270000.0,19769000.0,24039000.0,0.0,807000.0,0.0,0.0,0.0,-19860000.0,-19053000.0,-1.456,-19053000.0,-19860000.0,-20394000.0,-3.1,-3.1,-3.1,6998000.0,,6998000.0,37844404.0,-2.0,-1.986,-3139000.0,-0.442,1.0,-8892000.0,-0.679,18341000.0,534000.0,31881000.0,,982000.0,0.0,0.0,0.0,35617000.0,15848000.0,19769000.0,14781404.0,-1893000.0,0.0,25000.0,2000.0,0.0,1275000.0,-1788000.0,75000.0,-1380000.0,0.0,-20394000.0,-20394000.0,-20394000.0,-571000.0,0.0,-1.558,10410000.0,-19302000.0,5820000.0,0.0,2.112,-0.725,-0.726,8585000.0,0.0,2.25,1.129,1.221,11538000.0,-27141000.0,13087000.0,13087000.0,0.0,,,,-1.518,0.0,7035000.0,1.0,6569513.0,7104000.0,,1.842,24274000.0,0.0,0.0,0.0,3.417,-1685000.0
11121,UHCI,MRT,1998-03-31,1998-03-31,1998-03-31,2018-09-06,0.0,41324000.0,,12171000.0,29153000.0,,0.874,-1743000.0,939000.0,939000.0,21215000.0,-20365000.0,0.783,5.9,24002000.0,4210000.0,19792000.0,24002000.0,0.0,807000.0,0.0,0.0,0.0,-19979000.0,-19172000.0,-1.577,-19172000.0,-19979000.0,-20403000.0,-3.1,-3.1,-3.1,5989000.0,,5989000.0,35086999.0,-2.0,-1.83,-1436000.0,-0.209,1.0,-9057000.0,-0.745,18514000.0,424000.0,30333000.0,,924000.0,0.0,0.0,0.0,35335000.0,15540000.0,19795000.0,15191999.0,-531000.0,0.0,25000.0,875000.0,0.0,904000.0,-1742000.0,75000.0,307000.0,0.0,-20365000.0,-20365000.0,-20365000.0,-571000.0,0.0,-1.675,10346000.0,-19403000.0,6257000.0,0.0,2.537,-0.746,-0.746,9062000.0,0.0,2.313,1.25,1.304,9506000.0,-26899000.0,12158000.0,12158000.0,0.0,,,,-1.643,0.0,6748000.0,1.0,6569513.0,6856000.0,,1.773,22810000.0,0.0,-38000.0,0.0,3.327,-3369000.0
11122,UHCI,MRQ,1998-12-31,1998-12-31,1998-12-31,2018-09-06,0.0,9525000.0,,2153000.0,7372000.0,,-2.769,60000.0,556000.0,556000.0,7138000.0,-24114000.0,0.077,-1.217,1817000.0,1139000.0,678000.0,1817000.0,0.0,971000.0,0.0,0.0,0.0,-24629000.0,-23658000.0,1.175,-23658000.0,-24629000.0,-24114000.0,-3.75,-3.75,-3.75,-23649000.0,,-23649000.0,17428625.0,-1.0,-0.582,-3616000.0,-0.423,1.0,-27271000.0,1.355,3561000.0,-515000.0,-20872000.0,,0.0,0.0,0.0,0.0,28775000.0,28097000.0,678000.0,5337625.0,-1251000.0,7000000.0,-108000.0,-7153000.0,0.0,-7261000.0,7493000.0,0.0,-3676000.0,0.0,-24114000.0,-24114000.0,-24114000.0,-4969000.0,0.0,1.198,352000.0,-27623000.0,631000.0,0.0,-0.226,-0.171,-0.137,2660000.0,0.0,0.625,,,824000.0,-58025000.0,-20133000.0,-20133000.0,0.0,,,,,0.0,-263000.0,1.0,8540200.0,8540200.0,,-2.357,5964000.0,0.0,0.0,0.0,0.698,-25944000.0
11123,UHCI,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-09-06,0.0,22725000.0,,6826000.0,15899000.0,,0.509,-1429000.0,1809000.0,1809000.0,4781000.0,-6626000.0,1.172,4.225,13900000.0,1346000.0,12554000.0,13900000.0,0.0,0.0,0.0,0.0,0.0,-6365000.0,-6365000.0,-0.96,-6365000.0,-6365000.0,-6626000.0,-0.78,-0.78,-0.78,4349000.0,,4349000.0,30966358.0,-1.0,-1.212,1582000.0,0.185,1.0,1852000.0,0.279,7389000.0,261000.0,21605000.0,,0.0,0.0,0.0,0.0,18376000.0,5822000.0,12554000.0,7511358.0,1223000.0,0.0,5608000.0,-2071000.0,0.0,2287000.0,-1882000.0,0.0,3011000.0,0.0,-6626000.0,-6626000.0,-6626000.0,4486000.0,0.0,-0.999,1532000.0,320000.0,646000.0,0.0,1.727,-0.279,-0.275,7079000.0,0.0,1.063,0.507,0.612,614000.0,-34148000.0,6633000.0,6633000.0,0.0,,,,,0.0,1410000.0,1.0,7069513.0,8540000.0,8540000.0,0.777,15336000.0,0.0,0.0,0.0,1.796,1004000.0
11124,UHCI,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-09-06,0.0,42615000.0,,14163000.0,28452000.0,,0.985,-231000.0,584000.0,584000.0,10327000.0,-241000.0,0.894,5.09,24039000.0,4270000.0,19769000.0,24039000.0,0.0,0.0,0.0,0.0,0.0,324000.0,324000.0,0.022,324000.0,324000.0,-241000.0,-0.03,-0.03,-0.03,6998000.0,,6998000.0,37844404.0,-2.0,-1.986,-1599000.0,-0.225,1.0,4668000.0,0.311,18341000.0,565000.0,31881000.0,,982000.0,0.0,0.0,0.0,35617000.0,15848000.0,19769000.0,14781404.0,-355000.0,0.0,0.0,31000.0,0.0,1274000.0,-261000.0,0.0,-1368000.0,0.0,-241000.0,-241000.0,-241000.0,0.0,0.0,-0.016,4382000.0,286000.0,5820000.0,0.0,2.112,-0.725,-0.726,8585000.0,0.0,2.25,1.129,1.221,11538000.0,-27141000.0,14995000.0,14995000.0,0.0,,,,,0.0,3008000.0,1.0,6569513.0,7104000.0,7104000.0,2.111,24274000.0,0.0,0.0,0.0,3.417,-1685000.0
11125,UHCI,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-09-06,0.0,41324000.0,,12171000.0,29153000.0,,0.874,-754000.0,939000.0,939000.0,5085000.0,-198000.0,0.783,5.9,24002000.0,4210000.0,19792000.0,24002000.0,0.0,0.0,0.0,0.0,0.0,45000.0,45000.0,0.006,45000.0,45000.0,-198000.0,-0.03,-0.03,-0.03,5989000.0,,5989000.0,35086999.0,-2.0,-1.83,-908000.0,-0.132,1.0,1856000.0,0.267,18514000.0,243000.0,30333000.0,,924000.0,0.0,0.0,0.0,35335000.0,15540000.0,19795000.0,15191999.0,-313000.0,0.0,0.0,594000.0,0.0,594000.0,-754000.0,0.0,-154000.0,0.0,-198000.0,-198000.0,-198000.0,370000.0,0.0,-0.029,1455000.0,401000.0,6257000.0,0.0,2.537,-0.746,-0.746,9062000.0,0.0,2.313,1.25,1.304,9506000.0,-26899000.0,6941000.0,6941000.0,0.0,,,,,0.0,1343000.0,1.0,6569513.0,6856000.0,6856000.0,1.012,22810000.0,0.0,0.0,0.0,3.327,-3369000.0
11126,UHCI,ARY,1998-12-31,1999-03-31,1998-12-31,2018-09-06,0.0,9525000.0,29047250.0,2153000.0,7372000.0,0.0,-3.052,-1813000.0,556000.0,556000.0,21970000.0,-31175000.0,0.077,-1.217,1817000.0,1139000.0,678000.0,1817000.0,0.0,971000.0,0.0,0.0,0.0,-30926000.0,-29955000.0,,-29955000.0,-30926000.0,-31175000.0,-4.57,-4.57,-4.57,-23649000.0,-1578250.0,-23649000.0,3552211.0,0.0,-0.119,-5945000.0,-0.767,1.0,-21970000.0,,3561000.0,249000.0,-20872000.0,15736750.0,0.0,0.0,0.0,0.0,28775000.0,28097000.0,678000.0,2291211.0,-696000.0,7000000.0,5500000.0,-7201000.0,0.0,-1701000.0,5137000.0,0.0,-4132000.0,0.0,-31175000.0,-31175000.0,-31175000.0,0.0,0.0,,4811000.0,-26781000.0,631000.0,0.0,-0.097,-0.073,-0.055,2660000.0,0.0,0.25,,,824000.0,-58025000.0,0.0,0.0,0.0,-1.073,19.753,-1.965,,0.0,3840000.0,1.0,9164842.0,7748000.0,,0.0,5964000.0,0.0,0.0,0.0,0.77,-25944000.0
