None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
10588,UNMG,MRY,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,93513000.0,97943750.0,39443000.0,54070000.0,0.903,4.08,-5214000.0,4247000.0,4247000.0,56163000.0,-2965000.0,1.067,0.92,30250000.0,22417000.0,7833000.0,30250000.0,0.0,3621000.0,0.0,0.0,0.0,-2186000.0,1435000.0,0.016,1435000.0,-2186000.0,-2186000.0,-0.29,-0.29,-0.29,48712000.0,44579500.0,48712000.0,52219088.0,-24.0,36.39,1572000.0,0.132,1.0,32243000.0,0.365,7960000.0,0.0,74588000.0,77272750.0,22320000.0,0.0,0.0,0.0,44801000.0,36968000.0,7833000.0,26115088.0,3010000.0,0.0,13425000.0,-11483000.0,0.0,1942000.0,-5718000.0,0.0,6786000.0,0.0,-2965000.0,-2965000.0,-2965000.0,0.0,0.0,-0.034,14390000.0,17853000.0,5156000.0,0.0,0.536,-8.808,-7.543,41347000.0,0.0,2.188,0.295,0.295,11652000.0,-10218000.0,88406000.0,88406000.0,0.0,-0.03,-0.067,-0.028,-0.025,0.0,14390000.0,1.0,11938326.0,11938326.0,,7.405,85553000.0,2925000.0,779000.0,5911000.0,7.166,2475000.0
10589,UNMG,MRT,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,93513000.0,97943750.0,39443000.0,54070000.0,0.903,4.08,-5214000.0,4247000.0,4247000.0,56163000.0,-2965000.0,1.067,0.92,30250000.0,22417000.0,7833000.0,30250000.0,0.0,3621000.0,0.0,0.0,0.0,-2186000.0,1435000.0,0.016,1435000.0,-2186000.0,-2186000.0,-0.29,-0.29,-0.29,48712000.0,44579500.0,48712000.0,52219088.0,-24.0,36.39,1572000.0,0.132,1.0,32243000.0,0.365,7960000.0,0.0,74588000.0,77272750.0,22320000.0,0.0,0.0,0.0,44801000.0,36968000.0,7833000.0,26115088.0,3010000.0,0.0,13425000.0,-11483000.0,0.0,1942000.0,-5718000.0,0.0,6786000.0,0.0,-2965000.0,-2965000.0,-2965000.0,0.0,0.0,-0.034,14390000.0,17853000.0,5156000.0,0.0,0.536,-8.808,-7.543,41347000.0,0.0,2.188,0.295,0.295,11652000.0,-10218000.0,88406000.0,88406000.0,0.0,-0.03,-0.067,-0.028,-0.025,0.0,14390000.0,1.0,11938326.0,11938326.0,,7.405,85553000.0,2925000.0,779000.0,5911000.0,7.166,2475000.0
10590,UNMG,MRT,1998-09-30,1998-09-30,1998-09-30,2019-04-02,0.0,95589000.0,98219500.0,43942000.0,51647000.0,0.906,4.356,-5274000.0,2033000.0,2033000.0,58646000.0,-7954000.0,1.113,0.838,28137000.0,24048000.0,4089000.0,28137000.0,0.0,3477000.0,0.0,0.0,0.0,-7625000.0,-4148000.0,-0.047,-4148000.0,-7625000.0,-7748000.0,-0.9,-0.9,-0.9,52007000.0,41964500.0,52007000.0,69369524.0,-9.0,-16.724,-981000.0,-0.082,1.0,30317000.0,0.341,8109000.0,123000.0,74106000.0,78365750.0,26709000.0,0.0,0.0,0.0,43582000.0,39478000.0,4104000.0,28353524.0,-2018000.0,0.0,13425000.0,-14807000.0,0.0,-1382000.0,-4929000.0,0.0,4293000.0,0.0,-7954000.0,-7954000.0,-7954000.0,0.0,0.0,-0.089,19944000.0,10373000.0,7246000.0,0.0,0.545,-3.565,-2.639,38718000.0,0.0,2.375,0.319,0.319,13290000.0,-6923000.0,88963000.0,88963000.0,0.0,-0.081,-0.19,-0.097,-0.086,0.0,15675000.0,1.0,11938326.0,11938326.0,,7.452,87480000.0,4106000.0,206000.0,5474000.0,7.328,4464000.0
10591,UNMG,MRT,1998-06-30,1998-06-30,1998-06-30,2019-04-02,0.0,101623000.0,99543750.0,49607000.0,52016000.0,0.918,4.49,-7414000.0,2939000.0,2939000.0,61004000.0,-7308000.0,0.91,1.622,43955000.0,35594000.0,8361000.0,43955000.0,0.0,3671000.0,0.0,0.0,0.0,-5205000.0,-1534000.0,-0.017,-1534000.0,-5205000.0,-6292000.0,-0.86,-0.86,-0.86,38762000.0,40596750.0,38762000.0,75962304.0,-15.0,-49.519,-6646000.0,-0.77,1.0,30390000.0,0.333,8259000.0,1087000.0,79895000.0,81349750.0,27111000.0,0.0,0.0,0.0,62861000.0,54485000.0,8376000.0,34531304.0,1647000.0,0.0,88000.0,8482000.0,0.0,8570000.0,-7691000.0,0.0,768000.0,0.0,-7308000.0,-7308000.0,-7308000.0,0.0,0.0,-0.08,18488000.0,11902000.0,6807000.0,0.0,0.891,-4.725,-4.651,38673000.0,0.0,4.0,0.378,0.378,18059000.0,-5772000.0,91394000.0,91394000.0,0.0,-0.073,-0.18,-0.064,-0.057,0.0,18488000.0,1.0,8632826.0,8632826.0,,10.587,93364000.0,4119000.0,1016000.0,6566000.0,10.815,-4878000.0
10592,UNMG,MRT,1998-03-31,1998-03-31,1998-03-31,2019-04-02,0.0,101050000.0,97763500.0,49338000.0,51712000.0,0.876,4.517,-10817000.0,3430000.0,3430000.0,56791000.0,-8454000.0,0.921,1.602,44861000.0,36239000.0,8622000.0,44861000.0,0.0,3592000.0,0.0,0.0,0.0,-7191000.0,-3599000.0,-0.042,-3599000.0,-7191000.0,-7793000.0,-0.99,-0.99,-0.99,38837000.0,42653250.0,38837000.0,84027592.0,-12.0,-23.347,-18618000.0,-2.165,1.0,28878000.0,0.337,8403000.0,602000.0,80502000.0,81748000.0,26503000.0,0.0,0.0,0.0,62213000.0,53576000.0,8637000.0,43531592.0,-365000.0,0.0,53000.0,18808000.0,0.0,18861000.0,-11425000.0,0.0,-7801000.0,0.0,-8454000.0,-8454000.0,-8454000.0,0.0,0.0,-0.099,19078000.0,9800000.0,7152000.0,0.0,1.121,-5.149,-5.114,38269000.0,0.0,5.063,0.508,0.508,17811000.0,-6668000.0,85669000.0,85669000.0,0.0,-0.086,-0.198,-0.088,-0.084,0.0,19078000.0,1.0,8598833.0,8598833.0,,9.963,92647000.0,3774000.0,661000.0,6630000.0,10.774,-4238000.0
10593,UNMG,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-04-02,0.0,93513000.0,,39443000.0,54070000.0,,4.08,-2519000.0,4247000.0,4247000.0,13985000.0,-3295000.0,1.067,0.92,30250000.0,22417000.0,7833000.0,30250000.0,0.0,1173000.0,0.0,0.0,0.0,-2527000.0,-1354000.0,-0.067,-1354000.0,-2527000.0,-2527000.0,-0.32,-0.32,-0.32,48712000.0,,48712000.0,52219088.0,-24.0,36.39,525000.0,0.044,1.0,6170000.0,0.306,7960000.0,0.0,74588000.0,,22320000.0,0.0,0.0,0.0,44801000.0,36968000.0,7833000.0,26115088.0,2214000.0,0.0,0.0,2113000.0,0.0,2113000.0,-2943000.0,0.0,3044000.0,0.0,-3295000.0,-3295000.0,-3295000.0,0.0,0.0,-0.163,-8066000.0,14236000.0,5156000.0,0.0,0.536,-8.808,-7.543,41347000.0,0.0,2.188,0.295,0.295,11652000.0,-10218000.0,20155000.0,20155000.0,0.0,,,,,0.0,3698000.0,1.0,11938326.0,11938326.0,,1.688,85553000.0,2925000.0,768000.0,5911000.0,7.166,2475000.0
10594,UNMG,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-04-02,0.0,95589000.0,,43942000.0,51647000.0,,4.356,-639000.0,2033000.0,2033000.0,12501000.0,-1151000.0,1.113,0.838,28137000.0,24048000.0,4089000.0,28137000.0,0.0,643000.0,0.0,0.0,0.0,-2031000.0,-1388000.0,-0.071,-1388000.0,-2031000.0,-2031000.0,-0.1,-0.1,-0.1,52007000.0,,52007000.0,69369524.0,-9.0,-16.724,1258000.0,0.105,1.0,7050000.0,0.361,8109000.0,0.0,74106000.0,,26709000.0,0.0,0.0,0.0,43582000.0,39478000.0,4104000.0,28353524.0,-906000.0,0.0,13390000.0,-15818000.0,0.0,-2428000.0,-375000.0,0.0,1897000.0,0.0,-1151000.0,-1151000.0,-1151000.0,0.0,0.0,-0.059,7988000.0,-938000.0,7246000.0,0.0,0.545,-3.565,-2.639,38718000.0,0.0,2.375,0.319,0.319,13290000.0,-6923000.0,19551000.0,19551000.0,0.0,,,,,0.0,3719000.0,1.0,11938326.0,11938326.0,,1.638,87480000.0,4106000.0,-880000.0,5474000.0,7.328,4464000.0
10595,UNMG,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-04-02,0.0,101623000.0,,49607000.0,52016000.0,,4.49,-1158000.0,2939000.0,2939000.0,16904000.0,896000.0,0.91,1.622,43955000.0,35594000.0,8361000.0,43955000.0,0.0,900000.0,0.0,0.0,0.0,2403000.0,3303000.0,0.129,3303000.0,2403000.0,1169000.0,0.1,0.1,0.1,38762000.0,,38762000.0,75962304.0,-15.0,-49.519,426000.0,0.049,1.0,8605000.0,0.337,8259000.0,1234000.0,79895000.0,,27111000.0,0.0,0.0,0.0,62861000.0,54485000.0,8376000.0,34531304.0,-491000.0,0.0,35000.0,-906000.0,0.0,-871000.0,-1204000.0,0.0,1584000.0,0.0,896000.0,896000.0,896000.0,0.0,0.0,0.035,5999000.0,2606000.0,6807000.0,0.0,0.891,-4.725,-4.651,38673000.0,0.0,4.0,0.378,0.378,18059000.0,-5772000.0,25509000.0,25509000.0,0.0,,,,,0.0,5999000.0,1.0,8632826.0,8632826.0,,2.955,93364000.0,4119000.0,273000.0,6566000.0,10.815,-4878000.0
10596,UNMG,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-04-02,0.0,101050000.0,,49338000.0,51712000.0,,4.517,-898000.0,3430000.0,3430000.0,16623000.0,585000.0,0.921,1.602,44861000.0,36239000.0,8622000.0,44861000.0,0.0,905000.0,0.0,0.0,0.0,2367000.0,3272000.0,0.133,3272000.0,2367000.0,1222000.0,0.07,0.07,0.07,38837000.0,,38837000.0,84027592.0,-12.0,-23.347,-637000.0,-0.074,1.0,7909000.0,0.322,8403000.0,1145000.0,80502000.0,,26503000.0,0.0,0.0,0.0,62213000.0,53576000.0,8637000.0,43531592.0,2193000.0,0.0,0.0,3128000.0,0.0,3128000.0,-1196000.0,0.0,261000.0,0.0,585000.0,585000.0,585000.0,0.0,0.0,0.024,5891000.0,2018000.0,7152000.0,0.0,1.121,-5.149,-5.114,38269000.0,0.0,5.063,0.508,0.508,17811000.0,-6668000.0,24532000.0,24532000.0,0.0,,,,,0.0,5891000.0,1.0,8598833.0,8598833.0,,2.853,92647000.0,3774000.0,637000.0,6630000.0,10.774,-4238000.0
10597,UNMG,ARY,1998-12-31,1999-04-15,1998-12-31,2019-04-02,0.0,93513000.0,97943750.0,39443000.0,54070000.0,0.92,3.495,-5214000.0,4247000.0,4247000.0,65058000.0,-2965000.0,1.067,0.92,30250000.0,22417000.0,7833000.0,30250000.0,0.0,3621000.0,0.0,0.0,0.0,2048000.0,5669000.0,0.063,5669000.0,2048000.0,-2098000.0,-0.29,-0.29,-0.29,48712000.0,44579500.0,48712000.0,66075687.0,32.0,11.656,1572000.0,0.113,1.0,25083000.0,0.278,7960000.0,4146000.0,74588000.0,77272750.0,22320000.0,0.0,0.0,0.0,44801000.0,36968000.0,7833000.0,40072687.0,3010000.0,0.0,13425000.0,-11483000.0,0.0,1942000.0,-5718000.0,0.0,6786000.0,0.0,-2965000.0,-2965000.0,-2965000.0,0.0,0.0,-0.033,23084000.0,1999000.0,5156000.0,0.0,0.823,-13.515,-9.914,41347000.0,0.0,2.875,0.445,0.445,11652000.0,-10218000.0,90141000.0,90141000.0,0.0,-0.03,-0.067,0.027,0.023,0.0,23084000.0,1.0,13938326.0,13938326.0,,6.467,85553000.0,2925000.0,867000.0,5911000.0,6.138,2475000.0
