None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
9041,UVE,MRY,1998-12-31,1998-12-31,1998-12-31,2021-08-02,26069.0,26680142.0,20846958.0,,,0.441,0.502,-40518.0,11987091.0,11987091.0,3176538.0,2132368.0,,2.624,77000.0,,,77000.0,13812915.0,31839.0,0.0,,0.0,2132368.0,2164207.0,0.236,2164207.0,2132368.0,2132368.0,0.14,0.13,0.14,7362277.0,6682443.0,7362277.0,,,,8403749.0,0.573,1.0,6008056.0,0.654,127357.0,0.0,14642694.0,9426391.0,0.0,2816019.0,,,19317865.0,,,,5514673.0,0.0,0.0,0.0,0.0,-33300.0,-2896294.0,-2855776.0,8444267.0,0.0,2132368.0,2132368.0,2132368.0,0.0,0.0,0.232,3875688.0,2132368.0,1211087.0,0.0,,,,0.0,0.0,,,,10262663.0,-7827486.0,9184594.0,9184594.0,0.0,0.102,0.319,0.226,0.232,0.0,3875688.0,1.0,14687604.0,14667000.0,16640000.0,0.626,26552785.0,0.0,0.0,0.0,1.81,
9042,UVE,MRT,1998-12-31,1998-12-31,1998-12-31,2021-08-02,26069.0,26680142.0,20846958.0,,,0.441,0.502,-40518.0,11987091.0,11987091.0,3176538.0,2132368.0,,2.624,77000.0,,,77000.0,13812915.0,31839.0,0.0,,0.0,2132368.0,2164207.0,0.236,2164207.0,2132368.0,2132368.0,0.14,0.13,0.14,7362277.0,6682443.0,7362277.0,,,,8403749.0,0.573,1.0,6008056.0,0.654,127357.0,0.0,14642694.0,9426391.0,0.0,2816019.0,,,19317865.0,,,,5514673.0,0.0,0.0,0.0,0.0,-33300.0,-2896294.0,-2855776.0,8444267.0,0.0,2132368.0,2132368.0,2132368.0,0.0,0.0,0.232,3875688.0,2132368.0,1211087.0,0.0,,,,0.0,0.0,,,,10262663.0,-7827486.0,9184594.0,9184594.0,0.0,0.102,0.319,0.226,0.232,0.0,3875688.0,1.0,14687604.0,14667000.0,16640000.0,0.626,26552785.0,0.0,0.0,0.0,1.81,
9043,UVE,MRT,1998-09-30,1998-09-30,1998-09-30,2021-08-02,0.0,22921288.0,15834867.0,,,,0.519,,12287413.0,12287413.0,,,,2.172,0.0,,,0.0,9850961.0,,0.0,,0.0,,,,,,,,,,7226857.0,6069409.0,7226857.0,,,,,,1.0,,,135317.0,,10498558.0,5773434.0,0.0,2934239.0,,,15694431.0,,,,,,,,,,,,,,,,,,,,,,1619883.0,,,,,2105.0,,,,,4954481.0,-7988977.0,,,,,,,,,,1.0,14687604.0,13938000.0,,,22785971.0,0.0,,155000.0,1.635,
9044,UVE,MRT,1998-06-30,1998-06-30,1998-06-30,2021-08-02,0.0,20113005.0,,,,,0.46,0.0,9066028.0,9066028.0,1628814.0,343128.0,,1.979,0.0,,,0.0,8882831.0,116919.0,0.0,,0.0,343128.0,460047.0,0.122,460047.0,343128.0,343128.0,-0.16,-0.18,-0.16,6752695.0,,6752695.0,,,,5130035.0,0.35,1.0,2146001.0,0.569,143277.0,0.0,10903700.0,,0.0,2831098.0,,,13360310.0,,,,9020443.0,0.0,6717189.0,4317.0,0.0,6721506.0,-2831098.0,-2831098.0,5130035.0,0.0,343128.0,343128.0,343128.0,637877.0,0.0,0.091,1164996.0,981005.0,1539414.0,0.0,,,,4375.0,0.0,,,,6383865.0,-8379039.0,3774815.0,3774815.0,0.0,,,,0.091,206951.0,1164996.0,1.0,14679584.0,14676000.0,17783000.0,0.257,19969728.0,0.0,0.0,52500.0,1.361,
9045,UVE,MRT,1998-03-31,1998-03-31,1998-03-31,2021-08-02,0.0,13673396.0,,,,,0.369,,11861324.0,11861324.0,,,,1.538,0.0,,,0.0,5800233.0,,0.0,,0.0,,,,,,,,,,5387944.0,,5387944.0,,,,,,1.0,,,151461.0,,1660611.0,,0.0,0.0,,,8285452.0,,,,,,,,,,,,,,,,,,,,,,1225627.0,,,,,6661.0,,,,,1037203.0,-9553790.0,,,,,,,,,,1.0,14677604.0,14615834.0,,,13521935.0,0.0,,0.0,0.925,
9046,UVE,MRQ,1998-12-31,1998-12-31,1998-12-31,2021-08-02,26069.0,26680142.0,,,,,0.436,-40518.0,11987091.0,11987091.0,798637.0,141891.0,,2.624,77000.0,,,77000.0,13812915.0,-46409.0,0.0,,0.0,-74829.0,-121238.0,-0.031,-121238.0,-74829.0,-74829.0,0.0,0.02,0.0,7362277.0,,7362277.0,,,,-354273.0,-0.021,1.0,3100556.0,0.795,127357.0,0.0,14642694.0,,0.0,2816019.0,,,19317865.0,,,,-290506.0,0.0,0.0,0.0,0.0,-33300.0,56549.0,97067.0,-313755.0,0.0,141891.0,141891.0,141891.0,0.0,0.0,0.036,3175385.0,-74829.0,1211087.0,,,,,0.0,0.0,,,,10262663.0,-7827486.0,3899193.0,3899193.0,0.0,,,,,0.0,3175385.0,1.0,14687604.0,16878000.0,14387000.0,0.231,26552785.0,0.0,-216720.0,0.0,1.573,
9047,UVE,MRQ,1998-09-30,1998-09-30,1998-09-30,2021-08-02,0.0,22921288.0,,,,,0.519,0.0,12287413.0,12287413.0,749087.0,442962.0,,2.172,0.0,,,0.0,9850961.0,-5949.0,0.0,,0.0,659682.0,653733.0,0.334,653733.0,659682.0,659682.0,0.03,0.02,0.03,7226857.0,,7226857.0,,,,3343630.0,0.24,1.0,1205675.0,0.617,135317.0,0.0,10498558.0,,0.0,2934239.0,,,15694431.0,,,,3221885.0,0.0,0.0,0.0,0.0,0.0,-121745.0,-121745.0,3343630.0,0.0,442962.0,442962.0,442962.0,0.0,0.0,0.227,545993.0,659682.0,1619883.0,0.0,,,,2105.0,0.0,,,,4954481.0,-7988977.0,1954762.0,1954762.0,0.0,,,,,0.0,545993.0,1.0,14687604.0,13938000.0,17949000.0,0.14,22785971.0,0.0,216720.0,155000.0,1.635,
9048,UVE,MRQ,1998-06-30,1998-06-30,1998-06-30,2021-08-02,0.0,20113005.0,,,,,0.46,40520.0,9066028.0,9066028.0,1317882.0,1174685.0,,1.979,0.0,,,0.0,8882831.0,55800.0,0.0,,0.0,1174685.0,1230485.0,0.406,1230485.0,1174685.0,1174685.0,0.08,0.07,0.08,6752695.0,,6752695.0,,,,-213163.0,-0.015,1.0,1714304.0,0.565,143277.0,0.0,10903700.0,,0.0,2831098.0,,,13360310.0,,,,-2795296.0,0.0,-105040.0,0.0,0.0,-105040.0,-2436573.0,-2477093.0,-253683.0,0.0,1174685.0,1174685.0,1174685.0,0.0,0.0,0.387,539619.0,1174685.0,1539414.0,0.0,,,,4375.0,0.0,,,,6383865.0,-8379039.0,3032186.0,3032186.0,0.0,,,,,0.0,539619.0,1.0,14679584.0,14681000.0,17787000.0,0.207,19969728.0,0.0,0.0,52500.0,1.36,
9049,UVE,MRQ,1998-03-31,1998-03-31,1998-03-31,2021-08-02,0.0,13673396.0,,,,,0.369,-40520.0,11861324.0,11861324.0,310932.0,372831.0,,1.538,0.0,,,0.0,5800233.0,28397.0,0.0,,0.0,372831.0,401228.0,0.447,401228.0,372831.0,372831.0,0.03,0.03,0.03,5387944.0,,5387944.0,,,,5627555.0,0.385,1.0,585840.0,0.653,151461.0,0.0,1660611.0,,0.0,0.0,,,8285452.0,,,,5378590.0,0.0,105040.0,0.0,0.0,105040.0,-394525.0,-354005.0,5668075.0,0.0,372831.0,372831.0,372831.0,0.0,0.0,0.416,213009.0,372831.0,1225627.0,0.0,,,,6661.0,0.0,,,,1037203.0,-9553790.0,896772.0,896772.0,0.0,,,,,0.0,213009.0,1.0,14677604.0,14615834.0,14615834.0,0.061,13521935.0,0.0,0.0,0.0,0.925,
9050,UVE,ARY,1998-12-31,1999-04-15,1998-12-31,2021-08-02,26069.0,26680142.0,20635835.0,,,0.445,0.502,-40518.0,11987091.0,11987091.0,3176538.0,2132368.0,,2.624,77000.0,,,77000.0,13812915.0,31839.0,0.0,,0.0,2132368.0,2164207.0,0.236,2164207.0,2132368.0,2132368.0,0.14,0.13,0.14,7362277.0,6682443.0,7362277.0,,,,8370449.0,0.571,1.0,6008056.0,0.654,127357.0,0.0,14642694.0,9253134.0,0.0,2816019.0,,,19317865.0,,,,5514673.0,0.0,0.0,0.0,0.0,0.0,-2896294.0,-2855776.0,8410967.0,0.0,2132368.0,2132368.0,2132368.0,0.0,0.0,0.232,3875688.0,2132368.0,1211087.0,0.0,,,,0.0,0.0,,,,10262663.0,-7827486.0,9184594.0,9184594.0,0.0,0.103,0.319,0.23,0.232,0.0,3875688.0,1.0,14672604.0,14667000.0,16640000.0,0.626,26552785.0,0.0,0.0,0.0,1.81,
