None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
8539,VCAM,MRT,1998-09-30,1998-09-30,1998-09-30,2019-10-21,0.0,102240147.0,99140411.0,84620088.0,17620059.0,,2.509,,9129004.0,9129004.0,,,1.382,1.599,1922905.0,1167552.0,755353.0,1922905.0,0.0,,0.0,0.0,0.0,,,,,,,,,,39340988.0,35912174.0,39340988.0,208035164.0,,,,,1.0,,,7024008.0,,26757782.0,28255057.0,0.0,0.0,0.0,0.0,62899159.0,61252258.0,1646901.0,214600249.0,,,,,,,,,,,,,,,,,,,3961515.0,,5.455,,,8445414.0,,13.688,,,60490436.0,3801367.0,,,,,,,,,,1.0,15678557.0,15682656.0,,,95216139.0,1376223.0,,2254214.0,6.071,23367830.0
8540,VCAM,MRT,1998-06-30,1998-06-30,1998-06-30,2019-10-21,0.0,103619689.0,,86031093.0,17588596.0,,2.354,,10822631.0,10822631.0,,,1.309,1.817,4257546.0,4257546.0,0.0,4257546.0,0.0,,0.0,0.0,0.0,,,,,,,,,,36787879.0,,36787879.0,306503937.0,,,,,1.0,,,7144113.0,,24164707.0,,0.0,0.0,0.0,0.0,66831810.0,65745784.0,1086026.0,306381712.0,,,,,,,,,,,,,,,,,,,5249129.0,,8.328,,,8225510.0,,19.625,,,59059161.0,1310268.0,,,,,,,,,,1.0,15611807.0,15629071.0,,,96475576.0,1828117.0,,1461006.0,6.173,20285309.0
8541,VCAM,MRT,1998-03-31,1998-03-31,1998-03-31,2019-10-21,0.0,95685881.0,,78256798.0,17429083.0,,2.241,,7640965.0,7640965.0,,,1.304,1.797,7763190.0,7728245.0,34945.0,7763190.0,0.0,,0.0,0.0,0.0,,,,,,,,,,34209093.0,,34209093.0,457798400.0,,,,,1.0,,,7274753.0,,28531399.0,,0.0,0.0,0.0,0.0,61476788.0,60001954.0,1474834.0,451635328.0,,,,,,,,,,,,,,,,,,,5494637.0,,13.202,,,8076164.0,,29.0,,,52721277.0,-44115.0,,,,,,,,,,1.0,15573632.0,15268121.0,,,88411128.0,1828117.0,,612188.0,5.791,18254844.0
8542,VCAM,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-21,0.0,102240147.0,,84620088.0,17620059.0,,2.509,-821628.0,9129004.0,9129004.0,298056881.0,2491099.0,1.382,1.599,1922905.0,1167552.0,755353.0,1922905.0,0.0,754899.0,0.0,0.0,0.0,3985914.0,4740813.0,0.015,4740813.0,3985914.0,3961099.0,0.16,0.16,0.16,39340988.0,,39340988.0,208035164.0,,,579004.0,0.037,1.0,16782534.0,0.053,7024008.0,24815.0,26757782.0,,0.0,0.0,0.0,0.0,62899159.0,61252258.0,1646901.0,214600249.0,-1693627.0,0.0,62010.0,-2334641.0,0.0,-2272631.0,-821628.0,0.0,1400632.0,0.0,2491099.0,2491099.0,2491099.0,0.0,0.0,0.008,12796620.0,3985914.0,3961515.0,0.0,5.455,,,8445414.0,0.0,13.688,,,60490436.0,3801367.0,314839415.0,314839415.0,0.0,,,,,0.0,11764891.0,1.0,15678557.0,15682656.0,16057480.0,20.076,95216139.0,1376223.0,1470000.0,2254214.0,6.071,23367830.0
8543,VCAM,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-21,0.0,103619689.0,,86031093.0,17588596.0,,2.354,-739577.0,10822631.0,10822631.0,295117646.0,2356115.0,1.309,1.817,4257546.0,4257546.0,0.0,4257546.0,0.0,731866.0,0.0,0.0,0.0,3714809.0,4446675.0,0.014,4446675.0,3714809.0,3681115.0,0.15,0.15,0.15,36787879.0,,36787879.0,306503937.0,,,6464639.0,0.414,1.0,16451038.0,0.053,7144113.0,33694.0,24164707.0,,0.0,0.0,0.0,0.0,66831810.0,65745784.0,1086026.0,306381712.0,3181666.0,0.0,222671.0,-3505644.0,0.0,-3282973.0,-739577.0,0.0,7204216.0,0.0,2356115.0,2356115.0,2356115.0,0.0,0.0,0.008,12736229.0,3714809.0,5249129.0,0.0,8.328,,,8225510.0,0.0,19.625,,,59059161.0,1310268.0,311568684.0,311568684.0,0.0,,,,,0.0,12004363.0,1.0,15611807.0,15629071.0,16138551.0,19.935,96475576.0,1828117.0,1325000.0,1461006.0,6.173,20285309.0
8544,VCAM,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-21,0.0,95685881.0,,78256798.0,17429083.0,,2.198,-805449.0,7640965.0,7640965.0,268649913.0,1803340.0,1.304,1.797,7763190.0,7728245.0,34945.0,7763190.0,0.0,724338.0,0.0,0.0,0.0,3082430.0,3806768.0,0.013,3806768.0,3082430.0,3042340.0,0.12,0.11,0.12,34209093.0,,34209093.0,457798400.0,,,4177506.0,0.268,1.0,15572857.0,0.055,7274753.0,40090.0,28531399.0,,0.0,0.0,0.0,0.0,61476788.0,60001954.0,1474834.0,451635328.0,2706210.0,0.0,96601.0,-3334634.0,0.0,-3238033.0,961288.0,1766737.0,4982955.0,0.0,1803340.0,1803340.0,1803340.0,0.0,0.0,0.006,12490427.0,3082430.0,5494637.0,0.0,13.202,,,8076164.0,0.0,29.0,,,52721277.0,-44115.0,284222770.0,284222770.0,0.0,,,,,0.0,11507677.0,1.0,15573632.0,15563038.0,16267673.0,18.263,88411128.0,1828117.0,1239000.0,612188.0,5.681,18254844.0
8545,VCAM,ART,1998-09-30,1998-11-19,1998-09-30,2019-10-21,0.0,102240147.0,99140411.0,84620088.0,17620059.0,,2.509,,9129004.0,9129004.0,,,1.382,1.599,1922905.0,1167552.0,755353.0,1922905.0,0.0,,0.0,0.0,0.0,,,,,,,,,,39340988.0,35912174.0,39340988.0,198798087.0,,,,,1.0,,,7024008.0,,26757782.0,28450592.0,0.0,0.0,0.0,0.0,62899159.0,61252258.0,1646901.0,206004186.0,,,,,,,,,,,,,,,,,,,3961515.0,,5.236,,,8445414.0,,13.125,,,60490436.0,3801367.0,,,,,,,,,,1.0,15695557.0,15682656.0,,,95216139.0,1376223.0,,2254214.0,6.071,23367830.0
8546,VCAM,ART,1998-09-30,1998-11-16,1998-09-30,2019-10-21,0.0,102240147.0,99140411.0,84620088.0,17620059.0,,2.509,,9129004.0,9129004.0,,,1.399,1.599,1922905.0,385410.0,1537495.0,1922905.0,0.0,,0.0,0.0,0.0,,,,,,,,,,39340988.0,35912174.0,39340988.0,206645865.0,,,,,1.0,,,7024008.0,,27539924.0,28450592.0,0.0,0.0,0.0,0.0,62899159.0,60470116.0,2429043.0,213851964.0,,,,,,,,,,,,,,,,,,,3961515.0,,5.436,,,8445414.0,,13.625,,,60490436.0,3801367.0,,,,,,,,,,1.0,15695557.0,15682656.0,,,95216139.0,1376223.0,,2254214.0,6.071,24149972.0
8547,VCAM,ART,1998-06-30,1998-08-14,1998-06-30,2019-10-21,0.0,103619689.0,,86031093.0,17588596.0,,2.354,,10822631.0,10822631.0,,,1.309,1.817,4257546.0,4257546.0,0.0,4257546.0,0.0,,0.0,0.0,0.0,,,,,,,,,,36787879.0,,36787879.0,196276246.0,,,,,1.0,,,7144113.0,,24164707.0,,0.0,0.0,0.0,0.0,66831810.0,65745784.0,1086026.0,202841331.0,,,,,,,,,,,,,,,,,,,5249129.0,,5.514,,,8225510.0,,12.938,,,59059161.0,1310268.0,,,,,,,,,,1.0,15678557.0,15629071.0,,,96475576.0,1828117.0,,1461006.0,6.173,20285309.0
8548,VCAM,ART,1998-03-31,1998-05-15,1998-03-31,2019-10-21,0.0,95685881.0,,78256798.0,17429083.0,,2.198,,7640965.0,7640965.0,,,1.304,1.797,7763190.0,7728245.0,34945.0,7763190.0,0.0,,0.0,0.0,0.0,,,,,,,,,,34209093.0,,34209093.0,368951165.0,,,,,1.0,,,7274753.0,,28531399.0,,0.0,0.0,0.0,0.0,61476788.0,60001954.0,1474834.0,368828940.0,,,,,,,,,,,,,,,,,,,5494637.0,,10.782,,,8076164.0,,23.625,,,52721277.0,-44115.0,,,,,,,,,,1.0,15611807.0,15563038.0,,,88411128.0,1828117.0,,612188.0,5.681,18254844.0
