None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
6236,VSTA2,MRY,1998-12-31,1999-01-02,1999-01-02,2020-07-31,-4073000.0,220219000.0,131879250.0,50436000.0,169783000.0,2.495,1.255,-9183000.0,2886000.0,2886000.0,147768000.0,-17562000.0,0.812,7.292,151002000.0,20390000.0,130612000.0,151002000.0,0.0,14177000.0,0.0,0.0,0.0,1767000.0,15944000.0,0.048,15944000.0,1767000.0,-17562000.0,-0.83,-0.83,-0.83,26557000.0,39951750.0,26557000.0,170893165.0,97.0,10.718,586000.0,0.028,1.0,181287000.0,0.551,106177000.0,19329000.0,200008000.0,120546000.0,34373000.0,0.0,0.0,0.0,193662000.0,62150000.0,131512000.0,113722165.0,4513000.0,-97357000.0,1485000.0,109644000.0,0.0,101284000.0,-106540000.0,0.0,9769000.0,0.0,-17562000.0,-17562000.0,-17562000.0,0.0,0.0,-0.053,179114000.0,2173000.0,17288000.0,0.0,4.282,-6.475,-6.476,53906000.0,0.0,5.375,0.346,0.346,10416000.0,-16968000.0,329055000.0,329055000.0,0.0,-0.133,-0.44,0.015,0.005,0.0,177162000.0,1.0,21157612.0,21157612.0,,15.553,114042000.0,385000.0,0.0,0.0,5.39,-11714000.0
6237,VSTA2,MRT,1998-12-31,1999-01-02,1999-01-02,2020-07-31,-4073000.0,220219000.0,131879250.0,50436000.0,169783000.0,2.495,1.255,-9183000.0,2886000.0,2886000.0,147768000.0,-17562000.0,0.812,7.292,151002000.0,20390000.0,130612000.0,151002000.0,0.0,14177000.0,0.0,0.0,0.0,1767000.0,15944000.0,0.048,15944000.0,1767000.0,-17562000.0,-0.83,-0.83,-0.83,26557000.0,39951750.0,26557000.0,170893165.0,97.0,10.718,586000.0,0.028,1.0,181287000.0,0.551,106177000.0,19329000.0,200008000.0,120546000.0,34373000.0,0.0,0.0,0.0,193662000.0,62150000.0,131512000.0,113722165.0,4513000.0,-97357000.0,1485000.0,109644000.0,0.0,101284000.0,-106540000.0,0.0,9769000.0,0.0,-17562000.0,-17562000.0,-17562000.0,0.0,0.0,-0.053,179114000.0,2173000.0,17288000.0,0.0,4.282,-6.475,-6.476,53906000.0,0.0,5.375,0.346,0.346,10416000.0,-16968000.0,329055000.0,329055000.0,0.0,-0.133,-0.44,0.015,0.005,0.0,177162000.0,1.0,21157612.0,21157612.0,,15.553,114042000.0,385000.0,0.0,0.0,5.39,-11714000.0
6238,VSTA2,MRT,1998-09-30,1998-10-03,1998-10-03,2020-07-31,-4073000.0,137565000.0,97637000.0,41586000.0,95979000.0,2.906,2.195,-9218000.0,2408000.0,2408000.0,130348000.0,4729000.0,1.392,1.964,59579000.0,892000.0,58687000.0,59579000.0,0.0,12386000.0,0.0,0.0,0.0,14364000.0,26750000.0,0.094,26750000.0,14364000.0,7855000.0,0.22,0.22,0.22,46413000.0,42404500.0,46413000.0,108359843.0,8.0,4.051,5346000.0,0.253,1.0,153346000.0,0.541,41756000.0,6509000.0,123110000.0,90162000.0,28248000.0,0.0,0.0,0.0,91152000.0,29870000.0,61282000.0,89851843.0,190000.0,-32201000.0,269000.0,26827000.0,0.0,27045000.0,-41419000.0,0.0,14564000.0,0.0,4729000.0,4729000.0,4729000.0,0.0,0.0,0.017,139928000.0,13418000.0,11624000.0,0.0,1.936,19.0,19.318,48191000.0,0.0,4.25,0.317,0.317,8583000.0,3640000.0,283694000.0,283694000.0,0.0,0.048,0.112,0.159,0.051,0.0,139928000.0,1.0,21141610.0,21141610.0,,13.419,95809000.0,0.0,3126000.0,2595000.0,4.532,11716000.0
6239,VSTA2,MRT,1998-06-30,1998-07-04,1998-07-04,2020-07-31,-4073000.0,84486000.0,,34712000.0,49774000.0,,2.13,-11032000.0,2364000.0,2364000.0,120517000.0,4736000.0,1.985,0.898,20872000.0,483000.0,20389000.0,20872000.0,0.0,12772000.0,0.0,0.0,0.0,13525000.0,26297000.0,0.1,26297000.0,13525000.0,7752000.0,0.22,0.22,0.22,44517000.0,,44517000.0,155887285.0,12.0,5.928,7555000.0,0.362,1.0,141385000.0,0.54,5499000.0,5773000.0,80004000.0,,23070000.0,0.0,0.0,0.0,39969000.0,17491000.0,22478000.0,135829285.0,695000.0,-1772000.0,244000.0,-5281000.0,0.0,-5088000.0,-12804000.0,0.0,18587000.0,0.0,4736000.0,4736000.0,4736000.0,0.0,0.0,0.018,128492000.0,12893000.0,7371000.0,0.0,3.051,28.68,29.545,43365000.0,0.0,6.5,0.519,0.519,8028000.0,1788000.0,261902000.0,261902000.0,0.0,,,,0.052,0.0,128492000.0,1.0,20896813.0,20896813.0,,12.533,78987000.0,0.0,3016000.0,2089000.0,3.78,17221000.0
6240,VSTA2,MRT,1998-03-31,1998-04-04,1998-04-04,2020-07-31,-4073000.0,85247000.0,,34627000.0,50620000.0,,2.033,-9167000.0,1933000.0,1933000.0,117281000.0,4213000.0,1.687,1.014,21991000.0,480000.0,21511000.0,21991000.0,0.0,11392000.0,0.0,0.0,0.0,12338000.0,23730000.0,0.093,23730000.0,12338000.0,6800000.0,0.2,0.2,0.2,42320000.0,,42320000.0,194074932.0,16.0,8.178,7836000.0,0.376,1.0,138096000.0,0.541,5718000.0,5538000.0,79062000.0,,23629000.0,0.0,0.0,0.0,42927000.0,20525000.0,22402000.0,147040932.0,-945000.0,-1772000.0,206000.0,-7164000.0,0.0,-7009000.0,-10939000.0,0.0,17003000.0,0.0,4213000.0,4213000.0,4213000.0,0.0,0.0,0.016,125999000.0,12097000.0,10265000.0,0.0,3.475,34.902,35.313,43964000.0,0.0,7.063,0.576,0.576,8079000.0,-354000.0,255377000.0,255377000.0,0.0,,,,0.048,0.0,125999000.0,1.0,20819955.0,20819955.0,,12.266,79529000.0,0.0,2587000.0,891000.0,3.82,14102000.0
6241,VSTA2,MRQ,1998-12-31,1999-01-02,1999-01-02,2020-07-31,-4073000.0,220219000.0,,50436000.0,169783000.0,,1.255,-1985000.0,2886000.0,2886000.0,68656000.0,-24009000.0,0.812,7.292,151002000.0,20390000.0,130612000.0,151002000.0,0.0,4950000.0,0.0,0.0,0.0,-10382000.0,-5432000.0,-0.035,-5432000.0,-10382000.0,-28463000.0,-1.14,-1.13,-1.14,26557000.0,,26557000.0,170893165.0,97.0,10.718,-2625000.0,-0.124,1.0,87300000.0,0.56,106177000.0,18081000.0,200008000.0,,34373000.0,0.0,0.0,0.0,193662000.0,62150000.0,131512000.0,113722165.0,4664000.0,-66928000.0,1195000.0,82867000.0,0.0,74217000.0,-68913000.0,0.0,-640000.0,0.0,-24009000.0,-24009000.0,-24009000.0,0.0,0.0,-0.154,97276000.0,-9976000.0,17288000.0,0.0,4.282,-6.475,-6.476,53906000.0,0.0,5.375,0.346,0.346,10416000.0,-16968000.0,155956000.0,155956000.0,0.0,,,,,0.0,95324000.0,1.0,21157612.0,21157612.0,,7.371,114042000.0,385000.0,-4454000.0,0.0,5.39,-11714000.0
6242,VSTA2,MRQ,1998-09-30,1998-10-03,1998-10-03,2020-07-31,-4073000.0,137565000.0,,41586000.0,95979000.0,,2.195,-1230000.0,2408000.0,2408000.0,30757000.0,1852000.0,1.392,1.964,59579000.0,892000.0,58687000.0,59579000.0,0.0,2293000.0,0.0,0.0,0.0,3902000.0,6195000.0,0.092,6195000.0,3902000.0,3166000.0,0.09,0.09,0.09,46413000.0,,46413000.0,108359843.0,8.0,4.051,321000.0,0.015,1.0,36897000.0,0.545,41756000.0,736000.0,123110000.0,,28248000.0,0.0,0.0,0.0,91152000.0,29870000.0,61282000.0,89851843.0,44000.0,-30429000.0,44000.0,30108000.0,0.0,30152000.0,-31659000.0,0.0,1551000.0,0.0,1852000.0,1852000.0,1852000.0,0.0,0.0,0.027,32995000.0,3902000.0,11624000.0,0.0,1.936,19.0,19.318,48191000.0,0.0,4.25,0.317,0.317,8583000.0,3640000.0,67654000.0,67654000.0,0.0,,,,,0.0,32995000.0,1.0,21141610.0,21141610.0,,3.2,95809000.0,0.0,1314000.0,2595000.0,4.532,11716000.0
6243,VSTA2,MRQ,1998-06-30,1998-07-04,1998-07-04,2020-07-31,-4073000.0,84486000.0,,34712000.0,49774000.0,,2.13,-3068000.0,2364000.0,2364000.0,23890000.0,2143000.0,1.985,0.898,20872000.0,483000.0,20389000.0,20872000.0,0.0,4011000.0,0.0,0.0,0.0,3861000.0,7872000.0,0.154,7872000.0,3861000.0,3626000.0,0.1,0.1,0.1,44517000.0,,44517000.0,155887285.0,12.0,5.928,1493000.0,0.071,1.0,27147000.0,0.532,5499000.0,235000.0,80004000.0,,23070000.0,0.0,0.0,0.0,39969000.0,17491000.0,22478000.0,135829285.0,431000.0,0.0,55000.0,-1117000.0,0.0,-1062000.0,-3068000.0,0.0,4561000.0,0.0,2143000.0,2143000.0,2143000.0,0.0,0.0,0.042,23286000.0,3861000.0,7371000.0,0.0,3.051,28.68,29.545,43365000.0,0.0,6.5,0.519,0.519,8028000.0,1788000.0,51037000.0,51037000.0,0.0,,,,,0.0,23286000.0,1.0,20896813.0,20896813.0,,2.442,78987000.0,0.0,1483000.0,2089000.0,3.78,17221000.0
6244,VSTA2,MRQ,1998-03-31,1998-04-04,1998-04-04,2020-07-31,-4073000.0,85247000.0,,34627000.0,50620000.0,,2.033,-2900000.0,1933000.0,1933000.0,24465000.0,2452000.0,1.687,1.014,21991000.0,480000.0,21511000.0,21991000.0,0.0,2923000.0,0.0,0.0,0.0,4109000.0,7032000.0,0.129,7032000.0,4109000.0,4109000.0,0.12,0.12,0.12,42320000.0,,42320000.0,194074932.0,16.0,8.178,1397000.0,0.067,1.0,29943000.0,0.55,5718000.0,0.0,79062000.0,,23629000.0,0.0,0.0,0.0,42927000.0,20525000.0,22402000.0,147040932.0,-626000.0,0.0,191000.0,-2214000.0,0.0,-2023000.0,-2900000.0,0.0,4297000.0,0.0,2452000.0,2452000.0,2452000.0,0.0,0.0,0.045,25557000.0,4386000.0,10265000.0,0.0,3.475,34.902,35.313,43964000.0,0.0,7.063,0.576,0.576,8079000.0,-354000.0,54408000.0,54408000.0,0.0,,,,,0.0,25557000.0,1.0,20819955.0,20819955.0,,2.613,79529000.0,0.0,1657000.0,891000.0,3.82,14102000.0
6245,VSTA2,ARY,1998-12-31,1999-04-01,1999-01-02,2020-07-31,-4073000.0,229097000.0,134098750.0,51776000.0,177321000.0,1.829,2.111,-9183000.0,7072000.0,7072000.0,112929000.0,3414000.0,1.088,4.126,138838000.0,2006000.0,136832000.0,138838000.0,0.0,14177000.0,0.0,0.0,0.0,5451000.0,19628000.0,0.08,19628000.0,5451000.0,5451000.0,0.16,0.16,0.16,44697000.0,44486750.0,44697000.0,252163141.0,46.0,12.847,586000.0,0.028,1.0,132402000.0,0.54,108940000.0,0.0,204355000.0,121632750.0,31670000.0,0.0,0.0,0.0,184400000.0,47568000.0,136832000.0,120397141.0,4513000.0,-97357000.0,1485000.0,109644000.0,0.0,101284000.0,-106540000.0,0.0,9769000.0,0.0,3414000.0,3414000.0,3414000.0,0.0,0.0,0.014,121413000.0,10989000.0,18925000.0,0.0,2.694,35.266,35.547,58043000.0,0.0,5.688,0.491,0.491,10135000.0,594000.0,245331000.0,245331000.0,0.0,0.025,0.077,0.045,0.022,0.0,121413000.0,1.0,21168728.0,21168728.0,,11.589,120157000.0,385000.0,2037000.0,0.0,5.676,4208000.0
