None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,AAP,ARY,2020-12-31,2021-02-22,2021-01-02,2021-08-24,-26759000,11839636000,11953909000.0,6270001000,5569635000,0.845,51.776,-266667000.0,834992000,834992000,5624707000.0,493021000.0,1.322,2.326,3047483000,0,3047483000,3047483000,0,250081000.0,0,0.006,1.0,697901000.0,947982000.0,0.094,947982000.0,697901000.0,651015000.0,7.17,7.14,7.17,3559512000,3646431000.0,3559512000,13200936234.0,19.0,13.925,703021000.0,10.226,1.0,4481614000.0,0.443,1674717000,46886000.0,7633495000,7805119750.0,4538199000,0,0,0,8280124000,4743915000,3536209000,10988445234.0,416327000.0,0.0,-466421000.0,244524000.0,-56347000.0,-285997000.0,-266897000.0,0.0,969688000.0,-467000.0,493021000.0,493021000.0,493021000.0,0.0,0.0,0.049,3731707000.0,749907000.0,3640639000,0.139,3.087,22.288,23.389,3842589000,0.0,167.7,1.087,1.141,749999000,4196634000,10106321000.0,10106321000.0,0.0,0.041,0.135,0.089,0.069,45271000.0,3731707000.0,1.0,65524420,68748000,69003000.0,147.005,10164919000,0,157994000.0,342445000,147.858,1526086000
1,AAP,ARY,2019-12-31,2020-02-18,2019-12-28,2021-08-24,-34569000,11248525000,11176196000.0,5695543000,5552982000,0.869,50.079,-261420000.0,418665000,418665000,5454257000.0,486896000.0,1.272,2.169,2764479000,0,2764479000,2764479000,0,238371000.0,0,0.002,0.24,677644000.0,916015000.0,0.094,916015000.0,677644000.0,637746000.0,6.87,6.84,6.87,3549081000,3555637000.0,3549081000,12164474775.0,18.0,13.28,605489000.0,8.544,1.0,4254746000.0,0.438,1701996000,39898000.0,7414641000,7415699500.0,4432168000,0,0,0,7699444000,4477702000,3221742000,9818660775.0,-477862000.0,0.0,-495101000.0,-369386000.0,-17185000.0,-882153000.0,-462939000.0,0.0,866909000.0,321000.0,486896000.0,486896000.0,486896000.0,0.0,0.0,0.05,3577566000.0,677180000.0,3421987000,0.035,2.767,20.166,20.642,3798538000,0.0,141.81,1.011,1.035,689469000,3772848000,9709003000.0,9709003000.0,0.0,0.044,0.137,0.091,0.07,37438000.0,3577566000.0,1.0,69238141,70869000,71165000.0,136.999,9546529000,0,150850000.0,334013000,134.707,1217841000
2,AAP,ARY,2018-12-31,2019-02-19,2018-12-29,2021-08-24,-44193000,9040648000,8865877500.0,6082454000,2958194000,1.081,48.161,-191827000.0,896527000,896527000,5361141000.0,423847000.0,1.565,1.546,1045720000,0,1045720000,1045720000,0,238184000.0,0,0.001,0.24,611852000.0,850036000.0,0.089,850036000.0,611852000.0,555264000.0,5.75,5.73,5.75,3550813000,3603754750.0,3550813000,12128139197.0,20.0,14.268,619201000.0,8.398,1.0,4219413000.0,0.44,1540830000,56588000.0,3763061000,3828502750.0,4362547000,0,0,0,5489835000,3885950000,1603885000,11978946197.0,349590000.0,0.0,-278154000.0,32014000.0,-17819000.0,-263915000.0,-191827000.0,0.0,811028000.0,-5696000.0,423847000.0,423847000.0,423847000.0,0.0,0.0,0.044,3615138000.0,604275000.0,3172790000,0.042,3.374,28.262,29.068,1368985000,0.0,167.14,1.25,1.286,624972000,3326155000,9580554000.0,9580554000.0,0.0,0.048,0.118,0.16,0.064,27760000.0,3615138000.0,1.0,71670134,73728000,73991000.0,129.945,7499818000,0,131417000.0,318353000,101.723,2196504000
3,AAP,ARY,2017-12-31,2018-02-21,2017-12-30,2021-08-24,-24954000,8482301000,8454148750.0,5426892000,3055409000,1.109,46.248,-178659000.0,546937000,546937000,5288735000.0,475505000.0,1.559,1.484,1044327000,0,1044327000,1044327000,0,249260000.0,0,0.002,0.24,579060000.0,828320000.0,0.088,828320000.0,579060000.0,520259000.0,6.44,6.42,6.44,3415196000,3199483750.0,3415196000,8930895680.0,15.0,10.782,422146000.0,5.717,1.0,4085049000.0,0.436,1591967000,58801000.0,3907627000,4006903250.0,4168492000,0,0,0,5067105000,3480097000,1587008000,8433505680.0,411759000.0,0.0,-2422000.0,14004000.0,-17854000.0,-14872000.0,-178639000.0,0.0,600805000.0,4465000.0,475505000.0,475505000.0,475505000.0,0.0,0.0,0.051,3514837000.0,570212000.0,2894582000,0.037,2.469,17.736,17.702,1394138000,0.0,114.0,0.9,0.898,606357000,2920096000,9373784000.0,9373784000.0,0.0,0.056,0.149,0.145,0.062,35267000.0,3514837000.0,1.0,73978120,73846000,74110000.0,126.937,6890334000,0,44754000.0,303620000,93.307,1946795000
4,AAP,ARY,2016-12-31,2017-02-28,2016-12-31,2021-08-24,-39701000,8315033000,8401542500.0,5172764000,3142269000,1.139,39.643,-257347000.0,135178000,135178000,5311764000.0,459622000.0,1.407,1.851,1043255000,306000,1042949000,1043255000,0,258387000.0,0,0.002,0.24,798745000.0,1057132000.0,0.11,1057132000.0,798745000.0,738835000.0,6.22,6.2,6.22,2916192000,2787487250.0,2916192000,12459881019.0,16.0,11.786,243527000.0,3.31,1.0,4255915000.0,0.445,1631780000,59910000.0,3915284000,3940915750.0,4325868000,0,0,0,5398841000,3676046000,1722795000,11551804019.0,44396000.0,-4697000.0,-13861000.0,-165573000.0,-17738000.0,-194691000.0,-262044000.0,0.0,500874000.0,257000.0,459622000.0,459622000.0,459622000.0,0.0,0.0,0.048,3468317000.0,787598000.0,3086177000,0.039,3.961,25.133,25.178,1446340000,0.0,156.61,1.207,1.204,641252000,2462935000,9567679000.0,9567679000.0,0.0,0.055,0.165,0.203,0.083,-1977000.0,3468317000.0,1.0,73761599,73562000,73856000.0,130.063,6683253000,0,279213000.0,454282000,90.852,1496718000
5,AAP,ARY,2015-12-31,2016-03-01,2016-01-02,2021-08-24,-44059000,8134565000,8157667750.0,4940746000,3193819000,1.194,33.62,-234477000.0,90782000,90782000,5314246000.0,473398000.0,1.301,2.306,1213759000,598000,1213161000,1213759000,0,269476000.0,0,0.002,0.24,818296000.0,1087772000.0,0.112,1087772000.0,818296000.0,752888000.0,6.45,6.4,6.45,2460648000,2327360250.0,2460648000,12366981608.0,15.0,11.369,455165000.0,6.219,1.0,4422772000.0,0.454,1676609000,65408000.0,3783456000,3878383750.0,4174768000,0,0,0,5673917000,3797477000,1876440000,11244004608.0,-13889000.0,-18889000.0,-1491000.0,-426322000.0,-17649000.0,-445952000.0,-253366000.0,0.0,689642000.0,-4213000.0,473398000.0,473398000.0,473398000.0,0.0,0.0,0.049,3596992000.0,825780000.0,3203922000,0.037,4.57,23.752,23.775,1434577000,0.0,153.35,1.155,1.153,597788000,2021077000,9737018000.0,9737018000.0,0.0,0.058,0.203,0.211,0.084,23927000.0,3596992000.0,1.0,73322495,73190000,73733000.0,133.038,6457956000,0,279490000.0,433925000,88.235,1143269000
6,AAP,ARY,2014-12-31,2015-03-03,2015-01-03,2021-08-24,-12337000,7962358000,7960673500.0,4741040000,3221318000,1.237,27.463,-227454000.0,104671000,104671000,5390248000.0,493825000.0,1.267,2.975,1636893000,582000,1636311000,1636893000,0,284693000.0,0,0.002,0.24,854802000.0,1139495000.0,0.116,1139495000.0,854802000.0,781394000.0,6.75,6.71,6.75,2002912000,1852391750.0,2002912000,12830273498.0,15.0,11.26,481537000.0,6.603,1.0,4453613000.0,0.452,1743551000,73408000.0,4007963000,4189850500.0,3936955000,0,0,0,5959446000,3743066000,2216380000,11298051498.0,-1007800000.0,-2060783000.0,1424000.0,599619000.0,-17580000.0,575911000.0,-2288237000.0,0.0,708991000.0,-4465000.0,493825000.0,493825000.0,493825000.0,0.0,0.0,0.05,3601903000.0,851710000.0,3095365000,0.036,5.641,22.879,22.884,1432030000,0.0,154.47,1.148,1.144,579825000,1565341000,9843861000.0,9843861000.0,0.0,0.062,0.267,0.204,0.087,11218000.0,3601903000.0,1.0,73140749,72932000,73414000.0,134.973,6218807000,0,287569000.0,0,85.269,997974000
7,AAP,ARY,2013-12-31,2014-02-25,2013-12-28,2021-08-24,3683000,5564774000,5027311500.0,3989384000,1575390000,1.292,20.79,-195012000.0,1112471000,1112471000,3241668000.0,391758000.0,1.443,2.67,1053584000,916000,1052668000,1053584000,0,207795000.0,0,0.002,0.24,663016000.0,870811000.0,0.134,870811000.0,663016000.0,626398000.0,5.36,5.32,5.36,1516205000,1405869750.0,1516205000,9093398037.0,14.0,10.442,350238000.0,4.802,1.0,3252146000.0,0.501,249707000,36618000.0,2491395000,2171300500.0,2556557000,0,0,0,4048569000,2764785000,1283784000,9152285037.0,514360000.0,-167095000.0,-77184000.0,445679000.0,-17574000.0,331217000.0,-362107000.0,0.0,545250000.0,0.0,391758000.0,391758000.0,391758000.0,0.0,0.0,0.06,2591828000.0,660318000.0,2180614000,0.045,6.036,23.362,23.414,1283970000,0.0,125.5,1.409,1.409,277595000,1089112000,6493814000.0,6493814000.0,0.0,0.078,0.279,0.305,0.102,-3129000.0,2591828000.0,1.0,72926574,72930000,73414000.0,89.042,5315067000,0,234640000.0,0,72.879,1224599000
8,AAP,ARY,2012-12-31,2013-02-25,2012-12-29,2021-08-24,2667000,4613814000,4296319500.0,3184200000,1429614000,1.444,16.564,-264609000.0,598111000,598111000,3106967000.0,387670000.0,1.244,2.811,605088000,627000,604461000,605088000,0,189544000.0,0,0.003,0.24,657915000.0,847459000.0,0.137,847459000.0,657915000.0,624074000.0,5.29,5.22,5.29,1210694000,1098980500.0,1210694000,5778600353.0,9.0,6.819,420672000.0,5.755,1.0,3098036000.0,0.499,105234000,33841000.0,1955919000,1949373500.0,2308609000,0,0,0,3403120000,2559638000,843482000,5771623353.0,540210000.0,-8369000.0,-18600000.0,177445000.0,-17596000.0,127907000.0,-272978000.0,0.0,685281000.0,0.0,387670000.0,387670000.0,387670000.0,0.0,0.0,0.062,2440721000.0,657315000.0,2029814000,0.045,4.767,14.888,14.813,1291759000,0.0,78.36,0.93,0.923,229866000,714900000,6205003000.0,6205003000.0,0.0,0.09,0.353,0.338,0.106,-7863000.0,2440721000.0,1.0,73655224,73091000,74062000.0,84.894,4508580000,0,236404000.0,0,61.684,624562000
9,AAP,ARY,2011-12-31,2012-02-28,2011-12-31,2021-08-24,2804000,3655754000,3627668250.0,2293820000,1361934000,1.701,11.213,-266841000.0,57901000,57901000,3101172000.0,394682000.0,1.048,3.311,415984000,848000,415136000,415984000,0,175949000.0,0,0.003,0.24,664185000.0,840134000.0,0.136,840134000.0,664185000.0,633236000.0,5.21,5.11,5.21,847914000,818425500.0,847914000,6612831002.0,10.0,7.871,562008000.0,7.432,1.0,3069290000.0,0.497,107769000,30949000.0,1718193000,1879020250.0,2043158000,0,0,0,2807840000,2187875000,619965000,6254748002.0,-1308000.0,-23133000.0,-616675000.0,121625000.0,-18554000.0,-540183000.0,-289974000.0,0.0,828849000.0,0.0,394682000.0,394682000.0,394682000.0,0.0,0.0,0.064,2404648000.0,664642000.0,1653183000,0.046,7.377,15.848,16.463,1223099000,0.0,85.77,1.014,1.051,140007000,1989629000,6170462000.0,6170462000.0,0.0,0.109,0.482,0.353,0.108,9890000.0,2404648000.0,1.0,72924659,75620000,77071000.0,81.598,3547985000,0,238554000.0,0,46.919,105945000
