None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,ACKHQ,ARY,2005-12-31,2006-02-24,2005-12-31,2021-09-07,37100000,4606000000,4569450000.0,1561300000,3044700000,0.779,-32.425,-135500000.0,602200000,602200000,2821100000.0,112100000.0,3.688,-4.501,4906200000,20000000,4886200000,4906200000,0,141000000.0,0,0.0,0.0,122800000.0,263800000.0,0.074,263800000.0,122800000.0,114300000.0,2.77,2.75,2.77,-1313200000,-1380375000.0,-1313200000,4345884395,35.0,16.474,11200000.0,0.277,1.0,737300000.0,0.207,202300000,8500000.0,8284300000,8339875000.0,514500000,67400000,0,67400000,5911300000,423400000,5487900000,41884395,86300000.0,0.0,0.0,-2500000.0,0.0,-3900000.0,-48500000.0,58900000.0,146700000.0,-8000000.0,112100000.0,112100000.0,112100000.0,-10400000.0,0.0,0.032,674700000.0,62600000.0,392500000,0.0,-0.032,0.374,0.372,1145300000,0.0,1.03,0.012,0.012,328800000,-906500000,3558400000.0,3558400000.0,0.0,0.025,-0.081,0.015,0.035,0.0,652700000.0,1.0,40664461,40500000,40700000.0,87.862,4403700000,1001000000,2200000.0,32100000,108.733,1137900000
1,ACKHQ,ARY,2004-12-31,2005-03-30,2004-12-31,2021-09-07,42800000,4609400000,4667075000.0,1482200000,3127200000,0.749,-35.086,-134000000.0,515900000,515900000,2811000000.0,-80800000.0,3.037,-4.237,4914700000,19300000,4895400000,4914700000,0,151000000.0,0,0.0,0.0,-47800000.0,103200000.0,0.03,103200000.0,-47800000.0,-56200000.0,-2.0,-2.0,-2.0,-1421000000,-1348925000.0,-1421000000,4473630761,-94.0,43.349,8800000.0,0.217,1.0,686300000.0,0.196,212000000,8400000.0,8308100000,8377625000.0,529200000,72500000,0,72500000,6021100000,488100000,5533000000,74830761,31600000.0,0.0,0.0,-5800000.0,0.0,-7000000.0,-111700000.0,0.0,142800000.0,7500000.0,-80800000.0,-80800000.0,-80800000.0,400000.0,0.0,-0.023,768600000.0,-82300000.0,447400000,0.0,-0.053,-0.926,-0.92,1208800000,0.0,1.84,0.021,0.021,336100000,-1018600000,3497300000.0,3497300000.0,0.0,-0.017,0.06,-0.006,-0.014,0.0,635000000.0,1.0,40668892,40500000,40500000.0,86.353,4397400000,964200000,24600000.0,40600000,108.578,994100000
2,ACKHQ,ARY,2003-12-31,2004-03-04,2003-12-31,2021-09-07,43300000,4647800000,4558700000.0,1358800000,3289000000,0.715,-33.084,-78100000.0,484300000,484300000,2597400000.0,-39300000.0,3.27,-4.462,4910000000,12100000,4897900000,4910000000,0,173600000.0,0,0.0,0.0,-30700000.0,142900000.0,0.044,142900000.0,-30700000.0,-41000000.0,-0.97,-0.97,-0.97,-1339900000,-1353975000.0,-1339900000,4473689293,-146.0,31.306,87700000.0,2.165,1.0,661600000.0,0.203,323100000,10300000.0,8334900000,8366350000.0,454400000,48900000,0,48900000,5978000000,415500000,5562500000,47989293,104300000.0,0.0,0.0,-13500000.0,0.0,-14100000.0,-57200000.0,0.0,165800000.0,9800000.0,-39300000.0,-39300000.0,-39300000.0,0.0,0.0,-0.012,702100000.0,-40500000.0,354200000,0.0,-0.036,-1.221,-1.216,1267300000,0.0,1.18,0.015,0.015,315400000,-937800000,3259000000.0,3259000000.0,0.0,-0.009,0.029,-0.004,-0.009,0.0,603100000.0,1.0,40668892,40500000,40700000.0,80.469,4324700000,1007500000,-1700000.0,144200000,106.783,943300000
3,ACKHQ,ARY,2002-12-31,2003-03-19,2002-12-31,2021-09-07,-12200000,4504800000,3961875000.0,1255900000,3248900000,0.801,-33.252,-125100000.0,380000000,380000000,2404500000.0,-2142800000.0,3.106,-4.345,4920000000,19000000,4901000000,4920000000,0,136700000.0,0,0.0,0.0,-2956800000.0,-2820100000.0,-0.889,-2820100000.0,-2956800000.0,-2970600000.0,-52.91,-52.91,-52.91,-1346700000,-12325000.0,-1346700000,4564813326,-2.0,-1.619,98400000.0,2.43,1.0,767800000.0,0.242,315500000,13800000.0,8325000000,5800250000.0,443400000,43900000,0,43900000,5851500000,404300000,5447200000,24813326,102600000.0,0.0,0.0,-22900000.0,0.0,-23800000.0,-104100000.0,0.0,223500000.0,7000000.0,-2142800000.0,-2142800000.0,-2142800000.0,0.0,0.0,-0.675,3150300000.0,-2382500000.0,359300000,0.0,-0.018,-0.012,-0.012,1303700000,0.0,0.61,0.008,0.008,506500000,-898500000,3172300000.0,3172300000.0,0.0,-0.541,173.858,-0.51,-0.932,0.0,624900000.0,1.0,40677584,40500000,40700000.0,78.328,4189300000,884400000,-827800000.0,46700000,103.44,851600000
4,ACKHQ,ARY,2001-12-31,2002-03-08,2001-12-31,2021-09-07,-47100000,4034400000,4003525000.0,1114300000,2920100000,0.783,18.775,-112900000.0,277400000,277400000,2361800000.0,92800000.0,3.058,4.306,2432900000,25000000,2407900000,2432900000,0,156800000.0,0,0.0,0.0,148400000.0,305200000.0,0.097,305200000.0,148400000.0,135300000.0,2.29,2.27,2.29,760400000,732525000.0,760400000,2291444920,15.0,7.508,159200000.0,3.931,1.0,773600000.0,0.247,911800000,13100000.0,4913700000,4942025000.0,443100000,39600000,0,39600000,3274000000,364400000,2909600000,135944920,118300000.0,-5600000.0,-300000.0,-33400000.0,0.0,-37900000.0,-113900000.0,0.0,272100000.0,-2000000.0,92800000.0,92800000.0,92800000.0,-19600000.0,0.0,0.03,662500000.0,111100000.0,298600000,0.0,0.179,1.465,1.459,1283700000,0.0,3.34,0.043,0.043,316500000,1244300000,3135400000.0,3135400000.0,0.0,0.023,0.127,0.03,0.047,0.0,596200000.0,1.0,40702072,40500000,40800000.0,77.417,3122600000,11500000,42500000.0,59200000,77.101,749900000
5,ACKHQ,ARY,2000-12-31,2001-03-29,2000-12-31,2021-09-07,-45200000,3874600000,4013700000.0,944000000,2930600000,0.748,16.545,-150100000.0,156500000,156500000,2197700000.0,12200000.0,3.242,4.826,2466700000,24700000,2442000000,2466700000,0,168500000.0,0,0.0,0.0,72400000.0,240900000.0,0.08,240900000.0,72400000.0,-29200000.0,0.3,0.3,0.3,665100000,695625000.0,665100000,2470258304,34.0,10.254,-108300000.0,-2.694,1.0,806100000.0,0.268,937900000,101600000.0,4955700000,4043475000.0,340200000,37300000,0,37300000,3209500000,291200000,2918300000,160058304,139300000.0,323400000.0,-1500000.0,-24100000.0,-58100000.0,-78100000.0,179300000.0,0.0,41800000.0,-3700000.0,12200000.0,12200000.0,12200000.0,-101200000.0,0.0,0.004,927500000.0,-121400000.0,238000000,0.0,0.241,13.12,13.067,1253500000,0.0,3.92,0.053,0.052,316500000,1151500000,3003800000.0,3003800000.0,0.0,0.003,0.018,0.018,0.024,0.0,546300000.0,1.0,40831200,40200000,40500000.0,74.721,2936700000,32300000,-41400000.0,28500000,73.052,652800000
6,ACKHQ,ARY,1999-12-31,2000-03-15,1999-12-31,2021-09-07,-16500000,4164500000,4192500000.0,1029900000,3134600000,0.821,16.888,-175700000.0,35600000,35600000,2290300000.0,14300000.0,1.312,5.131,1519900000,107000000,1412900000,1519900000,0,169200000.0,0,0.0,0.0,134400000.0,303600000.0,0.088,303600000.0,134400000.0,29200000.0,0.36,0.36,0.36,679200000,774475000.0,679200000,2165479248,16.0,7.133,168500000.0,4.19,1.0,1153500000.0,0.335,991700000,105200000.0,3872100000,3964900000.0,429700000,34200000,0,34200000,3485300000,785000000,2700300000,681179248,-2600000.0,84500000.0,-100000.0,-202100000.0,-76900000.0,-281900000.0,-62000000.0,0.0,344200000.0,-2900000.0,14300000.0,14300000.0,14300000.0,0.0,0.0,0.004,1042500000.0,111000000.0,670700000,0.0,1.003,47.635,47.049,1439100000,0.0,16.938,0.198,0.198,436000000,1196200000,3443800000.0,3443800000.0,0.0,0.003,0.018,0.034,0.039,0.0,683000000.0,1.0,40217225,40217225,,85.63,3172800000,40600000,14900000.0,69300000,78.892,244900000
7,ACKHQ,ARY,1998-12-31,1999-03-16,1998-12-31,2021-09-07,-25400000,4273200000,3373200000.0,1121100000,3152100000,0.814,17.732,-159700000.0,38200000,38200000,1838600000.0,-9300000.0,1.488,5.021,1745600000,182800000,1562800000,1745600000,0,142700000.0,0,0.0,0.0,41600000.0,184300000.0,0.067,184300000.0,41600000.0,-20600000.0,-0.23,-0.23,-0.23,709700000,831475000.0,709700000,3661055636,88.0,19.865,92500000.0,2.311,1.0,907600000.0,0.33,1028600000,62200000.0,4198700000,3025400000.0,465100000,41800000,0,41800000,3563500000,753300000,2810200000,1953655636,-19700000.0,-1025400000.0,-23900000.0,1039500000.0,-75300000.0,937300000.0,-1209700000.0,0.0,252200000.0,500000.0,-9300000.0,-9300000.0,-9300000.0,0.0,0.0,-0.003,881500000.0,26100000.0,544800000,0.0,2.753,-210.07,-212.228,1502000000,0.0,48.812,0.711,0.711,440400000,1257000000,2746200000.0,2746200000.0,0.0,-0.003,-0.011,0.014,0.015,0.0,522000000.0,1.0,40023675,40023675,,68.614,3244600000,52500000,-11300000.0,133300000,81.067,367800000
8,ACKHQ,ARY,1997-12-31,1998-03-24,1997-12-31,2021-09-07,-1800000,2375500000,2262450000.0,600000000,1775500000,0.972,20.226,-141700000.0,57900000,57900000,1461700000.0,185000000.0,1.273,1.931,321700000,98600000,223100000,321700000,0,132700000.0,0,0.0,0.0,324200000.0,456900000.0,0.208,456900000.0,324200000.0,296200000.0,4.55,4.5,4.55,810600000,807975000.0,810600000,3727895700,11.0,8.159,104900000.0,2.618,1.0,737000000.0,0.335,0,28000000.0,2167800000,2118750000.0,220100000,174900000,0,174900000,1564900000,471500000,1093400000,3464095700,-7500000.0,7700000.0,-81300000.0,59500000.0,-70000000.0,-98600000.0,-152800000.0,0.0,246600000.0,-2700000.0,185000000.0,185000000.0,185000000.0,0.0,0.0,0.084,385300000.0,351700000.0,339900000,0.0,4.273,18.725,18.997,972200000,0.0,86.438,1.576,1.576,252600000,1339600000,2198700000.0,2198700000.0,0.0,0.082,0.229,0.153,0.147,0.0,385300000.0,1.0,40076306,40076306,,54.863,2375500000,25900000,111200000.0,86700000,59.274,128500000
9,ACKHQ,ARY,1996-12-31,1997-04-03,1996-12-31,2021-09-07,17300000,2135600000,,564500000,1571100000,,19.283,-220700000.0,65400000,65400000,1459900000.0,155900000.0,1.759,1.703,247600000,28200000,219400000,247600000,0,123700000.0,0,0.0,0.0,253900000.0,377600000.0,0.175,377600000.0,253900000.0,231300000.0,3.76,3.6,3.76,790000000,,790000000,2788798989,11.0,7.386,200000.0,0.005,1.0,696500000.0,0.323,0,22600000.0,1996800000,,205700000,204300000,0,204300000,1345600000,321000000,1024600000,2606598989,-191500000.0,-11800000.0,-73400000.0,-6300000.0,-70100000.0,-171800000.0,-239800000.0,0.0,220900000.0,-800000.0,155900000.0,149100000.0,149100000.0,0.0,0.0,0.069,459700000.0,236800000.0,273300000,0.0,3.299,17.482,16.922,964000000,6800000.0,63.625,1.209,1.209,216700000,1222600000,2156400000.0,2156400000.0,0.0,,,,0.118,0.0,413200000.0,1.0,40968157,40968157,,52.636,2135600000,49400000,75400000.0,50000000,52.128,243500000
