None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,AES,MRY,2020-12-31,2020-12-31,2020-12-31,2021-08-04,-2397000000.0,34603000000.0,34394500000.0,5414000000.0,29189000000.0,0.281,3.96,-1900000000.0,1386000000.0,1386000000.0,6967000000.0,152000000.0,1.01,11.345,19881000000.0,1430000000.0,18451000000.0,19881000000.0,438000000.0,1068000000.0,0.0,0.024,0.573,1300000000.0,2368000000.0,0.245,2368000000.0,1300000000.0,262000000.0,0.07,0.07,0.07,2634000000.0,2409750000.0,2634000000.0,35097581978.0,27.0,14.822,855000000.0,1.285,1.0,2693000000.0,0.279,1888000000.0,1038000000.0,45848000000.0,46382250000.0,461000000.0,1170000000.0,335000000.0,835000000.0,29883000000.0,5362000000.0,24521000000.0,15630581978.0,255000000.0,-299000000.0,0.0,478000000.0,-381000000.0,-78000000.0,-2295000000.0,-26000000.0,2755000000.0,-24000000.0,46000000.0,46000000.0,46000000.0,0.0,106000000.0,0.005,1082000000.0,1611000000.0,1156000000.0,8.186,5.934,339.795,335.714,22826000000.0,0.0,23.5,1.618,1.618,1300000000.0,-680000000.0,9660000000.0,9660000000.0,0.0,0.001,0.019,0.028,0.135,0.0,165000000.0,1.0,665131148.0,665131148.0,,14.523,32715000000.0,288000000.0,216000000.0,1357000000.0,49.186,52000000.0
1,AES,MRY,2019-12-31,2019-12-31,2019-12-31,2021-08-04,-2229000000.0,33648000000.0,33445000000.0,5231000000.0,28417000000.0,0.305,4.513,-2405000000.0,1365000000.0,1365000000.0,7840000000.0,478000000.0,1.026,9.486,20173000000.0,1868000000.0,18305000000.0,20173000000.0,34000000.0,1045000000.0,0.0,0.027,0.546,1705000000.0,2750000000.0,0.27,2750000000.0,1705000000.0,655000000.0,0.46,0.45,0.46,2996000000.0,3144500000.0,2996000000.0,31372463854.0,18.0,11.408,61000000.0,0.092,1.0,2349000000.0,0.231,1528000000.0,1050000000.0,45832000000.0,45520500000.0,487000000.0,2717000000.0,400000000.0,2317000000.0,28419000000.0,5096000000.0,23323000000.0,13211463854.0,-431000000.0,-338000000.0,0.0,692000000.0,-362000000.0,-86000000.0,-2721000000.0,-104000000.0,2466000000.0,-18000000.0,303000000.0,303000000.0,303000000.0,0.0,175000000.0,0.03,461000000.0,1888000000.0,1311000000.0,1.187,4.41,43.602,43.261,22574000000.0,0.0,19.9,1.297,1.297,1479000000.0,-692000000.0,10189000000.0,10189000000.0,0.0,0.009,0.096,0.037,0.167,0.0,196000000.0,1.0,663892656.0,663892656.0,,15.347,32120000000.0,156000000.0,352000000.0,1466000000.0,48.381,135000000.0
2,AES,MRY,2018-12-31,2018-12-31,2018-12-31,2021-08-04,-2071000000.0,32521000000.0,32545000000.0,5015000000.0,27506000000.0,0.33,4.844,-2121000000.0,1536000000.0,1536000000.0,8163000000.0,1565000000.0,1.14,8.391,19295000000.0,1659000000.0,17636000000.0,19295000000.0,0.0,1003000000.0,0.0,0.036,0.52,2967000000.0,3970000000.0,0.37,3970000000.0,2967000000.0,1911000000.0,1.82,1.81,1.82,3208000000.0,3253750000.0,3208000000.0,27344821546.0,9.0,6.888,222000000.0,0.335,1.0,2573000000.0,0.24,1495000000.0,1056000000.0,44386000000.0,44686750000.0,577000000.0,2850000000.0,313000000.0,2537000000.0,26917000000.0,4399000000.0,22518000000.0,9576821546.0,215000000.0,1809000000.0,0.0,-1064000000.0,-344000000.0,-1643000000.0,-505000000.0,-109000000.0,2343000000.0,-54000000.0,1203000000.0,1203000000.0,1203000000.0,0.0,362000000.0,0.112,458000000.0,2115000000.0,1329000000.0,0.286,2.985,7.961,7.945,21396000000.0,0.0,14.46,0.892,0.892,1595000000.0,-1005000000.0,10736000000.0,10736000000.0,0.0,0.037,0.37,0.066,0.276,0.0,192000000.0,1.0,662297479.0,662297479.0,,16.21,31026000000.0,97000000.0,708000000.0,1530000000.0,46.846,616000000.0
3,AES,MRY,2017-12-31,2017-12-31,2017-12-31,2021-08-04,-1876000000.0,33112000000.0,36230750000.0,6398000000.0,26714000000.0,0.291,3.733,-2177000000.0,1223000000.0,1223000000.0,8065000000.0,-777000000.0,1.061,11.467,19965000000.0,2164000000.0,17801000000.0,19965000000.0,0.0,1169000000.0,0.0,0.044,0.48,999000000.0,2168000000.0,0.206,2168000000.0,999000000.0,-171000000.0,-1.76,-1.76,-1.76,2465000000.0,2915750000.0,2465000000.0,27349986510.0,27.0,12.615,327000000.0,0.495,1.0,2465000000.0,0.234,1425000000.0,1170000000.0,44401000000.0,47773500000.0,562000000.0,1621000000.0,424000000.0,1197000000.0,28267000000.0,6028000000.0,22239000000.0,7151986510.0,-128000000.0,-590000000.0,0.0,769000000.0,-317000000.0,43000000.0,-2599000000.0,230000000.0,2504000000.0,8000000.0,-1161000000.0,-1161000000.0,-1161000000.0,0.0,384000000.0,-0.11,810000000.0,1655000000.0,1371000000.0,-0.273,2.901,-6.16,-6.153,20296000000.0,0.0,10.83,0.679,0.679,1463000000.0,-2276000000.0,10530000000.0,10530000000.0,0.0,-0.032,-0.398,0.021,0.095,0.0,215000000.0,1.0,660386566.0,660386566.0,,15.945,31687000000.0,130000000.0,990000000.0,1258000000.0,47.983,370000000.0
4,AES,MRY,2016-12-31,2016-12-31,2016-12-31,2021-08-04,-2756000000.0,36124000000.0,36776500000.0,6416000000.0,29708000000.0,0.28,4.239,-2345000000.0,1521000000.0,1521000000.0,7898000000.0,-777000000.0,1.216,10.889,19454000000.0,1052000000.0,18402000000.0,19454000000.0,0.0,1176000000.0,0.0,0.038,0.44,36000000.0,1212000000.0,0.118,1212000000.0,36000000.0,-1098000000.0,-1.72,-1.72,-1.72,2794000000.0,2910750000.0,2794000000.0,26874624423.0,747.0,22.174,552000000.0,0.837,1.0,2383000000.0,0.232,1444000000.0,1134000000.0,47336000000.0,48312250000.0,622000000.0,1151000000.0,530000000.0,621000000.0,30424000000.0,5277000000.0,25147000000.0,7659624423.0,-42000000.0,486000000.0,-79000000.0,-77000000.0,-290000000.0,-747000000.0,-2136000000.0,-253000000.0,2897000000.0,37000000.0,-1130000000.0,-1130000000.0,-1130000000.0,0.0,353000000.0,-0.11,1370000000.0,1013000000.0,1238000000.0,-0.256,2.741,-6.778,-6.756,20415000000.0,0.0,11.62,0.745,0.745,1421000000.0,-1146000000.0,10281000000.0,10281000000.0,0.0,-0.031,-0.388,0.001,0.004,0.0,194000000.0,1.0,659175940.0,659175940.0,,15.597,34680000000.0,227000000.0,32000000.0,804000000.0,52.611,1139000000.0
5,AES,MRY,2015-12-31,2015-12-31,2015-12-31,2021-08-04,-3883000000.0,36470000000.0,37512750000.0,6842000000.0,29628000000.0,0.3,4.68,-2308000000.0,1552000000.0,1552000000.0,8597000000.0,762000000.0,0.988,9.622,20081000000.0,2172000000.0,17909000000.0,20081000000.0,0.0,1144000000.0,0.0,0.042,0.4,1863000000.0,3007000000.0,0.267,3007000000.0,1863000000.0,718000000.0,0.45,0.44,0.45,3149000000.0,3650500000.0,3149000000.0,25359290881.0,14.0,8.433,-174000000.0,-0.259,1.0,2663000000.0,0.237,1497000000.0,1145000000.0,46576000000.0,48103250000.0,671000000.0,1079000000.0,469000000.0,610000000.0,30299000000.0,6926000000.0,23373000000.0,6439290881.0,-231000000.0,121000000.0,-482000000.0,468000000.0,-276000000.0,28000000.0,-2366000000.0,47000000.0,2134000000.0,-52000000.0,306000000.0,306000000.0,306000000.0,0.0,456000000.0,0.027,822000000.0,1841000000.0,1571000000.0,0.889,2.045,21.043,21.267,22022000000.0,0.0,9.57,0.572,0.572,2302000000.0,143000000.0,11260000000.0,11260000000.0,0.0,0.008,0.084,0.039,0.165,0.0,196000000.0,1.0,672862161.0,672862161.0,,16.734,34973000000.0,410000000.0,412000000.0,1090000000.0,51.976,-84000000.0
6,AES,MRY,2014-12-31,2014-12-31,2014-12-31,2021-08-04,-3286000000.0,38966000000.0,39588750000.0,7826000000.0,31140000000.0,0.407,5.991,-2016000000.0,1822000000.0,1822000000.0,13144000000.0,1147000000.0,1.118,7.407,20858000000.0,2133000000.0,18725000000.0,20858000000.0,0.0,1245000000.0,0.0,0.015,0.2,2591000000.0,3836000000.0,0.238,3836000000.0,2591000000.0,1140000000.0,1.07,1.06,1.07,4272000000.0,4268250000.0,4272000000.0,28727648322.0,11.0,7.489,-225000000.0,-0.316,1.0,2980000000.0,0.185,1739000000.0,1451000000.0,49266000000.0,49978500000.0,702000000.0,1246000000.0,709000000.0,537000000.0,31641000000.0,6997000000.0,24644000000.0,9818648322.0,-119000000.0,1079000000.0,-308000000.0,-420000000.0,-144000000.0,-1262000000.0,-656000000.0,-120000000.0,1791000000.0,-51000000.0,769000000.0,769000000.0,769000000.0,0.0,378000000.0,0.048,507000000.0,2473000000.0,2278000000.0,0.187,2.298,12.768,12.869,25151000000.0,0.0,13.77,0.609,0.609,2709000000.0,512000000.0,16124000000.0,16124000000.0,0.0,0.019,0.18,0.052,0.161,0.0,187000000.0,1.0,713046356.0,713046356.0,,22.613,37227000000.0,937000000.0,371000000.0,1277000000.0,52.208,829000000.0
7,AES,MRY,2013-12-31,2013-12-31,2013-12-31,2021-08-04,-2882000000.0,40411000000.0,41303750000.0,7739000000.0,32672000000.0,0.385,5.833,-1988000000.0,2239000000.0,2239000000.0,12644000000.0,551000000.0,1.011,7.566,21049000000.0,2180000000.0,18869000000.0,21049000000.0,0.0,1294000000.0,0.0,0.011,0.16,1939000000.0,3233000000.0,0.203,3233000000.0,1939000000.0,457000000.0,0.15,0.15,0.15,4330000000.0,4631250000.0,4330000000.0,29156166439.0,15.0,9.018,727000000.0,0.979,1.0,3247000000.0,0.204,1919000000.0,1482000000.0,49649000000.0,49424500000.0,684000000.0,1678000000.0,668000000.0,1010000000.0,32760000000.0,7653000000.0,25107000000.0,10771166439.0,-258000000.0,163000000.0,-322000000.0,-186000000.0,-119000000.0,-1136000000.0,-1774000000.0,-82000000.0,2715000000.0,-59000000.0,114000000.0,114000000.0,114000000.0,0.0,437000000.0,0.007,763000000.0,2484000000.0,2259000000.0,1.067,2.488,94.484,96.733,25112000000.0,0.0,14.51,0.678,0.678,2363000000.0,-150000000.0,15891000000.0,15891000000.0,0.0,0.003,0.025,0.039,0.122,0.0,220000000.0,1.0,742327115.0,742327115.0,,21.407,38492000000.0,832000000.0,343000000.0,1119000000.0,51.853,86000000.0
8,AES,MRY,2012-12-31,2012-12-31,2012-12-31,2021-08-04,-2920000000.0,41830000000.0,42841500000.0,8465000000.0,33365000000.0,0.401,6.141,-2108000000.0,2634000000.0,2634000000.0,13581000000.0,-357000000.0,1.018,7.511,20721000000.0,2505000000.0,18216000000.0,20721000000.0,0.0,1394000000.0,0.0,0.004,0.04,1317000000.0,2711000000.0,0.158,2711000000.0,1317000000.0,-227000000.0,-1.21,-1.21,-1.21,4569000000.0,5401250000.0,4569000000.0,26842383663.0,20.0,9.901,793000000.0,1.066,1.0,3583000000.0,0.209,2323000000.0,1544000000.0,49275000000.0,50913750000.0,719000000.0,1889000000.0,693000000.0,1196000000.0,34316000000.0,8319000000.0,25997000000.0,7960383663.0,276000000.0,619000000.0,-301000000.0,-652000000.0,-30000000.0,-1867000000.0,-895000000.0,441000000.0,2901000000.0,5000000.0,-912000000.0,-912000000.0,-912000000.0,0.0,555000000.0,-0.053,2246000000.0,1337000000.0,2545000000.0,-0.033,1.742,-8.728,-8.843,24635000000.0,0.0,10.7,0.464,0.464,2539000000.0,-264000000.0,17164000000.0,17164000000.0,0.0,-0.021,-0.169,0.026,0.077,0.0,274000000.0,1.0,743961090.0,743961090.0,,23.071,39507000000.0,1139000000.0,685000000.0,1179000000.0,53.104,146000000.0
9,AES,MRY,2011-12-31,2011-12-31,2011-12-31,2021-08-04,-2758000000.0,45346000000.0,42341000000.0,9229000000.0,36117000000.0,0.38,7.747,-2430000000.0,2172000000.0,2172000000.0,12058000000.0,1530000000.0,1.094,5.99,22020000000.0,2428000000.0,19592000000.0,22020000000.0,0.0,1262000000.0,0.0,0.0,0.0,2244000000.0,3506000000.0,0.218,3506000000.0,2244000000.0,714000000.0,0.07,0.07,0.07,5946000000.0,6470500000.0,5946000000.0,25778771126.0,11.0,7.353,454000000.0,0.591,1.0,4040000000.0,0.251,4365000000.0,1530000000.0,52391000000.0,50002750000.0,775000000.0,2778000000.0,1356000000.0,1422000000.0,35617000000.0,8438000000.0,27179000000.0,9087771126.0,-736000000.0,-2639000000.0,-279000000.0,2981000000.0,0.0,1412000000.0,-4906000000.0,259000000.0,2884000000.0,-122000000.0,58000000.0,58000000.0,58000000.0,0.0,1472000000.0,0.004,622000000.0,3418000000.0,2008000000.0,0.0,1.528,156.686,169.143,25001000000.0,0.0,11.84,0.565,0.565,2522000000.0,678000000.0,16098000000.0,16098000000.0,0.0,0.001,0.009,0.045,0.139,0.0,346000000.0,1.0,767548237.0,767548237.0,,20.973,40981000000.0,1169000000.0,656000000.0,1321000000.0,53.392,791000000.0
