None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,AGN,ARY,2019-12-31,2020-02-18,2019-12-31,2020-05-07,1207200000,94699100000,95656250000.0,11126700000,83572400000,0.168,176.819,-351500000.0,2503300000,2503300000,2493100000.0,-5265100000.0,1.005,0.627,23219500000,4656900000,18562600000,23219500000,0,6192000000.0,0,0.015,2.96,-4341600000.0,1850400000.0,0.115,1850400000.0,-4341600000.0,-5124600000.0,-16.02,-16.02,-16.02,58173600000,59466375000.0,58173600000,85858598970,-20.0,46.4,6887200000.0,20.934,1.0,13595800000.0,0.845,80138900000,783000000.0,24205700000,25319150000.0,1133100000,3819600000,3411600000,408000000,36502700000,11070700000,25432000000,65142398970,1622900000.0,-138900000.0,-749400000.0,-1042300000.0,-974400000.0,-2766100000.0,-2858800000.0,-2368400000.0,7238700000.0,9100000.0,-5271000000.0,-5271000000.0,-5271000000.0,0.0,5900000.0,-0.328,18041100000.0,-4445300000.0,6348700000,-0.185,1.12,-12.359,-12.36,2416900000,0.0,198.0,4.049,4.049,3192300000,991500000,16088900000.0,16088900000.0,1812000000.0,-0.055,-0.089,-0.171,-0.27,214300000.0,5943500000.0,1.0,329002015,329000000,329000000.0,48.902,14560200000,576900000,146400000.0,6133600000,44.256,56000000
1,AGN,ARY,2018-12-31,2019-02-15,2018-12-31,2020-05-07,1345200000,101787600000,107302550000.0,6475400000,95312200000,0.147,193.217,-223100000.0,880400000,880400000,2191400000.0,-5086200000.0,1.131,0.563,23797700000,868300000,22929400000,23797700000,0,6748600000.0,0,0.026,3.62,-5955900000.0,792700000.0,0.05,792700000.0,-5955900000.0,-6867100000.0,-15.26,-15.26,-15.26,65114100000,69798325000.0,65114100000,69173994899,-12.0,87.264,5417000000.0,16.074,1.0,13596000000.0,0.861,89608700000,911200000.0,29368300000,27607875000.0,846900000,2997500000,1026900000,1970600000,36656600000,5727900000,30928700000,46256694899,-936800000.0,0.0,-2673000000.0,-6178400000.0,-1049800000.0,-9680100000.0,3098500000.0,3321600000.0,5640100000.0,4700000.0,-5096400000.0,-5142800000.0,-5142800000.0,0.0,10200000.0,-0.326,19843600000.0,-6247600000.0,4787200000,-0.237,0.71,-8.994,-9.113,1787000000,46400000.0,139.07,2.93,2.969,2868100000,7258900000,15787400000.0,15787400000.0,2266200000.0,-0.048,-0.074,-0.216,-0.377,239800000.0,4521800000.0,1.0,332614474,337000000,337000000.0,46.847,12178900000,1063700000,-1770700000.0,7189700000,36.139,747500000
2,AGN,ARY,2017-12-31,2018-02-16,2017-12-31,2020-05-07,1920700000,118341900000,122226600000.0,11376700000,106965200000,0.13,221.154,-342800000.0,1817200000,1817200000,2168000000.0,-4118900000.0,1.155,0.603,30075300000,4231800000,25843500000,30075300000,0,7368600000.0,0,0.017,2.1,-9700300000.0,-2331700000.0,-0.146,-2331700000.0,-9700300000.0,-10795900000.0,-13.19,-13.19,-13.19,73821100000,73847325000.0,73821100000,82443861697,-8.0,-35.358,5530600000.0,16.569,1.0,13772700000.0,0.864,104511200000,1095600000.0,32240700000,33650950000.0,904500000,4900000000,4632100000,267900000,44504800000,9848100000,34656700000,54185761697,93200000.0,-5904700000.0,-309600000.0,-2863600000.0,-1218200000.0,-4923600000.0,-878000000.0,5369500000.0,5873400000.0,21400000.0,-4125500000.0,-4403900000.0,-4403900000.0,402900000.0,6600000.0,-0.276,19693900000.0,-5921200000.0,5541400000,-0.212,0.734,-12.304,-12.437,1785400000,278400000.0,164.04,3.399,3.435,2899000000,12957200000,15940700000.0,15940700000.0,2100100000.0,-0.036,-0.06,-0.288,-0.609,293300000.0,5016700000.0,1.0,330320420,333800000,333800000.0,47.755,13830700000,319100000,-6670400000.0,8001200000,41.434,1528600000
3,AGN,ARY,2016-12-31,2017-02-24,2016-12-31,2020-05-07,-1038400000,128986300000,135321700000.0,17857900000,111128400000,0.108,197.955,-298100000.0,1724000000,1724000000,1860800000.0,14979500000.0,2.268,0.693,32768700000,2797900000,29970800000,32768700000,0,6631000000.0,0,0.003,0.7,14372000000.0,21003000000.0,1.441,21003000000.0,14372000000.0,13076400000.0,38.18,38.18,38.18,76192700000,80003125000.0,76192700000,113298787829,8.0,5.394,1127200000.0,2.929,1.0,12709800000.0,0.872,108974700000,1295600000.0,43181600000,49780750000.0,718000000,11783600000,11501500000,282100000,52785800000,7874700000,44911100000,82254087829,628000000.0,32603300000.0,-14904300000.0,-9798700000.0,-278400000.0,-25122100000.0,24333300000.0,-7971900000.0,1425300000.0,-8500000.0,14973400000.0,14695000000.0,14695000000.0,-15914500000.0,6100000.0,1.009,14535300000.0,-1825500000.0,5019000000,0.018,1.08,5.597,6.427,1611300000,278400000.0,245.37,5.645,6.482,2531000000,18342500000,14570600000.0,14570600000.0,2575700000.0,0.109,0.184,0.289,0.986,314100000.0,4740300000.0,1.0,335224713,384900000,384900000.0,37.856,20011600000,233300000,-1897000000.0,13913100000,51.992,9983200000
4,AGN,ARY,2015-12-31,2016-02-26,2015-12-31,2020-05-07,-494100000,135840700000,139132200000.0,8615400000,127225300000,0.108,208.242,-314800000.0,1096000000,1096000000,4810400000.0,3919400000.0,1.034,0.774,42726200000,2432800000,40293400000,42726200000,0,5995300000.0,0,0.0,0.05,3546600000.0,9541900000.0,0.633,9541900000.0,3546600000.0,2353300000.0,10.01,10.01,10.01,76591400000,74384750000.0,76591400000,159274668549,45.0,16.692,4215200000.0,11.461,1.0,10260600000.0,0.681,114483200000,1193300000.0,54659400000,53298475000.0,1009700000,586700000,9300000,577400000,59251400000,8328300000,50923100000,117644468549,846000000.0,-37664800000.0,4183100000.0,25003500000.0,-208100000.0,33443400000.0,-37120900000.0,858700000.0,4530000000.0,-6500000.0,3915200000.0,3683200000.0,3683200000.0,-6787700000.0,4200000.0,0.244,13275100000.0,-3014500000.0,4349500000,0.0,1.536,31.941,29.777,1573900000,232000000.0,298.07,7.806,7.274,2401600000,3647500000,15071000000.0,15071000000.0,2358500000.0,0.026,0.05,0.067,0.235,614300000.0,4679600000.0,1.0,394687384,367800000,367800000.0,40.976,21357500000,49500000,-1561900000.0,8841800000,58.068,287100000
5,AGN,ARY,2014-12-31,2015-02-18,2014-12-31,2020-05-07,-465400000,52529100000,38547450000.0,6881700000,45647400000,0.339,128.954,-224900000.0,250000000,250000000,6303800000.0,-1630200000.0,1.371,0.854,15543700000,697400000,14846300000,15543700000,65800000,2828400000.0,0,0.001,0.25,-1300600000.0,1527800000.0,0.117,1527800000.0,-1300600000.0,-1712400000.0,-7.42,-7.42,-7.42,28331100000,19193975000.0,28331100000,90909351780,-70.0,59.503,2018100000.0,9.186,1.0,6758500000.0,0.517,43709900000,411800000.0,19094300000,15957875000.0,2075500000,236400000,1000000,235400000,24193600000,5018600000,19175000000,75615651780,-79000000.0,-5598400000.0,-24200000.0,3229200000.0,0.0,3017500000.0,-5370600000.0,11000000.0,2243000000.0,-5900000.0,-1630500000.0,-1630500000.0,-1630500000.0,0.0,300000.0,-0.125,8026200000.0,-1267700000.0,4170600000,-0.034,2.669,-46.376,-38.275,1594700000,0.0,284.0,5.789,4.777,2372300000,-198200000,13062300000.0,13062300000.0,1085900000.0,-0.042,-0.085,-0.082,-0.1,316900000.0,3593200000.0,1.0,266252295,219700000,219700000.0,59.455,8819200000,607700000,-81900000.0,4051800000,40.142,1863100000
6,AGN,ARY,2013-12-31,2014-02-25,2013-12-31,2020-05-07,90500000,22725900000,16025900000.0,4434700000,18291200000,0.541,66.986,-170800000.0,329000000,329000000,4690700000.0,-751100000.0,1.346,1.384,9052000000,534600000,8517400000,9052000000,78900000,1044700000.0,0,0.0,0.1,-397900000.0,646800000.0,0.075,646800000.0,-397900000.0,-637700000.0,-5.27,-5.27,-5.27,9532100000,5104000000.0,9532100000,47917942400,-120.0,74.085,1042700000.0,7.327,1.0,3986900000.0,0.459,16432100000,239800000.0,11721900000,9616275000.0,1786300000,140000000,2500000,137500000,13188800000,3294900000,9893900000,39194942400,10000000.0,-140600000.0,-122000000.0,-799600000.0,0.0,-867300000.0,-275300000.0,33200000.0,1213500000.0,-23900000.0,-750400000.0,-750400000.0,-750400000.0,0.0,-700000.0,-0.086,4410100000.0,-423200000.0,2343200000,-0.019,4.112,-52.232,-42.694,1616800000,0.0,225.0,4.517,3.69,1404900000,1432300000,8677600000.0,8677600000.0,616900000.0,-0.047,-0.147,-0.041,-0.046,64600000.0,2047800000.0,1.0,174199744,142300000,142300000.0,60.981,6293800000,336600000,112700000.0,1141900000,44.229,1139800000
7,AGN,ARY,2012-12-31,2013-02-28,2012-12-31,2020-05-07,36800000,14103500000,8514825000.0,3879700000,10223800000,0.695,30.475,-129500000.0,319000000,319000000,3390400000.0,98300000.0,1.431,2.673,6433300000,176200000,6257100000,6433300000,43600000,578600000.0,0,0.0,0.0,360800000.0,939400000.0,0.159,939400000.0,360800000.0,244100000.0,0.77,0.76,0.77,3833800000,3686450000.0,3833800000,17000493644,47.0,18.097,536300000.0,4.263,1.0,2524500000.0,0.427,8592100000,116700000.0,8915100000,4282675000.0,1543200000,100200000,9000000,91200000,10247100000,2710600000,7536500000,10886193644,109700000.0,-5519300000.0,2700000.0,5283000000.0,0.0,5189600000.0,-5749000000.0,-103000000.0,665800000.0,3300000.0,97300000.0,97300000.0,97300000.0,0.0,1000000.0,0.016,2203700000.0,320800000.0,2428900000,0.0,2.84,111.883,110.597,1479800000,0.0,85.16,1.84,1.811,1303400000,2182700000,5914900000.0,5914900000.0,401800000.0,0.011,0.026,0.084,0.061,35100000.0,1171300000.0,1.0,127832241,125800000,128400000.0,47.018,5511400000,362300000,146800000.0,1178700000,43.811,1169100000
8,AGN,ARY,2011-12-31,2012-02-16,2011-12-31,2020-05-07,-76500000,6698300000,6407625000.0,2569700000,4128600000,0.715,28.623,-120000000.0,209300000,209300000,2564900000.0,259100000.0,1.397,0.88,1033000000,184500000,848500000,1033000000,29800000,447900000.0,0,0.0,0.0,539600000.0,987500000.0,0.215,987500000.0,539600000.0,457800000.0,2.1,2.06,2.1,3563600000,3473500000.0,3563600000,8493042017,16.0,8.601,512000000.0,4.112,1.0,2019500000.0,0.441,3321900000,81800000.0,2360600000,2549025000.0,889400000,86200000,14900000,71300000,3135800000,1839500000,1296300000,7669342017,-73500000.0,-593800000.0,40700000.0,-28800000.0,0.0,16400000.0,-719000000.0,-7500000.0,632000000.0,-2900000.0,260900000.0,260900000.0,260900000.0,0.0,-1800000.0,0.057,1483300000.0,536200000.0,1535400000,0.0,2.152,29.396,28.719,713700000,0.0,60.31,1.673,1.638,1165700000,2085400000,4584400000.0,4584400000.0,295400000.0,0.041,0.075,0.212,0.118,25200000.0,754900000.0,1.0,127165346,124500000,126500000.0,36.822,3376400000,189800000,196900000.0,464900000,27.12,730200000
9,AGN,ARY,2010-12-31,2011-02-22,2010-12-31,2020-05-07,-2500000,5827300000,5819500000.0,1799400000,4027900000,0.613,26.811,-53900000.0,282800000,282800000,1998500000.0,183300000.0,2.193,0.775,1016100000,0,1016100000,1016100000,37100000,281900000.0,0,0.0,0.0,335800000.0,617700000.0,0.173,617700000.0,335800000.0,251700000.0,1.51,1.48,1.51,3281700000,3182075000.0,3281700000,7641223107,23.0,12.37,517100000.0,4.225,1.0,1568400000.0,0.44,3160100000,84100000.0,2579800000,2743950000.0,631000000,95600000,11100000,84500000,2544700000,820700000,1724000000,6907923107,81400000.0,-78400000.0,48400000.0,-459700000.0,0.0,-411300000.0,-74100000.0,55700000.0,571000000.0,-4200000.0,184400000.0,184400000.0,184400000.0,0.0,-1100000.0,0.052,1263000000.0,305400000.0,741100000,0.0,2.105,37.462,36.358,642300000,0.0,54.9,1.937,1.884,560900000,1824500000,3566900000.0,3566900000.0,296100000.0,0.032,0.058,0.122,0.094,23500000.0,756100000.0,1.0,125827379,122400000,124200000.0,29.141,2667200000,320400000,67300000.0,567300000,21.791,978700000
