None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,ALL,ARY,2020-12-31,2021-02-22,2020-12-31,2021-08-04,3304000000,125987000000,121527500000.0,,,0.369,96.974,-308000000.0,377000000,377000000,24882000000.0,5576000000.0,,3.169,7825000000,,,7825000000,15949000000,686000000.0,17213000000,0.021,2.16,7277000000.0,7963000000.0,0.178,7963000000.0,7277000000.0,6959000000.0,17.53,17.31,17.53,30217000000,27159750000.0,30217000000,39343600492,5.0,4.941,5183000000.0,16.634,1.0,19909000000.0,0.444,2544000000,318000000.0,130891000000,125507250000.0,0,94237000000,,,95770000000,,,31895600492,39000000.0,1000000.0,-1674000000.0,1189000000.0,-668000000.0,-2011000000.0,-3441000000.0,-3134000000.0,5491000000.0,0.0,5576000000.0,5461000000.0,5461000000.0,0.0,0.0,0.122,6904000000.0,13005000000.0,0,0.123,1.056,5.841,6.007,1057000000,115000000.0,105.31,0.712,0.733,15699000000,52767000000,44791000000.0,44791000000.0,0.0,0.045,0.201,0.058,0.162,0.0,5630000000.0,1.0,302873426,311600000,315500000.0,143.745,123443000000,0,1383000000.0,1355000000,396.159,
1,ALL,ARY,2019-12-31,2020-02-21,2019-12-31,2021-08-04,1950000000,119950000000,118807750000.0,,,0.376,79.214,-433000000.0,338000000,338000000,26655000000.0,4847000000.0,,3.614,6631000000,,,6631000000,15343000000,647000000.0,17692000000,0.016,2.0,6416000000.0,7063000000.0,0.158,7063000000.0,6416000000.0,6089000000.0,14.25,14.03,14.25,25998000000,25008000000.0,25998000000,45469865166,7.0,6.438,4696000000.0,14.308,1.0,18020000000.0,0.403,2545000000,327000000.0,123698000000,122328500000.0,0,88362000000,,,93952000000,,,39176865166,-161000000.0,-18000000.0,-1615000000.0,174000000.0,-653000000.0,-2483000000.0,-2807000000.0,-2356000000.0,5129000000.0,0.0,4847000000.0,4678000000.0,4678000000.0,0.0,0.0,0.105,5920000000.0,12100000000.0,0,0.14,1.507,8.375,8.675,1145000000,169000000.0,123.62,0.877,0.908,15683000000,48074000000,44675000000.0,44675000000.0,0.0,0.039,0.187,0.052,0.144,0.0,5533000000.0,1.0,316913648,328200000,333500000.0,136.121,117405000000,0,1242000000.0,1154000000,357.724,
2,ALL,ARY,2018-12-31,2019-02-15,2018-12-31,2021-08-04,-1557000000,112249000000,113349250000.0,,,0.351,61.277,-277000000.0,499000000,499000000,25466000000.0,2252000000.0,,4.267,6451000000,,,6451000000,14510000000,511000000.0,18371000000,0.019,1.84,3076000000.0,3587000000.0,0.09,3587000000.0,3076000000.0,2744000000.0,6.05,5.96,6.05,21312000000,22836000000.0,21312000000,37282677756,12.0,10.394,4898000000.0,14.083,1.0,14349000000.0,0.36,2530000000,332000000.0,115671000000,117149500000.0,0,81260000000,,,90937000000,,,31330677756,-118000000.0,-558000000.0,-2230000000.0,98000000.0,-614000000.0,-3574000000.0,-1719000000.0,-884000000.0,5175000000.0,0.0,2252000000.0,2104000000.0,2104000000.0,0.0,0.0,0.053,5410000000.0,8939000000.0,0,0.304,1.47,14.891,15.6,1045000000,148000000.0,94.38,0.787,0.824,15719000000,45708000000,39815000000.0,39815000000.0,0.0,0.019,0.092,0.026,0.077,0.0,5222000000.0,1.0,331963104,347800000,353200000.0,114.477,109719000000,0,492000000.0,425000000,315.466,
3,ALL,ARY,2017-12-31,2018-02-26,2017-12-31,2021-08-04,306000000,112422000000,111790500000.0,,,0.345,62.296,-299000000.0,617000000,617000000,24542000000.0,3189000000.0,,3.985,6350000000,,,6350000000,13473000000,483000000.0,19434000000,0.012,1.48,4326000000.0,4809000000.0,0.125,4809000000.0,4326000000.0,3991000000.0,8.49,8.36,8.49,22551000000,21832250000.0,22551000000,39672362596,9.0,8.25,4015000000.0,11.091,1.0,13982000000.0,0.363,2181000000,335000000.0,115974000000,115307500000.0,0,82803000000,,,89871000000,,,33939362596,181000000.0,-1356000000.0,-1360000000.0,0.0,-525000000.0,-2923000000.0,-1210000000.0,445000000.0,4314000000.0,0.0,3189000000.0,3073000000.0,3073000000.0,0.0,0.0,0.08,5018000000.0,8964000000.0,0,0.131,1.505,11.044,11.278,1072000000,116000000.0,95.75,0.881,0.9,14707000000,43162000000,38524000000.0,38524000000.0,0.0,0.027,0.141,0.038,0.112,0.0,4784000000.0,1.0,354458095,362000000,367800000.0,106.42,110241000000,0,802000000.0,782000000,304.533,
4,ALL,ARY,2016-12-31,2017-02-17,2016-12-31,2021-08-04,-416000000,108610000000,107594500000.0,,,0.34,55.185,-313000000.0,436000000,436000000,24804000000.0,1877000000.0,,4.279,6347000000,,,6347000000,12583000000,382000000.0,20260000000,0.016,1.32,3049000000.0,3431000000.0,0.094,3431000000.0,3049000000.0,2754000000.0,4.72,4.67,4.72,20573000000,20600000000.0,20573000000,35281984080,12.0,10.283,3680000000.0,9.871,1.0,11730000000.0,0.321,1219000000,295000000.0,113302000000,111343500000.0,0,81799000000,,,88037000000,,,29370984080,-59000000.0,0.0,-1173000000.0,1219000000.0,-486000000.0,-1526000000.0,-2526000000.0,-2213000000.0,3993000000.0,0.0,1877000000.0,1761000000.0,1761000000.0,0.0,0.0,0.048,4580000000.0,7150000000.0,0,0.28,1.428,16.679,17.042,1065000000,116000000.0,80.44,0.804,0.821,14342000000,40678000000,36534000000.0,36534000000.0,0.0,0.016,0.085,0.027,0.083,0.0,4550000000.0,1.0,365129091,372800000,377300000.0,97.999,107391000000,0,877000000.0,487000000,288.066,
5,ALL,ARY,2015-12-31,2016-02-19,2015-12-31,2021-08-04,-755000000,104656000000,106421500000.0,,,0.335,49.925,-303000000.0,495000000,495000000,23598000000.0,2171000000.0,,4.226,5124000000,,,5124000000,12202000000,371000000.0,21295000000,0.019,1.2,3574000000.0,3945000000.0,0.111,3945000000.0,3574000000.0,3282000000.0,5.12,5.05,5.12,20025000000,21001500000.0,20025000000,28840227392,8.0,7.311,3313000000.0,8.26,1.0,12055000000.0,0.338,1219000000,292000000.0,108066000000,109592000000.0,0,77758000000,,,84631000000,,,24211227392,-162000000.0,0.0,-2678000000.0,-20000000.0,-483000000.0,-4520000000.0,742000000.0,1045000000.0,3616000000.0,0.0,2171000000.0,2055000000.0,2055000000.0,0.0,0.0,0.058,4403000000.0,7652000000.0,0,0.234,1.209,11.782,12.5,1024000000,116000000.0,64.0,0.679,0.72,14062000000,39413000000,35653000000.0,35653000000.0,0.0,0.019,0.098,0.033,0.1,0.0,4364000000.0,1.0,378300428,401100000,406800000.0,88.888,103437000000,0,1111000000.0,90000000,257.883,
6,ALL,ARY,2014-12-31,2015-02-19,2014-12-31,2021-08-04,561000000,108533000000,112841750000.0,,,0.312,51.701,-288000000.0,657000000,657000000,22112000000.0,2850000000.0,,3.866,5194000000,,,5194000000,11655000000,366000000.0,22529000000,0.016,1.12,4558000000.0,4924000000.0,0.14,4924000000.0,4558000000.0,4236000000.0,6.37,6.27,6.37,22304000000,22402500000.0,22304000000,34174080054,7.0,6.94,2948000000.0,6.834,1.0,13127000000.0,0.373,1219000000,322000000.0,111851000000,116325250000.0,0,81113000000,,,86229000000,,,29637080054,-18000000.0,378000000.0,-2035000000.0,-1006000000.0,-477000000.0,-4875000000.0,1621000000.0,1531000000.0,3236000000.0,0.0,2850000000.0,2746000000.0,2746000000.0,0.0,0.0,0.078,4153000000.0,8974000000.0,0,0.176,1.329,10.793,11.173,1031000000,104000000.0,71.17,0.841,0.871,13955000000,37842000000,35239000000.0,35239000000.0,0.0,0.024,0.123,0.039,0.129,0.0,4135000000.0,1.0,416426585,431400000,438200000.0,81.685,107314000000,0,1386000000.0,715000000,248.758,
7,ALL,ARY,2013-12-31,2014-02-20,2013-12-31,2021-08-04,1046000000,123520000000,123474250000.0,,,0.279,46.253,-207000000.0,675000000,675000000,21106000000.0,2280000000.0,,4.75,6201000000,,,6201000000,10932000000,368000000.0,24304000000,0.019,1.0,3763000000.0,4131000000.0,0.12,4131000000.0,3763000000.0,3396000000.0,4.87,4.81,4.87,21480000000,20687000000.0,21480000000,29432407592,8.0,7.125,4035000000.0,8.689,1.0,13401000000.0,0.388,1243000000,367000000.0,127803000000,127671000000.0,0,81155000000,,,102040000000,,,23906407592,-131000000.0,-24000000.0,-1664000000.0,-356000000.0,-352000000.0,-5953000000.0,1580000000.0,1811000000.0,4242000000.0,0.0,2280000000.0,2263000000.0,2263000000.0,0.0,0.0,0.066,4072000000.0,9329000000.0,0,0.205,1.113,10.564,10.979,1024000000,17000000.0,53.47,0.693,0.72,12858000000,35580000000,34507000000.0,34507000000.0,0.0,0.018,0.109,0.029,0.109,0.0,4002000000.0,1.0,447099450,464400000,470300000.0,74.304,122277000000,0,1116000000.0,635000000,263.301,
8,ALL,ARY,2012-12-31,2013-02-20,2012-12-31,2021-08-04,1175000000,126947000000,126350750000.0,,,0.264,42.051,-285000000.0,806000000,806000000,21618000000.0,2306000000.0,,5.168,6057000000,,,6057000000,10375000000,388000000.0,39319000000,0.019,0.88,3679000000.0,4067000000.0,0.122,4067000000.0,3679000000.0,3306000000.0,4.71,4.68,4.71,20580000000,20018500000.0,20580000000,27409280834,7.0,6.739,2769000000.0,5.658,1.0,11697000000.0,0.351,1240000000,373000000.0,130958000000,130517750000.0,0,97278000000,,,106367000000,,,22158280834,30000000.0,13000000.0,-828000000.0,141000000.0,-534000000.0,-4605000000.0,1581000000.0,1853000000.0,3054000000.0,0.0,2306000000.0,2306000000.0,2306000000.0,0.0,0.0,0.069,3918000000.0,7779000000.0,0,0.187,1.077,9.609,9.854,989000000,0.0,46.41,0.665,0.682,13818000000,33783000000,33315000000.0,33315000000.0,0.0,0.018,0.115,0.028,0.11,0.0,3884000000.0,1.0,477446258,489400000,493000000.0,68.073,125707000000,0,1000000000.0,597000000,256.859,
9,ALL,ARY,2011-12-31,2012-02-22,2011-12-31,2021-08-04,-7000000,125563000000,127992500000.0,,,0.255,35.863,-246000000.0,776000000,776000000,23567000000.0,788000000.0,,5.722,5908000000,,,5908000000,10057000000,252000000.0,42332000000,0.027,0.84,1327000000.0,1579000000.0,0.048,1579000000.0,1327000000.0,960000000.0,1.51,1.51,1.51,18674000000,18712500000.0,18674000000,20813314509,16.0,13.181,1683000000.0,3.232,1.0,9087000000.0,0.278,1242000000,367000000.0,129453000000,132150000000.0,0,95618000000,,,106861000000,,,15681314509,214000000.0,-916000000.0,-934000000.0,0.0,-435000000.0,-7876000000.0,6161000000.0,7323000000.0,1929000000.0,0.0,788000000.0,788000000.0,788000000.0,0.0,0.0,0.024,4277000000.0,4810000000.0,0,0.556,0.84,19.9,20.841,914000000,0.0,31.47,0.48,0.502,12171000000,32321000000,32654000000.0,32654000000.0,0.0,0.006,0.042,0.01,0.041,0.0,4233000000.0,1.0,498294074,520700000,523100000.0,62.712,124321000000,520000000,172000000.0,0,238.757,
