None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,APD,ARY,2020-12-31,2020-11-19,2020-09-30,2021-09-07,-2140100000,25168500000,22275850000,8684900000,16483600000,0.398,54.61,-2509000000.0,5253000000,5253000000,5858100000.0,1931100000.0,3.594,1.053,7907800000,477700000,7430100000,7907800000,0,1185000000.0,0,0.019,5.18,2474400000.0,3659400000.0,0.413,3659400000.0,2474400000.0,2365100000.0,8.53,8.49,8.53,12079800000,11666750000,12079800000,62411549413,25.0,17.055,755700000.0,3.416,1.0,2998200000.0,0.339,1327300000,109300000.0,24079300000,21131450000,404800000,3353400000,1104900000,2248500000,12725400000,2416700000,10308700000,59756749413,3004300000.0,-207700000.0,34100000.0,4434300000.0,-1103600000.0,3284700000.0,-3560000000.0,-847200000.0,3264700000.0,14900000.0,1886700000.0,1886700000.0,1886700000.0,14300000.0,44400000.0,0.213,760600000.0,2237600000.0,1833200000,0.607,4.947,31.673,31.695,11964700000,0.0,270.36,6.747,6.753,1757700000,14875700000,8856300000.0,8856300000.0,83900000.0,0.085,0.162,0.117,0.279,53500000.0,775900000.0,1.0,221026592,221200000,222300000.0,40.038,23841200000,0,478400000.0,1068400000,107.781,6268200000
1,APD,ARY,2019-12-31,2019-11-26,2019-09-30,2021-09-07,-2375600000,18942800000,19215300000,4618300000,14324500000,0.464,50.175,-1989700000.0,2248700000,2248700000,5975500000.0,1809400000.0,2.536,0.683,3326000000,98600000,3227400000,3326000000,0,1082800000.0,0,0.02,4.58,2377100000.0,3459900000.0,0.388,3459900000.0,2377100000.0,2240100000.0,7.99,7.94,7.99,11053600000,11122075000,11053600000,52747012020,22.0,15.245,980200000.0,4.449,1.0,2943400000.0,0.33,1216600000,137000000.0,16982600000,16925600000,388300000,2332200000,166000000,2166200000,7554500000,1820900000,5733600000,51669712020,-542600000.0,-138900000.0,68100000.0,-424700000.0,-994000000.0,-1370500000.0,-2113400000.0,29500000.0,2969900000.0,-28600000.0,1760000000.0,1760000000.0,1760000000.0,0.0,49400000.0,0.197,828100000.0,2115300000.0,1635700000,0.573,4.674,29.358,29.337,10337600000,0.0,234.4,5.793,5.79,1737900000,14138400000,8918900000.0,8918900000.0,72900000.0,0.092,0.158,0.14,0.267,41200000.0,750000000.0,1.0,220433925,220300000,221600000.0,40.485,17726200000,0,480100000.0,880400000,80.464,2797400000
2,APD,ARY,2018-12-31,2018-11-20,2018-09-30,2021-09-07,-1741900000,19178300000,18776050000,5082200000,14096100000,0.476,49.51,-1568400000.0,2791300000,2791300000,6189500000.0,1532900000.0,2.173,0.737,3812600000,460900000,3351700000,3812600000,0,970700000.0,0,0.027,4.25,2152600000.0,3123300000.0,0.35,3123300000.0,2152600000.0,2022100000.0,6.83,6.78,6.83,10857500000,10534900000,10857500000,35611003302,17.0,11.402,986300000.0,4.497,1.0,2740700000.0,0.307,1227400000,130500000.0,16633900000,16329675000,396100000,2475200000,184700000,2290500000,8002000000,2338300000,5663700000,34589703302,-482300000.0,-345400000.0,76200000.0,-496700000.0,-897800000.0,-1359800000.0,-1649100000.0,266700000.0,2554700000.0,-33900000.0,1497800000.0,1497800000.0,1497800000.0,-42200000.0,35100000.0,0.168,775100000.0,1965600000.0,1817800000,0.622,3.186,23.094,23.069,9923700000,0.0,157.56,3.873,3.869,1580500000,13409900000,8930200000.0,8930200000.0,64500000.0,0.08,0.142,0.132,0.241,38800000.0,760800000.0,1.0,219533532,219300000,220800000.0,40.721,17950900000,0,524300000.0,834700000,81.855,2743900000
3,APD,ARY,2017-12-31,2017-11-16,2017-09-30,2021-09-07,-1847400000,18467200000,17537175000,5876700000,12590500000,0.467,46.267,-1039700000.0,3273600000,3273600000,5753400000.0,3021200000.0,2.361,0.821,3962800000,560400000,3402400000,3962800000,0,865800000.0,0,0.023,3.71,3381900000.0,4247700000.0,0.519,4247700000.0,3381900000.0,3261300000.0,13.76,13.65,13.76,10086200000,8994375000,10086200000,35926105008,11.0,8.458,1494400000.0,6.855,1.0,2434200000.0,0.297,1089800000,120600000.0,15577600000,15765625000,335400000,2822700000,404000000,2418700000,8281700000,2489000000,5792700000,35236905008,1942800000.0,-16300000.0,68400000.0,-1280100000.0,-787900000.0,-2040900000.0,-1417700000.0,-359400000.0,2534100000.0,13400000.0,3000400000.0,3000400000.0,3000400000.0,-1866000000.0,20800000.0,0.366,1006600000.0,1427600000.0,1814300000,0.27,3.494,11.744,11.714,8440200000,0.0,161.18,4.304,4.292,1662100000,12846600000,8187600000.0,8187600000.0,57800000.0,0.171,0.334,0.215,0.413,39900000.0,715600000.0,1.0,218618346,218000000,219800000.0,37.558,17377400000,0,260900000.0,877000000,79.713,3387700000
4,APD,ARY,2016-12-31,2016-11-21,2016-09-30,2021-09-07,-2388300000,18055300000,17302475000,4317300000,13738000000,0.55,32.715,-1055800000.0,1501300000,1501300000,6402700000.0,661500000.0,1.315,1.531,6225200000,1307100000,4918100000,6225200000,0,925900000.0,0,0.024,3.39,1333100000.0,2259000000.0,0.237,2259000000.0,1333100000.0,1217600000.0,2.92,2.89,2.92,7079600000,7102175000,7079600000,35099896055,26.0,15.538,1651600000.0,7.632,1.0,3121700000.0,0.328,1638200000,115500000.0,17857700000,17317775000,619900000,2509800000,0,2509800000,10841900000,3283300000,7558600000,30375996055,1294900000.0,0.0,141300000.0,319500000.0,-721200000.0,-271100000.0,-972000000.0,85500000.0,2707400000.0,7500000.0,631100000.0,631100000.0,631100000.0,884200000.0,30400000.0,0.066,1015700000.0,2106000000.0,1810600000,1.161,4.291,48.132,47.856,8852700000,0.0,139.74,3.189,3.175,2077100000,10475500000,9524400000.0,9524400000.0,132000000.0,0.036,0.089,0.077,0.14,37600000.0,849300000.0,1.0,217375097,216400000,218300000.0,44.013,16417100000,0,586500000.0,913700000,75.865,1034000000
5,APD,ARY,2015-12-31,2015-11-24,2015-09-30,2021-09-07,-2125900000,17438100000,17559700000,2910800000,14527300000,0.564,33.732,-1614800000.0,206400000,206400000,6944100000.0,1317600000.0,0.798,1.387,5879000000,1929900000,3949100000,5879000000,0,936400000.0,0,0.023,3.2,1797300000.0,2733700000.0,0.276,2733700000.0,1797300000.0,1693800000.0,5.95,5.88,5.95,7249000000,7379750000,7249000000,35718143578,20.0,13.066,823000000.0,3.83,1.0,2950800000.0,0.298,1639600000,103500000.0,17823000000,18413550000,657800000,2615900000,0,2615900000,10057000000,3648100000,6408900000,30045543578,-130200000.0,-38800000.0,121300000.0,-85900000.0,-677500000.0,-945400000.0,-1599700000.0,55300000.0,2437800000.0,-22900000.0,1277900000.0,1277900000.0,1277900000.0,0.0,39700000.0,0.129,1251700000.0,1699100000.0,1662400000,0.538,4.145,23.512,23.44,9636900000,0.0,139.47,3.036,3.029,1979300000,10580400000,9894900000.0,9894900000.0,138800000.0,0.073,0.173,0.098,0.182,45700000.0,941700000.0,1.0,215426569,214900000,217300000.0,46.044,15798500000,0,415900000.0,959100000,73.516,-737300000
6,APD,ARY,2014-12-31,2014-11-24,2014-09-30,2021-09-07,-1241900000,17779100000,17993375000,3294800000,14484300000,0.58,34.63,-1684200000.0,336600000,336600000,7634600000.0,993100000.0,1.112,1.354,6118500000,1294000000,4824500000,6118500000,0,956900000.0,0,0.021,3.02,1482800000.0,2439700000.0,0.234,2439700000.0,1482800000.0,1357700000.0,4.66,4.61,4.66,7365800000,7424350000,7365800000,36716538010,25.0,15.05,502200000.0,2.361,1.0,2804400000.0,0.269,1853100000,125100000.0,18744900000,18501850000,706000000,2672800000,0,2672800000,9970500000,2963000000,7007500000,30934638010,-113800000.0,2000000.0,141600000.0,1100000.0,-627700000.0,-504300000.0,-1638000000.0,45600000.0,2186400000.0,-11300000.0,991700000.0,991700000.0,991700000.0,-4600000.0,1400000.0,0.095,1476200000.0,1328200000.0,1591000000,0.648,4.2,31.194,31.062,9532100000,0.0,144.75,2.963,2.949,2164400000,9993200000,10439000000.0,10439000000.0,141400000.0,0.055,0.134,0.08,0.142,44000000.0,1059300000.0,1.0,213710798,212700000,215200000.0,49.079,15926000000,0,366000000.0,1073500000,74.875,331800000
7,APD,ARY,2013-12-31,2013-11-26,2013-09-30,2021-09-07,-1020600000,17850100000,17488925000,3439100000,14411000000,0.582,33.582,-1524200000.0,450400000,450400000,7472100000.0,1032500000.0,1.066,1.459,6273600000,1217300000,5056300000,6273600000,0,907000000.0,0,0.025,2.77,1443900000.0,2350900000.0,0.231,2350900000.0,1443900000.0,1302100000.0,4.74,4.68,4.74,7042100000,6561925000,7042100000,28820554938,20.0,12.259,28900000.0,0.138,1.0,2708300000.0,0.266,2371100000,141800000.0,18074600000,17596925000,706100000,2672400000,0,2672400000,10275400000,3227600000,7047800000,22997354938,-4000000.0,-223600000.0,-235200000.0,927400000.0,-565600000.0,115400000.0,-1697000000.0,52800000.0,1553100000.0,11400000.0,994200000.0,994200000.0,994200000.0,10000000.0,38300000.0,0.098,1383900000.0,1324400000.0,1944900000,0.584,3.266,23.132,22.964,8974000000,0.0,108.85,2.259,2.242,2159000000,9646400000,10180400000.0,10180400000.0,133700000.0,0.057,0.152,0.082,0.142,43500000.0,1066300000.0,1.0,211275654,209700000,212300000.0,48.547,15479000000,0,307900000.0,890200000,73.815,211500000
8,APD,ARY,2012-12-31,2012-11-20,2012-09-30,2021-09-07,-1348800000,16941800000,15292450000,3415800000,13526000000,0.629,30.669,-1521000000.0,454400000,454400000,7051900000.0,1193300000.0,1.27,1.532,5291900000,707700000,4584200000,5291900000,0,840800000.0,0,0.031,2.5,1578300000.0,2419100000.0,0.252,2419100000.0,1578300000.0,1454600000.0,5.53,5.44,5.53,6477200000,6290625000,6477200000,22208194866,14.0,9.18,244100000.0,1.156,1.0,2559800000.0,0.266,2360000000,123700000.0,16729400000,15727475000,786600000,2504600000,0,2504600000,9926000000,2689900000,7236100000,17370694866,31900000.0,-1038800000.0,71200000.0,419600000.0,-514900000.0,-78400000.0,-2435200000.0,52500000.0,1765100000.0,-18600000.0,1167300000.0,1167300000.0,1167300000.0,-168100000.0,26000000.0,0.121,1324500000.0,1235300000.0,1927700000,0.452,2.682,14.881,14.758,8240600000,0.0,81.61,1.807,1.793,2077500000,9234500000,9611700000.0,9611700000.0,126400000.0,0.076,0.186,0.1,0.164,43800000.0,946800000.0,1.0,212850078,211200000,214700000.0,45.51,14581800000,0,287300000.0,719300000,69.043,725900000
9,APD,ARY,2011-12-31,2011-11-22,2011-09-30,2021-09-07,-1253400000,14290700000,14005650000,3189800000,11100900000,0.72,27.21,-1351700000.0,422500000,422500000,7315300000.0,1261500000.0,1.362,1.441,4562200000,634700000,3927500000,4562200000,0,873900000.0,0,0.028,2.23,1748100000.0,2622000000.0,0.26,2622000000.0,1748100000.0,1632600000.0,5.75,5.63,5.75,5795800000,5915800000,5795800000,20724293380,12.0,7.904,401500000.0,1.885,1.0,2766700000.0,0.274,1153100000,115500000.0,14935300000,14666325000,681400000,2054400000,0,2054400000,8352000000,2342000000,6010000000,16584593380,48200000.0,38100000.0,-501000000.0,457000000.0,-456700000.0,-484500000.0,-1212200000.0,81600000.0,1753200000.0,-8300000.0,1224200000.0,1224200000.0,1224200000.0,-8900000.0,37300000.0,0.121,1133200000.0,1633500000.0,1641800000,0.388,2.861,13.547,13.704,7412000000,0.0,78.8,1.645,1.665,2008000000,8599500000,10082000000.0,10082000000.0,118800000.0,0.087,0.207,0.119,0.173,44800000.0,1014400000.0,1.0,210464383,213000000,217600000.0,47.333,13137600000,0,408400000.0,635600000,61.679,847800000
