None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,AVB,ARY,2020-12-31,2021-02-25,2020-12-31,2021-08-04,-40250000,19199144000,19396645250.0,,,0.119,77.057,-980943000.0,313532000,313532000,823102000.0,827706000.0,,0.785,7745816000,,,7745816000,0,707331000.0,0,0.035,6.36,1038534000.0,1745865000.0,0.759,1745865000.0,1038534000.0,824383000.0,5.89,5.89,5.89,10751583000,10800836250.0,10751583000,32591881538,31.0,18.668,238672000.0,1.711,1.0,1478159000.0,0.642,0,214151000.0,26631428000,26847263500.0,0,202612000,,,8444293000,,,25159597538,185918000.0,796875000.0,-180412000.0,250912000.0,-883212000.0,-854264000.0,-179433000.0,4635000.0,1219615000.0,0.0,827630000.0,827630000.0,827630000.0,0.0,76000.0,0.36,780073000.0,698086000.0,0,1.08,2.34,30.4,30.615,18389047000,0.0,180.32,10.933,10.933,0,126022000,2301261000.0,2301261000.0,0.0,0.043,0.077,0.039,0.451,21603000.0,60343000.0,1.0,139527493,139527493,,16.493,19199144000,0,-3247000.0,0,137.601,
1,AVB,ARY,2019-12-31,2020-02-21,2019-12-31,2021-08-04,-31503000,19121051000,18938519000.0,,,0.123,78.138,-1613420000.0,127614000,127614000,768106000.0,786103000.0,,0.74,7436758000,,,7436758000,0,661578000.0,0,0.027,6.08,1002562000.0,1664140000.0,0.716,1664140000.0,1002562000.0,798977000.0,5.64,5.63,5.64,10989549000,10821993250.0,10989549000,39378347661,39.0,23.663,-291616000.0,-2.073,1.0,1556520000.0,0.67,0,203585000.0,26430195000,26093020500.0,0,165806000,,,8127601000,,,32069203661,-90250000.0,422312000.0,409725000.0,241575000.0,-839646000.0,-218185000.0,-1193869000.0,2087000.0,1321804000.0,0.0,785974000.0,785974000.0,785974000.0,0.0,129000.0,0.338,724611000.0,831909000.0,0,1.078,2.918,40.802,40.429,18557950000,0.0,228.02,13.795,13.795,0,282913000,2324626000.0,2324626000.0,0.0,0.042,0.073,0.038,0.431,25621000.0,58042000.0,1.0,140642065,140642065,,16.529,19121051000,0,13003000.0,0,135.955,
2,AVB,ARY,2018-12-31,2019-02-22,2018-12-31,2021-08-04,-26144000,18380200000,18589943500.0,,,0.123,76.765,-1565506000.0,217864000,217864000,770560000.0,974175000.0,,0.728,7040263000,,,7040263000,0,631196000.0,0,0.03,5.88,1195339000.0,1826535000.0,0.8,1826535000.0,1195339000.0,974365000.0,7.05,7.05,7.05,10632606000,10440829000.0,10632606000,33975618475,28.0,18.601,-264395000.0,-1.909,1.0,1513975000.0,0.663,0,220974000.0,25202599000,25745809750.0,0,217432000,,,7744350000,,,27153219475,15958000.0,907812000.0,52261000.0,64022000.0,-805239000.0,-688502000.0,-596651000.0,61043000.0,1301111000.0,0.0,974525000.0,974525000.0,974525000.0,0.0,-350000.0,0.427,692085000.0,821890000.0,0,0.834,2.554,27.863,27.807,17730930000,0.0,196.04,11.886,11.886,0,350777000,2284535000.0,2284535000.0,0.0,0.052,0.093,0.046,0.523,20280000.0,56365000.0,1.0,138508567,138508567,,16.494,18380200000,0,-160000.0,0,132.701,
3,AVB,ARY,2017-12-31,2018-02-23,2017-12-31,2021-08-04,-37419000,18414821000,18128706000.0,,,0.119,75.224,-1516254000.0,201906000,201906000,725321000.0,876660000.0,,0.772,7329470000,,,7329470000,0,584150000.0,0,0.035,5.68,1076723000.0,1660873000.0,0.769,1660873000.0,1076723000.0,877062000.0,6.36,6.35,6.36,10388046000,10317723250.0,10388046000,29224225595,27.0,17.596,-259997000.0,-1.883,1.0,1433307000.0,0.664,0,199661000.0,25542385000,24972230500.0,0,163475000,,,8020719000,,,22096661595,-128071000.0,567851000.0,111093000.0,254098000.0,-772657000.0,-418947000.0,-965381000.0,-17590000.0,1256257000.0,0.0,876921000.0,876921000.0,876921000.0,0.0,-261000.0,0.406,643809000.0,789498000.0,0,0.893,2.127,25.198,25.159,17717557000,0.0,160.01,10.236,10.236,0,188609000,2158628000.0,2158628000.0,0.0,0.048,0.085,0.043,0.499,17920000.0,50673000.0,1.0,138095504,138095504,,15.631,18414821000,0,141000.0,0,133.348,
4,AVB,ARY,2016-12-31,2017-02-24,2016-12-31,2021-08-04,-30510000,17867271000,17473596250.0,,,0.117,74.065,-1667194000.0,329977000,329977000,683274000.0,1033708000.0,,0.756,7030880000,,,7030880000,0,531434000.0,0,0.029,5.4,1221817000.0,1753251000.0,0.857,1753251000.0,1221817000.0,1034307000.0,7.53,7.52,7.53,10171416000,9977772750.0,10171416000,31840713663,26.0,18.161,-523710000.0,-3.813,1.0,1361981000.0,0.666,0,187510000.0,24568174000,23990012000.0,0,175116000,,,7688089000,,,25139810663,-185513000.0,634565000.0,15526000.0,436833000.0,-726749000.0,-291645000.0,-1037352000.0,-16919000.0,1143484000.0,0.0,1034002000.0,1034002000.0,1034002000.0,0.0,-294000.0,0.506,583192000.0,778789000.0,0,0.717,2.472,24.313,24.311,17032994000,0.0,183.06,12.292,12.292,0,94899000,2045255000.0,2045255000.0,0.0,0.059,0.104,0.051,0.597,15082000.0,45771000.0,1.0,137330988,137330988,,14.893,17867271000,0,305000.0,0,130.104,
5,AVB,ARY,2015-12-31,2016-02-26,2015-12-31,2021-08-04,-31387000,16931305000,16574377000.0,,,0.112,71.827,-1625191000.0,505328000,505328000,642246000.0,741733000.0,,0.72,6456948000,,,6456948000,0,477923000.0,0,0.029,5.0,919514000.0,1397437000.0,0.753,1397437000.0,919514000.0,743899000.0,5.54,5.51,5.54,9840526000,9494494000.0,9840526000,29436606892,32.0,21.065,-568437000.0,-4.149,1.0,1213782000.0,0.654,0,175615000.0,22882925000,22679587500.0,0,216919000,,,7080782000,,,23484986892,-108953000.0,384762000.0,690184000.0,14782000.0,-655248000.0,33810000.0,-1199517000.0,0.0,1056754000.0,0.0,742038000.0,742038000.0,742038000.0,0.0,-305000.0,0.4,516599000.0,697183000.0,0,0.903,2.387,31.649,30.942,15942309000,0.0,171.42,12.653,12.653,0,-197989000,1856028000.0,1856028000.0,0.0,0.045,0.078,0.041,0.495,15321000.0,42396000.0,1.0,137002607,137002607,,13.547,16931305000,0,1861000.0,0,123.584,
6,AVB,ARY,2014-12-31,2015-02-19,2014-12-31,2021-08-04,-42515000,16176723000,15821522750.0,,,0.107,68.507,-1341657000.0,605085000,605085000,589306000.0,697327000.0,,0.787,6525852000,,,6525852000,0,442682000.0,0,0.027,4.64,873553000.0,1316235000.0,0.781,1316235000.0,873553000.0,692935000.0,5.22,5.21,5.22,9046405000,8879172000.0,9046405000,28241154329,32.0,21.456,-455016000.0,-3.446,1.0,1095755000.0,0.65,0,180618000.0,22097490000,21638406750.0,0,298315000,,,7117553000,,,22320387329,228105000.0,495749000.0,346134000.0,420141000.0,-593643000.0,158224000.0,-816760000.0,29148000.0,886641000.0,0.0,683567000.0,683567000.0,683567000.0,-38179000.0,13760000.0,0.406,479900000.0,615855000.0,0,0.889,2.467,32.653,32.381,14935740000,0.0,169.03,13.246,13.246,0,-267085000,1685061000.0,1685061000.0,0.0,0.043,0.077,0.04,0.518,13927000.0,41425000.0,1.0,132049857,132049857,,12.761,16176723000,0,9368000.0,0,122.505,
7,AVB,ARY,2013-12-31,2014-03-03,2013-12-31,2021-08-04,-48631000,15328143000,15158199750.0,,,0.097,66.422,-2151799000.0,380022000,380022000,511019000.0,352771000.0,,0.781,6145391000,,,6145391000,0,573715000.0,0,0.033,4.28,525543000.0,1099258000.0,0.751,1099258000.0,525543000.0,353141000.0,2.78,2.78,2.78,8596132000,8570339500.0,8596132000,22461499130,43.0,20.433,-1427298000.0,-11.029,1.0,951902000.0,0.651,0,172402000.0,21093512000,20829854000.0,0,367866000,,,6711096000,,,16696130130,-2452077000.0,935846000.0,4703000.0,-1375419000.0,-526050000.0,-1995404000.0,-1181174000.0,34779000.0,724501000.0,0.0,353141000.0,353141000.0,353141000.0,-294944000.0,-370000.0,0.241,644598000.0,307304000.0,0,1.54,1.942,47.279,46.406,14284209000,0.0,129.01,11.413,11.413,0,-345254000,1462921000.0,1462921000.0,0.0,0.023,0.041,0.025,0.359,15160000.0,39573000.0,1.0,129417333,129417333,,11.304,15328143000,0,0.0,0,118.44,
8,AVB,ARY,2012-12-31,2013-02-22,2012-12-31,2021-08-04,-108007000,11160078000,9195437000.0,,,0.113,59.763,-937646000.0,2783651000,2783651000,379617000.0,423562000.0,,0.631,3851033000,,,3851033000,0,260094000.0,0,0.03,3.88,560789000.0,820883000.0,0.79,820883000.0,560789000.0,423869000.0,4.34,4.32,4.34,6837215000,5129067500.0,6837215000,15806253129,28.0,19.255,-396827000.0,-3.469,1.0,659043000.0,0.635,0,136920000.0,12227460000,11733203750.0,0,129352000,,,4312258000,,,14738871129,2116765000.0,280604000.0,2430190000.0,208986000.0,-365572000.0,2199332000.0,-623386000.0,16832000.0,540819000.0,0.0,423869000.0,423869000.0,423869000.0,-158806000.0,-307000.0,0.408,291296000.0,367747000.0,0,0.894,2.156,34.772,29.684,8015120000,0.0,128.83,14.19,14.19,0,-142329000,1038660000.0,1038660000.0,0.0,0.046,0.083,0.048,0.54,8707000.0,34101000.0,1.0,114405582,114405582,,9.079,11160078000,0,0.0,0,97.548,
9,AVB,ARY,2011-12-31,2012-02-27,2011-12-31,2021-08-04,-87020000,8482390000,8198887750.0,,,0.118,46.159,-690910000.0,690329000,690329000,361401000.0,441370000.0,,0.927,3632296000,,,3632296000,0,250269000.0,0,0.027,3.57,609801000.0,860070000.0,0.888,860070000.0,609801000.0,441622000.0,4.89,4.87,4.89,4394741000,3858854500.0,4394741000,15569494892,26.0,18.103,-261519000.0,-2.747,1.0,607310000.0,0.627,0,168179000.0,11424357000,11487439500.0,0,144561000,,,4073435000,,,12627527892,312483000.0,233019000.0,1049835000.0,-396062000.0,-318231000.0,326233000.0,-443141000.0,641000.0,429391000.0,0.0,441622000.0,441622000.0,441622000.0,-275432000.0,-252000.0,0.456,276373000.0,330937000.0,0,0.73,2.873,28.594,27.123,7425030000,0.0,132.63,13.035,13.035,0,-171648000,968711000.0,968711000.0,0.0,0.054,0.114,0.053,0.629,7244000.0,29371000.0,1.0,95208685,95208685,,10.175,8482390000,0,0.0,0,89.093,
10,AVB,ARY,2010-12-31,2011-02-23,2010-12-31,2021-08-04,-1175000,7821488000,7677217000.0,,,0.117,38.457,-447045000.0,479769000,479769000,363334000.0,174079000.0,,1.357,4067657000,,,4067657000,0,232942000.0,0,0.031,3.57,350540000.0,583482000.0,0.652,583482000.0,350540000.0,175331000.0,2.08,2.07,2.08,3310618000,3270048750.0,3310618000,13462784153,38.0,23.073,-114939000.0,-1.335,1.0,531932000.0,0.594,0,175209000.0,11409376000,11210831250.0,0,121537000,,,4491635000,,,9874896153,200735000.0,144970000.0,381365000.0,84573000.0,-298090000.0,167565000.0,-298936000.0,-39190000.0,332106000.0,0.0,175331000.0,175331000.0,175331000.0,-76011000.0,-1252000.0,0.196,259417000.0,272515000.0,0,1.716,2.983,56.321,55.149,6955645000,0.0,114.71,11.03,11.03,0,-282743000,895266000.0,895266000.0,0.0,0.023,0.054,0.031,0.392,5938000.0,26846000.0,1.0,86085748,86085748,,10.4,7821488000,0,0.0,0,90.857,
11,AVB,ARY,2009-12-31,2010-03-01,2009-12-31,2021-08-04,-1067000,7457605000,7562946250.0,,,0.113,37.404,-572103000.0,316367000,316367000,345561000.0,154274000.0,,1.443,3974872000,,,3974872000,0,218286000.0,0,0.044,3.57,305970000.0,524256000.0,0.616,524256000.0,305970000.0,155647000.0,1.94,1.93,1.94,3050127000,3041192250.0,3050127000,10284970746,34.0,19.618,-193503000.0,-2.373,1.0,506021000.0,0.594,0,150323000.0,11116110000,11200207500.0,0,74570000,,,4401681000,,,6626465746,40756000.0,175530000.0,108860000.0,170824000.0,-283710000.0,-4285000.0,-333559000.0,-14740000.0,378600000.0,0.0,155647000.0,155647000.0,155647000.0,-77861000.0,-1373000.0,0.183,254816000.0,251205000.0,0,1.84,2.173,42.574,41.887,6833487000,0.0,81.26,7.781,7.781,0,-149988000,851582000.0,851582000.0,0.0,0.021,0.051,0.027,0.359,6098000.0,28748000.0,1.0,81546465,81546465,,10.443,7457605000,0,0.0,0,91.452,
12,AVB,ARY,2008-12-31,2009-03-02,2008-12-31,2021-08-04,-2932000,7173374000,7076612500.0,,,0.121,36.571,-902327000.0,259305000,259305000,335429000.0,411487000.0,,1.457,3674457000,,,3674457000,0,199452000.0,0,0.134,5.378,526365000.0,725817000.0,0.85,725817000.0,526365000.0,411487000.0,5.22,5.17,5.22,2916396000,3034069250.0,2916396000,6613745248,13.0,9.112,-515472000.0,-6.464,1.0,518779000.0,0.607,0,114878000.0,10588526000,10362957500.0,0,55025000,,,4248004000,,,3198593248,45435000.0,536425000.0,-34726000.0,340563000.0,-278795000.0,-75111000.0,-266309000.0,0.0,386855000.0,0.0,411487000.0,401033000.0,401033000.0,-297109000.0,0.0,0.469,294830000.0,223949000.0,0,1.03,1.097,7.976,7.684,6649743000,10454000.0,40.11,3.745,3.745,0,-21942000,854208000.0,854208000.0,0.0,0.057,0.132,0.051,0.616,11888000.0,42781000.0,1.0,79745531,79745531,,10.712,7173374000,0,0.0,0,89.953,
