None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,BBWI,ARY,2020-12-31,2021-03-19,2021-01-30,2021-09-02,83000000,11571000000,10762750000.0,5579000000,5992000000,1.101,-2.374,-228000000.0,3903000000,3903000000,7180000000.0,844000000.0,1.974,-18.477,9455000000,594000000,8861000000,9455000000,0,521000000.0,0,0.0,0.0,1530000000.0,2051000000.0,0.173,2051000000.0,1530000000.0,1092000000.0,3.04,3.0,3.04,-662000000,-1499750000.0,-662000000,22431426621,15.0,10.937,1811000000.0,6.495,1.0,4667000000.0,0.394,1039000000,438000000.0,13258000000,13681500000.0,1273000000,0,0,0,12232000000,2826000000,9406000000,16879426621,2434000000.0,0.0,0.0,703000000.0,-83000000.0,610000000.0,-219000000.0,0.0,2039000000.0,4000000.0,844000000.0,844000000.0,844000000.0,0.0,0.0,0.071,3087000000.0,1580000000.0,683000000,0.0,-25.498,19.999,19.914,4653000000,0.0,60.54,1.425,1.425,269000000,-1421000000,11847000000.0,11847000000.0,0.0,0.078,-0.563,0.112,0.129,50000000.0,3087000000.0,1.0,278814447,278814447,,42.491,10532000000,69000000,248000000.0,326000000,37.774,2753000000
1,BBWI,ARY,2019-12-31,2020-03-30,2020-02-01,2021-09-02,52000000,10125000000,10592750000.0,3245000000,6880000000,1.219,-5.421,-458000000.0,1499000000,1499000000,8464000000.0,-366000000.0,1.368,-7.752,9078000000,539000000,8539000000,9078000000,0,588000000.0,0,0.102,1.2,197000000.0,785000000.0,0.061,785000000.0,197000000.0,-181000000.0,-1.33,-1.33,-1.33,-1499000000,-1144000000.0,-1499000000,10839327784,55.0,13.808,778000000.0,2.813,1.0,4450000000.0,0.345,1039000000,378000000.0,14293000000,14946500000.0,1287000000,0,0,0,11620000000,2372000000,9248000000,3260327784,86000000.0,0.0,1000000.0,-308000000.0,-332000000.0,-666000000.0,-480000000.0,0.0,1236000000.0,-4000000.0,-366000000.0,-366000000.0,-366000000.0,0.0,0.0,-0.028,4192000000.0,258000000.0,647000000,-0.902,-2.175,-8.908,-8.865,5539000000,0.0,11.79,0.252,0.252,306000000,-2182000000,12914000000.0,12914000000.0,0.0,-0.035,0.32,0.013,0.015,87000000.0,3472000000.0,1.0,276533315,276533315,,46.7,9086000000,84000000,185000000.0,353000000,32.857,873000000
2,BBWI,ARY,2018-12-31,2019-03-22,2019-02-02,2021-09-02,59000000,8090000000,7822000000.0,3260000000,4830000000,1.692,-3.158,-629000000.0,1413000000,1413000000,8338000000.0,644000000.0,1.641,-10.305,5811000000,72000000,5739000000,5811000000,0,590000000.0,0,0.079,2.1,1242000000.0,1832000000.0,0.138,1832000000.0,1242000000.0,857000000.0,2.33,2.31,2.33,-869000000,-1069500000.0,-869000000,11737501536,9.0,6.407,748000000.0,2.718,1.0,4899000000.0,0.37,1759000000,385000000.0,8743000000,9010000000.0,1248000000,0,0,0,8955000000,1986000000,6969000000,7339501536,-102000000.0,16000000.0,-197000000.0,11000000.0,-666000000.0,-872000000.0,-609000000.0,0.0,1377000000.0,2000000.0,644000000.0,644000000.0,644000000.0,0.0,0.0,0.049,3662000000.0,1237000000.0,711000000,0.901,-8.446,11.397,11.446,2818000000,0.0,26.67,0.554,0.554,367000000,-1482000000,13237000000.0,13237000000.0,0.0,0.082,-0.602,0.138,0.094,97000000.0,3563000000.0,1.0,275196908,275196908,,48.1,6331000000,62000000,213000000.0,347000000,23.005,1274000000
3,BBWI,ARY,2017-12-31,2018-03-23,2018-02-03,2021-09-02,24000000,8149000000,7902500000.0,3293000000,4856000000,1.598,-2.7,-707000000.0,1515000000,1515000000,7673000000.0,983000000.0,1.621,-11.819,5794000000,87000000,5707000000,5794000000,0,571000000.0,0,0.08,3.0,1718000000.0,2289000000.0,0.181,2289000000.0,1718000000.0,1312000000.0,3.46,3.42,3.46,-753000000,-906000000.0,-753000000,14738964480,9.0,6.439,699000000.0,2.507,1.0,4959000000.0,0.393,1759000000,406000000.0,8638000000,8715750000.0,1240000000,0,0,0,8900000000,2031000000,6869000000,10459964480,-419000000.0,29000000.0,-408000000.0,7000000.0,-686000000.0,-1127000000.0,-698000000.0,-10000000.0,1406000000.0,0.0,983000000.0,983000000.0,983000000.0,0.0,0.0,0.078,3231000000.0,1728000000.0,717000000,0.867,-13.891,10.641,10.841,2893000000,0.0,37.51,0.828,0.828,310000000,-1434000000,12632000000.0,12632000000.0,0.0,0.124,-1.085,0.197,0.136,102000000.0,3231000000.0,1.0,278858024,278858024,,45.299,6390000000,14000000,329000000.0,436000000,22.915,1262000000
4,BBWI,ARY,2016-12-31,2017-03-17,2017-01-28,2021-09-02,12000000,8170000000,7700000000.0,3465000000,4705000000,1.633,-2.557,-937000000.0,1934000000,1934000000,7449000000.0,1158000000.0,1.72,-12.204,5736000000,36000000,5700000000,5736000000,0,518000000.0,0,0.047,2.4,2090000000.0,2608000000.0,0.207,2608000000.0,2090000000.0,1696000000.0,4.04,3.98,4.04,-729000000,-1034000000.0,-729000000,18390777982,9.0,7.052,953000000.0,3.343,1.0,5125000000.0,0.408,1759000000,394000000.0,8199000000,8524000000.0,1096000000,0,0,0,8897000000,2014000000,6883000000,14588777982,-614000000.0,75000000.0,-415000000.0,-21000000.0,-1268000000.0,-1665000000.0,-833000000.0,10000000.0,1890000000.0,-6000000.0,1158000000.0,1158000000.0,1158000000.0,0.0,0.0,0.092,3122000000.0,2003000000.0,683000000,0.594,-20.012,12.598,12.668,2741000000,0.0,51.18,1.16,1.16,294000000,205000000,12574000000.0,12574000000.0,0.0,0.15,-1.12,0.245,0.166,54000000.0,3122000000.0,1.0,285048417,285048417,,44.112,6411000000,19000000,538000000.0,650000000,22.491,1451000000
5,BBWI,ARY,2015-12-31,2016-03-18,2016-01-30,2021-09-02,40000000,8493000000,7476000000.0,4156000000,4337000000,1.626,-0.902,-531000000.0,2548000000,2548000000,6950000000.0,1253000000.0,2.217,-33.788,5721000000,6000000,5715000000,5721000000,0,457000000.0,0,0.047,4.1,2268000000.0,2725000000.0,0.224,2725000000.0,2268000000.0,1934000000.0,4.3,4.22,4.3,-259000000,-543000000.0,-259000000,28384369552,13.0,10.416,1338000000.0,4.661,1.0,5204000000.0,0.428,1729000000,334000000.0,8062000000,8035500000.0,1122000000,0,0,0,8751000000,1875000000,6876000000,25211369552,867000000.0,85000000.0,-450000000.0,995000000.0,-1171000000.0,-558000000.0,-443000000.0,-10000000.0,1869000000.0,-1000000.0,1253000000.0,1253000000.0,1253000000.0,0.0,0.0,0.103,3012000000.0,2192000000.0,668000000,0.953,-97.341,20.121,20.423,2330000000,0.0,87.82,2.074,2.074,261000000,315000000,12154000000.0,12154000000.0,0.0,0.168,-2.308,0.282,0.187,27000000.0,3012000000.0,1.0,287080045,287080045,,42.337,6764000000,30000000,681000000.0,481000000,23.561,2281000000
6,BBWI,ARY,2014-12-31,2015-03-20,2015-01-31,2021-09-02,35000000,7544000000,7056500000.0,3232000000,4312000000,1.623,0.062,-715000000.0,1681000000,1681000000,6646000000.0,1042000000.0,1.925,418.056,4765000000,0,4765000000,4765000000,0,438000000.0,0,0.016,1.52,1960000000.0,2398000000.0,0.209,2398000000.0,1960000000.0,1636000000.0,3.57,3.5,3.57,18000000,-382250000.0,18000000,30393596798,16.0,12.675,1071000000.0,3.663,1.0,4808000000.0,0.42,1729000000,324000000.0,7220000000,7483250000.0,1036000000,0,0,0,7525000000,1679000000,5846000000,27309596798,162000000.0,0.0,-53000000.0,-213000000.0,-691000000.0,-919000000.0,-699000000.0,0.0,1786000000.0,-6000000.0,1042000000.0,1042000000.0,1042000000.0,0.0,0.0,0.091,2855000000.0,1953000000.0,613000000,0.426,1517.2,26.209,26.162,2277000000,0.0,93.4,2.384,2.384,252000000,233000000,11454000000.0,11454000000.0,0.0,0.148,-2.726,0.262,0.171,47000000.0,2855000000.0,1.0,292393970,292393970,,39.173,5815000000,33000000,594000000.0,427000000,19.888,1553000000
7,BBWI,ARY,2013-12-31,2014-03-21,2014-02-01,2021-09-02,40000000,7198000000,6420500000.0,3150000000,4048000000,1.678,-1.271,-691000000.0,1519000000,1519000000,6344000000.0,903000000.0,1.725,-20.451,4976000000,215000000,4761000000,4976000000,0,407000000.0,0,0.043,2.54,1760000000.0,2167000000.0,0.201,2167000000.0,1760000000.0,1446000000.0,3.12,3.05,3.12,-370000000,-761250000.0,-370000000,20518267149,12.0,9.469,557000000.0,1.914,1.0,4429000000.0,0.411,1729000000,314000000.0,7100000000,7119000000.0,1165000000,0,0,0,7567000000,1826000000,5741000000,17061267149,746000000.0,46000000.0,-28000000.0,495000000.0,-349000000.0,154000000.0,-655000000.0,0.0,1248000000.0,-1000000.0,903000000.0,903000000.0,903000000.0,0.0,0.0,0.084,2686000000.0,1743000000.0,599000000,0.814,-46.112,18.894,18.792,2045000000,0.0,58.63,1.584,1.584,244000000,-118000000,10773000000.0,10773000000.0,0.0,0.141,-1.186,0.247,0.163,49000000.0,2686000000.0,1.0,290998928,290998928,,37.021,5469000000,28000000,543000000.0,435000000,18.794,1324000000
8,BBWI,ARY,2012-12-31,2013-03-22,2013-02-02,2021-09-02,4000000,6019000000,6412750000.0,2205000000,3814000000,1.631,-3.522,-577000000.0,773000000,773000000,6073000000.0,753000000.0,1.434,-6.929,4477000000,0,4477000000,4477000000,0,389000000.0,0,0.115,5.05,1597000000.0,1986000000.0,0.19,1986000000.0,1597000000.0,1281000000.0,2.6,2.54,2.6,-1015000000,-476500000.0,-1015000000,16401811822,10.0,8.259,774000000.0,2.686,1.0,4386000000.0,0.419,1730000000,316000000.0,6455000000,6748750000.0,1004000000,0,0,0,7033000000,1538000000,5495000000,12697811822,-162000000.0,35000000.0,-577000000.0,928000000.0,-1449000000.0,-982000000.0,-531000000.0,0.0,1351000000.0,0.0,753000000.0,753000000.0,753000000.0,0.0,0.0,0.072,2813000000.0,1573000000.0,541000000,1.942,-12.51,16.863,16.946,1803000000,0.0,44.06,1.214,1.214,203000000,-672000000,10459000000.0,10459000000.0,0.0,0.117,-1.58,0.237,0.153,-43000000.0,2720000000.0,1.0,288193641,288193641,,36.292,4289000000,29000000,528000000.0,390000000,14.882,667000000
9,BBWI,ARY,2011-12-31,2012-03-23,2012-01-28,2021-09-02,0,6108000000,6535000000.0,2368000000,3740000000,1.586,0.473,-426000000.0,935000000,935000000,6307000000.0,850000000.0,1.552,43.577,3538000000,57000000,3481000000,3538000000,0,391000000.0,0,0.079,3.85,1473000000.0,1864000000.0,0.18,1864000000.0,1473000000.0,1227000000.0,2.8,2.7,2.8,137000000,602250000.0,137000000,16653289747,11.0,8.934,840000000.0,2.903,1.0,4057000000.0,0.391,1825000000,246000000.0,5360000000,5619000000.0,997000000,0,0,0,5970000000,1526000000,4444000000,14050289747,-195000000.0,124000000.0,-1115000000.0,981000000.0,-1144000000.0,-1237000000.0,-226000000.0,99000000.0,1266000000.0,2000000.0,850000000.0,850000000.0,850000000.0,0.0,0.0,0.082,2930000000.0,1127000000.0,540000000,1.375,102.557,16.53,17.339,1644000000,0.0,48.55,1.356,1.356,218000000,24000000,10364000000.0,10364000000.0,0.0,0.13,1.411,0.262,0.142,3000000.0,2698000000.0,1.0,289398347,289398347,,35.812,4283000000,51000000,377000000.0,342000000,14.8,842000000
