None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,BKB,MRY,1998-12-31,1998-12-31,1998-12-31,2019-10-16,-33000000.0,73513000000.0,72318500000.0,,,0.058,16.391,-502000000.0,7769000000.0,7769000000.0,0.0,792000000.0,,14.261,17942000000.0,,,17942000000.0,0.0,194000000.0,48500000000.0,0.026,1.015,1260000000.0,1454000000.0,0.348,1454000000.0,1260000000.0,1260000000.0,2.66,2.64,2.66,4817000000.0,4829750000.0,4817000000.0,24304596405.0,19.0,16.716,227000000.0,0.772,1.0,4179000000.0,1.0,0.0,0.0,83686000000.0,82776000000.0,0.0,59185000000.0,,,68696000000.0,,,11471596405.0,-233000000.0,-232000000.0,94000000.0,43000000.0,-350000000.0,1072000000.0,-2005000000.0,-853000000.0,729000000.0,-29000000.0,783000000.0,783000000.0,783000000.0,0.0,9000000.0,0.187,2910000000.0,1269000000.0,0.0,0.382,2.381,14.651,14.638,1319000000.0,0.0,38.938,2.745,2.738,338000000.0,3895000000.0,4179000000.0,4179000000.0,0.0,0.011,0.162,0.015,0.302,0.0,2028000000.0,1.0,294615638.0,293873000,296663000.0,14.22,73513000000.0,0.0,477000000.0,0.0,250.152,
1,BKB,MRY,1997-12-31,1997-12-31,1997-12-31,2019-10-16,42000000.0,69268000000.0,65787000000.0,,,0.058,15.579,-324000000.0,7615000000.0,7615000000.0,0.0,879000000.0,,14.026,17013000000.0,,,17013000000.0,0.0,157000000.0,45761000000.0,0.011,0.5,1437000000.0,1594000000.0,0.42,1594000000.0,1437000000.0,1437000000.0,2.86,2.82,2.86,4610000000.0,4772000000.0,4610000000.0,,,,465000000.0,1.571,1.0,3792000000.0,1.0,0.0,0.0,78666000000.0,73067500000.0,0.0,57410000000.0,,,64658000000.0,,,13767339563.0,-267000000.0,110000000.0,-676000000.0,2932000000.0,-322000000.0,4634000000.0,-5673000000.0,-5166000000.0,789000000.0,-17000000.0,848000000.0,848000000.0,848000000.0,0.0,31000000.0,0.224,2324000000.0,1468000000.0,0.0,0.175,2.986,16.235,16.423,1042000000.0,0.0,46.969,3.631,3.665,462000000.0,3472000000.0,3792000000.0,3792000000.0,0.0,0.013,0.178,0.02,0.379,0.0,1629000000.0,1.0,293117010.0,295918000,300080000.0,12.814,69268000000.0,0.0,589000000.0,0.0,234.078,
2,BKB,MRY,1996-12-31,1996-12-31,1996-12-31,2019-10-16,69000000.0,62306000000.0,,,,,16.069,-237000000.0,7764000000.0,7764000000.0,0.0,650000000.0,,11.628,12927000000.0,,,12927000000.0,0.0,150000000.0,42831000000.0,0.0,0.0,1096000000.0,1246000000.0,0.361,1246000000.0,1096000000.0,1096000000.0,2.0,1.96,2.0,4934000000.0,,4934000000.0,,,,291000000.0,0.948,1.0,3453000000.0,1.0,0.0,0.0,67469000000.0,,0.0,49900000000.0,,,57372000000.0,,,,712000000.0,264000000.0,-398000000.0,1900000000.0,-284000000.0,2985000000.0,-2786000000.0,-2741000000.0,528000000.0,-15000000.0,613000000.0,613000000.0,613000000.0,0.0,37000000.0,0.178,2320000000.0,1133000000.0,0.0,0.0,,,16.063,894000000.0,0.0,32.125,,2.857,438000000.0,2925000000.0,3453000000.0,3453000000.0,0.0,,,,0.317,0.0,1519000000.0,1.0,,307058000,312224000.0,11.245,62306000000.0,0.0,483000000.0,0.0,202.913,
3,BKB,MRY,1995-12-31,1995-12-31,1995-12-31,2019-10-16,,,,,,,,-246000000.0,,,0.0,678000000.0,,,,,,,,239000000.0,,0.0,0.0,1170000000.0,1409000000.0,0.429,1409000000.0,1170000000.0,1170000000.0,2.085,2.045,2.085,,,,,,,-438000000.0,-1.423,1.0,3283000000.0,1.0,,0.0,,,,,,,,,,,415000000.0,169000000.0,17000000.0,2357000000.0,-221000000.0,2968000000.0,-2343000000.0,-1662000000.0,-192000000.0,-18000000.0,641000000.0,641000000.0,641000000.0,0.0,37000000.0,0.195,2076000000.0,1207000000.0,,0.0,,,11.091,,0.0,23.125,,2.167,,,3283000000.0,3283000000.0,0.0,,,,0.356,0.0,1470000000.0,1.0,,307712000,313536000.0,10.669,,,529000000.0,,,
0,BKB,MRQ,1999-06-30,1999-06-30,1999-06-30,2019-10-16,-102000000.0,77564000000.0,,,,,17.094,-64000000.0,10753000000.0,10753000000.0,0.0,250000000.0,,14.287,20993000000.0,,,20993000000.0,0.0,57000000.0,49036000000.0,0.024,0.32,396000000.0,453000000.0,0.35,453000000.0,396000000.0,396000000.0,0.84,0.83,0.84,5074000000.0,,5074000000.0,30882723205.0,25.0,21.24,793000000.0,2.672,1.0,1295000000.0,1.0,0.0,0.0,87804000000.0,,0.0,60035000000.0,,,72490000000.0,,,15172723205.0,-115000000.0,58000000.0,18000000.0,730000000.0,-95000000.0,1221000000.0,-2190000000.0,-2217000000.0,857000000.0,-3000000.0,250000000.0,250000000.0,250000000.0,0.0,0.0,0.193,899000000.0,396000000.0,0.0,0.381,2.99,19.353,19.366,1295000000.0,0.0,51.125,3.338,3.339,410000000.0,4143000000.0,1295000000.0,1295000000.0,0.0,,,,,0.0,660000000.0,1.0,296776982.0,296832000,301662000.0,4.363,77564000000.0,0.0,146000000.0,0.0,261.306,
1,BKB,MRQ,1999-03-31,1999-03-31,1999-03-31,2019-10-16,-37000000.0,75708000000.0,,,,,16.771,-86000000.0,4108000000.0,4108000000.0,0.0,223000000.0,,14.254,19818000000.0,,,19818000000.0,0.0,56000000.0,48468000000.0,0.027,0.32,354000000.0,410000000.0,0.353,410000000.0,354000000.0,354000000.0,0.75,0.75,0.75,4963000000.0,,4963000000.0,23014387323.0,19.0,16.06,-342000000.0,-1.156,1.0,1160000000.0,1.0,0.0,0.0,91418000000.0,,0.0,64525000000.0,,,70745000000.0,,,12841387323.0,-781000000.0,75000000.0,22000000.0,1936000000.0,-95000000.0,1831000000.0,-2302000000.0,-2278000000.0,-256000000.0,-54000000.0,223000000.0,223000000.0,223000000.0,0.0,0.0,0.192,806000000.0,354000000.0,0.0,0.427,2.587,16.634,16.595,1291000000.0,0.0,43.313,2.995,2.99,327000000.0,3982000000.0,1160000000.0,1160000000.0,0.0,,,,,0.0,582000000.0,1.0,296482247.0,295935000,298477000.0,3.92,75708000000.0,0.0,131000000.0,0.0,255.826,
2,BKB,MRQ,1998-12-31,1998-12-31,1998-12-31,2019-10-16,-33000000.0,73513000000.0,,,,,16.341,-107000000.0,7769000000.0,7769000000.0,0.0,207000000.0,,14.261,17942000000.0,,,17942000000.0,0.0,57000000.0,48500000000.0,0.026,0.29,324000000.0,381000000.0,0.334,381000000.0,324000000.0,324000000.0,0.7,0.7,0.7,4817000000.0,,4817000000.0,24304596405.0,19.0,16.716,293000000.0,0.994,1.0,1140000000.0,1.0,0.0,0.0,83686000000.0,,0.0,59185000000.0,,,68696000000.0,,,11471596405.0,393000000.0,-53000000.0,10000000.0,-3191000000.0,-85000000.0,-911000000.0,923000000.0,1354000000.0,400000000.0,-19000000.0,207000000.0,207000000.0,207000000.0,0.0,0.0,0.182,816000000.0,324000000.0,0.0,0.414,2.381,14.651,14.638,1319000000.0,0.0,38.938,2.745,2.738,338000000.0,3895000000.0,1140000000.0,1140000000.0,0.0,,,,,0.0,569000000.0,1.0,294615638.0,294782000,298502000.0,3.867,73513000000.0,0.0,117000000.0,0.0,249.381,
3,BKB,MRQ,1998-09-30,1998-09-30,1998-09-30,2019-10-16,4000000.0,73834000000.0,,,,,16.017,-216000000.0,6156000000.0,6156000000.0,0.0,105000000.0,,14.659,18989000000.0,,,18989000000.0,0.0,47000000.0,46420000000.0,0.026,0.29,163000000.0,210000000.0,0.221,210000000.0,163000000.0,163000000.0,0.35,0.35,0.35,4715000000.0,,4715000000.0,19723964321.0,15.0,13.167,-188000000.0,-0.639,1.0,950000000.0,1.0,0.0,0.0,86667000000.0,,0.0,59136000000.0,,,69119000000.0,,,9707964321.0,-347000000.0,-372000000.0,18000000.0,1461000000.0,-86000000.0,2339000000.0,-2710000000.0,-2162000000.0,28000000.0,-4000000.0,104000000.0,104000000.0,104000000.0,0.0,1000000.0,0.109,786000000.0,164000000.0,0.0,0.829,2.059,12.03,12.0,1289000000.0,0.0,33.0,2.41,2.411,344000000.0,3768000000.0,950000000.0,950000000.0,0.0,,,,,0.0,548000000.0,1.0,294180737.0,294379000,296361000.0,3.227,73834000000.0,0.0,59000000.0,0.0,250.813,
4,BKB,MRQ,1998-06-30,1998-06-30,1998-06-30,2019-10-16,34000000.0,70499000000.0,,,,,16.952,-79000000.0,7565000000.0,7565000000.0,0.0,242000000.0,,13.156,17581000000.0,,,17581000000.0,0.0,46000000.0,45196000000.0,0.012,0.29,386000000.0,432000000.0,0.417,432000000.0,386000000.0,386000000.0,0.81,0.8,0.81,4980000000.0,,4980000000.0,25144545521.0,16.0,14.826,373000000.0,1.27,1.0,1037000000.0,1.0,0.0,0.0,80515000000.0,,0.0,56132000000.0,,,65519000000.0,,,16336545521.0,-727000000.0,48000000.0,25000000.0,473000000.0,-90000000.0,-793000000.0,-387000000.0,-420000000.0,452000000.0,1000000.0,238000000.0,238000000.0,238000000.0,0.0,4000000.0,0.23,647000000.0,390000000.0,0.0,0.358,3.28,17.757,17.659,1160000000.0,0.0,55.625,4.026,4.027,394000000.0,3742000000.0,1037000000.0,1037000000.0,0.0,,,,,0.0,464000000.0,1.0,293690706.0,293769000,298275000.0,3.53,70499000000.0,0.0,148000000.0,0.0,239.981,
5,BKB,MRQ,1998-03-31,1998-03-31,1998-03-31,2019-10-16,43000000.0,71428000000.0,,,,,16.432,-100000000.0,8346000000.0,8346000000.0,0.0,238000000.0,,13.859,17154000000.0,,,17154000000.0,0.0,44000000.0,46397000000.0,0.01,0.145,387000000.0,431000000.0,0.41,431000000.0,387000000.0,387000000.0,0.8,0.79,0.8,4807000000.0,,4807000000.0,24414075176.0,16.0,14.796,-251000000.0,-0.858,1.0,1052000000.0,1.0,0.0,0.0,80236000000.0,,0.0,56284000000.0,,,66621000000.0,,,16158075176.0,448000000.0,145000000.0,41000000.0,1300000000.0,-89000000.0,437000000.0,169000000.0,375000000.0,-151000000.0,-7000000.0,234000000.0,234000000.0,234000000.0,0.0,4000000.0,0.222,661000000.0,391000000.0,0.0,0.181,3.361,18.258,18.253,1139000000.0,0.0,55.125,4.087,4.078,443000000.0,3585000000.0,1052000000.0,1052000000.0,0.0,,,,,0.0,448000000.0,1.0,293117010.0,292542000,296840000.0,3.596,71428000000.0,0.0,153000000.0,0.0,244.163,
