None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,BLS,MRY,2005-12-31,2005-12-31,2005-12-31,2018-12-17,-14000000.0,56553000000.0,57218500000.0,4209000000.0,52344000000.0,0.359,12.909,-3457000000.0,427000000.0,427000000.0,8067000000.0,3294000000.0,0.486,1.403,17188000000.0,4109000000.0,13079000000.0,17188000000.0,0.0,3661000000.0,0.0,0.041,1.12,5807000000.0,9468000000.0,0.461,9468000000.0,5807000000.0,4683000000.0,1.81,1.8,1.81,23534000000.0,23879500000.0,23534000000.0,64481650428.0,11.0,6.81,3261000000.0,1.789,1.0,12480000000.0,0.607,1533000000.0,1124000000.0,63127000000.0,64407750000.0,385000000.0,21274000000.0,0.0,21274000000.0,33019000000.0,8654000000.0,24365000000.0,49555650428.0,-253000000.0,3178000000.0,-1096000000.0,-3376000000.0,-2051000000.0,-6363000000.0,-608000000.0,-180000000.0,6718000000.0,0.0,3294000000.0,3294000000.0,3294000000.0,-381000000.0,0.0,0.16,7810000000.0,4670000000.0,1040000000.0,0.619,2.106,15.044,14.972,21723000000.0,0.0,27.1,2.412,2.404,2555000000.0,20383000000.0,20547000000.0,20547000000.0,0.0,0.058,0.138,0.09,0.283,94000000.0,3873000000.0,1.0,1828621787.0,1823000000,1829000000.0,11.271,55020000000.0,0.0,1389000000.0,6607000000.0,30.181,-4445000000.0
1,BLS,MRY,2004-12-31,2004-12-31,2004-12-31,2018-12-17,-157000000.0,59339000000.0,54512750000.0,5613000000.0,53726000000.0,0.372,12.591,-3193000000.0,680000000.0,680000000.0,7520000000.0,4758000000.0,0.541,1.573,20583000000.0,5475000000.0,15108000000.0,20583000000.0,0.0,3636000000.0,0.0,0.037,1.04,7466000000.0,11102000000.0,0.547,11102000000.0,7466000000.0,6550000000.0,2.6,2.59,2.6,23066000000.0,21875500000.0,23066000000.0,57894644554.0,8.0,5.215,4169000000.0,2.276,1.0,12780000000.0,0.63,1587000000.0,916000000.0,67285000000.0,53446750000.0,321000000.0,22787000000.0,16000000.0,22771000000.0,36273000000.0,10370000000.0,25903000000.0,50904644554.0,-2267000000.0,-11699000000.0,-151000000.0,7057000000.0,-1901000000.0,4928000000.0,-14557000000.0,1356000000.0,7362000000.0,0.0,4758000000.0,4758000000.0,4758000000.0,-1364000000.0,0.0,0.234,7491000000.0,5289000000.0,1047000000.0,0.4,2.207,10.699,10.688,22039000000.0,0.0,27.79,2.508,2.508,2559000000.0,19267000000.0,20300000000.0,20300000000.0,0.0,0.087,0.218,0.14,0.368,116000000.0,3816000000.0,1.0,1831761229.0,1832000000,1836000000.0,11.081,57752000000.0,0.0,1792000000.0,6406000000.0,31.524,-4757000000.0
2,BLS,MRY,2003-12-31,2003-12-31,2003-12-31,2018-12-17,-585000000.0,49702000000.0,49623250000.0,8849000000.0,40853000000.0,0.41,10.667,-2926000000.0,2947000000.0,2947000000.0,6991000000.0,3904000000.0,1.046,1.521,14980000000.0,3491000000.0,11489000000.0,14980000000.0,0.0,3811000000.0,0.0,0.031,0.87,6787000000.0,10598000000.0,0.521,10598000000.0,6787000000.0,5840000000.0,2.11,2.11,2.11,19712000000.0,19208500000.0,19712000000.0,62269709827.0,9.0,5.876,5603000000.0,3.032,1.0,13350000000.0,0.656,2390000000.0,947000000.0,50887000000.0,50335000000.0,375000000.0,9288000000.0,1609000000.0,7679000000.0,29990000000.0,8458000000.0,21532000000.0,52301709827.0,926000000.0,0.0,-858000000.0,-2280000000.0,-1608000000.0,-4757000000.0,-2846000000.0,584000000.0,8529000000.0,0.0,3904000000.0,3904000000.0,3904000000.0,-101000000.0,0.0,0.192,7793000000.0,5557000000.0,1339000000.0,0.412,2.653,13.397,13.412,23807000000.0,0.0,28.3,2.571,2.571,2870000000.0,16540000000.0,20341000000.0,20341000000.0,0.0,0.079,0.203,0.135,0.334,124000000.0,3777000000.0,1.0,1848116955.0,1848000000,1852000000.0,11.007,47312000000.0,0.0,1936000000.0,5349000000.0,25.602,391000000.0
3,BLS,MRY,2002-12-31,2002-12-31,2002-12-31,2018-12-17,-740000000.0,49479000000.0,50219000000.0,7862000000.0,41617000000.0,0.402,9.575,-3536000000.0,2482000000.0,2482000000.0,6670000000.0,1323000000.0,0.82,1.763,17397000000.0,5114000000.0,12283000000.0,17397000000.0,0.0,4202000000.0,0.0,0.03,0.78,4281000000.0,8483000000.0,0.42,8483000000.0,4281000000.0,3215000000.0,0.71,0.71,0.71,17906000000.0,18056750000.0,17906000000.0,63705046644.0,15.0,7.51,4176000000.0,2.233,1.0,13537000000.0,0.67,2705000000.0,1066000000.0,52106000000.0,52967000000.0,313000000.0,9741000000.0,0.0,9741000000.0,31573000000.0,9583000000.0,21990000000.0,48081046644.0,1429000000.0,-210000000.0,-591000000.0,-2456000000.0,-1460000000.0,-4443000000.0,-1912000000.0,1771000000.0,7712000000.0,0.0,1323000000.0,1323000000.0,1323000000.0,867000000.0,0.0,0.065,9083000000.0,4454000000.0,1572000000.0,1.099,2.685,36.342,36.437,23445000000.0,0.0,25.87,2.379,2.394,4129000000.0,14531000000.0,20207000000.0,20207000000.0,0.0,0.026,0.073,0.081,0.212,161000000.0,3891000000.0,1.0,1858563844.0,1870000000,1876000000.0,10.806,46774000000.0,0.0,1892000000.0,4452000000.0,25.013,-1721000000.0
4,BLS,MRY,2001-12-31,2001-12-31,2001-12-31,2018-12-17,-294000000.0,52046000000.0,51466250000.0,6855000000.0,45191000000.0,0.469,9.918,-5997000000.0,592000000.0,592000000.0,8049000000.0,2447000000.0,0.681,1.799,20125000000.0,5111000000.0,15014000000.0,20125000000.0,0.0,4782000000.0,0.0,0.02,0.76,5129000000.0,9911000000.0,0.411,9911000000.0,5129000000.0,3814000000.0,1.31,1.3,1.31,18597000000.0,17977500000.0,18597000000.0,90818365404.0,18.0,9.163,2001000000.0,1.067,1.0,16081000000.0,0.666,4506000000.0,1315000000.0,57005000000.0,54526500000.0,382000000.0,10620000000.0,0.0,10620000000.0,33449000000.0,10068000000.0,23381000000.0,71606365404.0,-469000000.0,-1985000000.0,0.0,-146000000.0,-1424000000.0,-1428000000.0,-7039000000.0,927000000.0,7998000000.0,0.0,2447000000.0,2447000000.0,2447000000.0,0.0,0.0,0.101,9943000000.0,6138000000.0,1656000000.0,0.58,3.85,29.263,29.122,24943000000.0,0.0,38.15,2.968,2.964,4989000000.0,15137000000.0,24130000000.0,24130000000.0,0.0,0.048,0.136,0.094,0.213,215000000.0,4803000000.0,1.0,1876968949.0,1875000000,1888000000.0,12.869,47540000000.0,0.0,1367000000.0,3206000000.0,25.355,-3213000000.0
5,BLS,MRY,2000-12-31,2000-12-31,2000-12-31,2018-12-17,-488000000.0,50925000000.0,47588250000.0,7406000000.0,43519000000.0,0.55,9.015,-7088000000.0,1061000000.0,1061000000.0,14088000000.0,4220000000.0,0.558,2.011,20032000000.0,7569000000.0,12463000000.0,20032000000.0,0.0,4935000000.0,0.0,0.019,0.76,7926000000.0,12861000000.0,0.492,12861000000.0,7926000000.0,6598000000.0,2.25,2.23,2.25,16912000000.0,16402500000.0,16912000000.0,95285293990.0,12.0,7.409,1502000000.0,0.801,1.0,12063000000.0,0.461,4172000000.0,1328000000.0,52454000000.0,47013250000.0,379000000.0,11010000000.0,0.0,11010000000.0,34013000000.0,13270000000.0,20743000000.0,76474293990.0,-226000000.0,-2389000000.0,-779000000.0,2585000000.0,-1427000000.0,487000000.0,-9303000000.0,124000000.0,8590000000.0,0.0,4220000000.0,4220000000.0,4220000000.0,0.0,0.0,0.161,5179000000.0,6884000000.0,2233000000.0,0.338,4.522,18.122,18.194,24157000000.0,0.0,40.938,2.924,2.937,5157000000.0,14074000000.0,26151000000.0,26151000000.0,0.0,0.089,0.257,0.169,0.303,0.0,0.0,1.0,1868074357.0,1876000000,1891000000.0,13.94,46753000000.0,0.0,2378000000.0,3580000000.0,24.922,-5864000000.0
6,BLS,MRY,1999-12-31,1999-12-31,1999-12-31,2018-12-17,-358000000.0,43453000000.0,41090500000.0,7387000000.0,36066000000.0,0.614,7.806,-6323000000.0,1392000000.0,1392000000.0,13796000000.0,3448000000.0,0.551,1.933,16766000000.0,7653000000.0,9113000000.0,16766000000.0,0.0,4671000000.0,0.0,0.016,0.76,6518000000.0,11189000000.0,0.444,11189000000.0,6518000000.0,5488000000.0,1.82,1.8,1.82,14815000000.0,14110500000.0,14815000000.0,103070071014.0,16.0,9.212,1876000000.0,0.988,1.0,11428000000.0,0.453,3774000000.0,1030000000.0,41658000000.0,39090250000.0,451000000.0,6097000000.0,0.0,6097000000.0,28638000000.0,13395000000.0,15243000000.0,88116071014.0,-1856000000.0,-3668000000.0,-3120000000.0,4375000000.0,-1449000000.0,-167000000.0,-9888000000.0,-1000000.0,8199000000.0,0.0,3448000000.0,3448000000.0,3448000000.0,0.0,0.0,0.137,4991000000.0,6437000000.0,1961000000.0,0.418,5.948,25.556,25.721,24631000000.0,0.0,46.813,3.493,3.522,5177000000.0,11456000000.0,25224000000.0,25224000000.0,0.0,0.084,0.244,0.167,0.258,0.0,0.0,1.0,1882319274.0,1898000000,1916000000.0,13.29,39679000000.0,0.0,2040000000.0,2831000000.0,20.906,-6008000000.0
7,BLS,MRY,1998-12-31,1998-12-31,1998-12-31,2018-12-17,-64000000.0,39410000000.0,38057750000.0,8706000000.0,30704000000.0,0.608,8.178,-5281000000.0,3187000000.0,3187000000.0,12862000000.0,3527000000.0,0.951,1.446,12169000000.0,3454000000.0,8715000000.0,12169000000.0,0.0,4357000000.0,0.0,0.014,0.72,6588000000.0,10945000000.0,0.473,10945000000.0,6588000000.0,5751000000.0,1.79,1.78,1.79,16110000000.0,15886000000.0,16110000000.0,106838437981.0,16.0,9.761,2460000000.0,1.249,1.0,10261000000.0,0.444,2875000000.0,837000000.0,36367000000.0,35643000000.0,431000000.0,2861000000.0,0.0,2861000000.0,23300000000.0,9150000000.0,14150000000.0,97535437981.0,573000000.0,-655000000.0,-1261000000.0,899000000.0,-1420000000.0,-1681000000.0,-5487000000.0,406000000.0,7741000000.0,0.0,3527000000.0,3527000000.0,3527000000.0,0.0,0.0,0.153,4357000000.0,5904000000.0,2219000000.0,0.402,6.054,27.654,27.863,23940000000.0,0.0,49.875,4.218,4.249,4629000000.0,9479000000.0,23123000000.0,23123000000.0,0.0,0.093,0.222,0.185,0.285,0.0,0.0,1.0,1955597754.0,1970000000,1984000000.0,11.738,36535000000.0,0.0,2224000000.0,2679000000.0,18.546,-444000000.0
8,BLS,MRY,1997-12-31,1997-12-31,1997-12-31,2018-12-17,36000000.0,36301000000.0,34434500000.0,8117000000.0,28184000000.0,0.597,7.644,-4858000000.0,2587000000.0,2587000000.0,11221000000.0,3261000000.0,0.924,1.394,11054000000.0,3706000000.0,7348000000.0,11054000000.0,0.0,3964000000.0,0.0,0.026,0.72,6173000000.0,10137000000.0,0.493,10137000000.0,6173000000.0,5412000000.0,1.64,1.64,1.64,15165000000.0,14207000000.0,15165000000.0,,,,2181000000.0,1.099,1.0,9340000000.0,0.454,1946000000.0,761000000.0,34039000000.0,33886000000.0,393000000.0,2675000000.0,0.0,2675000000.0,21136000000.0,8783000000.0,12353000000.0,55825784192.0,1392000000.0,-83000000.0,-157000000.0,832000000.0,-1428000000.0,-698000000.0,-4949000000.0,93000000.0,7039000000.0,0.0,3261000000.0,3261000000.0,3261000000.0,0.0,0.0,0.159,3964000000.0,5376000000.0,1825000000.0,0.439,3.681,17.119,17.168,22861000000.0,0.0,28.156,2.715,2.717,4750000000.0,7382000000.0,20561000000.0,20561000000.0,0.0,0.095,0.23,0.182,0.3,0.0,0.0,1.0,1982713756.0,1984000000,1989000000.0,10.363,34355000000.0,0.0,2151000000.0,2236000000.0,17.316,-666000000.0
9,BLS,MRY,1996-12-31,1996-12-31,1996-12-31,2018-12-17,0.0,32568000000.0,,6298000000.0,26270000000.0,,6.668,-4455000000.0,1229000000.0,1229000000.0,6072000000.0,2863000000.0,0.978,1.458,10240000000.0,2124000000.0,8116000000.0,10240000000.0,0.0,3719000000.0,0.0,0.036,0.72,5329000000.0,9048000000.0,0.475,9048000000.0,5329000000.0,4608000000.0,1.44,1.44,1.44,13249000000.0,,13249000000.0,,,,1408000000.0,0.709,1.0,12968000000.0,0.681,1405000000.0,721000000.0,33733000000.0,,451000000.0,2430000000.0,0.0,2430000000.0,19319000000.0,6441000000.0,12878000000.0,,-533000000.0,310000000.0,-85000000.0,-649000000.0,-1430000000.0,-2197000000.0,-4199000000.0,121000000.0,5863000000.0,0.0,2863000000.0,2863000000.0,2863000000.0,0.0,0.0,0.15,8189000000.0,4779000000.0,1446000000.0,0.5,,,14.063,21825000000.0,0.0,20.25,,2.113,4087000000.0,5541000000.0,19040000000.0,19040000000.0,0.0,,,,0.28,0.0,4470000000.0,1.0,,1987000000,1992000000.0,9.582,31163000000.0,0.0,1745000000.0,2177000000.0,15.683,-143000000.0
