None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,CF1,ARY,2003-12-31,2004-03-12,2003-12-31,2019-07-22,24085000,42628066000,43322715000.0,,,0.04,14.598,0.0,528166000,528166000,0.0,630891000.0,,12.013,10875419000,,,10875419000,0,0.0,27203319000,0.028,1.02,924364000.0,924364000.0,0.539,924364000.0,924364000.0,924364000.0,2.82,2.74,2.82,3275869000,3277856000.0,3275869000,18740089609,20.0,20.273,684418000.0,3.05,1.0,1715085000.0,1.0,592940000,0.0,52382379000,53029580000.0,0,39677704000,,,39352197000,,,8392836609,80953000.0,77944000.0,-166059000.0,751933000.0,-219916000.0,-454938000.0,-148527000.0,-135953000.0,684418000.0,0.0,630891000.0,630891000.0,630891000.0,0.0,0.0,0.368,790721000.0,924364000.0,0,0.362,2.562,13.303,12.943,404086000,0.0,36.5,4.894,4.776,0,1178803000,1715085000.0,1715085000.0,0.0,0.015,0.192,0.017,0.539,0.0,790721000.0,1.0,229940729,224404772,230257035.0,7.643,42035126000,0,293473000.0,0,187.318,
1,CF1,ARY,2002-12-31,2003-03-14,2002-12-31,2019-07-22,146500000,41896072000,39708433500.0,,,0.038,13.449,0.0,447213000,447213000,0.0,577668000.0,,12.586,10054285000,,,10054285000,0,0.0,27527843000,0.031,0.859,846401000.0,846401000.0,0.555,846401000.0,846401000.0,846401000.0,2.52,2.45,2.52,3083825000,2997582500.0,3083825000,15956315957,19.0,18.852,946897000.0,4.129,1.0,1525373000.0,1.0,386372000,0.0,51116772000,46968674000.0,0,39178118000,,,38812247000,,,6349243957,-69307000.0,-90425000.0,-339796000.0,825505000.0,-191070000.0,2460569000.0,-3476773000.0,-3305808000.0,946897000.0,0.0,577668000.0,577668000.0,577668000.0,0.0,0.0,0.379,678972000.0,846401000.0,0,0.341,2.059,10.991,11.071,353730000,0.0,27.9,4.162,4.194,0,824564000,1525373000.0,1525373000.0,0.0,0.015,0.193,0.018,0.555,0.0,678972000.0,1.0,227571468,229302385,236115843.0,6.652,41509700000,0,268733000.0,0,181.026,
2,CF1,ARY,2001-12-31,2002-03-15,2001-12-31,2019-07-22,37977000,38174516000,35963881250.0,,,0.038,12.593,0.0,516520000,516520000,0.0,500714000.0,,12.036,9219010000,,,9219010000,0,0.0,25123309000,0.024,0.744,733612000.0,733612000.0,0.538,733612000.0,733612000.0,733612000.0,2.143,2.105,2.143,2928500000,2741721000.0,2928500000,15954089072,22.0,21.747,940550000.0,4.045,1.0,1363274000.0,1.0,350839000,0.0,46526167000,44929879500.0,0,35496538000,,,35246016000,,,7251599072,-14737000.0,866742000.0,-73154000.0,-1542794000.0,-167052000.0,1359587000.0,-2314874000.0,-3183359000.0,940550000.0,0.0,500714000.0,500714000.0,500714000.0,0.0,0.0,0.367,629662000.0,733612000.0,0,0.347,2.476,14.483,14.332,352235000,0.0,30.714,5.319,5.239,0,811093000,1363274000.0,1363274000.0,0.0,0.014,0.183,0.016,0.538,0.0,629662000.0,1.0,236098618,232547418,238383474.0,5.862,37823677000,0,232898000.0,0,162.649,
3,CF1,ARY,2000-12-31,2001-03-12,2000-12-31,2019-07-22,23853000,32971427000,32147963250.0,,,0.039,10.239,0.0,531257000,531257000,0.0,433962000.0,,12.424,10244172000,,,10244172000,0,0.0,19605671000,0.025,0.638,637746000.0,637746000.0,0.514,637746000.0,637746000.0,637746000.0,1.841,1.814,1.841,2456204000,2398171000.0,2456204000,15734017737,25.0,24.671,562591000.0,2.345,1.0,1241701000.0,1.0,172411000,0.0,42511931000,41588026250.0,0,30619137000,,,30515223000,,,6021102737,-162275000.0,0.0,-263554000.0,424241000.0,-144659000.0,547332000.0,-1272198000.0,-1232649000.0,562591000.0,0.0,433962000.0,433962000.0,433962000.0,0.0,0.0,0.349,603955000.0,637746000.0,0,0.347,2.451,13.875,13.948,323911000,0.0,25.678,4.849,4.961,0,786793000,1241701000.0,1241701000.0,0.0,0.013,0.181,0.015,0.514,0.0,603955000.0,1.0,234484880,239894826,235617650.0,5.176,32799016000,0,203784000.0,0,136.722,
4,CF1,ARY,1999-12-31,2000-03-22,1999-12-31,2019-07-22,-7020000,31819063000,26706918500.0,,,0.042,9.508,0.0,693532000,693532000,0.0,333976000.0,,12.271,9822033000,,,9822033000,0,0.0,19073975000,0.032,0.54,494583000.0,494583000.0,0.438,494583000.0,494583000.0,494583000.0,1.348,1.313,1.348,2397700000,2067133500.0,2397700000,13283529970,27.0,26.858,706939000.0,2.803,1.0,1129464000.0,1.0,188826000,0.0,40758738000,34345121250.0,0,29426502000,,,29421363000,,,4155028970,-28728000.0,133845000.0,-136288000.0,1224740000.0,-134328000.0,647155000.0,-1382822000.0,-812930000.0,706939000.0,0.0,333976000.0,333976000.0,333976000.0,0.0,0.0,0.296,633327000.0,496137000.0,0,0.401,1.733,12.441,12.536,317205000,0.0,16.899,3.679,3.773,0,734510000,1129464000.0,1129464000.0,0.0,0.013,0.162,0.014,0.438,0.0,633327000.0,1.0,245876870,252183821,246677183.0,4.479,31630237000,0,160607000.0,0,125.425,
5,CF1,ARY,1998-12-31,1999-03-19,1998-12-31,2019-07-22,43687000,24467255000,20894791000.0,,,0.044,9.035,0.0,399507000,399507000,0.0,215361000.0,,12.048,7061861000,,,7061861000,0,0.0,15165064000,0.019,0.45,357081000.0,357081000.0,0.392,357081000.0,357081000.0,357081000.0,1.07,1.037,1.07,1875112000,1572825500.0,1875112000,11551966875,32.0,32.351,337329000.0,1.625,1.0,911252000.0,1.0,158709000,0.0,30970900000,27673136250.0,0,23261586000,,,22592143000,,,4889612875,-12598000.0,0.0,-43905000.0,-1025771000.0,-80829000.0,-15371000.0,-334556000.0,-284683000.0,337329000.0,0.0,215361000.0,215361000.0,215361000.0,0.0,0.0,0.236,492513000.0,418739000.0,0,0.421,2.608,22.704,22.73,218788000,0.0,24.321,5.366,5.539,0,704661000,911252000.0,911252000.0,0.0,0.01,0.137,0.013,0.392,0.0,492513000.0,1.0,201043737,207533156,201176847.0,4.391,24308546000,0,141720000.0,0,117.131,
6,CF1,ARY,1997-12-31,1998-03-20,1997-12-31,2019-07-22,16609000,19760265000,,,,,8.566,0.0,239716000,239716000,0.0,148409000.0,,13.351,7835204000,,,7835204000,0,0.0,10219200000,0.015,0.382,220256000.0,220256000.0,0.453,220256000.0,220256000.0,220256000.0,0.925,0.925,0.925,1376889000,,1376889000,11795012625,54.0,53.551,277541000.0,1.727,1.0,486102000.0,1.0,90471000,0.0,27265282000,,0,18936523000,,,18383376000,,,4199524624,-123043000.0,4814000.0,-34081000.0,1542015000.0,-54268000.0,1196071000.0,-1596655000.0,-1587052000.0,277541000.0,0.0,148409000.0,148409000.0,148409000.0,0.0,0.0,0.305,373930000.0,112172000.0,0,0.413,3.05,28.297,27.794,158500000,0.0,25.709,8.639,8.501,0,700616000,486102000.0,486102000.0,0.0,,,,0.453,0.0,373930000.0,1.0,163345565,160739553,165291815.0,3.024,19669794000,0,71847000.0,0,122.371,
0,CF1,ARQ,2004-06-30,2004-08-10,2004-06-30,2019-07-22,-54171000,42504673000,,,,,14.762,0.0,591733000,591733000,0.0,166346000.0,,11.849,10745155000,,,10745155000,0,0.0,27228560000,0.025,0.29,241961000.0,241961000.0,0.517,241961000.0,241961000.0,241961000.0,0.74,0.72,0.74,3307991000,,3307991000,20129899365,26.0,25.806,139481000.0,0.622,1.0,467862000.0,1.0,603873000,0.0,52054222000,,0,39494911000,,,39196682000,,,9976477364,47253000.0,0.0,25793000.0,1002584000.0,-64903000.0,1253459000.0,-1345687000.0,-1311269000.0,139481000.0,0.0,166346000.0,166346000.0,166346000.0,0.0,0.0,0.356,225901000.0,241961000.0,0,0.392,3.016,18.684,18.563,433478000,0.0,44.18,6.096,6.049,0,1231486000,467862000.0,467862000.0,0.0,,,,,0.0,225901000.0,1.0,225814336,224089781,231827268.0,2.088,41900800000,0,75615000.0,0,186.982,
1,CF1,ARQ,2004-03-31,2004-05-10,2004-03-31,2019-07-22,22105000,41278929000,,,,,14.571,0.0,544480000,544480000,0.0,50256000.0,,11.674,9744967000,,,9744967000,0,0.0,26939001000,0.024,0.29,73100000.0,73100000.0,0.251,73100000.0,73100000.0,73100000.0,0.22,0.22,0.22,3257032000,,3257032000,19016236008,24.0,24.337,118276000.0,0.529,1.0,291135000.0,1.0,558036000,0.0,49921380000,,0,38414717000,,,38021897000,,,9815749008,16314000.0,0.0,-8810000.0,-1128877000.0,-58303000.0,-1459805000.0,1357843000.0,1389822000.0,118276000.0,0.0,50256000.0,50256000.0,50256000.0,0.0,0.0,0.173,218035000.0,73100000.0,0,1.318,3.014,18.393,18.429,417908000,0.0,43.86,6.109,6.102,0,1142547000,291135000.0,291135000.0,0.0,,,,,0.0,218035000.0,1.0,223797287,223533656,230219061.0,1.302,40720893000,0,22844000.0,0,182.169,
2,CF1,ARQ,2003-12-31,2004-03-12,2003-12-31,2019-07-22,24085000,42628066000,,,,,14.708,0.0,528166000,528166000,0.0,158214000.0,,12.013,10875419000,,,10875419000,0,0.0,27203319000,0.028,0.26,231797000.0,231797000.0,0.516,231797000.0,231797000.0,231797000.0,0.71,0.69,0.71,3275869000,,3275869000,18740089609,20.0,20.273,-8977000.0,-0.04,1.0,449643000.0,1.0,592940000,0.0,52382379000,,0,39677704000,,,39352197000,,,8392836609,1116000.0,0.0,-8823000.0,239843000.0,-57810000.0,-669107000.0,679200000.0,619002000.0,-8977000.0,0.0,158214000.0,158214000.0,158214000.0,0.0,0.0,0.352,217846000.0,231797000.0,0,0.366,2.562,13.303,12.943,404086000,0.0,36.5,4.894,4.776,0,1178803000,449643000.0,449643000.0,0.0,,,,,0.0,217846000.0,1.0,229940729,222720197,228809670.0,2.019,42035126000,0,73583000.0,0,188.735,
