None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,CPQ,ARY,2001-12-31,2002-01-30,2001-12-31,2019-07-22,-132000000,23689000000,23775750000.0,13278000000,10411000000,1.411,6.586,-927000000.0,3874000000,3874000000,26442000000.0,-785000000.0,1.193,1.131,2292000000,1692000000,600000000,2292000000,1181000000,1377000000.0,0,0.008,0.1,-995000000.0,382000000.0,0.011,382000000.0,-995000000.0,-995000000.0,-0.47,-0.47,-0.47,11117000000,11514500000.0,11117000000,18801000000,-19.0,49.217,555000000.0,0.329,1.0,7112000000.0,0.212,0,0.0,10974000000,11229750000.0,1402000000,0,0,0,12572000000,11133000000,1439000000,20383000000,1305000000.0,0.0,-118000000.0,1006000000.0,-169000000.0,964000000.0,-955000000.0,248000000.0,1482000000.0,-186000000.0,-785000000.0,-785000000.0,-785000000.0,0.0,0.0,-0.023,7419000000.0,-307000000.0,3881000000,-0.213,1.833,-25.966,-25.511,3199000000,0.0,11.99,0.607,0.603,6504000000,4393000000,33554000000.0,33554000000.0,1305000000.0,-0.033,-0.068,-0.089,-0.03,0.0,5328000000.0,1.0,1700000000,1688000000,1688000000.0,19.878,23689000000,0,-210000000.0,0,14.034,2145000000
1,CPQ,ARY,2000-12-31,2001-02-09,2000-12-31,2019-07-22,27000000,24856000000,26319500000.0,15111000000,9745000000,1.61,7.098,-1133000000.0,2569000000,2569000000,32417000000.0,569000000.0,1.308,1.058,1286000000,711000000,575000000,1286000000,1089000000,1407000000.0,0,0.004,0.1,849000000.0,2256000000.0,0.053,2256000000.0,849000000.0,849000000.0,0.33,0.33,0.33,12080000000,13333250000.0,12080000000,36967000000,44.0,16.386,-568000000.0,-0.334,1.0,9966000000.0,0.235,0,0.0,12024000000,12737000000.0,2161000000,0,0,0,12776000000,11549000000,1227000000,38250000000,-97000000.0,-370000000.0,-365000000.0,833000000.0,-170000000.0,298000000.0,-1231000000.0,636000000.0,565000000.0,271000000.0,569000000.0,569000000.0,569000000.0,0.0,0.0,0.013,7427000000.0,2539000000.0,4233000000,0.303,3.166,67.223,68.182,3431000000,0.0,22.5,0.902,0.904,8392000000,5347000000,42383000000.0,42383000000.0,1469000000.0,0.022,0.043,0.067,0.02,0.0,6044000000.0,1.0,1700000000,1702000000,1742000000.0,24.902,24856000000,0,280000000.0,0,14.604,3562000000
2,CPQ,ARY,1999-12-31,2000-02-23,1999-12-31,2019-07-22,2919000000,27277000000,24363250000.0,13849000000,13428000000,1.581,8.762,-1185000000.0,2666000000,2666000000,29798000000.0,569000000.0,1.17,0.839,453000000,453000000,0,453000000,972000000,1402000000.0,0,0.004,0.1,934000000.0,2336000000.0,0.061,2336000000.0,934000000.0,934000000.0,0.35,0.34,0.35,14834000000,12555250000.0,14834000000,40429437500,43.0,17.307,-24000000.0,-0.014,1.0,8727000000.0,0.227,0,0.0,13226000000,8094000000.0,2008000000,636000000,636000000,0,12443000000,11838000000,605000000,42642437500,-1425000000.0,-517000000.0,49000000.0,453000000.0,-136000000.0,-34000000.0,-2469000000.0,-636000000.0,1161000000.0,-83000000.0,569000000.0,569000000.0,569000000.0,0.0,0.0,0.015,7687000000.0,1040000000.0,4380000000,0.286,2.875,74.943,71.964,3249000000,0.0,25.188,1.107,1.107,6685000000,4948000000,38525000000.0,38525000000.0,1660000000.0,0.023,0.045,0.115,0.024,0.0,6341000000.0,1.0,1693000000,1693000000,1735000000.0,22.755,27277000000,1460000000,365000000.0,0,16.112,2011000000
3,CPQ,ARY,1998-12-31,1999-02-24,1998-12-31,2019-07-22,0,23051000000,20256500000.0,15167000000,7884000000,1.539,7.059,-600000000.0,4091000000,4091000000,23980000000.0,-2743000000.0,1.413,1.031,0,0,0,0,0,893000000.0,0,0.0,0.02,-2662000000.0,-1769000000.0,-0.057,-1769000000.0,-2662000000.0,-2662000000.0,-1.71,-1.71,-1.71,11351000000,10406500000.0,11351000000,68052750000,-26.0,-38.47,44000000.0,0.027,1.0,7189000000.0,0.231,3641000000,0.0,4586000000,3496500000.0,2005000000,0,0,0,11700000000,10733000000,967000000,72143750000,-2327000000.0,-1413000000.0,23000000.0,-788000000.0,-95000000.0,-644000000.0,-2467000000.0,-17000000.0,644000000.0,140000000.0,-2743000000.0,-2743000000.0,-2743000000.0,0.0,0.0,-0.088,9920000000.0,-2731000000.0,4237000000,-0.012,6.356,-26.301,-24.817,2902000000,0.0,42.438,2.315,2.189,6998000000,4465000000,31169000000.0,31169000000.0,1353000000.0,-0.135,-0.264,-0.761,-0.085,0.0,4978000000.0,1.0,1700000000,1608000000,1608000000.0,19.384,19410000000,2943000000,81000000.0,282000000,12.071,4434000000
4,CPQ,ARY,1997-12-31,1998-02-19,1997-12-31,2019-07-22,0,14631000000,,12017000000,2614000000,,6.265,-729000000.0,6418000000,6418000000,17833000000.0,1855000000.0,2.31,0.552,0,0,0,0,0,545000000.0,0,0.0,0.0,2758000000.0,3303000000.0,0.134,3303000000.0,2758000000.0,2758000000.0,1.23,1.19,1.23,9429000000,,9429000000,45988250000,17.0,13.923,2959000000.0,1.966,1.0,6751000000.0,0.275,0,0.0,3011000000,,1570000000,344000000,344000000,0,5202000000,5202000000,0,52406250000,3410000000.0,-268000000.0,188000000.0,-293000000.0,0.0,14000000.0,-299000000.0,729000000.0,3688000000.0,7000000.0,1855000000.0,1855000000.0,1855000000.0,0.0,0.0,0.075,4016000000.0,2735000000.0,2837000000,0.0,5.558,28.251,28.404,1985000000,0.0,34.938,2.132,2.139,2891000000,7333000000,24584000000.0,24584000000.0,817000000.0,,,,0.112,0.0,2947000000.0,1.0,1500000000,1505000000,1564000000.0,16.335,14631000000,595000000,903000000.0,195000000,9.722,6815000000
0,CPQ,ARQ,2002-03-31,2002-04-24,2002-03-31,2019-07-22,-182000000,22771000000,,12665000000,10106000000,,6.531,-153000000.0,3702000000,3702000000,6138000000.0,44000000.0,1.243,1.045,2266000000,1666000000,600000000,2266000000,1191000000,320000000.0,0,0.01,0.025,63000000.0,383000000.0,0.05,383000000.0,63000000.0,63000000.0,0.03,0.03,0.03,11136000000,,11136000000,16176000000,-16.0,60.812,-175000000.0,-0.103,1.0,1590000000.0,0.206,0,0.0,11144000000,,1419000000,0,0,0,11635000000,10191000000,1444000000,17612000000,-172000000.0,0.0,68000000.0,-26000000.0,-43000000.0,-1000000.0,-145000000.0,0.0,-22000000.0,-4000000.0,44000000.0,44000000.0,44000000.0,0.0,0.0,0.006,1478000000.0,112000000.0,3350000000,0.833,1.582,-21.504,-21.143,3171000000,0.0,10.36,0.549,0.551,6104000000,4394000000,7728000000.0,7728000000.0,286000000.0,,,,,0.0,1157000000.0,1.0,1700000000,1705000000,1718000000.0,4.533,22771000000,0,19000000.0,0,13.355,2474000000
1,CPQ,ARQ,2001-12-31,2002-01-30,2001-12-31,2019-07-22,-132000000,23689000000,,13278000000,10411000000,,6.586,-185000000.0,3874000000,3874000000,6711000000.0,-85000000.0,1.193,1.131,2292000000,1692000000,600000000,2292000000,1181000000,338000000.0,0,0.008,0.025,-23000000.0,315000000.0,0.037,315000000.0,-23000000.0,-23000000.0,-0.06,-0.06,-0.06,11117000000,,11117000000,18801000000,-19.0,49.217,-42000000.0,-0.025,1.0,1717000000.0,0.204,0,0.0,10974000000,,1402000000,0,0,0,12572000000,11133000000,1439000000,20383000000,-66000000.0,0.0,-160000000.0,191000000.0,-43000000.0,233000000.0,-280000000.0,43000000.0,143000000.0,-162000000.0,-85000000.0,-85000000.0,-85000000.0,0.0,0.0,-0.01,1580000000.0,137000000.0,3881000000,-0.417,1.833,-25.966,-25.511,3199000000,0.0,11.99,0.607,0.603,6504000000,4393000000,8428000000.0,8428000000.0,292000000.0,,,,,0.0,1244000000.0,1.0,1700000000,1688000000,1688000000.0,4.993,23689000000,0,62000000.0,0,14.034,2145000000
2,CPQ,ARQ,2001-09-30,2001-10-23,2001-09-30,2019-07-22,-52000000,23548000000,,14409000000,9139000000,,6.627,-172000000.0,3940000000,3940000000,5991000000.0,-499000000.0,1.305,1.095,2101000000,1501000000,600000000,2101000000,1170000000,335000000.0,0,0.011,0.025,-685000000.0,-350000000.0,-0.047,-350000000.0,-685000000.0,-685000000.0,-0.29,-0.29,-0.29,11240000000,,11240000000,14141000000,-7.0,-23.766,84000000.0,0.05,1.0,1485000000.0,0.199,0,0.0,10664000000,,1582000000,0,0,0,12308000000,11045000000,1263000000,15980000000,111000000.0,0.0,130000000.0,17000000.0,-42000000.0,-33000000.0,-218000000.0,-15000000.0,256000000.0,106000000.0,-499000000.0,-499000000.0,-499000000.0,0.0,0.0,-0.067,1595000000.0,-110000000.0,3619000000,-0.086,1.422,-11.472,-11.463,3244000000,0.0,9.4,0.436,0.435,6443000000,4521000000,7476000000.0,7476000000.0,297000000.0,,,,,0.0,1298000000.0,1.0,1700000000,1696000000,1696000000.0,4.408,23548000000,0,-186000000.0,0,13.884,3364000000
3,CPQ,ARQ,2001-06-30,2001-07-26,2001-06-30,2019-07-22,-95000000,23989000000,,14670000000,9319000000,,6.956,-200000000.0,3829000000,3829000000,6635000000.0,-279000000.0,1.368,1.043,2084000000,1209000000,875000000,2084000000,1249000000,316000000.0,0,0.007,0.025,-398000000.0,-82000000.0,-0.01,-82000000.0,-398000000.0,-398000000.0,-0.17,-0.17,-0.17,11742000000,,11742000000,22905000000,-47.0,24.419,384000000.0,0.227,1.0,1818000000.0,0.215,0,0.0,11517000000,,1731000000,0,0,0,12247000000,10727000000,1520000000,24650000000,1187000000.0,0.0,-33000000.0,859000000.0,-42000000.0,922000000.0,-199000000.0,-8000000.0,584000000.0,-120000000.0,-279000000.0,-279000000.0,-279000000.0,0.0,0.0,-0.033,2193000000.0,-375000000.0,3434000000,-0.147,2.099,-71.657,-69.048,3300000000,0.0,14.5,0.61,0.606,6962000000,5062000000,8453000000.0,8453000000.0,352000000.0,,,,,0.0,1348000000.0,1.0,1700000000,1688000000,1688000000.0,5.008,23989000000,0,-119000000.0,0,14.211,3943000000
4,CPQ,ARQ,2001-03-31,2001-04-25,2001-03-31,2019-07-22,-88000000,23877000000,,14485000000,9392000000,,7.097,-370000000.0,2642000000,2642000000,7105000000.0,78000000.0,1.354,0.997,1225000000,650000000,575000000,1225000000,1193000000,388000000.0,0,0.006,0.025,111000000.0,499000000.0,0.054,499000000.0,111000000.0,111000000.0,0.05,0.05,0.05,11959000000,,11959000000,28826000000,60.0,14.73,129000000.0,0.077,1.0,2092000000.0,0.227,0,0.0,11764000000,,2023000000,0,0,0,11918000000,10696000000,1222000000,30243000000,73000000.0,0.0,-55000000.0,-61000000.0,-42000000.0,-158000000.0,-258000000.0,228000000.0,499000000.0,-10000000.0,78000000.0,78000000.0,78000000.0,0.0,0.0,0.008,2051000000.0,41000000.0,3845000000,0.5,2.529,93.922,98.833,3453000000,0.0,17.79,0.719,0.713,7786000000,5383000000,9197000000.0,9197000000.0,364000000.0,,,,,0.0,1438000000.0,1.0,1700000000,1685000000,1712000000.0,5.458,23877000000,0,33000000.0,0,14.17,3789000000
