None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,CTAS,MRY,2021-12-31,2021-05-31,2021-05-31,2021-10-07,30888000.0,8236823000.0,8270613500.0,2843309000.0,5393514000.0,0.86,35.105,-143470000.0,493640000.0,493640000.0,3801689000.0,1110968000.0,1.47,1.234,2716527000.0,942920000.0,1773607000.0,2716527000.0,0.0,387951000.0,0.0,0.014,5.01,1385959000.0,1773910000.0,0.249,1773910000.0,1385959000.0,1287749000.0,10.52,10.24,10.52,3687847000.0,3676780250.0,3687847000.0,39291088267.0,28.0,22.149,1217270000.0,11.587,1.0,3314651000.0,0.466,3321514000.0,98210000.0,5204111000.0,5661966250.0,481797000.0,274616000.0,0.0,274616000.0,4548976000.0,1934085000.0,2614891000.0,37140507267.0,348238000.0,21667000.0,-424164000.0,0.0,-451327000.0,-879868000.0,-137215000.0,-4299000.0,1360740000.0,4581000.0,1110968000.0,1110968000.0,1110968000.0,0.0,0.0,0.156,1929159000.0,1385492000.0,230786000.0,0.476,10.071,33.431,33.606,1486970000.0,0.0,353.54,5.219,5.219,901710000.0,7877015000.0,7116340000.0,7116340000.0,0.0,0.134,0.302,0.245,0.195,112035000.0,1929159000.0,1.0,105053197.0,105053197,,67.74,4915309000.0,22282000.0,176781000.0,386647000.0,46.789,909224000.0
1,CTAS,MRY,2020-12-31,2020-05-31,2020-05-31,2021-10-07,-153380000.0,7669885000.0,7780275500.0,2309699000.0,5360186000.0,0.911,31.093,-230289000.0,145402000.0,145402000.0,3851372000.0,876037000.0,2.609,1.371,2705431000.0,43031000.0,2662400000.0,2705431000.0,0.0,379053000.0,0.0,0.01,2.55,1163361000.0,1542414000.0,0.218,1542414000.0,1163361000.0,1057968000.0,8.36,8.11,8.36,3235202000.0,3178796750.0,3235202000.0,28475840088.0,24.0,18.462,1061194000.0,10.199,1.0,3233748000.0,0.456,3321549000.0,105393000.0,6023170000.0,6074771500.0,408898000.0,214847000.0,0.0,214847000.0,4434683000.0,885195000.0,3549488000.0,25800288088.0,48757000.0,-40420000.0,-373999000.0,-312500000.0,-267956000.0,-955207000.0,-285398000.0,-10031000.0,1291483000.0,-2121000.0,876037000.0,876037000.0,876037000.0,323000.0,0.0,0.124,2071052000.0,1162696000.0,230995000.0,0.305,7.975,29.451,29.66,1563032000.0,0.0,247.96,3.641,3.641,870369000.0,7296509000.0,7085120000.0,7085120000.0,0.0,0.113,0.276,0.192,0.164,115435000.0,2071052000.0,1.0,104050202.0,104050202,,68.093,4348336000.0,0.0,181931000.0,415678000.0,41.791,1424504000.0
2,CTAS,MRY,2019-12-31,2019-05-31,2019-05-31,2021-10-07,-39152000.0,7436662000.0,7390655500.0,2236280000.0,5200382000.0,0.933,28.715,-276719000.0,96645000.0,96645000.0,3763715000.0,884981000.0,1.983,1.477,2849771000.0,312264000.0,2537507000.0,2849771000.0,0.0,360093000.0,0.0,0.009,2.05,1206481000.0,1566574000.0,0.227,1566574000.0,1206481000.0,1104745000.0,8.25,7.99,8.25,3002721000.0,3138856250.0,3002721000.0,25870554205.0,21.0,16.514,791143000.0,7.566,1.0,3128588000.0,0.454,3337036000.0,101736000.0,5725019000.0,5666624500.0,334589000.0,192346000.0,0.0,192346000.0,4433941000.0,1127733000.0,3306208000.0,23196955205.0,-42079000.0,-6613000.0,-950929000.0,312500000.0,-220764000.0,-873305000.0,-235638000.0,55501000.0,1067862000.0,-998000.0,884981000.0,884981000.0,884981000.0,-2346000.0,0.0,0.128,1995054000.0,1133534000.0,226020000.0,0.248,7.725,26.212,26.888,1430685000.0,0.0,221.83,3.366,3.366,910120000.0,6691236000.0,6892303000.0,6892303000.0,0.0,0.12,0.282,0.213,0.175,139210000.0,1980644000.0,1.0,104570866.0,104570866,,65.91,4099626000.0,7475000.0,219764000.0,438179000.0,39.204,1108547000.0
3,CTAS,MRY,2018-12-31,2018-05-31,2018-05-31,2021-10-07,16343000.0,6958214000.0,6929303500.0,1977932000.0,4980282000.0,0.935,28.266,-271699000.0,138724000.0,138724000.0,3568109000.0,842586000.0,2.549,1.307,2535309000.0,0.0,2535309000.0,2535309000.0,0.0,279416000.0,0.0,0.009,1.62,1009830000.0,1289246000.0,0.199,1289246000.0,1009830000.0,899655000.0,7.78,7.56,7.78,3016526000.0,2757359250.0,3016526000.0,22019581390.0,22.0,17.079,692461000.0,6.489,1.0,2908523000.0,0.449,3392656000.0,110175000.0,5186286000.0,5124830750.0,280347000.0,175581000.0,0.0,175581000.0,3941688000.0,775857000.0,3165831000.0,19449884390.0,-30542000.0,108489000.0,-85471000.0,-600500000.0,-175589000.0,-864140000.0,-135698000.0,26149000.0,964160000.0,5136000.0,842586000.0,842586000.0,842586000.0,-58654000.0,0.0,0.13,1958689000.0,949834000.0,215074000.0,0.208,6.448,23.084,23.425,1382730000.0,0.0,182.25,3.003,3.003,804583000.0,5837827000.0,6476632000.0,6476632000.0,0.0,0.122,0.306,0.197,0.156,112835000.0,1916792000.0,1.0,106720902.0,106720902,,60.688,3565558000.0,19634000.0,57069000.0,352581000.0,33.41,1202075000.0
4,CTAS,MRY,2017-12-31,2017-05-31,2017-05-31,2021-10-07,-3029000.0,6844057000.0,4874236250.0,1954478000.0,4889579000.0,1.092,21.864,-273317000.0,169266000.0,169266000.0,2943086000.0,480708000.0,1.728,1.972,3133524000.0,362900000.0,2770624000.0,3133524000.0,0.0,196595000.0,0.0,0.011,1.33,797350000.0,993945000.0,0.187,993945000.0,797350000.0,710826000.0,4.49,4.38,4.49,2302793000.0,2123539500.0,2302793000.0,14255298972.0,18.0,14.342,490570000.0,4.658,1.0,2380295000.0,0.447,3369323000.0,86524000.0,5308140000.0,3618596750.0,278218000.0,187007000.0,22219000.0,164788000.0,4541264000.0,1130852000.0,3410412000.0,13258002972.0,29909000.0,-2074095000.0,11146000.0,1732729000.0,-142433000.0,1578502000.0,-2310349000.0,37259000.0,763887000.0,-2131000.0,480708000.0,480708000.0,480708000.0,-23422000.0,0.0,0.09,1606604000.0,773691000.0,177051000.0,0.296,5.757,27.58,28.036,1323501000.0,0.0,125.88,2.491,2.491,736008000.0,5170830000.0,5323381000.0,5323381000.0,0.0,0.099,0.226,0.22,0.15,88868000.0,1527380000.0,1.0,105322553.0,105322553,,50.544,3474734000.0,44320000.0,230118000.0,469328000.0,32.991,823626000.0
5,CTAS,MRY,2016-12-31,2016-05-31,2016-05-31,2021-10-07,-24874000.0,4098815000.0,4225941500.0,1590579000.0,2508236000.0,1.135,17.221,-275385000.0,139357000.0,139357000.0,2694432000.0,693520000.0,1.95,1.224,1294422000.0,250000000.0,1044422000.0,1294422000.0,0.0,165279000.0,0.0,0.011,1.05,1014752000.0,1180031000.0,0.246,1180031000.0,1014752000.0,950230000.0,6.3,6.21,6.3,1842659000.0,1891490500.0,1842659000.0,11128787455.0,11.0,9.431,190460000.0,1.78,1.0,2101340000.0,0.438,1354270000.0,64522000.0,3084055000.0,2927183500.0,249362000.0,195357000.0,70405000.0,124952000.0,2256156000.0,815555000.0,1440601000.0,10143903455.0,-277716000.0,424258000.0,-751925000.0,-16000.0,-115273000.0,-866724000.0,128381000.0,-59967000.0,465845000.0,-5218000.0,693520000.0,693520000.0,693520000.0,-244915000.0,0.0,0.145,1332399000.0,768941000.0,110940000.0,0.167,5.505,14.627,15.048,993692000.0,0.0,94.8,2.115,2.115,546488000.0,4805867000.0,4795772000.0,4795772000.0,0.0,0.164,0.367,0.347,0.212,79293000.0,1332399000.0,1.0,107003201.0,107003201,,44.819,2744545000.0,1712000.0,256710000.0,259475000.0,25.649,775024000.0
6,CTAS,MRY,2015-12-31,2015-05-31,2015-05-31,2021-10-07,-8471000.0,4192460000.0,4428161750.0,1735807000.0,2456653000.0,0.987,16.893,-217720000.0,417073000.0,417073000.0,2476754000.0,430618000.0,3.412,1.169,1300000000.0,0.0,1300000000.0,1300000000.0,0.0,155082000.0,0.0,0.01,0.85,733782000.0,888864000.0,0.203,888864000.0,733782000.0,668621000.0,3.68,3.63,3.68,1932455000.0,2113857250.0,1932455000.0,10789922392.0,15.0,12.139,362556000.0,3.169,1.0,1892923000.0,0.433,1238046000.0,65161000.0,3328672000.0,3302760000.0,226211000.0,345773000.0,16081000.0,329692000.0,2260005000.0,508669000.0,1751336000.0,9848242392.0,-96215000.0,259677000.0,-511740000.0,-518000.0,-201891000.0,-712560000.0,44987000.0,1647000.0,580276000.0,-8918000.0,430618000.0,430618000.0,430618000.0,-28065000.0,0.0,0.099,1209284000.0,683639000.0,109607000.0,0.231,5.096,22.87,23.394,871421000.0,0.0,86.09,2.254,2.254,496130000.0,4227620000.0,4369677000.0,4369677000.0,0.0,0.097,0.204,0.222,0.168,47002000.0,1209284000.0,1.0,114394731.0,114394731,,38.198,2954414000.0,936000.0,238003000.0,339327000.0,25.826,1227138000.0
7,CTAS,MRY,2014-12-31,2014-05-31,2014-05-31,2021-10-07,28428000.0,4462452000.0,4384867000.0,1805681000.0,2656771000.0,0.956,18.245,-145580000.0,513288000.0,513288000.0,2444085000.0,374442000.0,2.866,1.035,1300980000.0,503000.0,1300477000.0,1300980000.0,0.0,190862000.0,0.0,0.012,0.77,639619000.0,830481000.0,0.198,830481000.0,639619000.0,573797000.0,3.08,3.05,3.08,2192858000.0,2195218500.0,2192858000.0,8418658951.0,13.0,10.137,460389000.0,3.83,1.0,1749759000.0,0.417,1323086000.0,65822000.0,3296927000.0,3200871500.0,251239000.0,458357000.0,0.0,458357000.0,2269594000.0,630131000.0,1639463000.0,7466361951.0,161015000.0,145918000.0,-328697000.0,-8187000.0,-93320000.0,-429735000.0,-14543000.0,-9662000.0,605969000.0,-676000.0,374442000.0,374442000.0,374442000.0,-36670000.0,0.0,0.089,1147039000.0,602720000.0,150070000.0,0.25,3.405,19.94,20.169,855702000.0,0.0,62.12,1.78,1.78,508427000.0,3998893000.0,4193844000.0,4193844000.0,0.0,0.085,0.171,0.2,0.153,29875000.0,1147039000.0,1.0,120192562.0,120192562,,34.893,3139366000.0,0.0,199355000.0,252004000.0,26.119,1175550000.0
8,CTAS,MRY,2013-12-31,2013-05-31,2013-05-31,2021-10-07,38123000.0,4345632000.0,4234262000.0,1624826000.0,2720806000.0,1.003,17.968,-196486000.0,352273000.0,352273000.0,2492655000.0,315442000.0,2.921,0.974,1309166000.0,8187000.0,1300979000.0,1309166000.0,0.0,189377000.0,0.0,0.014,0.64,565243000.0,754620000.0,0.178,754620000.0,565243000.0,499531000.0,2.53,2.52,2.53,2201492000.0,2141699250.0,2201492000.0,6685536715.0,12.0,8.859,356262000.0,2.908,1.0,1753309000.0,0.413,1609713000.0,65712000.0,3136556000.0,3162343000.0,240440000.0,107205000.0,5680000.0,101525000.0,2144140000.0,556256000.0,1587884000.0,5593676715.0,12448000.0,-69370000.0,-200874000.0,24364000.0,-79744000.0,-256058000.0,-284181000.0,-16986000.0,552748000.0,-61000.0,315442000.0,315442000.0,315442000.0,1144000.0,0.0,0.074,1187331000.0,565978000.0,121029000.0,0.253,2.541,17.733,18.045,986703000.0,0.0,45.655,1.317,1.317,496049000.0,3717771000.0,4245964000.0,4245964000.0,0.0,0.074,0.147,0.179,0.133,23310000.0,1187331000.0,1.0,122520572.0,122520572,,34.655,2735919000.0,9102000.0,184089000.0,210483000.0,22.33,1068570000.0
9,CTAS,MRY,2012-12-31,2012-05-31,2012-05-31,2021-10-07,36295000.0,4165706000.0,4190519250.0,1538086000.0,2627620000.0,0.979,16.481,-160802000.0,339825000.0,339825000.0,2363392000.0,297637000.0,2.276,0.947,1284802000.0,225636000.0,1059166000.0,1284802000.0,0.0,194165000.0,0.0,0.015,0.54,541569000.0,735734000.0,0.179,735734000.0,541569000.0,470944000.0,2.27,2.27,2.27,2139135000.0,2138216500.0,2139135000.0,5856377847.0,11.0,7.96,309060000.0,2.381,1.0,1738608000.0,0.424,1562197000.0,70625000.0,2872795000.0,3010123250.0,251205000.0,0.0,0.0,0.0,2026571000.0,675691000.0,1350880000.0,4789451847.0,-98281000.0,-24864000.0,-388987000.0,-1323000.0,-70820000.0,-460575000.0,-104294000.0,79361000.0,469862000.0,-3274000.0,297637000.0,297637000.0,297637000.0,0.0,0.0,0.073,1198981000.0,539627000.0,94840000.0,0.238,2.239,16.092,16.256,952587000.0,0.0,36.9,1.168,1.168,450861000.0,3482073000.0,4102000000.0,4102000000.0,0.0,0.071,0.139,0.18,0.132,20312000.0,1198981000.0,1.0,129795443.0,129795443,,31.604,2603509000.0,22188000.0,173307000.0,204581000.0,20.059,862395000.0
