None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,DNRCQ,ARY,2019-12-31,2020-02-27,2019-12-31,2020-11-19,0,4691867000,4717193250.0,180611000,4511256000,0.27,3.073,-282361000.0,516000,516000,536076000.0,216959000.0,0.496,2.322,2383697000,109195000,2274502000,2383697000,0,233816000.0,0,0.0,0.0,402943000.0,636759000.0,0.499,636759000.0,402943000.0,321311000.0,0.47,0.45,0.47,1412259000,1287093750.0,1412259000,2751827749,7.0,4.322,211782000.0,0.461,1.0,738807000.0,0.58,0,81632000.0,6710806000,6962439000.0,0,11936000,11936000,0,3279608000,364242000,2915366000,368646749,-21904000.0,0.0,0.0,-246703000.0,0.0,-246355000.0,-269692000.0,0.0,494143000.0,0.0,216959000.0,216959000.0,216959000.0,0.0,0.0,0.17,421784000.0,317023000.0,246701000,0.0,0.261,1.699,1.549,4406927000,0.0,0.728,0.289,0.262,157725000,-1321314000,1274883000.0,1274883000.0,0.0,0.046,0.169,0.058,0.316,12470000.0,83029000.0,1.0,506382897,459524000,510341000.0,2.774,4691867000,0,104352000.0,410230000,10.21,-183631000
1,DNRCQ,ARY,2018-12-31,2019-03-01,2018-12-31,2020-11-19,0,4723222000,4597064000.0,296294000,4426928000,0.321,2.64,-338412000.0,38560000,38560000,542538000.0,322698000.0,0.812,3.137,2769336000,105125000,2664211000,2769336000,0,216449000.0,0,0.0,0.0,479619000.0,696068000.0,0.472,696068000.0,479619000.0,409931000.0,0.75,0.71,0.75,1141777000,920206000.0,1141777000,3619429544,8.0,5.2,191273000.0,0.442,1.0,931087000.0,0.632,0,69688000.0,7089205000,6960409500.0,0,97275000,93080000,4195000,3581445000,364793000,3216652000,888653544,38957000.0,0.0,0.0,-127906000.0,0.0,-157452000.0,-333276000.0,0.0,529685000.0,0.0,322698000.0,322698000.0,322698000.0,0.0,0.0,0.219,472555000.0,458532000.0,259668000,0.0,0.778,2.754,2.573,4318610000,0.0,1.93,0.603,0.566,152758000,-1533112000,1473625000.0,1473625000.0,0.0,0.07,0.351,0.069,0.325,11951000.0,71495000.0,1.0,460442251,432483000,456169000.0,3.407,4723222000,0,87233000.0,309758000,10.921,-68499000
2,DNRCQ,ARY,2017-12-31,2018-02-28,2017-12-31,2020-11-19,0,4471299000,4411557000.0,202255000,4269044000,0.256,1.658,-354756000.0,58000,58000,502718000.0,163152000.0,0.442,5.898,3084274000,105188000,2979086000,3084274000,0,207713000.0,0,0.0,0.0,145763000.0,353476000.0,0.313,353476000.0,145763000.0,46500000.0,0.42,0.41,0.42,648165000,543392500.0,648165000,3964418117,27.0,11.216,-87613000.0,-0.224,1.0,627068000.0,0.555,0,99263000.0,7097458000,7138235000.0,0,0,0,0,3823134000,458057000,3365077000,880202117,-1548000.0,0.0,0.0,93686000.0,-275000.0,88613000.0,-357304000.0,0.0,267143000.0,0.0,163152000.0,163152000.0,163152000.0,0.0,0.0,0.144,403729000.0,223339000.0,253808000,0.0,1.358,5.395,5.214,4166866000,0.0,2.19,0.779,0.758,191527000,-1855810000,1129786000.0,1129786000.0,0.0,0.037,0.3,0.02,0.129,15154000.0,101806000.0,1.0,401918775,390928000,395921000.0,2.89,4471299000,0,-116652000.0,198099000,11.438,-255802000
3,DNRCQ,ARY,2016-12-31,2017-03-01,2016-12-31,2020-11-19,0,4274578000,4904974750.0,181126000,4093452000,0.199,1.253,-201599000.0,1606000,1606000,475765000.0,-976177000.0,0.418,8.125,2993098000,83366000,2909732000,2993098000,0,846043000.0,0,0.0,0.0,-1395202000.0,-549159000.0,-0.563,-549159000.0,-1395202000.0,-1520347000.0,-2.61,-2.61,-2.61,468448000,815593500.0,468448000,4090375208,-3.0,-7.448,17624000.0,0.047,1.0,499831000.0,0.512,0,125145000.0,6832574000,7580239750.0,0,0,0,0,3806130000,433496000,3372634000,1098883208,-1206000.0,0.0,0.0,-14966000.0,-486000.0,-15012000.0,-205417000.0,0.0,219223000.0,0.0,-976177000.0,-976177000.0,-976177000.0,0.0,0.0,-1.001,1882184000.0,-1382353000.0,280851000,0.0,2.346,-1.126,-1.057,3988374000,0.0,2.76,1.126,1.058,168836000,-2018989000,975596000.0,975596000.0,0.0,-0.199,-1.197,-0.184,-1.43,14995000.0,109926000.0,1.0,398146090,373859000,373859000.0,2.61,4274578000,0,-544170000.0,293878000,11.434,-252370000
4,DNRCQ,ARY,2015-12-31,2016-02-26,2015-12-31,2020-11-19,0,5919824000,9059583750.0,344708000,5575116000,0.139,3.581,-555740000.0,2812000,2812000,575346000.0,-4385448000.0,0.924,3.74,3310347000,32481000,3277866000,3310347000,0,531660000.0,0,0.106,0.126,-6166714000.0,-5635054000.0,-4.481,-5635054000.0,-6166714000.0,-6325982000.0,-12.57,-12.57,-12.57,1248912000,3342189750.0,1248912000,3725001942,-1.0,-0.661,308564000.0,0.885,1.0,682214000.0,0.542,0,159268000.0,8854344000,11486006750.0,0,142846000,142846000,0,4670912000,373015000,4297897000,417466942,-20341000.0,0.0,-11759000.0,-222153000.0,-65426000.0,-334460000.0,-550185000.0,0.0,864304000.0,0.0,-4385448000.0,-4385448000.0,-4385448000.0,0.0,0.0,-3.487,6996927000.0,-6314713000.0,340534000,-0.01,0.334,-0.095,-0.095,5375809000,0.0,1.19,0.332,0.33,187506000,-1058954000,1257560000.0,1257560000.0,0.0,-0.484,-1.312,-0.537,-4.904,30604000.0,144564000.0,1.0,350812556,348802000,348802000.0,3.605,5919824000,1539000,-1940534000.0,853628000,16.972,-28307000
5,DNRCQ,ARY,2014-12-31,2015-02-27,2014-12-31,2020-11-19,-209000,12727802000,12183872500.0,812680000,11915122000,0.2,16.345,-1072451000.0,23153000,23153000,737160000.0,635491000.0,1.27,1.231,3571370000,35470000,3535900000,3571370000,0,592972000.0,0,0.03,0.251,1205560000.0,1798532000.0,0.739,1798532000.0,1205560000.0,1022557000.0,1.82,1.81,1.82,5703856000,5322369750.0,5703856000,6543955234,5.0,3.638,150374000.0,0.431,1.0,1698045000.0,0.697,1283590000,183003000.0,14352304000,13830686000.0,0,506546000,440359000,66187000,7023946000,640125000,6383821000,2995738234,10966000.0,0.0,-211356000.0,181906000.0,-87044000.0,-135104000.0,-1076755000.0,0.0,1222825000.0,0.0,635491000.0,635491000.0,635491000.0,0.0,0.0,0.261,933832000.0,764213000.0,522928000,0.138,0.525,4.714,4.615,10352244000,0.0,8.4,1.23,1.204,338716000,3392465000,2435205000.0,2435205000.0,0.0,0.052,0.119,0.087,0.495,30513000.0,158343000.0,1.0,356635504,348962000,351167000.0,6.978,11444212000,0,387066000.0,2776569000,32.795,172555000
6,DNRCQ,ARY,2013-12-31,2014-02-28,2013-12-31,2020-11-19,-276000,11788737000,11555914250.0,414559000,11374178000,0.218,14.459,-1179457000.0,12187000,12187000,796736000.0,409597000.0,0.614,1.224,3296782000,36157000,3260625000,3296782000,0,509943000.0,0,0.004,0.063,783089000.0,1293032000.0,0.514,1293032000.0,783089000.0,642380000.0,1.12,1.11,1.12,5301406000,5247725000.0,5301406000,9108475686,12.0,7.044,181738000.0,0.496,1.0,1720391000.0,0.683,1283590000,140709000.0,13114543000,12877332750.0,0,9947000,5000,9942000,6487331000,675199000,5812132000,5823880686,-86324000.0,-10385000.0,-281958000.0,132094000.0,0.0,-172210000.0,-1275309000.0,0.0,1361195000.0,0.0,409597000.0,409597000.0,409597000.0,0.0,0.0,0.163,851627000.0,868764000.0,585220000,0.056,1.099,14.219,14.607,9851278000,0.0,16.36,2.314,2.383,340342000,2844432000,2517127000.0,2517127000.0,0.0,0.035,0.078,0.061,0.311,33003000.0,145211000.0,1.0,355982927,366659000,369877000.0,6.865,10505147000,52754000,232783000.0,2399294000,28.651,-260640000
7,DNRCQ,ARY,2012-12-31,2013-02-28,2012-12-31,2020-11-19,-348000,11139342000,10880691500.0,1542754000,9596588000,0.226,13.278,-1705407000.0,1148526000,1148526000,599889000.0,525360000.0,2.503,1.178,3141428000,36966000,3104462000,3141428000,0,507538000.0,0,0.0,0.0,1010438000.0,1517976000.0,0.618,1517976000.0,1010438000.0,856857000.0,1.36,1.35,1.36,5114889000,5103937000.0,5114889000,8760044258,9.0,5.771,-294516000.0,-0.765,1.0,1856583000.0,0.756,1283590000,153581000.0,11232233000,11559772250.0,0,19513000,19477000,36000,6024453000,616421000,5408032000,6767142258,79818000.0,281669000.0,-251480000.0,314966000.0,0.0,45768000.0,-1376841000.0,83545000.0,1410891000.0,0.0,525360000.0,525360000.0,525360000.0,0.0,0.0,0.214,850979000.0,1005604000.0,576613000,0.0,1.323,12.881,13.324,8077110000,0.0,18.12,2.755,2.841,335102000,2434835000,2456472000.0,2456472000.0,0.0,0.048,0.103,0.087,0.411,29310000.0,144019000.0,1.0,373462597,385205000,388938000.0,6.377,9855752000,29156000,331497000.0,2153452000,25.586,926333000
8,DNRCQ,ARY,2011-12-31,2012-02-28,2011-12-31,2020-11-19,-418000,10184424000,9630549750.0,684113000,9500311000,0.24,12.137,-1369710000.0,18693000,18693000,547702000.0,573333000.0,1.035,1.119,2678045000,8316000,2669729000,2678045000,0,409196000.0,0,0.0,0.0,1088405000.0,1497601000.0,0.649,1497601000.0,1088405000.0,924045000.0,1.45,1.43,1.45,4806498000,4692987250.0,4806498000,10636731778,10.0,7.103,-164896000.0,-0.416,1.0,1761622000.0,0.763,1236318000,164360000.0,10946191000,10120152250.0,0,134113000,134084000,29000,5377926000,661267000,4716659000,7977379778,-363176000.0,-199263000.0,-179307000.0,233740000.0,0.0,37968000.0,-1605958000.0,0.0,1204814000.0,0.0,573333000.0,573333000.0,573333000.0,0.0,0.0,0.248,709583000.0,1052039000.0,626428000,0.0,1.66,13.914,14.097,8011625000,0.0,20.44,3.454,3.505,459135000,1909475000,2309324000.0,2309324000.0,0.0,0.06,0.122,0.108,0.471,33190000.0,125525000.0,1.0,390282768,396023000,400958000.0,5.831,8948106000,50156000,350712000.0,1918576000,22.595,22846000
9,DNRCQ,ARY,2010-12-31,2011-03-01,2010-12-31,2020-11-19,-488000,9065063000,9798526500.0,864318000,8200745000,0.196,11.812,459691000.0,381869000,381869000,624181000.0,285527000.0,1.492,1.069,2424156000,7948000,2416208000,2424156000,0,434307000.0,0,0.0,0.0,641379000.0,1075686000.0,0.56,1075686000.0,641379000.0,465266000.0,0.73,0.72,0.73,4380707000,4301469000.0,4380707000,11622702461,18.0,10.805,1315502000.0,3.547,1.0,1297610000.0,0.675,1232418000,176113000.0,9295587000,10663307500.0,0,130181000,117262000,12919000,4684356000,579345000,4105011000,9580415461,361278000.0,-784622000.0,13065000.0,-110989000.0,0.0,-139753000.0,-354780000.0,0.0,855811000.0,0.0,271723000.0,271723000.0,271723000.0,0.0,13804000.0,0.141,666260000.0,631350000.0,489143000,0.0,2.187,35.258,32.726,6737358000,0.0,23.89,4.985,4.61,337733000,1336142000,1921791000.0,1921791000.0,0.0,0.028,0.063,0.06,0.334,35366000.0,139682000.0,1.0,401021995,370876000,376255000.0,5.182,7832645000,27454000,193543000.0,1547992000,21.119,284973000
