None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,EDS,MRY,2007-12-31,2007-12-31,2007-12-31,2018-12-13,1070000000.0,19224000000.0,18617250000.0,8445000000.0,10779000000.0,1.189,18.924,-1103000000.0,3139000000.0,3139000000.0,18936000000.0,716000000.0,1.718,0.984,3377000000.0,168000000.0,3209000000.0,3377000000.0,1473000000.0,1441000000.0,0.0,0.01,0.2,1301000000.0,2742000000.0,0.124,2742000000.0,1301000000.0,1076000000.0,1.4,1.35,1.4,9691000000.0,8590000000.0,9691000000.0,10878667139.0,8.0,3.967,938000000.0,1.832,1.0,3198000000.0,0.144,6021000000.0,225000000.0,8525000000.0,8270750000.0,0.0,1154000000.0,55000000.0,1099000000.0,9533000000.0,4916000000.0,4617000000.0,10615667139.0,167000000.0,-408000000.0,-391000000.0,-179000000.0,-102000000.0,-504000000.0,-1386000000.0,-4000000.0,2041000000.0,16000000.0,716000000.0,716000000.0,716000000.0,13000000.0,0.0,0.032,2066000000.0,1132000000.0,605000000.0,0.143,1.095,14.826,14.807,2489000000.0,0.0,20.73,0.48,0.48,3603000000.0,6158000000.0,22134000000.0,22134000000.0,0.0,0.038,0.083,0.157,0.059,0.0,1910000000.0,1.0,512091999.0,512091999.0,,43.223,13203000000.0,876000000.0,360000000.0,54000000.0,25.782,3529000000.0
1,EDS,MRY,2006-12-31,2006-12-31,2006-12-31,2018-12-13,-182000000.0,17954000000.0,17384000000.0,8257000000.0,9697000000.0,1.223,15.266,-1156000000.0,2972000000.0,2972000000.0,18579000000.0,470000000.0,1.578,1.274,3092000000.0,127000000.0,2965000000.0,3092000000.0,1669000000.0,1337000000.0,0.0,0.007,0.2,966000000.0,2303000000.0,0.108,2303000000.0,966000000.0,727000000.0,0.91,0.89,0.91,7896000000.0,7675250000.0,7896000000.0,15379519244.0,16.0,6.678,777000000.0,1.502,1.0,2689000000.0,0.126,5114000000.0,239000000.0,7726000000.0,8501750000.0,0.0,681000000.0,45000000.0,636000000.0,10058000000.0,5234000000.0,4824000000.0,14249519244.0,1073000000.0,-410000000.0,-667000000.0,-357000000.0,-104000000.0,-834000000.0,-33000000.0,1279000000.0,1933000000.0,7000000.0,470000000.0,470000000.0,470000000.0,29000000.0,0.0,0.022,1873000000.0,816000000.0,677000000.0,0.22,1.805,30.318,30.275,2179000000.0,0.0,27.55,0.67,0.67,3647000000.0,5630000000.0,21268000000.0,21268000000.0,0.0,0.027,0.061,0.114,0.045,0.0,1858000000.0,1.0,517223929.0,517223929.0,,41.12,12840000000.0,1688000000.0,257000000.0,72000000.0,24.825,3023000000.0
2,EDS,MRY,2005-12-31,2005-12-31,2005-12-31,2018-12-13,-367000000.0,17087000000.0,17112250000.0,8502000000.0,8585000000.0,1.155,14.403,-1018000000.0,1899000000.0,1899000000.0,17422000000.0,150000000.0,1.684,1.275,3253000000.0,314000000.0,2939000000.0,3253000000.0,1329000000.0,1384000000.0,0.0,0.008,0.2,544000000.0,1928000000.0,0.098,1928000000.0,544000000.0,303000000.0,0.29,0.28,0.29,7512000000.0,7406750000.0,7512000000.0,14050838789.0,26.0,7.288,278000000.0,0.533,1.0,2335000000.0,0.118,4472000000.0,241000000.0,8921000000.0,9370000000.0,0.0,2005000000.0,1321000000.0,684000000.0,9575000000.0,5048000000.0,4527000000.0,12537838789.0,-203000000.0,-392000000.0,0.0,-704000000.0,-105000000.0,-681000000.0,-797000000.0,123000000.0,1296000000.0,-21000000.0,150000000.0,150000000.0,150000000.0,136000000.0,0.0,0.008,1793000000.0,542000000.0,492000000.0,0.69,1.669,83.586,82.897,1967000000.0,0.0,24.04,0.635,0.635,3311000000.0,5371000000.0,19757000000.0,19757000000.0,0.0,0.009,0.02,0.058,0.028,0.0,1819000000.0,1.0,521540715.0,521540715.0,,37.882,12615000000.0,1602000000.0,153000000.0,208000000.0,24.188,3454000000.0
3,EDS,MRY,2004-12-31,2004-12-31,2004-12-31,2018-12-13,-59000000.0,17744000000.0,17743500000.0,8671000000.0,9073000000.0,1.119,14.479,-968000000.0,2102000000.0,2102000000.0,18224000000.0,158000000.0,1.639,1.385,3826000000.0,658000000.0,3168000000.0,3826000000.0,1061000000.0,1896000000.0,0.0,0.017,0.4,376000000.0,2272000000.0,0.114,2272000000.0,376000000.0,55000000.0,0.32,0.32,0.32,7440000000.0,6871750000.0,7440000000.0,13164986074.0,35.0,5.794,310000000.0,0.603,1.0,1639000000.0,0.083,4259000000.0,321000000.0,9920000000.0,9261250000.0,0.0,2512000000.0,1453000000.0,1059000000.0,10304000000.0,5289000000.0,5015000000.0,11869986074.0,-95000000.0,2051000000.0,198000000.0,-722000000.0,-200000000.0,-663000000.0,-758000000.0,-1381000000.0,1278000000.0,48000000.0,158000000.0,158000000.0,158000000.0,-429000000.0,0.0,0.008,1741000000.0,-102000000.0,472000000.0,1.25,1.595,75.126,72.188,2181000000.0,0.0,23.1,0.598,0.598,3161000000.0,5492000000.0,19863000000.0,19863000000.0,0.0,0.009,0.023,0.041,0.019,0.0,1571000000.0,1.0,513852211.0,513852211.0,,38.655,13485000000.0,1468000000.0,-103000000.0,58000000.0,26.243,3382000000.0
4,EDS,MRY,2003-12-31,2003-12-31,2003-12-31,2018-12-13,-131000000.0,18616000000.0,19101000000.0,8204000000.0,10412000000.0,1.034,11.895,-1197000000.0,2197000000.0,2197000000.0,18261000000.0,-1698000000.0,1.084,2.258,5763000000.0,2275000000.0,3488000000.0,5763000000.0,1079000000.0,2529000000.0,0.0,0.024,0.6,-1602000000.0,927000000.0,0.047,927000000.0,-1602000000.0,-1903000000.0,-3.55,-3.55,-3.55,5714000000.0,6423500000.0,5714000000.0,15999153591.0,-10.0,17.259,298000000.0,0.62,1.0,1497000000.0,0.076,4703000000.0,301000000.0,9909000000.0,10759500000.0,0.0,1167000000.0,116000000.0,1051000000.0,12902000000.0,7570000000.0,5332000000.0,11788153591.0,555000000.0,244000000.0,0.0,202000000.0,-287000000.0,-71000000.0,-809000000.0,101000000.0,1495000000.0,-60000000.0,-1698000000.0,-1698000000.0,-1698000000.0,-46000000.0,0.0,-0.086,1752000000.0,-255000000.0,572000000.0,-0.169,2.063,-6.942,-6.913,2818000000.0,0.0,24.54,0.597,0.597,3101000000.0,5812000000.0,19758000000.0,19758000000.0,0.0,-0.089,-0.264,-0.149,-0.081,0.0,1577000000.0,1.0,480364857.0,480364857.0,,41.131,13913000000.0,1166000000.0,-205000000.0,50000000.0,28.963,634000000.0
5,EDS,MRY,2002-12-31,2002-12-31,2002-12-31,2018-12-13,-689000000.0,18880000000.0,17616500000.0,9269000000.0,9611000000.0,1.163,14.74,-1340000000.0,1642000000.0,1642000000.0,17186000000.0,1116000000.0,1.512,1.689,5387000000.0,1239000000.0,4148000000.0,5387000000.0,830000000.0,1443000000.0,0.0,0.033,0.6,1853000000.0,3296000000.0,0.161,3296000000.0,1853000000.0,1595000000.0,2.33,2.28,2.33,7022000000.0,6734000000.0,7022000000.0,13627970558.0,7.0,4.135,906000000.0,1.902,1.0,3300000000.0,0.161,5486000000.0,258000000.0,11010000000.0,11286000000.0,0.0,1350000000.0,248000000.0,1102000000.0,11858000000.0,6129000000.0,5729000000.0,8779970558.0,1121000000.0,194000000.0,-380000000.0,427000000.0,-287000000.0,-166000000.0,-997000000.0,40000000.0,2246000000.0,38000000.0,1116000000.0,1116000000.0,1116000000.0,-202000000.0,0.0,0.054,1564000000.0,1736000000.0,710000000.0,0.258,1.25,7.867,7.91,3023000000.0,0.0,18.43,0.429,0.429,6435000000.0,7951000000.0,20486000000.0,20486000000.0,0.0,0.063,0.166,0.164,0.09,0.0,1567000000.0,1.0,476395581.0,476395581.0,,43.002,13394000000.0,0.0,479000000.0,437000000.0,28.115,3140000000.0
6,EDS,MRY,2001-12-31,2001-12-31,2001-12-31,2018-12-13,-560000000.0,16353000000.0,14522500000.0,7374000000.0,8979000000.0,1.448,13.685,-1579000000.0,521000000.0,521000000.0,16982000000.0,1363000000.0,1.838,1.537,4728000000.0,36000000.0,4692000000.0,4728000000.0,488000000.0,1482000000.0,0.0,0.009,0.6,2373000000.0,3855000000.0,0.183,3855000000.0,2373000000.0,2160000000.0,2.9,2.81,2.9,6446000000.0,5792500000.0,6446000000.0,35636117057.0,15.0,9.244,143000000.0,0.304,1.0,4051000000.0,0.193,4986000000.0,213000000.0,11562000000.0,9559000000.0,0.0,1229000000.0,318000000.0,911000000.0,9907000000.0,4012000000.0,5895000000.0,32289117057.0,128000000.0,-2063000000.0,0.0,2086000000.0,-283000000.0,2064000000.0,-3588000000.0,0.0,1722000000.0,-70000000.0,1363000000.0,1363000000.0,1363000000.0,-28000000.0,0.0,0.065,1997000000.0,2054000000.0,3298000000.0,0.207,5.009,23.69,23.638,3082000000.0,0.0,68.55,1.535,1.535,5642000000.0,7122000000.0,21033000000.0,21033000000.0,0.0,0.094,0.235,0.248,0.113,0.0,1868000000.0,1.0,471030154.0,471030154.0,,44.653,11367000000.0,0.0,797000000.0,424000000.0,24.132,3362000000.0
7,EDS,MRY,2000-12-31,2000-12-31,2000-12-31,2018-12-13,-238000000.0,12692000000.0,12541775000.0,6159000000.0,6533000000.0,1.503,10.989,-1369000000.0,393000000.0,393000000.0,15289000000.0,1143000000.0,1.429,1.47,2598000000.0,13000000.0,2585000000.0,2598000000.0,552000000.0,1431000000.0,0.0,0.01,0.6,1813000000.0,3244000000.0,0.172,3244000000.0,1813000000.0,1786000000.0,2.45,2.4,2.45,5139000000.0,4890575000.0,5139000000.0,29403667035.0,16.0,9.064,190000000.0,0.406,1.0,3567000000.0,0.189,3031000000.0,27000000.0,7556000000.0,7794725000.0,0.0,1328000000.0,300000000.0,1028000000.0,7553000000.0,4310000000.0,3243000000.0,27005667035.0,-113000000.0,-191000000.0,-332000000.0,161000000.0,-280000000.0,-352000000.0,-1247000000.0,173000000.0,1559000000.0,-73000000.0,1143000000.0,1143000000.0,1143000000.0,-24000000.0,0.0,0.061,1778000000.0,1789000000.0,3633000000.0,0.245,5.255,23.627,23.571,2474000000.0,0.0,57.75,1.432,1.432,4756000000.0,6042000000.0,18856000000.0,18856000000.0,0.0,0.091,0.234,0.233,0.096,0.0,1776000000.0,1.0,467630598.0,467630598.0,,40.322,9661000000.0,0.0,643000000.0,241000000.0,20.659,1849000000.0
8,EDS,MRY,1999-12-31,1999-12-31,1999-12-31,2018-12-13,-79700000.0,12522300000.0,12261825000.0,5877700000.0,6644600000.0,1.528,9.632,-945000000.0,506400000.0,506400000.0,15368000000.0,421000000.0,1.176,1.762,2709300000.0,493600000.0,2215700000.0,2709300000.0,718300000.0,1436000000.0,0.0,0.009,0.6,473000000.0,1909000000.0,0.102,1909000000.0,473000000.0,658000000.0,0.87,0.85,0.87,4534600000.0,5276425000.0,4534600000.0,33562939267.0,71.0,17.581,991000000.0,2.105,1.0,3364000000.0,0.18,2880600000.0,-185000000.0,6848600000.0,6955750000.0,0.0,1523900000.0,219700000.0,1304200000.0,7987700000.0,4996000000.0,2991700000.0,31512939267.0,-515000000.0,-1656000000.0,-1836000000.0,1411000000.0,-292000000.0,-576000000.0,-1740000000.0,232000000.0,1936000000.0,-135000000.0,421000000.0,421000000.0,421000000.0,0.0,0.0,0.022,2891000000.0,473000000.0,3690700000.0,0.69,6.949,74.853,76.94,2459800000.0,0.0,66.938,1.682,1.682,4454200000.0,5179200000.0,18732000000.0,18732000000.0,0.0,0.034,0.08,0.068,0.025,0.0,1853000000.0,1.0,470781539.0,470781539.0,,39.789,9641700000.0,0.0,237000000.0,361600000.0,20.48,881700000.0
9,EDS,MRY,1998-12-31,1998-12-31,1998-12-31,2018-12-13,-96200000.0,11526100000.0,11366875000.0,5633300000.0,5892800000.0,1.517,12.007,-1114000000.0,1038800000.0,1038800000.0,14290100000.0,743400000.0,1.54,0.948,1232000000.0,47700000.0,1184300000.0,1232000000.0,593300000.0,1393700000.0,0.0,0.012,0.6,1133700000.0,2527400000.0,0.147,2527400000.0,1133700000.0,1133700000.0,1.51,1.5,1.51,5916500000.0,5701500000.0,5916500000.0,25396483820.0,22.0,10.048,968800000.0,1.966,1.0,2952800000.0,0.171,1467100000.0,0.0,6595400000.0,7110975000.0,0.0,1990500000.0,272900000.0,1717600000.0,5609600000.0,3656800000.0,1952800000.0,24730183820.0,344300000.0,300300000.0,-93300000.0,-656900000.0,-295300000.0,-953700000.0,-778800000.0,13300000.0,2082800000.0,-6000000.0,743400000.0,743400000.0,743400000.0,0.0,0.0,0.043,1886000000.0,1066800000.0,2840900000.0,0.397,4.18,33.266,33.237,2708100000.0,0.0,50.188,1.434,1.434,3835000000.0,5049700000.0,17242900000.0,17242900000.0,0.0,0.065,0.13,0.159,0.066,0.0,1837900000.0,1.0,492755842.0,492755842.0,,34.993,10059000000.0,0.0,390300000.0,537500000.0,20.414,1976500000.0
