None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,FISV,ARY,2020-12-31,2021-02-26,2020-12-31,2021-07-28,-387000000,74619000000,74170500000.0,16219000000.0,58400000000.0,0.2,48.103,-900000000.0,906000000,906000000,7812000000.0,975000000.0,1.037,1.277,20684000000,384000000.0,20300000000.0,20684000000,546000000,3210000000.0,0,0.0,0.0,1863000000.0,5073000000.0,0.342,5073000000.0,1863000000.0,1154000000.0,1.42,1.4,1.42,32330000000,31862000000.0,32330000000,97013586009,52.0,19.124,3247000000.0,4.831,1.0,7040000000.0,0.474,51680000000,709000000.0,27080000000,28105000000.0,0,2756000000,0.0,2756000000.0,41290000000,15637000000.0,25653000000.0,77235586009,-14000000.0,440000000.0,-1693000000.0,-2043000000.0,0.0,-3836000000.0,-341000000.0,-1000000.0,4147000000.0,16000000.0,958000000.0,958000000.0,958000000.0,0.0,17000000.0,0.065,5188000000.0,1852000000.0,3186000000,0.0,2.389,80.622,81.246,1628000000,0.0,115.37,5.2,5.221,2482000000,13441000000,14852000000.0,14852000000.0,0.0,0.013,0.03,0.066,0.125,369000000.0,5652000000.0,1.0,669459877,672100000,683400000.0,22.098,22939000000,0,196000000.0,4389000000,34.13,582000000.0
1,FISV,ARY,2019-12-31,2020-02-27,2019-12-31,2021-07-28,-180000000,77539000000,46679750000.0,17046000000.0,60493000000.0,0.218,64.374,-721000000.0,893000000,893000000,5309000000.0,914000000.0,1.084,1.294,21899000000,287000000.0,21612000000.0,21899000000,492000000,1651000000.0,0,0.0,0.0,1564000000.0,3215000000.0,0.316,3215000000.0,1564000000.0,1091000000.0,1.74,1.71,1.74,32979000000,17647000000.0,32979000000,94715381907,61.0,29.46,2074000000.0,4.048,1.0,4878000000.0,0.479,53680000000,473000000.0,29138000000,20201500000.0,0,2720000000,0.0,2720000000.0,42682000000,15727000000.0,26955000000.0,73709381907,518000000.0,-15954000000.0,-405000000.0,14740000000.0,0.0,14191000000.0,-16469000000.0,-45000000.0,2795000000.0,1000000.0,893000000.0,893000000.0,893000000.0,0.0,21000000.0,0.088,3269000000.0,1609000000.0,3080000000,0.0,2.235,82.541,62.379,1606000000,0.0,108.54,7.236,5.458,2782000000,12528000000,10187000000.0,10187000000.0,0.0,0.019,0.051,0.077,0.154,229000000.0,3284000000.0,1.0,679098783,512300000,522600000.0,19.885,23859000000,0,198000000.0,4247000000,46.572,1319000000.0
2,FISV,ARY,2018-12-31,2019-02-21,2018-12-31,2021-07-28,-67000000,11262000000,10598750000.0,2224000000.0,9038000000.0,0.549,5.655,-360000000.0,415000000,415000000,3069000000.0,1187000000.0,1.106,3.911,5959000000,4000000.0,5955000000.0,5959000000,380000000,556000000.0,0,0.0,0.0,1758000000.0,2314000000.0,0.397,2314000000.0,1758000000.0,1565000000.0,2.93,2.87,2.93,2293000000,2693750000.0,2293000000,38730995792,22.0,16.738,1185000000.0,2.922,1.0,2754000000.0,0.473,7845000000,193000000.0,6951000000,5964500000.0,0,0,0.0,0.0,8969000000,2010000000.0,6959000000.0,33186995792,133000000.0,-293000000.0,-1871000000.0,1034000000.0,0.0,-842000000.0,-613000000.0,-3000000.0,1545000000.0,0.0,1187000000.0,1187000000.0,1187000000.0,0.0,0.0,0.204,1001000000.0,1753000000.0,1626000000,0.0,14.473,27.959,28.925,398000000,0.0,84.75,5.699,5.902,1049000000,11635000000,5823000000.0,5823000000.0,0.0,0.112,0.441,0.295,0.302,73000000.0,1228000000.0,1.0,391586971,405500000,413700000.0,14.36,3417000000,0,378000000.0,745000000,8.427,214000000.0
3,FISV,ARY,2017-12-31,2018-02-22,2017-12-31,2021-07-28,-54000000,10289000000,9967250000.0,1975000000.0,8314000000.0,0.571,6.468,-287000000.0,325000000,325000000,3024000000.0,1246000000.0,1.019,2.767,4900000000,3000000.0,4897000000.0,4900000000,552000000,433000000.0,0,0.0,0.0,1580000000.0,2013000000.0,0.353,2013000000.0,1580000000.0,1404000000.0,2.95,2.89,2.95,2731000000,2474000000.0,2731000000,33936043553,21.0,16.858,1196000000.0,2.833,1.0,2672000000.0,0.469,7472000000,176000000.0,5454000000,5308250000.0,0,0,0.0,0.0,7558000000,1938000000.0,5620000000.0,29361043553,6000000.0,-367000000.0,-1145000000.0,325000000.0,0.0,-820000000.0,-657000000.0,-10000000.0,1483000000.0,0.0,1246000000.0,1246000000.0,1246000000.0,-14000000.0,0.0,0.219,1150000000.0,1522000000.0,1383000000,0.0,10.751,23.564,24.086,390000000,0.0,71.055,5.155,5.267,997000000,10240000000,5696000000.0,5696000000.0,0.0,0.125,0.504,0.298,0.277,63000000.0,1150000000.0,1.0,413215728,422200000,431200000.0,13.491,2817000000,0,158000000.0,552000000,6.672,37000000.0
4,FISV,ARY,2016-12-31,2017-02-23,2016-12-31,2021-07-28,-76000000,9743000000,9615500000.0,1728000000.0,8015000000.0,0.573,5.767,-290000000.0,300000000,300000000,2959000000.0,930000000.0,0.949,2.834,4562000000,95000000.0,4467000000.0,4562000000,483000000,411000000.0,0,0.0,0.0,1585000000.0,1996000000.0,0.363,1996000000.0,1585000000.0,1422000000.0,2.11,2.075,2.11,2541000000,2609000000.0,2541000000,28915397855,18.0,14.487,1141000000.0,2.59,1.0,2546000000.0,0.462,7206000000,163000000.0,4979000000,5033750000.0,0,0,0.0,0.0,7202000000,1820000000.0,5382000000.0,24653397855,25000000.0,-265000000.0,-1166000000.0,263000000.0,0.0,-852000000.0,-554000000.0,-1000000.0,1431000000.0,0.0,930000000.0,930000000.0,930000000.0,0.0,0.0,0.169,1101000000.0,1445000000.0,1242000000,0.0,9.702,26.509,27.227,405000000,0.0,57.45,4.478,4.598,902000000,8994000000,5505000000.0,5505000000.0,0.0,0.097,0.356,0.315,0.288,17000000.0,1101000000.0,1.0,429127900,440600000,447800000.0,12.494,2537000000,0,492000000.0,762000000,5.758,-92000000.0
5,FISV,ARY,2015-12-31,2016-02-19,2015-12-31,2021-07-28,-74000000,9340000000,9412500000.0,1506000000.0,7834000000.0,0.558,5.686,-359000000.0,275000000,275000000,2909000000.0,712000000.0,1.003,2.511,4293000000,5000000.0,4288000000.0,4293000000,473000000,417000000.0,0,0.0,0.0,1258000000.0,1675000000.0,0.319,1675000000.0,1258000000.0,1089000000.0,1.52,1.495,1.52,2660000000,2972500000.0,2660000000,25564890142,20.0,15.263,987000000.0,2.11,1.0,2345000000.0,0.446,7072000000,169000000.0,4784000000,4651250000.0,0,0,0.0,0.0,6680000000,1502000000.0,5178000000.0,21546890142,-19000000.0,0.0,-1451000000.0,414000000.0,0.0,-1005000000.0,-360000000.0,1000000.0,1346000000.0,0.0,712000000.0,712000000.0,712000000.0,0.0,0.0,0.136,1034000000.0,1311000000.0,1024000000,0.0,8.1,30.262,31.793,396000000,0.0,48.325,4.101,4.303,802000000,8064000000,5254000000.0,5254000000.0,0.0,0.076,0.24,0.27,0.239,27000000.0,1034000000.0,1.0,445874602,467800000,476000000.0,11.231,2268000000,0,377000000.0,726000000,4.848,4000000.0
6,FISV,ARY,2014-12-31,2015-02-20,2014-12-31,2021-07-28,-63000000,9337000000,9412750000.0,1486000000.0,7851000000.0,0.538,6.627,-292000000.0,294000000,294000000,2881000000.0,754000000.0,1.0,1.834,3803000000,92000000.0,3711000000.0,3803000000,489000000,404000000.0,0,0.0,0.0,1302000000.0,1706000000.0,0.337,1706000000.0,1302000000.0,1138000000.0,1.515,1.49,1.515,3295000000,3418750000.0,3295000000,22377667026,17.0,13.117,1014000000.0,2.039,1.0,2185000000.0,0.431,7212000000,164000000.0,4148000000,4225250000.0,0,0,0.0,0.0,6042000000,1486000000.0,4556000000.0,18868667026,-106000000.0,0.0,-1095000000.0,-49000000.0,0.0,-1126000000.0,-286000000.0,7000000.0,1306000000.0,0.0,754000000.0,754000000.0,754000000.0,0.0,0.0,0.149,975000000.0,1210000000.0,905000000,0.0,5.726,25.025,26.089,317000000,0.0,39.525,3.725,3.879,798000000,7352000000,5066000000.0,5066000000.0,0.0,0.08,0.221,0.308,0.257,49000000.0,975000000.0,1.0,477385630,497200000,505400000.0,10.189,2125000000,42000000,384000000.0,716000000,4.274,0.0
7,FISV,ARY,2013-12-31,2014-02-20,2013-12-31,2021-07-28,-60000000,9513000000,9491500000.0,1572000000.0,7941000000.0,0.507,6.831,-236000000.0,400000000,400000000,2776000000.0,648000000.0,1.18,1.654,3848000000,92000000.0,3756000000.0,3848000000,484000000,403000000.0,0,0.0,0.0,1140000000.0,1543000000.0,0.321,1543000000.0,1140000000.0,976000000.0,1.235,1.22,1.235,3585000000,3501250000.0,3585000000,17999539385,16.0,11.665,792000000.0,1.509,1.0,2038000000.0,0.423,7358000000,164000000.0,4271000000,4437250000.0,0,0,0.0,0.0,5928000000,1332000000.0,4596000000.0,14551539385,42000000.0,86000000.0,-529000000.0,-338000000.0,0.0,-873000000.0,-113000000.0,4000000.0,1028000000.0,0.0,648000000.0,648000000.0,648000000.0,2000000.0,0.0,0.135,977000000.0,1061000000.0,756000000,0.0,4.059,22.456,23.15,266000000,0.0,28.59,3.023,3.117,751000000,6598000000,4814000000.0,4814000000.0,0.0,0.068,0.185,0.257,0.237,46000000.0,977000000.0,1.0,508973046,524800000,532200000.0,9.173,2155000000,55000000,328000000.0,713000000,4.106,240000000.0
8,FISV,ARY,2012-12-31,2013-02-22,2012-12-31,2021-07-28,-60000000,8497000000,8462500000.0,1412000000.0,7085000000.0,0.53,6.291,-195000000.0,358000000,358000000,2597000000.0,611000000.0,1.278,1.487,3230000000,2000000.0,3228000000.0,3230000000,379000000,354000000.0,0,0.0,0.0,1088000000.0,1442000000.0,0.322,1442000000.0,1088000000.0,914000000.0,1.125,1.11,1.125,3417000000,3285750000.0,3417000000,13584323167,12.0,9.42,670000000.0,1.233,1.0,1885000000.0,0.421,6479000000,174000000.0,3785000000,3808500000.0,0,0,0.0,0.0,5080000000,1105000000.0,3975000000.0,10712323167,21000000.0,32000000.0,-538000000.0,-173000000.0,0.0,-706000000.0,-138000000.0,28000000.0,865000000.0,0.0,611000000.0,611000000.0,611000000.0,-14000000.0,0.0,0.136,829000000.0,1056000000.0,724000000,0.0,3.135,17.532,17.831,249000000,0.0,20.06,2.39,2.431,663000000,5950000000,4482000000.0,4482000000.0,0.0,0.072,0.186,0.286,0.243,44000000.0,829000000.0,1.0,534014116,543200000,550000000.0,8.251,2018000000,42000000,303000000.0,638000000,3.715,307000000.0
9,FISV,ARY,2011-12-31,2012-02-24,2011-12-31,2021-07-28,-78000000,8548000000,8413000000.0,1356000000.0,7192000000.0,0.516,5.712,-192000000.0,337000000,337000000,2542000000.0,472000000.0,0.98,1.624,3395000000,179000000.0,3216000000.0,3395000000,369000000,349000000.0,0,0.0,0.0,916000000.0,1265000000.0,0.292,1265000000.0,916000000.0,728000000.0,0.828,0.82,0.828,3258000000,3158500000.0,3258000000,12325422825,13.0,9.743,745000000.0,1.306,1.0,1795000000.0,0.414,6601000000,188000000.0,3621000000,3861750000.0,0,0,0.0,0.0,5290000000,1384000000.0,3906000000.0,9267422825,-226000000.0,-469000000.0,-460000000.0,-37000000.0,0.0,-498000000.0,-665000000.0,0.0,937000000.0,0.0,472000000.0,472000000.0,472000000.0,19000000.0,0.0,0.109,799000000.0,996000000.0,836000000,0.0,2.845,19.634,20.19,258000000,0.0,16.718,2.137,2.199,666000000,5339000000,4337000000.0,4337000000.0,0.0,0.056,0.149,0.237,0.211,39000000.0,799000000.0,1.0,554354588,570400000,576800000.0,7.603,1947000000,44000000,256000000.0,617000000,3.413,-28000000.0
10,FISV,ARY,2010-12-31,2011-02-24,2010-12-31,2021-07-28,-50000000,8281000000,8346500000.0,1417000000.0,6864000000.0,0.495,5.367,-175000000.0,563000000,563000000,2386000000.0,496000000.0,1.59,1.565,3356000000,3000000.0,3353000000.0,3356000000,351000000,339000000.0,0,0.0,0.0,995000000.0,1334000000.0,0.323,1334000000.0,995000000.0,797000000.0,0.825,0.818,0.825,3229000000,3174000000.0,3229000000,11851241033,12.0,8.884,797000000.0,1.325,1.0,1747000000.0,0.423,6256000000,198000000.0,3927000000,4075250000.0,0,0,0.0,0.0,5052000000,891000000.0,4161000000.0,9058241033,200000000.0,40000000.0,-351000000.0,-312000000.0,0.0,-671000000.0,-101000000.0,0.0,972000000.0,0.0,496000000.0,496000000.0,496000000.0,10000000.0,0.0,0.12,740000000.0,1007000000.0,537000000,0.0,2.805,18.263,18.791,267000000,0.0,15.502,2.192,2.257,572000000,4867000000,4133000000.0,4133000000.0,0.0,0.059,0.156,0.244,0.241,39000000.0,740000000.0,1.0,584308404,601600000,606800000.0,6.87,2025000000,37000000,301000000.0,627000000,3.366,526000000.0
11,FISV,ARY,2009-12-31,2010-02-26,2009-12-31,2021-07-28,-69000000,8378000000,9000000000.0,1277000000.0,7101000000.0,0.453,4.896,-198000000.0,363000000,363000000,2380000000.0,476000000.0,1.1,1.769,3641000000,259000000.0,3382000000.0,3641000000,337000000,333000000.0,0,0.0,0.0,969000000.0,1302000000.0,0.319,1302000000.0,969000000.0,749000000.0,0.77,0.765,0.77,3026000000,2871000000.0,3026000000,10621366677,11.0,8.158,646000000.0,1.045,1.0,1697000000.0,0.416,6377000000,220000000.0,4118000000,4432750000.0,0,0,0.0,0.0,5352000000,1161000000.0,4191000000.0,7343366677,95000000.0,-57000000.0,-130000000.0,-475000000.0,0.0,-1422000000.0,673000000.0,0.0,844000000.0,0.0,476000000.0,476000000.0,476000000.0,-3000000.0,0.0,0.117,751000000.0,946000000.0,565000000,0.0,2.427,15.427,15.653,293000000,0.0,12.053,1.801,1.827,554000000,4371000000,4077000000.0,4077000000.0,0.0,0.053,0.166,0.219,0.238,36000000.0,751000000.0,1.0,609281616,618000000,621600000.0,6.597,2001000000,46000000,273000000.0,580000000,3.238,116000000.0
12,FISV,ARY,2008-12-31,2009-02-27,2008-12-31,2021-07-28,-120000000,9331000000,9885250000.0,2145000000.0,7186000000.0,0.479,4.003,-199000000.0,232000000,232000000,3016000000.0,569000000.0,1.048,2.597,4105000000,255000000.0,3850000000.0,4105000000,338000000,362000000.0,0,0.0,0.0,1108000000.0,1470000000.0,0.31,1470000000.0,1108000000.0,848000000.0,0.877,0.873,0.877,2594000000,2727250000.0,2594000000,8961733603,8.0,6.096,255000000.0,0.394,1.0,1723000000.0,0.364,6530000000,260000000.0,4627000000,4949750000.0,0,0,0.0,0.0,6737000000,2047000000.0,4690000000.0,5088733603,-178000000.0,413000000.0,-441000000.0,-1303000000.0,0.0,-1669000000.0,1037000000.0,0.0,454000000.0,0.0,569000000.0,569000000.0,569000000.0,-223000000.0,0.0,0.12,833000000.0,890000000.0,101000000,0.0,1.962,8.943,9.299,303000000,0.0,8.155,1.074,1.115,601000000,3895000000,4739000000.0,4739000000.0,0.0,0.058,0.209,0.224,0.234,32000000.0,833000000.0,1.0,624001668,648000000,652400000.0,7.313,2801000000,71000000,279000000.0,530000000,4.323,98000000.0
