None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,HSY,ARY,2020-12-31,2021-02-17,2020-12-31,2021-09-07,-338082000,9131845000,9038348250.0,2977905000,6153940000,0.902,10.785,-440519000.0,1143987000,1143987000,4448450000.0,1275413000.0,1.574,3.085,4602625000,512870000,4089755000,4602625000,0,294907000.0,0,0.021,2.381,1647666000.0,1942573000.0,0.238,1942573000.0,1647666000.0,1498292000.0,5.72,5.71,5.72,2234352000,1931260500.0,2234352000,34800713000,21.0,17.915,1259138000.0,6.078,1.0,3701269000.0,0.454,3283429000,149374000.0,7415309000,7209971500.0,964207000,0,0,0,6893962000,1891745000,5002217000,31342075000,650725000.0,0.0,-185664000.0,327168000.0,-640732000.0,-499228000.0,-531280000.0,0.0,1699657000.0,-6990000.0,1278708000.0,1278708000.0,1278708000.0,0.0,-3295000.0,0.157,1918571000.0,1782698000.0,580058000,0.551,14.027,24.511,26.449,2285255000,0.0,151.29,3.846,3.846,615233000,1928673000,8149719000.0,8149719000.0,0.0,0.141,0.662,0.229,0.202,57584000.0,1890925000.0,1.0,207165543,207165543,,39.339,5848416000,29369000,219584000.0,246079000,28.231,1086160000
1,HSY,ARY,2019-12-31,2020-02-20,2019-12-31,2021-09-07,-323966000,8140395000,8063897750.0,2117102000,6023293000,0.99,8.292,-290061000.0,493262000,493262000,4363774000.0,1146752000.0,1.054,3.677,4266485000,735672000,3530813000,4266485000,0,291544000.0,0,0.024,3.041,1527849000.0,1819393000.0,0.228,1819393000.0,1527849000.0,1383724000.0,5.12,5.1,5.12,1739222000,1645560250.0,1739222000,37356233217,24.0,20.532,1473812000.0,7.027,1.0,3622478000.0,0.454,3327121000,144125000.0,6577704000,6319335750.0,815251000,0,0,0,6395401000,2008793000,4386608000,33583010217,-94736000.0,-402160000.0,-286405000.0,-184738000.0,-610312000.0,-1081455000.0,-780480000.0,0.0,1763873000.0,3326000.0,1149692000.0,1149692000.0,1149692000.0,0.0,-2940000.0,0.144,2026526000.0,1595952000.0,550828000,0.735,19.309,29.21,31.271,2153139000,0.0,160.11,4.205,4.205,568509000,1290461000,7986252000.0,7986252000.0,0.0,0.143,0.699,0.242,0.191,51899000.0,1905929000.0,1.0,209749611,209749611,,38.075,4813274000,31033000,234032000.0,219939000,22.948,108309000
2,HSY,ARY,2018-12-31,2019-02-22,2018-12-31,2021-09-07,-356780000,7703020000,7569415000.0,2239181000,5463839000,1.029,6.708,-278842000.0,587998000,587998000,4215744000.0,1171051000.0,0.926,4.501,4457596000,1203316000,3254280000,4457596000,0,295144000.0,0,0.026,2.822,1555409000.0,1850553000.0,0.238,1850553000.0,1555409000.0,1416572000.0,5.24,5.22,5.24,1398721000,1163923750.0,1398721000,26852649695,17.0,14.511,1321151000.0,6.336,1.0,3575325000.0,0.459,3079395000,138837000.0,6074657000,5941325000.0,784879000,0,0,0,6295754000,2418566000,3877188000,22983051695,207819000.0,-1171411000.0,-184177000.0,934806000.0,-562521000.0,116108000.0,-1502894000.0,0.0,1599993000.0,-5388000.0,1177562000.0,1177562000.0,1177562000.0,0.0,-6511000.0,0.151,1951661000.0,1623664000.0,502314000,0.539,16.431,19.517,21.034,2130294000,0.0,110.22,2.95,2.95,594145000,7032020000,7791069000.0,7791069000.0,0.0,0.156,1.012,0.262,0.2,49286000.0,1874829000.0,1.0,208519794,208519794,,37.364,4623625000,1166000,239010000.0,210633000,22.174,-179385000
3,HSY,ARY,2017-12-31,2018-02-27,2017-12-31,2021-09-07,-313746000,5553726000,5482954000.0,2001910000,3551816000,1.371,4.349,-250066000.0,380179000,380179000,4070907000.0,756537000.0,0.964,5.05,2920480000,859457000,2061023000,2920480000,0,261853000.0,0,0.026,3.204,1235394000.0,1497247000.0,0.199,1497247000.0,1235394000.0,1137112000.0,3.44,3.44,3.44,915338000,855997750.0,915338000,23207702769,19.0,15.5,999449000.0,4.748,1.0,3444519000.0,0.458,1190217000,98282000.0,4827267000,5019972000.0,752836000,0,0,0,4622161000,2076543000,2545618000,20667401769,83212000.0,0.0,-237024000.0,-80472000.0,-526272000.0,-843768000.0,-328664000.0,0.0,1249515000.0,6129000.0,782981000.0,782981000.0,782981000.0,0.0,-26444000.0,0.104,2169878000.0,1274641000.0,523229000,0.752,22.579,26.396,28.544,2106697000,0.0,98.19,2.75,2.75,588262000,6371082000,7515426000.0,7515426000.0,0.0,0.143,0.915,0.246,0.164,51061000.0,1913403000.0,1.0,210483774,210483774,,35.705,4363509000,3023000,354131000.0,63379000,20.731,-74633000
4,HSY,ARY,2016-12-31,2017-02-21,2016-12-31,2021-09-07,-375888000,5524333000,5560742500.0,1816778000,3707555000,1.338,3.7,-265825000.0,296967000,296967000,4282290000.0,720044000.0,0.951,5.976,2980169000,632714000,2347455000,2980169000,0,301837000.0,0,0.022,1.819,1189624000.0,1491461000.0,0.2,1491461000.0,1189624000.0,1099481000.0,3.15,3.14,3.15,785856000,810172500.0,785856000,25725945619,22.0,17.249,717650000.0,3.379,1.0,3157891000.0,0.424,1305081000,90143000.0,4993011000,4742484250.0,745678000,0,0,0,4696646000,1909443000,2787203000,23042743619,-49562000.0,-285374000.0,-489828000.0,568560000.0,-499475000.0,-434443000.0,-595454000.0,0.0,983475000.0,-3140000.0,720044000.0,720044000.0,720044000.0,0.0,0.0,0.097,1952108000.0,1205783000.0,522536000,0.763,29.322,32.002,34.438,2177248000,0.0,108.48,3.097,3.097,581381000,6115961000,7440181000.0,7440181000.0,0.0,0.129,0.889,0.251,0.16,32723000.0,1915378000.0,1.0,212414672,212414672,,35.027,4219252000,56861000,379437000.0,42794000,19.863,-92665000
5,HSY,ARY,2015-12-31,2016-02-26,2015-12-31,2021-09-07,-371025000,5344371000,5545445750.0,1848598000,3495773000,1.332,4.609,-355605000.0,346529000,346529000,4003951000.0,512951000.0,0.833,4.306,2420527000,863436000,1557091000,2420527000,0,244928000.0,0,0.025,2.819,1007620000.0,1252548000.0,0.17,1252548000.0,1007620000.0,901847000.0,2.19,2.19,2.19,997997000,1075733500.0,997997000,21695013305,22.0,17.321,858851000.0,3.967,1.0,3382675000.0,0.458,1063557000,105773000.0,4136900000,4425528250.0,750970000,0,0,0,4296909000,2217912000,2078997000,19621015305,-28325000.0,-186246000.0,-509904000.0,254305000.0,-476132000.0,-755162000.0,-477255000.0,95316000.0,1214456000.0,-10364000.0,512951000.0,512951000.0,512951000.0,0.0,0.0,0.069,2344916000.0,1037759000.0,474266000,1.043,19.66,38.251,41.379,2240460000,0.0,90.62,2.656,2.656,599073000,5897603000,7386626000.0,7386626000.0,0.0,0.092,0.477,0.228,0.136,26694000.0,1969308000.0,1.0,216519701,216519701,,34.115,4280814000,36390000,388896000.0,76431000,19.771,-369314000
6,HSY,ARY,2014-12-31,2015-02-20,2014-12-31,2021-09-07,-358573000,5629516000,5539971000.0,2247047000,3382469000,1.34,6.589,-369177000.0,374854000,374854000,4085602000.0,846912000.0,1.161,2.825,2184464000,635501000,1548963000,2184464000,0,211532000.0,0,0.019,1.555,1389575000.0,1601107000.0,0.216,1601107000.0,1389575000.0,1306043000.0,3.54,3.52,3.54,1455062000,1537438000.0,1455062000,25491209010,18.0,15.921,469044000.0,2.124,1.0,3336166000.0,0.45,1087796000,83532000.0,4415683000,4448044250.0,801036000,97131000,97131000,0,4109986000,1935647000,2174339000,23681599010,-743654000.0,-396265000.0,-454449000.0,119124000.0,-440414000.0,-719302000.0,-862573000.0,-97131000.0,838221000.0,0.0,846912000.0,846912000.0,846912000.0,0.0,0.0,0.114,1946591000.0,1389575000.0,482017000,0.576,16.275,27.962,30.294,2151901000,0.0,107.24,3.191,3.191,596940000,5860784000,7421768000.0,7421768000.0,0.0,0.153,0.551,0.312,0.187,571000.0,1900970000.0,1.0,220828040,220828040,,33.609,4541720000,100515000,459131000.0,103989000,20.567,311400000
7,HSY,ARY,2013-12-31,2014-02-21,2013-12-31,2021-09-07,-166567000,5357488000,4994476250.0,2487334000,2870154000,1.431,7.171,-335580000.0,1118508000,1118508000,3865231000.0,820470000.0,1.767,2.331,1962017000,166875000,1795142000,1962017000,0,201033000.0,0,0.017,1.875,1339675000.0,1540708000.0,0.216,1540708000.0,1339675000.0,1251319000.0,3.39,3.61,3.39,1604834000,1289012250.0,1604834000,24947331517,19.0,16.192,852825000.0,3.811,1.0,3280848000.0,0.459,771805000,88356000.0,4021170000,4035691250.0,659541000,0,0,0,3741436000,1408022000,2333414000,24103822517,390236000.0,-16000000.0,-158309000.0,54185000.0,-393801000.0,-446589000.0,-351580000.0,0.0,1188405000.0,0.0,820470000.0,820470000.0,820470000.0,0.0,0.0,0.115,1941173000.0,1339675000.0,461514000,0.553,15.02,29.378,31.77,1805345000,0.0,107.7,3.373,3.373,477912000,5454286000,7146079000.0,7146079000.0,0.0,0.164,0.637,0.332,0.187,5571000.0,1922508000.0,1.0,223805223,223805223,,31.93,4585683000,52511000,430849000.0,184115000,20.49,1079312000
8,HSY,ARY,2012-12-31,2013-02-22,2012-12-31,2021-09-07,-385076000,4754839000,4690012500.0,2113485000,2641354000,1.417,4.627,-277513000.0,728272000,728272000,3784370000.0,660931000.0,1.437,3.575,1906865000,375898000,1530967000,1906865000,0,210037000.0,0,0.02,1.98,1111148000.0,1321185000.0,0.199,1321185000.0,1111148000.0,1015579000.0,2.73,2.89,2.73,1036749000,985667000.0,1036749000,19381228423,17.0,14.67,817314000.0,3.647,1.0,2859882000.0,0.43,802716000,95569000.0,3659606000,3806939250.0,633262000,0,0,0,3706466000,1471110000,2235356000,18202635423,34586000.0,-195856000.0,-249033000.0,-17658000.0,-341206000.0,-586872000.0,-473369000.0,0.0,1094827000.0,0.0,660931000.0,660931000.0,660931000.0,0.0,0.0,0.099,1748734000.0,1111148000.0,441977000,0.586,17.557,27.541,29.755,1674071000,0.0,81.23,2.74,2.74,461383000,5027617000,6644252000.0,6644252000.0,0.0,0.141,0.671,0.292,0.167,16606000.0,1703796000.0,1.0,224087596,224087596,,29.65,3952123000,134672000,354648000.0,37986000,17.637,642375000
9,HSY,ARY,2011-12-31,2012-02-17,2011-12-31,2021-09-07,-442331000,4412199000,4272653250.0,2046558000,2365641000,1.423,3.765,-347255000.0,693686000,693686000,3548896000.0,628962000.0,1.744,4.169,1888173000,139673000,1748500000,1888173000,0,215763000.0,0,0.023,1.38,1055028000.0,1270791000.0,0.209,1270791000.0,1055028000.0,962845000.0,2.58,2.74,2.58,849022000,916092750.0,849022000,14919644972,14.0,11.74,233612000.0,1.036,1.0,2531892000.0,0.416,628658000,92183000.0,3804253000,3580785500.0,648953000,0,0,0,3539551000,1173775000,2365776000,13725157972,-190956000.0,-5750000.0,-200104000.0,51372000.0,-304083000.0,-438818000.0,-333005000.0,0.0,580867000.0,0.0,628962000.0,628962000.0,628962000.0,0.0,0.0,0.103,1476864000.0,1055028000.0,420017000,0.535,16.166,21.822,23.589,1559717000,0.0,60.86,2.257,2.257,399499000,4699597000,6080788000.0,6080788000.0,0.0,0.147,0.687,0.295,0.174,14344000.0,1477750000.0,1.0,225520177,225520177,,26.963,3783541000,175405000,333883000.0,1899000,16.777,872783000
