None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,INTC,ARY,2020-12-31,2021-01-22,2020-12-26,2021-10-22,-751000000,153091000000,149650250000.0,47249000000,105842000000,0.52,19.299,-14453000000.0,5865000000,5865000000,34255000000.0,20899000000.0,1.909,0.889,36401000000,2504000000,33897000000,36401000000,1367000000,12239000000.0,0,0.023,1.32,25582000000.0,37821000000.0,0.486,37821000000.0,25582000000.0,25078000000.0,4.98,4.94,4.98,81038000000,78489000000.0,81038000000,260745580000,10.0,6.894,20931000000.0,4.985,1.0,43612000000.0,0.56,35997000000,504000000.0,122876000000,120117000000.0,8427000000,25374000000,18030000000,7344000000,72053000000,24754000000,47299000000,230209580000,1671000000.0,-714000000.0,-13332000000.0,5722000000.0,-5568000000.0,-12917000000.0,-20796000000.0,-6891000000.0,35384000000.0,0.0,20899000000.0,20899000000.0,20899000000.0,0.0,0.0,0.268,19934000000.0,23678000000.0,5581000000,0.265,2.841,11.015,11.378,56584000000,0.0,56.66,2.956,3.055,6782000000,56233000000,77867000000.0,77867000000.0,13556000000.0,0.14,0.266,0.213,0.329,1854000000.0,6180000000.0,1.0,4063000000,4199000000,4232000000.0,18.544,117094000000,0,4179000000.0,8421000000,27.886,22495000000
1,INTC,ARY,2019-12-31,2020-01-24,2019-12-28,2021-10-22,-1280000000,136524000000,132627250000.0,31239000000,105285000000,0.543,17.547,-16213000000.0,4194000000,4194000000,29825000000.0,21048000000.0,1.4,0.762,29001000000,3693000000,25308000000,29001000000,1368000000,10826000000.0,0,0.018,1.26,23574000000.0,34400000000.0,0.478,34400000000.0,23574000000.0,24058000000.0,4.77,4.71,4.77,77504000000,75088500000.0,77504000000,317653190000,13.0,9.234,16932000000.0,3.833,1.0,42140000000.0,0.586,37103000000,-484000000.0,101918000000,100230000000.0,8744000000,16172000000,8929000000,7243000000,59020000000,22310000000,36710000000,292846190000,1175000000.0,-1047000000.0,-12826000000.0,765000000.0,-5576000000.0,-17565000000.0,-14405000000.0,2140000000.0,33145000000.0,0.0,21048000000.0,21048000000.0,21048000000.0,0.0,0.0,0.292,20105000000.0,22035000000.0,4128000000,0.264,3.778,13.913,14.354,55386000000,0.0,68.47,4.069,4.202,7659000000,53523000000,71965000000.0,71965000000.0,13362000000.0,0.159,0.28,0.235,0.328,1705000000.0,6150000000.0,1.0,4277000000,4417000000,4473000000.0,16.293,99421000000,0,3010000000.0,6963000000,22.509,8929000000
2,INTC,ARY,2018-12-31,2019-02-01,2018-12-29,2021-10-22,-974000000,127963000000,127693250000.0,28787000000,99176000000,0.555,16.171,-15181000000.0,3019000000,3019000000,27111000000.0,21053000000.0,1.731,0.716,26359000000,1261000000,25098000000,26359000000,2049000000,9085000000.0,0,0.025,0.9,23191000000.0,32276000000.0,0.456,32276000000.0,23191000000.0,23317000000.0,4.57,4.48,4.57,74563000000,71564500000.0,74563000000,242478810000,10.0,7.513,14251000000.0,3.091,1.0,43737000000.0,0.617,36349000000,-126000000.0,98328000000,97355500000.0,7253000000,18061000000,8631000000,9430000000,53400000000,16626000000,36774000000,219138810000,-414000000.0,358000000.0,-10175000000.0,-2143000000.0,-5541000000.0,-18607000000.0,-11239000000.0,3856000000.0,29432000000.0,0.0,21053000000.0,21053000000.0,21053000000.0,0.0,0.0,0.297,20421000000.0,23316000000.0,3824000000,0.263,2.939,10.409,10.663,48976000000,0.0,48.73,3.093,3.171,6722000000,50172000000,70848000000.0,70848000000.0,13543000000.0,0.165,0.294,0.238,0.327,1546000000.0,6750000000.0,1.0,4497000000,4611000000,4701000000.0,15.365,91614000000,0,2264000000.0,6562000000,19.869,12161000000
3,INTC,ARY,2017-12-31,2018-02-16,2017-12-30,2021-10-22,862000000,123249000000,122023000000.0,29500000000,93749000000,0.514,14.682,-11778000000.0,3433000000,3433000000,23692000000.0,9601000000.0,1.693,0.786,26813000000,1776000000,25037000000,26813000000,1656000000,8129000000.0,0,0.025,1.117,20587000000.0,28716000000.0,0.458,28716000000.0,20587000000.0,20352000000.0,2.04,1.99,2.04,69019000000,68856000000.0,69019000000,236054080000,11.0,8.22,10332000000.0,2.198,1.0,39069000000.0,0.623,37134000000,235000000.0,92074000000,94037250000.0,6983000000,18473000000,10569000000,7904000000,54230000000,17421000000,36809000000,212674080000,-2127000000.0,-11375000000.0,-2845000000.0,-364000000.0,-5072000000.0,-8475000000.0,-15762000000.0,6575000000.0,22110000000.0,0.0,9601000000.0,9601000000.0,9601000000.0,0.0,0.0,0.153,21133000000.0,17936000000.0,2928000000,0.548,3.081,22.151,22.333,41109000000,0.0,45.56,3.389,3.413,5607000000,42083000000,62761000000.0,62761000000.0,13098000000.0,0.079,0.139,0.219,0.328,1358000000.0,7474000000.0,1.0,4668000000,4701000000,4835000000.0,13.351,86115000000,0,10751000000.0,3046000000,18.318,12079000000
4,INTC,ARY,2016-12-31,2017-02-17,2016-12-31,2021-10-22,106000000,113327000000,110210500000.0,35508000000,77819000000,0.539,14.001,-9625000000.0,5560000000,5560000000,23196000000.0,10316000000.0,1.749,0.711,25283000000,4634000000,20649000000,25283000000,1718000000,7790000000.0,0,0.029,1.04,13380000000.0,21170000000.0,0.356,21170000000.0,13380000000.0,12936000000.0,2.18,2.12,2.18,66226000000,62970500000.0,66226000000,192200440000,14.0,9.079,12183000000.0,2.576,1.0,36191000000.0,0.609,23593000000,444000000.0,89155000000,87738250000.0,5553000000,22435000000,11539000000,10896000000,47101000000,20302000000,26799000000,172477440000,-9748000000.0,-15470000000.0,-1479000000.0,1219000000.0,-4925000000.0,-5739000000.0,-25817000000.0,-1368000000.0,21808000000.0,0.0,10316000000.0,10316000000.0,10316000000.0,0.0,0.0,0.174,23317000000.0,12874000000.0,2475000000,0.477,2.604,16.719,16.734,36171000000,0.0,36.48,2.904,2.906,4690000000,40747000000,59387000000.0,59387000000.0,12740000000.0,0.094,0.164,0.152,0.225,1323000000.0,8397000000.0,1.0,4728000000,4730000000,4875000000.0,12.555,89734000000,0,2620000000.0,1730000000,18.971,15206000000
5,INTC,ARY,2015-12-31,2016-02-12,2015-12-26,2021-10-22,60000000,103065000000,95418750000.0,40356000000,62709000000,0.58,12.882,-7326000000.0,15308000000,15308000000,20676000000.0,11420000000.0,2.576,0.687,22670000000,2634000000,20036000000,22670000000,2188000000,8711000000.0,0,0.034,0.98,14317000000.0,23028000000.0,0.416,23028000000.0,14317000000.0,14212000000.0,2.41,2.33,2.41,61085000000,57700250000.0,61085000000,142657360000,10.0,6.195,11691000000.0,2.465,1.0,34679000000.0,0.626,15265000000,105000000.0,79495000000,75266250000.0,5167000000,17856000000,10005000000,7851000000,41980000000,15667000000,26313000000,135295360000,12747000000.0,-913000000.0,-2135000000.0,9002000000.0,-4556000000.0,1912000000.0,-8183000000.0,-559000000.0,19017000000.0,1000000.0,11420000000.0,11420000000.0,11420000000.0,0.0,0.0,0.206,20677000000.0,14002000000.0,2063000000,0.407,2.215,11.847,11.884,31858000000,0.0,28.64,2.444,2.453,4787000000,37614000000,55355000000.0,55355000000.0,12128000000.0,0.12,0.198,0.19,0.259,1146000000.0,7930000000.0,1.0,4724000000,4742000000,4894000000.0,11.673,87800000000,2036000000,2792000000.0,2539000000,18.515,24689000000
6,INTC,ARY,2014-12-31,2015-02-13,2014-12-27,2021-10-22,666000000,91956000000,91574250000.0,27730000000,64226000000,0.61,11.399,-10105000000.0,2561000000,2561000000,20261000000.0,11704000000.0,1.731,0.646,13711000000,1604000000,12107000000,13711000000,2205000000,8549000000.0,0,0.027,0.915,15758000000.0,24307000000.0,0.435,24307000000.0,15758000000.0,15801000000.0,2.39,2.31,2.39,55865000000,57305750000.0,55865000000,173878960000,11.0,7.153,10313000000.0,2.104,1.0,35609000000.0,0.637,15307000000,-43000000.0,71780000000,72070250000.0,4273000000,20613000000,11493000000,9120000000,36091000000,16019000000,20072000000,162728960000,-3113000000.0,-934000000.0,-9132000000.0,235000000.0,-4409000000.0,-13611000000.0,-9905000000.0,555000000.0,20418000000.0,-15000000.0,11704000000.0,11704000000.0,11704000000.0,0.0,0.0,0.209,20262000000.0,15347000000.0,2748000000,0.383,2.913,13.904,14.377,33238000000,0.0,34.36,2.913,3.014,4427000000,33418000000,55870000000.0,55870000000.0,11537000000.0,0.128,0.204,0.219,0.282,1026000000.0,8136000000.0,1.0,4736000000,4901000000,5056000000.0,11.4,76649000000,1958000000,4097000000.0,3775000000,15.639,11711000000
7,INTC,ARY,2013-12-31,2014-02-14,2013-12-28,2021-10-22,1243000000,92358000000,87913250000.0,32084000000,60274000000,0.6,11.722,-10711000000.0,5674000000,5674000000,21187000000.0,9620000000.0,2.365,0.585,13446000000,281000000,13165000000,13446000000,2096000000,8032000000.0,0,0.036,0.9,12762000000.0,20794000000.0,0.395,20794000000.0,12762000000.0,12611000000.0,1.94,1.89,1.94,58256000000,54685500000.0,58256000000,130853860000,10.0,6.293,10065000000.0,2.025,1.0,31521000000.0,0.598,15663000000,151000000.0,70899000000,67959250000.0,4172000000,22107000000,14413000000,7694000000,34102000000,13568000000,20534000000,123081860000,-2804000000.0,-925000000.0,-852000000.0,-31000000.0,-4479000000.0,-5498000000.0,-18073000000.0,-6727000000.0,20776000000.0,-9000000.0,9620000000.0,9620000000.0,9620000000.0,0.0,0.0,0.183,19230000000.0,12291000000.0,2969000000,0.464,2.113,12.794,12.76,31428000000,0.0,24.755,2.335,2.334,3582000000,35477000000,52708000000.0,52708000000.0,10611000000.0,0.109,0.176,0.188,0.242,1069000000.0,8088000000.0,1.0,4972000000,4970000000,5097000000.0,10.605,76695000000,2594000000,2991000000.0,4397000000,15.432,18516000000
8,INTC,ARY,2012-12-31,2013-02-19,2012-12-29,2021-10-22,-399000000,84351000000,75740250000.0,31358000000,52993000000,0.704,10.249,-11027000000.0,8478000000,8478000000,20190000000.0,11005000000.0,2.431,0.647,13448000000,312000000,13136000000,13448000000,1932000000,7522000000.0,0,0.042,0.885,14779000000.0,22301000000.0,0.418,22301000000.0,14779000000.0,14873000000.0,2.2,2.13,2.2,51203000000,49002750000.0,51203000000,109256410000,7.0,4.899,7857000000.0,1.573,1.0,33151000000.0,0.621,15945000000,-94000000.0,60478000000,51640750000.0,4734000000,14601000000,9684000000,4917000000,33148000000,12898000000,20250000000,104286410000,3413000000.0,-33000000.0,-2999000000.0,6064000000.0,-4350000000.0,-1408000000.0,-14060000000.0,-2554000000.0,18884000000.0,-3000000.0,11005000000.0,11005000000.0,11005000000.0,0.0,0.0,0.206,18513000000.0,14638000000.0,3023000000,0.402,2.037,9.476,9.584,27983000000,0.0,21.085,1.955,1.975,3833000000,32138000000,53341000000.0,53341000000.0,10148000000.0,0.145,0.225,0.286,0.277,960000000.0,8057000000.0,1.0,4946000000,4996000000,5160000000.0,10.677,68406000000,2117000000,3868000000.0,3412000000,13.692,18460000000
9,INTC,ARY,2011-12-31,2012-02-23,2011-12-31,2021-10-22,-781000000,71119000000,68327750000.0,25872000000,45247000000,0.79,8.735,-10764000000.0,5065000000,5065000000,20242000000.0,12942000000.0,2.151,0.549,7331000000,247000000,7084000000,7331000000,1929000000,6064000000.0,0,0.03,0.811,17589000000.0,23653000000.0,0.438,23653000000.0,17589000000.0,17781000000.0,2.46,2.39,2.46,45911000000,47025000000.0,45911000000,135459360000,8.0,5.727,10199000000.0,1.94,1.0,33757000000.0,0.625,15521000000,-192000000.0,45836000000,40598750000.0,4096000000,11223000000,9772000000,1451000000,25208000000,12028000000,13180000000,133193360000,-433000000.0,-8671000000.0,-12295000000.0,5171000000.0,-4127000000.0,-11100000000.0,-10301000000.0,8830000000.0,20963000000.0,5000000.0,12942000000.0,12942000000.0,12942000000.0,0.0,0.0,0.24,16280000000.0,17477000000.0,2956000000,0.33,2.901,10.292,10.837,23627000000,0.0,26.66,2.467,2.595,3650000000,29656000000,53999000000.0,53999000000.0,8350000000.0,0.189,0.275,0.433,0.326,1016000000.0,7670000000.0,1.0,4996000000,5256000000,5411000000.0,10.274,55598000000,1700000000,4839000000.0,2617000000,10.578,13844000000
