None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,LLL1,MRY,2018-12-31,2018-12-31,2018-12-31,2021-10-16,-725000000.0,13518000000.0,13276250000.0,4810000000.0,8708000000.0,0.772,74.382,-229000000.0,1066000000.0,1066000000.0,7537000000.0,1026000000.0,1.966,1.303,3321000000.0,0.0,3321000000.0,3321000000.0,669000000.0,241000000.0,0.0,0.018,3.2,1272000000.0,1513000000.0,0.148,1513000000.0,1272000000.0,1108000000.0,12.8,12.63,12.8,5839000000.0,5544500000.0,5839000000.0,16479616707.0,13.0,10.892,803000000.0,10.229,1.0,2707000000.0,0.264,7198000000.0,164000000.0,6128000000.0,6379500000.0,879000000.0,0.0,0.0,0.0,7611000000.0,2447000000.0,5164000000.0,13666616707.0,404000000.0,166000000.0,-171000000.0,-82000000.0,-254000000.0,-520000000.0,-93000000.0,0.0,1032000000.0,-15000000.0,1005000000.0,1005000000.0,1005000000.0,-205000000.0,21000000.0,0.098,1587000000.0,1120000000.0,699000000.0,0.25,2.341,13.599,13.567,1169000000.0,0.0,173.66,1.334,1.331,919000000.0,7424000000.0,10244000000.0,10244000000.0,0.0,0.076,0.181,0.199,0.124,60000000.0,1601000000.0,1.0,78697551.0,78500000.0,79600000.0,130.497,6320000000.0,0.0,103000000.0,245000000.0,80.51,2363000000.0
1,LLL1,MRY,2017-12-31,2017-12-31,2017-12-31,2021-10-16,-691000000.0,12729000000.0,12448250000.0,4448000000.0,8281000000.0,0.769,65.167,-150000000.0,662000000.0,662000000.0,7022000000.0,693000000.0,1.87,1.491,3330000000.0,0.0,3330000000.0,3330000000.0,509000000.0,225000000.0,0.0,0.015,3.0,948000000.0,1173000000.0,0.123,1173000000.0,948000000.0,779000000.0,8.68,8.51,8.68,5083000000.0,4947250000.0,5083000000.0,18350424378.0,19.0,15.644,952000000.0,12.205,1.0,2551000000.0,0.266,6907000000.0,169000000.0,6111000000.0,6122250000.0,389000000.0,0.0,0.0,0.0,7578000000.0,2379000000.0,5199000000.0,15460424378.0,299000000.0,-298000000.0,-120000000.0,0.0,-236000000.0,-366000000.0,-457000000.0,0.0,1102000000.0,20000000.0,677000000.0,677000000.0,677000000.0,76000000.0,16000000.0,0.071,1520000000.0,1031000000.0,531000000.0,0.346,3.042,22.837,22.794,1110000000.0,0.0,197.85,1.615,1.612,2656000000.0,6659000000.0,9573000000.0,9573000000.0,0.0,0.054,0.137,0.155,0.099,53000000.0,1520000000.0,1.0,78142150.0,78000000.0,79600000.0,122.731,5822000000.0,0.0,102000000.0,177000000.0,74.641,2069000000.0
2,LLL1,MRY,2016-12-31,2016-12-31,2016-12-31,2021-10-16,-726000000.0,11865000000.0,11821750000.0,3907000000.0,7958000000.0,0.779,58.824,-189000000.0,363000000.0,363000000.0,6965000000.0,724000000.0,1.781,1.59,3325000000.0,0.0,3325000000.0,3325000000.0,476000000.0,198000000.0,0.0,0.018,2.8,1045000000.0,1243000000.0,0.135,1243000000.0,1045000000.0,881000000.0,9.17,9.01,9.17,4553000000.0,4496250000.0,4553000000.0,14679453128.0,14.0,11.81,852000000.0,11.008,1.0,2245000000.0,0.244,6603000000.0,164000000.0,6030000000.0,5717750000.0,330000000.0,0.0,0.0,0.0,7241000000.0,2194000000.0,5047000000.0,11759453128.0,156000000.0,173000000.0,-310000000.0,-319000000.0,-220000000.0,-856000000.0,-16000000.0,0.0,1041000000.0,-13000000.0,710000000.0,710000000.0,710000000.0,-91000000.0,14000000.0,0.077,1287000000.0,958000000.0,419000000.0,0.305,2.583,16.563,16.588,1107000000.0,0.0,152.11,1.277,1.278,2558000000.0,6218000000.0,9210000000.0,9210000000.0,0.0,0.06,0.158,0.183,0.113,49000000.0,1287000000.0,1.0,77308876.0,77400000.0,78800000.0,118.992,5262000000.0,0.0,171000000.0,211000000.0,67.984,1713000000.0
3,LLL1,MRY,2015-12-31,2015-12-31,2015-12-31,2021-10-16,-574000000.0,12069000000.0,13130000000.0,4232000000.0,7837000000.0,0.703,53.965,-192000000.0,207000000.0,207000000.0,8369000000.0,-225000000.0,1.47,1.754,3626000000.0,499000000.0,3127000000.0,3626000000.0,562000000.0,203000000.0,0.0,0.022,2.6,54000000.0,257000000.0,0.028,257000000.0,54000000.0,-108000000.0,-2.97,-2.93,-2.97,4355000000.0,4841000000.0,4355000000.0,12985117732.0,240.0,50.526,933000000.0,11.561,1.0,862000000.0,0.093,6480000000.0,162000000.0,6129000000.0,6753750000.0,333000000.0,0.0,0.0,0.0,7640000000.0,2879000000.0,4761000000.0,9368117732.0,-235000000.0,-2000000.0,-691000000.0,-297000000.0,-214000000.0,-1205000000.0,-197000000.0,0.0,1125000000.0,-19000000.0,-240000000.0,-240000000.0,-240000000.0,732000000.0,15000000.0,-0.026,46000000.0,816000000.0,297000000.0,-0.875,2.151,-39.034,-40.239,1097000000.0,0.0,119.51,1.015,1.045,2827000000.0,5728000000.0,9231000000.0,9231000000.0,0.0,-0.018,-0.05,0.008,0.006,46000000.0,0.0,1.0,78387731.0,80700000.0,81900000.0,114.387,5589000000.0,0.0,132000000.0,232000000.0,69.257,1353000000.0
4,LLL1,MRY,2014-12-31,2014-12-31,2014-12-31,2021-10-16,-584000000.0,13715000000.0,13974750000.0,5665000000.0,8050000000.0,0.786,61.885,-170000000.0,442000000.0,442000000.0,9974000000.0,677000000.0,2.151,1.581,3939000000.0,0.0,3939000000.0,3939000000.0,565000000.0,214000000.0,0.0,0.019,2.4,1049000000.0,1263000000.0,0.115,1263000000.0,1049000000.0,891000000.0,7.78,7.56,7.78,5285000000.0,5788000000.0,5285000000.0,14174660289.0,14.0,11.223,972000000.0,11.382,1.0,1012000000.0,0.092,6707000000.0,158000000.0,7871000000.0,7225500000.0,288000000.0,0.0,0.0,0.0,8355000000.0,2634000000.0,5721000000.0,10744660289.0,-58000000.0,-56000000.0,-722000000.0,988000000.0,-208000000.0,-893000000.0,-229000000.0,0.0,1142000000.0,-17000000.0,664000000.0,664000000.0,664000000.0,-32000000.0,13000000.0,0.06,0.0,1012000000.0,346000000.0,0.308,2.033,16.182,16.222,1061000000.0,0.0,126.21,0.978,0.981,2951000000.0,6181000000.0,10986000000.0,10986000000.0,0.0,0.048,0.115,0.145,0.095,50000000.0,0.0,1.0,85133193.0,85400000.0,87800000.0,128.642,7008000000.0,15000000.0,227000000.0,258000000.0,82.061,3031000000.0
5,LLL1,MRY,2013-12-31,2013-12-31,2013-12-31,2021-10-16,-110000000.0,14007000000.0,13956000000.0,4613000000.0,9394000000.0,0.818,66.902,-192000000.0,500000000.0,500000000.0,10303000000.0,760000000.0,1.807,1.329,3630000000.0,0.0,3630000000.0,3630000000.0,576000000.0,202000000.0,0.0,0.021,2.2,1172000000.0,1374000000.0,0.12,1374000000.0,1172000000.0,1015000000.0,8.4,8.24,8.4,5981000000.0,5712250000.0,5981000000.0,12723512809.0,11.0,9.26,1071000000.0,11.98,1.0,1117000000.0,0.098,8081000000.0,157000000.0,6503000000.0,6657000000.0,366000000.0,0.0,0.0,0.0,7951000000.0,2553000000.0,5398000000.0,9470512809.0,151000000.0,-58000000.0,-636000000.0,0.0,-199000000.0,-849000000.0,-261000000.0,0.0,1263000000.0,-2000000.0,751000000.0,751000000.0,751000000.0,-44000000.0,9000000.0,0.066,0.0,1117000000.0,535000000.0,0.262,1.583,12.611,12.721,1042000000.0,0.0,106.86,0.829,0.837,3433000000.0,5726000000.0,11420000000.0,11420000000.0,0.0,0.054,0.131,0.176,0.103,52000000.0,0.0,1.0,88625424.0,89400000.0,91100000.0,127.74,5926000000.0,147000000.0,264000000.0,666000000.0,66.286,2060000000.0
6,LLL1,MRY,2012-12-31,2012-12-31,2012-12-31,2021-10-16,-550000000.0,13800000000.0,14856000000.0,4484000000.0,9316000000.0,0.882,56.604,-205000000.0,349000000.0,349000000.0,11799000000.0,794000000.0,1.75,1.518,3629000000.0,0.0,3629000000.0,3629000000.0,621000000.0,228000000.0,0.0,0.026,2.0,1328000000.0,1556000000.0,0.119,1556000000.0,1328000000.0,1144000000.0,8.14,8.03,8.14,5451000000.0,6184250000.0,5451000000.0,10570778667.0,8.0,6.794,1101000000.0,11.433,1.0,1308000000.0,0.1,8090000000.0,184000000.0,6427000000.0,7016000000.0,358000000.0,0.0,0.0,0.0,8273000000.0,2563000000.0,5710000000.0,7206778667.0,-415000000.0,-8000000.0,-814000000.0,-506000000.0,-195000000.0,-1528000000.0,-200000000.0,20000000.0,1306000000.0,7000000.0,784000000.0,784000000.0,784000000.0,-32000000.0,10000000.0,0.06,0.0,1308000000.0,505000000.0,0.246,1.322,9.192,9.413,1023000000.0,0.0,76.62,0.55,0.563,3478000000.0,5175000000.0,13107000000.0,13107000000.0,0.0,0.053,0.127,0.189,0.101,56000000.0,0.0,1.0,94058714.0,96300000.0,97600000.0,136.106,5710000000.0,113000000.0,360000000.0,349000000.0,59.294,1921000000.0
7,LLL1,MRY,2011-12-31,2011-12-31,2011-12-31,2021-10-16,-454000000.0,15508000000.0,15527000000.0,6598000000.0,8910000000.0,0.847,63.554,-181000000.0,764000000.0,764000000.0,11713000000.0,970000000.0,2.345,1.324,4125000000.0,0.0,4125000000.0,4125000000.0,524000000.0,230000000.0,0.0,0.027,1.8,1458000000.0,1688000000.0,0.128,1688000000.0,1458000000.0,1254000000.0,9.16,9.05,9.16,6635000000.0,6772750000.0,6635000000.0,10246878176.0,7.0,6.07,1303000000.0,12.481,1.0,1441000000.0,0.11,7780000000.0,204000000.0,8275000000.0,7447750000.0,317000000.0,0.0,0.0,0.0,8784000000.0,2814000000.0,5970000000.0,6658878176.0,157000000.0,-19000000.0,-890000000.0,-18000000.0,-188000000.0,-1120000000.0,-203000000.0,0.0,1484000000.0,-4000000.0,958000000.0,956000000.0,956000000.0,-104000000.0,12000000.0,0.073,43000000.0,1398000000.0,395000000.0,0.197,1.004,6.965,7.279,921000000.0,2000000.0,66.68,0.506,0.529,3479000000.0,5641000000.0,13154000000.0,13154000000.0,0.0,0.062,0.141,0.196,0.111,55000000.0,0.0,1.0,99863200.0,104400000.0,105600000.0,125.996,7728000000.0,132000000.0,296000000.0,375000000.0,74.023,3784000000.0
8,LLL1,MRY,2010-12-31,2010-12-31,2010-12-31,2021-10-16,-256000000.0,15451000000.0,15403500000.0,5078000000.0,10373000000.0,0.869,59.178,-168000000.0,607000000.0,607000000.0,11905000000.0,966000000.0,1.858,1.271,4137000000.0,11000000.0,4126000000.0,4137000000.0,580000000.0,212000000.0,0.0,0.023,1.6,1619000000.0,1831000000.0,0.137,1831000000.0,1619000000.0,1383000000.0,8.31,8.25,8.31,6764000000.0,6802750000.0,6764000000.0,11460508702.0,7.0,6.259,1293000000.0,11.312,1.0,1485000000.0,0.111,9200000000.0,236000000.0,7048000000.0,6523750000.0,303000000.0,0.0,0.0,0.0,8596000000.0,2733000000.0,5863000000.0,7978508702.0,-409000000.0,-754000000.0,-706000000.0,-10000000.0,-184000000.0,-918000000.0,-945000000.0,-23000000.0,1461000000.0,-7000000.0,955000000.0,950000000.0,950000000.0,-142000000.0,11000000.0,0.071,0.0,1485000000.0,463000000.0,0.193,1.18,8.398,8.483,923000000.0,5000000.0,70.49,0.596,0.602,3847000000.0,4877000000.0,13390000000.0,13390000000.0,0.0,0.062,0.14,0.248,0.121,66000000.0,0.0,1.0,113186391.0,114300000.0,115100000.0,117.148,6251000000.0,114000000.0,428000000.0,357000000.0,54.689,2345000000.0
9,LLL1,MRY,2009-12-31,2009-12-31,2009-12-31,2021-10-16,-166000000.0,14875000000.0,14836000000.0,5213000000.0,9662000000.0,1.053,56.224,-182000000.0,1016000000.0,1016000000.0,13959000000.0,911000000.0,2.049,1.251,4112000000.0,0.0,4112000000.0,4112000000.0,512000000.0,218000000.0,0.0,0.016,1.4,1655000000.0,1873000000.0,0.12,1873000000.0,1655000000.0,1376000000.0,7.65,7.61,7.65,6567000000.0,6217250000.0,6567000000.0,13424805225.0,8.0,7.168,1225000000.0,10.488,1.0,1656000000.0,0.106,8567000000.0,279000000.0,6860000000.0,6610250000.0,258000000.0,0.0,0.0,0.0,8215000000.0,2544000000.0,5671000000.0,10105805225.0,149000000.0,-90000000.0,-411000000.0,-426000000.0,-165000000.0,-1005000000.0,-272000000.0,0.0,1407000000.0,19000000.0,901000000.0,893000000.0,893000000.0,0.0,10000000.0,0.057,0.0,1656000000.0,447000000.0,0.183,1.539,11.317,11.366,854000000.0,8000000.0,86.95,0.647,0.65,3544000000.0,4108000000.0,15615000000.0,15615000000.0,0.0,0.06,0.144,0.25,0.106,70000000.0,0.0,1.0,116225477.0,116800000.0,117400000.0,133.69,6308000000.0,247000000.0,475000000.0,307000000.0,54.007,2669000000.0
