None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,REG,MRY,2020-12-31,2020-12-31,2020-12-31,2021-08-06,-18625000.0,10936904000.0,11219540750.0,,,0.091,35.272,-8127000.0,378450000.0,378450000.0,313077000.0,47317000.0,,0.815,4143474000.0,,,4143474000.0,0.0,345900000.0,55210000.0,0.052,2.38,201567000.0,547467000.0,0.539,547467000.0,201567000.0,44889000.0,0.27,0.26,0.27,5984912000.0,6086477750.0,5984912000.0,11663451218.0,58.0,21.304,490991000.0,2.894,1.0,703098000.0,0.692,188799000.0,156678000.0,14513129000.0,14890786250.0,0.0,467155000.0,,,4878757000.0,,,7735717218.0,262888000.0,-19315000.0,120365000.0,11641000.0,-300537000.0,-210589000.0,-25641000.0,-6156000.0,499118000.0,0.0,44889000.0,44889000.0,44889000.0,0.0,2428000.0,0.044,433543000.0,269555000.0,302361000.0,8.815,1.293,172.33,168.852,9429511000.0,0.0,45.59,7.613,7.613,143633000.0,-1765806000.0,1016175000.0,1016175000.0,0.0,0.004,0.007,0.014,0.198,18249000.0,75001000.0,1.0,169680132.0,169680132.0,,5.989,10748105000.0,0.0,0.0,0.0,63.343,
1,REG,MRY,2019-12-31,2019-12-31,2019-12-31,2021-08-06,-11997000.0,11132253000.0,11067499000.0,,,0.102,37.08,-285009000.0,115562000.0,115562000.0,306145000.0,243258000.0,,0.779,4142462000.0,,,4142462000.0,0.0,374283000.0,58865000.0,0.037,2.34,390694000.0,764977000.0,0.675,764977000.0,390694000.0,239430000.0,1.43,1.43,1.43,6213348000.0,6281905750.0,6213348000.0,14634994640.0,37.0,19.131,336262000.0,2.007,1.0,826993000.0,0.73,242822000.0,151264000.0,14916331000.0,14760187750.0,0.0,469522000.0,,,4842292000.0,,,10571606640.0,70372000.0,-3228000.0,-38973000.0,192891000.0,-390598000.0,-268206000.0,-282693000.0,-3806000.0,621271000.0,0.0,239430000.0,239430000.0,239430000.0,0.0,3828000.0,0.211,457081000.0,369912000.0,213705000.0,1.636,1.701,44.153,44.119,9667483000.0,0.0,63.09,9.329,9.329,169337000.0,-1408062000.0,1133138000.0,1133138000.0,0.0,0.022,0.038,0.026,0.345,19508000.0,74984000.0,1.0,167563903.0,167563903.0,,6.762,10889431000.0,0.0,0.0,0.0,64.987,
2,REG,MRY,2018-12-31,2018-12-31,2018-12-31,2021-08-06,-927000.0,10944663000.0,11104319750.0,,,0.101,37.759,-61035000.0,45190000.0,45190000.0,305890000.0,252325000.0,,0.702,3715212000.0,,,3715212000.0,0.0,359688000.0,57750000.0,0.038,2.22,397583000.0,757271000.0,0.676,757271000.0,397583000.0,249127000.0,1.47,1.46,1.47,6397970000.0,6500616250.0,6397970000.0,13615644634.0,34.0,17.98,549292000.0,3.242,1.0,815085000.0,0.727,387069000.0,148456000.0,14227616000.0,14401663250.0,0.0,463001000.0,,,4494495000.0,,,9942922634.0,-4191000.0,-59591000.0,-220524000.0,123214000.0,-375978000.0,-508494000.0,-106024000.0,14602000.0,610327000.0,0.0,249127000.0,249127000.0,249127000.0,0.0,3198000.0,0.222,434916000.0,380169000.0,224807000.0,1.51,1.554,39.911,39.918,9388234000.0,0.0,58.68,8.87,8.87,172359000.0,-1255465000.0,1120975000.0,1120975000.0,0.0,0.022,0.038,0.028,0.355,12550000.0,65491000.0,1.0,169443126.0,169443126.0,,6.616,10557594000.0,0.0,0.0,0.0,62.308,
3,REG,MRY,2017-12-31,2017-12-31,2017-12-31,2021-08-06,-6289000.0,11145717000.0,11148194500.0,,,0.088,39.339,-366486000.0,49381000.0,49381000.0,253713000.0,178980000.0,,0.659,3594977000.0,,,3594977000.0,0.0,334201000.0,46013000.0,0.03,2.1,298969000.0,633170000.0,0.643,633170000.0,298969000.0,166340000.0,1.0,1.0,1.0,6692052000.0,6677787250.0,6692052000.0,15259730900.0,51.0,24.101,103298000.0,0.607,1.0,730613000.0,0.742,478826000.0,132629000.0,14212487000.0,14065263000.0,0.0,386304000.0,,,4412663000.0,,,11768241900.0,31502000.0,-633716000.0,69909000.0,1196345000.0,-322650000.0,568948000.0,-1007230000.0,-7028000.0,469784000.0,0.0,176077000.0,159949000.0,159949000.0,0.0,2903000.0,0.162,491050000.0,239563000.0,234272000.0,2.1,1.759,73.575,69.18,9553050000.0,16128000.0,69.18,11.956,11.956,170985000.0,-1158170000.0,984326000.0,984326000.0,0.0,0.014,0.024,0.021,0.304,24393000.0,67624000.0,1.0,170110464.0,170110464.0,,5.786,10666891000.0,0.0,-9737000.0,0.0,62.706,
4,REG,MRY,2016-12-31,2016-12-31,2016-12-31,2021-08-06,-18346000.0,4488906000.0,4382792250.0,,,0.14,24.799,-431510000.0,17879000.0,17879000.0,161417000.0,166992000.0,,0.719,1642420000.0,,,1642420000.0,0.0,162327000.0,28868000.0,0.029,2.0,255634000.0,417961000.0,0.68,417961000.0,255634000.0,164922000.0,1.43,1.42,1.43,2591301000.0,2342968250.0,2591301000.0,8787527518.0,34.0,21.025,-134333000.0,-1.286,1.0,452954000.0,0.737,118831000.0,90712000.0,5994616000.0,6005014750.0,0.0,0.0,,,1864404000.0,,,7204813518.0,-22744000.0,20181000.0,541864000.0,-204357000.0,-201029000.0,88711000.0,-408632000.0,2697000.0,297177000.0,0.0,164922000.0,143860000.0,143860000.0,0.0,2070000.0,0.234,241735000.0,211219000.0,138936000.0,1.399,2.78,50.082,48.217,4105807000.0,21062000.0,68.95,11.727,11.727,111722000.0,-994259000.0,614371000.0,614371000.0,0.0,0.033,0.061,0.043,0.416,12307000.0,65327000.0,1.0,104493307.0,104493307.0,,5.88,4370075000.0,0.0,0.0,0.0,41.822,
5,REG,MRY,2015-12-31,2015-12-31,2015-12-31,2021-08-06,-58693000.0,4182881000.0,4142608250.0,,,0.138,21.815,-141514000.0,40623000.0,40623000.0,144833000.0,152543000.0,,1.022,1864285000.0,,,1864285000.0,0.0,146829000.0,29427000.0,0.028,1.94,252678000.0,399507000.0,0.701,399507000.0,252678000.0,150056000.0,1.37,1.36,1.37,2054109000.0,1920881000.0,2054109000.0,8408961039.0,33.0,21.048,144029000.0,1.53,1.0,424930000.0,0.746,105380000.0,102622000.0,5901163000.0,5996338250.0,0.0,29093000.0,,,2100261000.0,,,6414331039.0,-76920000.0,3747000.0,188588000.0,-183692000.0,-181392000.0,-223117000.0,-139346000.0,-1579000.0,285543000.0,0.0,150056000.0,128994000.0,128994000.0,0.0,2487000.0,0.226,220265000.0,204665000.0,164515000.0,1.416,3.123,49.726,49.723,3808319000.0,21062000.0,68.12,11.258,11.258,106164000.0,-936020000.0,569763000.0,569763000.0,0.0,0.031,0.067,0.042,0.443,11288000.0,65600000.0,1.0,94162229.0,94162229.0,,6.051,4077501000.0,0.0,0.0,0.0,43.303,
6,REG,MRY,2014-12-31,2014-12-31,2014-12-31,2021-08-06,-57748000.0,4197170000.0,4101145000.0,,,0.131,20.447,-231570000.0,121789000.0,121789000.0,136819000.0,188847000.0,,1.186,2021357000.0,,,2021357000.0,0.0,147791000.0,25991000.0,0.029,1.88,296881000.0,444672000.0,0.827,444672000.0,296881000.0,187390000.0,1.8,1.8,1.8,1906592000.0,1836519000.0,1906592000.0,7860287541.0,26.0,17.677,46172000.0,0.495,1.0,401079000.0,0.746,52365000.0,109491000.0,6044373000.0,5985980500.0,0.0,40266000.0,,,2260688000.0,,,5947091541.0,33092000.0,13575000.0,102453000.0,72727000.0,-172900000.0,-34360000.0,-210290000.0,7705000.0,277742000.0,0.0,187390000.0,166328000.0,166328000.0,0.0,1457000.0,0.309,216529000.0,184550000.0,181197000.0,1.044,3.119,35.755,35.433,3809345000.0,21062000.0,63.78,11.056,11.056,86767000.0,-882372000.0,537898000.0,537898000.0,0.0,0.041,0.091,0.05,0.552,11048000.0,60242000.0,1.0,93243831.0,93243831.0,,5.769,4144805000.0,0.0,0.0,0.0,44.451,
7,REG,MRY,2013-12-31,2013-12-31,2013-12-31,2021-08-06,-17404000.0,3913516000.0,3892839750.0,,,0.126,19.965,-119323000.0,90204000.0,90204000.0,124744000.0,151285000.0,,1.113,1854697000.0,,,1854697000.0,0.0,134454000.0,23911000.0,0.04,1.85,258770000.0,393224000.0,0.804,393224000.0,258770000.0,149804000.0,1.4,1.4,1.4,1843354000.0,1813608000.0,1843354000.0,6071208213.0,23.0,15.44,131408000.0,1.423,1.0,364263000.0,0.745,44805000.0,108966000.0,5633204000.0,5674054000.0,0.0,38641000.0,,,2052382000.0,,,4274761213.0,58335000.0,87111000.0,99787000.0,-86610000.0,-167773000.0,-182579000.0,-9817000.0,22395000.0,250731000.0,0.0,149804000.0,128742000.0,128742000.0,-65285000.0,1481000.0,0.263,199943000.0,164320000.0,147045000.0,1.321,2.319,33.204,33.071,3540507000.0,21062000.0,46.3,8.742,8.742,76931000.0,-874916000.0,489007000.0,489007000.0,0.0,0.033,0.071,0.046,0.529,15485000.0,61234000.0,1.0,92327456.0,92327456.0,,5.296,3868711000.0,0.0,0.0,0.0,41.902,
8,REG,MRY,2012-12-31,2012-12-31,2012-12-31,2021-08-06,-57715000.0,3853458000.0,3920543500.0,,,0.121,19.148,-34570000.0,28821000.0,28821000.0,119598000.0,26209000.0,,1.218,1941891000.0,,,1941891000.0,0.0,127839000.0,18146000.0,0.039,1.85,151220000.0,279059000.0,0.589,279059000.0,151220000.0,39091000.0,-0.08,-0.08,-0.08,1730765000.0,1791257000.0,1730765000.0,6053108680.0,40.0,21.691,222645000.0,2.463,1.0,354331000.0,0.748,42459000.0,112129000.0,5724069000.0,5820652500.0,0.0,47180000.0,,,2107547000.0,,,4259093680.0,10947000.0,38353000.0,21876000.0,-63709000.0,-164423000.0,-249891000.0,3623000.0,-160000.0,257215000.0,0.0,25867000.0,-6664000.0,-6664000.0,21728000.0,342000.0,-0.014,187895000.0,166436000.0,127185000.0,-23.125,2.461,-639.12,-589.0,3570090000.0,32531000.0,47.12,8.987,8.987,76591000.0,-834810000.0,473929000.0,473929000.0,0.0,-0.002,-0.004,0.026,0.319,11875000.0,61700000.0,1.0,90388236.0,90388236.0,,5.243,3810999000.0,0.0,13224000.0,0.0,42.163,
9,REG,MRY,2011-12-31,2011-12-31,2011-12-31,2021-08-06,-71429000.0,3987071000.0,4023538500.0,,,0.117,20.112,-265153000.0,17452000.0,17452000.0,120540000.0,55788000.0,,1.171,1982440000.0,,,1982440000.0,0.0,133756000.0,20416000.0,0.049,1.85,178009000.0,311765000.0,0.663,311765000.0,178009000.0,54364000.0,0.35,0.35,0.35,1808355000.0,1840346000.0,1808355000.0,5411741243.0,30.0,17.358,-47520000.0,-0.529,1.0,349909000.0,0.744,27054000.0,123645000.0,5925005000.0,5951775250.0,0.0,57497000.0,,,2117417000.0,,,3382596243.0,-5659000.0,188514000.0,217484000.0,-166670000.0,-160155000.0,-145569000.0,-77723000.0,-1084000.0,217633000.0,0.0,51370000.0,31695000.0,31695000.0,-16579000.0,4418000.0,0.067,183436000.0,166473000.0,101899000.0,5.286,1.871,106.723,107.486,3697175000.0,19675000.0,37.62,7.19,7.19,85865000.0,-662735000.0,470449000.0,470449000.0,0.0,0.008,0.017,0.03,0.378,7688000.0,56117000.0,1.0,89914839.0,89914839.0,,5.232,3960017000.0,0.0,2994000.0,0.0,44.042,
