None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,SBUX,ARY,2020-12-31,2020-11-12,2020-09-27,2021-07-27,-364600000,29374500000,28431325000.0,7806400000,21568100000,0.827,-6.66,-1483600000.0,4350900000,4350900000,7694900000.0,924700000.0,1.063,-4.759,25258800000,2937500000,22321300000,25258800000,8055000000,2700800000.0,0,0.018,1.68,1605000000.0,4305800000.0,0.183,4305800000.0,1605000000.0,1168000000.0,0.79,0.79,0.79,-7810800000,-7680600000.0,-7810800000,130684061000,81.0,30.351,114200000.0,0.097,1.0,15823100000.0,0.673,4149300000,437000000.0,38786300000,36337650000.0,1551400000,966000000,281200000,684800000,37173900000,7346800000,29827100000,109776161000,1664300000.0,0.0,-1400100000.0,5166500000.0,-1923500000.0,1713300000.0,-1711500000.0,-183500000.0,1597800000.0,64700000.0,928300000.0,928300000.0,928300000.0,0.0,-3600000.0,0.039,14583900000.0,1239200000.0,997900000,2.127,-14.054,118.255,118.392,14375500000,0.0,93.53,4.668,4.664,883400000,-7815600000,23518000000.0,23518000000.0,0.0,0.033,-0.121,0.044,0.068,248600000.0,1679600000.0,1.0,1173700000,1172800000,1181800000.0,20.053,25225200000,1789900000,239700000.0,98200000,21.509,459600000
1,SBUX,ARY,2019-12-31,2019-11-15,2019-09-29,2021-07-27,-503300000,19219600000,19434300000.0,5653900000,13565700000,1.364,-5.103,-1806600000.0,2686600000,2686600000,8526900000.0,3594600000.0,0.917,-4.084,11167000000,0,11167000000,11167000000,8013400000,1449300000.0,0,0.018,1.49,4801800000.0,6251100000.0,0.236,6251100000.0,4801800000.0,4470800000.0,2.95,2.92,2.95,-6232200000,-4618650000.0,-6232200000,107932410000,22.0,17.266,3240400000.0,2.653,1.0,17981700000.0,0.678,4272600000,331000000.0,17258700000,15906075000.0,1529400000,686500000,70500000,616000000,25450600000,6168700000,19281900000,99452010000,-6069700000.0,684300000.0,-9812500000.0,1646000000.0,-1761300000.0,-10056900000.0,-1010800000.0,167700000.0,5047000000.0,-49000000.0,3599200000.0,3599200000.0,3599200000.0,0.0,-4600000.0,0.136,14201800000.0,3779900000.0,1189700000,0.505,-15.958,27.632,28.546,6431700000,0.0,84.21,3.752,3.879,879200000,-5771200000,26508600000.0,26508600000.0,0.0,0.185,-0.779,0.302,0.181,308000000.0,1824100000.0,1.0,1181000000,1221200000,1233200000.0,21.707,14947000000,1765800000,871600000.0,1291700000,12.24,-514800000
2,SBUX,ARY,2018-12-31,2018-11-16,2018-09-30,2021-07-27,-330300000,24156400000,19352625000.0,12494200000,11662200000,1.277,0.846,-1976400000.0,8756300000,8756300000,10174500000.0,4518000000.0,2.198,19.65,9440100000,349900000,9090200000,9440100000,8418600000,1305900000.0,0,0.019,1.32,5950600000.0,7256500000.0,0.294,7256500000.0,5950600000.0,5780300000.0,3.27,3.24,3.27,1169500000,3905875000.0,1169500000,85243096000,14.0,11.747,9961400000.0,7.204,1.0,14545000000.0,0.588,4583800000,170300000.0,14572200000,11521950000.0,1400500000,783900000,181500000,602400000,22980600000,5684200000,17296400000,84559296000,6294000000.0,-703100000.0,-6979600000.0,5584100000.0,-1743400000.0,-3242800000.0,-2361500000.0,312400000.0,11937800000.0,-39500000.0,4518300000.0,4518300000.0,4518300000.0,0.0,-300000.0,0.183,10962900000.0,3582100000.0,1179300000,0.404,72.304,18.715,20.844,5929100000,0.0,68.16,3.421,3.813,693100000,1457400000,24719500000.0,24719500000.0,0.0,0.233,1.157,0.516,0.241,250300000.0,1759000000.0,1.0,1240600000,1382700000,1394600000.0,17.878,19572600000,134700000,1262000000.0,0,14.155,6810000000
3,SBUX,ARY,2017-12-31,2017-11-17,2017-10-01,2021-07-27,-155600000,14365600000,14283375000.0,5283400000,9082200000,1.567,3.76,-1519400000.0,2462300000,2462300000,9038200000.0,2884900000.0,1.252,1.635,3932600000,0,3932600000,3932600000,0,1067100000.0,0,0.018,1.05,4409800000.0,5476900000.0,0.245,5476900000.0,4409800000.0,4317300000.0,1.99,1.97,1.99,5450100000,5673775000.0,5450100000,82470304000,19.0,15.058,2654900000.0,1.832,1.0,13348600000.0,0.596,1980600000,92500000.0,9634600000,9493900000.0,1364000000,1252500000,228600000,1023900000,8908600000,4220700000,4687900000,81000004000,333500000.0,85400000.0,-1891700000.0,350200000.0,-1450400000.0,-3001600000.0,-850000000.0,529700000.0,4174300000.0,10800000.0,2884700000.0,2884700000.0,2884700000.0,0.0,200000.0,0.129,9605300000.0,3743300000.0,782500000,0.528,14.862,28.079,28.608,4919500000,0.0,56.93,3.618,3.686,870400000,5563200000,22386800000.0,22386800000.0,0.0,0.202,0.508,0.464,0.197,176000000.0,1393300000.0,1.0,1422800000,1449500000,1461500000.0,15.444,12385000000,795400000,1432600000.0,0,8.544,1062700000
4,SBUX,ARY,2016-12-31,2016-11-18,2016-10-02,2021-07-27,-108400000,14329500000,13406400000.0,4760500000,9569000000,1.59,3.998,-1440300000.0,2128800000,2128800000,8511100000.0,2818900000.0,1.047,1.434,3602200000,400000000,3202200000,3602200000,0,1030100000.0,0,0.015,0.85,4278700000.0,5308800000.0,0.249,5308800000.0,4278700000.0,4197400000.0,1.91,1.9,1.91,5884000000,5670475000.0,5884000000,82641058000,19.0,15.567,3134800000.0,2.13,1.0,12804800000.0,0.601,2235900000,81300000.0,9020100000,8023250000.0,1378500000,1630600000,134400000,1496200000,8438800000,4546900000,3891900000,81167658000,598700000.0,69600000.0,-1834900000.0,1254500000.0,-1178000000.0,-1750000000.0,-2222900000.0,-877100000.0,4575100000.0,-3500000.0,2817700000.0,2817700000.0,2817700000.0,0.0,1200000.0,0.132,8951100000.0,3853700000.0,730600000,0.445,13.795,28.806,29.199,4533800000,0.0,55.77,3.808,3.85,768800000,5949800000,21315900000.0,21315900000.0,0.0,0.21,0.497,0.533,0.201,218100000.0,1360600000.0,1.0,1455400000,1471600000,1486700000.0,14.485,12093600000,885400000,1379700000.0,0,8.218,213600000
5,SBUX,ARY,2015-12-31,2015-11-12,2015-09-27,2021-07-27,-199400000,12446100000,12464175000.0,4352700000,8093400000,1.537,3.889,-1303700000.0,1530100000,1530100000,7787500000.0,2759300000.0,1.191,1.139,2347500000,0,2347500000,2347500000,0,933800000.0,0,0.011,0.68,3971600000.0,4905400000.0,0.256,4905400000.0,3971600000.0,3901100000.0,1.84,1.82,1.84,5818000000,5864650000.0,5818000000,91494136000,23.0,18.652,2445400000.0,1.635,1.0,11375200000.0,0.594,2095800000,70500000.0,7514200000,7184275000.0,1306400000,745800000,81300000,664500000,6626300000,3653500000,2972800000,90676736000,-178300000.0,-275400000.0,-1244300000.0,238400000.0,-928600000.0,-2256500000.0,-1520300000.0,52000000.0,3749100000.0,-150600000.0,2757400000.0,2757400000.0,2757400000.0,0.0,1900000.0,0.144,8024100000.0,3351100000.0,684200000,0.37,15.586,32.885,33.19,4088300000,0.0,61.07,4.732,4.767,719000000,5974800000,19162700000.0,19162700000.0,0.0,0.221,0.47,0.553,0.207,209800000.0,1196700000.0,1.0,1484800000,1495900000,1513400000.0,12.81,10350300000,1210600000,1143700000.0,0,6.919,699200000
6,SBUX,ARY,2014-12-31,2014-11-14,2014-09-28,2021-07-27,25300000,10752900000,10372600000.0,4168700000,6584200000,1.586,3.5,-1160900000.0,1708400000,1708400000,6858800000.0,2067700000.0,1.372,1.039,2048300000,0,2048300000,2048300000,794500000,748400000.0,0,0.014,0.55,3224200000.0,3972600000.0,0.242,3972600000.0,3224200000.0,3160100000.0,1.375,1.355,1.375,5272000000,5043325000.0,5272000000,58797096000,18.0,14.801,-553100000.0,-0.367,1.0,9589000000.0,0.583,1129700000,64100000.0,6924400000,7015725000.0,1090900000,968700000,135400000,833300000,5479200000,3038700000,2440500000,58457196000,-867300000.0,103900000.0,-618900000.0,748500000.0,-783100000.0,-623300000.0,-817700000.0,258400000.0,607800000.0,-34100000.0,2068100000.0,2068100000.0,2068100000.0,0.0,-400000.0,0.126,6776200000.0,2812800000.0,533700000,0.4,11.088,28.266,28.407,3519000000,0.0,39.06,3.554,3.577,631000000,5206600000,16447800000.0,16447800000.0,0.0,0.199,0.41,0.46,0.196,183200000.0,991300000.0,1.0,1496600000,1506200000,1526200000.0,10.92,9623200000,1220700000,1092000000.0,0,6.389,1130000000
7,SBUX,ARY,2013-12-31,2013-11-18,2013-09-29,2021-07-27,67000000,11516700000,9393000000.0,5471400000,6045300000,1.585,2.99,-1135900000.0,2575700000,2575700000,6382300000.0,8800000.0,1.017,1.57,1299400000,0,1299400000,1299400000,653700000,655600000.0,0,0.011,0.445,-202300000.0,453300000.0,0.03,453300000.0,-202300000.0,-230400000.0,0.005,0.005,0.005,4480200000,5178100000.0,4480200000,59418644000,-294.0,131.08,1772400000.0,1.183,1.0,8509900000.0,0.571,1137700000,28100000.0,3725400000,4428450000.0,1111200000,1212900000,658100000,554800000,7034400000,5377300000,1657100000,60694944000,1387100000.0,-502400000.0,-340900000.0,714500000.0,-628900000.0,-108200000.0,-1411200000.0,254300000.0,2908300000.0,-1800000.0,8300000.0,8300000.0,8300000.0,0.0,500000.0,0.001,9086700000.0,-576800000.0,491700000,89.0,13.547,7312.644,8054.0,3200500000,0.0,40.27,4.076,4.052,561400000,4130300000,14892200000.0,14892200000.0,0.0,0.001,0.002,-0.046,-0.014,142300000.0,937900000.0,1.0,1507200000,1498600000,1524600000.0,9.937,10379000000,1244300000,-238700000.0,0,6.926,94100000
8,SBUX,ARY,2012-12-31,2012-11-16,2012-09-30,2021-07-27,22700000,8219200000,8092550000.0,4199600000,4019600000,1.643,3.386,-850900000.0,1188600000,1188600000,5813300000.0,1384700000.0,1.9,0.608,549600000,0,549600000,549600000,510200000,580600000.0,0,0.015,0.36,2090900000.0,2671500000.0,0.201,2671500000.0,2090900000.0,2058200000.0,0.915,0.895,0.915,5109000000,5100175000.0,5109000000,35618936000,17.0,13.333,899400000.0,0.596,1.0,7486200000.0,0.563,399100000,32700000.0,4971300000,4776250000.0,1241500000,1424300000,848400000,575900000,3104700000,2209800000,894900000,36257936000,40500000.0,-129100000.0,-312500000.0,-30800000.0,-513000000.0,-745500000.0,-974000000.0,47800000.0,1750300000.0,9700000.0,1383800000.0,1383800000.0,1383800000.0,0.0,900000.0,0.104,5699500000.0,1786700000.0,398100000,0.393,7.097,26.202,26.645,2658900000,0.0,24.38,2.726,2.766,485900000,5046200000,13299500000.0,13299500000.0,0.0,0.171,0.271,0.438,0.157,153600000.0,801200000.0,1.0,1487200000,1508800000,1546000000.0,8.815,7820100000,238700000,674400000.0,0,5.183,1989800000
9,SBUX,ARY,2011-12-31,2011-11-18,2011-10-02,2021-07-27,46300000,7360400000,7104225000.0,3794900000,3565500000,1.647,2.93,-414500000.0,1148100000,1148100000,4949300000.0,1248000000.0,1.828,0.678,549500000,0,549500000,549500000,449300000,550000000.0,0,0.013,0.28,1842100000.0,2392100000.0,0.204,2392100000.0,1842100000.0,1808800000.0,0.83,0.81,0.83,4384900000,4273325000.0,4384900000,30723108000,17.0,12.844,1197900000.0,0.8,1.0,6751100000.0,0.577,433500000,33300000.0,4252500000,3793850000.0,965800000,1381900000,902600000,479300000,2973100000,2075800000,897300000,31321708000,-15900000.0,-55800000.0,-320500000.0,26500000.0,-389500000.0,-608000000.0,-1019500000.0,-549200000.0,1612400000.0,-800000.0,1245700000.0,1245700000.0,1245700000.0,0.0,2300000.0,0.106,5196300000.0,1554800000.0,540000000,0.337,7.143,25.144,25.313,2355000000,0.0,21.01,2.677,2.687,386500000,4297400000,11700400000.0,11700400000.0,0.0,0.175,0.292,0.486,0.157,145200000.0,636100000.0,1.0,1490800000,1496600000,1539400000.0,7.818,6926900000,230400000,563100000.0,109200000,4.628,1719100000
