None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,SMI1,ARY,2000-12-31,2001-03-28,2000-12-30,2019-05-20,-9330000,1584146000,1621050000.0,836365000,747781000,1.403,45.739,-166817000.0,2862000,2862000,1848913000.0,67144000.0,3.086,0.932,333196000,49916000,283280000,333196000,0,101292000.0,0,0.038,1.32,138583000.0,239875000.0,0.105,239875000.0,138583000.0,106599000.0,3.75,3.7,3.75,819787000,806446000.0,819787000,1106865361,8.0,4.614,-93317000.0,-5.207,1.0,426143000.0,0.187,129859000,31984000.0,1513614000,1583137750.0,508067000,0,0,0,764359000,271007000,493352000,776531361,-43917000.0,15347000.0,2073000.0,47318000.0,-22707000.0,26684000.0,-144101000.0,7369000.0,73500000.0,0.0,67144000.0,67144000.0,67144000.0,0.0,0.0,0.03,287560000.0,138583000.0,106728000,0.44,0.947,11.565,11.541,617922000,0.0,43.28,0.341,0.341,291050000,722515000,2275056000.0,2275056000.0,0.0,0.041,0.083,0.088,0.061,0.0,275472000.0,1.0,17942037,17923000,18160000.0,126.935,1454287000,0,39455000.0,7879000,81.141,565358000
1,SMI1,ARY,1999-12-31,2000-03-29,2000-01-01,2019-05-20,-9203000,1574998000,1528402750.0,823417000,751581000,1.453,43.364,-115033000.0,4210000,4210000,1800903000.0,68961000.0,2.741,1.033,340187000,56653000,283534000,340187000,0,86951000.0,0,0.043,1.32,137748000.0,224699000.0,0.101,224699000.0,137748000.0,111228000.0,3.86,3.8,3.86,774871000,752561500.0,774871000,1016638168,7.0,4.524,16521000.0,0.925,1.0,419500000.0,0.189,125938000,26520000.0,1484616000,1548118250.0,479328000,0,0,0,800127000,300421000,499706000,680661168,47754000.0,39686000.0,-94330000.0,103115000.0,-24317000.0,-15532000.0,-68268000.0,7079000.0,131554000.0,0.0,68961000.0,68961000.0,68961000.0,0.0,0.0,0.031,281752000.0,137748000.0,106569000,0.427,0.878,9.87,9.845,625643000,0.0,38.0,0.307,0.306,302210000,678170000,2220403000.0,2220403000.0,0.0,0.045,0.092,0.089,0.062,0.0,278174000.0,1.0,17912136,17869000,18168000.0,124.26,1449060000,0,42267000.0,18101000,81.094,522996000
2,SMI1,ARY,1998-12-31,1999-04-01,1999-01-02,2019-05-20,-10524000,1435332000,1457388500.0,787176000,648156000,1.496,39.038,-120451000.0,48127000,48127000,1795757000.0,37329000.0,3.389,0.982,289304000,21313000,267991000,289304000,0,86951000.0,0,0.048,1.32,83848000.0,170799000.0,0.078,170799000.0,83848000.0,58779000.0,2.01,1.97,2.01,724116000,734756500.0,724116000,731589945,9.0,4.283,16521000.0,0.891,1.0,384740000.0,0.176,0,25069000.0,1444242000,1494651750.0,385609000,0,0,0,711216000,232267000,478949000,490412945,47754000.0,39686000.0,-94330000.0,103115000.0,-24317000.0,-15532000.0,-73686000.0,7079000.0,136972000.0,0.0,37329000.0,37329000.0,37329000.0,0.0,0.0,0.017,300892000.0,83848000.0,98504000,0.657,0.677,13.138,13.682,555396000,0.0,27.5,0.225,0.234,275144000,631943000,2180497000.0,2180497000.0,0.0,0.026,0.051,0.056,0.038,0.0,263806000.0,1.0,17833198,18549000,18938000.0,117.553,1435332000,0,21450000.0,0,77.381,554909000
3,SMI1,ARY,1997-12-31,1998-03-27,1998-01-03,2019-05-20,-8132000,1408743000,,786679000,622064000,,41.423,-98478000.0,373000,373000,1820131000.0,68965000.0,3.277,0.751,186189000,21902000,164287000,186189000,0,84565000.0,0,0.006,0.33,121520000.0,206085000.0,0.093,206085000.0,121520000.0,102937000.0,3.43,3.34,3.43,804598000,,804598000,1271129039,10.0,6.168,11209000.0,0.577,1.0,405944000.0,0.182,0,18583000.0,1354466000,,420295000,0,0,0,604145000,240093000,364052000,1085313039,-30346000.0,-3038000.0,-18325000.0,1628000.0,-25733000.0,-42430000.0,-97603000.0,3913000.0,109687000.0,0.0,68965000.0,68965000.0,68965000.0,0.0,0.0,0.031,284424000.0,121520000.0,92135000,0.096,1.349,15.737,16.29,540531000,0.0,55.875,0.488,0.488,317702000,701354000,2226075000.0,2226075000.0,0.0,,,,0.055,0.0,279692000.0,1.0,19423947,19423947,,114.605,1408743000,0,33972000.0,0,72.526,546586000
0,SMI1,ARQ,2001-06-30,2001-08-14,2001-06-30,2019-05-20,-17505000,1598997000,,862376000,736621000,,46.309,-17114000.0,11372000,11372000,446133000.0,16950000.0,2.835,0.923,335749000,74627000,261122000,335749000,0,28403000.0,0,0.029,0.33,33233000.0,61636000.0,0.113,61636000.0,33233000.0,26895000.0,0.94,0.93,0.94,831671000,,831671000,1139238181,9.0,5.031,60055000.0,3.344,1.0,100809000.0,0.184,125701000,6338000.0,1493472000,,511944000,0,0,0,767326000,304201000,463125000,814861181,2940000.0,0.0,829000.0,-52289000.0,-5714000.0,-57174000.0,-17055000.0,59000.0,77169000.0,0.0,16950000.0,16950000.0,16950000.0,0.0,0.0,0.031,67576000.0,33233000.0,114218000,0.351,0.98,14.131,14.128,610920000,0.0,45.35,0.366,0.366,293889000,741167000,546942000.0,546942000.0,0.0,,,,,0.0,65430000.0,1.0,17968273,17959000,18319000.0,30.455,1473296000,0,9945000.0,13611000,82.037,558175000
1,SMI1,ARQ,2001-03-31,2001-05-15,2001-03-31,2019-05-20,-16218000,1630914000,,881242000,749672000,,45.758,-18041000.0,8432000,8432000,470017000.0,13123000.0,2.952,0.987,388037000,82909000,305128000,388037000,0,28014000.0,0,0.029,0.33,28408000.0,56422000.0,0.099,56422000.0,28408000.0,20823000.0,0.73,0.72,0.73,820716000,,820716000,1185406128,9.0,5.141,-25968000.0,-1.448,1.0,100363000.0,0.176,129000000,7585000.0,1583023000,,499680000,0,0,0,810198000,298496000,511702000,805801128,5570000.0,-12389000.0,289000.0,54842000.0,-11410000.0,43721000.0,-30224000.0,206000.0,-7927000.0,0.0,13123000.0,13123000.0,13123000.0,0.0,0.0,0.023,71955000.0,28408000.0,103020000,0.452,0.982,13.394,13.403,620672000,0.0,44.9,0.358,0.358,336947000,729931000,570380000.0,570380000.0,0.0,,,,,0.0,67813000.0,1.0,17946573,17936000,18215000.0,31.801,1501914000,0,7700000.0,0,83.737,582746000
2,SMI1,ARQ,2000-12-31,2001-03-28,2000-12-30,2019-05-20,-9330000,1584146000,,836365000,747781000,,45.716,-97382000.0,2862000,2862000,447600000.0,9496000.0,3.086,0.932,333196000,49916000,283280000,333196000,0,22344000.0,0,0.038,0.33,23020000.0,45364000.0,0.085,45364000.0,23020000.0,15080000.0,0.53,0.54,0.53,819787000,,819787000,1106865361,8.0,4.614,-90394000.0,-5.041,1.0,86351000.0,0.162,129859000,7940000.0,1513614000,,508067000,0,0,0,764359000,271007000,493352000,776531361,-42447000.0,21047000.0,1954000.0,18594000.0,83000.0,20631000.0,-70066000.0,6269000.0,6988000.0,0.0,9496000.0,9496000.0,9496000.0,0.0,0.0,0.018,63331000.0,23020000.0,106728000,0.623,0.947,11.565,11.541,617922000,0.0,43.28,0.341,0.341,291050000,722515000,533951000.0,533951000.0,0.0,,,,,0.0,58371000.0,1.0,17942037,17932000,17986000.0,29.776,1454287000,0,5584000.0,7879000,81.1,565358000
3,SMI1,ARQ,2000-09-30,2000-11-13,2000-09-30,2019-05-20,-11335000,1627118000,,874659000,752459000,,45.4,-16886000.0,2740000,2740000,466152000.0,18097000.0,3.137,1.0,368911000,47409000,321502000,368911000,0,26136000.0,0,0.05,0.33,36880000.0,63016000.0,0.11,63016000.0,36880000.0,28730000.0,1.01,1.0,1.01,813750000,,813750000,837987279,5.0,3.357,29659000.0,1.655,1.0,108601000.0,0.189,131175000,8150000.0,1583297000,,506344000,0,0,0,813368000,278817000,534551000,471816279,-98000.0,-5700000.0,0.0,-18505000.0,-5700000.0,-24205000.0,-22438000.0,148000.0,46545000.0,0.0,18097000.0,18097000.0,18097000.0,0.0,0.0,0.031,71721000.0,36880000.0,96824000,0.327,0.58,5.892,5.9,621284000,0.0,26.313,0.208,0.208,327999000,718722000,574753000.0,574753000.0,0.0,,,,,0.0,69837000.0,1.0,17931260,17924000,18117000.0,32.066,1495943000,0,10633000.0,0,83.46,595842000
4,SMI1,ARQ,2000-06-30,2000-08-15,2000-07-01,2019-05-20,-9919000,1626094000,,874159000,751935000,,44.789,-26182000.0,2838000,2838000,456994000.0,19444000.0,2.898,1.026,387416000,77213000,310203000,387416000,0,26917000.0,0,0.042,0.33,38877000.0,65794000.0,0.115,65794000.0,38877000.0,30859000.0,1.08,1.06,1.08,802758000,,802758000,945814326,6.0,3.85,37905000.0,2.115,1.0,116134000.0,0.203,125634000,8018000.0,1583430000,,518038000,0,0,0,823336000,301608000,521728000,561236326,-9030000.0,0.0,119000.0,-41917000.0,-5699000.0,-47497000.0,-25620000.0,562000.0,64087000.0,0.0,19444000.0,19444000.0,19444000.0,0.0,0.0,0.034,77257000.0,38877000.0,100868000,0.306,0.699,7.018,7.021,626301000,0.0,31.313,0.249,0.249,314779000,706325000,573128000.0,573128000.0,0.0,,,,,0.0,72946000.0,1.0,17923715,17923000,18331000.0,31.977,1500460000,0,11415000.0,0,83.717,572551000
5,SMI1,ARQ,2000-03-31,2000-05-16,2000-04-01,2019-05-20,-9050000,1646842000,,892418000,754424000,,44.076,-26367000.0,11868000,11868000,478167000.0,20107000.0,3.119,1.086,429333000,68937000,360396000,429333000,0,25895000.0,0,0.028,0.33,39806000.0,65701000.0,0.111,65701000.0,39806000.0,31930000.0,1.12,1.1,1.12,789489000,,789489000,1263840075,9.0,5.404,-70487000.0,-3.935,1.0,115057000.0,0.194,126013000,7876000.0,1652210000,,487366000,0,0,0,857353000,286084000,571269000,846375075,7658000.0,0.0,0.0,89146000.0,-11391000.0,77755000.0,-25977000.0,390000.0,-44120000.0,0.0,20107000.0,20107000.0,20107000.0,0.0,0.0,0.034,75251000.0,39806000.0,99277000,0.295,1.072,11.465,11.468,628411000,0.0,47.25,0.38,0.38,355620000,692580000,593224000.0,593224000.0,0.0,,,,,0.0,74318000.0,1.0,17912700,17912000,18206000.0,33.119,1520829000,0,11823000.0,0,84.906,606334000
