None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,STJ,MRY,2015-12-31,2016-01-02,2016-01-02,2019-04-19,-345000000.0,12900000000.0,10768250000.0,3082000000.0,9818000000.0,0.515,14.323,-186000000.0,667000000.0,667000000.0,1745000000.0,866000000.0,1.25,2.191,6392000000.0,1163000000.0,5229000000.0,6392000000.0,0.0,334000000.0,0.0,0.019,1.16,1045000000.0,1379000000.0,0.249,1379000000.0,1045000000.0,942000000.0,3.11,3.07,3.11,4042000000.0,3930750000.0,4042000000.0,19984925434.0,19.0,14.492,853000000.0,3.023,1.0,3796000000.0,0.685,7877000000.0,103000000.0,8282000000.0,6257500000.0,909000000.0,0.0,0.0,0.0,8858000000.0,2466000000.0,6392000000.0,17459925434.0,-775000000.0,-3252000000.0,-361000000.0,2562000000.0,-322000000.0,1692000000.0,-3445000000.0,30000000.0,1039000000.0,-61000000.0,880000000.0,880000000.0,880000000.0,0.0,-14000000.0,0.159,2766000000.0,1030000000.0,201000000.0,0.373,4.32,19.841,19.862,1320000000.0,0.0,61.77,3.151,3.146,1237000000.0,4211000000.0,5541000000.0,5541000000.0,676000000.0,0.082,0.224,0.167,0.189,136000000.0,1878000000.0,1.0,282660279.0,282200000,286300000.0,19.635,5023000000.0,0.0,62000000.0,201000000.0,17.799,616000000.0
1,STJ,MRY,2014-12-31,2015-01-03,2015-01-03,2019-04-19,-173000000.0,10193000000.0,10290750000.0,3900000000.0,6293000000.0,0.546,14.733,-190000000.0,1442000000.0,1442000000.0,1653000000.0,955000000.0,1.463,1.417,3852000000.0,1593000000.0,2259000000.0,3852000000.0,0.0,310000000.0,0.0,0.017,1.08,1200000000.0,1510000000.0,0.269,1510000000.0,1200000000.0,1115000000.0,3.52,3.46,3.52,4199000000.0,4084500000.0,4199000000.0,21137181064.0,18.0,13.998,1114000000.0,3.909,1.0,3969000000.0,0.706,4383000000.0,85000000.0,5554000000.0,6463250000.0,784000000.0,0.0,0.0,0.0,5949000000.0,2666000000.0,3283000000.0,18567181064.0,69000000.0,-147000000.0,-341000000.0,275000000.0,-303000000.0,-827000000.0,-339000000.0,7000000.0,1304000000.0,-69000000.0,1002000000.0,1002000000.0,1002000000.0,0.0,-47000000.0,0.178,2818000000.0,1151000000.0,151000000.0,0.307,4.422,18.53,18.449,1343000000.0,0.0,64.94,3.303,3.292,1215000000.0,4225000000.0,5622000000.0,5622000000.0,692000000.0,0.097,0.245,0.186,0.213,50000000.0,1856000000.0,1.0,285912859.0,285000000,289700000.0,19.726,5810000000.0,404000000.0,113000000.0,300000000.0,20.386,1234000000.0
2,STJ,MRY,2013-12-31,2013-12-28,2013-12-28,2019-04-19,46000000.0,10248000000.0,9758250000.0,3910000000.0,6338000000.0,0.564,14.742,-222000000.0,1373000000.0,1373000000.0,1574000000.0,692000000.0,2.833,1.381,3580000000.0,62000000.0,3518000000.0,3580000000.0,0.0,297000000.0,0.0,0.016,1.0,896000000.0,1193000000.0,0.217,1193000000.0,896000000.0,815000000.0,2.52,2.49,2.52,4231000000.0,4018000000.0,4231000000.0,20389372509.0,23.0,17.091,739000000.0,2.575,1.0,3927000000.0,0.714,4435000000.0,81000000.0,6640000000.0,6509000000.0,708000000.0,0.0,0.0,0.0,5844000000.0,1380000000.0,4464000000.0,18165372509.0,179000000.0,-292000000.0,-390000000.0,554000000.0,-282000000.0,-257000000.0,-522000000.0,10000000.0,961000000.0,-3000000.0,723000000.0,723000000.0,723000000.0,0.0,-31000000.0,0.131,2876000000.0,1051000000.0,247000000.0,0.397,4.293,25.125,24.702,1410000000.0,0.0,62.25,3.302,3.248,1422000000.0,3936000000.0,5501000000.0,5501000000.0,691000000.0,0.074,0.18,0.138,0.163,50000000.0,1805000000.0,1.0,291813213.0,287000000,290600000.0,19.167,5813000000.0,345000000.0,92000000.0,272000000.0,20.254,2530000000.0
3,STJ,MRY,2012-12-31,2012-12-29,2012-12-29,2019-04-19,46000000.0,9271000000.0,9163000000.0,3551000000.0,5720000000.0,0.601,13.067,-280000000.0,1194000000.0,1194000000.0,1538000000.0,752000000.0,2.001,1.265,3080000000.0,530000000.0,2550000000.0,3080000000.0,0.0,284000000.0,0.0,0.026,0.92,1078000000.0,1362000000.0,0.248,1362000000.0,1078000000.0,1005000000.0,2.4,2.39,2.4,4094000000.0,4446750000.0,4094000000.0,12403047058.0,12.0,9.106,1055000000.0,3.367,1.0,3965000000.0,0.721,3765000000.0,73000000.0,5617000000.0,5812500000.0,610000000.0,0.0,0.0,0.0,5177000000.0,1775000000.0,3402000000.0,10931047058.0,208000000.0,0.0,-873000000.0,321000000.0,-284000000.0,-813000000.0,-313000000.0,19000000.0,1335000000.0,-1000000.0,752000000.0,752000000.0,752000000.0,0.0,0.0,0.137,2865000000.0,1100000000.0,254000000.0,0.383,2.67,14.536,14.779,1425000000.0,0.0,35.47,1.986,2.019,1349000000.0,4018000000.0,5503000000.0,5503000000.0,676000000.0,0.082,0.169,0.185,0.196,68000000.0,1803000000.0,1.0,308177250.0,313300000,314800000.0,17.565,5506000000.0,350000000.0,253000000.0,465000000.0,17.574,1776000000.0
4,STJ,MRY,2011-12-31,2011-12-31,2011-12-31,2019-04-19,16000000.0,9118000000.0,9037898250.0,3384000000.0,5734000000.0,0.621,13.799,-307000000.0,986000000.0,986000000.0,1533000000.0,826000000.0,3.189,1.038,2796000000.0,83000000.0,2713000000.0,2796000000.0,0.0,296000000.0,0.0,0.024,0.84,1019000000.0,1315000000.0,0.234,1315000000.0,1019000000.0,1019000000.0,2.55,2.52,2.55,4475000000.0,4570743250.0,4475000000.0,12983849798.0,13.0,9.874,980000000.0,3.022,1.0,4079000000.0,0.727,3809000000.0,0.0,6058000000.0,6031332000.0,624000000.0,0.0,0.0,0.0,4643000000.0,1061000000.0,3582000000.0,10941323798.0,486000000.0,0.0,-507000000.0,247000000.0,-205000000.0,-456000000.0,-337000000.0,0.0,1287000000.0,-8000000.0,826000000.0,826000000.0,826000000.0,0.0,0.0,0.147,2964000000.0,1115000000.0,202000000.0,0.329,2.445,13.246,13.451,1388000000.0,0.0,34.3,1.95,1.982,1367000000.0,4384000000.0,5612000000.0,5612000000.0,705000000.0,0.091,0.181,0.169,0.182,67000000.0,2084000000.0,1.0,318989032.0,324300000,327100000.0,17.305,5309000000.0,225000000.0,193000000.0,393000000.0,16.371,2323000000.0
5,STJ,MRY,2010-12-31,2011-01-01,2011-01-01,2019-04-19,84004000.0,8566448000.0,7381479250.0,2912148000.0,5654300000.0,0.7,13.32,-305000000.0,500336000.0,500336000.0,1410000000.0,907000000.0,2.863,0.96,2511603000.0,79637000.0,2431966000.0,2511603000.0,0.0,244000000.0,0.0,0.0,0.0,1208000000.0,1452000000.0,0.281,1452000000.0,1208000000.0,1208000000.0,2.76,2.75,2.76,4371671000.0,3987603500.0,4371671000.0,15214075751.0,13.0,10.478,969000000.0,2.952,1.0,3754000000.0,0.727,3942662000.0,0.0,5617803000.0,5180701000.0,667545000.0,0.0,0.0,0.0,4194777000.0,1017250000.0,3177527000.0,14077423751.0,107000000.0,-679000000.0,-439000000.0,346000000.0,0.0,-86000000.0,-1081000000.0,8000000.0,1274000000.0,0.0,907000000.0,907000000.0,907000000.0,0.0,0.0,0.176,2478000000.0,1276000000.0,297551000.0,0.0,3.22,15.521,15.489,1323931000.0,0.0,42.75,2.726,2.717,1331210000.0,4098639000.0,5164000000.0,5164000000.0,631000000.0,0.123,0.227,0.233,0.234,53000000.0,1818000000.0,1.0,329296462.0,328200000,330500000.0,15.734,4623786000.0,196599000.0,301000000.0,310503000.0,14.088,1894898000.0
6,STJ,MRY,2009-12-31,2010-01-02,2010-01-02,2019-04-19,94034000.0,6425811000.0,6401331750.0,2560206000.0,3865605000.0,0.731,9.75,-326408000.0,392927000.0,392927000.0,1253385000.0,777226000.0,2.399,0.933,1922402000.0,334787000.0,1587615000.0,1922402000.0,0.0,213465000.0,0.0,0.0,0.0,1057393000.0,1270858000.0,0.271,1270858000.0,1057393000.0,1057393000.0,2.28,2.26,2.28,3323551000.0,3530769000.0,3323551000.0,13467773058.0,13.0,10.597,542467000.0,1.591,1.0,3427888000.0,0.732,2461993000.0,0.0,4425980000.0,3925897000.0,659960000.0,0.0,0.0,0.0,3102260000.0,1067313000.0,2034947000.0,12293908058.0,256484000.0,-129507000.0,-873744000.0,716675000.0,0.0,-130696000.0,-490585000.0,0.0,868875000.0,8890000.0,777226000.0,777226000.0,777226000.0,0.0,0.0,0.166,2314842000.0,1113046000.0,132543000.0,0.0,3.699,15.818,16.132,1153086000.0,0.0,36.78,2.626,2.678,1170579000.0,3191203000.0,4681273000.0,4681273000.0,559766000.0,0.121,0.22,0.269,0.226,33422000.0,1675251000.0,1.0,334255249.0,340880000,344359000.0,13.733,3963818000.0,164738000.0,280167000.0,145890000.0,11.628,1492893000.0
7,STJ,MRY,2008-12-31,2009-01-03,2009-01-03,2019-04-19,4702000.0,5722504000.0,5739723750.0,2080063000.0,3642441000.0,0.76,9.437,-343912000.0,136443000.0,136443000.0,1170541000.0,353018000.0,2.022,0.768,1201602000.0,75518000.0,1126084000.0,1201602000.0,0.0,202428000.0,0.0,0.0,0.0,580768000.0,783196000.0,0.179,783196000.0,580768000.0,580768000.0,1.03,1.01,1.03,3235906000.0,3273883750.0,3235906000.0,12617992125.0,22.0,16.111,601680000.0,1.755,1.0,3192710000.0,0.732,2478101000.0,0.0,3281038000.0,2756752000.0,546499000.0,0.0,0.0,0.0,2486598000.0,1028524000.0,1458074000.0,11795125125.0,-252651000.0,-490027000.0,-133986000.0,-237502000.0,0.0,-322493000.0,-871073000.0,0.0,945592000.0,-4677000.0,353018000.0,353018000.0,353018000.0,0.0,0.0,0.081,2537663000.0,655047000.0,238310000.0,0.0,3.645,33.412,33.272,980176000.0,0.0,34.27,2.703,2.693,1101258000.0,2977630000.0,4363251000.0,4363251000.0,531799000.0,0.062,0.108,0.211,0.133,3940000.0,1636526000.0,1.0,344182233.0,342888000,349722000.0,12.725,3244403000.0,137042000.0,227750000.0,129839000.0,9.462,1051539000.0
8,STJ,MRY,2007-12-31,2007-12-29,2007-12-29,2019-04-19,99158000.0,5329404000.0,5110340250.0,2128183000.0,3201221000.0,0.74,8.559,-287157000.0,389094000.0,389094000.0,1041594000.0,537756000.0,1.151,0.82,1387991000.0,1205498000.0,182493000.0,1387991000.0,0.0,197665000.0,0.0,0.0,0.0,710276000.0,907941000.0,0.24,907941000.0,710276000.0,710276000.0,1.57,1.53,1.57,2928010000.0,2665598250.0,2928010000.0,15384520367.0,22.0,16.944,578412000.0,1.691,1.0,2737683000.0,0.724,2156013000.0,0.0,2323059000.0,3254947500.0,457734000.0,0.0,0.0,0.0,2401394000.0,1849229000.0,552165000.0,14060504367.0,309206000.0,-12238000.0,-813050000.0,521645000.0,0.0,-259484000.0,-306315000.0,12929000.0,865569000.0,9436000.0,537756000.0,537756000.0,537756000.0,0.0,0.0,0.142,1944180000.0,793503000.0,188210000.0,0.0,4.802,26.147,26.159,776795000.0,0.0,41.07,3.72,3.718,1023952000.0,2600905000.0,3779277000.0,3779277000.0,476332000.0,0.105,0.202,0.218,0.188,-43381000.0,1382466000.0,1.0,342354623.0,342103000,352444000.0,11.047,3173391000.0,110710000.0,172520000.0,123469000.0,9.276,278954000.0
9,STJ,MRY,2006-12-31,2006-12-30,2006-12-30,2019-04-19,46329000.0,4789794000.0,4781260250.0,1690165000.0,3099629000.0,0.691,8.264,-267896000.0,79888000.0,79888000.0,913513000.0,548251000.0,2.499,0.613,859376000.0,0.0,859376000.0,859376000.0,0.0,166812000.0,0.0,0.0,0.0,720641000.0,887453000.0,0.269,887453000.0,720641000.0,720641000.0,1.53,1.47,1.53,2968987000.0,2855067000.0,2968987000.0,13870743378.0,19.0,15.63,380915000.0,1.06,1.0,2388934000.0,0.723,2209857000.0,0.0,2683218000.0,2264584500.0,452812000.0,0.0,0.0,0.0,1820807000.0,676207000.0,1144600000.0,12922835378.0,-454680000.0,-38797000.0,-622638000.0,-192180000.0,0.0,-786241000.0,-325639000.0,0.0,648811000.0,8389000.0,548251000.0,548251000.0,548251000.0,0.0,0.0,0.166,1645851000.0,743083000.0,162954000.0,0.0,4.353,23.571,23.895,617851000.0,0.0,36.56,3.913,3.977,882098000.0,2787092000.0,3302447000.0,3302447000.0,431102000.0,0.115,0.192,0.318,0.218,41825000.0,1195030000.0,1.0,353469239.0,359252000,372830000.0,9.193,2579937000.0,117330000.0,172390000.0,284999000.0,7.181,1013958000.0
