None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,TEL,ARY,2020-12-31,2020-11-10,2020-09-25,2021-07-29,-445000000,19242000000,19356250000.0,5784000000,13458000000,0.629,28.262,-543000000.0,945000000,945000000,8437000000.0,-241000000.0,1.567,1.039,4146000000,694000000,3452000000,4146000000,0,711000000.0,0,0.018,1.88,590000000.0,1301000000.0,0.107,1301000000.0,590000000.0,542000000.0,-0.73,-0.73,-0.73,9383000000,9510500000.0,9383000000,38550766309.0,65.0,29.632,1449000000.0,4.364,1.0,3735000000.0,0.307,6817000000,48000000.0,11936000000,12111500000.0,1950000000,0,0,0,9747000000,3690000000,6057000000,35349766309.0,18000000.0,-339000000.0,-468000000.0,22000000.0,-625000000.0,-1105000000.0,-865000000.0,0.0,1992000000.0,-4000000.0,-241000000.0,-241000000.0,-241000000.0,-18000000.0,0.0,-0.02,3198000000.0,537000000.0,1276000000,-2.575,3.767,-146.68,-146.411,3650000000,0.0,106.88,2.904,2.915,2377000000,10348000000.0,12172000000.0,12172000000.0,613000000.0,-0.012,-0.025,0.049,0.048,74000000.0,1392000000.0,1.0,330742574,332000000,332000000.0,36.663,12425000000,2178000000,783000000.0,395000000,37.425,2094000000
1,TEL,ARY,2019-12-31,2019-11-12,2019-09-27,2021-07-29,-503000000,19694000000,19473000000.0,5554000000,14140000000,0.691,31.272,-706000000.0,927000000,927000000,9054000000.0,1844000000.0,1.569,0.863,3965000000,570000000,3395000000,3965000000,0,690000000.0,0,0.019,1.8,1897000000.0,2587000000.0,0.192,2587000000.0,1897000000.0,1829000000.0,5.46,5.42,5.46,10570000000,10355500000.0,10570000000,34204346210.0,18.0,13.222,1716000000.0,5.077,1.0,4394000000.0,0.327,7336000000,68000000.0,11856000000,11852250000.0,1836000000,0,0,0,9124000000,3540000000,5584000000,31166346210.0,79000000.0,14000000.0,-1006000000.0,4000000.0,-608000000.0,-1643000000.0,-692000000.0,0.0,2422000000.0,-8000000.0,1844000000.0,1844000000.0,1844000000.0,102000000.0,0.0,0.137,2416000000.0,1978000000.0,1357000000,0.33,2.949,16.901,17.066,3574000000,0.0,93.18,2.318,2.342,2320000000,12256000000.0,13448000000.0,13448000000.0,644000000.0,0.095,0.178,0.16,0.141,75000000.0,1490000000.0,1.0,334474632,338000000,340000000.0,39.787,12358000000,2776000000,-15000000.0,395000000,36.562,2014000000
2,TEL,ARY,2018-12-31,2018-11-13,2018-09-28,2021-07-29,-306000000,20386000000,19364250000.0,6199000000,14187000000,0.722,30.946,-912000000.0,848000000,848000000,9243000000.0,2565000000.0,1.406,0.882,4000000000,963000000,3037000000,4000000000,0,667000000.0,0,0.022,1.68,2328000000.0,2995000000.0,0.214,2995000000.0,2328000000.0,2221000000.0,7.33,7.27,7.33,10831000000,9858500000.0,10831000000,29503871880.0,13.0,9.851,1539000000.0,4.397,1.0,4745000000.0,0.339,7388000000,107000000.0,11740000000,11162000000.0,1857000000,0,0,0,9555000000,4410000000,5145000000,26351871880.0,-370000000.0,-153000000.0,-779000000.0,-319000000.0,-588000000.0,-1722000000.0,-1094000000.0,0.0,2451000000.0,-5000000.0,2565000000.0,2565000000.0,2565000000.0,19000000.0,0.0,0.183,2414000000.0,2331000000.0,1548000000,0.229,2.433,10.274,10.48,3497000000,0.0,76.82,1.884,1.922,2361000000,12114000000.0,13988000000.0,13988000000.0,680000000.0,0.132,0.26,0.209,0.166,95000000.0,1594000000.0,1.0,343034000,350000000,353000000.0,39.966,12998000000,2144000000,-344000000.0,519000000,37.137,1789000000
3,TEL,ARY,2017-12-31,2017-11-14,2017-09-29,2021-07-29,-160000000,19403000000,18398500000.0,5926000000,13477000000,0.713,27.468,-683000000.0,1218000000,1218000000,8663000000.0,1683000000.0,1.54,0.99,4344000000,710000000,3634000000,4344000000,75000000,635000000.0,0,0.016,1.54,2068000000.0,2703000000.0,0.206,2703000000.0,2068000000.0,1938000000.0,4.74,4.7,4.74,9751000000,9120500000.0,9751000000,36116602479.0,17.0,13.362,1638000000.0,4.614,1.0,4450000000.0,0.339,7492000000,130000000.0,11190000000,10555000000.0,1813000000,0,0,0,9652000000,3847000000,5805000000,32990602479.0,571000000.0,-246000000.0,-497000000.0,259000000.0,-546000000.0,-814000000.0,-932000000.0,0.0,2321000000.0,-4000000.0,1683000000.0,1683000000.0,1683000000.0,-10000000.0,0.0,0.128,2403000000.0,2047000000.0,1436000000,0.325,3.383,19.602,19.793,3400000000,0.0,93.82,2.516,2.54,2290000000,10175000000.0,13113000000.0,13113000000.0,658000000.0,0.091,0.185,0.196,0.158,99000000.0,1591000000.0,1.0,351637204,355000000,358000000.0,36.938,11911000000,2141000000,255000000.0,529000000,33.552,2079000000
4,TEL,ARY,2016-12-31,2016-11-15,2016-09-30,2021-07-29,-542000000,17608000000,18043000000.0,4775000000,12833000000,0.678,23.183,-620000000.0,647000000,647000000,8205000000.0,2009000000.0,1.557,1.075,4070000000,331000000,3739000000,4070000000,208000000,585000000.0,0,0.021,1.4,1357000000.0,1942000000.0,0.159,1942000000.0,1357000000.0,1230000000.0,5.49,5.44,5.49,8485000000,8183250000.0,8485000000,27319818162.0,20.0,14.068,1302000000.0,3.557,1.0,4033000000.0,0.33,7371000000,127000000.0,10594000000,10984250000.0,1596000000,0,0,0,9123000000,3066000000,6057000000,23896818162.0,-2682000000.0,-1022000000.0,-2697000000.0,181000000.0,-509000000.0,-3030000000.0,-1581000000.0,0.0,1922000000.0,7000000.0,2009000000.0,2009000000.0,2009000000.0,-68000000.0,0.0,0.164,2131000000.0,1902000000.0,1090000000,0.255,2.816,11.895,12.25,3052000000,0.0,67.25,1.953,2.011,2058000000,8682000000.0,12238000000.0,12238000000.0,644000000.0,0.111,0.246,0.124,0.111,91000000.0,1463000000.0,1.0,355343021,366000000,369000000.0,33.437,10237000000,2111000000,-779000000.0,454000000,27.97,1709000000
5,TEL,ARY,2015-12-31,2015-11-10,2015-09-25,2021-07-29,-373000000,20608000000,20361250000.0,7887000000,12721000000,0.601,23.667,-583000000.0,3329000000,3329000000,8146000000.0,2420000000.0,2.205,1.15,3903000000,500000000,3403000000,3903000000,185000000,616000000.0,0,0.019,1.24,2893000000.0,3509000000.0,0.287,3509000000.0,2893000000.0,2757000000.0,5.98,5.89,5.98,9585000000,9216750000.0,9585000000,25877035992.0,9.0,7.374,1330000000.0,3.284,1.0,4087000000.0,0.334,6379000000,136000000.0,11226000000,12436500000.0,1615000000,0,0,0,11023000000,3577000000,7446000000,25303035992.0,872000000.0,1232000000.0,-920000000.0,-184000000.0,-502000000.0,-1606000000.0,636000000.0,0.0,1913000000.0,-71000000.0,2420000000.0,2420000000.0,2420000000.0,0.0,0.0,0.198,2338000000.0,1749000000.0,1143000000,0.207,2.64,10.456,10.953,2920000000,0.0,65.5,2.068,2.169,3084000000,6673000000.0,12233000000.0,12233000000.0,627000000.0,0.119,0.263,0.233,0.236,89000000.0,1504000000.0,1.0,386305893,405000000,411000000.0,30.205,14229000000,2489000000,337000000.0,2283000000,35.133,4310000000
6,TEL,ARY,2014-12-31,2014-11-12,2014-09-26,2021-07-29,-17000000,20152000000,19023500000.0,7544000000,12608000000,0.731,21.968,-544000000.0,2457000000,2457000000,9220000000.0,1781000000.0,1.908,1.237,3948000000,667000000,3281000000,3948000000,179000000,617000000.0,0,0.131,8.08,2119000000.0,2736000000.0,0.197,2736000000.0,2119000000.0,1988000000.0,4.34,4.27,4.34,9007000000,8714500000.0,9007000000,26525968281.0,13.0,9.695,1539000000.0,3.754,1.0,4692000000.0,0.337,5924000000,131000000.0,11765000000,11065250000.0,1745000000,0,0,0,11139000000,3954000000,7185000000,25034968281.0,1054000000.0,-528000000.0,-422000000.0,939000000.0,-443000000.0,65000000.0,-1075000000.0,0.0,2083000000.0,-19000000.0,1781000000.0,1781000000.0,1781000000.0,0.0,0.0,0.128,2647000000.0,2045000000.0,1391000000,1.862,2.78,14.057,14.184,3126000000,0.0,61.56,1.8,1.814,3476000000,4253000000.0,13912000000.0,13912000000.0,675000000.0,0.094,0.204,0.192,0.152,84000000.0,1882000000.0,1.0,406675898,410000000,417000000.0,33.932,14228000000,2394000000,207000000.0,2285000000,34.702,3590000000
7,TEL,ARY,2013-12-31,2013-11-15,2013-09-27,2021-07-29,303000000,18461000000,18206750000.0,6309000000,12152000000,0.729,20.048,-576000000.0,1403000000,1403000000,8951000000.0,1277000000.0,1.608,1.202,3014000000,711000000,2303000000,3014000000,68000000,607000000.0,0,0.018,0.92,1389000000.0,1996000000.0,0.15,1996000000.0,1389000000.0,1247000000.0,3.05,3.02,3.05,8380000000,8029500000.0,8380000000,23110501561.0,17.0,11.578,1470000000.0,3.517,1.0,4329000000.0,0.326,5570000000,142000000.0,10578000000,10735250000.0,1762000000,0,0,0,10075000000,3924000000,6151000000,21499501561.0,-186000000.0,8000000.0,-630000000.0,-665000000.0,-384000000.0,-1678000000.0,-545000000.0,0.0,2046000000.0,-9000000.0,1276000000.0,1276000000.0,1276000000.0,0.0,1000000.0,0.096,2773000000.0,1556000000.0,1383000000,0.302,2.566,16.849,17.177,3166000000,0.0,52.39,1.619,1.649,3325000000,2472000000.0,13280000000.0,13280000000.0,675000000.0,0.07,0.159,0.129,0.105,78000000.0,1773000000.0,1.0,410374147,418000000,423000000.0,31.77,12891000000,2480000000,-29000000.0,2300000000,30.84,2385000000
8,TEL,ARY,2012-12-31,2012-11-13,2012-09-28,2021-07-29,229000000,19306000000,18700000000.0,6503000000,12803000000,0.71,18.711,-510000000.0,1589000000,1589000000,9236000000.0,1115000000.0,1.624,1.421,3711000000,1015000000,2696000000,3711000000,121000000,609000000.0,0,0.023,0.78,1537000000.0,2146000000.0,0.162,2146000000.0,1537000000.0,1361000000.0,2.61,2.59,2.61,7971000000,7740000000.0,7971000000,16595112920.0,11.0,7.733,1437000000.0,3.373,1.0,4046000000.0,0.305,5660000000,176000000.0,11764000000,11559500000.0,1808000000,0,0,0,11329000000,4004000000,7325000000,14473112920.0,371000000.0,-990000000.0,-125000000.0,406000000.0,-332000000.0,-65000000.0,-1510000000.0,0.0,1947000000.0,-1000000.0,1112000000.0,1112000000.0,1112000000.0,0.0,3000000.0,0.084,2528000000.0,1518000000.0,1292000000,0.299,1.816,13.015,13.123,3213000000,0.0,34.25,1.09,1.099,3523000000,1196000000.0,13282000000.0,13282000000.0,688000000.0,0.059,0.144,0.133,0.116,68000000.0,1685000000.0,1.0,422572640,426000000,430000000.0,31.178,13646000000,2749000000,249000000.0,2759000000,32.033,2499000000
9,TEL,ARY,2011-12-31,2011-11-18,2011-09-30,2021-07-29,428000000,17723000000,17984250000.0,6632000000,11091000000,0.796,17.064,-516000000.0,1219000000,1219000000,9890000000.0,1250000000.0,1.95,1.37,2669000000,1000000,2668000000,2669000000,145000000,574000000.0,0,0.021,0.68,1782000000.0,2356000000.0,0.165,2356000000.0,1782000000.0,1621000000.0,2.84,2.81,2.84,7474000000,7428250000.0,7474000000,15414446026.0,9.0,6.543,1263000000.0,2.884,1.0,4422000000.0,0.309,4241000000,161000000.0,11531000000,11558750000.0,1939000000,0,0,0,10239000000,3401000000,6838000000,13964446026.0,-771000000.0,-746000000.0,-785000000.0,-416000000.0,-296000000.0,-1512000000.0,-1043000000.0,155000000.0,1779000000.0,5000000.0,1245000000.0,1245000000.0,1245000000.0,0.0,5000000.0,0.087,2681000000.0,1741000000.0,1483000000,0.239,1.868,11.216,11.585,3163000000,0.0,32.9,0.976,1.007,3491000000,84000000.0,14312000000.0,14312000000.0,733000000.0,0.069,0.168,0.154,0.125,73000000.0,1780000000.0,1.0,424451247,438000000,443000000.0,32.676,13482000000,2768000000,376000000.0,2455000000,30.781,3231000000
