None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,UIS,ARY,2020-12-31,2021-02-26,2020-12-31,2021-08-02,-3939500000,2707900000,2621550000.0,1506000000,1201900000,0.773,-5.66,-130100000.0,906700000,906700000,1543300000.0,750700000.0,1.611,-8.464,692300000,102800000,589500000,692300000,395000000,95500000.0,0,0.0,0.0,825300000.0,920800000.0,0.454,920800000.0,825300000.0,796100000.0,11.93,11.93,11.93,-356800000,-278425000.0,-356800000,1333302458,2.0,1.448,-811300000.0,-12.869,1.0,483000000.0,0.238,108600000,29200000.0,1449800000,1080575000.0,13400000,193600000,0,193600000,3020000000,935100000,2084900000,1547702458,354900000.0,1162900000.0,0.0,18800000.0,0.0,5100000.0,1041600000.0,9300000.0,-681200000.0,-10600000.0,750700000.0,750700000.0,750700000.0,-1068400000.0,0.0,0.37,396000000.0,87000000.0,223200000,0.0,-4.338,2.062,2.058,363700000,0.0,24.55,0.764,0.764,460500000,-960500000,2026300000.0,2026300000.0,26600000.0,0.286,-2.696,0.764,0.407,14500000.0,369400000.0,1.0,63042870,63042870,,32.142,2599300000,136200000,45400000.0,0,41.231,570900000
1,UIS,ARY,2019-12-31,2020-02-28,2019-12-31,2021-08-02,-4088600000,2504000000,2475525000.0,1221300000,1282700000,1.191,-20.278,-160100000.0,551800000,551800000,2282300000.0,-13300000.0,1.317,-2.95,663200000,13500000,649700000,663200000,436000000,99100000.0,0,0.0,0.0,97900000.0,197000000.0,0.067,197000000.0,97900000.0,35800000.0,-0.31,-0.31,-0.31,-1265400000,-1255050000.0,-1265400000,1080498882,11.0,5.485,-36200000.0,-0.58,1.0,666400000.0,0.226,177200000,62100000.0,1510900000,1631975000.0,20700000,186800000,0,186800000,3732300000,927300000,2805000000,969098882,-72300000.0,0.0,0.0,-40600000.0,0.0,-38000000.0,-158200000.0,2800000.0,123900000.0,0.0,-17200000.0,-17200000.0,-17200000.0,0.0,3900000.0,-0.006,428200000.0,238200000.0,252000000,0.0,-0.766,-56.343,-50.097,454000000,0.0,15.53,0.329,0.329,495000000,-1711200000,2948700000.0,2948700000.0,31300000.0,-0.007,0.014,0.06,0.033,13200000.0,396900000.0,1.0,62401731,62401731,,47.253,2326800000,114000000,53000000.0,0,37.287,294000000
2,UIS,ARY,2018-12-31,2019-03-04,2018-12-31,2021-08-02,-4084800000,2457600000,2417550000.0,1301400000,1156200000,1.169,-26.325,-170100000.0,624100000,624100000,2138700000.0,78900000.0,1.41,-2.797,652800000,10000000,642800000,652800000,451600000,107200000.0,0,0.0,0.0,203800000.0,311000000.0,0.11,311000000.0,203800000.0,139800000.0,1.48,1.3,1.48,-1343500000,-1289075000.0,-1343500000,707970539,3.0,2.276,-96200000.0,-1.885,1.0,686300000.0,0.243,177800000,64000000.0,1385200000,1404200000.0,27300000,162100000,0,162100000,3757200000,923300000,2833900000,679270539,-140000000.0,0.0,0.0,-2300000.0,0.0,-4800000.0,-185000000.0,-14000000.0,73900000.0,-24100000.0,75500000.0,75500000.0,75500000.0,0.0,3400000.0,0.027,402200000.0,284100000.0,268900000,0.0,-0.506,8.997,8.993,337700000,0.0,13.31,0.24,0.24,509200000,-1694000000,2825000000.0,2825000000.0,31900000.0,0.031,-0.059,0.145,0.072,13200000.0,370300000.0,1.0,51034601,51034601,,55.355,2279800000,109300000,64300000.0,0,44.672,378100000
3,UIS,ARY,2017-12-31,2018-03-12,2017-12-31,2021-08-02,-3815800000,2542400000,2280125000.0,1389500000,1152900000,1.202,-26.834,-176500000.0,764100000,764100000,2263500000.0,-66600000.0,1.43,-2.856,644700000,10800000,633900000,644700000,486500000,93400000.0,0,0.0,0.0,-18000000.0,75400000.0,0.028,75400000.0,-18000000.0,-70800000.0,-1.3,-1.3,-1.3,-1354700000,-1554250000.0,-1354700000,456118056,-25.0,6.049,-10100000.0,-0.2,1.0,478300000.0,0.174,180800000,52800000.0,1270600000,1150325000.0,26100000,138300000,0,138300000,3868900000,971600000,2897300000,575518056,363000000.0,0.0,0.0,345400000.0,0.0,329900000.0,-152500000.0,24800000.0,166400000.0,19200000.0,-65300000.0,-65300000.0,-65300000.0,0.0,-1300000.0,-0.024,473700000.0,4600000.0,241800000,0.0,-0.425,-8.813,-8.769,344800000,0.0,11.4,0.21,0.21,503300000,-1963100000,2741800000.0,2741800000.0,47200000.0,-0.029,0.042,-0.016,-0.007,11200000.0,426500000.0,1.0,50484040,50484040,,54.31,2361600000,119900000,-5500000.0,0,46.779,417900000
4,UIS,ARY,2016-12-31,2017-02-21,2016-12-31,2021-08-02,-4152800000,2021600000,2176100000.0,1027300000,994300000,1.296,-32.559,-147100000.0,370600000,370600000,2262100000.0,-36700000.0,1.047,-2.25,300000000,106000000,194000000,300000000,455000000,90800000.0,0,0.0,0.0,36900000.0,127700000.0,0.045,127700000.0,36900000.0,9500000.0,-0.95,-0.95,-0.95,-1631000000,-1390625000.0,-1631000000,610676727,17.0,4.782,71100000.0,1.419,1.0,558600000.0,0.198,178600000,27400000.0,790800000,980875000.0,29000000,137000000,0,137000000,3669000000,981600000,2687400000,681276727,5400000.0,0.0,0.0,17900000.0,0.0,-16700000.0,-182200000.0,-34100000.0,218200000.0,-13900000.0,-47700000.0,-47700000.0,-47700000.0,0.0,11000000.0,-0.017,511000000.0,47600000.0,189000000,0.0,-0.418,-14.283,-14.316,317800000,0.0,13.6,0.242,0.242,505800000,-1893400000,2820700000.0,2820700000.0,55400000.0,-0.022,0.034,0.038,0.013,9500000.0,455600000.0,1.0,50093877,50093877,,56.308,1843000000,146100000,57200000.0,0,36.791,45700000
5,UIS,ARY,2015-12-31,2016-02-29,2015-12-31,2021-08-02,-3945300000,2143200000,2134050000.0,1135700000,1007500000,1.413,-27.824,-213700000.0,365200000,365200000,2474200000.0,-103200000.0,1.17,-2.534,312300000,76800000,235500000,312300000,458400000,113200000.0,0,0.0,0.0,-53600000.0,59600000.0,0.02,59600000.0,-53600000.0,-65500000.0,-2.2,-2.2,-2.2,-1389700000,-1440900000.0,-1389700000,485020154,-9.0,8.138,-212500000.0,-4.255,1.0,540900000.0,0.179,177400000,11900000.0,942400000,956900000.0,43800000,138500000,0,138500000,3521800000,970500000,2551300000,537920154,-129100000.0,0.0,3700000.0,87200000.0,0.0,90600000.0,-177900000.0,25400000.0,1200000.0,-43000000.0,-109900000.0,-109900000.0,-109900000.0,0.0,6700000.0,-0.036,596000000.0,-55100000.0,219300000,0.0,-0.387,-4.895,-4.895,335800000,0.0,10.77,0.178,0.178,581600000,-1845700000,3015100000.0,3015100000.0,76400000.0,-0.051,0.076,-0.056,-0.018,9400000.0,519600000.0,1.0,49946161,49946161,,60.367,1965800000,138600000,44400000.0,0,39.358,165200000
6,UIS,ARY,2014-12-31,2015-02-23,2014-12-31,2021-08-02,-4113400000,2348700000,2340850000.0,1317300000,1031400000,1.434,-29.26,-212800000.0,494300000,494300000,2578600000.0,59300000.0,1.32,-2.603,224000000,1800000,222200000,224000000,467800000,110100000.0,0,0.0,0.0,142100000.0,252200000.0,0.075,252200000.0,142100000.0,132900000.0,0.89,0.89,0.89,-1460000000,-851875000.0,-1460000000,881349833,6.0,3.495,-91400000.0,-1.832,1.0,777800000.0,0.232,183900000,9200000.0,896800000,875750000.0,46700000,144100000,0,144100000,3801100000,997700000,2803400000,1151649833,-145500000.0,0.0,-32300000.0,0.0,0.0,-36900000.0,-195300000.0,13700000.0,121400000.0,-34700000.0,46700000.0,44000000.0,44000000.0,0.0,12600000.0,0.013,622900000.0,154900000.0,262500000,0.0,-0.789,26.174,25.933,319600000,2700000.0,23.08,0.343,0.343,619300000,-1735800000,3356400000.0,3356400000.0,68800000.0,0.019,-0.052,0.162,0.042,10400000.0,554100000.0,1.0,49898173,49898173,,67.265,2164800000,171000000,86200000.0,0,43.384,319600000
7,UIS,ARY,2013-12-31,2014-02-24,2013-12-31,2021-08-02,-3333400000,2510000000,2336675000.0,1540800000,969200000,1.479,-15.852,-151400000.0,639800000,639800000,2608100000.0,120100000.0,1.504,-4.531,210000000,0,210000000,210000000,525100000,100200000.0,0,0.0,0.0,217700000.0,317900000.0,0.092,317900000.0,217700000.0,207800000.0,2.1,2.08,2.1,-700500000,-1335975000.0,-700500000,1070862074,5.0,3.369,36000000.0,0.815,1.0,848400000.0,0.245,188700000,9900000.0,866700000,797425000.0,55100000,129100000,0,129100000,3173900000,1024800000,2149100000,1500662074,-15800000.0,-100000.0,-6800000.0,0.0,0.0,-23000000.0,-162700000.0,-9900000.0,187400000.0,-17500000.0,108500000.0,92300000.0,92300000.0,0.0,11600000.0,0.027,628900000.0,219500000.0,246700000,0.0,-2.142,16.259,16.171,290200000,16200000.0,33.96,0.434,0.434,683100000,-1782500000,3456500000.0,3456500000.0,69500000.0,0.04,-0.069,0.273,0.063,12500000.0,559400000.0,1.0,44189107,44189107,,78.221,2321300000,136400000,99300000.0,0,52.531,516000000
8,UIS,ARY,2012-12-31,2013-02-22,2012-12-31,2021-08-02,-4133600000,2420400000,2382100000.0,1512400000,908000000,1.556,-36.384,-132600000.0,655600000,655600000,2732900000.0,156800000.0,1.468,-2.505,210300000,300000,210000000,210300000,512600000,112600000.0,0,0.0,0.0,270400000.0,383000000.0,0.103,383000000.0,270400000.0,242900000.0,2.95,2.84,2.95,-1600200000,-1302625000.0,-1600200000,579443926,2.0,1.513,128700000.0,2.926,1.0,973500000.0,0.263,192300000,27500000.0,752500000,812150000.0,50000000,124200000,0,124200000,4009100000,1030300000,2978800000,1024743926,-59300000.0,5200000.0,400000.0,-184100000.0,0.0,-204400000.0,-126700000.0,1300000.0,261300000.0,10500000.0,145600000.0,129400000.0,129400000.0,0.0,11200000.0,0.035,654300000.0,319200000.0,228600000,0.0,-0.64,7.919,7.898,302700000,16200000.0,23.3,0.276,0.276,670200000,-1891000000,3706400000.0,3706400000.0,81500000.0,0.054,-0.099,0.333,0.073,14300000.0,572800000.0,1.0,43980426,43980426,,84.274,2228100000,184300000,97300000.0,0,50.661,482100000
9,UIS,ARY,2011-12-31,2012-02-24,2011-12-31,2021-08-02,-3700900000,2612200000,2692825000.0,1603400000,1008800000,1.431,-30.341,-134400000.0,714900000,714900000,2866800000.0,141200000.0,1.437,-2.976,359700000,900000,358800000,359700000,568400000,129100000.0,0,0.0,0.0,261900000.0,391000000.0,0.101,391000000.0,261900000.0,198800000.0,2.79,2.71,2.79,-1318100000,-824275000.0,-1318100000,468898401,2.0,1.199,182800000.0,4.208,1.0,987000000.0,0.256,192500000,63100000.0,948400000,1096525000.0,64800000,129800000,0,129800000,3923200000,1116100000,2807100000,824098401,-113400000.0,-15600000.0,1400000.0,-555700000.0,0.0,-319400000.0,-96300000.0,3000000.0,317200000.0,-14900000.0,134000000.0,120500000.0,120500000.0,0.0,7200000.0,0.031,662400000.0,324600000.0,241600000,0.0,-0.625,6.839,6.799,329200000,13500000.0,18.97,0.214,0.214,673000000,-2036600000,3853800000.0,3853800000.0,76100000.0,0.045,-0.146,0.239,0.068,13900000.0,586300000.0,1.0,43442193,43442193,,88.711,2419700000,208600000,64800000.0,0,55.699,487300000
