None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,VAR,MRY,2020-12-31,2020-10-02,2020-10-02,2021-08-25,-85700000.0,4462200000.0,4427800000.0,2603300000.0,1858900000.0,0.716,22.833,-84300000.0,766100000.0,766100000.0,1791000000.0,269400000.0,1.404,1.145,456100000.0,355000000.0,101100000.0,456100000.0,782200000.0,98900000.0,0.0,0.0,0.0,372100000.0,471000000.0,0.149,471000000.0,372100000.0,358100000.0,2.96,2.94,2.96,2075500000.0,1929275000.0,2075500000.0,15548909856.0,42.0,33.013,399800000.0,4.398,1.0,1377200000.0,0.435,895200000.0,14000000.0,1402500000.0,1442775000.0,516300000.0,0.0,0.0,0.0,2377400000.0,1854500000.0,522900000.0,15635509856.0,241700000.0,-36200000.0,-10200000.0,-55000000.0,0.0,-93100000.0,-140300000.0,-17100000.0,484100000.0,-9000000.0,269200000.0,269200000.0,269200000.0,0.0,200000.0,0.085,1054000000.0,323200000.0,194900000.0,0.0,7.533,58.081,58.084,465900000.0,0.0,171.93,4.935,4.933,1066100000.0,1133000000.0,3168200000.0,3168200000.0,280600000.0,0.061,0.14,0.258,0.117,43900000.0,671800000.0,1.0,90941138.0,90900000,91500000.0,34.854,3567000000.0,81500000.0,88900000.0,0.0,39.241,748800000.0
1,VAR,MRY,2019-12-31,2019-09-27,2019-09-27,2021-08-25,-102100000.0,4101700000.0,3707500000.0,2395400000.0,1706300000.0,0.87,19.432,-58000000.0,531400000.0,531400000.0,1854800000.0,292200000.0,1.271,1.314,410000000.0,410000000.0,0.0,410000000.0,766000000.0,93000000.0,0.0,0.0,0.0,429300000.0,522300000.0,0.162,522300000.0,429300000.0,420500000.0,3.21,3.18,3.21,1768300000.0,1731050000.0,1768300000.0,10640034321.0,25.0,20.371,313800000.0,3.448,1.0,1370300000.0,0.425,912900000.0,8800000.0,1183400000.0,1129975000.0,551500000.0,0.0,0.0,0.0,2324100000.0,1884000000.0,440100000.0,10759734321.0,27700000.0,-576200000.0,-103300000.0,393200000.0,0.0,279200000.0,-631700000.0,5600000.0,371800000.0,8400000.0,291900000.0,291900000.0,291900000.0,0.0,300000.0,0.091,984100000.0,386200000.0,248500000.0,0.0,6.085,36.861,36.81,311500000.0,0.0,118.16,3.336,3.334,1106300000.0,934000000.0,3225100000.0,3225100000.0,247600000.0,0.079,0.169,0.38,0.133,47900000.0,623100000.0,1.0,91060717.0,91000000,91900000.0,35.441,3188800000.0,84700000.0,128600000.0,0.0,35.042,511400000.0
2,VAR,MRY,2018-12-31,2018-09-28,2018-09-28,2021-08-25,-65300000.0,3252700000.0,3257950000.0,2188400000.0,1064300000.0,0.896,17.316,-47700000.0,504800000.0,504800000.0,1645500000.0,150300000.0,1.634,1.05,0.0,0.0,0.0,0.0,729700000.0,72700000.0,0.0,0.0,0.0,458500000.0,531200000.0,0.182,531200000.0,458500000.0,451700000.0,1.64,1.62,1.64,1584400000.0,1480100000.0,1584400000.0,9729108541.0,21.0,18.315,407200000.0,4.45,1.0,1273600000.0,0.436,394700000.0,6800000.0,1013500000.0,957525000.0,438100000.0,0.0,0.0,0.0,1664000000.0,1339700000.0,324300000.0,10246908541.0,-202100000.0,-109000000.0,-121200000.0,-350000000.0,0.0,-487000000.0,-174700000.0,-12000000.0,454900000.0,4700000.0,149900000.0,149900000.0,149900000.0,0.0,400000.0,0.051,836200000.0,437400000.0,190300000.0,0.0,6.467,68.358,68.25,274600000.0,0.0,111.93,3.51,3.508,1009900000.0,780400000.0,2919100000.0,2919100000.0,233900000.0,0.046,0.101,0.479,0.157,45900000.0,543500000.0,1.0,91547472.0,91500000,92500000.0,31.903,2858000000.0,102200000.0,301800000.0,0.0,31.235,848700000.0
3,VAR,MRY,2017-12-31,2017-09-29,2017-09-29,2021-08-25,-68800000.0,3294400000.0,3289250000.0,2296800000.0,997600000.0,0.796,16.406,-59100000.0,716200000.0,716200000.0,1505400000.0,219200000.0,1.396,1.168,350000000.0,350000000.0,0.0,350000000.0,755400000.0,76900000.0,0.0,0.0,0.0,306300000.0,383200000.0,0.146,383200000.0,306300000.0,295600000.0,2.36,2.35,2.36,1517600000.0,1480225000.0,1517600000.0,8891397454.0,29.0,23.203,340000000.0,3.676,1.0,1113900000.0,0.425,294200000.0,10700000.0,988900000.0,1251950000.0,417700000.0,0.0,0.0,0.0,1772500000.0,1645100000.0,127400000.0,9185597454.0,-127600000.0,-3000000.0,-222400000.0,-114500000.0,0.0,-392400000.0,-130400000.0,-64500000.0,399100000.0,-3900000.0,218500000.0,218500000.0,218500000.0,6800000.0,700000.0,0.083,816100000.0,297800000.0,162300000.0,0.0,6.053,42.039,42.398,255300000.0,0.0,100.06,3.507,3.534,961500000.0,778600000.0,2619300000.0,2619300000.0,210000000.0,0.066,0.148,0.245,0.117,41200000.0,552800000.0,1.0,91800894.0,92500000,93200000.0,28.317,3000200000.0,147300000.0,77100000.0,0.0,32.435,651700000.0
4,VAR,MRY,2016-12-31,2016-09-30,2016-09-30,2021-08-25,-100800000.0,3814800000.0,3791793000.0,2615400000.0,1199400000.0,0.684,18.244,-80400000.0,811400000.0,811400000.0,1489000000.0,399700000.0,1.621,1.184,665900000.0,379000000.0,286900000.0,665900000.0,608600000.0,79800000.0,0.0,0.0,0.0,521000000.0,600800000.0,0.232,600800000.0,521000000.0,509400000.0,4.19,4.16,4.19,1740500000.0,1686571000.0,1740500000.0,9159681791.0,18.0,15.246,275900000.0,2.892,1.0,1104700000.0,0.426,304100000.0,11600000.0,1751800000.0,1707016000.0,442400000.0,95300000.0,95300000.0,0.0,2060300000.0,1613400000.0,446900000.0,9294176791.0,-2000000.0,-21700000.0,-400700000.0,167100000.0,0.0,-245800000.0,-109200000.0,-8100000.0,356300000.0,-3300000.0,399300000.0,399300000.0,399300000.0,-77400000.0,400000.0,0.154,677900000.0,426800000.0,159200000.0,0.0,5.34,23.276,23.754,258600000.0,0.0,99.53,3.583,3.661,769600000.0,1069000000.0,2593700000.0,2593700000.0,200400000.0,0.105,0.237,0.305,0.201,48300000.0,472200000.0,1.0,93380657.0,95400000,96000000.0,27.188,3510700000.0,136800000.0,110100000.0,0.0,36.8,1002000000.0
5,VAR,MRY,2015-12-31,2015-10-02,2015-10-02,2021-08-25,-86500000.0,3578700000.0,3491529250.0,2393000000.0,1185700000.0,0.713,17.168,-91400000.0,845500000.0,845500000.0,1458600000.0,412000000.0,1.738,1.082,495900000.0,158400000.0,337500000.0,495900000.0,668200000.0,68500000.0,0.0,0.0,0.0,509300000.0,577800000.0,0.232,577800000.0,509300000.0,501400000.0,4.13,4.09,4.13,1711600000.0,1682650000.0,1711600000.0,6965531320.0,14.0,12.055,378200000.0,3.793,1.0,1032100000.0,0.414,356100000.0,7900000.0,1496300000.0,1542309000.0,612600000.0,0.0,0.0,0.0,1852400000.0,1376700000.0,475700000.0,7422517320.0,-3800000.0,-95300000.0,-331000000.0,58600000.0,0.0,-276700000.0,-210900000.0,-24900000.0,469600000.0,14200000.0,411500000.0,411500000.0,411500000.0,-100600000.0,500000.0,0.165,636400000.0,395700000.0,202900000.0,0.0,4.337,18.038,18.206,379200000.0,0.0,75.19,2.98,3.01,770900000.0,1017800000.0,2490700000.0,2490700000.0,195400000.0,0.118,0.245,0.33,0.204,46300000.0,441000000.0,1.0,98716815.0,99700000,100600000.0,24.982,3222600000.0,119400000.0,89900000.0,0.0,32.323,1016300000.0
6,VAR,MRY,2014-12-31,2014-09-26,2014-09-26,2021-08-25,-58611000.0,3357290000.0,3424809250.0,2494165000.0,863125000.0,0.891,15.543,-89600000.0,849275000.0,849275000.0,1748100000.0,403700000.0,2.076,1.077,437500000.0,50000000.0,387500000.0,437500000.0,421845000.0,62500000.0,0.0,0.0,0.0,581700000.0,644200000.0,0.211,644200000.0,581700000.0,574500000.0,3.88,3.83,3.88,1616420000.0,1677484500.0,1616420000.0,7902584296.0,14.0,12.267,359400000.0,3.456,1.0,1301700000.0,0.427,240626000.0,7200000.0,1503235000.0,1542713750.0,572261000.0,66176000.0,66176000.0,0.0,1740870000.0,1201654000.0,539216000.0,8348989296.0,-268600000.0,-31500000.0,-528000000.0,-68800000.0,0.0,-595500000.0,-133100000.0,-12600000.0,449000000.0,11000000.0,403700000.0,403700000.0,403700000.0,0.0,0.0,0.132,730500000.0,571200000.0,187377000.0,0.0,5.165,20.681,20.851,337999000.0,0.0,80.9,2.738,2.759,731929000.0,931241000.0,3049800000.0,3049800000.0,234800000.0,0.118,0.241,0.377,0.191,39600000.0,470600000.0,1.0,103201351.0,104000000,105300000.0,29.325,3116664000.0,125962000.0,170800000.0,0.0,29.968,1292511000.0
7,VAR,MRY,2013-12-31,2013-09-27,2013-09-27,2021-08-25,-40071000.0,3468474000.0,3132043000.0,2704783000.0,763691000.0,0.94,15.817,-76277000.0,1117861000.0,1117861000.0,1693210000.0,438248000.0,2.331,1.024,506250000.0,56250000.0,450000000.0,506250000.0,389479000.0,62859000.0,0.0,0.0,0.0,616212000.0,679071000.0,0.231,679071000.0,616212000.0,612083000.0,4.04,3.98,4.04,1713847000.0,1650538000.0,1713847000.0,7394560172.0,12.0,10.889,378908000.0,3.497,1.0,1249687000.0,0.425,225335000.0,4129000.0,1470949000.0,1116791000.0,535223000.0,62700000.0,62700000.0,0.0,1754627000.0,1160579000.0,594048000.0,7985753172.0,413291000.0,0.0,-290351000.0,345000000.0,0.0,51646000.0,-96271000.0,-20044000.0,455185000.0,2731000.0,438248000.0,438248000.0,438248000.0,0.0,0.0,0.149,640797000.0,608890000.0,194272000.0,0.0,4.66,18.222,18.361,315331000.0,0.0,74.18,2.714,2.731,698254000.0,1010343000.0,2942897000.0,2942897000.0,208208000.0,0.14,0.266,0.552,0.209,43762000.0,432589000.0,1.0,107653723.0,108352000,110053000.0,27.161,3243139000.0,122250000.0,173835000.0,0.0,29.932,1544204000.0
8,VAR,MRY,2012-12-31,2012-09-28,2012-09-28,2021-08-25,-56621000.0,2878726000.0,2710295000.0,2170515000.0,708211000.0,1.036,13.556,-61103000.0,704570000.0,704570000.0,1610679000.0,427049000.0,1.755,0.907,161250000.0,155000000.0,6250000.0,161250000.0,369456000.0,60982000.0,0.0,0.0,0.0,599343000.0,660325000.0,0.235,660325000.0,599343000.0,595924000.0,3.83,3.76,3.83,1509776000.0,1442109250.0,1509776000.0,6219972645.0,10.0,9.42,431672000.0,3.876,1.0,1196336000.0,0.426,222242000.0,3419000.0,876633000.0,882714500.0,457869000.0,49709000.0,49709000.0,0.0,1368950000.0,1236531000.0,132419000.0,6678348645.0,140113000.0,-28241000.0,-197108000.0,-36276000.0,0.0,-234676000.0,-122295000.0,-21703000.0,492775000.0,4309000.0,427049000.0,427049000.0,427049000.0,0.0,0.0,0.152,602262000.0,594074000.0,180736000.0,0.0,4.423,15.638,15.749,296592000.0,0.0,60.32,2.379,2.393,691806000.0,893115000.0,2807015000.0,2807015000.0,185742000.0,0.158,0.296,0.679,0.214,46835000.0,416520000.0,1.0,110715329.0,111376000,113473000.0,25.203,2656484000.0,115786000.0,168875000.0,0.0,23.851,933984000.0
9,VAR,MRY,2011-12-31,2011-09-30,2011-09-30,2021-08-25,-46848000.0,2498761000.0,2488144750.0,1854617000.0,644144000.0,1.044,10.659,-70928000.0,564457000.0,564457000.0,1460777000.0,398933000.0,1.647,1.009,197526000.0,191276000.0,6250000.0,197526000.0,140173000.0,52591000.0,0.0,0.0,0.0,581616000.0,634207000.0,0.244,634207000.0,581616000.0,579017000.0,3.42,3.36,3.42,1243891000.0,1370495750.0,1243891000.0,5562344716.0,10.0,8.771,401851000.0,3.443,1.0,1135889000.0,0.437,212452000.0,2599000.0,793466000.0,780927250.0,409962000.0,19205000.0,19205000.0,0.0,1254870000.0,1125912000.0,128958000.0,6112327716.0,44236000.0,-9124000.0,-367587000.0,154136000.0,0.0,-311335000.0,-117932000.0,-33583000.0,472779000.0,724000.0,398933000.0,398933000.0,398933000.0,9693000.0,0.0,0.154,547438000.0,588451000.0,154946000.0,0.0,4.914,15.322,15.251,285894000.0,0.0,52.16,2.354,2.344,635153000.0,677473000.0,2596666000.0,2596666000.0,170725000.0,0.16,0.291,0.745,0.224,43889000.0,376713000.0,1.0,117184197.0,116703000,118735000.0,22.25,2286309000.0,113965000.0,180084000.0,0.0,19.591,728705000.0
