None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
0,WFM,ARY,2016-12-31,2016-11-18,2016-09-25,2019-05-07,-32000000,6341000000,6303500000,1975000000,4366000000,2.494,9.887,-716000000.0,473000000,473000000,10313000000.0,507000000.0,1.473,0.967,1051000000,3000000,1048000000,1051000000,0,498000000.0,0,0.017,0.54,868000000.0,1366000000.0,0.087,1366000000.0,868000000.0,827000000.0,1.55,1.55,1.55,3224000000,3239000000,3224000000,10435840782,12.0,7.64,400000000.0,1.227,1.0,5411000000.0,0.344,784000000,41000000.0,4794000000,4560750000,517000000,379000000,379000000,0,3117000000,1341000000,1776000000,9857840782,114000000.0,-11000000.0,-925000000.0,993000000.0,-177000000.0,-113000000.0,-895000000.0,-162000000.0,1116000000.0,6000000.0,507000000.0,507000000.0,507000000.0,0.0,0.0,0.032,4554000000.0,857000000.0,307000000,0.348,3.058,19.443,19.974,3442000000,0.0,30.96,0.627,0.642,242000000,2349000000,15724000000.0,15724000000.0,0.0,0.08,0.157,0.19,0.055,45000000.0,4477000000.0,1.0,318405710,326100000,326900000.0,48.218,5557000000,297000000,320000000.0,0,17.041,634000000
1,WFM,ARY,2015-12-31,2015-11-13,2015-09-27,2019-05-07,-28000000,5741000000,5945500000,1544000000,4197000000,2.588,10.513,-851000000.0,364000000,364000000,9973000000.0,536000000.0,1.233,0.523,65000000,3000000,62000000,65000000,0,439000000.0,0,0.018,0.52,878000000.0,1317000000.0,0.086,1317000000.0,878000000.0,878000000.0,1.49,1.48,1.49,3769000000,3949250000,3769000000,9785478590,11.0,7.43,278000000.0,0.775,1.0,5416000000.0,0.352,789000000,0.0,3401000000,3528500000,500000000,218000000,155000000,63000000,1972000000,1252000000,720000000,10084478590,47000000.0,-4000000.0,-447000000.0,0.0,-184000000.0,-622000000.0,-455000000.0,434000000.0,1129000000.0,-5000000.0,536000000.0,536000000.0,536000000.0,0.0,0.0,0.035,4555000000.0,861000000.0,295000000,0.349,2.676,18.814,19.832,3163000000,0.0,29.55,0.655,0.688,218000000,2017000000,15389000000.0,15389000000.0,0.0,0.09,0.136,0.249,0.057,53000000.0,4472000000.0,1.0,341268311,358500000,360800000.0,42.926,4952000000,343000000,342000000.0,0,13.813,292000000
2,WFM,ARY,2014-12-31,2014-11-21,2014-09-28,2019-05-07,-7000000,5744000000,5773000000,1756000000,3988000000,2.459,10.367,-710000000.0,299000000,299000000,9150000000.0,579000000.0,1.397,0.506,62000000,2000000,60000000,62000000,0,377000000.0,0,0.01,0.48,946000000.0,1323000000.0,0.093,1323000000.0,946000000.0,946000000.0,1.57,1.56,1.57,3813000000,3906250000,3813000000,17113602633,18.0,12.935,378000000.0,1.028,1.0,5044000000.0,0.355,789000000,0.0,3461000000,3456000000,441000000,673000000,553000000,120000000,1931000000,1257000000,674000000,17350602633,-100000000.0,-73000000.0,-536000000.0,-1000000.0,-170000000.0,-698000000.0,-484000000.0,334000000.0,1088000000.0,-6000000.0,579000000.0,579000000.0,579000000.0,0.0,0.0,0.041,4110000000.0,934000000.0,276000000,0.306,4.55,29.966,30.72,2923000000,0.0,48.23,1.222,1.25,198000000,1668000000,14194000000.0,14194000000.0,0.0,0.1,0.148,0.274,0.067,59000000.0,4032000000.0,1.0,359747100,367800000,370500000.0,38.592,4955000000,300000000,367000000.0,0,13.472,499000000
3,WFM,ARY,2013-12-31,2013-11-22,2013-09-29,2019-05-07,1000000,5538000000,5298000000,1980000000,3558000000,2.438,10.447,-537000000.0,401000000,401000000,8288000000.0,551000000.0,1.82,0.428,27000000,1000000,26000000,27000000,0,339000000.0,0,0.025,1.4,894000000.0,1233000000.0,0.095,1233000000.0,894000000.0,894000000.0,1.48,1.47,1.48,3878000000,3709500000,3878000000,20447139116,23.0,16.583,472000000.0,1.272,1.0,4629000000.0,0.358,744000000,0.0,3332000000,3191750000,414000000,1035000000,733000000,302000000,1660000000,1088000000,572000000,20821139116,201000000.0,-22000000.0,-44000000.0,-2000000.0,-508000000.0,-517000000.0,-289000000.0,282000000.0,1009000000.0,-2000000.0,551000000.0,551000000.0,551000000.0,0.0,0.0,0.043,3746000000.0,883000000.0,247000000,0.946,5.369,37.788,37.804,2428000000,0.0,55.95,1.612,1.608,188000000,1265000000,12917000000.0,12917000000.0,0.0,0.104,0.149,0.28,0.069,20000000.0,3682000000.0,1.0,372138322,371200000,374500000.0,34.798,4794000000,223000000,343000000.0,0,12.915,892000000
4,WFM,ARY,2012-12-31,2012-11-21,2012-09-30,2019-05-07,5266000,5294216000,4946365500,2102631000,3191585000,2.365,10.423,-456249000.0,191889000,191889000,7543054000.0,465573000.0,2.152,0.392,24122000,1012000,23110000,24122000,0,311550000.0,0,0.006,0.28,752398000.0,1063948000.0,0.091,1063948000.0,752398000.0,752044000.0,1.275,1.26,1.275,3802469000,3520369750,3802469000,16913514594,22.0,15.897,463466000.0,1.27,1.0,4155774000.0,0.355,725337000,354000.0,3423924000,2959886250,374269000,1352639000,1131213000,221426000,1491747000,977188000,514559000,17081281594,-122988000.0,0.0,341627000.0,-305000.0,-94505000.0,297166000.0,-1341349000.0,-871282000.0,919715000.0,1480000.0,465573000.0,465573000.0,465573000.0,0.0,0.0,0.04,3412268000.0,743506000.0,247089000,0.22,4.492,36.689,36.106,2192683000,0.0,46.035,1.46,1.435,196503000,1233433000,11698828000.0,11698828000.0,0.0,0.094,0.132,0.254,0.064,-8061000.0,3355484000.0,1.0,371049888,364802000,368888000.0,32.069,4568879000,175080000,286471000.0,0,12.524,1125443000
5,WFM,ARY,2011-12-31,2011-11-23,2011-09-25,2019-05-07,-164000,4292075000,4165806000,1453144000,2838931000,2.426,8.536,-364964000.0,303960000,303960000,6571238000.0,342612000.0,1.652,0.435,17905000,466000,17439000,17905000,0,287109000.0,0,0.006,0.2,555594000.0,842703000.0,0.083,842703000.0,555594000.0,551712000.0,0.98,0.965,0.98,2991305000,2763435250,2991305000,11063751878,20.0,13.129,389881000.0,1.113,1.0,3536549000.0,0.35,730172000,3882000.0,2396487000,2453788000,336799000,495135000,442320000,52815000,1300770000,879361000,421409000,11349806878,80008000.0,-1972000.0,296719000.0,-490394000.0,-52620000.0,-223554000.0,-450724000.0,-73125000.0,754845000.0,-559000.0,342612000.0,342612000.0,342612000.0,0.0,0.0,0.034,2988929000.0,547620000.0,236913000,0.204,3.794,33.127,32.26,1997212000,0.0,31.615,1.123,1.096,175310000,870497000,10107787000.0,10107787000.0,0.0,0.082,0.124,0.226,0.055,4518000.0,2939731000.0,1.0,359000692,350442000,354558000.0,28.843,3561903000,171324000,209100000.0,0,10.164,573783000
6,WFM,ARY,2010-12-31,2010-11-24,2010-09-26,2019-05-07,791000,3986540000,3942259500,1161519000,2825021000,2.284,7.138,-256793000.0,218798000,218798000,5870393000.0,245833000.0,1.553,0.68,508698000,410000,508288000,508698000,0,275589000.0,0,0.0,0.0,444829000.0,720418000.0,0.08,720418000.0,444829000.0,411781000.0,0.725,0.715,0.725,2373258000,2250484750,2373258000,8436005281,19.0,11.71,328492000.0,0.988,1.0,3135401000.0,0.348,734288000,33048000.0,2794280000,2842523000,323487000,425884000,329738000,96146000,1613282000,747872000,865410000,8146105281,-298134000.0,-14470000.0,46962000.0,-210350000.0,0.0,-168906000.0,-715406000.0,-425649000.0,585285000.0,893000.0,245833000.0,240355000.0,240355000.0,0.0,0.0,0.027,2697426000.0,437975000.0,213212000,0.0,3.432,33.892,32.483,1886130000,5478000.0,23.55,0.905,0.869,133346000,598570000,9005794000.0,9005794000.0,0.0,0.061,0.107,0.156,0.049,19912000.0,2648165000.0,1.0,345906806,332488000,343420000.0,27.086,3252252000,200620000,165948000.0,0,9.782,413647000
7,WFM,ARY,2009-12-31,2009-11-27,2009-09-27,2019-05-07,-13367000,3783388000,3688452750,1055380000,2728008000,2.178,5.797,-314615000.0,501153000,501153000,5277310000.0,146804000.0,1.543,1.07,739237000,389000,738848000,739237000,0,266695000.0,0,0.0,0.0,287798000.0,554493000.0,0.069,554493000.0,287798000.0,250942000.0,0.425,0.425,0.425,1627876000,1570130750,1627876000,3880699290,13.0,6.999,273106000.0,0.973,1.0,2754310000.0,0.343,731289000,36856000.0,2606159000,2651570000,310602000,0,0,0,1742460000,684024000,1058436000,3642615290,399596000.0,0.0,4286000.0,-195370000.0,0.0,199455000.0,-386283000.0,0.0,587721000.0,-1297000.0,146804000.0,118754000.0,118754000.0,0.0,0.0,0.015,2469961000.0,284349000.0,189597000,0.0,2.238,30.674,30.471,1897853000,28050000.0,12.95,0.454,0.453,104731000,358215000,8031620000.0,8031620000.0,0.0,0.032,0.076,0.109,0.036,12753000.0,2389558000.0,1.0,281283034,280828000,280828000.0,28.6,3052099000,178757000,104138000.0,0,10.868,371356000
8,WFM,ARY,2008-12-31,2008-11-26,2008-09-28,2019-05-07,422000,3380736000,3287649750,622606000,2758130000,2.419,5.383,-522033000.0,31151000,31151000,5247207000.0,114524000.0,0.935,1.245,929170000,380000,928790000,929170000,0,249213000.0,0,0.056,0.3,242935000.0,492148000.0,0.062,492148000.0,242935000.0,206519000.0,0.41,0.41,0.41,1506024000,1490037250,1506024000,2414859866,10.0,4.907,-196273000.0,-0.702,1.0,2706705000.0,0.34,738058000,36416000.0,2874520000,2635647500,327452000,0,0,0,1874712000,666177000,1208535000,1516840866,30534000.0,158433000.0,18019000.0,155847000.0,-109072000.0,69828000.0,-365054000.0,1500000.0,325760000.0,0.0,114524000.0,114524000.0,114524000.0,0.0,0.0,0.014,2470467000.0,236238000.0,183134000,0.732,1.007,13.245,13.183,1900117000,0.0,5.405,0.191,0.19,115424000,439422000,7953912000.0,7953912000.0,0.0,0.035,0.077,0.092,0.031,4819000.0,2378368000.0,1.0,280636608,279772000,280022000.0,28.43,2642678000,189431000,91995000.0,0,9.446,-43571000
9,WFM,ARY,2007-12-31,2007-11-29,2007-09-30,2019-05-07,15722000,3213128000,2421854000,667986000,2545142000,2.722,5.207,-529682000.0,2310000,2310000,4295170000.0,182740000.0,0.851,1.203,760868000,24781000,736087000,760868000,0,186390000.0,0,0.017,0.36,308775000.0,495165000.0,0.075,495165000.0,308775000.0,304567000.0,0.65,0.645,0.65,1458804000,1461172000,1458804000,6639237551,22.0,13.408,-131079000.0,-0.468,1.0,2296603000.0,0.348,766533000,4208000.0,2420637000,1621710750,288112000,0,0,0,1754324000,784516000,969808000,5880679551,-2252000.0,-596236000.0,-45614000.0,623643000.0,-96742000.0,494126000.0,-894981000.0,198342000.0,398603000.0,0.0,182740000.0,182740000.0,182740000.0,0.0,0.0,0.028,1999152000.0,297451000.0,225728000,0.554,4.031,32.181,32.462,1666559000,0.0,21.1,0.892,0.897,270263000,410198000,6591773000.0,6591773000.0,0.0,0.075,0.125,0.19,0.047,336000.0,1928972000.0,1.0,278705192,280176000,283672000.0,23.527,2446595000,171776000,121827000.0,0,8.732,-116530000
